;source_subtheme;source_subtheme_targets;impact_subtheme;impact_type;impact_weight;justification
10;GHG Reduction;TA1.3,TA1.7,TA1.9,TA1.11,TA1.13,TA5.7;Renewable Energy;-2;The reduction of GHG emissions through measures like TA1.3 and TA1.7 may counteract the growth of renewable energy sources if not managed carefully, as the focus on emissions reduction could lead to an over-reliance on traditional energy sources.;The balance between GHG reduction and renewable energy growth is crucial for a sustainable transition.
11;GHG Reduction;TA1.3,TA1.7,TA1.9,TA1.11,TA1.13,TA5.7;Energy Efficiency;2;Implementing energy efficiency measures as part of GHG reduction strategies (like TA1.9) reinforces the overall goal of reducing energy consumption and thereby supports energy efficiency.;This synergy is essential for achieving both GHG reduction and energy efficiency targets.
12;GHG Reduction - Buildings;TA1.15;Energy Efficiency - Buildings;3;The reduction of GHG emissions from buildings through strategies like TA1.15 is indivisible from improving energy efficiency in buildings, as both targets aim at minimizing energy waste and optimizing building performance.;Achieving one target directly contributes to achieving the other.
13;GHG Removal;TA1.12;Renewable Energy - Hydrogen Production;1;GHG removal technologies can enable the production of renewable hydrogen by utilizing captured CO2 for hydrogen production, thus enabling renewable energy sources.;This connection supports the growth of renewable energy sources by providing a new avenue for hydrogen production.
14;Climate Resilience;TA1.1,TA1.4;Social Security - Energy;1;Enhancing climate resilience through measures like TA1.1 and TA1.4 can create conditions that further social security in the energy sector by ensuring that energy systems are adaptable and resilient to climate change.;This helps in maintaining energy access and security during climate-related events.
15;GHG Reduction;TA1.3,TA1.7,TA1.9,TA1.11,TA1.13,TA5.7;Methane;-2;Strategies to reduce GHG emissions might counteract efforts to specifically address methane emissions if methane reduction is not explicitly prioritized within the broader GHG reduction targets.;Methane has a high global warming potential, and its reduction is critical for overall GHG emission reduction.
16;GHG Reduction;TA1.3,TA1.7,TA1.9,TA1.11,TA1.13,TA5.7;Net-Zero Technology - Road Vehicles;2;The reduction of GHG emissions in the transport sector can be reinforced by the development of net-zero technology for road vehicles, as it provides an alternative to traditional fossil fuel-based transportation.;The implementation of net-zero technology for road vehicles can aid in achieving the GHG reduction targets by offering a cleaner and more efficient mode of transportation.
17;GHG Reduction;TA1.3,TA1.7,TA1.9,TA1.11,TA1.13,TA5.7;Biofuels;1;The production and use of biofuels can contribute to the reduction of GHG emissions in the transport sector, thereby supporting the achievement of GHG reduction targets.;The development of biofuels can create conditions that further the reduction of GHG emissions by providing a low-carbon alternative to traditional fuels.
18;GHG Reduction;TA1.3,TA1.7,TA1.9,TA1.11,TA1.13,TA5.7;Hydrogen Distribution;2;The distribution of hydrogen can play a crucial role in reducing GHG emissions in the transport sector, as it enables the use of hydrogen fuel cells in vehicles.;The implementation of hydrogen distribution infrastructure can reinforce the achievement of GHG reduction targets by facilitating the adoption of hydrogen-powered vehicles.
19;GHG Reduction - Buildings;TA1.15;Urban Mobility;1;The reduction of GHG emissions in buildings can be supported by urban mobility initiatives that promote sustainable transportation and reduce the need for personal vehicles.;The development of urban mobility plans can create conditions that further the reduction of GHG emissions in buildings by encouraging the use of public transport and non-motorized modes of transportation.
20;GHG Reduction - Transports;TA1.16,TA4.9,TA4.12,TA4.15,TA4.16,TA4.17;Transport Logistics;2;The reduction of GHG emissions in the transport sector can be reinforced by the development of sustainable transport logistics, as it optimizes the movement of goods and reduces fuel consumption.;The implementation of sustainable transport logistics can aid in achieving the GHG reduction targets by streamlining the transportation process and minimizing emissions.
21;GHG Removal;TA1.12;Other Low-Carbon Fuels;1;The removal of GHG emissions can be supported by the development of other low-carbon fuels, such as advanced biofuels and hydrogen, which can replace traditional fossil fuels.;The production and use of other low-carbon fuels can create conditions that further the removal of GHG emissions by providing alternative energy sources.
22;Climate Resilience;TA1.1,TA1.4;Rail;1;The development of climate-resilient infrastructure, including rail networks, can support the achievement of climate resilience targets by enabling the transportation of goods and people during extreme weather events.;The implementation of climate-resilient rail infrastructure can create conditions that further the achievement of climate resilience targets by ensuring the continuity of transportation services.
23;GHG Reduction;TA1.3,TA1.7,TA1.9,TA1.11,TA1.13,TA5.7;Rail;2;The reduction of GHG emissions in the transport sector can be reinforced by the development of rail infrastructure, as it provides a low-carbon mode of transportation.;The implementation of rail infrastructure can aid in achieving the GHG reduction targets by offering a cleaner and more efficient mode of transportation.
24;GHG Reduction;TA1.3,TA1.7,TA1.9,TA1.11,TA1.13,TA5.7;Food affordability;1;Enabling;The reduction of GHG emissions can lead to increased food production and reduced losses, making food more affordable and accessible.
25;GHG Reduction;TA1.3,TA1.7,TA1.9,TA1.11,TA1.13,TA5.7;Competitive Agriculture;-1;Constraining;Stringent GHG reduction targets might limit the competitiveness of the agricultural sector, as farmers may struggle to adapt to new regulations and technologies.
26;GHG Reduction - Buildings;TA1.15;Food quality - Healthy Food;2;Reinforcing;Improving building insulation and energy efficiency can enhance food storage and handling, reducing food waste and improving overall food quality.
27;GHG Removal;TA1.12;Pesticides Reduction;3;Indivisible;GHG removal technologies, such as carbon capture and storage, can be integrated with sustainable agriculture practices, reducing the need for pesticides and promoting more environmentally friendly farming methods.
28;Climate Resilience;TA1.1,TA1.4;Food quality;2;Reinforcing;Enhancing climate resilience can help protect food systems from extreme weather events, ensuring a more stable food supply and reducing the risk of food-borne illnesses.
29;GHG Reduction - Transports;TA1.16,TA4.9;Food affordability;-2;Counteracting;The transition to low-carbon transportation can increase costs for the food industry, potentially leading to higher food prices and reduced affordability for low-income households.
30;Renewable Energy;TA2.1,TA2.10,TA2.11,TA2.12,TA2.13,TA2.14,TA2.15,TA2.16,TA2.17,TA2.18,TA2.19,TA2.2,TA2.20,TA2.21,TA2.22,TA2.23,TA2.24,TA2.25,TA2.26,TA2.27,TA2.28,TA2.29,TA2.30,TA2.31,TA2.32,TA2.33,TA2.34,TA2.35,TA2.36,TA2.37,TA2.38,TA2.39,TA2.4,TA2.40,TA2.41,TA2.42,TA2.43,TA2.44,TA2.45,TA2.46,TA2.47,TA2.48,TA2.49,TA2.5,TA2.6,TA2.7,TA2.8,TA2.9;Waste Reduction - Municipal Waste;+;2;The increased use of renewable energy can lead to a reduction in waste generation from fossil fuels, which in turn can reduce municipal waste. This is because renewable energy sources like solar and wind power do not produce waste in the same way that fossil fuels do.
31;Renewable Energy;TA2.1,TA2.10,TA2.11,TA2.12,TA2.13,TA2.14,TA2.15,TA2.16,TA2.17,TA2.18,TA2.19,TA2.2,TA2.20,TA2.21,TA2.22,TA2.23,TA2.24,TA2.25,TA2.26,TA2.27,TA2.28,TA2.29,TA2.30,TA2.31,TA2.32,TA2.33,TA2.34,TA2.35,TA2.36,TA2.37,TA2.38,TA2.39,TA2.4,TA2.40,TA2.41,TA2.42,TA2.43,TA2.44,TA2.45,TA2.46,TA2.47,TA2.48,TA2.49,TA2.5,TA2.6,TA2.7,TA2.8,TA2.9;Circularity/Recycling - Municipal Waste;+;2;The use of renewable energy can also enable the recycling of municipal waste by providing the necessary power for recycling facilities. This can lead to a more circular economy and reduce the amount of waste sent to landfills.
32;Renewable Energy - Heating & Cooling;TA2.14,TA2.16,TA2.4;Waste Reduction - Food Waste;+;1;The use of renewable energy for heating and cooling can help reduce food waste by providing a reliable and consistent source of energy for food storage and processing. This can help reduce the amount of food that is wasted due to spoilage or contamination.
33;Renewable Energy - Hydrogen Production;TA2.40,TA2.41,TA2.42,TA2.43,TA2.44;Critical Raw Materials - Extraction & Import;-;2;The production of renewable hydrogen may require the use of critical raw materials like platinum and iridium, which can lead to increased extraction and importation of these materials. This can have negative environmental and social impacts associated with mining and trade.
34;Renewable Energy - Ocean/Offshore;TA2.38,TA2.39;Net-Zero Technology - Manufacturing;+;2;The development of offshore renewable energy technologies can drive innovation and manufacturing in the net-zero technology sector. This can lead to the creation of new jobs and industries focused on sustainable energy production.
35;Renewable Energy - Solar;TA2.5,TA2.6,TA2.7,TA2.9;Circularity/Recycling - Plastic & Packaging;+;1;The use of solar energy can enable the recycling of plastic and packaging materials by providing a reliable source of power for recycling facilities. This can help reduce the amount of waste sent to landfills and promote a more circular economy.
36;Energy Efficiency;TA2.17,TA2.20,TA2.21,TA2.22,TA2.23,TA2.24,TA2.25,TA2.26,TA2.27,TA2.28,TA2.29,TA2.30,TA2.31,TA2.32,TA2.33,TA2.34,TA2.35,TA2.36;Waste Reduction - Plastic & Packaging;+;2;Improving energy efficiency can lead to a reduction in energy consumption, which in turn can reduce the production of plastic and packaging materials. This can help reduce waste generation and promote a more circular economy.
37;Energy Efficiency - Buildings;TA2.18,TA2.20,TA2.21,TA2.24,TA2.25,TA2.26,TA2.27,TA2.28,TA2.29,TA2.30,TA2.31,TA2.32,TA2.33,TA2.34,TA2.35,TA2.36;Circularity/Recycling - Critical Raw Materials - Batteries Recycling;+;2;The use of energy-efficient buildings can reduce the demand for critical raw materials used in batteries, which can lead to an increase in the recycling of these materials. This can help reduce waste generation and promote a more circular economy.
38;Social Security - Energy;TA2.2,TA2.8;Waste Reduction - Municipal Waste;+;1;The use of social security measures to support energy access can help reduce waste generation from fossil fuels, which in turn can reduce municipal waste. This is because renewable energy sources like solar and wind power do not produce waste in the same way that fossil fuels do.
39;Renewable Energy;TA2.10,TA2.11,TA2.12,TA2.15,TA2.19,TA2.37,TA2.9;GHG Reduction;+;2;The implementation of renewable energy targets in the Renewable Energy sub-theme reinforces the achievement of GHG reduction targets in the GHG Reduction sub-theme, as renewable energy sources emit significantly less greenhouse gases than fossil fuels. This synergy is crucial for meeting the EU's climate goals.
40;Renewable Energy - Hydrogen Production;TA2.1,TA2.3,TA2.40;GHG Reduction;+;2;The development of renewable hydrogen production in the Renewable Energy - Hydrogen Production sub-theme supports the reduction of greenhouse gas emissions in the GHG Reduction sub-theme, as hydrogen can replace fossil fuels in various sectors. This contributes to a cleaner energy mix and helps mitigate climate change.
41;Energy Efficiency;TA2.17,TA2.22,TA2.23;GHG Reduction;+;2;Improving energy efficiency in the Energy Efficiency sub-theme aids in reducing greenhouse gas emissions in the GHG Reduction sub-theme, as less energy is required to achieve the same outcomes. This leads to lower emissions from energy production and consumption.
42;Energy Efficiency - Buildings;TA2.20,TA2.21,TA2.24,TA2.25,TA2.26,TA2.27,TA2.28,TA2.29,TA2.30,TA2.31,TA2.33,TA2.34,TA2.35,TA2.36;GHG Reduction - Buildings;+;3;The Energy Efficiency - Buildings sub-theme is indivisible from the GHG Reduction - Buildings sub-theme, as building efficiency directly influences greenhouse gas emissions from buildings. Enhancing building efficiency through renovation and insulation is essential for reducing emissions in this sector.
43;Renewable Energy - Solar;TA2.5,TA2.6,TA2.7;GHG Reduction;+;2;The expansion of solar energy in the Renewable Energy - Solar sub-theme contributes to the reduction of greenhouse gas emissions in the GHG Reduction sub-theme, as solar power is a clean and renewable energy source. Increasing solar energy production helps decrease dependence on fossil fuels and lowers emissions.
44;Social Security - Energy;TA2.2,TA2.8;GHG Reduction;+;1;The Social Security - Energy sub-theme enables the achievement of GHG reduction targets in the GHG Reduction sub-theme by ensuring that energy poor and vulnerable consumers have access to clean and affordable energy. This support mechanism helps in the transition to a low-carbon economy.
45;Renewable Energy - Ocean/Offshore;TA2.38,TA2.39;GHG Reduction;+;2;The development of offshore renewable energy in the Renewable Energy - Ocean/Offshore sub-theme reinforces the reduction of greenhouse gas emissions in the GHG Reduction sub-theme, as offshore wind and other ocean energies are renewable and emit less greenhouse gases than traditional fossil fuels.
46;Energy Efficiency;TA2.17,TA2.22,TA2.23;GHG Removal;+;1;Improving energy efficiency in the Energy Efficiency sub-theme creates conditions that further the removal of greenhouse gases in the GHG Removal sub-theme, as more efficient energy use can lead to increased carbon capture and storage or utilization. This indirect support is beneficial for achieving net-zero emissions.
47;Renewable Energy;TA2.10,TA2.11,TA2.12,TA2.15,TA2.19,TA2.37,TA2.9;GHG Removal;+;1;The implementation of renewable energy targets in the Renewable Energy sub-theme enables the removal of greenhouse gases in the GHG Removal sub-theme, as a transition to renewable energy sources can facilitate carbon capture and storage or utilization technologies, indirectly supporting GHG removal efforts.
48;Renewable Energy - Heating & Cooling;TA2.14,TA2.16,TA2.4;GHG Reduction - Buildings;+;2;The Renewable Energy - Heating & Cooling sub-theme aids in reducing greenhouse gas emissions in the GHG Reduction - Buildings sub-theme, as renewable heating and cooling solutions emit less greenhouse gases than traditional systems. This synergy is essential for decreasing building emissions.
49;Renewable Energy - Hydrogen Production;TA2.1,TA2.3,TA2.40;GHG Reduction - Transports;+;2;The development of renewable hydrogen production in the Renewable Energy - Hydrogen Production sub-theme supports the reduction of greenhouse gas emissions in the GHG Reduction - Transports sub-theme, as hydrogen can be used as a clean fuel for transportation, reducing emissions from this sector.
50;Energy Efficiency - Buildings;TA2.20,TA2.21,TA2.24,TA2.25,TA2.26,TA2.27,TA2.28,TA2.29,TA2.30,TA2.31,TA2.33,TA2.34,TA2.35,TA2.36;GHG Reduction;+;2;The Energy Efficiency - Buildings sub-theme reinforces the achievement of GHG reduction targets in the GHG Reduction sub-theme, as energy-efficient buildings directly contribute to lower greenhouse gas emissions. This is achieved through reduced energy consumption and the use of renewable energy sources in buildings.
51;GHG Reduction;TA1.3,TA1.7,TA1.9,TA1.11,TA1.13,TA5.7;Biodiversity Protection & Conservation;2;Reinforcing;Reducing GHG emissions can help mitigate climate change, which in turn can reinforce biodiversity protection and conservation efforts by reducing the pressure of climate-related stressors on ecosystems.
52;GHG Reduction;TA1.3,TA1.7,TA1.9,TA1.11,TA1.13,TA5.7;Terrestrial Ecosystems Restoration;2;Reinforcing;GHG reduction targets can reinforce terrestrial ecosystems restoration by promoting sustainable land use practices, reducing deforestation, and encouraging reforestation, which helps to sequester carbon dioxide.
53;GHG Reduction - Buildings;TA1.15;Terrestrial Ecosystems Restoration - Forests;1;Enabling;Improving energy efficiency in buildings can enable the restoration of forests by reducing the demand for wood and other forest products, thereby creating conditions for forest regeneration.
54;GHG Removal;TA1.12;Marine Ecosystem Restoration;1;Enabling;GHG removal technologies can enable marine ecosystem restoration by reducing ocean acidification, which is caused by the absorption of CO2 by the oceans, and promoting the health of marine ecosystems.
55;GHG Reduction;TA1.3,TA1.7,TA1.9,TA1.11,TA1.13,TA5.7;Biodiversity Protection & Conservation - Fisheries;2;Reinforcing;Reducing GHG emissions can help mitigate climate change, which in turn can reinforce biodiversity protection and conservation efforts in fisheries by reducing the impact of climate-related stressors on fish populations and habitats.
56;GHG Reduction - Transports;TA1.10,TA1.14,TA1.16;Terrestrial Ecosystems Restoration - Agricultural Ecosystems;1;Enabling;Improving energy efficiency in transportation can enable the restoration of agricultural ecosystems by reducing the demand for fossil fuels, promoting sustainable agriculture practices, and encouraging the use of renewable energy sources.
57;Climate Resilience;TA1.1,TA1.4;Biodiversity Protection & Conservation - Urban Nature;2;Reinforcing;Enhancing climate resilience can reinforce biodiversity protection and conservation efforts in urban areas by promoting green infrastructure, reducing the urban heat island effect, and creating habitats for urban wildlife.
58;GHG Reduction;TA1.3,TA1.7,TA1.9,TA1.11,TA1.13,TA5.7;Terrestrial Ecosystems Restoration - Rivers;1;Enabling;Reducing GHG emissions can enable the restoration of rivers by promoting sustainable water management practices, reducing pollution, and encouraging the conservation of riverine ecosystems.
59;GHG Reduction;TA1.3,TA1.7,TA1.9,TA1.11,TA1.13,TA5.7;Improve Air Quality;2;The reduction of GHG emissions can lead to improved air quality by decreasing the amount of pollutants released into the atmosphere, which in turn can aid in achieving better air quality.;The connection between GHG reduction and air quality improvement is well-established, as many GHG reduction strategies also reduce air pollutants.
60;GHG Reduction;TA1.3,TA1.7,TA1.9,TA1.11,TA1.13,TA5.7;Improve Water Quality;1;Reducing GHG emissions can create conditions that further improve water quality by reducing pollution from industrial and agricultural activities.;This is because some GHG reduction measures, like increasing energy efficiency or switching to renewable energy sources, can also decrease water pollution.
61;GHG Reduction - Buildings;TA1.15;Improve Soils Health;1;Improving energy efficiency in buildings and reducing their GHG emissions can create conditions that further soil health by reducing the need for fossil fuels and decreasing air pollution.;This connection is based on the idea that reducing energy consumption in buildings can lead to a decrease in the environmental impacts associated with energy production.
62;GHG Reduction - Transports;TA1.10,TA1.14,TA4.10,TA4.12,TA4.15,TA4.16,TA4.17;Noise Reduction;2;The reduction of GHG emissions from transportation can aid in reducing noise pollution by promoting the use of cleaner, quieter vehicles.;This is because electric or hybrid vehicles, which are often promoted as part of GHG reduction strategies, tend to be quieter than traditional combustion engine vehicles.
63;GHG Removal;TA1.12;Improve Soils Health;2;GHG removal strategies, such as afforestation or soil carbon sequestration, can directly aid in improving soil health by enhancing carbon storage and reducing erosion.;This connection is based on the direct impact of GHG removal methods on soil quality and fertility.
64;GHG Reduction;TA1.3,TA1.7,TA1.9,TA1.11,TA1.13,TA5.7;Social Security - Sanitation;1;Reducing GHG emissions can create conditions that further improve social security and sanitation by reducing the economic and health burdens associated with climate change.;This is because addressing GHG emissions can lead to more resilient and sustainable communities, which in turn can better provide for social security and sanitation needs.
65;GHG Reduction;TA1.3,TA1.7,TA1.9,TA1.11,TA1.13,TA5.7;Improve Air Quality;2;The reduction of greenhouse gas emissions can lead to improved air quality by decreasing the amount of pollutants released into the atmosphere, thus reinforcing the achievement of air quality targets.;
66;GHG Reduction;TA1.3,TA1.7,TA1.9,TA1.11,TA1.13,TA5.7;Improve Water Quality;2;Reducing GHG emissions can also contribute to improved water quality by decreasing the amount of pollutants that enter water bodies, thus aiding in the achievement of water quality targets.;
67;Competitive Agriculture;TA5.12,TA5.14,TA5.20,TA5.21,TA5.23;Food affordability;1;Promoting competitive agriculture can enable the production of high-quality food at lower costs, creating conditions that further the goal of ensuring food affordability.;
68;Pesticides Reduction;TA5.2,TA5.4,TA5.5;Improve Soils Health;2;Reducing the use of pesticides can help maintain soil health by decreasing the amount of harmful chemicals that enter the soil, thus reinforcing the achievement of soil health targets.;
69;Food quality - Healthy Food;TA5.26,TA5.27,TA5.28,TA5.29,TA5.31,TA5.32,TA5.33,TA5.34;Improve Air Quality;1;Promoting healthy food options can lead to reduced air pollution by encouraging the consumption of locally sourced and sustainable food, creating conditions that further the goal of improving air quality.;
70;Food affordability;TA5.19,TA5.30,TA5.32,TA5.33,TA5.35;Social Security - Sanitation;1;Ensuring food affordability can also contribute to improved sanitation by enabling individuals to purchase and consume nutritious food, reducing the risk of food-borne illnesses and creating conditions that further the goal of ensuring social security and sanitation.;
71;Waste Reduction - Municipal Waste;TA3.1,TA3.2,TA3.4,TA3.41,TA3.42,TA3.43,TA3.44,TA3.45;Food quality - Healthy Food;1;The reduction of municipal waste can lead to a decrease in food waste, enabling the production of healthier food.;
72;Waste Reduction - Food Waste;TA3.24,TA3.25,TA3.46,TA5.13;Food affordability;-2;Reducing food waste can lead to increased food production costs, counteracting efforts to make food more affordable.;
73;Circularity/Recycling - Plastic & Packaging;TA3.27,TA3.28,TA3.31,TA3.32,TA3.33,TA3.34,TA3.35,TA3.36,TA3.37;Food quality - Healthy Food;2;The recycling of plastic packaging can reduce the amount of harmful chemicals in food, reinforcing efforts to produce healthier food.;
74;Critical Raw Materials - Extraction & Import;TA3.10,TA3.11,TA3.8,TA3.9;Competitive Agriculture;-1;The extraction and import of critical raw materials can constrain agricultural production, limiting options for competitive agriculture.;
75;Net-Zero Technology - Manufacturing;TA3.12;Food quality;-3;The focus on net-zero technology manufacturing can cancel out efforts to improve food quality, as resources are diverted to other areas.;
76;Circularity/Recycling - Critical Raw Materials - Batteries Recycling;TA3.15,TA3.16,TA3.17,TA3.18,TA3.19;Pesticides Reduction;1;The recycling of batteries can enable the production of sustainable pesticides, creating conditions that further the reduction of pesticide use.;
77;Waste Reduction - Plastic & Packaging;TA3.29,TA3.30,TA3.40;Food affordability;2;Reducing plastic packaging waste can reinforce efforts to make food more affordable, by reducing production costs.;
78;Circularity/Recycling;TA3.3;Competitive Agriculture;1;The promotion of circular economy practices can enable the development of competitive agriculture, by creating conditions for sustainable production.;
79;Waste Reduction - Municipal Waste;TA3.1,TA3.2,TA3.4,TA3.41,TA3.42,TA3.43,TA3.44,TA3.45,TA3.47;Urban Mobility;-1;The implementation of waste reduction targets in municipal waste may constrain urban mobility by limiting the availability of land for transportation infrastructure.;
80;Waste Reduction - Food Waste;TA3.24,TA3.25,TA3.46;Biofuels;1;Reducing food waste can enable the production of biofuels by providing a source of organic matter for conversion into energy.;
81;Circularity/Recycling - Critical Raw Materials - Batteries Recycling;TA3.15,TA3.16,TA3.17,TA3.18,TA3.19;Net-Zero Technology - Road Vehicles;2;The recycling of critical raw materials from batteries can reinforce the development of net-zero technology in road vehicles by providing a secure supply of essential materials.;
82;Critical Raw Materials - Extraction & Import;TA3.10,TA3.11,TA3.8,TA3.9;Net-Zero Technology - Road Vehicles;-2;The extraction and import of critical raw materials can counteract the development of net-zero technology in road vehicles if the production processes are not sustainable and generate significant environmental impacts.;
83;Net-Zero Technology - Manufacturing;TA3.12;Hydrogen Distribution;3;The development of net-zero technology in manufacturing is indivisible from the distribution of hydrogen, as hydrogen is a key component in the production of many net-zero technologies.;
84;Circularity/Recycling - Plastic & Packaging;TA3.27,TA3.28,TA3.31,TA3.32,TA3.33,TA3.34,TA3.35,TA3.36,TA3.37;Transport Logistics;-1;The recycling of plastic and packaging can constrain transport logistics by requiring additional infrastructure and processes for the collection and processing of recyclable materials.;
85;Waste Reduction - Plastic & Packaging;TA3.29,TA3.30,TA3.40;Urban Mobility;1;Reducing waste from plastic and packaging can enable urban mobility by reducing the amount of waste that needs to be transported and processed.;
86;Circularity/Recycling;TA3.3;Other Low-Carbon Fuels;2;The development of circular economy practices can reinforce the production of other low-carbon fuels by providing a source of organic matter for conversion into energy.;
87;Circularity/Recycling - Textile Waste;TA3.4;Rail;-1;The recycling of textile waste can constrain the development of rail transportation by competing for resources and infrastructure.;
88;GHG Reduction;TA1.3,TA1.7,TA1.9,TA1.11,TA1.13,TA5.7;Terrestrial Ecosystems Restoration;2;The reduction of greenhouse gas emissions can aid in the restoration of terrestrial ecosystems by mitigating climate change impacts, thus reinforcing efforts in this area. This connection is based on the understanding that climate change affects ecosystem health and biodiversity.;
89;Pesticides Reduction;TA5.2,TA5.4,TA5.5;Biodiversity Protection & Conservation;3;Reducing pesticide use is indivisible from biodiversity conservation, as pesticides can harm wildlife and pollinators, making their reduction crucial for protecting biodiversity. This is a key aspect of the European Green Deal's focus on both climate action and environmental protection.;
90;Competitive Agriculture;TA5.12,TA5.14,TA5.21;Terrestrial Ecosystems Restoration - Agricultural Ecosystems;1;Promoting competitive agriculture can enable the restoration of agricultural ecosystems by encouraging sustainable farming practices, which in turn can help in restoring biodiversity and ecosystem services. This connection highlights the importance of sustainable agriculture in achieving environmental goals.;
91;Food affordability;TA5.19,TA5.30,TA5.32,TA5.35;Food quality;2;Ensuring food affordability can reinforce the quality of food by making sustainable and healthy food options more accessible to a wider population, thus aiding in the achievement of better food quality. This is in line with the report's emphasis on making the food system fair, healthy, and environmentally friendly.;
92;Food quality - Healthy Food;TA5.26,TA5.27,TA5.28,TA5.29,TA5.31,TA5.33,TA5.34;Biodiversity Protection & Conservation;2;Improving food quality, especially through healthy and sustainable diets, can reinforce biodiversity conservation by reducing the demand for resource-intensive and environmentally harmful food production methods. This connection is based on the report's discussion of the need for sustainable food systems.;
93;Pesticides Reduction;TA5.2,TA5.4,TA5.5;Terrestrial Ecosystems Restoration - Agricultural Ecosystems;3;The reduction of pesticides is crucial for the restoration of agricultural ecosystems, as these chemicals can pollute soil and water, harming ecosystem health. This is a direct and significant impact, making pesticide reduction indivisible from agricultural ecosystem restoration.;
94;Food quality - Animal Welfare;TA5.25;Biodiversity Protection & Conservation - Fisheries;1;Improving animal welfare in food production can enable better conservation of marine biodiversity by promoting more sustainable fishing and aquaculture practices, which reduce the environmental impact of these industries. This connection is based on the understanding that animal welfare and environmental conservation are interconnected.;
95;Competitive Agriculture;TA5.12,TA5.14,TA5.21;Biodiversity Protection & Conservation;2;Promoting competitive agriculture can reinforce biodiversity conservation by encouraging practices that protect natural habitats and promote ecosystem services, thus aiding in the conservation of biodiversity. This is in line with the report's emphasis on the importance of sustainable agriculture for environmental protection.;
96;Waste Reduction;TA3.1,TA3.11,TA3.12;Terrestrial Ecosystems Restoration;2;The reduction of waste can aid in the restoration of terrestrial ecosystems by decreasing pollution and preserving natural resources, which in turn can help to achieve the targets of terrestrial ecosystems restoration.;
97;Waste Reduction - Municipal Waste;TA3.20,TA3.21,TA3.22;Terrestrial Ecosystems Restoration - Agricultural Ecosystems;1;Proper management of municipal waste can create conditions that further the restoration of agricultural ecosystems, as it reduces the amount of waste that ends up in these ecosystems and preserves soil health.;
