target_code;target_content;NACE_level1;NACE_level1_extra1;NACE_level1_extra2;NACE_level2;NACE_level2_extra1;NACE_level2_extra2;NACE_level_3;NACE_level_3_extra1;NACE level3_extra2;justification;confidence_score
TA3.34;Recycling of ferrous metals in packaging: 80%;E - Water Supply, Sewerage, Waste Management and Remediation Activities;C - Manufacturing;;E38 - Waste collection, treatment and disposal activities, materials recovery;C24 - Manufacture of basic metals;;E38.3 - Materials recovery;C24.3 - Manufacture of other products of first processing of steel;;This target involves recycling ferrous metals in packaging, linking to waste management and metal manufacturing.;9
TA3.35;Recycling of aluminium in packaging: 60%;E - Water Supply, Sewerage, Waste Management and Remediation Activities;C - Manufacturing;;E38 - Waste collection, treatment and disposal activities, materials recovery;C24 - Manufacture of basic metals;;E38.3 - Materials recovery;C24.4 - Manufacture of basic precious and other non-ferrous metals;;This target focuses on recycling aluminium packaging, relevant to waste management and metal manufacturing.;9
TA3.36;Recycling of glass in packaging: 75%;E - Water Supply, Sewerage, Waste Management and Remediation Activities;C - Manufacturing;;E38 - Waste collection, treatment and disposal activities, materials recovery;C23 - Manufacture of other non-metallic mineral products;;E38.3 - Materials recovery;C23.1 - Manufacture of glass and glass products;;This target involves recycling glass packaging, linking to waste management and glass manufacturing.;9
TA3.37;Recycling of paper and cardboard in packaging: 85%;E - Water Supply, Sewerage, Waste Management and Remediation Activities;C - Manufacturing;;E38 - Waste collection, treatment and disposal activities, materials recovery;C17 - Manufacture of paper and paper products;;E38.3 - Materials recovery;C17.1 - Manufacture of pulp, paper and paperboard;;This target focuses on recycling paper and cardboard packaging, relevant to waste management and paper manufacturing.;9
TA3.38;nan;;;;;;nan;;;;No content available.;0
TA3.39;From 2025, beverage bottles listed in Part F of the Annex which are manufactured from polyethylene terephthalate as the major component (‘PET bottles’) contain at least 25 % recycled plastic, calculated as an average for all PET bottles placed on the market on the territory of that Member State;C - Manufacturing;E - Water Supply, Sewerage, Waste Management and Remediation Activities;;C22 - Manufacture of rubber and plastic products;E38 - Waste collection, treatment and disposal activities, materials recovery;;C22.2 - Manufacture of plastics products;E38.3 - Materials recovery;;This target involves recycled content in PET bottles, relevant to plastic manufacturing and waste management.;9
TA3.4;By 2030 textile products placed on the EU market are long-lived and recyclable, to a great extent made of recycled fibres, free of hazardous substances and produced in respect of social rights and the environment;C - Manufacturing;;;;C13 - Manufacture of textiles;;;;C13.9 - Manufacture of other textiles;This target focuses on sustainable textile production, relevant to textile manufacturing.;9
TA3.40;Member States shall meet the target of 77% by weight for the separate collection for recycling of waste single-use plastic beverage bottles by 2025 and 90% by 2029;E - Water Supply, Sewerage, Waste Management and Remediation Activities;C - Manufacturing;;E38 - Waste collection, treatment and disposal activities, materials recovery;C22 - Manufacture of rubber and plastic products;;E38.3 - Materials recovery;C22.2 - Manufacture of plastics products;;This target involves the collection for recycling of plastic bottles, relevant to waste management and plastic manufacturing.;9
TA3.41;From 2019, the minimum collection rate to be achieved annually shall be 65 % of the average weight of EEE placed on the market in the three preceding years in the Member State concerned, or alternatively 85 % of WEEE generated on the territory of that Member State.;E - Water Supply, Sewerage, Waste Management and Remediation Activities;C - Manufacturing;;E38 - Waste collection, treatment and disposal activities, materials recovery;C26 - Manufacture of computer, electronic and optical products;;E38.3 - Materials recovery;C26.1 - Manufacture of electronic components and boards;;This target focuses on the collection of WEEE, relevant to waste management and electronic manufacturing.;9
TA3.42;From 15 August 2018, the recovery targets for the WEEE falling within the following categories of Annex III shall be: - 85% for Category 1 (temperature exchange equipment) or Category 4 (large equipment with any external dimension more than 50 cm) - 80% for Category 2 (e.g., screens and monitors) - 75% for Category 5 (small equipment with no external dimension more than 50 cm) or 6 (Small IT and telecommunication equipment with no external dimension more than 50 cm).;E - Water Supply, Sewerage, Waste Management and Remediation Activities;C - Manufacturing;;E38 - Waste collection, treatment and disposal activities, materials recovery;C26 - Manufacture of computer, electronic and optical products;;E38.3 - Materials recovery;C26.1 - Manufacture of electronic components and boards;;This target involves recovery targets for WEEE, relevant to waste management and electronic manufacturing.;9
TA3.43;From 15 August 2018, the preparation for re-use targets for the WEEE falling within the following categories of Annex III shall be: - 80% for Category 1 or Category 4 - 70% for Category 2 - 55% for Category 5 or Category 6;E - Water Supply, Sewerage, Waste Management and Remediation Activities;C - Manufacturing;;E38 - Waste collection, treatment and disposal activities, materials recovery;C26 - Manufacture of computer, electronic and optical products;;E38.3 - Materials recovery;C26.1 - Manufacture of electronic components and boards;;This target focuses on preparation for re-use of WEEE, relevant to waste management and electronic manufacturing.;9
TA3.44;From 15 August 2018, the recycling targets for the WEEE falling within the following categories of Annex III shall be: - 0% for Category 1 or Category 4 - 70% for Category 2 - 55% for Category 5 or Category 6;E - Water Supply, Sewerage, Waste Management and Remediation Activities;C - Manufacturing;;E38 - Waste collection, treatment and disposal activities, materials recovery;C26 - Manufacture of computer, electronic and optical products;;E38.3 - Materials recovery;C26.1 - Manufacture of electronic components and boards;;This target involves recycling targets for WEEE, relevant to waste management and electronic manufacturing.;9
TA3.45;By 2025, the preparing for re-use and recycling of municipal waste shall be increased to a minimum of 55% by weight (60% by 2030, 65% by 2035);E - Water Supply, Sewerage, Waste Management and Remediation Activities;;;;E38 - Waste collection, treatment and disposal activities, materials recovery;;;;E38.3 - Materials recovery;This target focuses on re-use and recycling of municipal waste, relevant to waste management.;9
TA3.46;Member States should aim to achieve an indicative Union-wide food waste reduction target of 30 % by 2025 and 50 % by 2030;C - Manufacturing;I - Accommodation and Food Service Activities;;C10 - Manufacture of food products;I56 - Food and beverage service activities;;C10.8 - Manufacture of other food products;I56.2 - Event catering and other food service activities;;This target involves reducing food waste, relevant to food manufacturing and services.;9
TA3.47;Hazardous household waste will have to be collected separately by 2022, bio-waste by 2023 and textiles by 2025;E - Water Supply, Sewerage, Waste Management and Remediation Activities;;;;E38 - Waste collection, treatment and disposal activities, materials recovery;;;;E38.3 - Materials recovery;This target focuses on the separate collection of specific waste types, relevant to waste management.;9
TA3.48;nan;;;;;;nan;;;;No content available.;0
TA3.5;By 2030 producers will have responsibility for their products along the value chain, including when they become waste. The circular textiles ecosystem is thriving, driven by sufficient capacities for innovative fibre-to-fibre recycling, while the incineration and landfilling of textiles is reduced to the minimum.;C - Manufacturing;E - Water Supply, Sewerage, Waste Management and Remediation Activities;;C13 - Manufacture of textiles;E38 - Waste collection, treatment and disposal activities, materials recovery;;C13.9 - Manufacture of other textiles;E38.3 - Materials recovery;;This target is about producer responsibility and textile recycling, linking to textile manufacturing and waste management.;9
TA3.6;nan;;;;;;nan;;;;No content available.;0
TA3.7;nan;;;;;;nan;;;;No content available.;0
TA3.8;Union's access to a secure and sustainable supply of critical raw materials by ensuring that the Union's extraction capacity is able to extract the ores, minerals or concentrates needed to produce at least 10% of the Union's annual consumption of strategic raw materials, to the extent that the Union’s reserves allow for this;B - Mining and Quarrying;;;;B7 - Mining of metal ores;;;;B7.1 - Mining of iron ores;This target focuses on extraction capacity for raw materials, relevant to mining.;9
TA3.9;Union's access to a secure and sustainable supply of critical raw materials by ensuring that the Union's processing capacity, including for all intermediate processing steps, is able to produce at least 40% of the Union's annual consumption of strategic raw materials;C - Manufacturing;B - Mining and Quarrying;;C24 - Manufacture of basic metals;B9 - Mining support service activities;;C24.5 - Casting of metals;;;This target involves processing capacity for raw materials, relevant to manufacturing and mining.;9
