target_code;thematic_area;colour_tag;target_content;   
TA2.18;TA2_Clean_affordable_and_secure_energy; ;Member States shall determine an indicative national share of renewable energy produced on-site or nearby as well as renewable energy taken from the grid in final energy consumption in their building sector in 2030 that is consistent with an indicative target of at least a 49 % share of energy from renewable sources in the building sector in the Union’s final energy consumption in buildings in 2030;   
TA2.19;TA2_Clean_affordable_and_secure_energy;;The fisheries sector must follow the two mutually reinforcing paths of reducing energy intensity, on the one hand, and switching to renewable and low-carbon energy sources, on the other hand;   
TA2.20;TA2_Clean_affordable_and_secure_energy;#orange;Renovate each year at least 3% of the total floor area of buildings owned by all levels of public administration (as also agreed by Council-Parliament on 10.03.23);   
TA2.21;TA2_Clean_affordable_and_secure_energy;;Member States shall ensure that the total final energy consumption of all public bodies combined is reduced by at least 1,9 % each year, when compared to 2021 (art. 5.1 Directive);   
TA2.22;TA2_Clean_affordable_and_secure_energy;#orange;Member States shall collectively ensure a reduction of energy consumption of at least 11,7 % in 2030 compared to the projections of the 2020 EU Reference Scenario so that the Union’s final energy consumption amounts to no more than 763 Mtoe (art. 4 Directive);   
TA2.23;TA2_Clean_affordable_and_secure_energy;#orange;Member States shall make efforts to collectively contribute to the indicative Union primary energy consumption target amounting to no more than 992,5 Mtoe in 2030 (art. 4 Directive) -> 39% savings for primary energy consumption in the EU;   
TA2.24;TA2_Clean_affordable_and_secure_energy;#orange;Each Member State shall ensure that at least 3 % of the total floor area of heated and/or cooled buildings (of buildings which have a total useful floor area of over 250 m2) that are owned by public bodies is renovated each year to be transformed into at least nearly zero-energy buildings or zero-emission buildings in accordance with Article 9 of Directive 2010/31/EU;   
TA2.25;TA2_Clean_affordable_and_secure_energy;#red;Reduce buildings' final energy consumption by 14%;   
TA2.26;TA2_Clean_affordable_and_secure_energy;#orange;At least double the annual energy renovation rate of residential and non-residential buildings by 2030 and to foster deep energy renovations;   
TA2.27;TA2_Clean_affordable_and_secure_energy;#orange;Indicative national targets aiming to achieve the deep renovation of at least 35 million building units by 2030 to support reaching an annual energy renovation rate of 3 % or more for the period till 2050 (see latest test adopted by EP on 14.03.2023);   
TA2.28;TA2_Clean_affordable_and_secure_energy;#red;Reduce buildings' energy consumption for heating and cooling by 18%;   
TA2.29;TA2_Clean_affordable_and_secure_energy;;"For the non-residential building stock, the revised rules require to gradually improve it via minimum energy performance standards. This will lead to renovating the 16% worst-performing buildings by 2030 and the 26% worst-performing buildings by 2033. 
See ‘Commission welcomes political agreement on new rules to boost energy performance of buildings across the EU’ ";   
TA2.30;TA2_Clean_affordable_and_secure_energy;;"The revised directive will make zero-emission buildings the new standard for new buildings. Under the agreement all new residential and non-residential buildings must have zero on-site emissions from fossil fuels, as of 1 January 2028 for publicly-owned buildings and as of 1 January 2030 for all other new buildings, with a possibility for specific exemptions. 
See ‘Commission welcomes political agreement on new rules to boost energy performance of buildings across the EU’ ";   
TA2.31;TA2_Clean_affordable_and_secure_energy;;All existing buildings should be transformed into zero-emission buildings;   
TA2.32;TA2_Clean_affordable_and_secure_energy;;100% of on-site energy consumption to be covered by renewable energy as for new buildings;   
TA2.33;TA2_Clean_affordable_and_secure_energy;;"The national measures will have to ensure that at least 55% of the decrease of the average primary energy use is achieved through the renovation of the worst-performing buildings 

See ‘Commission welcomes political agreement on new rules to boost energy performance of buildings across the EU’ ";   
TA2.34;TA2_Clean_affordable_and_secure_energy; ;"Each Member State will adopt its own national trajectory to reduce the average primary energy use of residential buildings by 16% by 2030 and 20-22% by 2035 

See ‘Commission welcomes political agreement on new rules to boost energy performance of buildings across the EU’ ";   
TA2.35;TA2_Clean_affordable_and_secure_energy;;"Member States will also have to set out specific measures on the phase-out of fossil fuels in heating and cooling with a view to a complete phase-out of boilers powered by fossil fuels by 2040 
See ‘Commission welcomes political agreement on new rules to boost energy performance of buildings across the EU’ ";   
TA2.36;TA2_Clean_affordable_and_secure_energy;;See ‘Commission welcomes political agreement on new rules to boost energy performance of buildings across the EU’ ;   
TA2.37;TA2_Clean_affordable_and_secure_energy;#green;By 2030, the share of renewable energy in the electricity mix should double to 55-60%, and projections show a share of around 84% by 2050. The remaining gap should be covered by other low-carbon options;   
TA2.38;TA2_Clean_affordable_and_secure_energy;#orange;The strategy sets targets for an installed capacity of at least 60 GW of offshore wind by 2030 and at least 300 GW by 2050. Grounding on the revised TEN-E regulation, EU countries have agreed on new, ambitious long-term goals for the deployment of offshore renewable energy up to 2050 in each of the EU’s five sea basins. As a result, the cumulative EU offshore goals have the following ranges: 109-112 GW by 2030, 215-248 GW by 2040, and 281-354 GW by 2050. ;   
TA2.39;TA2_Clean_affordable_and_secure_energy;#orange;The strategy sets targets for an installed capacity of at least 1 GW of ocean energy by 2030 and 40 GW by 2050;   
TA2.40;TA2_Clean_affordable_and_secure_energy;#red;Around 30% of EU primary steel production is expected to be decarbonized on the basis of renewable hydrogen;   
TA3.1;TA2_Clean_affordable_and_secure_energy;#red;Halve the amount of residual (non-recycled) municipal waste;   
TA3.2;TA2_Clean_affordable_and_secure_energy;#orange;Reduce landfill to a maximum of 10% of municipal waste;   
TA3.3;TA2_Clean_affordable_and_secure_energy;#red;Double its circular material use rate in the coming decade;   
TA3.4;TA2_Clean_affordable_and_secure_energy;#grey;By 2030 textile products placed on the EU market are long-lived and recyclable, to a great extent made of recycled fibres, free of hazardous substances and produced in respect of social rights and the environment;   
TA3.5;TA2_Clean_affordable_and_secure_energy;#orange;By 2030 producers will have responsibility for their products along the value chain, including when they become waste. The circular textiles ecosystem is thriving, driven by sufficient capacities for innovative fibre-to-fibre recycling, while the incineration and landfilling of textiles is reduced to the minimum. ;   
TA3.6;TA2_Clean_affordable_and_secure_energy;;;   
TA3.7;TA3_Industrial_strategy_for_a_clean_and_circular_economy;;;   
TA3.8;TA3_Industrial_strategy_for_a_clean_and_circular_economy;#orange;Union's access to a secure and sustainable supply of critical raw materials by ensuring that the Union's extraction capacity is able to extract the ores, minerals or concentrates needed to produce at least 10% of the Union's annual consumption of strategic raw materials, to the extent that the Union’s reserves allow for this;   
TA3.9;TA3_Industrial_strategy_for_a_clean_and_circular_economy;#orange;Union's access to a secure and sustainable supply of critical raw materials by ensuring that the Union's processing capacity, including for all intermediate processing steps, is able to produce at least 40% of the Union's annual consumption of strategic raw materials;   
TA3.10;TA3_Industrial_strategy_for_a_clean_and_circular_economy;#orange;Union's access to a secure and sustainable supply of critical raw materials by ensuring that the Union's recycling capacity, including for all intermediate recycling steps, is able to produce at least 15% of the Union's annual consumption of strategic raw materials;   
TA3.11;TA3_Industrial_strategy_for_a_clean_and_circular_economy;#orange;Diversify the Union's imports of strategic raw materials with a view to ensure that the Union's annual consumption of each strategic raw material at any relevant stage of processing can rely on imports from several third countries, none of which provide more than 65% of the Union's annual consumption;   
TA3.12;TA3_Industrial_strategy_for_a_clean_and_circular_economy;#grey;by 2030, manufacturing capacity in the Union of the strategic net-zero technologies listed in the Annex approaches or reaches a benchmark of at least 40% of the Union’s annual deployment needs for the corresponding technologies necessary to achieve the Union’s 2030 climate and energy targets;   
TA3.13;TA3_Industrial_strategy_for_a_clean_and_circular_economy;;;   
TA3.14;TA3_Industrial_strategy_for_a_clean_and_circular_economy;;;   
TA3.15;TA3_Industrial_strategy_for_a_clean_and_circular_economy;#red;Producers of portable batteries or, where appointed in accordance with Article 57(1), producer responsibility organisations, shall ensure that all waste portable batteries, Light Means of Transport (LMT) and SLI batteries, regardless of their nature, chemical composition, condition, brand or origin, are collected separately in the territory of a Member State where they make these batteries available on the market for the first time.  ;   
TA3.16;TA3_Industrial_strategy_for_a_clean_and_circular_economy;#grey;"Producers of portable batteries or producer responsibility organisations, shall attain, and maintain durably, at least the 
following collection targets for waste portable batteries: 45 % by 31 December 2023, 63 % by 31 December 2027, 73 % by 31 December 2030.";   
TA3.17;TA3_Industrial_strategy_for_a_clean_and_circular_economy;#grey;Producers of LMT (Light Means of Transport) batteries or producer responsibility organisations, shall attain, and maintain durably, at least the following collection targets of waste LMT batteries: 51 % by 31 December 2028, 61 % by 31 December 2031.;   
TA3.18;TA3_Industrial_strategy_for_a_clean_and_circular_economy;#grey;"Recycled content in industrial batteries, electric vehicle batteries, LMT batteries and SLI batteries: Cobalt:  16 % by 2031 (26% by 2036), Lead: 85% (85%), Nickel: 6% (12%), Lithium 6% (15%)
";   
TA3.19;TA3_Industrial_strategy_for_a_clean_and_circular_economy;#grey;"All batteries incorporated in market products shall be readily removable and replaceable by the end-user at any time during the lifetime (except some derogations)
";   
TA3.20;TA3_Industrial_strategy_for_a_clean_and_circular_economy;#green;"Recycling shall achieve at least the following targets for recycling efficiency:
No later than 31 December 2025
-	75% by average weight of lead-acid batteries,
-	80% by average weight of nickel-cadmium batteries
-	50% by average weight of other waste batteries
No later than 31 December 2030
-	80% by average weight of lead-acid batteries,";   
TA3.21;TA3_Industrial_strategy_for_a_clean_and_circular_economy;#orange;"Recycling shall achieve at least the following targets for recycling efficiency:
No later than 31 December 2025
-	65% by average weight of lithium-based batteries,
No later than 31 December 2030
-	70% by average weight of lithium-based batterie";   
TA3.22;TA3_Industrial_strategy_for_a_clean_and_circular_economy;#green;"All recycling shall achieve at least the following targets for recovery of materials: 
No later than 31 December 2027
-90% for cobalt, copper, lead and nickel, 
No later than 31 December 2031: 
-95% for cobalt, copper, lead, and nickel, 
";   
TA3.23;TA3_Industrial_strategy_for_a_clean_and_circular_economy;#orange;"All recycling shall achieve at least the following targets for recovery of materials: 
No later than 31 December 2027
-50% lithium
No later than 31 December 2031: 
-80% lithium";   
TA3.24;TA3_Industrial_strategy_for_a_clean_and_circular_economy;#orange;Reduce the generation of food waste in processing and manufacturing by 10% in comparison to the amount generated in 2020;   
TA3.25;TA3_Industrial_strategy_for_a_clean_and_circular_economy;#orange;Reduce the generation of food waste per capita, jointly in retail and other distribution of food, in restaurants and food services and in households, by 30 % in comparison to the amount generated in 2020;   
TA3.26;TA3_Industrial_strategy_for_a_clean_and_circular_economy;;;   
TA3.27;TA3_Industrial_strategy_for_a_clean_and_circular_economy;#grey;Making all packaging recyclable (see European Parliament resolution of 10 February 2021 on the New Circular Economy Action Plan, the New Circular Economy Action Plan and art. 5 of this Proposal);   
TA3.28;TA3_Industrial_strategy_for_a_clean_and_circular_economy;#orange;"The plastic part in packaging shall contain the following minimum percentage of recycled content recovered from post-consumer plastic waste, per unit of packaging:
From 1 January 2030
(i) 30% for contact sensitive packaging made from polyethylene terephthalate (PET) as major component,
(ii) 10% for contact sensitive made from plastic materials other than PET, except single use plastic bottles,
(iii) 30% for single use plastic beverage bottles,
(iv) 35% for other plastic packaging
From 1 January 2040
(v) 50% for contact sensitive plastic packaging, except single use plastic beverage bottles,
(vi) 65% for single use plastic beverage bottles,
(vii) 65% for other plastic packaging";   
TA3.29;TA3_Industrial_strategy_for_a_clean_and_circular_economy;#green;Member States shall take measures to achieve a sustained reduction in the consumption of lightweight plastic carrier bags on their territory. A sustained reduction is achieved if the annual consumption does not exceed 40 lightweight plastic carrier bags per person, or the equivalent target in weight, by 31 December 2025, and subsequently by 31 December in each year thereafter;   
TA3.30;TA3_Industrial_strategy_for_a_clean_and_circular_economy;#red;Reduce packaging waste by 5% per Member State per capita compared to 2018 by 2030, 10% by 2035 and 15% by 2040;   
TA3.31;TA3_Industrial_strategy_for_a_clean_and_circular_economy;#orange;Recycling or preparing for re-use 65% of all packaging waste by 2025, 70% by 2030;   
TA3.32;TA3_Industrial_strategy_for_a_clean_and_circular_economy;#orange;Recycling of plastic in packaging: 55%;   
TA3.33;TA3_Industrial_strategy_for_a_clean_and_circular_economy;#green;Recycling of wood in packaging: 30%;   
TA3.34;TA3_Industrial_strategy_for_a_clean_and_circular_economy;#green;Recycling of ferrous metals in packaging: 80%;   
TA3.35;TA3_Industrial_strategy_for_a_clean_and_circular_economy;#green;Recycling of aluminium in packaging: 60%;   
TA3.36;TA3_Industrial_strategy_for_a_clean_and_circular_economy;#green;Recycling of glass in packaging: 75%;   
TA3.37;TA3_Industrial_strategy_for_a_clean_and_circular_economy;#green;Recycling of paper and cardboard in packaging: 85%;   
TA3.38;TA3_Industrial_strategy_for_a_clean_and_circular_economy;;;   
TA3.39;TA3_Industrial_strategy_for_a_clean_and_circular_economy;#orange;From 2025, beverage bottles listed in Part F of the Annex which are manufactured from polyethylene terephthalate as the major component (‘PET bottles’) contain at least 25 % recycled plastic, calculated as an average for all PET bottles placed on the market on the territory of that Member State;   
TA3.40;TA3_Industrial_strategy_for_a_clean_and_circular_economy;#orange;Member States shall meet the target of 77% by weight for the separate collection for recycling of waste single-use plastic beverage bottles by 2025 and 90% by 2029;   
TA3.41;TA3_Industrial_strategy_for_a_clean_and_circular_economy;;From 2019, the minimum collection rate to be achieved annually shall be 65 % of the average weight of EEE placed on the market in the three preceding years in the Member State concerned, or alternatively 85 % of WEEE generated on the territory of that Member State.;   
TA3.42;TA3_Industrial_strategy_for_a_clean_and_circular_economy;;"From 15 August 2018, the recovery targets for the WEEE falling within the following categories of Annex III shall be:
-	85% for Category 1 (temperature exchange equipment) or Category 4 (large equipment with any external dimension more than 50 cm)
-	80% for Category 2 (e.g., screens and monitors)
-	75% for Category 5 (small equipment with no external dimension more than 50 cm) or 6 (Small IT and telecommunication equipment with no external dimension more than 50 cm).
";   
TA3.43;TA3_Industrial_strategy_for_a_clean_and_circular_economy;;"From 15 August 2018, the preparation for re-use targets for the WEEE falling within the following categories of Annex III shall be:
-	80% for Category 1 or Category 4 
-	70% for Category 2 
-	55% for Category 5 or Category 6
";   
TA3.44;TA3_Industrial_strategy_for_a_clean_and_circular_economy;;"From 15 August 2018, the recycling targets for the WEEE falling within the following categories of Annex III shall be:
- 0% for Category 1 or Category 4 
- 70% for Category 2 
- 55% for Category 5 or Category 6";   
TA3.45;TA3_Industrial_strategy_for_a_clean_and_circular_economy;#orange;By 2025, the preparing for re-use and recycling of municipal waste shall be increased to a minimum of 55% by weight (60% by 2030, 65% by 2035);   
TA3.46;TA3_Industrial_strategy_for_a_clean_and_circular_economy;;Member States should aim to achieve an indicative Union-wide food waste reduction target of 30 % by 2025 and 50 % by 2030;   
TA3.47;TA3_Industrial_strategy_for_a_clean_and_circular_economy;#green;Hazardous household waste will have to be collected separately by 2022, bio-waste by 2023 and textiles by 2025;   
TA3.48;TA3_Industrial_strategy_for_a_clean_and_circular_economy;;;   
TA4.2;TA3_Industrial_strategy_for_a_clean_and_circular_economy;;;   
TA4.3;TA3_Industrial_strategy_for_a_clean_and_circular_economy;#red;"The yearly average GHG intensity of the energy used on board by a ship during a reporting period shall not exceed these limits:
2 % from 1 January 2025,
6 % from 1 January 2030,
14,5 % from 1 January 2035,
31 % from 1 January 2040,
62 % from 1 January 2045,
80 % from 1 January 2050.";   
TA4.4;TA3_Industrial_strategy_for_a_clean_and_circular_economy;#red;A target for the use of RFNBO of 2% of the energy used on board by a ship from 2034;   
TA4.5;TA3_Industrial_strategy_for_a_clean_and_circular_economy;#red;Starting from 2025, at least 2% of aviation fuels will be green, with this share increasing every five years: 6% in 2030, 20% in 2035, 34% in 2040, 42% in 2045 and 70% in 2050. Hydrogen and fuel produced from cooking oil or waste gases considered green (link agreement Council - Parliament on 25.04.2023);   
TA4.6;TA3_Industrial_strategy_for_a_clean_and_circular_economy;#red;Synthetic aviation fuels are expected to play a role in the decarbonisation of the sector already by 2030 and should contribute to at least 35% of the aviation fuel mix by 2050, according to the EC proposal for ReFuelEU Aviation;   
TA4.7;TA3_Industrial_strategy_for_a_clean_and_circular_economy;#green;Each Member State shall set an obligation on fuel suppliers to ensure that: (B) the combined share of advanced biofuels and biogas produced from the feedstock listed in Part A of Annex IX and of renewable fuels of nonbiological origin in the energy supplied to the transport sector is at least 1 % in 2025 and 3,5 % in 2030, of which a share of at least 1 percentage point is from renewable fuels of non-biological origin in 2030;   
TA4.8;TA4_Sustainable_and_smart_mobility;;Member States with maritime ports should endeavour to ensure that from 2030 the share of renewable fuels of non-biological origin in the total amount of energy supplied to the maritime transport sector is at least 1,2 %.;   
TA4.9;TA4_Sustainable_and_smart_mobility;#orange;Cut the emissions of transport sector by 90%;   
TA4.10;TA4_Sustainable_and_smart_mobility;;EU fisheries are encouraged to continue the positive trend, as observed for the period 2009-2019, towards reducing fuel intensity by reducing the fossil-fuel consumption per kg of landed product for at least an additional 15% for the period 2019-2030;   
TA4.11;TA4_Sustainable_and_smart_mobility;#grey;Reduce the average door-to-door cost of combined transport operations by at least 10% within 7 years;   
TA4.12;TA4_Sustainable_and_smart_mobility;#red;GHG intensity reduction target in the maritme sector (link Agreement Council - Parliament on 23.03.2023): -2% from 1 January 2025, -6% from 1 January 2030, -14.5% from 1 January 2035, -31% from 1 January 2040, -62% from 1 January 2045, -80% from 1 January 2050);   
TA4.13;TA4_Sustainable_and_smart_mobility;#orange;For new urban buses the share of zeroemissions vehicles shall be 100% as from the reporting period of the year 2030;   
TA4.14;TA4_Sustainable_and_smart_mobility;#red;Renewable and low-carbon fuels should represent between 6% and 9% of the international maritime transport fuel mix by 2030 and between 86% and 88% by 2050;   
TA4.15;TA4_Sustainable_and_smart_mobility;#orange;The average CO2 emissions of the Union fleet of new heavy-duty motor vehicles, other than special purpose, off-road, off-road special purpose, and vocational vehicles shall be reduced by the following percentages compared to the average CO2 emissions of the reporting period of the year 2019: (a) for vehicle sub-groups 4-UD, 4-RD, 4-LH, 5-RD, 5-LH, 9-RD, 9-LH, 10-RD, 10-LH for the reporting periods of the years 2025 to 2029 by 15 %, for all vehicle sub-groups for the reporting periods of the years 2030 to 2034 by 45 %, (c) for all vehicle sub-groups for the reporting periods of the years 2035 to 2039 by 65 %, (d) for all vehicle sub-groups for the reporting periods of the years 2040 onwards by 90%;   
TA4.16;TA4_Sustainable_and_smart_mobility;;From 1 January 2020, this Regulation sets an EU fleet-wide target of 95 g CO2/km for the average emissions of new passenger cars and an EU fleet-wide target of 147 g CO2/km for the average emissions of new light commercial vehicles registered in the Union, as measured until 31 December 2020 in accordance with Regulation (EC) No 692/2008 together with Implementing Regulations (EU) 2017/1152 and (EU) 2017/1153, and from 1 January 2021 measured in accordance with Regulation (EU) 2017/1151.;   
TA4.17;TA4_Sustainable_and_smart_mobility;;This Regulation will, until 31 December 2024, be complemented by additional measures corresponding to a reduction of 10 g CO2/km as part of the Union's integrated approach referred to in the Commission's communication of 7 February 2007 entitled ‘Results of the review of the Community Strategy to reduce CO2 emissions from passenger cars and light-commercial vehicles;   
TA4.18;TA4_Sustainable_and_smart_mobility;;;   
TA4.19;TA4_Sustainable_and_smart_mobility;;;   
TA4.20;TA4_Sustainable_and_smart_mobility;#orange;In the first phase, from 2020 up to 2024, the strategic objective is to install at least 6 GW of renewable hydrogen electrolysers in the EU and the production of up to 1 million tonnes of renewable hydrogen. In the second phase, from 2025 up to 2030, the strategic objective is to install at least 40 GW of renewable hydrogen electrolysers and the production of up to 10 million tonnes of renewable hydrogen in the EU ;   
TA4.21;TA4_Sustainable_and_smart_mobility;;In a third phase, from 2030 onwards and towards 2050, renewable hydrogen technologies should reach maturity and be deployed at large scale to reach all hard-to-decarbonise sectors where other alternatives might not be feasible or have higher costs. In this phase, renewable electricity production needs to massively increase as about a quarter of renewable electricity might be used for renewable hydrogen production by 2050;   
TA4.22;TA4_Sustainable_and_smart_mobility;#orange;Build three million public electric charging points by 2030. Build one million public electric charging points by 2025. ;   
TA4.23;TA4_Sustainable_and_smart_mobility;#red;Build 1.000 hydrogen stations by 2030. By 2025, build half of the 1.000 hydrogen stations needed for 2030;   
TA4.24;TA4_Sustainable_and_smart_mobility;;;   
TA4.25;TA4_Sustainable_and_smart_mobility;;Member States shall ensure that, at the end of each year, starting from the year referred to in Article 26, the following power output targets are met cumulatively: (a) for each light-duty battery electric vehicle registered in their territory, a total power output of at least 1,3 kW is provided through publicly accessible recharging stations, and (b) for each light-duty plug-in hybrid vehicle registered in their territory, a total power output of at least 0,80 kW is provided through publicly accessible recharging stations;   
TA4.26;TA4_Sustainable_and_smart_mobility;#grey;Member States shall ensure that along the TEN-T core and comprehensive networks, publicly accessible recharging pools dedicated to light-duty vehiclesdeployed in each direction of travel with a maximum distance of 60 km in-between them offering a power output of at least 600kW and including at least one recharging point with an individual power output of at least 150 kW;   
TA4.27;TA4_Sustainable_and_smart_mobility;#grey;By 31 December 2030 (with intermediate 2025 and 2027 targets), along the TEN-T core road network, publicly accessible recharging pools dedicated to heavy-duty electric vehicles are deployed in each direction of travel with a maximum distance of 60 km between them [...] (with intermediate 2025 and 2027 targets). Along the TEN-T comprehensive road network, recharging pools dedicated to heavy-duty electric vehicles are deployed in each direction of travel with a maximum distance of 100 km between them and each recharging pool offers a power output of at least 1 500 kW and includes at least one recharging point with an individual power output of at least 350 kW;   
