target_code;target_content;target_assessment;sub_theme
TA2.2;"Set up at least one renewables-based energy community in every municipality with a population higher than 10.000 by 2025
EU Solar Energy Strategy";For the 2010-2021 period, energy communities in the EU were still a niche in most national energy markets, with an estimated 9250 energy communities currently in operation across the EU and highly unbalanced distribution among Member States. More than half of these are located in Germany and almost 1000 are in the Netherlands. To date, however, a systematic and cross-country database on citizen-led initiatives and projects is lacking [74].;
TA2.3;"Member States shall ensure that the contribution
of renewable fuels of non-biological origin used for final energy and non-energy purposes shall be at least 42% of the hydrogen used for final energy and non-energy purposes in industry by 2030, and 60% by 2035.
RED III (Directive (EU) 2023/2413)";The use of renewable hydrogen in Europe was negligible up to 2023, including also in industrial processes.;
TA2.4;"Double the current deployment rate of individual heat pumps, resulting in a cumulative 10 million units by 2027 and 30 million units by 2030.
REPowerEU";The deployment rate was 2.2 million heat pumps in 2021 and 3 million in 2022. There are nearly 20 million heat pumps installed in the EU as of 2022. The current rate is enough to reach the 2030 target.;
TA2.5;"Bring online over 320 GW of solar photovoltaic by 2025 and almost 600 GW by 2030
EU Solar Energy Strategy";The EU solar generation capacity keeps increasing and reached, according to SolarPower Europe, an estimated 260 GW in 2023, 224 GWac (ac: alternating current) according to JRC estimates [75]. Compared to 177 GWac (ac: alternating current) in 2022. Based on the latest data, the 2025 target could be achieved.;
TA2.6;"Energy demand to be covered by solar heat and geothermal should at least triple (rate is currently at 1.5%)
EU Solar Energy Strategy";Share should be 4.5% by 2030. In 2021, the relative size of solar thermal in overall heat consumption was 0.687 TWh (0.1%), over the total of 651 TWh. According to EurObserv'ER, there was a 10% growth in 2022, while the required annual rate growth is 12% to reach the target.;
TA2.7;"Over this decade, the EU will need to install, on average, approximately 45 GW per year of PV to reach the share of 45% of energy coming from renewables set out in the REPowerEU Plan.
EU Solar Energy Strategy";The installations in 2023 are estimated at 56 GWp (about 47 GWac) growing from 41 GWp (about 34 GWac) in 2022. At this current rate, the target is met.;
TA2.9;Member States shall collectively ensure that the share of energy from renewable sources in the Union’s gross final consumption of energy in 2030 is at least 42.5%. RED III (Directive (EU) 2023/2413);"In 2022, renewable energy represented 23.0 % of energy consumed in the EU, up
from 21.9% in 2021. This EU-level target has not been translated into binding national contributions. The target is to be achieved jointly by all Member States, building on their coordinated and combined action. According to the EC assessment of the draft NECPs, the current drafts would lead to a share of 38.6-39.3% of renewables in the energy mix by 2030. Reaching the 2030 target of 42.5% (and even more so the aspirational target of 45%) will require a much faster growth in the coming years.";Renewable energy in the power system
TA4.1;Achieve an annual production of sustainable biomethane of 35 billion cubic meters by 2030 Directive (EU) 2023/2413;In 2021, the total biomethane production in the EU was 3.5 billion cubic meters, produced in about 1300 biomethane plants. Production increased in 2022 to reach 4.2 bcm. In order to reach 35 billion cubic meters, an estimate of 5000 additional plants are required. .;
TA2.10;"Member States shall set an indicative target for innovative renewable energy technology of at least 5% of newly installed renewable energy capacity by 2030.
RED III (Directive (EU) 2023/2413)";"Innovative technologies are defined as those that improve in at least one way comparable state-of-the-art renewable energy technologies or make exploitable a largely untapped renewable energy resource, involving a clear degree of risk,
in technological, market or financial terms, which is higher than the risk generally associated with comparable non-innovative technologies or activities. According to the Association of European Renewable Energy Research Centers (EUREC)
[73], the EU’s industry is ready, in the right circumstances, to deploy innovative renewable energy technologies to a level likely to exceed 5%, including innovative technologies such as advanced photovoltaics, floating photovoltaics, concentrated solar power and solar thermal.";Renewable energy in the power system
TA2.11;"By 31 December 2025, each Member State shall agree to establish a framework for cooperation on joint projects with one or more other Member States for the production of renewable energy, subject to the following: by 31 December 2030, Member States shall endeavour to agree on establishing at least two joint projects, by 31 December 2033, Member States with an annual electricity consumption of more than 100 TWh shall endeavour to agree on establishing a third joint project.
RED III (Directive (EU) 2023/2413)";Joint projects allow for a cost-efficient deployment of renewable energy across Europe and contribute to market integration. Despite its potential, cooperation between Member States has been very limited, thus leading to suboptimal results in terms of efficiency in increasing renewable energy. There are a few projects under consideration and being planned, as well as some permitting and under construction. However, these are in localised areas across the EU and not homogeneously distributed between Member States.;
TA2.13;"The amount of renewable fuels and renewable electricity supplied to the transport sector leads to a: (i) share of renewable energy within the final consumption of energy in the transport sector of at least 29 % by 2030, or
(ii) GHG intensity reduction of at least 14.5 % by 2030, compared to the baseline set out in Article 27(1), in accordance with an indicative trajectory set by the Member State.
RED III (Directive (EU) 2023/2413)";"The share of energy from renewable sources used in transport in the EU reached 9.6 % in 2022, up from 9.1% in 2021. Acceleration is needed to reach the 2030 target. Following a sharp 13.5% drop in transport related GHG emissions between 2019 and 2020, due to the COVID-19 pandemic, according to European Environ- ment Agency (EEA) data, they surged upwards (by 8.6%) between 2020 and 2021 from 720.2 to 782.1 Mt (million tonnes) and the EEA forecasts a further 2.7% increase for 2022, which would restore emission levels to above the 800-Mtonne threshold (803.2 Mt in 2022).
CO2 emissions account for almost all transport related GHG emissions (98.9% in 2021) and far outstrip those of nitrous oxide (N2O) (0.9% in CO2 equivalent units) and methane (0.2% in CO2 equivalent units).";Renewable energy in the power system
TA2.14;Each Member State shall increase the share of renewable energy in the heating and cooling sector by at least 0.8 percentage points as an annual average calculated for the period 2021 to 2025 and by at least 1.1 percentage points as an annual average calculated for the period 2026 to 2030, starting from the share of renewable energy in the sector in 2020. RED III (Directive (EU) 2023/2413);"Energy for heating and cooling makes up around half of the EU’s total gross final energy consumption. The annual average increases would lead to a target of 32.48% share by 2030. In 2022, the share of energy from renewables in heating and cooling continued to rise, with the EU average standing at 24.8%, up 1.8 percentage points from 2021 (23.0%). However, the 2022 value is still below the expected annual average. In absolute terms, the gross final consumption
of renewable energy for heating and cooling purposes in the EU has gradually increased over time, mostly due to the contribution of biomass and heat pumps. However, a major push is required to meet the 2030 target.
Sweden led the way when it came to renewables in heating and cooling, with a 69.3% share, followed by Estonia (65.4%). Both countries use mostly biomass and heat pumps. They are followed by Latvia (61.0%), which relies mostly on biomass.";Energy efficiency
TA2.15;"By 2022, achieve 18% of the total increase in the share of energy from renewable sources between that Member State’s binding 2020 national target, and its contribution to the 2030 target of the share of energy from renewable sources in gross final consumption of energy. Achieve 43% by 2025, 65% by 2027.
RED III (Directive (EU) 2023/2413)";Two Member States (Malta and Sweden) have already reached their 2030 target. 18 Member States have achieved the 2022 target of 18%. However, in 2021, 10 Member States experienced a decline in their share respect their 2020 value. This occurred as well for seven Member States in 2022, nevertheless, two of them have still met their 2022 targets despite the decrease. The EU jointly has reached the 2022 sub-target.;Renewable energy in the power system
TA2.16;"Member States shall endeavour to increase the share of renewable sources in the amount of energy sources used for final energy and non-energy purposes in the industry sector by an indicative increase of at least 1.6 percentage points as an annual average calculated
for the periods 2021 to 2025 and 2026 to 2030 [Indicative target]
RED III (Directive (EU) 2023/2413)";A 1.6 percentage point annual increase leads to a 26% share of renewables by 2030. The share of renewables in 2022 was 10.7%, an increase from 9.7% in 2020. In absolute values, this is an increase from 23.3 Mtoe in 2021 to 24.1 Mtoe in 2022 Acceleration is needed to reach the 2030 target.;Renewable energy in the power system
TA2.17;"A target of 15% electricity interconnection for 2030
RED III (Directive (EU) 2023/2413)";In 2021, 16 countries reported being on track to reach that target by 2030, or had already reached the target, but more interconnections are needed in some regions. Specifically, eight Member States have already met or are exceeding the EU target. Others commit in their draft NECPs to develop interconnections with neighbouring countries by investing in new transmission capacities and interconnectors, espe- cially in regions that are historically dependent on a single supplier and now aim to improve diversification. Moreover, some Member States (e.g. EE, FI, IT and PT) plan to diversify their energy mix by carrying out joint hydrogen infrastructure projects [7]. Overall, Member States have made good efforts to increase cross-border capacity and the completion of various Projects of Common Interest should further improve the interconnectivity levels. Some Member States (CZ, IT, PT RO, SI, SE) are reporting delays in the completion of the projects in particular due to permitting issues. Still further efforts are required to meet the 2030 objectives, especially in terms of timely delivery of the planned cross-border projects [72].;
TA2.18;Indicative target of at least a 49% share of energy from renewable sources in the building sector in the Union’s final energy consumption in buildings in 2030. RED III (Directive (EU) 2023/2413);No data available for buildings, only for the heating and cooling sector. From this data, the most reported fuels and technologies in 2021 per country are: biomass (21 countries), heat pumps (19), solar thermal systems (17), geothermal systems (12) and other decentralised renewable sources (8).;
TA2.21;Member States shall ensure that the total final energy consumption of all public bodies combined is reduced by at least 1.9% each year, when compared to 2021. Directive (EU) 2023/1791;"14 Member States reported data on public buildings in their national energy
and climate progress reports (NECPRs). Missing data prevent drawing general conclusions or calculating aggregated data at the EU level. In terms of final energy, the short-term evolution indicates a general increase with some exceptions, such as the residential sector in Greece and Ireland. The first reporting deadline for the EED is at the end of 2024.";Energy efficiency
TA2.22;"Member States shall collectively ensure a reduction
of energy consumption of at least 11.7% in 2030 compared to the projections of the 2020 EU Reference Scenario so that the Union’s final energy consumption amounts to no more than 763 Mtoe.
Directive (EU) 2023/1791";Final energy consumption reached 940 Mtoe in 2022, a 2.8% decrease compared with 2021. According to the EC assessment of the NECPs, the current Member States drafts pledges would lead to 5.8% energy efficiency improvements in 2030, compared to the target of 11.7%. Therefore, acceleration is needed to reach the 2030 target.;
TA2.23;"Member States shall make efforts to collectively contribute to the indicative Union primary energy consumption target amounting to no more than 992.5 Mtoe in 2030.
Directive (EU) 2023/1791";"In 2022, primary energy consumption in the EU reached 1257 Mtoe, a 4.1% decrease compared with 2021, moving closer to the 2030 target.
Following the decline registered in 2020 due to the impact of the pandemic across sectors, EU primary energy consumption increased again in 2021. The year 2022 shows better results than in 2019, before the pandemic, when primary energy consumption was at 1354 Mtoe and 36.5% away from the target.
The 1257 Mtoe registered for primary energy consumption in 2022 was the second lowest level since 1990 (the first year for which data are available), and the lowest was in 2020 (1236 Mtoe).
According to the EC assessment of the NECPs, the current drafts would lead to a gap of 75 Mtoe from the 2030 target.";
TA2.24;Each Member State shall ensure that at least 3% of the total floor area of heated and/or cooled buildings (of buildings which have a total useful floor area of over 250 m2 and are not nearly-zero energy buildings) that are owned by public bodies is renovated each year to be transformed into at least nearly zero- energy buildings or zero-emission buildings in accordance with Article 9 of Directive 2010/31/EU. Directive (EU) 2023/1791;According to SWD(2023)646, several Member States did not reach their annual targets. Member States will have to step up their efforts to be able to meet the savings requirement in 2030.;
TA2.25;"Reduce buildings’ final energy consumption by 14%.
A Renovation Wave for Europe";The reference value for 2015 is 374.5 Mtoe. The final energy consumption (FEC) increased in 2021 to 391.2, value obtained from adding FEC from service and residential buildings (129.4 and 261.8 Mtoe). In 2022, the FEC decreased to 364.1 Mtoe, with 121.6 Mtoe coming from service buildings and 242.4 from residential buildings. Consumptions decreased by 2.8% in the 2015-2022 period.;
TA2.26;"At least double the annual energy renovation rate of residential and non-residential buildings by 2030 and to foster deep energy renovations.
A Renovation Wave for Europe";"The weighted annual energy renovation rate in the EU is about 1%, rate should double to 2% to achieve the target. For residential buildings, the annual weighted energy renovation rate was estimated close to 1% within the EU (0.4-1.2% depending on the Member State), for the 2012-2016 period. As of 2021, the annual rate of deep renovation is only 0.2% for residential buildings and 0.3% for non-residential buildings.
Data on renovation rates in the NECPR are highly incomplete, with only seven Member States reporting in this field in 2023";
TA2.28;"Reduce buildings’ energy consumption for heating and cooling by 18% compared to 2015 levels by 2030
A Renovation Wave for Europe";"The reference value for 2015 is 234 Mtoe. In 2021, FEC for space heating and cooling buildings was 247.2 Mtoe, obtained from adding FEC for space heating residential + FEC for air conditioning residential (only electricity) + FEC for space heating services + FEC for air conditioning = 170.72 + 1.01 + 64.9 + 10.6 = 247.2 Mtoe (data from [75]). Consumptions increased by 5.6% (2015-2021), instead of reducing.
Data for 2022 has not been published yet, however an estimate can be provided based on the 2015-2021 average share of services FEC for space heating and air conditioning to total services FEC (56%).
2022 FEC for space heating and cooling buildings = FEC for space heating residential + FEC for air conditioning residential (only electricity) + FEC for space heating and air conditioning services = 159.4 + 1.1 + 68.0 = 228 Mtoe. Consumptions expected to decrease by 1.3% (2015-2022).";
TA2.29;"Member states will have to renovate 16% of worst- performing non-residential buildings by 2030 and, by 2033, the worst-performing 26% through minimum energy performance requirements.
EPBD (Directive (EU) 2024/1275)";Member States use different approaches to define their worst performing stock, such as energy class, age, energy consumption, as resulted by the analysis of the last long term building renovation strategies. In their NECPRs, a total of 6 countries defined worst performance according the primary or final energy consumption in kWh/m2, while no information was found in 12 other countries.;
TA2.33;"The national measures will have to ensure that at least 55% of the decrease of the average primary energy use is achieved through the renovation of the worst-performing buildings.
EPBD (Directive (EU) 2024/1275)";Member States use different approaches to define their worst performing stock, such as energy class, age, energy consumption, as resulted by the analysis of the last long term building renovation strategies. In the NECPR, a total of 6 countries defined worst performance according the primary or final energy consumption in kWh/m2, while no information was found in 12 other countries. The fields on worst performing buildings have generally a lower completeness in the NECPRs;
TA2.34;"Member States shall ensure that the average primary energy use of the entire residential building stock decreases by at least 16% compared to 2020 by 2030, and by at least 20-22% compared to 2020 by 2035
EPBD (Directive (EU) 2024/1275)";EU residential consumption in 2022 was 242 Mtoe (reduced by -2.1% on average in EU Member States compared to 2020). Strong acceleration is needed to meet the 2030 target;
TA2.41;"Member States are required to achieve cumulative end-use energy savings from 2021 to 2030, equivalent to new annual savings of at least 0.8%
of final energy consumption in 2021-2023, at least 1.3% in 2024-2025, 1.5% in 2026-2027 and 1.9% in 2028-2030.
Directive (EU) 2023/1791";"The directive requires EU countries to set indicative national energy efficiency targets based on final energy consumption contributions to meet the Union’s target. This requirement is cumulative, meaning that Member States must sustain the annual savings achieved in one year over the following years, until the end of the obligation period in 2030.
Member States can spread the savings over the obligation period, as long as they achieve the required cumulative amount of savings at the end of the period. The progressive increase is equivalent to a flat rate of 1.49% over 2024-2030, which is almost a doubling of the current ambition level.";
TA2.37;"By 2030, the share of renewable energy in the electricity mix should double to 55-60%, and projections show a share of around 84% by 2050. The remaining gap should be covered by other low-carbon options.
An EU Strategy for Energy System Integration";In 2022, 39% of electricity was generated by renewables (38% in 2021), and in May 2022 wind and solar surpassed fossil fuels for the first time in EU electricity generation. The EU is on track to meet the lower end of the target for 2030 if the current acceleration rate is maintained;
TA2.38;"Cumulative EU offshore goals of installed capacity: 60 GW by 2030 and 300 GW by 2050
An EU offshore Renewable Energy Strategy";In 2023, the cumulative installed capacity for wind offshore was on the order of 19 GW (it was 16.2 GW in 2022). Annual installation rate grew from 1.2 GW/year to around 3GW/year. A substantial increase is required in annual installations to reach 60 GW by 2030 (about twice the increase rate). Additionally, Member States have agreed to a new more ambitious non-binding target of reaching 111 GW by 2030 and 317 GW by 2050.;
TA2.39;"The strategy sets targets for an installed capacity of at least 1 GW of ocean energy by 2030 and 40 GW by 2050
An EU offshore Renewable Energy Strategy";"In 2023, the EU Member States installed in the order of 700 kW of
ocean energy (compared to 150 kW in 2022) and the cumulative ocean energy capacity in European sea basins is 43.8 MW. While there has been a positive increase in installations in the last year, the rate of annual installed capacity should still grow substantially to reach the 2030 target. Strong acceleration is needed.";
TA2.40;"Around 30% of EU primary steel production is ex- pected to be decarbonised on the basis of renewable hydrogen.
REPowerEU";The use of renewable hydrogen in Europe is negligible at the moment. This also includes industrial processes. Several initiatives at the European level such as Projects of Common Interest (PCIs), Important Projects of Common European Interest (IPCEIs), and the Hydrogen Bank, are expected to kick- start production of renewable hydrogen at scale. Several of the financed initiatives are targeting the production of green steel and currently Europe has the highest number of projects aimed at using renewable hydrogen for the production of steel.;
TA3.1;"Halve the amount of residual (non-recycled) municipal waste by 2030
A new Circular Economy Action Plan";"For this target, 2020 was assumed as the reference year, since the new CEAP was published in March 2020. This target is also recalled in the 'Zero Pollution Action Plan'. The target aims at halving the amount of residual municipal waste by 2030. Assuming as a reference year the 2020, the residual municipal waste should be reduced from 119 to 59.5 Mtonnes.
Looking at historical trends, the amount of residual municipal waste decreased by only 5% in the time frame 2012-2021 and slightly increased in the last seven years (2015-2021, +2.6%). Despite increasing recycling levels, the amount of waste generated is increasing at a higher pace [130].";
TA3.3;"Double EU’s circular material use rate in the coming decade
A new Circular Economy Action Plan";This target aims to increase the circular material use rate (CMUR) from 11.7% in 2020 to 23.4% in 2030. At the EU level, this target has been steady since 2010, registering an increase of less than 1 percentage point [131]. As such, there is a stagnation in the pace of improvement of the CMUR indicator. At the Member State level, CMUR shows a high variability with values ranging from 0.6 to 27.5% in 2022.;
TA3.8;"By 2030, Union extraction capacity should be able
of extracting the ores, minerals or concentrates needed to produce at least 10% of the Union’s annual consumption of strategic raw materials, to the extent possible in light of the Union’s reserves.
Regulation (EU) 2024/1252";"The historical time trends (2011-2022) for EU self-sufficiency at extraction phase for the 16 strategic materials can be extracted based on data from [121], [122] and [123]. Results show that:
- In 2022, cobalt, copper, lithium and nickel were above the benchmark of 10%, while their trends have been stably above the benchmark (i.e. copper and nickel) or increased slightly in the period 2011-2022 (i.e. cobalt and lithium)1.
- For bismuth, boron, gallium, germanium, magnesium, natural graphite, titanium, platinum group metals, heavy rare earth elements and light rare earth elements, the EU’s self-sufficiency has always been below 2%.
- Between 2016 and 2022, the EU’s self-sufficiency for manganese was below the benchmark, with values ranging from 4 to 10% in the time frame 2016-2022.
1 Due to high volatility on the data for tungsten (only two date points available from EC studies), this material is not included in the analysis.";
