;target_code;target_assessment
19;TA2.17;In 2021, 16 countries reported being on track to reach that target by 2030, or had already reached the target, but more interconnections are needed in some regions. Specifically, eight Member States have already met or are exceeding the EU target. Others commit in their draft NECPs to develop interconnections with neighbouring countries by investing in new transmission capacities and interconnectors, espe- cially in regions that are historically dependent on a single supplier and now aim to improve diversification. Moreover, some Member States (e.g. EE, FI, IT and PT) plan to diversify their energy mix by carrying out joint hydrogen infrastructure projects [7]. Overall, Member States have made good efforts to increase cross-border capacity and the completion of various Projects of Common Interest should further improve the interconnectivity levels. Some Member States (CZ, IT, PT RO, SI, SE) are reporting delays in the completion of the projects in particular due to permitting issues. Still further efforts are required to meet the 2030 objectives, especially in terms of timely delivery of the planned cross-border projects [72].
20;TA2.18;No data available for buildings, only for the heating and cooling sector. From this data, the most reported fuels and technologies in 2021 per country are: biomass (21 countries), heat pumps (19), solar thermal systems (17), geothermal systems (12) and other decentralised renewable sources (8).
21;TA2.19;
22;TA2.2;For the 2010-2021 period, energy communities in the EU were still a niche in most national energy markets, with an estimated 9250 energy communities currently in operation across the EU and highly unbalanced distribution among Member States. More than half of these are located in Germany and almost 1000 are in the Netherlands. To date, however, a systematic and cross-country database on citizen-led initiatives and projects is lacking [74].
23;TA2.20;
24;TA2.21;"14 Member States reported data on public buildings in their national energy
and climate progress reports (NECPRs). Missing data prevent drawing general conclusions or calculating aggregated data at the EU level. In terms of final energy, the short-term evolution indicates a general increase with some exceptions, such as the residential sector in Greece and Ireland. The first reporting deadline for the EED is at the end of 2024."
25;TA2.22;Final energy consumption reached 940 Mtoe in 2022, a 2.8% decrease compared with 2021. According to the EC assessment of the NECPs, the current Member States drafts pledges would lead to 5.8% energy efficiency improvements in 2030, compared to the target of 11.7%. Therefore, acceleration is needed to reach the 2030 target.
26;TA2.23;"In 2022, primary energy consumption in the EU reached 1257 Mtoe, a 4.1% decrease compared with 2021, moving closer to the 2030 target.
Following the decline registered in 2020 due to the impact of the pandemic across sectors, EU primary energy consumption increased again in 2021. The year 2022 shows better results than in 2019, before the pandemic, when primary energy consumption was at 1354 Mtoe and 36.5% away from the target.
The 1257 Mtoe registered for primary energy consumption in 2022 was the second lowest level since 1990 (the first year for which data are available), and the lowest was in 2020 (1236 Mtoe).
According to the EC assessment of the NECPs, the current drafts would lead to a gap of 75 Mtoe from the 2030 target."
27;TA2.24;According to SWD(2023)646, several Member States did not reach their annual targets. Member States will have to step up their efforts to be able to meet the savings requirement in 2030.
28;TA2.25;The reference value for 2015 is 374.5 Mtoe. The final energy consumption (FEC) increased in 2021 to 391.2, value obtained from adding FEC from service and residential buildings (129.4 and 261.8 Mtoe). In 2022, the FEC decreased to 364.1 Mtoe, with 121.6 Mtoe coming from service buildings and 242.4 from residential buildings. Consumptions decreased by 2.8% in the 2015-2022 period.
29;TA2.26;"The weighted annual energy renovation rate in the EU is about 1%, rate should double to 2% to achieve the target. For residential buildings, the annual weighted energy renovation rate was estimated close to 1% within the EU (0.4-1.2% depending on the Member State), for the 2012-2016 period. As of 2021, the annual rate of deep renovation is only 0.2% for residential buildings and 0.3% for non-residential buildings.
Data on renovation rates in the NECPR are highly incomplete, with only seven Member States reporting in this field in 2023"
30;TA2.27;
31;TA2.28;"The reference value for 2015 is 234 Mtoe. In 2021, FEC for space heating and cooling buildings was 247.2 Mtoe, obtained from adding FEC for space heating residential + FEC for air conditioning residential (only electricity) + FEC for space heating services + FEC for air conditioning = 170.72 + 1.01 + 64.9 + 10.6 = 247.2 Mtoe (data from [75]). Consumptions increased by 5.6% (2015-2021), instead of reducing.
Data for 2022 has not been published yet, however an estimate can be provided based on the 2015-2021 average share of services FEC for space heating and air conditioning to total services FEC (56%).
2022 FEC for space heating and cooling buildings = FEC for space heating residential + FEC for air conditioning residential (only electricity) + FEC for space heating and air conditioning services = 159.4 + 1.1 + 68.0 = 228 Mtoe. Consumptions expected to decrease by 1.3% (2015-2022)."
32;TA2.29;Member States use different approaches to define their worst performing stock, such as energy class, age, energy consumption, as resulted by the analysis of the last long term building renovation strategies. In their NECPRs, a total of 6 countries defined worst performance according the primary or final energy consumption in kWh/m2, while no information was found in 12 other countries.
33;TA2.3;The use of renewable hydrogen in Europe was negligible up to 2023, including also in industrial processes.
34;TA2.30;
35;TA2.31;
36;TA2.32;
37;TA2.33;Member States use different approaches to define their worst performing stock, such as energy class, age, energy consumption, as resulted by the analysis of the last long term building renovation strategies. In the NECPR, a total of 6 countries defined worst performance according the primary or final energy consumption in kWh/m2, while no information was found in 12 other countries. The fields on worst performing buildings have generally a lower completeness in the NECPRs
38;TA2.34;EU residential consumption in 2022 was 242 Mtoe (reduced by -2.1% on average in EU Member States compared to 2020). Strong acceleration is needed to meet the 2030 target
39;TA2.35;
40;TA2.36;
41;TA2.37;In 2022, 39% of electricity was generated by renewables (38% in 2021), and in May 2022 wind and solar surpassed fossil fuels for the first time in EU electricity generation. The EU is on track to meet the lower end of the target for 2030 if the current acceleration rate is maintained
42;TA2.38;In 2023, the cumulative installed capacity for wind offshore was on the order of 19 GW (it was 16.2 GW in 2022). Annual installation rate grew from 1.2 GW/year to around 3GW/year. A substantial increase is required in annual installations to reach 60 GW by 2030 (about twice the increase rate). Additionally, Member States have agreed to a new more ambitious non-binding target of reaching 111 GW by 2030 and 317 GW by 2050.
43;TA2.39;"In 2023, the EU Member States installed in the order of 700 kW of
ocean energy (compared to 150 kW in 2022) and the cumulative ocean energy capacity in European sea basins is 43.8 MW. While there has been a positive increase in installations in the last year, the rate of annual installed capacity should still grow substantially to reach the 2030 target. Strong acceleration is needed."
44;TA2.4;The deployment rate was 2.2 million heat pumps in 2021 and 3 million in 2022. There are nearly 20 million heat pumps installed in the EU as of 2022. The current rate is enough to reach the 2030 target.
45;TA2.40;The use of renewable hydrogen in Europe is negligible at the moment. This also includes industrial processes. Several initiatives at the European level such as Projects of Common Interest (PCIs), Important Projects of Common European Interest (IPCEIs), and the Hydrogen Bank, are expected to kick- start production of renewable hydrogen at scale. Several of the financed initiatives are targeting the production of green steel and currently Europe has the highest number of projects aimed at using renewable hydrogen for the production of steel.
46;TA2.5;The EU solar generation capacity keeps increasing and reached, according to SolarPower Europe, an estimated 260 GW in 2023, 224 GWac (ac: alternating current) according to JRC estimates [75]. Compared to 177 GWac (ac: alternating current) in 2022. Based on the latest data, the 2025 target could be achieved.
47;TA2.6;Share should be 4.5% by 2030. In 2021, the relative size of solar thermal in overall heat consumption was 0.687 TWh (0.1%), over the total of 651 TWh. According to EurObserv'ER, there was a 10% growth in 2022, while the required annual rate growth is 12% to reach the target.
48;TA2.7;The installations in 2023 are estimated at 56 GWp (about 47 GWac) growing from 41 GWp (about 34 GWac) in 2022. At this current rate, the target is met.
49;TA2.8;
50;TA2.9;"In 2022, renewable energy represented 23.0 % of energy consumed in the EU, up
from 21.9% in 2021. This EU-level target has not been translated into binding national contributions. The target is to be achieved jointly by all Member States, building on their coordinated and combined action. According to the EC assessment of the draft NECPs, the current drafts would lead to a share of 38.6-39.3% of renewables in the energy mix by 2030. Reaching the 2030 target of 42.5% (and even more so the aspirational target of 45%) will require a much faster growth in the coming years."
51;TA3.1;"For this target, 2020 was assumed as the reference year, since the new CEAP was published in March 2020. This target is also recalled in the 'Zero Pollution Action Plan'. The target aims at halving the amount of residual municipal waste by 2030. Assuming as a reference year the 2020, the residual municipal waste should be reduced from 119 to 59.5 Mtonnes.
Looking at historical trends, the amount of residual municipal waste decreased by only 5% in the time frame 2012-2021 and slightly increased in the last seven years (2015-2021, +2.6%). Despite increasing recycling levels, the amount of waste generated is increasing at a higher pace [130]."
52;TA3.10;
53;TA3.11;Half of the 16 strategic raw materials have values above the 65% target, therefore there is a low diversification of sourcing countries. These include bismuth, gallium, lithium, magnesium, platinum group metals, and both heavy and light rare earth elements.
54;TA3.12;Target set in 2023, data is currently not available to assess this target.
55;TA3.15;Currently, there is no official monitoring system in place and therefore it is not possible to assess if the target will be reached.
56;TA3.16;"The calculation methodology is under development and these targets will be updated accordingly, whilst maintaining the same level of ambition.
Currently, there is no robust data to assess the distance to the targets (e.g. due to new types of batteries entering in the markets, longer lifetime of batteries, new applications).
Assuming the ambition of the targets, attention might be paid in the implementa- tion phase at Member State level."
57;TA3.17;The calculation methodology is under development and these targets will be updated accordingly, whilst maintaining the same level of ambition. Considering that light means of transport batteries represent a new market and collection systems need to be adapted, currently it is not possible to assess whether these ambitious targets are reachable or not.
58;TA3.18;"The assessment methodology is under development. Therefore, it is not possible to assess whether all producers will be able to reach these targets.
JRC internal calculations show that these targets are in principle feasible, although significant changes in the industrial production systems are needed."
59;TA3.19;This target is ambitious with a very wide coverage of products, many of which are expected to be redesigned in order to be compliant. However, high uncertainty on distance to target lies with existence of derogations and the challenge to establish them at product-specific level. The Delegated Acts expected to specify deroga- tions are not yet in place. Verification and procedures to accept/reject derogation applications will also need to be defined in the Delegated Acts.
60;TA3.2;
61;TA3.20;"Based on current draft guidance for calculation and verification rules for recycling efficiency, the targets for lead-acid, nickel-cadmium and other waste batteries are feasible.
Since, for lead-acid batteries, the battery chemistry and related recycling technologies are fully mature and efficient. For both nickel-cadmium and other waste batteries, it will be important to monitor the performances due to the evolving market for these chemistries."
62;TA3.21;The 2025 target for lithium-based batteries is in principle feasible, however due to the increasing diversity of lithium-based batteries on the market, it is important to closely monitor the performance towards the target. Furthermore, there are some improvement opportunities when data is available, recycling systems are established and when the target is revised by 2027.
63;TA3.22;Based on the current draft guidance for the calculation and verification rules for material recovery, the targets for cobalt, copper, lead and nickel are feasible.
64;TA3.23;Based on the current draft guidance for the calculation and verification rules, the target for lithium is in principle feasible. Significant investments in lithium recycling systems are required.
65;TA3.24;Data for these targets is only available for 2020 and for 2021 in Eurostat, therefore it is still early to define a clear trend. However, based on the analysis performed in the impact assessment of the Proposal for a Directive amending Directive 2008/98/EC on waste [108], it is possible to estimate that the target is feasible, but progress needs to accelerate to reach the target value.
66;TA3.25;Data for these targets is only available for 2020 and for 2021 in Eurostat, therefore it is still early to define a clear trend. However, based on the analysis performed in the impact assessment of the Proposal for a Directive amending Directive 2008/98/EC on waste [108], it is possible to estimate that the target is feasible, but progress needs to accelerate to reach the target value.
67;TA3.27;Criteria and assessment methodology under development
68;TA3.28;Currently, there are no official statistics on the recycled content in plastic packaging, due to the lack of EU guidelines on calculating and reporting recycled content. As of 2022, there is no recycled content in food-contact (non-PET) plastic packaging, 20% in PET packaging and 14% for other plastic packaging [126], [127]. These recycled content rates are still far away from the 2030 targets of 10%, 30% and 35% for each plastic packaging category, respectively.
69;TA3.29;Data are only available for 18 Member States, 12 Member States have already achieved the 2025 target. The 6 other Member States that are have not met the target yet have indicated a clear drop from 2018 plastic bag consumption values, suggesting that these Member States are on track to reach the 2025 target. Currently, data are not available for the following 9 Member States: Bulgaria, Denmark, Estonia, Greece, Italy, Malta, Netherlands, Romania and Finland [124].
70;TA3.3;This target aims to increase the circular material use rate (CMUR) from 11.7% in 2020 to 23.4% in 2030. At the EU level, this target has been steady since 2010, registering an increase of less than 1 percentage point [131]. As such, there is a stagnation in the pace of improvement of the CMUR indicator. At the Member State level, CMUR shows a high variability with values ranging from 0.6 to 27.5% in 2022.
71;TA3.30;"On average, the packaging waste generated increased from 157 kg per person in 2011 to 178 kg per person in 2020. Most Member States have reported
a steady growth in packaging waste generation per capita in the period of 2011-2020, particularly Romania, Bulgaria, Croatia, Hungary, Poland and Czechia [99]. Currently, none of the Member States is on track to reach the packaging waste reduction targets. However, the newly agreed Plastic and Packaging Waste Regulation intends to bend the currently observed stagnant or upward trend of packaging waste generation through a number of measures, in particular binding reuse and refill requirements."
72;TA3.31;For all packaging at the EU level2, the 2025 recycling rate target is feasible. However, 10 Member States are at risk of missing the 2025 target, including Bulgaria, Croatia, Cyprus, Greece, Hungary, Lithuania, Malta, Poland, Romania and Slovakia [125].
73;TA3.32;"Plastic is the most critical packaging category for which the targets are clearly above current levels of recycling. 19 Member States are at risk of missing the 2025 target, including Austria, Bulgaria, Croatia, Cyprus, Denmark, Finland, France, Greece, Hungary, Ireland, Italy, Latvia, Luxembourg, Malta, Poland, Portugal, Romania, Slovakia and Spain [125].
2 EU-level, based on a weighted average between Member State population and recycling rate percentage."
74;TA3.33;For wooden packaging at the EU level2, the recycling rates are very feasible or have already been achieved. Nonetheless, Croatia and Malta are at risk of missing the 2025 target [125].
75;TA3.34;Considering the high recycling rates for metallic packaging at the EU level2, the 2025 and 2030 recycling targets seem achievable. However, 5 Member States are at risk of missing the 2025 target, including Croatia, Denmark, Malta, Portugal and Romania [125].
76;TA3.35;Similarly for aluminium, the high recycling rates registered for metallic packaging suggest that both recycling targets are achievable, at least at the EU level2. Nonetheless, 9 Member States are at risk of missing the 2025 target, including Croatia, Cyprus, Czechia, Greece, Malta, Portugal, Romania, Slovakia and Spain [125].
77;TA3.36;For glass packaging, at least at the EU level2, the recycling rate targets are very feasible or have already been achieved. Several Member States are at risk of missing the 2025 target, including Bulgaria, Croatia, Cyprus, Greece, Hungary, Lithuania, Malta, Poland, Portugal and Romania [125].
78;TA3.37;"For paper and cardboard packaging, at least at the EU level2, the recycling rate targets are very feasible or have already been achieved. Nonetheless, Croatia, Malta, Slovakia and Spain are at risk of missing the 2025 target [125].
2 EU-level, based on a weighted average between Member State population and recycling rate percentage."
79;TA3.39;
80;TA3.4;
81;TA3.4;
82;TA3.40;
83;TA3.40;
84;TA3.41;
85;TA3.41;
86;TA3.42;
87;TA3.42;
88;TA3.43;
89;TA3.43;
90;TA3.44;
91;TA3.44;
92;TA3.45;
93;TA3.45;
94;TA3.46;
95;TA3.47;
96;TA3.47;
97;TA3.5;
98;TA3.5;
99;TA3.8;"The historical time trends (2011-2022) for EU self-sufficiency at extraction phase for the 16 strategic materials can be extracted based on data from [121], [122] and [123]. Results show that:
- In 2022, cobalt, copper, lithium and nickel were above the benchmark of 10%, while their trends have been stably above the benchmark (i.e. copper and nickel) or increased slightly in the period 2011-2022 (i.e. cobalt and lithium)1.
- For bismuth, boron, gallium, germanium, magnesium, natural graphite, titanium, platinum group metals, heavy rare earth elements and light rare earth elements, the EU’s self-sufficiency has always been below 2%.
- Between 2016 and 2022, the EU’s self-sufficiency for manganese was below the benchmark, with values ranging from 4 to 10% in the time frame 2016-2022.
1 Due to high volatility on the data for tungsten (only two date points available from EC studies), this material is not included in the analysis."
100;TA3.9;"The historical time trends (2011-2022) for the EU self-sufficiency at processing phase for the 16 strategic materials can be extracted based on data from [121] and [122] and [123]. Results show that:
- The EU’s self-sufficiency for copper, cobalt and germanium was above the benchmark in 2022. For copper, this value has been stably above 80% in the period 2011-2022. For cobalt and germanium, the trend was fluctuating and more unstable, but increasing in between 2018 and 2022.
- The EU’s self-sufficiency was below the benchmark in 2022 for bismuth, boron, gallium and platinum group metals, with gallium showing a drastic decrease from 2011 (100%) to 2022 (2%).
- The EU has no self-sufficiency to process lithium, magnesium, natural graphite, titanium, and both heavy and light rare earth elements, while there is no sufficient data available for tungsten, nickel and manganese."
101;TA4.1;In 2021, the total biomethane production in the EU was 3.5 billion cubic meters, produced in about 1300 biomethane plants. Production increased in 2022 to reach 4.2 bcm. In order to reach 35 billion cubic meters, an estimate of 5000 additional plants are required. .
102;TA4.1;In 2021, the total biomethane production in the EU was 3.5 billion cubic meters, produced in about 1300 biomethane plants. Production increased in 2022 to reach 4.2 bcm. In order to reach 35 billion cubic meters, an estimate of 5000 additional plants are required. .
103;TA4.10;"The Communication notes that ""Fisheries and aquaculture operators began reducing their energy intensity between 2009 and 2014, but the progress they made has stagnated in recent years. Therefore, there is a need to accelerate the energy transition"". In turn, this statement grounds on the JRC science for policy report ""The 2022 Annual Economic Report on the EU Fishing Fleet” [161] by the Scientific, Technical and Economic Committee for Fisheries, assessing that the sector fuel intensity (i.e. fuel consumption per tonne landed) dropped by more than 15% between 2009 and 2014, but that this trend has stagnated since then."
104;TA4.11;"EU shipping emissions increased by 5.6% in 2021 from the previous year, rebounding from the COVID-19 induced slump of 2020. The target for 2025 seems unlikely to be reached.
The EEA projections suggest that, even with measures currently planned in the Member States, emissions from domestic navigation are projected to remain relatively stable in the coming years. International maritime transport emissions are projected to continue increasing."
105;TA4.12;
106;TA4.13;Several plants are being built to produce sustainable aviation fuels and sustainable aviation fuels are tested by companies. The contribution of aviation fuels is practically negligible currently. No sustainable biofuel use was reported in Eurostat in aviation in 2021.
107;TA4.14;
108;TA4.15;The average specific CO2 emissions of new heavy-duty vehicles in groups 4, 5, 9 and 10 has decreased by 0.55%, from 52.75g/t.km in 2019 to 52.45g/t.km in 2020. The rate of decrease is therefore slow and acceleration is needed to achieve the targets.
109;TA4.16;
110;TA4.17;
111;TA4.20;Initiatives are ongoing and deployment of electrolysers is increasing, but it is unlikely that the target of deploying 6 GW of hydrogen generation capacity will be reached by the end of 2024.
112;TA4.21;
113;TA4.22;
114;TA4.23;
115;TA4.25;Based on charging infrastructure data from Eco-Movement 2022 and estimates of electric vehicles on the roads, most Member States are already compliant with this fleet-based target (see European Alter-native Fuels Observatory – Target tracker). Research also highlights that the total power output needed per electric vehicle (including battery electric vehicles and plug-in hybrid vehicles) is highly dependent on the share of electric cars and vans on the road, with AFIR targets on cumulative power outputs per vehicle being sufficient in the long term (when a rise in the market share of battery electric vehicles and plug-in hybrid vehicles is expected) [157].
116;TA4.26;The average specific CO2 emissions of new heavy-duty vehicles in groups 4, 5, 9 and 10 has decreased by 0.55%, from 52.75g/t.km in 2019 to 52.45g/t.km in 2020. The rate of decrease is therefore slow and acceleration is needed to achieve the targets.
117;TA4.27;The EU share (including Cyprus and Malta) was 1.28% in 2021, it increased to 1.35% in 2022. This target is currently on track.
118;TA4.28;No data available
119;TA4.29;Initiatives are ongoing and deployment of electrolysers is increasing, but it is unlikely that the target of deploying 6 GW of hydrogen generation capacity will be reached by the end of 2024.
