;source_policydoc;impact_policydoc;impact_type;impact_weight;justification;European Climate Law;European Climate Law.1;+2;The European Climate Law sets a binding target of at least 55% greenhouse gas emissions reduction by 2030, which will likely reinforce the Energy from Renewable Sources target of at least 42.5% of the Union's energy consumption coming from renewable sources by 2030.;A Farm to Fork Strategy;Circular Economy Action Plan;+;2;The implementation of the Circular Economy Action Plan can reinforce the Farm to Fork Strategy by promoting sustainable food systems, reducing food waste, and increasing organic farming, which can aid in achieving the strategy's targets.;"source_policydoc;impact_policydoc;impact_type;impact_weight;justification
EU Biodiversity Strategy for 2030;Directive 2010/75/EU of the European Parliament and of the Council;+;2;The EU Biodiversity Strategy for 2030 aims to protect and restore ecosystems, which can reinforce the implementation of the Directive 2010/75/EU of the European Parliament and of the Council by ensuring that industrial activities do not harm biodiversity.
EU Biodiversity Strategy for 2030;On the quality of water intended for human consumption;+;1;The EU Biodiversity Strategy for 2030 can enable the achievement of the On the quality of water intended for human consumption by protecting aquatic ecosystems.
On Nature Restoration;Pathway to a Healthy Planet for All EU Action Plan;+;3;The On Nature Restoration policy document can significantly aid the Pathway to a Healthy Planet for All EU Action Plan by restoring ecosystems and enhancing biodiversity.
EU Biodiversity Strategy for 2030;European assessment framework for ‘safe and sustainable by design’ chemicals and materials;+;2;The EU Biodiversity Strategy for 2030 can reinforce the European assessment framework for ‘safe and sustainable by design’ chemicals and materials by promoting sustainable practices.
On Nature Restoration;On reporting of environmental data from industrial installations and establishing an Industrial Emissions Portal;+;1;The On Nature Restoration policy document can enable the On reporting of environmental data from industrial installations and establishing an Industrial Emissions Portal by providing data on ecosystem restoration.
EU Biodiversity Strategy for 2030;on ambient air quality and cleaner air for Europe;+;2;The EU Biodiversity Strategy for 2030 can aid the on ambient air quality and cleaner air for Europe by reducing air pollution from industrial activities.
On Nature Restoration;Pathway to a Healthy Planet for All EU Action Plan;+;3;The On Nature Restoration policy document is crucial for the Pathway to a Healthy Planet for All EU Action Plan as it restores ecosystems and promotes biodiversity conservation.
EU Soil Strategy for 2030;On Nature Restoration;+;2;The EU Soil Strategy for 2030 can reinforce the On Nature Restoration by protecting soil health and promoting sustainable land use.
Regulation on plant reproductive material;EU Biodiversity Strategy for 2030;+;1;The Regulation on plant reproductive material can enable the EU Biodiversity Strategy for 2030 by ensuring the use of sustainable plant reproductive materials in agriculture.
Ensuring resilient and sustainable use of EU's natural resources;EU Biodiversity Strategy for 2030;+;3;The Ensuring resilient and sustainable use of EU's natural resources policy document can significantly aid the EU Biodiversity Strategy for 2030 by promoting sustainable resource use and reducing the EU’s ecological footprint.
On Nature Restoration;Regulation on forest reproductive material;+;2;The On Nature Restoration policy document can reinforce the Regulation on forest reproductive material by restoring forests and promoting sustainable forestry practices.
EU Biodiversity Strategy for 2030;On Nature Restoration;+;3;The EU Biodiversity Strategy for 2030 is inextricably linked with the On Nature Restoration, as both aim to protect and restore ecosystems.
On Nature Restoration;On Nature Restoration;+;3;The On Nature Restoration policy document is self-reinforcing, as restoring ecosystems can further enable nature restoration.
On Nature Restoration;EU Biodiversity Strategy for 2030;+;3;The On Nature Restoration policy document can significantly aid the EU Biodiversity Strategy for 2030 by restoring ecosystems and promoting biodiversity conservation.";EU Biodiversity Strategy for 2030;The implementation of the Farm to Fork Strategy's targets on reducing the use of pesticides and fertilizers can reinforce the EU Biodiversity Strategy for 2030's target of protecting and restoring ecosystems and biodiversity, as reducing pollution from agricultural activities can aid in preserving and restoring natural habitats.;Energy from Renewable Sources;On ensuring a level playing field for sustainable air transport;The implementation of the Energy from Renewable Sources target of at least 49% of energy from renewable sources in the building sector in 2030 can reinforce the On ensuring a level playing field for sustainable air transport target of at least 2% of aviation fuels from green by 2030, as increased renewable energy production can lead to lower emissions and support the transition to sustainable air transport.;" ""impact_policydoc""";" ""impact_type""";" ""impact_weight""";" ""justification""";The implementation of the renewable energy targets in the Energy from Renewable Sources policy document can reinforce the EU Biodiversity Strategy for 2030 by promoting sustainable land-use and reducing pollution from fossil fuels, thus creating a favourable environment for biodiversity conservation and restoration.;Concerning batteries and waste batteries;The implementation of the Circular Economy Action Plan can reinforce the targets of Concerning batteries and waste batteries by promoting the recycling and reuse of batteries and waste batteries, thus reducing waste and the demand for primary materials.;On packaging and packaging waste;Reinforcing;The Circular Economy Action Plan aims to reduce packaging waste, which is a key aspect of the 'On packaging and packaging waste' policy document, thereby reinforcing its goals.;The implementation of the Circular Economy Action Plan can reinforce the EU Biodiversity Strategy for 2030 by promoting sustainable consumption patterns, reducing waste, and encouraging the sharing, leasing, and collaborative consumption of products, which can lead to a decrease in the demand for primary materials and help achieve biodiversity conservation targets.;The implementation of the Circular Economy Action Plan can reinforce the Energy from Renewable Sources policy document by promoting sustainable production and consumption patterns, which can lead to increased demand for renewable energy sources.
22;A Farm to Fork Strategy;A Renovation Wave for Europe;-;2;The Farm to Fork Strategy may limit the implementation of the A Renovation Wave for Europe by promoting energy-efficient buildings and reducing energy consumption, which could impact the achievement of the strategy's objectives.;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;EU Biodiversity Strategy for 2030;European Climate Law;+;2;The EU Biodiversity Strategy for 2030 aims to protect and restore ecosystems, which can aid in achieving the European Climate Law's target of reducing greenhouse gas emissions by 55% by 2030.;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;EU Biodiversity Strategy for 2030;On an EU Strategy to reduce methane emissions;+;1;The EU Biodiversity Strategy for 2030's goal of protecting and restoring ecosystems can enable the reduction of methane emissions, as outlined in the EU Strategy to reduce methane emissions.;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;On Nature Restoration;A Renovation Wave for Europe;-;1;The On Nature Restoration policy document's focus on restoring natural ecosystems may constrain the Renovation Wave for Europe's efforts to renovate buildings, as it may limit the availability of materials and increase costs.;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;On Nature Restoration;Amending Directive 2003/87/EC;+;2;The On Nature Restoration policy document can reinforce the Amending Directive 2003/87/EC's efforts to reduce pollution from urban wastewater, as restoring natural ecosystems can aid in improving water quality.;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;EU Biodiversity Strategy for 2030;Amending Regulations (EU) 2018/841;-;3;The EU Biodiversity Strategy for 2030's targets may be cancelled by the Amending Regulations (EU) 2018/841, as the latter's focus on land use and forestry management may lead to increased deforestation and habitat destruction.;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;On Nature Restoration;European Climate Law;+;3;The On Nature Restoration policy document can significantly aid in achieving the European Climate Law's targets, as restoring natural ecosystems can sequester carbon and reduce greenhouse gas emissions.;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;EU Biodiversity Strategy for 2030;On an EU Strategy to reduce methane emissions;+;2;The EU Biodiversity Strategy for 2030's protection and restoration of ecosystems can enable the reduction of methane emissions, as outlined in the EU Strategy to reduce methane emissions.;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;On Nature Restoration;A Renovation Wave for Europe;-;1;The On Nature Restoration policy document's focus on restoring natural ecosystems may constrain the Renovation Wave for Europe's efforts to renovate buildings, as it may limit the availability of materials and increase costs.;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;On Nature Restoration;Amending Directive 2003/87/EC;+;2;The On Nature Restoration policy document can reinforce the Amending Directive 2003/87/EC's efforts to reduce pollution from urban wastewater, as restoring natural ecosystems can aid in improving water quality.;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;EU Biodiversity Strategy for 2030;Amending Regulations (EU) 2018/841;-;3;The EU Biodiversity Strategy for 2030's targets may be cancelled by the Amending Regulations (EU) 2018/841, as the latter's focus on land use and forestry management may lead to increased deforestation and habitat destruction.;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;On Nature Restoration;European Climate Law;+;3;The On Nature Restoration policy document can significantly aid in achieving the European Climate Law's targets, as restoring natural ecosystems can sequester carbon and reduce greenhouse gas emissions.;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;EU Biodiversity Strategy for 2030;On an EU Strategy to reduce methane emissions;+;2;The EU Biodiversity Strategy for 2030's protection and restoration of ecosystems can enable the reduction of methane emissions, as outlined in the EU Strategy to reduce methane emissions.;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;On Nature Restoration;A Renovation Wave for Europe;-;1;The On Nature Restoration policy document's focus on restoring natural ecosystems may constrain the Renovation Wave for Europe's efforts to renovate buildings, as it may limit the availability of materials and increase costs.;;;;;;;;;;;;;;;;;;;;;;;;;;;
36;On Nature Restoration;Amending Directive 2003/87/EC;+;2;The On Nature Restoration policy document can reinforce the Amending Directive 2003/87/EC's efforts to reduce pollution from urban wastewater, as restoring natural ecosystems can aid in improving water quality.;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;EU Biodiversity Strategy for 2030;Amending Regulations (EU) 2018/841;-;3;The EU Biodiversity Strategy for 2030's targets may be cancelled by the Amending Regulations (EU) 2018/841, as the latter's focus on land use and forestry management may lead to increased deforestation and habitat destruction.;;;;;;;;;;;;;;;;;;;;;;;;;;;
38;On Nature Restoration;European Climate Law;+;3;The On Nature Restoration policy document can significantly aid in achieving the European Climate Law's targets, as restoring natural ecosystems can sequester carbon and reduce greenhouse gas emissions.;;;;;;;;;;;;;;;;;;;;;;;;;;;
39;;;;;;European Climate Law;Concerning urban wastewater treatment (recast);1.0;The European Climate Law's emission reduction target may enable the achievement of the urban wastewater treatment target by reducing pollution from wastewater.;;;;;;;;;;;;;;;;;;;;;;;
40;;;;;;European Climate Law;Amending Directive 2003/87/EC;1.0;The European Climate Law's emission reduction target may aid in the reduction of emissions from land transport, thus reinforcing the amended Directive 2003/87/EC's goal of reducing emissions from the transport sector.;;;;;;;;;;;;;;;;;;;;;;;
41;;;;;;European Climate Law;Amending Regulation (EU) 2018/842;1.0;The European Climate Law's target may facilitate the amended Regulation (EU) 2018/842's objective of reducing emissions from the buildings sector by promoting the use of renewable energy sources.;;;;;;;;;;;;;;;;;;;;;;;
42;;;;;;European Climate Law;Amending Regulations (EU) 2018/841;1.0;The European Climate Law's emission reduction target may support the amended Regulations (EU) 2018/841's goal of reducing emissions from the land use sector by promoting sustainable land use practices.;;;;;;;;;;;;;;;;;;;;;;;
43;;;;;;European Climate Law;On an EU Strategy to reduce methane emissions;1.0;The European Climate Law's target may enable the achievement of the methane emissions reduction strategy by promoting the use of renewable energy sources and reducing emissions from the energy and transport sectors.;;;;;;;;;;;;;;;;;;;;;;;
44;;;;;;European Climate Law;A Renovation Wave for Europe;1.0;The European Climate Law's emission reduction target may facilitate the Renovation Wave for Europe's objective of reducing energy consumption in buildings by promoting energy-efficient renovations.;;;;;;;;;;;;;;;;;;;;;;;
45;;;;;;Biofuels - Directive (EU) 2023/2413;Amending Directive 2003/87/EC;2.0;The Biofuels Directive's target of at least 1.7% of biofuels in the energy mix may reinforce the amended Directive 2003/87/EC's goal of reducing emissions from the transport sector by promoting the use of low-carbon fuels.;;;;;;;;;;;;;;;;;;;;;;;
46;;;;;;On ensuring a level playing field for sustainable air transport;Amending Directive 2003/87/EC;2.0;The sustainable air transport strategy may reinforce the amended Directive 2003/87/EC's objective of reducing emissions from the transport sector by promoting the use of low-carbon fuels in aviation.;;;;;;;;;;;;;;;;;;;;;;;
47;;;;;;Aviation Fuel - Regulation (EU) 2023/2405;Amending Directive 2003/87/EC;2.0;The Aviation Fuel Regulation's target of at least 2% sustainable aviation fuels may aid in the reduction of emissions from the transport sector, thus reinforcing the amended Directive 2003/87/EC's goal.;;;;;;;;;;;;;;;;;;;;;;;
48;;;;;;On the deployment of alternative fuels infrastructure;Sustainable and Smart Mobility Strategy;2.0;The alternative fuels infrastructure deployment may facilitate the Sustainable and Smart Mobility Strategy's objective of promoting low-carbon transport by providing the necessary infrastructure for alternative fuels.;;;;;;;;;;;;;;;;;;;;;;;
49;;;;;;On the Energy Transition of the EU Fisheries and Aquaculture sector;Sustainable and Smart Mobility Strategy;1.0;The energy transition in the fisheries and aquaculture sector may support the Sustainable and Smart Mobility Strategy's goal of reducing emissions from the transport sector by promoting the use of low-carbon fuels in the sector.;;;;;;;;;;;;;;;;;;;;;;;
50;;;;;;Amending Regulation (EU) 2019/1242;Sustainable and Smart Mobility Strategy;1.0;The amended Regulation (EU) 2019/1242's target of reducing emissions from the transport sector may facilitate the Sustainable and Smart Mobility Strategy's objective of promoting low-carbon transport.;;;;;;;;;;;;;;;;;;;;;;;
51;;;;;;On the use of renewable and low-carbon fuels in maritime transport and amending Directive 2009/16/EC;Sustainable and Smart Mobility Strategy;2.0;The promotion of renewable and low-carbon fuels in maritime transport may reinforce the Sustainable and Smart Mobility Strategy's goal of reducing emissions from the transport sector.;;;;;;;;;;;;;;;;;;;;;;;
52;;;;;;Hydrogen Strategy;Sustainable and Smart Mobility Strategy;2.0;The Hydrogen Strategy's target of promoting the use of hydrogen as a low-carbon fuel may aid in the reduction of emissions from the transport sector, thus reinforcing the Sustainable and Smart Mobility Strategy's objective.;;;;;;;;;;;;;;;;;;;;;;;
53;;;;;;Amending Council Directive 92/106/EEC;Sustainable and Smart Mobility Strategy;1.0;The amended Council Directive 92/106/EEC's target of reducing emissions from the transport sector may support the Sustainable and Smart Mobility Strategy's goal of promoting low-carbon transport.;;;;;;;;;;;;;;;;;;;;;;;
54;;;;;;The new EU Urban Mobility Framework;Sustainable and Smart Mobility Strategy;1.0;The new EU Urban Mobility Framework's objective of promoting sustainable urban mobility may facilitate the Sustainable and Smart Mobility Strategy's goal of reducing emissions from the transport sector by promoting low-carbon fuels and alternative modes of transport.;;;;;;;;;;;;;;;;;;;;;;;
55;Energy from Renewable Sources;On ensuring a level playing field for sustainable air transport;2;The implementation of the 'Energy from Renewable Sources' targets can reinforce the 'On ensuring a level playing field for sustainable air transport' policy document by increasing the share of renewable energy in the energy mix, thus supporting the transition to sustainable air transport.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
56;Biofuels - Directive (EU) 2023/2413;On the deployment of alternative fuels infrastructure;1;The 'Biofuels - Directive (EU) 2023/2413' policy document can enable the 'On the deployment of alternative fuels infrastructure' policy document by promoting the use of advanced biofuels and biogas in the transport sector, which can contribute to the development of alternative fuels infrastructure.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
57;On ensuring a level playing field for sustainable air transport;Energy from Renewable Sources;1;The 'On ensuring a level playing field for sustainable air transport' policy document can enable the 'Energy from Renewable Sources' policy document by promoting the use of renewable energy sources in air transport, which can increase the share of renewable energy in the energy mix.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
58;Aviation Fuel - Regulation (EU) 2023/2405;On the deployment of alternative fuels infrastructure;2;The 'Aviation Fuel - Regulation (EU) 2023/2405' policy document can reinforce the 'On the deployment of alternative fuels infrastructure' policy document by setting targets for the use of renewable and low-carbon fuels in aviation, which can support the development of alternative fuels infrastructure.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
59;On the deployment of alternative fuels infrastructure;A Renovation Wave for Europe;1;The 'On the deployment of alternative fuels infrastructure' policy document can enable the 'A Renovation Wave for Europe' policy document by promoting the use of renewable energy sources in buildings, which can contribute to the renovation of buildings and the development of alternative fuels infrastructure.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
60;On the deployment of alternative fuels infrastructure;On the Energy Performance of Buildings (recast);1;The 'On the deployment of alternative fuels infrastructure' policy document can enable the 'On the Energy Performance of Buildings (recast)' policy document by promoting the use of renewable energy sources in buildings, which can contribute to the improvement of the energy performance of buildings.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
61;Amending Regulation (EU) 2019/1242;On the use of renewable and low-carbon fuels in maritime transport and amending Directive 2009/16/EC;2;The 'Amending Regulation (EU) 2019/1242' policy document can reinforce the 'On the use of renewable and low-carbon fuels in maritime transport and amending Directive 2009/16/EC' policy document by promoting the use of renewable and low-carbon fuels in maritime transport, which can support the reduction of greenhouse gas emissions from maritime transport.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
62;On the use of renewable and low-carbon fuels in maritime transport and amending Directive 2009/16/EC;Sustainable and Smart Mobility Strategy;1;The 'On the use of renewable and low-carbon fuels in maritime transport and amending Directive 2009/16/EC' policy document can enable the 'Sustainable and Smart Mobility Strategy' policy document by promoting the use of renewable and low-carbon fuels in maritime transport, which can contribute to the development of sustainable and smart mobility.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
