```csv
thematic_area;sub_theme;target_code;target_content;justification
TA2_Clean, affordable and secure energy;Solar Energy Access;TA2.8;Ensure that energy poor and vulnerable consumers have access to solar energy, e.g. through social housing installations, energy communities, or financing support for individual installations;This target focuses on providing access to solar energy for vulnerable consumers.
TA2_Clean, affordable and secure energy;Renewable Energy Share;TA2.9;Member States shall collectively ensure that the share of energy from renewable sources in the Union’s gross final consumption of energy in 2030 is at least 42,5 %.;This target sets a collective goal for increasing the share of renewable energy in the Union's energy consumption.
TA3_Industrial strategy for a clean and circular economy;Municipal Waste;TA3.1;Halve the amount of residual (non-recycled) municipal waste;This target focuses on reducing residual municipal waste as part of a circular economy strategy.
TA3_Industrial strategy for a clean and circular economy;Raw Materials Recycling;TA3.10;Union's access to a secure and sustainable supply of critical raw materials by ensuring that the Union's recycling capacity, including for all intermediate recycling steps, is able to produce at least 15% of the Union's annual consumption of strategic raw materials;This target emphasizes increasing recycling capacity for critical raw materials.
TA3_Industrial strategy for a clean and circular economy;Raw Materials Diversification;TA3.11;Diversify the Union's imports of strategic raw materials with a view to ensure that the Union's annual consumption of each strategic raw material at any relevant stage of processing can rely on imports from several third countries, none of which provide more than 65% of the Union's annual consumption;This target focuses on diversifying imports of strategic raw materials to ensure supply security.
TA3_Industrial strategy for a clean and circular economy;Net-Zero Technologies;TA3.12;by 2030, manufacturing capacity in the Union of the strategic net-zero technologies listed in the Annex approaches or reaches a benchmark of at least 40% of the Union’s annual deployment needs for the corresponding technologies necessary to achieve the Union’s 2030 climate and energy targets;This target sets goals for increasing manufacturing capacity for net-zero technologies.
TA3_Industrial strategy for a clean and circular economy;nan;TA3.13;;This target is marked as "nan" and does not contain specific content.
TA3_Industrial strategy for a clean and circular economy;nan;TA3.14;;This target is marked as "nan" and does not contain specific content.
TA3_Industrial strategy for a clean and circular economy;Battery Collection;TA3.15;Producers of portable batteries or, where appointed in accordance with Article 57(1), producer responsibility organisations, shall ensure that all waste portable batteries, Light Means of Transport (LMT) and SLI batteries, regardless of their nature, chemical composition, condition, brand or origin, are collected separately in the territory of a Member State where they make these batteries available on the market for the first time.;This target focuses on the collection of waste batteries as part of a circular economy strategy.
TA3_Industrial strategy for a clean and circular economy;Battery Collection Targets;TA3.16;Producers of portable batteries or producer responsibility organisations, shall attain, and maintain durably, at least the following collection targets for waste portable batteries: 45 % by 31 December 2023, 63 % by 31 December 2027, 73 % by 31 December 2030.;This target sets specific collection targets for waste portable batteries.
TA3_Industrial strategy for a clean and circular economy;LMT Battery Collection;TA3.17;Producers of LMT (Light Means of Transport) batteries or producer responsibility organisations, shall attain, and maintain durably, at least the following collection targets of waste LMT batteries: 51 % by 31 December 2028, 61 % by 31 December 2031.;This target sets collection targets for waste LMT batteries.
TA3_Industrial strategy for a clean and circular economy;Recycled Content in Batteries;TA3.18;Recycled content in industrial batteries, electric vehicle batteries, LMT batteries and SLI batteries: Cobalt: 16 % by 2031 (26% by 2036), Lead: 85% (85%), Nickel: 6% (12%), Lithium 6% (15%);This target focuses on increasing the recycled content in various types of batteries.
TA3_Industrial strategy for a clean and circular economy;Battery Removability;TA3.19;All batteries incorporated in market products shall be readily removable and replaceable by the end-user at any time during the lifetime (except some derogations);This target emphasizes the removability and replaceability of batteries in market products.
TA3_Industrial strategy for a clean and circular economy;Landfill Reduction;TA3.2;Reduce landfill to a maximum of 10% of municipal waste;This target focuses on reducing landfill use as part of a circular economy strategy.
TA3_Industrial strategy for a clean and circular economy;Recycling Efficiency;TA3.20;Recycling shall achieve at least the following targets for recycling efficiency: No later than 31 December 2025 - 75% by average weight of lead-acid batteries, - 80% by average weight of nickel-cadmium batteries - 50% by average weight of other waste batteries No later than 31 December 2030 - 80% by average weight of lead-acid batteries,;This target sets specific recycling efficiency targets for different types of batteries.
TA3_Industrial strategy for a clean and circular economy;Lithium Battery Recycling;TA3.21;Recycling shall achieve at least the following targets for recycling efficiency: No later than 31 December 2025 - 65% by average weight of lithium-based batteries, No later than 31 December 2030 - 70% by average weight of lithium-based batterie;This target sets recycling efficiency targets for lithium-based batteries.
TA3_Industrial strategy for a clean and circular economy;Material Recovery;TA3.22;All recycling shall achieve at least the following targets for recovery of materials: No later than 31 December 2027 -90% for cobalt, copper, lead and nickel, No later than 31 December 2031: -95% for cobalt, copper, lead, and nickel,;This target focuses on material recovery targets for specific metals.
TA3_Industrial strategy for a clean and circular economy;Lithium Recovery;TA3.23;All recycling shall achieve at least the following targets for recovery of materials: No later than 31 December 2027 -50% lithium No later than 31 December 2031: -80% lithium;This target sets recovery targets for lithium in recycling processes.
TA3_Industrial strategy for a clean and circular economy;Food Waste Reduction;TA3.24;Reduce the generation of food waste in processing and manufacturing by 10% in comparison to the amount generated in 2020;This target focuses on reducing food waste in processing and manufacturing.
TA3_Industrial strategy for a clean and circular economy;Food Waste Reduction;TA3.25;Reduce the generation of food waste per capita, jointly in retail and other distribution of food, in restaurants and food services and in households, by 30 % in comparison to the amount generated in 2020;This target emphasizes reducing food waste across various sectors.
TA3_Industrial strategy for a clean and circular economy;nan;TA3.26;;This target is marked as "nan" and does not contain specific content.
TA3_Industrial strategy for a clean and circular economy;Recyclable Packaging;TA3.27;Making all packaging recyclable (see European Parliament resolution of 10 February 2021 on the New Circular Economy Action Plan, the New Circular Economy Action Plan and art. 5 of this Proposal);This target focuses on making all packaging recyclable as part of a circular economy strategy.
TA3_Industrial strategy for a clean and circular economy;Recycled Content in Packaging;TA3.28;The plastic part in packaging shall contain the following minimum percentage of recycled content recovered from post-consumer plastic waste, per unit of packaging: From 1 January 2030 (i) 30% for contact sensitive packaging made from polyethylene terephthalate (PET) as major component, (ii) 10% for contact sensitive made from plastic materials other than PET, except single use plastic bottles, (iii) 30% for single use plastic beverage bottles, (iv) 35% for other plastic packaging From 1 January 2040 (v) 50% for contact sensitive plastic packaging, except single use plastic beverage bottles, (vi) 65% for single use plastic beverage bottles, (vii) 65% for other plastic packaging;This target sets specific recycled content requirements for plastic packaging.
TA3_Industrial strategy for a clean and circular economy;Plastic Bag Reduction;TA3.29;Member States shall take measures to achieve a sustained reduction in the consumption of lightweight plastic carrier bags on their territory. A sustained reduction is achieved if the annual consumption does not exceed 40 lightweight plastic carrier bags per person, or the equivalent target in weight, by 31 December 2025, and subsequently by 31 December in each year thereafter;This target focuses on reducing the consumption of lightweight plastic carrier bags.
TA3_Industrial strategy for a clean and circular economy;Circular Material Use;TA3.3;Double its circular material use rate in the coming decade;This target emphasizes increasing the circular material use rate as part of a circular economy strategy.
TA3_Industrial strategy for a clean and circular economy;Packaging Waste Reduction;TA3.30;Reduce packaging waste by 5% per Member State per capita compared to 2018 by 2030, 10% by 2035 and 15% by 2040;This target sets specific goals for reducing packaging waste.
TA3_Industrial strategy for a clean and circular economy;Packaging Waste Recycling;TA3.31;Recycling or preparing for re-use 65% of all packaging waste by 2025, 70% by 2030;This target focuses on increasing the recycling and re-use of packaging waste.
TA3_Industrial strategy for a clean and circular economy;Plastic Recycling;TA3.32;Recycling of plastic in packaging: 55%;This target sets a specific recycling target for plastic in packaging.
TA3_Industrial strategy for a clean and circular economy;Wood Recycling;TA3.33;Recycling of wood in packaging: 30%;This target sets a specific recycling target for wood in packaging.
TA3_Industrial strategy for a clean and circular economy;Ferrous Metals Recycling;TA3.34;Recycling of ferrous metals in packaging: 80%;This target sets a specific recycling target for ferrous metals in packaging.
TA3_Industrial strategy for a clean and circular economy;Aluminium Recycling;TA3.35;Recycling of aluminium in packaging: 60%;This target sets a specific recycling target for aluminium in packaging.
TA3_Industrial strategy for a clean and circular economy;Glass Recycling;TA3.36;Recycling of glass in packaging: 75%;This target sets a specific recycling target for glass in packaging.
TA3_Industrial strategy for a clean and circular economy;Paper and Cardboard Recycling;TA3.37;Recycling of paper and cardboard in packaging: 85%;This target sets a specific recycling target for paper and cardboard in packaging.
TA3_Industrial strategy for a clean and circular economy;nan;TA3.38;;This target is marked as "nan" and does not contain specific content.
TA3_Industrial strategy for a clean and circular economy;PET Bottle Recycling;TA3.39;From 2025, beverage bottles listed in Part F of the Annex which are manufactured from polyethylene terephthalate as the major component (‘PET bottles’) contain at least 25 % recycled plastic, calculated as an average for all PET bottles placed on the market on the territory of that Member State;This target sets a specific recycled content requirement for PET bottles.
TA3_Industrial strategy for a clean and circular economy;Textile Products;TA3.4;By 2030 textile products placed on the EU market are long-lived and recyclable, to a great extent made of recycled fibres, free of hazardous substances and produced in respect of social rights and the environment;This target focuses on making textile products long-lived and recyclable.
TA3_Industrial strategy for a clean and circular economy;Plastic Beverage Bottle Collection;TA3.40;Member States shall meet the target of 77% by weight for the separate collection for recycling of waste single-use plastic beverage bottles by 2025 and 90% by 2029;This target sets specific collection targets for single-use plastic beverage bottles.
TA3_Industrial strategy for a clean and circular economy;EEE Collection;TA3.41;From 2019, the minimum collection rate to be achieved annually shall be 65 % of the average weight of EEE placed on the market in the three preceding years in the Member State concerned, or alternatively 85 % of WEEE generated on the territory of that Member State.;This target sets collection targets for electrical and electronic equipment (EEE).
TA3_Industrial strategy for a clean and circular economy;WEEE Recovery Targets;TA3.42;From 15 August 2018, the recovery targets for the WEEE falling within the following categories of Annex III shall be: - 85% for Category 1 (temperature exchange equipment) or Category 4 (large equipment with any external dimension more than 50 cm) - 80% for Category 2 (e.g., screens and monitors) - 75% for Category 5 (small equipment with no external dimension more than 50 cm) or 6 (Small IT and telecommunication equipment with no external dimension more than 50 cm).;This target sets recovery targets for waste electrical and electronic equipment (WEEE).
TA3_Industrial strategy for a clean and circular economy;WEEE Re-Use Targets;TA3.43;From 15 August 2018, the preparation for re-use targets for the WEEE falling within the following categories of Annex III shall be: - 80% for Category 1 or Category 4 - 70% for Category 2 - 55% for Category 5 or Category 6;This target sets re-use targets for waste electrical and electronic equipment (WEEE).
TA3_Industrial strategy for a clean and circular economy;WEEE Recycling Targets;TA3.44;From 15 August 2018, the recycling targets for the WEEE falling within the following categories of Annex III shall be: - 0% for Category 1 or Category 4 - 70% for Category 2 - 55% for Category 5 or Category 6;This target sets recycling targets for waste electrical and electronic equipment (WEEE).
TA3_Industrial strategy for a clean and circular economy;Municipal Waste Recycling;TA3.45;By 2025, the preparing for re-use and recycling of municipal waste shall be increased to a minimum of 55% by weight (60% by 2030, 65% by 2035);This target sets goals for increasing the re-use and recycling of municipal waste.
TA3_Industrial strategy for a clean and circular economy;Food Waste Reduction;TA3.46;Member States should aim to achieve an indicative Union-wide food waste reduction target of 30 % by 2025 and 50 % by 2030;This target sets goals for reducing food waste across the Union.
TA3_Industrial strategy for a clean and circular economy;Waste Collection;TA3.47;Hazardous household waste will have to be collected separately by 2022, bio-waste by 2023 and textiles by 2025;This target focuses on the separate collection of different types of waste.
TA3_Industrial strategy for a clean and circular economy;nan;TA3.48;;This target is marked as "nan" and does not contain specific content.
TA3_Industrial strategy for a clean and circular economy;Producer Responsibility;TA3.5;By 2030 producers will have responsibility for their products along the value chain, including when they become waste. The circular textiles ecosystem is thriving, driven by sufficient capacities for innovative fibre-to-fibre recycling, while the incineration and landfilling of textiles is reduced to the minimum.;This target emphasizes producer responsibility for products throughout their lifecycle.
TA3_Industrial strategy for a clean and circular economy;nan;TA3.6;;This target is marked as "nan" and does not contain specific content.
TA3_Industrial strategy for a clean and circular economy;nan;TA3.7;;This target is marked as "nan" and does not contain specific content.
TA3_Industrial strategy for a clean and circular economy;Raw Materials Extraction;TA3.8;Union's access to a secure and sustainable supply of critical raw materials by ensuring that the Union's extraction capacity is able to extract the ores, minerals or concentrates needed to produce at least 10% of the Union's annual consumption of strategic raw materials, to the extent that the Union’s reserves allow for this;This target focuses on increasing extraction capacity for critical raw materials.
TA3_Industrial strategy for a clean and circular economy;Raw Materials Processing;TA3.9;Union's access to a secure and sustainable supply of critical raw materials by ensuring that the Union's processing capacity, including for all intermediate processing steps, is able to produce at least 40% of the Union's annual consumption of strategic raw materials;This target emphasizes increasing processing capacity for critical raw materials.
TA4_Sustainable and smart mobility;Biomethane Production;TA4.1;*The amendments in Dir. 2023/2413 are also intended to support the achievement of the Union’s target of an annual production of sustainable biomethane of 35 billion cubic meters by 2030, set out in the SWD(2022) 230 of 18 May 2022 accompanying the REPowerEU Plan Taken from Directive (EU) 2023/2413 as regards the promotion of energy from renewable sources;This target focuses on increasing the production of sustainable biomethane as part of the mobility strategy.
TA4_Sustainable and smart mobility;Fisheries Fuel Intensity;TA4.10;EU fisheries are encouraged to continue the positive trend, as observed for the period 2009-2019, towards reducing fuel intensity by reducing the fossil-fuel consumption per kg of landed product for at least an additional 15% for the period 2019-2030;This target emphasizes reducing fuel intensity in the fisheries sector.
TA4_Sustainable and smart mobility;Transport Cost Reduction;TA4.11;Reduce the average door-to-door cost of combined transport operations by at least 10% within 7 years;This target focuses on reducing the cost of combined transport operations.
TA4_Sustainable and smart mobility;Maritime GHG Intensity;TA4.12;GHG intensity reduction target in the maritme sector (link Agreement Council - Parliament on 23.03.2023): -2% from 1 January 2025, -6% from 1 January 2030, -14.5% from 1 January 2035, -31% from 1 January 2040, -62% from 1 January 2045, -80% from 1 January 2050);This target sets specific GHG intensity reduction targets for the maritime sector.
TA4_Sustainable and smart mobility;Zero-Emission Urban Buses;TA4.13;For new urban buses the share of zeroemissions vehicles shall be 100% as from the reporting period of the year 2030;This target focuses on transitioning to zero-emission urban buses.
TA4_Sustainable and smart mobility;Maritime Renewable Fuels;TA4.14;Renewable and low-carbon fuels should represent between 6% and 9% of the international maritime transport fuel mix by 2030 and between 86% and 88% by 2050;This target sets goals for increasing the share of renewable fuels in maritime transport.
TA4_Sustainable and smart mobility;Heavy-Duty Vehicle Emissions;TA4.15;The average CO2 emissions of the Union fleet of new heavy-duty motor vehicles, other than special purpose, off-road, off-road special purpose, and vocational vehicles shall be reduced by the following percentages compared to the average CO2 emissions of the reporting period of the year 2019: (a) for vehicle sub-groups 4-UD, 4-RD, 4-LH, 5-RD, 5-LH, 9-RD, 9-LH, 10-RD, 10-LH for the reporting periods of the years 2025 to 2029 by 15 %, for all vehicle sub-groups for the reporting periods of the years 2030 to 2034 by 45 %, (c) for all vehicle sub-groups for the reporting periods of the years 2035 to 2039 by 65 %, (d) for all vehicle sub-groups for the reporting periods of the years 2040 onwards by 90%;This target sets specific CO2 emissions reduction targets for heavy-duty vehicles.
TA4_Sustainable and smart mobility;Passenger Car Emissions;TA4.16;From 1 January 2020, this Regulation sets an EU fleet-wide target of 95 g CO2/km for the average emissions of new passenger cars and an EU fleet-wide target of 147 g CO2/km for the average emissions of new light commercial vehicles registered in the Union, as measured until 31 December 2020 in accordance with Regulation (EC) No 692/2008 together with Implementing Regulations (EU) 2017/1152 and (EU) 2017/1153, and from 1 January 2021 measured in accordance with Regulation (EU) 2017/1151.;This target sets specific CO2 emissions targets for passenger cars and light commercial vehicles.
TA4_Sustainable and smart mobility;Passenger Car Emissions;TA4.17;This Regulation will, until 31 December 2024, be complemented by additional measures corresponding to a reduction of 10 g CO2/km as part of the Union's integrated approach referred to in the Commission's communication of 7 February 2007 entitled ‘Results of the review of the Community Strategy to reduce CO2 emissions from passenger cars and light-commercial vehicles;This target focuses on additional measures to reduce CO2 emissions from passenger cars.
TA4_Sustainable and smart mobility;nan;TA4.18;;This target is marked as "nan" and does not contain specific content.
