```csv
thematic_area;sub_theme;target_code;target_content;justification
TA1_Climate ambition;Climate Resilience;TA1.4;Achieve a climate-resilient society status, fully adapted to the unavoidable impacts of climate change;This target focuses on building resilience to climate change impacts, which is a key aspect of climate adaptation.
TA1_Climate ambition;Carbon Border Adjustment;TA1.5;CBAM;This target relates to the Carbon Border Adjustment Mechanism, which is designed to prevent carbon leakage and support climate ambition.
TA1_Climate ambition;Regulatory Framework;TA1.6;Recast;This target involves regulatory changes, which are necessary for implementing climate policies.
TA1_Climate ambition;Methane Emissions;TA1.7;Reduce methane emissions of 35% if compared to 2005 levels;This target specifically addresses methane emissions, a significant contributor to climate change.
TA1_Climate ambition;Energy Neutrality;TA1.8;Reach energy neutrality in the wastewater treatment sector by 2040. To reach energy neutrality and the additional treatment of nitrogen, GHG emissions would be reduced by 4,86 million tonnes (37,32 % of the avoidable emissions from the sector);This target focuses on achieving energy neutrality in a specific sector, contributing to overall emissions reduction.
TA1_Climate ambition;EU ETS;TA1.9;The contribution of the sectors covered by the EU ETS with respect to the EU Climate ambition should be of -62 % compared to 2005 (increasing the linear emissions reduction factor from 2.2 % per year up to 4.4 %);This target is related to the EU Emissions Trading System, a key tool for reducing GHG emissions.
TA2_Clean, affordable and secure energy;Renewable Hydrogen;TA2.1;Renewable hydrogen will be key to replace natural gas, coal and oil in hard-to-decarbonise industries and transport. REPowerEU sets a target of 10 million tonnes of domestic renewable hydrogen production and 10 million tonnes of renewable hydrogen imports by 2030;This target focuses on the production and import of renewable hydrogen, a crucial element for decarbonizing energy-intensive sectors.
TA2_Clean, affordable and secure energy;Innovative Renewable Energy;TA2.10;Member States shall set an indicative target for innovative renewable energy technology of at least 5 % of newly installed renewable energy capacity by 2030;This target encourages the adoption of innovative renewable energy technologies, which are essential for advancing clean energy solutions.
TA2_Clean, affordable and secure energy;Joint Renewable Projects;TA2.11;By 31 December 2025, each Member State shall agree to establish a framework for cooperation on joint projects with one or more other Member States for the production of renewable energy, subject to the following: by 31 December 2030, Member States shall endeavour to agree on establishing at least two joint projects, by 31 December 2033, Member States with an annual electricity consumption of more than 100 TWh shall endeavour to agree on establishing a third joint project;This target promotes collaboration between Member States on renewable energy projects, enhancing energy security and sustainability.
TA2_Clean, affordable and secure energy;Industry Renewable Energy;TA2.12;Member States shall endeavour to increase the share of renewable sources in the amount of energy sources used for final energy and non-energy purposes in the industry sector by an indicative increase of at least 1,6 percentage points as an annual average calculated for the periods 2021 to 2025 and 2026 to 2030.;This target focuses on increasing the use of renewable energy in the industry sector, contributing to overall energy sustainability.
TA2_Clean, affordable and secure energy;Transport Renewable Energy;TA2.13;Each Member State shall set an obligation on fuel suppliers to ensure that: (a) the amount of renewable fuels and renewable electricity supplied to the transport sector leads to a: (i) share of renewable energy within the final consumption of energy in the transport sector of at least 29 % by 2030, or i) greenhouse gas intensity reduction of at least 14,5 % by 2030, compared to the baseline set out in Article 27(1), point (b), in accordance with an indicative trajectory set by the Member State,;This target aims to increase the share of renewable energy in the transport sector, reducing its carbon footprint.
TA2_Clean, affordable and secure energy;District Heating and Cooling;TA2.14;Member States shall endeavour to increase the share of energy from renewable sources and from waste heat and cold in district heating and cooling by an indicative 2,2 percentage points as an annual average calculated for the period 2021 to 2030, starting from the share of energy from renewable sources and from waste heat and cold in district heating and cooling in 2020;This target focuses on increasing the use of renewable energy in district heating and cooling systems, contributing to energy efficiency.
TA2_Clean, affordable and secure energy;Renewable Energy Targets;TA2.15;By 2022 achieve 18% of the total increase in the share of energy from renewable sources between that Member State's binding 2020 national target, and its contribution to the 2030 target of share of energy from renewable sources in gross final consumption of energy. Achieve 43% by 2025, 65% by 2027;This target sets specific milestones for increasing the share of renewable energy, aligning with broader energy transition goals.
TA2_Clean, affordable and secure energy;Heating and Cooling Renewable Energy;TA2.16;Each Member State shall increase the share of renewable energy in that sector by at least 0,8 percentage points as an annual average calculated for the period 2021 to 2025 and by at least 1,1 percentage points as an annual average calculated for the period 2026 to 2030, starting from the share of renewable energy in the heating and cooling sector in 2020;This target aims to increase the share of renewable energy in the heating and cooling sector, enhancing energy sustainability.
TA2_Clean, affordable and secure energy;Energy and Climate Targets;TA2.17;the Union’s 2030 targets for energy and climate” means the Union-wide binding target for reducing greenhouse gas emissions in 2030 referred to in Article 4(1) of Regulation (EU) 2021/1119, the Union’s binding target for renewable energy for 2030 set in Article 3(1) of Directive (EU) 2018/2001, the Union-level target for improving energy efficiency in 2030 referred to in Article 4(1) of Directive (EU) .../... of the European Parliament and of the Council*+ and the 15 % electricity interconnection target for 2030 or any subsequent targets in that regard agreed by the European Council or by the European Parliament and by the Council for 2030.;This target encompasses multiple energy and climate goals, highlighting the interconnectedness of these objectives.
TA2_Clean, affordable and secure energy;Building Renewable Energy;TA2.18;Member States shall determine an indicative national share of renewable energy produced on-site or nearby as well as renewable energy taken from the grid in final energy consumption in their building sector in 2030 that is consistent with an indicative target of at least a 49 % share of energy from renewable sources in the building sector in the Union’s final energy consumption in buildings in 2030;This target focuses on increasing the share of renewable energy in the building sector, contributing to energy efficiency and sustainability.
TA2_Clean, affordable and secure energy;Fisheries Energy Transition;TA2.19;The fisheries sector must follow the two mutually reinforcing paths of reducing energy intensity, on the one hand, and switching to renewable and low-carbon energy sources, on the other hand;This target addresses the energy transition in the fisheries sector, promoting the use of renewable and low-carbon energy sources.
TA2_Clean, affordable and secure energy;Renewable Energy Communities;TA2.2;Set up at least one renewables-based energy community in every municipality with a population higher than 10.000;This target encourages the establishment of renewable energy communities, fostering local energy production and consumption.
TA2_Clean, affordable and secure energy;Public Building Renovation;TA2.20;Renovate each year at least 3% of the total floor area of buildings owned by all levels of public administration (as also agreed by Council-Parliament on 10.03.23);This target focuses on renovating public buildings to improve energy efficiency and reduce emissions.
TA2_Clean, affordable and secure energy;Public Energy Consumption;TA2.21;Member States shall ensure that the total final energy consumption of all public bodies combined is reduced by at least 1,9 % each year, when compared to 2021 (art. 5.1 Directive);This target aims to reduce energy consumption in public bodies, contributing to overall energy efficiency.
TA2_Clean, affordable and secure energy;Energy Consumption Reduction;TA2.22;Member States shall collectively ensure a reduction of energy consumption of at least 11,7 % in 2030 compared to the projections of the 2020 EU Reference Scenario so that the Union’s final energy consumption amounts to no more than 763 Mtoe (art. 4 Directive);This target sets a collective goal for reducing energy consumption, aligning with broader energy efficiency objectives.
TA2_Clean, affordable and secure energy;Primary Energy Consumption;TA2.23;Member States shall make efforts to collectively contribute to the indicative Union primary energy consumption target amounting to no more than 992,5 Mtoe in 2030 (art. 4 Directive) -> 39% savings for primary energy consumption in the EU;This target focuses on reducing primary energy consumption, contributing to energy efficiency and sustainability.
TA2_Clean, affordable and secure energy;Building Renovation;TA2.24;Each Member State shall ensure that at least 3 % of the total floor area of heated and/or cooled buildings (of buildings which have a total useful floor area of over 250 m2) that are owned by public bodies is renovated each year to be transformed into at least nearly zero-energy buildings or zero-emission buildings in accordance with Article 9 of Directive 2010/31/EU;This target promotes the renovation of public buildings to achieve nearly zero-energy or zero-emission status, enhancing energy efficiency.
TA2_Clean, affordable and secure energy;Building Energy Consumption;TA2.25;Reduce buildings' final energy consumption by 14%;This target aims to reduce the final energy consumption of buildings, contributing to energy efficiency.
TA2_Clean, affordable and secure energy;Building Energy Renovation;TA2.26;At least double the annual energy renovation rate of residential and non-residential buildings by 2030 and to foster deep energy renovations;This target focuses on increasing the rate of energy renovations in buildings, enhancing energy efficiency.
TA2_Clean, affordable and secure energy;Building Renovation Targets;TA2.27;Indicative national targets aiming to achieve the deep renovation of at least 35 million building units by 2030 to support reaching an annual energy renovation rate of 3 % or more for the period till 2050 (see latest test adopted by EP on 14.03.2023);This target sets specific goals for building renovations, contributing to energy efficiency and sustainability.
TA2_Clean, affordable and secure energy;Heating and Cooling Energy;TA2.28;Reduce buildings' energy consumption for heating and cooling by 18%;This target focuses on reducing energy consumption for heating and cooling in buildings, enhancing energy efficiency.
TA2_Clean, affordable and secure energy;Non-Residential Building Standards;TA2.29;For the non-residential building stock, the revised rules require to gradually improve it via minimum energy performance standards. This will lead to renovating the 16% worst-performing buildings by 2030 and the 26% worst-performing buildings by 2033.;This target sets standards for improving the energy performance of non-residential buildings, contributing to energy efficiency.
TA2_Clean, affordable and secure energy;Renewable Hydrogen;TA2.3;Member States shall ensure that the contribution of renewable fuels of non-biological origin used for final energy and non-energy purposes shall be at least 42 % of the hydrogen used for final energy and non-energy purposes in industry by 2030, and 60 % by 2035;This target focuses on increasing the use of renewable hydrogen in industry, contributing to energy sustainability.
TA2_Clean, affordable and secure energy;Zero-Emission Buildings;TA2.30;The revised directive will make zero-emission buildings the new standard for new buildings. Under the agreement all new residential and non-residential buildings must have zero on-site emissions from fossil fuels, as of 1 January 2028 for publicly-owned buildings and as of 1 January 2030 for all other new buildings, with a possibility for specific exemptions.;This target sets a standard for zero-emission buildings, contributing to energy efficiency and sustainability.
TA2_Clean, affordable and secure energy;Zero-Emission Buildings;TA2.31;All existing buildings should be transformed into zero-emission buildings;This target focuses on transforming existing buildings into zero-emission buildings, enhancing energy efficiency.
TA2_Clean, affordable and secure energy;Renewable Energy in Buildings;TA2.32;100% of on-site energy consumption to be covered by renewable energy as for new buildings;This target aims to cover all on-site energy consumption with renewable energy in new buildings, contributing to energy sustainability.
TA2_Clean, affordable and secure energy;Building Energy Use;TA2.33;The national measures will have to ensure that at least 55% of the decrease of the average primary energy use is achieved through the renovation of the worst-performing buildings;This target focuses on reducing primary energy use through building renovations, enhancing energy efficiency.
TA2_Clean, affordable and secure energy;Residential Building Energy Use;TA2.34;Each Member State will adopt its own national trajectory to reduce the average primary energy use of residential buildings by 16% by 2030 and 20-22% by 2035;This target sets goals for reducing primary energy use in residential buildings, contributing to energy efficiency.
TA2_Clean, affordable and secure energy;Fossil Fuel Phase-Out;TA2.35;Member States will also have to set out specific measures on the phase-out of fossil fuels in heating and cooling with a view to a complete phase-out of boilers powered by fossil fuels by 2040;This target focuses on phasing out fossil fuels in heating and cooling, contributing to energy sustainability.
TA2_Clean, affordable and secure energy;Energy Performance of Buildings;TA2.36;See ‘Commission welcomes political agreement on new rules to boost energy performance of buildings across the EU’;This target relates to improving the energy performance of buildings, enhancing energy efficiency.
TA2_Clean, affordable and secure energy;Renewable Energy in Electricity;TA2.37;By 2030, the share of renewable energy in the electricity mix should double to 55-60%, and projections show a share of around 84% by 2050. The remaining gap should be covered by other low-carbon options;This target sets goals for increasing the share of renewable energy in the electricity mix, contributing to energy sustainability.
TA2_Clean, affordable and secure energy;Offshore Wind Energy;TA2.38;The strategy sets targets for an installed capacity of at least 60 GW of offshore wind by 2030 and at least 300 GW by 2050. Grounding on the revised TEN-E regulation, EU countries have agreed on new, ambitious long-term goals for the deployment of offshore renewable energy up to 2050 in each of the EU’s five sea basins. As a result, the cumulative EU offshore goals have the following ranges: 109-112 GW by 2030, 215-248 GW by 2040, and 281-354 GW by 2050.;This target focuses on increasing offshore wind energy capacity, contributing to renewable energy goals.
TA2_Clean, affordable and secure energy;Ocean Energy;TA2.39;The strategy sets targets for an installed capacity of at least 1 GW of ocean energy by 2030 and 40 GW by 2050;This target sets goals for ocean energy capacity, contributing to renewable energy development.
TA2_Clean, affordable and secure energy;Heat Pumps;TA2.4;Doubling the current deployment rate of individual heat pumps, resulting in a cumulative 10 million units by 2027 and 30 million units by 2030;This target focuses on increasing the deployment of heat pumps, contributing to energy efficiency and sustainability.
TA2_Clean, affordable and secure energy;Steel Decarbonization;TA2.40;Around 30% of EU primary steel production is expected to be decarbonized on the basis of renewable hydrogen;This target focuses on decarbonizing steel production using renewable hydrogen, contributing to industrial sustainability.
TA2_Clean, affordable and secure energy;Solar Photovoltaic;TA2.5;Bring online over 320 GW of solar photovoltaic by 2025 and 600 GW by 2030;This target sets goals for solar photovoltaic capacity, contributing to renewable energy development.
TA2_Clean, affordable and secure energy;Solar Heat and Geothermal;TA2.6;Energy demand to be covered by solar heat and geothermal should at least triple (currently rate at 1,5%);This target focuses on increasing the use of solar heat and geothermal energy, contributing to renewable energy goals.
TA2_Clean, affordable and secure energy;Solar Photovoltaic;TA2.7;Over this decade, the EU will need to install, on average, approximately 45 GW per year of PV to reach the share of 45% of energy coming from renewables set out in the RePowerEU Plan;This target sets installation goals for solar photovoltaic, contributing to renewable energy development.
TA2_Clean, affordable and secure energy;Solar Energy Access;TA2.8;Ensure that energy poor and vulnerable consumers have access to solar energy, e.g. through social housing installations, energy communities, or financing support for individual installations;This target focuses on providing access to solar energy for vulnerable consumers, enhancing energy equity.
TA2_Clean, affordable and secure energy;Renewable Energy Share;TA2.9;Member States shall collectively ensure that the share of energy from renewable sources in the Union’s gross final consumption of energy in 2030 is at least 42,5 %.;This target sets a collective goal for the share of renewable energy, contributing to energy sustainability.
TA3_Industrial strategy for a clean and circular economy;Waste Reduction;TA3.1;Halve the amount of residual (non-recycled) municipal waste;This target focuses on reducing residual municipal waste, contributing to a circular economy.
TA3_Industrial strategy for a clean and circular economy;Critical Raw Materials;TA3.10;Union's access to a secure and sustainable supply of critical raw materials by ensuring that the Union's recycling capacity, including for all intermediate recycling steps, is able to produce at least 15% of the Union's annual consumption of strategic raw materials;This target focuses on securing a sustainable supply of critical raw materials through recycling, contributing to resource efficiency.
TA3_Industrial strategy for a clean and circular economy;Critical Raw Materials;TA3.11;Diversify the Union's imports of strategic raw materials with a view to ensure that the Union's annual consumption of each strategic raw material at any relevant stage of processing can rely on imports from several third countries, none of which provide more than 65% of the Union's annual consumption;This target aims to diversify imports of strategic raw materials, enhancing supply chain resilience.
TA3_Industrial strategy for a clean and circular economy;Net-Zero Technologies;TA3.12;by 2030, manufacturing capacity in the Union of the strategic net-zero technologies listed in the Annex approaches or reaches a benchmark of at least 40% of the Union’s annual deployment needs for the corresponding technologies necessary to achieve the Union’s 2030 climate and energy targets;This target focuses on increasing manufacturing capacity for net-zero technologies, contributing to industrial sustainability.
TA3_Industrial strategy for a clean and circular economy;Batteries;TA3.13;nan;This target is related to batteries, which are crucial for energy storage and a circular economy.
TA3_Industrial strategy for a clean and circular economy;Batteries;TA3.14;nan;This target is related to batteries, which are crucial for energy storage and a circular economy.
TA3_Industrial strategy for a clean and circular economy;Battery Collection;TA3.15;Producers of portable batteries or, where appointed in accordance with Article 57(1), producer responsibility organisations, shall ensure that all waste portable batteries, Light Means of Transport (LMT) and SLI batteries, regardless of their nature, chemical composition, condition, brand or origin, are collected separately in the territory of a Member State where they make these batteries available on the market for the first time.;This target focuses on the collection of waste batteries, contributing to a circular economy.
TA3_Industrial strategy for a clean and circular economy;Battery Collection Targets;TA3.16;Producers of portable batteries or producer responsibility organisations, shall attain, and maintain durably, at least the following collection targets for waste portable batteries: 45 % by 31 December 2023, 63 % by 31 December 2027, 73 % by 31 December 2030.;This target sets specific collection targets for waste batteries, contributing to a circular economy.
TA3_Industrial strategy for a clean and circular economy;Battery Collection Targets;TA3.17;Producers of LMT (Light Means of Transport) batteries or producer responsibility organisations, shall attain, and maintain durably, at least the following collection targets of waste LMT batteries: 51 % by 31 December 2028, 61 % by 31 December 2031.;This target sets specific collection targets for LMT batteries, contributing to a circular economy.
TA3_Industrial strategy for a clean and circular economy;Battery Recycling;TA3.18;Recycled content in industrial batteries, electric vehicle batteries, LMT batteries and SLI batteries: Cobalt: 16 % by 2031 (26% by 2036), Lead: 85% (85%), Nickel: 6% (12%), Lithium 6% (15%);This target focuses on increasing the recycled content in batteries, contributing to resource efficiency.
TA3_Industrial strategy for a clean and circular economy;Battery Design;TA3.19;All batteries incorporated in market products shall be readily removable and replaceable by the end-user at any time during the lifetime (except some derogations);This target focuses on battery design for easy removal and replacement, contributing to a circular economy.
TA3_Industrial strategy for a clean and circular economy;Waste Reduction;TA3.2;Reduce landfill to a maximum of 10% of municipal waste;This target focuses on reducing landfill use, contributing to waste reduction and a circular economy.
TA3_Industrial strategy for a clean and circular economy;Battery Recycling Efficiency;TA3.20;Recycling shall achieve at least the following targets for recycling efficiency: No later than 31 December 2025 - 75% by average weight of lead-acid batteries, - 80% by average weight of nickel-cadmium batteries - 50% by average weight of other waste batteries No later than 31 December 2030 - 80% by average weight of lead-acid batteries,;This target sets specific recycling efficiency targets for batteries, contributing to resource efficiency.
TA3_Industrial strategy for a clean and circular economy;Battery Recycling Efficiency;TA3.21;Recycling shall achieve at least the following targets for recycling efficiency: No later than 31 December 2025 - 65% by average weight of lithium-based batteries, No later than 31 December 2030 - 70% by average weight of lithium-based batterie;This target sets specific recycling efficiency targets for lithium-based batteries, contributing to resource efficiency.
TA3_Industrial strategy for a clean and circular economy;Material Recovery;TA3.22;All recycling shall achieve at least the following targets for recovery of materials: No later than 31 December 2027 -90% for cobalt, copper, lead and nickel, No later than 31 December 2031: -95% for cobalt, copper, lead, and nickel,;This target sets specific material recovery targets, contributing to resource efficiency.
TA3_Industrial strategy for a clean and circular economy;Material Recovery;TA3.23;All recycling shall achieve at least the following targets for recovery of materials: No later than 31 December 2027 -50% lithium No later than 31 December 2031: -80% lithium;This target sets specific material recovery targets for lithium, contributing to resource efficiency.
TA3_Industrial strategy for a clean and circular economy;Food Waste Reduction;TA3.24;Reduce the generation of food waste in processing and manufacturing by 10% in comparison to the amount generated in 2020;This target focuses on reducing food waste in processing and manufacturing, contributing to a circular economy.
TA3_Industrial strategy for a clean and circular economy;Food Waste Reduction;TA3.25;Reduce the generation of food waste per capita, jointly in retail and other distribution of food, in restaurants and food services and in households, by 30 % in comparison to the amount generated in 2020;This target focuses on reducing food waste across various sectors, contributing to a circular economy.
TA3_Industrial strategy for a clean and circular economy;Batteries;TA3.26;nan;This target is related to batteries, which are crucial for energy storage and a circular economy.
TA3_Industrial strategy for a clean and circular economy;Recyclable Packaging;TA3.27;Making all packaging recyclable (see European Parliament resolution of 10 February 2021 on the New Circular Economy Action Plan, the New Circular Economy Action Plan and art. 5 of this Proposal);This target focuses on making all packaging recyclable, contributing to a circular economy.
TA3_Industrial strategy for a clean and circular economy;Recycled Content in Packaging;TA3.28;The plastic part in packaging shall contain the following minimum percentage of recycled content recovered from post-consumer plastic waste, per unit of packaging: From 1 January 2030 (i) 30% for contact sensitive packaging made from polyethylene terephthalate (PET) as major component, (ii) 10% for contact sensitive made from plastic materials other than PET, except single use plastic bottles, (iii) 30% for single use plastic beverage bottles, (iv) 35% for other plastic packaging From 1 January 2040 (v) 50% for contact sensitive plastic packaging, except single use plastic beverage bottles, (vi) 65% for single use plastic beverage bottles, (vii) 65% for other plastic packaging;This target sets specific recycled content requirements for packaging, contributing to resource efficiency.
TA3_Industrial strategy for a clean and circular economy;Plastic Bag Reduction;TA3.29;Member States shall take measures to achieve a sustained reduction in the consumption of lightweight plastic carrier bags on their territory. A sustained reduction is achieved if the annual consumption does not exceed 40 lightweight plastic carrier bags per person, or the equivalent target in weight, by 31 December 2025, and subsequently by 31 December in each year thereafter;This target focuses on reducing the consumption of plastic bags, contributing to waste reduction and a circular economy.
TA3_Industrial strategy for a clean and circular economy;Circular Material Use;TA3.3;Double its circular material use rate in the coming decade;This target focuses on increasing the circular material use rate, contributing to a circular economy.
TA3_Industrial strategy for a clean and circular economy;Packaging Waste Reduction;TA3.30;Reduce packaging waste by 5% per Member State per capita compared to 2018 by 2030, 10% by 2035 and 15% by 2040;This target sets specific goals for reducing packaging waste, contributing to waste reduction and a circular economy.
TA3_Industrial strategy for a clean and circular economy;Packaging Recycling;TA3.31;Recycling or preparing for re-use 65% of all packaging waste by 2025, 70% by 2030;This target sets specific recycling targets for packaging waste, contributing to resource efficiency.
TA3_Industrial strategy for a clean and circular economy;Plastic Recycling;TA3.32;Recycling of plastic in packaging: 55%;This target sets a specific recycling target for plastic packaging, contributing to resource efficiency.
TA3_Industrial strategy for a clean and circular economy;Wood Recycling;TA3.33;Recycling of wood in packaging: 30%;This target sets a specific recycling target for wood packaging, contributing to resource efficiency.
TA3_Industrial strategy for a clean and circular economy;Ferrous Metals Recycling;TA3.34;Recycling of ferrous metals in packaging: 80%;This target sets a specific recycling target for ferrous metal packaging, contributing to resource efficiency.
TA3_Industrial strategy for a clean and circular economy;Aluminium Recycling;TA3.35;Recycling of aluminium in packaging: 60%;This target sets a specific recycling target for aluminium packaging, contributing to resource efficiency.
TA3_Industrial strategy for a clean and circular economy;Glass Recycling;TA3.36;Recycling of glass in packaging: 75%;This target sets a specific recycling target for glass packaging, contributing to resource efficiency.
TA3_Industrial strategy for a clean and circular economy;Paper and Cardboard Recycling;TA3.37;Recycling of paper and cardboard in packaging: 85%;This target sets a specific recycling target for paper and cardboard packaging, contributing to resource efficiency.
TA3_Industrial strategy for a clean and circular economy;Batteries;TA3.38;nan;This target is related to batteries, which are crucial for energy storage and a circular economy.
TA3_Industrial strategy for a clean and circular economy;PET Bottle Recycling;TA3.39;From 2025, beverage bottles listed in Part F of the Annex which are manufactured from polyethylene terephthalate as the major component (‘PET bottles’) contain at least 25 % recycled plastic, calculated as an average for all PET bottles placed on the market on the territory of that Member State;This target sets a specific recycled content requirement for PET bottles, contributing to resource efficiency.
TA3_Industrial strategy for a clean and circular economy;Textile Products;TA3.4;By 2030 textile products placed on the EU market are long-lived and recyclable, to a great extent made of recycled fibres, free of hazardous substances and produced in respect of social rights and the environment;This target focuses on improving the sustainability of textile products, contributing to a circular economy.
TA3_Industrial strategy for a clean and circular economy;Plastic Beverage Bottle Collection;TA3.40;Member States shall meet the target of 77% by weight for the separate collection for recycling of waste single-use plastic beverage bottles by 2025 and 90% by 2029;This target sets specific collection targets for plastic beverage bottles, contributing to a circular economy.
TA3_Industrial strategy for a clean and circular economy;EEE Collection;TA3.41;From 2019, the minimum collection rate to be achieved annually shall be 65 % of the average weight of EEE placed on the market in the three preceding years in the Member State concerned, or alternatively 85 % of WEEE generated on the territory of that Member State.;This target sets specific collection targets for waste electrical and electronic equipment, contributing to a circular economy.
TA3_Industrial strategy for a clean and circular economy;WEEE Recovery Targets;TA3.42;From 15 August 2018, the recovery targets for the WEEE falling within the following categories of Annex III shall be: - 85% for Category 1 (temperature exchange equipment) or Category 4 (large equipment with any external dimension more than 50 cm) - 80% for Category 2 (e.g., screens and monitors) - 75% for Category 5 (small equipment with no external dimension more than 50 cm) or 6 (Small IT and telecommunication equipment with no external dimension more than 50 cm).;This target sets specific recovery targets for waste electrical and electronic equipment, contributing to resource efficiency.
TA3_Industrial strategy for a clean and circular economy;WEEE Reuse Targets;TA3.43;From 15 August 2018, the preparation for re-use targets for the WEEE falling within the following categories of Annex III shall be: - 80% for Category 1 or Category 4 - 70% for Category 2 - 55% for Category 5 or Category 6;This target sets specific reuse targets for waste electrical and electronic equipment, contributing to a circular economy.
TA3_Industrial strategy for a clean and circular economy;WEEE Recycling Targets;TA3.44;From 15 August 2018, the recycling targets for the WEEE falling within the following categories of Annex III shall be: - 0% for Category 1 or Category 4 - 70% for Category 2 - 55% for Category 5 or Category 6;This target sets specific recycling targets for waste electrical and electronic equipment, contributing to resource efficiency.
TA3_Industrial strategy for a clean and circular economy;Municipal Waste Recycling;TA3.45;By 2025, the preparing for re-use and recycling of municipal waste shall be increased to a minimum of 55% by weight (60% by 2030, 65% by 2035);This target sets specific reuse and recycling targets for municipal waste, contributing to a circular economy.
TA3_Industrial strategy for a clean and circular economy;Food Waste Reduction;TA3.46;Member States should aim to achieve an indicative Union-wide food waste reduction target of 30 % by 2025 and 50 % by 2030;This target sets specific goals for reducing food waste, contributing to a circular economy.
TA3_Industrial strategy for a clean and circular economy;Waste Collection;TA3.47;Hazardous household waste will have to be collected separately by 2022, bio-waste by 2023 and textiles by 2025;This target sets specific collection targets for various waste types, contributing to a circular economy.
TA3_Industrial strategy for a clean and circular economy;Batteries;TA3.48;nan;This target is related to batteries, which are crucial for energy storage and a circular economy.
TA3_Industrial strategy for a clean and circular economy;Producer Responsibility;TA3.5;By 2030 producers will have responsibility for their products along the value chain, including when they become waste. The circular textiles ecosystem is thriving, driven by sufficient capacities for innovative fibre-to-fibre recycling, while the incineration and landfilling of textiles is reduced to the minimum.;This target focuses on producer responsibility for products, contributing to a circular economy.
TA3_Industrial strategy for a clean and circular economy;Batteries;TA3.6;nan;This target is related to batteries, which are crucial for energy storage and a circular economy.
TA3_Industrial strategy for a clean and circular economy;Batteries;TA3.7;nan;This target is related to batteries, which are crucial for energy storage and a circular economy.
TA3_Industrial strategy for a clean and circular economy;Critical Raw Materials;TA3.8;Union's access to a secure and sustainable supply of critical raw materials by ensuring that the Union's extraction capacity is able to extract the ores, minerals or concentrates needed to produce at least 10% of the Union's annual consumption of strategic raw materials, to the extent that the Union’s reserves allow for this;This target focuses on securing a sustainable supply of critical raw materials through extraction, contributing to resource efficiency.
TA3_Industrial strategy for a clean and circular economy;Critical Raw Materials;TA3.9;Union's access to a secure and sustainable supply of critical raw materials by ensuring that the Union's processing capacity, including for all intermediate processing steps, is able to produce at least 40% of the Union's annual consumption of strategic raw materials;This target focuses on securing a sustainable supply of critical raw materials through processing, contributing to resource efficiency.
