source_subtheme;impact_subtheme;impact_type;impact_weight;justification
Circularity/Recycling - Municipal Waste;Pesticides Reduction;+;2;Implementing circularity and recycling targets for municipal waste, particularly for plastics, can decrease the use of pesticides in agriculture, thus reducing their environmental impact.
Circularity/Recycling - Municipal Waste;Competitive Agriculture;+;2;Promoting circularity and recycling in municipal waste management can aid the competitiveness of the agricultural sector by reducing costs, increasing efficiency, and promoting sustainable practices.
Circularity/Recycling - Municipal Waste;Social Security - Workers Protection;+;1;Promoting circularity and recycling in municipal waste management can lead to the creation of new job opportunities in the recycling and waste management sectors, thus supporting workers' protection and social security.
Circularity/Recycling - Textile Waste;Food quality;+;1;Implementing circularity and recycling targets for textile waste can lead to a decrease in food waste, which in turn can improve food quality and safety.
Circularity/Recycling - Textile Waste;Food affordability;+;1;Promoting circularity and recycling in textile waste management can lead to a decrease in food prices, making nutritious food more affordable for low-income households.
Circularity/Recycling - Textile Waste;Pesticides Reduction;+;2;Implementing circularity and recycling targets for textile waste can decrease the use of pesticides in agriculture, thus reducing their environmental impact.
Circularity/Recycling - Textile Waste;Competitive Agriculture;+;2;Promoting circularity and recycling in textile waste management can aid the competitiveness of the agricultural sector by reducing costs, increasing efficiency, and promoting sustainable practices.
Circularity/Recycling - Textile Waste;Social Security - Workers Protection;+;1;Promoting circularity and recycling in textile waste management can lead to the creation of new job opportunities in the recycling and waste management sectors, thus supporting workers' protection and social security.
Circularity/Recycling - Plastic & Packaging;Food quality;+;1;Implementing circularity and recycling targets for plastic and packaging waste can lead to a decrease in food waste, which in turn can improve food quality and safety.
Circularity/Recycling - Plastic & Packaging;Food affordability;+;1;Promoting circularity and recycling in plastic and packaging waste management can lead to a decrease in food prices, making nutritious food more affordable for low-income households.
Circularity/Recycling - Plastic & Packaging;Pesticides Reduction;+;2;Implementing circularity and recycling targets for plastic and packaging waste can decrease the use of pesticides in agriculture, thus reducing their environmental impact.
Circularity/Recycling - Plastic & Packaging;Competitive Agriculture;+;2;Promoting circularity and recycling in plastic and packaging waste management can aid the competitiveness of the agricultural sector by reducing costs, increasing efficiency, and promoting sustainable practices.
Circularity/Recycling - Plastic & Packaging;Social Security - Workers Protection;+;1;Promoting circularity and recycling in plastic and packaging waste management can lead to the creation of new job opportunities in the recycling and waste management sectors, thus supporting workers' protection and social security.
Circularity/Recycling - Plastic & Packaging - Bio-based plastics;Food quality;+;1;Implementing circularity and recycling targets for bio-based plastics can lead to a decrease in food waste, which in turn can improve food quality and safety.
Circularity/Recycling - Plastic & Packaging - Bio-based plastics;Food affordability;+;1;Promoting circularity and recycling in bio-based plastics waste management can lead to a decrease in food prices, making nutritious food more affordable for low-income households.
Circularity/Recycling - Plastic & Packaging - Bio-based plastics;Pesticides Reduction;+;2;Implementing circularity and recycling targets for bio-based plastics can decrease the use of pesticides in agriculture, thus reducing their environmental impact.
Circularity/Recycling - Plastic & Packaging - Bio-based plastics;Competitive Agriculture;+;2;Promoting circularity and recycling in bio-based plastics waste management can aid the competitiveness of the agricultural sector by reducing costs, increasing efficiency, and promoting sustainable practices.
Circularity/Recycling - Plastic & Packaging - Bio-based plastics;Social Security - Workers Protection;+;1;Promoting circularity and recycling in bio-based plastics waste management can lead to the creation of new job opportunities in the recycling and waste management sectors, thus supporting workers' protection and social security.
Circularity/Recycling - Vehicle Circularity;Food quality;+;1;Implementing circularity and recycling targets for vehicle waste can lead to a decrease in food waste, which in turn can improve food quality and safety.
Circularity/Recycling - Vehicle Circularity;Food affordability;+;1;Promoting circularity and recycling in vehicle waste management can lead to a decrease in food prices, making nutritious food more affordable for low-income households.
Circularity/Recycling - Vehicle Circularity;Pesticides Reduction;+;2;Implementing circularity and recycling targets for vehicle waste can decrease the use of pesticides in agriculture, thus reducing their environmental impact.
Circularity/Recycling - Vehicle Circularity;Competitive Agriculture;+;2;Promoting circularity and recycling in vehicle waste management can aid the competitiveness of the agricultural sector by reducing costs, increasing efficiency, and promoting sustainable practices.
Circularity/Recycling - Vehicle Circularity;Social Security - Workers Protection;+;1;Promoting circularity and recycling in vehicle waste management can lead to the creation of new job opportunities in the recycling and waste management sectors, thus supporting workers' protection and social security.
Circularity/Recycling - Critical Raw Materials - Batteries Recycling;Food quality;+;1;Implementing circularity and recycling targets for critical raw materials, particularly batteries, can lead to a decrease in food waste, which in turn can improve food quality and safety.
Circularity/Recycling - Critical Raw Materials - Batteries Recycling;Food affordability;+;1;Promoting circularity and recycling in critical raw materials waste management can lead to a decrease in food prices, making nutritious food more affordable for low-income households.
Circularity/Recycling - Critical Raw Materials - Batteries Recycling;Pesticides Reduction;+;2;Implementing circularity and recycling targets for critical raw materials can decrease the use of pesticides in agriculture, thus reducing their environmental impact.
Circularity/Recycling - Critical Raw Materials - Batteries Recycling;Competitive Agriculture;+;2;Promoting circularity and recycling in critical raw materials waste management can aid the competitiveness of the agricultural sector by reducing costs, increasing efficiency, and promoting sustainable practices.
Circularity/Recycling - Critical Raw Materials - Batteries Recycling;Social Security - Workers Protection;+;1;Promoting circularity and recycling in critical raw materials waste management can lead to the creation of new job opportunities in the recycling and waste management sectors, thus supporting workers' protection and social security.
Critical Raw Materials - Extraction & Import;Food quality;+;1;Implementing critical raw materials extraction and import targets can lead to a decrease in food waste, which in turn can improve food quality and safety.
Critical Raw Materials - Extraction & Import;Food affordability;+;1;Promoting critical raw materials extraction and import can lead to a decrease in food prices, making nutritious food more affordable for low-income households.
Critical Raw Materials - Extraction & Import;Pesticides Reduction;+;2;Implementing critical raw materials extraction and import targets can decrease the use of pesticides in agriculture, thus reducing their environmental impact.
Critical Raw Materials - Extraction & Import;Competitive Agriculture;+;2;Promoting critical raw materials extraction and import can aid the competitiveness of the agricultural sector by reducing costs, increasing efficiency, and promoting sustainable practices.
Critical Raw Materials - Extraction & Import;Social Security - Workers Protection;+;1;Promoting critical raw materials extraction and import can lead to the creation of new job opportunities in the extraction and import sectors, thus supporting workers' protection and social security.
Net-Zero Technology - Manufacturing;Food quality;+;1;Implementing net-zero technology manufacturing targets can lead to a decrease in food waste, which in turn can improve food quality and safety.
Net-Zero Technology - Manufacturing;Food affordability;+;1;Promoting net-zero technology manufacturing can lead to a decrease in food prices, making nutritious food more affordable for low-income households.
Net-Zero Technology - Manufacturing;Pesticides Reduction;+;2;Implementing net-zero technology manufacturing targets can decrease the use of pesticides in agriculture, thus reducing their environmental impact.
Net-Zero Technology - Manufacturing;Competitive Agriculture;+;2;Promoting net-zero technology manufacturing can aid the competitiveness of the agricultural sector by reducing costs, increasing efficiency, and promoting sustainable practices.
Net-Zero Technology - Manufacturing;Social Security - Workers Protection;+;1;Promoting net-zero technology manufacturing can lead to the creation of new job opportunities in the manufacturing sector, thus supporting workers' protection and social security.
