9;Renewable Energy - Hydrogen Production;Energy Efficiency;+;1.0;Renewable hydrogen can be used in energy-efficient applications, supporting a low-carbon energy system.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;Renewable Energy - Ocean/Offshore;Energy Infrastructure;+;1.0;Offshore renewable energy can drive the development of energy infrastructure, including offshore transmission and distribution networks.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;Renewable Energy - Solar;Energy Efficiency - Buildings;+;1.0;Solar energy can be integrated into energy-efficient buildings, providing on-site renewable energy generation and reducing reliance on the grid.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;Energy Efficiency;Waste Reduction;+;1.0;Energy efficiency measures can reduce waste generation by minimizing energy consumption and promoting the use of energy from renewable sources.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;Energy Efficiency - Buildings;Circularity/Recycling - Municipal Waste;+;1.0;Energy-efficient buildings can reduce waste generation and support recycling efforts by promoting the reuse and recycling of building materials.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;Energy Infrastructure;Circularity/Recycling - Critical Raw Materials - Batteries Recycling;+;1.0;The development of energy infrastructure can support the recycling of critical raw materials, including batteries, by providing the necessary energy and facilities.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;Social Security - Energy;Waste Reduction - Food Waste;+;1.0;Social security policies can address energy poverty and support sustainable food systems, reducing food waste and promoting food recovery and redistribution.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;Circularity/Recycling;Waste Reduction - Municipal Waste;+;2.0;Circular economy strategies can reinforce waste reduction efforts, particularly in municipal waste management, by promoting recycling, reuse, and reduction of waste.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;Circularity/Recycling - Municipal Waste;Waste Reduction - Plastic & Packaging;+;1.0;Municipal waste recycling can support the reduction of plastic waste and packaging, promoting a circular economy approach.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;Circularity/Recycling - Plastic & Packaging;Critical Raw Materials - Extraction & Import;+;1.0;The recycling of plastic packaging can support the extraction and import of critical raw materials, reducing primary material demand.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;Critical Raw Materials - Extraction & Import;Net-Zero Technology - Manufacturing;+;1.0;The extraction and import of critical raw materials can support the manufacturing of net-zero technologies, including electrolysers and fuel cells.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;GHG Reduction;;;;;Energy Efficiency - Buildings;2.0;The implementation of GHG reduction targets can reinforce energy efficiency measures in buildings by reducing energy consumption and greenhouse gas emissions, thus supporting the achievement of energy efficiency targets in buildings.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;GHG Reduction;;;;;Energy Infrastructure;2.0;The implementation of GHG reduction targets can reinforce energy infrastructure development by promoting the use of low-carbon energy sources and reducing greenhouse gas emissions, thus supporting the achievement of energy infrastructure targets.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;GHG Reduction;;;;;Social Security - Energy;1.0;The implementation of GHG reduction targets can create conditions that support social security and energy access by promoting low-carbon energy sources and reducing energy poverty.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;GHG Reduction - Buildings;;;;;Energy Efficiency - Buildings;3.0;The implementation of GHG reduction targets in buildings can be inextricably linked to energy efficiency measures in buildings, as reducing energy consumption in buildings is essential to achieving GHG reduction targets.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;GHG Reduction - Transports;;;;;Energy Infrastructure;2.0;The implementation of GHG reduction targets in transport can reinforce energy infrastructure development by promoting the use of low-carbon energy sources and reducing greenhouse gas emissions, thus supporting the achievement of energy infrastructure targets.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;GHG Removal;;;;;Energy Efficiency;1.0;The implementation of GHG removal targets can create conditions that support energy efficiency measures by promoting the use of low-carbon energy sources and reducing energy consumption.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;GHG Removal;;;;;Energy Efficiency - Buildings;1.0;The implementation of GHG removal targets can create conditions that support energy efficiency measures in buildings by promoting the use of low-carbon energy sources and reducing energy consumption in buildings.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;Renewable Energy;;;;;Energy Efficiency;2.0;The implementation of renewable energy targets can reinforce energy efficiency measures by reducing energy consumption and promoting the use of low-carbon energy sources, thus supporting the achievement of energy efficiency targets.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;Renewable Energy;;;;;Energy Efficiency - Buildings;2.0;The implementation of renewable energy targets can reinforce energy efficiency measures in buildings by reducing energy consumption and promoting the use of low-carbon energy sources, thus supporting the achievement of energy efficiency targets in buildings.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;Renewable Energy - Heating & Cooling;;;;;Energy Efficiency - Buildings;3.0;The implementation of renewable energy targets for heating and cooling can be inextricably linked to energy efficiency measures in buildings, as promoting the use of renewable energy sources for heating and cooling is essential to achieving energy efficiency targets in buildings.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;Renewable Energy - Hydrogen Production;;;;;Energy Infrastructure;2.0;The implementation of renewable energy targets for hydrogen production can reinforce energy infrastructure development by promoting the use of low-carbon energy sources and reducing greenhouse gas emissions, thus supporting the achievement of energy infrastructure targets.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;Renewable Energy - Ocean/Offshore;;;;;Energy Infrastructure;2.0;The implementation of renewable energy targets for ocean and offshore energy can reinforce energy infrastructure development by promoting the use of low-carbon energy sources and reducing greenhouse gas emissions, thus supporting the achievement of energy infrastructure targets.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;Renewable Energy - Solar;;;;;Energy Efficiency;2.0;The implementation of renewable energy targets for solar energy can reinforce energy efficiency measures by reducing energy consumption and promoting the use of low-carbon energy sources, thus supporting the achievement of energy efficiency targets.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;;;;;;;;;GHG Reduction;Terrestrial Ecosystems Restoration;+;2.0;The implementation of GHG reduction targets can reinforce the restoration of terrestrial ecosystems, as reducing GHG emissions can lead to increased carbon sequestration in forests and other ecosystems, which in turn can support biodiversity and ecosystem services.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;;;;;;;;;GHG Reduction;Marine Ecosystem Restoration;+;1.0;Reducing GHG emissions can contribute to the protection of marine ecosystems by mitigating ocean acidification, which is essential for the health of marine life and the overall ecosystem.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;;;;;;;;;GHG Reduction;Biodiversity Protection & Conservation;+;1.0;GHG reduction efforts can have a positive impact on biodiversity conservation by reducing pollution and protecting ecosystems, which are essential for maintaining healthy and resilient ecosystems.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36;;;;;;;;;GHG Reduction - Buildings;Terrestrial Ecosystems Restoration - Agricultural Ecosystems;+;1.0;Improving energy efficiency in buildings can enable the use of biomass for energy production, which can support sustainable agriculture and reduce GHG emissions from the sector.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;;;;;;;;;GHG Reduction - Transports;Terrestrial Ecosystems Restoration - Rivers;+;1.0;Electrification of transport can reduce GHG emissions and support the restoration of rivers and wetlands, which are critical for maintaining healthy ecosystems and supporting biodiversity.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38;;;;;;;;;GHG Removal;Terrestrial Ecosystems Restoration;+;2.0;The implementation of GHG removal technologies can support the restoration of terrestrial ecosystems by removing excess CO2 from the atmosphere, which can help to mitigate climate change and support ecosystem resilience.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39;;;;;;;;;GHG Removal;Marine Ecosystem Restoration;+;1.0;GHG removal can contribute to the protection of marine ecosystems by reducing the amount of CO2 in the atmosphere, which can help to mitigate ocean acidification and support the health of marine ecosystems.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40;;;;;;;;;GHG Removal;Biodiversity Protection & Conservation;+;1.0;GHG removal efforts can support biodiversity conservation by reducing the impact of climate change on ecosystems and supporting the protection of species and their habitats.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41;;;;;;;;;GHG Reduction - Buildings;Biodiversity Protection & Conservation - Urban Nature;+;1.0;Improving energy efficiency in buildings can support urban nature and biodiversity by reducing the urban heat island effect and supporting the creation of green spaces and urban forests.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42;;;;;;;;;GHG Reduction - Transports;Biodiversity Protection & Conservation - Fisheries;+;1.0;The transition to low-carbon transport can support the protection of marine biodiversity by reducing pollution and supporting sustainable fishing practices.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43;GHG Reduction;;;;;;1.0;;;;;;;Improve Air Quality;Reducing greenhouse gas emissions can enable the improvement of air quality by decreasing the emissions of air pollutants, which in turn can create conditions for better air quality management and pollution reduction.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44;GHG Reduction;;;;;;1.0;;;;;;;Improve Water Quality;The reduction of greenhouse gas emissions can facilitate the improvement of water quality by decreasing the energy consumption and emissions from water treatment and distribution, thus creating conditions for more efficient water management and pollution reduction.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45;GHG Reduction;;;;;;1.0;;;;;;;Improve Soils Health;Implementing GHG reduction targets can create conditions that further the improvement of soil health by promoting sustainable land use and reducing emissions from agricultural activities, which can lead to better soil management and fertility.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46;GHG Reduction;;;;;;1.0;;;;;;;Noise Reduction;The implementation of GHG reduction targets can facilitate noise reduction by promoting the use of cleaner and more efficient transportation modes, thus creating conditions for a decrease in noise pollution.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47;GHG Reduction - Buildings;;;;;;2.0;;;;;;;GHG Removal;The reduction of greenhouse gas emissions from buildings can reinforce the achievement of GHG removal targets by creating conditions that further the removal of greenhouse gases from the atmosphere, such as through carbon capture and storage technologies or nature-based solutions.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48;GHG Reduction - Transports;;;;;;1.0;;;;;;;Improve Air Quality;Reducing greenhouse gas emissions from transportation can enable the improvement of air quality by decreasing the emissions of air pollutants, which in turn can create conditions for better air quality management and pollution reduction.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
49;GHG Reduction - Transports;;;;;;1.0;;;;;;;Improve Water Quality;The reduction of greenhouse gas emissions from transportation can facilitate the improvement of water quality by decreasing the energy consumption and emissions from water treatment and distribution, thus creating conditions for more efficient water management and pollution reduction.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50;GHG Reduction - Transports;;;;;;1.0;;;;;;;Improve Soils Health;Implementing GHG reduction targets in transportation can create conditions that further the improvement of soil health by promoting sustainable land use and reducing emissions from agricultural activities, which can lead to better soil management and fertility.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
51;GHG Reduction - Transports;;;;;;1.0;;;;;;;Noise Reduction;The implementation of GHG reduction targets in transportation can facilitate noise reduction by promoting the use of cleaner and more efficient transportation modes, thus creating conditions for a decrease in noise pollution.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
52;GHG Removal;;;;;;2.0;;;;;;;Improve Air Quality;The removal of greenhouse gases from the atmosphere can reinforce the improvement of air quality by reducing the emissions of air pollutants and creating conditions for better air quality management and pollution reduction.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
53;GHG Removal;;;;;;2.0;;;;;;;Improve Water Quality;The removal of greenhouse gases can facilitate the improvement of water quality by decreasing the energy consumption and emissions from water treatment and distribution, thus creating conditions for more efficient water management and pollution reduction.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
54;GHG Removal;;;;;;2.0;;;;;;;Improve Soils Health;Implementing GHG removal targets can create conditions that further the improvement of soil health by promoting sustainable land use and reducing emissions from agricultural activities, which can lead to better soil management and fertility.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
55;GHG Removal;;;;;;2.0;;;;;;;Noise Reduction;The removal of greenhouse gases from the atmosphere can facilitate noise reduction by promoting the use of cleaner and more efficient transportation modes, thus creating conditions for a decrease in noise pollution.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
56;Improve Air Quality;;;;;;3.0;;;;;;;Improve Water Quality;Improving air quality can be indivisible from improving water quality, as reducing air pollutants can also decrease water pollution, thus creating conditions for better water quality management and pollution reduction.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
57;Improve Air Quality;;;;;;2.0;;;;;;;Improve Soils Health;Improving air quality can reinforce the improvement of soil health by reducing the emissions of air pollutants, which can lead to better soil fertility and structure.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
58;Improve Air Quality;;;;;;2.0;;;;;;;Noise Reduction;Improving air quality can facilitate noise reduction by promoting the use of cleaner and more efficient transportation modes, thus creating conditions for a decrease in noise pollution.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
59;Improve Water Quality;;;;;;3.0;;;;;;;Improve Soils Health;Improving water quality can be indivisible from improving soil health, as reducing water pollution can also decrease soil pollution, thus creating conditions for better soil management and fertility.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
60;Improve Water Quality;;;;;;1.0;;;;;;;Noise Reduction;The improvement of water quality can create conditions that further noise reduction by promoting the use of cleaner and more efficient transportation modes, thus creating conditions for a decrease in noise pollution.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
61;Improve Soils Health;;;;;;1.0;;;;;;;Noise Reduction;Improving soil health can facilitate noise reduction by promoting sustainable land use and reducing emissions from agricultural activities, which can lead to better soil management and fertility, thus creating conditions for a decrease in noise pollution.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
62;GHG Reduction;;;;;;1.0;;;;;;;Waste Reduction;;Reducing GHG emissions can enable waste reduction by decreasing energy consumption and promoting sustainable practices, which in turn can lead to a decrease in waste generation.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
63;GHG Reduction;;;;;;1.0;;;;;;;Circularity/Recycling;;Implementing GHG reduction targets can facilitate the transition to a circular economy by promoting sustainable consumption and production patterns, which can lead to increased recycling and reuse of materials.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
64;GHG Reduction;;;;;;-1.0;;;;;;;Critical Raw Materials - Extraction & Import;;The extraction and import of critical raw materials required for low-carbon technologies can constrain GHG reduction efforts by generating emissions and environmental impacts associated with extraction and processing.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65;GHG Reduction - Buildings;;;;;;1.0;;;;;;;Waste Reduction - Municipal Waste;;Improving energy efficiency in buildings can enable waste reduction in municipal waste management by promoting sustainable practices and reducing energy consumption.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
66;GHG Reduction - Transports;;;;;;1.0;;;;;;;Waste Reduction - Food Waste;;Promoting low-emission transportation can facilitate food waste reduction by decreasing energy consumption and promoting sustainable food systems.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
67;GHG Removal;;;;;;-2.0;;;;;;;Waste Reduction;;The implementation of GHG removal targets can counteract waste reduction efforts by generating emissions and environmental impacts associated with the production and use of removal technologies.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
68;Waste Reduction;;;;;;3.0;;;;;;;Circularity/Recycling;;Implementing waste reduction targets can be inextricably linked to the transition to a circular economy, as reducing waste generation and increasing recycling can lead to a significant decrease in emissions and environmental impacts.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69;Waste Reduction - Municipal Waste;;;;;;3.0;;;;;;;Circularity/Recycling - Municipal Waste;;Reducing municipal waste can be inextricably linked to increasing recycling and reuse of materials, as it enables the transition to a circular economy and promotes sustainable waste management practices.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
70;Waste Reduction - Food Waste;;;;;;1.0;;;;;;;Circularity/Recycling - Textile Waste;;Reducing food waste can facilitate the recycling and reuse of textile waste by promoting sustainable consumption patterns and reducing the environmental impacts associated with textile production.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
71;Waste Reduction - Plastic & Packaging;;;;;;3.0;;;;;;;Circularity/Recycling - Plastic & Packaging;;Reducing plastic waste and increasing recycling can be inextricably linked to the transition to a circular economy, as it enables the reduction of emissions and environmental impacts associated with plastic production and use.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
72;Circularity/Recycling;;;;;;-2.0;;;;;;;Critical Raw Materials - Extraction & Import;;The transition to a circular economy can counteract critical raw material extraction and import by promoting sustainable consumption patterns and reducing waste generation, which can lead to a decrease in demand for primary raw materials.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
73;Critical Raw Materials - Extraction & Import;;;;;;1.0;;;;;;;Net-Zero Technology - Manufacturing;;The extraction and import of critical raw materials can enable the manufacturing of net-zero technologies by providing the necessary materials for their production.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
74;GHG Reduction;;+;1.0;;;;;;;;;;;;;Energy Efficiency - Buildings;The implementation of GHG reduction targets in List A can enable the achievement of energy efficiency targets in buildings in List B, as reducing energy consumption can lower emissions.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75;GHG Reduction;;+;1.0;;;;;;;;;;;;;Renewable Energy;The implementation of GHG reduction targets in List A can create conditions for the growth of renewable energy in List B, as a low-carbon energy mix is essential for reducing emissions.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
76;GHG Reduction;;+;1.0;;;;;;;;;;;;;Renewable Energy - Heating & Cooling;The implementation of GHG reduction targets in List A can facilitate the expansion of renewable energy for heating and cooling in List B, leading to increased energy efficiency and reduced emissions.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
77;GHG Reduction;;+;1.0;;;;;;;;;;;;;Renewable Energy - Hydrogen Production;The implementation of GHG reduction targets in List A can support the development of renewable hydrogen production in List B, offering a low-carbon alternative to fossil fuels.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
78;GHG Reduction;;+;1.0;;;;;;;;;;;;;Renewable Energy - Ocean/Offshore;The implementation of GHG reduction targets in List A can aid the growth of offshore renewable energy in List B, contributing to a low-carbon energy mix and reduced emissions.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
79;GHG Reduction;;+;1.0;;;;;;;;;;;;;Renewable Energy - Solar;The implementation of GHG reduction targets in List A can create an environment conducive to the expansion of solar energy in List B, driving the transition to a low-carbon economy.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
80;GHG Reduction - Buildings;;+;2.0;;;;;;;;;;;;;Energy Efficiency - Buildings;The implementation of GHG reduction targets in buildings in List A can reinforce the achievement of energy efficiency targets in buildings in List B, promoting the reduction of energy consumption and emissions in the building sector.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
81;GHG Reduction - Buildings;;+;1.0;;;;;;;;;;;;;Renewable Energy;The implementation of GHG reduction targets in buildings in List A can enable the integration of renewable energy sources in buildings in List B, enhancing energy efficiency and reducing emissions.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
82;GHG Reduction - Buildings;;+;1.0;;;;;;;;;;;;;Renewable Energy - Heating & Cooling;The implementation of GHG reduction targets in buildings in List A can facilitate the adoption of renewable energy for heating and cooling in List B, leading to increased energy efficiency and reduced emissions.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
83;GHG Reduction - Buildings;;+;1.0;;;;;;;;;;;;;Renewable Energy - Hydrogen Production;The implementation of GHG reduction targets in buildings in List A can support the development of renewable hydrogen production in List B, offering a low-carbon alternative to fossil fuels for buildings.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
84;GHG Reduction - Buildings;;+;1.0;;;;;;;;;;;;;Renewable Energy - Ocean/Offshore;The implementation of GHG reduction targets in buildings in List A can aid the growth of offshore renewable energy in List B, contributing to a low-carbon energy mix and reduced emissions in the building sector.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
85;GHG Reduction - Buildings;;+;1.0;;;;;;;;;;;;;Renewable Energy - Solar;The implementation of GHG reduction targets in buildings in List A can create an environment conducive to the expansion of solar energy in List B, driving the transition to a low-carbon economy in the building sector.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
86;GHG Reduction - Transports;;+;1.0;;;;;;;;;;;;;Energy Efficiency;The implementation of GHG reduction targets in transport in List A can enable the achievement of energy efficiency targets in List B, as reducing energy consumption in transport can lower emissions.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
87;GHG Reduction - Transports;;+;1.0;;;;;;;;;;;;;Renewable Energy;The implementation of GHG reduction targets in transport in List A can create conditions for the growth of renewable energy in transport in List B, promoting a low-carbon energy mix and reduced emissions.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
88;GHG Removal;;+;3.0;;;;;;;;;;;;;GHG Reduction;The implementation of GHG removal targets in List A can be indivisible from the achievement of GHG reduction targets in List B, as both targets aim to reduce net greenhouse gas emissions and promote a low-carbon economy.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
89;GHG Removal;;+;1.0;;;;;;;;;;;;;Energy Efficiency;The implementation of GHG removal targets in List A can enable the achievement of energy efficiency targets in List B, as reducing energy consumption can lower emissions and remove greenhouse gases from the atmosphere.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
