source_subtheme;impact_subtheme;impact_type;impact_weight;justification
Biofuels;Marine Ecosystem Restoration;+;1;The production and use of biofuels can create conditions that further the restoration of marine ecosystems, as it can lead to reduced pollution and improved water quality, which can support the health and resilience of aquatic ecosystems.
Biofuels;Biodiversity Protection & Conservation;+;2;The implementation of biofuels can aid the protection and conservation of biodiversity, as it can lead to improved air and water quality, which can support the health and resilience of ecosystems and species.
Biofuels;Biodiversity Protection & Conservation - Fisheries;+;1;The production and use of biofuels can create conditions that further the protection and conservation of fisheries, as it can lead to reduced pollution and improved water quality, which can support the health and resilience of aquatic ecosystems.
Other Low-Carbon Fuels;Terrestrial Ecosystems Restoration;+;1;The production and use of other low-carbon fuels can create conditions that further the restoration of terrestrial ecosystems, as it can lead to increased use of sustainable land-use practices and reduced emissions, which can support biodiversity conservation and ecosystem services.
Other Low-Carbon Fuels;Terrestrial Ecosystems Restoration - Agricultural Ecosystems;+;1;The implementation of other low-carbon fuels can create conditions that further the restoration of agricultural ecosystems, as it can lead to increased use of sustainable agricultural practices and reduced synthetic fertilizer use, which can improve soil health and reduce pollution.
Other Low-Carbon Fuels;Marine Ecosystem Restoration;+;1;The production and use of other low-carbon fuels can create conditions that further the restoration of marine ecosystems, as it can lead to reduced pollution and improved water quality, which can support the health and resilience of aquatic ecosystems.
Other Low-Carbon Fuels;Biodiversity Protection & Conservation;+;2;The implementation of other low-carbon fuels can aid the protection and conservation of biodiversity, as it can lead to improved air and water quality, which can support the health and resilience of ecosystems and species.
Other Low-Carbon Fuels;Biodiversity Protection & Conservation - Fisheries;+;1;The production and use of other low-carbon fuels can create conditions that further the protection and conservation of fisheries, as it can lead to reduced pollution and improved water quality, which can support the health and resilience of aquatic ecosystems.
Hydrogen Distribution;Terrestrial Ecosystems Restoration;+;1;The development and deployment of hydrogen distribution infrastructure can create conditions that further the restoration of terrestrial ecosystems, as it can lead to increased use of renewable energy sources and reduced emissions, which can support biodiversity conservation and ecosystem services.
Hydrogen Distribution;Terrestrial Ecosystems Restoration - Agricultural Ecosystems;+;1;The implementation of hydrogen distribution can create conditions that further the restoration of agricultural ecosystems, as it can lead to increased use of sustainable agricultural practices and reduced synthetic fertilizer use, which can improve soil health and reduce pollution.
Hydrogen Distribution;Marine Ecosystem Restoration;+;1;The development and deployment of hydrogen distribution infrastructure can create conditions that further the restoration of marine ecosystems, as it can lead to reduced pollution and improved water quality, which can support the health and resilience of aquatic ecosystems.
Hydrogen Distribution;Biodiversity Protection & Conservation;+;2;The implementation of hydrogen distribution can aid the protection and conservation of biodiversity, as it can lead to improved air and water quality, which can support the health and resilience of ecosystems and species.
Hydrogen Distribution;Biodiversity Protection & Conservation - Fisheries;+;1;The development and deployment of hydrogen distribution infrastructure can create conditions that further the protection and conservation of fisheries, as it can lead to reduced pollution and improved water quality, which can support the health and resilience of aquatic ecosystems.
Urban Mobility;Terrestrial Ecosystems Restoration;+;1;The development and implementation of urban mobility solutions can create conditions that further the restoration of terrestrial ecosystems, as it can lead to increased use of sustainable land-use practices and reduced emissions, which can support biodiversity conservation and ecosystem services.
Urban Mobility;Terrestrial Ecosystems Restoration - Agricultural Ecosystems;+;1;The implementation of urban mobility can create conditions that further the restoration of agricultural ecosystems, as it can lead to increased use of sustainable agricultural practices and reduced synthetic fertilizer use, which can improve soil health and reduce pollution.
Urban Mobility;Marine Ecosystem Restoration;+;1;The development and implementation of urban mobility solutions can create conditions that further the restoration of marine ecosystems, as it can lead to reduced pollution and improved water quality, which can support the health and resilience of aquatic ecosystems.
Urban Mobility;Biodiversity Protection & Conservation;+;2;The implementation of urban mobility can aid the protection and conservation of biodiversity, as it can lead to improved air and water quality, which can support the health and resilience of ecosystems and species.
Urban Mobility;Biodiversity Protection & Conservation - Fisheries;+;1;The development and implementation of urban mobility solutions can create conditions that further the protection and conservation of fisheries, as it can lead to reduced pollution and improved water quality, which can support the health and resilience of aquatic ecosystems.
Transport Logistics;Terrestrial Ecosystems Restoration;+;1;The development and implementation of transport logistics solutions can create conditions that further the restoration of terrestrial ecosystems, as it can lead to increased use of sustainable land-use practices and reduced emissions, which can support biodiversity conservation and ecosystem services.
Transport Logistics;Terrestrial Ecosystems Restoration - Agricultural Ecosystems;+;1;The implementation of transport logistics can create conditions that further the restoration of agricultural ecosystems, as it can lead to increased use of sustainable agricultural practices and reduced synthetic fertilizer use, which can improve soil health and reduce pollution.
Transport Logistics;Marine Ecosystem Restoration;+;1;The development and implementation of transport logistics solutions can create conditions that further the restoration of marine ecosystems, as it can lead to reduced pollution and improved water quality, which can support the health and resilience of aquatic ecosystems.
Transport Logistics;Biodiversity Protection & Conservation;+;2;The implementation of transport logistics can aid the protection and conservation of biodiversity, as it can lead to improved air and water quality, which can support the health and resilience of ecosystems and species.
Transport Logistics;Biodiversity Protection & Conservation - Fisheries;+;1;The development and implementation of transport logistics solutions can create conditions that further the protection and conservation of fisheries, as it can lead to reduced pollution and improved water quality, which can support the health and resilience of aquatic ecosystems.
