thematic_area_code;thematic_area;sub_theme;target_code;target_content;sub_theme_justification;target_assessment;
TA1;TA1_Climate ambition;Climate Resilience;TA1.4;Achieve a climate-resilient society status, fully adapted to the unavoidable impacts of climate change;manual choice;;
TA1;TA1_Climate ambition;GHG Reduction;TA1.5;CBAM;manual choice;;
TA1;TA1_Climate ambition;GHG Reduction;TA1.6;Recast;manual choice;;
TA1;TA1_Climate ambition;GHG Reduction;TA1.7;Reduce methane emissions of 35% if compared to 2005 levels;manual choice;;
TA1;TA1_Climate ambition;GHG Reduction;TA1.8;Reach energy neutrality in the wastewater treatment sector by 2040. To reach energy neutrality and the additional treatment of nitrogen, GHG emissions would be reduced by 4,86 million tonnes (37,32 % of the avoidable emissions from the sector);manual choice;;
TA1;TA1_Climate ambition;GHG Reduction;TA1.9;The contribution of the sectors covered by the EU ETS with respect to the EU Climate ambition should be of -62 % compared to 2005 (increasing the linear emissions reduction factor from 2.2 % per year up to 4.4 %);manual choice;;
TA2;TA2_Clean, affordable and secure energy;Renewable Energy - Hydrogen Production;TA2.1;Renewable hydrogen will be key to replace natural gas, coal and oil in hard-to-decarbonise industries and transport. REPowerEU sets a target of 10 million tonnes of domestic renewable hydrogen production and 10 million tonnes of renewable hydrogen imports by 2030;This target is also assigned to the Energy Efficiency sub-theme as it mentions replacing fossil fuels with renewable energy.;European production capacity is not yet officially monitored, but there are estimates of production of around 23ktH2/year, which is very far away from the target of 10 MtH2/year. Imports are currently non-existent.;
TA2;TA2_Clean, affordable and secure energy;Renewable Energy;TA2.10;Member States shall set an indicative target for innovative renewable energy technology of at least 5 % of newly installed renewable energy capacity by 2030;This target is assigned to the Renewable Energy sub-theme as it mentions increasing the share of renewable energy.;"Innovative technologies are defined as those that improve in at least one way comparable state-of-the-art renewable energy technologies or make exploitable a largely untapped renewable energy resource, involving a clear degree of risk,
in technological, market or financial terms, which is higher than the risk generally associated with comparable non-innovative technologies or activities. According to the Association of European Renewable Energy Research Centers (EUREC)
[73], the EU’s industry is ready, in the right circumstances, to deploy innovative renewable energy technologies to a level likely to exceed 5%, including innovative technologies such as advanced photovoltaics, floating photovoltaics, concentrated solar power and solar thermal.";
TA2;TA2_Clean, affordable and secure energy;Renewable Energy;TA2.11;By 31 December 2025, each Member State shall agree to establish a framework for cooperation on joint projects with one or more other Member States for the production of renewable energy, subject to the following: by 31 December 2030, Member States shall endeavour to agree on establishing at least two joint projects,  by 31 December 2033, Member States with an annual electricity consumption of more than 100 TWh shall endeavour to agree on establishing a third joint project;This target is assigned to the Renewable Energy sub-theme as it mentions cooperation on joint projects for renewable energy production.;Joint projects allow for a cost-efficient deployment of renewable energy across Europe and contribute to market integration. Despite its potential, cooperation between Member States has been very limited, thus leading to suboptimal results in terms of efficiency in increasing renewable energy. There are a few projects under consideration and being planned, as well as some permitting and under construction. However, these are in localised areas across the EU and not homogeneously distributed between Member States.;
TA2;TA2_Clean, affordable and secure energy;Renewable Energy;TA2.12;Member States shall endeavour to increase the share of renewable sources in the amount of energy sources used for final energy and non-energy purposes in the industry sector by an indicative increase of at least 1,6 percentage points as an annual average calculated for the periods 2021 to 2025 and 2026 to 2030.;This target is assigned to the Renewable Energy sub-theme as it mentions increasing the share of renewable energy in the industry sector.;;
TA2;TA2_Clean, affordable and secure energy;Renewable Energy - Transports;TA2.13;Each Member State shall set an obligation on fuel suppliers to ensure that: (a) the amount of renewable fuels and renewable electricity supplied to the transport sector leads to a: (i) share of renewable energy within the final consumption of energy in the transport sector of at least 29 % by 2030, or i) greenhouse gas intensity reduction of at least 14,5 % by 2030, compared to the baseline set out in Article 27(1), point (b), in accordance with an indicative trajectory set by the Member State,;This target is assigned to the Renewable Energy - Transports sub-theme as it specifically mentions increasing the share of renewable energy in the transport sector.;"The share of energy from renewable sources used in transport in the EU reached 9.6 % in 2022, up from 9.1% in 2021. Acceleration is needed to reach the 2030 target. Following a sharp 13.5% drop in transport related GHG emissions between 2019 and 2020, due to the COVID-19 pandemic, according to European Environ- ment Agency (EEA) data, they surged upwards (by 8.6%) between 2020 and 2021 from 720.2 to 782.1 Mt (million tonnes) and the EEA forecasts a further 2.7% increase for 2022, which would restore emission levels to above the 800-Mtonne threshold (803.2 Mt in 2022).
CO2 emissions account for almost all transport related GHG emissions (98.9% in 2021) and far outstrip those of nitrous oxide (N2O) (0.9% in CO2 equivalent units) and methane (0.2% in CO2 equivalent units).";
TA2;TA2_Clean, affordable and secure energy;Renewable Energy - Heating & Cooling;TA2.14;Member States shall endeavour to increase the share of energy from renewable sources and from waste heat and cold in district heating and cooling by an indicative 2,2 percentage points as an annual average calculated for the period 2021 to 2030, starting from the share of energy from renewable sources and from waste heat and cold in district heating and cooling in 2020;This target is assigned to the Renewable Energy - Heating & Cooling sub-theme as it mentions increasing the share of renewable energy in district heating and cooling.;"Energy for heating and cooling makes up around half of the EU’s total gross final energy consumption. The annual average increases would lead to a target of 32.48% share by 2030. In 2022, the share of energy from renewables in heating and cooling continued to rise, with the EU average standing at 24.8%, up 1.8 percentage points from 2021 (23.0%). However, the 2022 value is still below the expected annual average. In absolute terms, the gross final consumption
of renewable energy for heating and cooling purposes in the EU has gradually increased over time, mostly due to the contribution of biomass and heat pumps. However, a major push is required to meet the 2030 target.
Sweden led the way when it came to renewables in heating and cooling, with a 69.3% share, followed by Estonia (65.4%). Both countries use mostly biomass and heat pumps. They are followed by Latvia (61.0%), which relies mostly on biomass.";
TA2;TA2_Clean, affordable and secure energy;Renewable Energy;TA2.15;By 2022 achieve 18% of the total increase in the share of energy from renewable sources between that Member State's binding 2020 national target, and its contribution to the 2030 target of share of energy from renewable sources in gross final consumption of energy. Achieve 43% by 2025, 65% by 2027;This target is assigned to the Renewable Energy sub-theme as it mentions increasing the share of renewable energy.;Two Member States (Malta and Sweden) have already reached their 2030 target. 18 Member States have achieved the 2022 target of 18%. However, in 2021, 10 Member States experienced a decline in their share respect their 2020 value. This occurred as well for seven Member States in 2022, nevertheless, two of them have still met their 2022 targets despite the decrease. The EU jointly has reached the 2022 sub-target.;
TA2;TA2_Clean, affordable and secure energy;Renewable Energy - Heating & Cooling;TA2.16;Each Member State shall increase the share of renewable energy in that sector by at least 0,8 percentage points as an annual average calculated for the period 2021 to 2025 and by at least 1,1 percentage points as an annual average calculated for the period 2026 to 2030, starting from the share of renewable energy in the heating and cooling sector in 2020;This target is assigned to the Renewable Energy - Heating & Cooling sub-theme as it mentions increasing the share of renewable energy in the heating and cooling sector.;A 1.6 percentage point annual increase leads to a 26% share of renewables by 2030. The share of renewables in 2022 was 10.7%, an increase from 9.7% in 2020. In absolute values, this is an increase from 23.3 Mtoe in 2021 to 24.1 Mtoe in 2022 Acceleration is needed to reach the 2030 target.;
TA2;TA2_Clean, affordable and secure energy;Energy Efficiency;TA2.17;the Union’s 2030 targets for energy and climate” means the Union-wide binding target for reducing greenhouse gas emissions in 2030 referred to in Article 4(1) of Regulation (EU) 2021/1119, the Union’s binding target for renewable energy for 2030 set in Article 3(1) of Directive (EU) 2018/2001, the Union-level target for improving energy efficiency in 2030 referred to in Article 4(1) of Directive (EU) .../... of the European Parliament and of the Council*+ and the 15 % electricity interconnection target for 2030 or any subsequent targets in that regard agreed by the European Council or by the European Parliament and by the Council for 2030.;This target is assigned to the Energy Efficiency sub-theme as it mentions improving energy efficiency.;In 2021, 16 countries reported being on track to reach that target by 2030, or had already reached the target, but more interconnections are needed in some regions. Specifically, eight Member States have already met or are exceeding the EU target. Others commit in their draft NECPs to develop interconnections with neighbouring countries by investing in new transmission capacities and interconnectors, espe- cially in regions that are historically dependent on a single supplier and now aim to improve diversification. Moreover, some Member States (e.g. EE, FI, IT and PT) plan to diversify their energy mix by carrying out joint hydrogen infrastructure projects [7]. Overall, Member States have made good efforts to increase cross-border capacity and the completion of various Projects of Common Interest should further improve the interconnectivity levels. Some Member States (CZ, IT, PT RO, SI, SE) are reporting delays in the completion of the projects in particular due to permitting issues. Still further efforts are required to meet the 2030 objectives, especially in terms of timely delivery of the planned cross-border projects [72].;
TA2;TA2_Clean, affordable and secure energy;Renewable Energy - Buildings;TA2.18;Member States shall determine an indicative national share of renewable energy produced on-site or nearby as well as renewable energy taken from the grid in final energy consumption in their building sector in 2030 that is consistent with an indicative target of at least a 49 % share of energy from renewable sources in the building sector in the Union’s final energy consumption in buildings in 2030;This target is assigned to the Renewable Energy - Buildings sub-theme as it mentions increasing the share of renewable energy in the building sector.;No data available for buildings, only for the heating and cooling sector. From this data, the most reported fuels and technologies in 2021 per country are: biomass (21 countries), heat pumps (19), solar thermal systems (17), geothermal systems (12) and other decentralised renewable sources (8).;
TA2;TA2_Clean, affordable and secure energy;Renewable Energy;TA2.19;The fisheries sector must follow the two mutually reinforcing paths of reducing energy intensity, on the one hand, and switching to renewable and low-carbon energy sources, on the other hand;This target is assigned to the Renewable Energy sub-theme as it mentions switching to renewable energy sources.;;
TA2;TA2_Clean, affordable and secure energy;Social Security - Energy;TA2.2;Set up at least one renewables-based energy community in every municipality with a population higher than 10.000;manual choice;For the 2010-2021 period, energy communities in the EU were still a niche in most national energy markets, with an estimated 9250 energy communities currently in operation across the EU and highly unbalanced distribution among Member States. More than half of these are located in Germany and almost 1000 are in the Netherlands. To date, however, a systematic and cross-country database on citizen-led initiatives and projects is lacking [74].;
TA2;TA2_Clean, affordable and secure energy;Energy Efficiency - Buildings;TA2.20;Renovate each year at least 3% of the total floor area of buildings owned by all levels of public administration (as also agreed by Council-Parliament on 10.03.23);This target is assigned to the Energy Efficiency - Buildings sub-theme as it mentions renovating buildings to improve energy efficiency.;;
TA2;TA2_Clean, affordable and secure energy;Energy Efficiency - Buildings;TA2.21;Member States shall ensure that the total final energy consumption of all public bodies combined is reduced by at least 1,9 % each year, when compared to 2021 (art. 5.1 Directive);manual choice;"14 Member States reported data on public buildings in their national energy
and climate progress reports (NECPRs). Missing data prevent drawing general conclusions or calculating aggregated data at the EU level. In terms of final energy, the short-term evolution indicates a general increase with some exceptions, such as the residential sector in Greece and Ireland. The first reporting deadline for the EED is at the end of 2024.";
TA2;TA2_Clean, affordable and secure energy;Energy Efficiency;TA2.22;Member States shall collectively ensure a reduction of energy consumption of at least 11,7 % in 2030 compared to the projections of the 2020 EU Reference Scenario so that the Union’s final energy consumption amounts to no more than 763 Mtoe (art. 4 Directive);This target is assigned to the Energy Efficiency sub-theme as it mentions reducing energy consumption.;Final energy consumption reached 940 Mtoe in 2022, a 2.8% decrease compared with 2021. According to the EC assessment of the NECPs, the current Member States drafts pledges would lead to 5.8% energy efficiency improvements in 2030, compared to the target of 11.7%. Therefore, acceleration is needed to reach the 2030 target.;
TA2;TA2_Clean, affordable and secure energy;Energy Efficiency;TA2.23;Member States shall make efforts to collectively contribute to the indicative Union primary energy consumption target amounting to no more than 992,5 Mtoe in 2030 (art. 4 Directive) -> 39% savings for primary energy consumption in the EU;This target is assigned to the Energy Efficiency sub-theme as it mentions reducing primary energy consumption.;"In 2022, primary energy consumption in the EU reached 1257 Mtoe, a 4.1% decrease compared with 2021, moving closer to the 2030 target.
Following the decline registered in 2020 due to the impact of the pandemic across sectors, EU primary energy consumption increased again in 2021. The year 2022 shows better results than in 2019, before the pandemic, when primary energy consumption was at 1354 Mtoe and 36.5% away from the target.
The 1257 Mtoe registered for primary energy consumption in 2022 was the second lowest level since 1990 (the first year for which data are available), and the lowest was in 2020 (1236 Mtoe).
According to the EC assessment of the NECPs, the current drafts would lead to a gap of 75 Mtoe from the 2030 target.";
TA2;TA2_Clean, affordable and secure energy;Energy Efficiency - Buildings;TA2.24;Each Member State shall ensure that at least 3 % of the total floor area of heated and/or cooled buildings (of buildings which have a total useful floor area of over 250 m2) that are owned by public bodies is renovated each year to be transformed into at least nearly zero-energy buildings or zero-emission buildings in accordance with Article 9 of Directive 2010/31/EU;This target is assigned to the Energy Efficiency - Buildings sub-theme as it mentions renovating buildings to improve energy efficiency.;According to SWD(2023)646, several Member States did not reach their annual targets. Member States will have to step up their efforts to be able to meet the savings requirement in 2030.;
TA2;TA2_Clean, affordable and secure energy;Energy Efficiency - Buildings;TA2.25;Reduce buildings' final energy consumption by 14%;This target is assigned to the Energy Efficiency - Buildings sub-theme as it mentions reducing buildings' final energy consumption.;The reference value for 2015 is 374.5 Mtoe. The final energy consumption (FEC) increased in 2021 to 391.2, value obtained from adding FEC from service and residential buildings (129.4 and 261.8 Mtoe). In 2022, the FEC decreased to 364.1 Mtoe, with 121.6 Mtoe coming from service buildings and 242.4 from residential buildings. Consumptions decreased by 2.8% in the 2015-2022 period.;
TA2;TA2_Clean, affordable and secure energy;Energy Efficiency - Buildings;TA2.26;At least double the annual energy renovation rate of residential and non-residential buildings by 2030 and to foster deep energy renovations;This target is assigned to the Energy Efficiency - Buildings sub-theme as it mentions increasing the annual energy renovation rate.;"The weighted annual energy renovation rate in the EU is about 1%, rate should double to 2% to achieve the target. For residential buildings, the annual weighted energy renovation rate was estimated close to 1% within the EU (0.4-1.2% depending on the Member State), for the 2012-2016 period. As of 2021, the annual rate of deep renovation is only 0.2% for residential buildings and 0.3% for non-residential buildings.
Data on renovation rates in the NECPR are highly incomplete, with only seven Member States reporting in this field in 2023";
TA2;TA2_Clean, affordable and secure energy;Energy Efficiency - Buildings;TA2.27;Indicative national targets aiming to achieve the deep renovation of at least 35 million building units by 2030 to support reaching an annual energy renovation rate of 3 % or more for the period till 2050 (see latest test adopted by EP on 14.03.2023);This target is assigned to the Energy Efficiency - Buildings sub-theme as it mentions deep renovation of building units.;;
TA2;TA2_Clean, affordable and secure energy;Energy Efficiency - Buildings;TA2.28;Reduce buildings' energy consumption for heating and cooling by 18%;This target is assigned to the Energy Efficiency - Buildings sub-theme as it mentions reducing buildings' energy consumption for heating and cooling.;"The reference value for 2015 is 234 Mtoe. In 2021, FEC for space heating and cooling buildings was 247.2 Mtoe, obtained from adding FEC for space heating residential + FEC for air conditioning residential (only electricity) + FEC for space heating services + FEC for air conditioning = 170.72 + 1.01 + 64.9 + 10.6 = 247.2 Mtoe (data from [75]). Consumptions increased by 5.6% (2015-2021), instead of reducing.
Data for 2022 has not been published yet, however an estimate can be provided based on the 2015-2021 average share of services FEC for space heating and air conditioning to total services FEC (56%).
2022 FEC for space heating and cooling buildings = FEC for space heating residential + FEC for air conditioning residential (only electricity) + FEC for space heating and air conditioning services = 159.4 + 1.1 + 68.0 = 228 Mtoe. Consumptions expected to decrease by 1.3% (2015-2022).";
TA2;TA2_Clean, affordable and secure energy;Energy Efficiency - Buildings;TA2.29;For the non-residential building stock, the revised rules require to gradually improve it via minimum energy performance standards. This will lead to renovating the 16% worst-performing buildings by 2030 and the 26% worst-performing buildings by 2033.;This target is assigned to the Energy Efficiency - Buildings sub-theme as it mentions improving the energy performance of non-residential buildings.;Member States use different approaches to define their worst performing stock, such as energy class, age, energy consumption, as resulted by the analysis of the last long term building renovation strategies. In their NECPRs, a total of 6 countries defined worst performance according the primary or final energy consumption in kWh/m2, while no information was found in 12 other countries.;
TA2;TA2_Clean, affordable and secure energy;Renewable Energy - Hydrogen Production;TA2.3;Member States shall ensure that the contribution of renewable fuels of non-biological origin used for final energy and non-energy purposes shall be at least 42 % of the hydrogen used for final energy and non-energy purposes in industry by 2030, and 60 % by 2035;This target is assigned to the Renewable Energy - Hydrogen sub-theme as it mentions increasing the share of renewable fuels of non-biological origin.;The use of renewable hydrogen in Europe was negligible up to 2023, including also in industrial processes.;
TA2;TA2_Clean, affordable and secure energy;Energy Efficiency - Buildings;TA2.30;The revised directive will make zero-emission buildings the new standard for new buildings. Under the agreement all new residential and non-residential buildings must have zero on-site emissions from fossil fuels, as of 1 January 2028 for publicly-owned buildings and as of 1 January 2030 for all other new buildings, with a possibility for specific exemptions.;This target is assigned to the Energy Efficiency - Buildings sub-theme as it mentions making zero-emission buildings the new standard.;;
TA2;TA2_Clean, affordable and secure energy;Energy Efficiency - Buildings;TA2.31;All existing buildings should be transformed into zero-emission buildings;This target is assigned to the Energy Efficiency - Buildings sub-theme as it mentions transforming existing buildings into zero-emission buildings.;;
TA2;TA2_Clean, affordable and secure energy;Renewable Energy - Buildings;TA2.32;100% of on-site energy consumption to be covered by renewable energy as for new buildings;This target is assigned to the Renewable Energy - Buildings sub-theme as it mentions covering on-site energy consumption with renewable energy.;;
TA2;TA2_Clean, affordable and secure energy;Energy Efficiency - Buildings;TA2.33;The national measures will have to ensure that at least 55% of the decrease of the average primary energy use is achieved through the renovation of the worst-performing buildings;This target is assigned to the Energy Efficiency - Buildings sub-theme as it mentions renovating the worst-performing buildings.;Member States use different approaches to define their worst performing stock, such as energy class, age, energy consumption, as resulted by the analysis of the last long term building renovation strategies. In the NECPR, a total of 6 countries defined worst performance according the primary or final energy consumption in kWh/m2, while no information was found in 12 other countries. The fields on worst performing buildings have generally a lower completeness in the NECPRs;
TA2;TA2_Clean, affordable and secure energy;Energy Efficiency - Buildings;TA2.34;Each Member State will adopt its own national trajectory to reduce the average primary energy use of residential buildings by 16% by 2030 and 20-22% by 2035;This target is assigned to the Energy Efficiency - Buildings sub-theme as it mentions reducing the average primary energy use of residential buildings.;EU residential consumption in 2022 was 242 Mtoe (reduced by -2.1% on average in EU Member States compared to 2020). Strong acceleration is needed to meet the 2030 target;
TA2;TA2_Clean, affordable and secure energy;Energy Efficiency - Buildings;TA2.35;Member States will also have to set out specific measures on the phase-out of fossil fuels in heating and cooling with a view to a complete phase-out of boilers powered by fossil fuels by 2040;This target is assigned to the Energy Efficiency - Buildings sub-theme as it mentions phasing out fossil fuels in heating and cooling.;;
TA2;TA2_Clean, affordable and secure energy;Energy Efficiency - Buildings;TA2.36;See ‘Commission welcomes political agreement on new rules to boost energy performance of buildings across the EU’;This target is assigned to the Energy Efficiency - Buildings sub-theme as it mentions improving the energy performance of buildings.;;
TA2;TA2_Clean, affordable and secure energy;Renewable Energy;TA2.37;By 2030, the share of renewable energy in the electricity mix should double to 55-60%, and projections show a share of around 84% by 2050. The remaining gap should be covered by other low-carbon options;This target is assigned to the Renewable Energy sub-theme as it mentions increasing the share of renewable energy in the electricity mix.;In 2022, 39% of electricity was generated by renewables (38% in 2021), and in May 2022 wind and solar surpassed fossil fuels for the first time in EU electricity generation. The EU is on track to meet the lower end of the target for 2030 if the current acceleration rate is maintained;
