Here is the table with the requested information:

"target_code";"target_content";"NACE_level1";"NACE_level1_extra1";"NACE_level1_extra2";"NACE_level2";"NACE_level2_extra1";"NACE_level2_extra2";"NACE_level_3";"NACE_level_3_extra1";"NACE_level_3_extra2";"justification";"confidence_score"
"TA1.1";"Reduce of 55% GHG emissions compared to 1990 levels";"D";"F";"H";"D35";"D35.1";"D35.1.1";"D35.1.2";"D35.1.3";"D35.1.4";"D35.1.5";"D35.1.6";"D35.1.7";"D35.1.8";"D35.1.9";"The target is related to the energy sector, which is a significant contributor to GHG emissions. The NACE categories D, F, and H are relevant, as they include activities such as electricity, gas, and steam supply, as well as the extraction and processing of fossil fuels. The level 2 and 3 NACE categories provide more specific classifications, such as electric power generation, transmission, and distribution, and electric power generation, transmission, and distribution of electricity.";8
"TA1.12";"Achieve an EU net greenhouse gas removal of 310 million tonnes CO2 equivalent per year for the land use, land use change and forestry (LULUCF) sector by 2030";"D";"F";"H";"D35";"D35.1";"D35.1.1";"D35.1.2";"D35.1.3";"D35.1.4";"D35.1.5";"D35.1.6";"D35.1.7";"D35.1.8";"D35.1.9";"D35.1.10";"The target is related to the energy sector, which is a significant contributor to GHG emissions. The NACE categories D, F, and H are relevant, as they include activities such as electricity, gas, and steam supply, as well as the extraction and processing of fossil fuels. The level 2 and 3 NACE categories provide more specific classifications, such as electric power generation, transmission, and distribution, and electric power generation, transmission, and distribution of electricity.";8
"TA1.13";"For the period from 2021 to 2025, each Member State shall ensure that greenhouse gas emissions from the sector do not exceed greenhouse gas removals, calculated as the sum of total emissions and total removals on its territory in all the land accounting categories";"D";"F";"H";"D35";"D35.1";"D35.1.1";"D35.1.2";"D35.1.3";"D35.1.4";"D35.1.5";"D35.1.6";"D35.1.7";"D35.1.8";"D35.1.9";"D35.1.10";"The target is related to the energy sector, which is a significant contributor to GHG emissions. The NACE categories D, F, and H are relevant, as they include activities such as electricity, gas, and steam supply, as well as the extraction and processing of fossil fuels. The level 2 and 3 NACE categories provide more specific classifications, such as electric power generation, transmission, and distribution, and electric power generation, transmission, and distribution of electricity.";8
"TA1.14";"Each Member State shall ensure that the annual sum of its greenhouse gas emissions and removals on its territory and in all of the land reporting categories, in each year in the period from 2026 to 2030, does not exceed the limit established by a linear trajectory, ending in 2030 on the target set out for that Member State";"D";"F";"H";"D35";"D35.1";"D35.1.1";"D35.1.2";"D35.1.3";"D35.1.4";"D35.1.5";"D35.1.6";"D35.1.7";"D35.1.8";"D35.1.9";"D35.1.10";"The target is related to the energy sector, which is a significant contributor to GHG emissions. The NACE categories D, F, and H are relevant, as they include activities such as electricity, gas, and steam supply, as well as the extraction and processing of fossil fuels. The level 2 and 3 NACE categories provide more specific classifications, such as electric power generation, transmission, and distribution, and electric power generation, transmission, and distribution of electricity.";8
"TA1.15";"Reduce buildings’ greenhouse gas emissions by 60% compared to 2015 levels by 2030";"D";"F";"H";"D35";"D35.1";"D35.1.1";"D35.1.2";"D35.1.3";"D35.1.4";"D35.1.5";"D35.1.6";"D35.1.7";"D35.1.8";"D35.1.9";"D35.1.10";"The target is related to the energy sector, which is a significant contributor to GHG emissions. The NACE categories D, F, and H are relevant, as they include activities such as electricity, gas, and steam supply, as well as the extraction and processing of fossil fuels. The level 2 and 3 NACE categories provide more specific classifications, such as electric power generation, transmission, and distribution, and electric power generation, transmission, and distribution of electricity.";8
"TA1.16";"To achieve 55% reduction of GHG emission by 2030, the EU should increase the share of renewable energy in the energy mix to at least 32% by 2030";"D";"F";"H";"D35";"D35.1";"D35.1.1";"D35.1.2";"D35.1.3";"D35.1.4";"D35.1.5";"D35.1.6";"D35.1.7";"D35.1.8";"D35.1.9";"D35.1.10";"The target is related to the energy sector, which is a significant contributor to GHG emissions. The NACE categories D, F, and H are relevant, as they include activities such as electricity, gas, and steam supply, as well as the extraction and processing of fossil fuels. The level 2 and 3 NACE categories provide more specific classifications, such as electric power generation, transmission, and distribution, and electric power generation, transmission, and distribution of electricity.";8
"TA1.17";"The EU’s 2030 targets for energy and climate should follow a linear trajectory to reach the 2050 target of net-zero emissions";"D";"F";"H";"D35";"D35.1";"D35.1.1";"D35.1.2";"D35.1.3";"D35.1.4";"D35.1.5";"D35.1.6";"D35.1.7";"D35.1.8";"D35.1.9";"D35.1.10";"The target is related to the energy sector, which is a significant contributor to GHG emissions. The NACE categories D, F, and H are relevant, as they include activities such as electricity, gas, and steam supply, as well as the extraction and processing of fossil fuels. The level 2 and 3 NACE categories provide more specific classifications, such as electric power generation, transmission, and distribution, and electric power generation, transmission, and distribution of electricity.";8
"TA1.18";"The EU’s 2030 targets for energy and climate should follow a linear trajectory to reach the 2050 target of net-zero emissions";"D";"F";"H";"D35";"D35.1";"D35.1.1";"D35.1.2";"D35.1.3";"D35.1.4";"D35.1.5";"D35.1.6";"D35.1.7";"D35.1.8";"D35.1.9";"D35.1.10";"The target is related to the energy sector, which is a significant contributor to GHG emissions. The NACE categories D, F, and H are relevant, as they include activities such as electricity, gas, and steam supply, as well as the extraction and processing of fossil fuels. The level 2 and 3 NACE categories provide more specific classifications, such as electric power generation, transmission, and distribution, and electric power generation, transmission, and distribution of electricity.";8
"TA1.19";"The EU should increase the share of renewable energy in the energy mix to at least 32% by 2030";"D";"F";"H";"D35";"D35.1";"D35.1.1";"D35.1.2";"D35.1.3";"D35.1.4";"D35.1.5";"D35.1.6";"D35.1.7";"D35.1.8";"D35.1.9";"D35.1.10";"The target is related to the energy sector, which is a significant contributor to GHG emissions. The NACE categories D, F, and H are relevant, as they include activities such as electricity, gas, and steam supply, as well as the extraction and processing of fossil fuels. The level 2 and 3 NACE categories provide more specific classifications, such as electric power generation, transmission, and distribution, and electric power generation, transmission, and distribution of electricity.";8
"TA2.1";"Renewable hydrogen will be key to replace natural gas, coal and oil in hard-to-decarbonise industries and transport";"D";"F";"H";"D35";"D35.1";"D35.1.1";"D35.1.2";"D35.1.3";"D35.1.4";"D35.1.5";"D35.1.6";"D35.1.7";"D35.1.8";"D35.1.9";"D35.1.10";"The target is related to the energy sector, which is a significant contributor to GHG emissions. The NACE categories D, F, and H are relevant, as they include activities such as electricity, gas, and steam supply, as well as the extraction and processing of fossil fuels. The level 2 and 3 NACE categories provide more specific classifications, such as electric power generation, transmission, and distribution, and electric power generation, transmission, and distribution of electricity.";8
"TA2.10";"Member States shall set an indicative target for innovative renewable energy technology of at least 5% of newly installed renewable energy capacity by 2030";"D";"F";"H";"D35";"D35.1";"D35.1.1";"D35.1.2";"D35.1.3";"D35.1.4";"D35.1.5";"D35.1.6";"D35.1.7";"D35.1.8";"D35.1.9";"D35.1.10";"The target is related to the energy sector, which is a significant contributor to GHG emissions. The NACE categories D, F, and H are relevant, as they include activities such as electricity, gas, and steam supply, as well as the extraction and processing of fossil fuels. The level 2 and 3 NACE categories provide more specific classifications, such as electric power generation, transmission, and distribution, and electric power generation, transmission, and distribution of electricity.";8
"TA2.11";"By 31 December 2025, each Member State shall agree to establish a framework for cooperation on joint projects with one or more other Member States for the production of renewable energy, subject to the following: by 31 December 2030, Member States shall endeavour to agree on establishing at least two joint projects; by 31 December 2033, Member States with an annual electricity consumption of more than 100 TWh shall endeavour to agree on establishing a third joint project";"D";"F";"H";"D35";"D35.1";"D35.1.1";"D35.1.2";"D35.1.3";"D35.1.4";"D35.1.5";"D35.1.6";"D35.1.7";"D35.1.8";"D35.1.9";"D35.1.10";"The target is related to the energy sector, which is a significant contributor to GHG emissions. The NACE categories D, F, and H are relevant, as they include activities such as electricity, gas, and steam supply, as well as the extraction and processing of fossil fuels. The level 2 and 3 NACE categories provide more specific classifications, such as electric power generation, transmission, and distribution, and electric power generation, transmission, and distribution of electricity.";8
"TA2.12";"Member States shall endeavour to increase the share of renewable sources in the amount of energy sources used for final energy and non-energy purposes in the industry sector by an indicative increase of at least 1.6 percentage points as an annual average calculated for the periods 2021 to 2025 and 2026 to 2030";"D";"F";"H";"D35";"D35.1";"D35.1.1";"D35.1.2";"D35.1.3";"D35.1.4";"D35.1.5";"D35.1.6";"D35.1.7";"D35.1.8";"D35.1.9";"D35.1.10";"The target is related to the energy sector, which is a significant contributor to GHG emissions. The NACE categories D, F, and H are relevant, as they include activities such as electricity, gas, and steam supply, as well as the extraction and processing of fossil fuels. The level 2 and 3 NACE categories provide more specific classifications, such as electric power generation, transmission, and distribution, and electric power generation, transmission, and distribution of electricity.";8
"TA2.13";"Each Member State shall set an obligation on fuel suppliers to ensure that: (a) the amount of renewable fuels and renewable electricity supplied to the transport sector leads to a share of renewable energy within the final consumption of energy in the transport sector of at least 29% by 2030, or (i) greenhouse gas intensity reduction of at least 14.5% by 2030, compared to the baseline set out in Article 27(1), point (b), in accordance with an indicative trajectory set by the Member State";"D";"F";"H";"D35";"D35.1";"D35.1.1";"D35.1.2";"D35.1.3";"D35.1.4";"D35.1.5";"D35.1.6";"D35.1.7";"D35.1.8";"D35.1.9";"D35.1.10";"The target is related to the energy sector, which is a significant contributor to GHG emissions. The NACE categories D, F, and H are relevant, as they include activities such as electricity, gas, and steam supply, as well as the extraction and processing of fossil fuels. The level 2 and 3 NACE categories provide more specific classifications, such as electric power generation, transmission, and distribution, and electric power generation, transmission, and distribution of electricity.";8
"TA2.14";"Member States shall endeavour to increase the share of energy from renewable sources and from waste heat and cold in district heating and cooling by an indicative 2.2 percentage points as an annual average calculated for the period 2021 to 2030";"D";"F";"H";"D35";"D35.1";"D35.1.1";"D35.1.2";"D35.1.3";"D35.1.4";"D35.1.5";"D35.1.6";"D35.1.7";"D35.1.8";"D35.1.9";"D35.1.10";"The target is related to the energy sector, which is a significant contributor to GHG emissions. The NACE categories D, F, and H are relevant, as they include activities such as electricity, gas, and steam supply, as well as the extraction and processing of fossil fuels. The level 2 and 3 NACE categories provide more specific classifications, such as electric power generation, transmission, and distribution, and electric power generation, transmission, and distribution of electricity.";8
"TA2.15";"By 2022 achieve 18% of the total increase in the share of energy from renewable sources between that Member State's binding 2020 national target, and its contribution to the 2030 target of share of energy from renewable sources in gross final consumption of energy";"D";"F";"H";"D35";"D35.1";"D35.1.1";"D35.1.2";"D35.1.3";"D35.1.4";"D35.1.5";"D35.1.6";"D35.1.7";"D35.1.8";"D35.1.9";"D35.1.10";"The target is related to the energy sector, which is a significant contributor to GHG emissions. The NACE categories D, F, and H are relevant, as they include activities such as electricity, gas, and steam supply, as well as the extraction and processing of fossil fuels. The level 2 and 3 NACE categories provide more specific classifications, such as electric power generation, transmission, and distribution, and electric power generation, transmission, and distribution of electricity.";8
"TA2.16";"Each Member State shall increase the share of renewable energy in the heating and cooling sector by at least 0.8 percentage points as an annual average calculated for the period 2021 to 2025 and by at least 1.1 percentage points as an annual average calculated for the period 2026 to 2030, starting from the share of renewable energy in the sector in 2020";"D";"F";"H";"D35";"D35.1";"D35.1.1";"D35.1.2";"D35.1.3";"D35.1.4";"D35.1.5";"D35.1.6";"D35.1.7";"D35.1.8";"D35.1.9";"D35.1.10";"The target is related to the energy sector, which is a significant contributor to GHG emissions. The NACE categories D, F, and H are relevant, as they include activities such as electricity, gas, and steam supply, as well as the extraction and processing of fossil fuels. The level 2 and 3 NACE categories provide more specific classifications, such as electric power generation, transmission, and distribution, and electric power generation, transmission, and distribution of electricity.";8
"TA2.17";"the Union’s 2030 targets for energy and climate"
