target_code;target_content;NACE_level_3;NACE_level_3_extra1;NACE_level_3_extra2;justification
TA2.33;The national measures will have to ensure that at least 55% of the decrease of the average primary energy use is achieved through the renovation of the worst-performing buildings;F41.2 - Construction of residential and non-residential buildings;F43.3 - Building completion and finishing;L68.2 - Renting and operating of own or leased real estate;The target involves renovating worst-performing buildings to decrease primary energy use, which includes construction and real estate activities.
TA2.34;Each Member State will adopt its own national trajectory to reduce the average primary energy use of residential buildings by 16% by 2030 and 20-22% by 2035;F41.2 - Construction of residential and non-residential buildings;F43.3 - Building completion and finishing;L68.2 - Renting and operating of own or leased real estate;The target involves reducing primary energy use in residential buildings, which includes construction and real estate activities.
TA2.35;Member States will also have to set out specific measures on the phase-out of fossil fuels in heating and cooling with a view to a complete phase-out of boilers powered by fossil fuels by 2040;D35.3 - Steam and air conditioning supply;F41.2 - Construction of residential and non-residential buildings;F43.3 - Building completion and finishing;The target involves phasing out fossil fuels in heating and cooling, which includes steam supply and construction.
TA2.36;See ‘Commission welcomes political agreement on new rules to boost energy performance of buildings across the EU’;F41.2 - Construction of residential and non-residential buildings;F43.3 - Building completion and finishing;L68.2 - Renting and operating of own or leased real estate;The target involves boosting energy performance of buildings, which includes construction and real estate activities.
TA2.37;By 2030, the share of renewable energy in the electricity mix should double to 55-60%, and projections show a share of around 84% by 2050. The remaining gap should be covered by other low-carbon options;D35.1 - Electric power generation, transmission and distribution;D35.2 - Manufacture of gas, distribution of gaseous fuels through mains;D35.3 - Steam and air conditioning supply;The target involves increasing renewable energy in the electricity mix, which includes power generation and gas distribution.
TA2.38;The strategy sets targets for an installed capacity of at least 60 GW of offshore wind by 2030 and at least 300 GW by 2050. Grounding on the revised TEN-E regulation, EU countries have agreed on new, ambitious long-term goals for the deployment of offshore renewable energy up to 2050 in each of the EU’s five sea basins. As a result, the cumulative EU offshore goals have the following ranges: 109-112 GW by 2030, 215-248 GW by 2040, and 281-354 GW by 2050.;D35.1 - Electric power generation, transmission and distribution;F42.2 - Construction of utility projects;H50.1 - Sea and coastal passenger water transport;The target involves offshore wind capacity, which includes power generation and construction of utility projects.
TA2.39;The strategy sets targets for an installed capacity of at least 1 GW of ocean energy by 2030 and 40 GW by 2050;D35.1 - Electric power generation, transmission and distribution;F42.2 - Construction of utility projects;H50.1 - Sea and coastal passenger water transport;The target involves ocean energy capacity, which includes power generation and construction of utility projects.
TA2.4;Doubling the current deployment rate of individual heat pumps, resulting in a cumulative 10 million units by 2027 and 30 million units by 2030;C27.5 - Manufacture of domestic appliances;D35.3 - Steam and air conditioning supply;F43.3 - Building completion and finishing;The target involves heat pumps, which includes manufacturing of appliances and steam supply.
TA2.40;Around 30% of EU primary steel production is expected to be decarbonized on the basis of renewable hydrogen;C24.1 - Manufacture of basic iron and steel and of ferro-alloys;C20.2 - Manufacture of pesticides and other agrochemical products;C20.3 - Manufacture of paints, varnishes and similar coatings, printing ink and mastics;The target involves decarbonizing steel production using renewable hydrogen, which is related to steel and chemical manufacturing.
TA2.5;Bring online over 320 GW of solar photovoltaic by 2025 and 600 GW by 2030;D35.1 - Electric power generation, transmission and distribution;C26.1 - Manufacture of electronic components and boards;C27.1 - Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus;The target involves solar photovoltaic capacity, which includes power generation and related electronic components.
TA2.6;Energy demand to be covered by solar heat and geothermal should at least triple (currently rate at 1,5%);D35.1 - Electric power generation, transmission and distribution;D35.3 - Steam and air conditioning supply;F42.2 - Construction of utility projects;The target involves solar heat and geothermal energy, which includes power generation and construction of utility projects.
TA2.7;Over this decade, the EU will need to install, on average, approximately 45 GW per year of PV to reach the share of 45% of energy coming from renewables set out in the RePowerEU Plan;D35.1 - Electric power generation, transmission and distribution;C26.1 - Manufacture of electronic components and boards;C27.1 - Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus;The target involves photovoltaic installation, which includes power generation and related electronic components.
TA2.8;Ensure that energy poor and vulnerable consumers have access to solar energy, e.g. through social housing installations, energy communities, or financing support for individual installations;D35.1 - Electric power generation, transmission and distribution;F41.2 - Construction of residential and non-residential buildings;L68.2 - Renting and operating of own or leased real estate;The target involves solar energy access, which includes power generation and construction.
TA2.9;Member States shall collectively ensure that the share of energy from renewable sources in the Union’s gross final consumption of energy in 2030 is at least 42,5 %.;D35.1 - Electric power generation, transmission and distribution;C26.1 - Manufacture of electronic components and boards;C27.1 - Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus;The target involves increasing renewable energy share, which includes power generation and related electronic components.
