target_code;target_content;NACE_level1;NACE_level1_extra1;NACE_level1_extra2;NACE_level2;NACE_level2_extra1;NACE_level2_extra2;NACE_level_3;NACE_level_3_extra1;NACE_level_3_extra2;justification;confidence_score
TA2.19;The fisheries sector must follow the two mutually reinforcing paths of reducing energy intensity;A - Agriculture, Forestry and Fishing;D - Electricity, Gas, Steam and Air Conditioning Supply;H - Transportation and Storage;A3 - Fishing and aquaculture;D35 - Electricity, gas, steam and air conditioning supply;H50 - Water transport;A3.1 - Fishing;D35.1 - Electric power generation, transmission and distribution;H50.4 - Inland freight water transport;The target involves the fisheries sector and reducing energy intensity, which is linked to agriculture, energy, and transportation.;8
TA2.20;Renovate each year at least 3% of the total floor area of buildings owned by all levels of public administration;L - Real Estate Activities;F - Construction;D - Electricity, Gas, Steam and Air Conditioning Supply;L68 - Real estate activities;F41 - Construction of buildings;D35 - Electricity, gas, steam and air conditioning supply;L68.1 - Buying and selling of own real estate;F41.1 - Development of building projects;D35.1 - Electric power generation, transmission and distribution;The target involves renovating buildings owned by public administration, which is linked to real estate, construction, and energy.;8
TA2.21;Member States shall ensure that the total final energy consumption of all public bodies combined is reduced;D - Electricity, Gas, Steam and Air Conditioning Supply;L - Real Estate Activities;F - Construction;D35 - Electricity, gas, steam and air conditioning supply;L68 - Real estate activities;F41 - Construction of buildings;D35.1 - Electric power generation, transmission and distribution;L68.1 - Buying and selling of own real estate;F41.1 - Development of building projects;The target involves reducing the total final energy consumption of public bodies, which is linked to energy, real estate, and construction.;8
TA2.22;Member States shall collectively ensure a reduction of energy consumption of at least 11,7 % in 2030;D - Electricity, Gas, Steam and Air Conditioning Supply;J - Information and Communication;K - Financial and Insurance Activities;D35 - Electricity, gas, steam and air conditioning supply;J61 - Telecommunications;K64 - Financial service activities, except insurance and pension funding;D35.1 - Electric power generation, transmission and distribution;J61.1 - Wired telecommunications activities;K64.1 - Monetary intermediation;The target involves reducing energy consumption, which is linked to the energy sector, information and communication, and financial services.;7
TA2.23;Member States shall make efforts to collectively contribute to the indicative Union primary energy consumption target;D - Electricity, Gas, Steam and Air Conditioning Supply;J - Information and Communication;K - Financial and Insurance Activities;D35 - Electricity, gas, steam and air conditioning supply;J61 - Telecommunications;K64 - Financial service activities, except insurance and pension funding;D35.1 - Electric power generation, transmission and distribution;J61.1 - Wired telecommunications activities;K64.1 - Monetary intermediation;The target involves contributing to the Union's primary energy consumption target, which is linked to the energy sector, information and communication, and financial services.;7
TA2.24;Each Member State shall ensure that at least 3 % of the total floor area of heated and/or cooled buildings is renovated;L - Real Estate Activities;F - Construction;D - Electricity, Gas, Steam and Air Conditioning Supply;L68 - Real estate activities;F41 - Construction of buildings;D35 - Electricity, gas, steam and air conditioning supply;L68.1 - Buying and selling of own real estate;F41.1 - Development of building projects;D35.1 - Electric power generation, transmission and distribution;The target involves renovating buildings, which is linked to real estate, construction, and energy.;8
TA2.25;Reduce buildings' final energy consumption by 14%;L - Real Estate Activities;F - Construction;D - Electricity, Gas, Steam and Air Conditioning Supply;L68 - Real estate activities;F41 - Construction of buildings;D35 - Electricity, gas, steam and air conditioning supply;L68.1 - Buying and selling of own real estate;F41.1 - Development of building projects;D35.1 - Electric power generation, transmission and distribution;The target involves reducing buildings' final energy consumption, which is linked to real estate, construction, and energy.;8
TA2.26;At least double the annual energy renovation rate of residential and non-residential buildings;L - Real Estate Activities;F - Construction;D - Electricity, Gas, Steam and Air Conditioning Supply;L68 - Real estate activities;F41 - Construction of buildings;D35 - Electricity, gas, steam and air conditioning supply;L68.1 - Buying and selling of own real estate;F41.1 - Development of building projects;D35.1 - Electric power generation, transmission and distribution;The target involves doubling the annual energy renovation rate of buildings, which is linked to real estate, construction, and energy.;8
TA2.27;Indicative national targets aiming to achieve the deep renovation of at least 35 million building units;L - Real Estate Activities;F - Construction;D - Electricity, Gas, Steam and Air Conditioning Supply;L68 - Real estate activities;F41 - Construction of buildings;D35 - Electricity, gas, steam and air conditioning supply;L68.1 - Buying and selling of own real estate;F41.1 - Development of building projects;D35.1 - Electric power generation, transmission and distribution;The target involves achieving deep renovation of building units, which is linked to real estate, construction, and energy.;8
TA2.28;Reduce buildings' energy consumption for heating and cooling by 18%;L - Real Estate Activities;F - Construction;D - Electricity, Gas, Steam and Air Conditioning Supply;L68 - Real estate activities;F41 - Construction of buildings;D35 - Electricity, gas, steam and air conditioning supply;L68.1 - Buying and selling of own real estate;F41.1 - Development of building projects;D35.1 - Electric power generation, transmission and distribution;The target involves reducing buildings' energy consumption for heating and cooling, which is linked to real estate, construction, and energy.;8
TA2.29;The revised rules require to gradually improve the non-residential building stock via minimum energy performance standards;L - Real Estate Activities;F - Construction;D - Electricity, Gas, Steam and Air Conditioning Supply;L68 - Real estate activities;F41 - Construction of buildings;D35 - Electricity, gas, steam and air conditioning supply;L68.1 - Buying and selling of own real estate;F41.1 - Development of building projects;D35.1 - Electric power generation, transmission and distribution;The target involves improving the non-residential building stock, which is linked to real estate, construction, and energy.;8
TA2.30;The revised directive will make zero-emission buildings the new standard for new buildings;L - Real Estate Activities;F - Construction;D - Electricity, Gas, Steam and Air Conditioning Supply;L68 - Real estate activities;F41 - Construction of buildings;D35 - Electricity, gas, steam and air conditioning supply;L68.1 - Buying and selling of own real estate;F41.1 - Development of building projects;D35.1 - Electric power generation, transmission and distribution;The target involves making zero-emission buildings the new standard, which is linked to real estate, construction, and energy.;8
TA2.31;All existing buildings should be transformed into zero-emission buildings;L - Real Estate Activities;F - Construction;D - Electricity, Gas, Steam and Air Conditioning Supply;L68 - Real estate activities;F41 - Construction of buildings;D35 - Electricity, gas, steam and air conditioning supply;L68.1 - Buying and selling of own real estate;F41.1 - Development of building projects;D35.1 - Electric power generation, transmission and distribution;The target involves transforming existing buildings into zero-emission buildings, which is linked to real estate, construction, and energy.;8
TA2.32;100% of on-site energy consumption to be covered by renewable energy as for new buildings;D - Electricity, Gas, Steam and Air Conditioning Supply;L - Real Estate Activities;F - Construction;D35 - Electricity, gas, steam and air conditioning supply;L68 - Real estate activities;F41 - Construction of buildings;D35.1 - Electric power generation, transmission and distribution;L68.1 - Buying and selling of own real estate;F41.1 - Development of building projects;The target involves covering on-site energy consumption with renewable energy, which is linked to energy, real estate, and construction.;8
TA2.33;The national measures will have to ensure that at least 55% of the decrease of the average primary energy use is achieved;L - Real Estate Activities;F - Construction;D - Electricity, Gas, Steam and Air Conditioning Supply;L68 - Real estate activities;F41 - Construction of buildings;D35 - Electricity, gas, steam and air conditioning supply;L68.1 - Buying and selling of own real estate;F41.1 - Development of building projects;D35.1 - Electric power generation, transmission and distribution;The target involves ensuring a certain percentage of decrease in average primary energy use, which is linked to real estate, construction, and energy.;8
TA2.34;Each Member State will adopt its own national trajectory to reduce the average primary energy use of residential buildings;L - Real Estate Activities;F - Construction;D - Electricity, Gas, Steam and Air Conditioning Supply;L68 - Real estate activities;F41 - Construction of buildings;D35 - Electricity, gas, steam and air conditioning supply;L68.1 - Buying and selling of own real estate;F41.1 - Development of building projects;D35.1 - Electric power generation, transmission and distribution;The target involves adopting a national trajectory to reduce primary energy use in residential buildings, which is linked to real estate, construction, and energy.;8
TA2.35;Member States will also have to set out specific measures on the phase-out of fossil fuels in heating and cooling;D - Electricity, Gas, Steam and Air Conditioning Supply;L - Real Estate Activities;F - Construction;D35 - Electricity, gas, steam and air conditioning supply;L68 - Real estate activities;F41 - Construction of buildings;D35.1 - Electric power generation, transmission and distribution;L68.1 - Buying and selling of own real estate;F41.1 - Development of building projects;The target involves phasing out fossil fuels in heating and cooling, which is linked to energy, real estate, and construction.;8
TA2.36;;;;;;;;;The target content is empty.;0;;
TA2.37;By 2030, the share of renewable energy in the electricity mix should double to 55-60%;D - Electricity, Gas, Steam and Air Conditioning Supply;J - Information and Communication;K - Financial and Insurance Activities;D35 - Electricity, gas, steam and air conditioning supply;J61 - Telecommunications;K64 - Financial service activities, except insurance and pension funding;D35.1 - Electric power generation, transmission and distribution;J61.1 - Wired telecommunications activities;K64.1 - Monetary intermediation;The target involves doubling the share of renewable energy in the electricity mix, which is linked to the energy sector, information and communication, and financial services.;7
TA2.38;The strategy sets targets for an installed capacity of at least 60 GW of offshore wind by 2030;D - Electricity, Gas, Steam and Air Conditioning Supply;J - Information and Communication;K - Financial and Insurance Activities;D35 - Electricity, gas, steam and air conditioning supply;J61 - Telecommunications;K64 - Financial service activities, except insurance and pension funding;D35.1 - Electric power generation, transmission and distribution;J61.1 - Wired telecommunications activities;K64.1 - Monetary intermediation;The target involves setting targets for offshore wind capacity, which is linked to the energy sector, information and communication, and financial services.;7
TA2.39;The strategy sets targets for an installed capacity of at least 1 GW of ocean energy by 2030;D - Electricity, Gas, Steam and Air Conditioning Supply;J - Information and Communication;K - Financial and Insurance Activities;D35 - Electricity, gas, steam and air conditioning supply;J61 - Telecommunications;K64 - Financial service activities, except insurance and pension funding;D35.1 - Electric power generation, transmission and distribution;J61.1 - Wired telecommunications activities;K64.1 - Monetary intermediation;The target involves setting targets for ocean energy capacity, which is linked to the energy sector, information and communication, and financial services.;7
TA2.4;Doubling the current deployment rate of individual heat pumps, resulting in a cumulative 10 million units by 2027;D - Electricity, Gas, Steam and Air Conditioning Supply;L - Real Estate Activities;F - Construction;D35 - Electricity, gas, steam and air conditioning supply;L68 - Real estate activities;F41 - Construction of buildings;D35.1 - Electric power generation, transmission and distribution;L68.1 - Buying and selling of own real estate;F41.1 - Development of building projects;The target involves doubling the deployment rate of individual heat pumps, which is linked to energy, real estate, and construction.;8
TA2.40;Around 30% of EU primary steel production is expected to be decarbonized on the basis of renewable hydrogen;C - Manufacturing;D - Electricity, Gas, Steam and Air Conditioning Supply;H - Transportation and Storage;C20 - Manufacture of chemicals and chemical products;D35 - Electricity, gas, steam and air conditioning supply;H50 - Water transport;C20.2 - Manufacture of pesticides and other agrochemical products;D35.1 - Electric power generation, transmission and distribution;H50.4 - Inland freight water transport;The target involves decarbonizing primary steel production using renewable hydrogen, which is linked to manufacturing, energy, and transportation.;8
TA2.5;Bring online over 320 GW of solar photovoltaic by 2025 and 600 GW by 2030;D - Electricity, Gas, Steam and Air Conditioning Supply;J - Information and Communication;K - Financial and Insurance Activities;D35 - Electricity, gas, steam and air conditioning supply;J61 - Telecommunications;K64 - Financial service activities, except insurance and pension funding;D35.1 - Electric power generation, transmission and distribution;J61.1 - Wired telecommunications activities;K64.1 - Monetary intermediation;The target involves bringing online solar photovoltaic capacity, which is linked to the energy sector, information and communication, and financial services.;7
TA2.6;Energy demand to be covered by solar heat and geothermal should at least triple;D - Electricity, Gas, Steam and Air Conditioning Supply;L - Real Estate Activities;F - Construction;D35 - Electricity, gas, steam and air conditioning supply;L68 - Real estate activities;F41 - Construction of buildings;D35.1 - Electric power generation, transmission and distribution;L68.1 - Buying and selling of own real estate;F41.1 - Development of building projects;The target involves tripling energy demand covered by solar heat and geothermal, which is linked to energy, real estate, and construction.;8
TA2.7;Over this decade, the EU will need to install, on average, approximately 45 GW per year of PV to reach the share of 45% of energy coming from renewables;D - Electricity, Gas, Steam and Air Conditioning Supply;J - Information and Communication;K - Financial and Insurance Activities;D35 - Electricity, gas, steam and air conditioning supply;J61 - Telecommunications;K64 - Financial service activities, except insurance and pension funding;D35.1 - Electric power generation, transmission and distribution;J61.1 - Wired telecommunications activities;K64.1 - Monetary intermediation;The target involves installing PV capacity to reach a certain share of renewable energy, which is linked to the energy sector, information and communication, and financial services.;7
TA2.8;Ensure that energy poor and vulnerable consumers have access to solar energy;D - Electricity, Gas, Steam and Air Conditioning Supply;L - Real Estate Activities;F - Construction;D35 - Electricity, gas, steam and air conditioning supply;L68 - Real estate activities;F41 - Construction of buildings;D35.1 - Electric power generation, transmission and distribution;L68.1 - Buying and selling of own real estate;F41.1 - Development of building projects;The target involves ensuring access to solar energy for energy poor and vulnerable consumers, which is linked to energy, real estate, and construction.;8
TA2.9;Member States shall collectively ensure that the share of energy from renewable sources in the Union’s gross final consumption of energy in 2030 is at least 42,5 %;D - Electricity, Gas, Steam and Air Conditioning Supply;J - Information and Communication;K - Financial and Insurance Activities;D35 - Electricity, gas, steam and air conditioning supply;J61 - Telecommunications;K64 - Financial service activities, except insurance and pension funding;D35.1 - Electric power generation, transmission and distribution;J61.1 - Wired telecommunications activities;K64.1 - Monetary intermediation;The target involves ensuring a certain share of renewable energy in the Union's gross final consumption, which is linked to the energy sector, information and communication, and financial services.;7
