target_code;thematic_area;sub_theme;;;;;;;;target_content;justification;
TA2.9;TA2_Clean, affordable and secure energy;Renewable Energy;;;;;;;;Member States shall collectively ensure that the share of energy from renewable sources in the Union’s gross final consumption of energy in 2030 is at least 42.5%.;This target is assigned to Renewable Energy as it promotes the use of renewable energy sources.;
TA2.11;TA2_Clean, affordable and secure energy;Renewable Energy Cooperation;;;;;;;;By 31 December 2025, each Member State shall agree to establish a framework for cooperation on joint projects with one or more other Member States for the production of renewable energy, subject to the following: by 31 December 2030, Member States shall endeavour to agree on establishing at least two joint projects;This target is assigned to Renewable Energy Cooperation as it promotes cooperation between Member States.;
TA2.11;TA2_Clean, affordable and secure energy;Joint Projects;;;;;;;;By 31 December 2025, each Member State shall agree to establish a framework for cooperation on joint projects with one or more other Member States for the production of renewable energy, subject to the following: by 31 December 2030, Member States shall endeavour to agree on establishing at least two joint projects;This target is also assigned to Joint Projects as it addresses the establishment of joint projects.;
TA2.24;TA2_Clean, affordable and secure energy;Building Renovation;;;;;;;;Each Member State shall ensure that at least 3% of the total floor area of heated and/or cooled buildings (of buildings which have a total useful floor area of over 250 m2 and are not nearly-zero energy buildings) that are owned by public bodies is renovated each year to be transformed into at least nearly zero-energy buildings or zero-emission buildings in accordance with Article 9 of Directive 2010/31/EU.;This target is assigned to Building Renovation as it promotes the renovation of buildings.;
TA2.26;TA2_Clean, affordable and secure energy;Building Renovation;;;;;;;;At least double the annual energy renovation rate of residential and non-residential buildings by 2030 and to foster deep energy renovations.;This target is assigned to Building Renovation as it promotes the increase of energy renovation rate.;
TA2.26;TA2_Clean, affordable and secure energy;Energy Efficiency;;;;;;;;At least double the annual energy renovation rate of residential and non-residential buildings by 2030 and to foster deep energy renovations.;This target is also assigned to Energy Efficiency as it addresses the improvement of energy efficiency.;
TA2.34;TA2_Clean, affordable and secure energy;Energy Efficiency;;;;;;;;Member States shall ensure that the average primary energy use of the entire residential building stock decreases by at least 16% compared to 2020 by 2030, and by at least 20-22% compared to 2020 by 2035;This target is assigned to Energy Efficiency as it promotes the reduction of primary energy use.;
TA2.40;TA2_Clean, affordable and secure energy;Hydrogen Production;;;;;;;;Around 30% of EU primary steel production is expected to be decarbonised on the basis of renewable hydrogen.;This target is assigned to Hydrogen Production as it addresses the use of renewable hydrogen in steel production.;
TA2.1;TA2_Clean, affordable and secure energy;Heating and Cooling;;;;;;;;Double the current deployment rate of individual heat pumps, resulting in a cumulative 10 million units by 2027 and 30 million units by 2030;This target is assigned to Heating and Cooling as it aims to increase the deployment of heat pumps.;
TA2.2;TA2_Clean, affordable and secure energy;Solar Energy;;;;;;;;Bring online over 320 GW of solar photovoltaic by 2025 and almost 600 GW by 2030;This target is assigned to Solar Energy as it aims to increase the capacity of solar photovoltaic.;
TA2.3;TA2_Clean, affordable and secure energy;Renewable Energy;;;;;;;;Increase the share of renewable energy in the heating and cooling sector by at least 1.1 percentage points as an annual average calculated for the period 2026 to 2030;This target is assigned to Renewable Energy as it aims to increase the share of renewable energy in the heating and cooling sector.;
TA2.4;TA2_Clean, affordable and secure energy;Energy Efficiency;;;;;;;;Ensure that the total final energy consumption of all public bodies combined is reduced by at least 1.9% each year, when compared to 2021;This target is assigned to Energy Efficiency as it aims to reduce energy consumption in public bodies.;
TA2.5;TA2_Clean, affordable and secure energy;Energy Efficiency;;;;;;;;Ensure that the average primary energy use of the entire residential building stock in EU Member States decreases by at least 16% compared to 2020 by 2030;This target is assigned to Energy Efficiency as it aims to reduce energy consumption in residential buildings.;
TA2.6;TA2_Clean, affordable and secure energy;Building Renovation;;;;;;;;Ensure that at least 3% of the total floor area of heated and/or cooled buildings owned by public bodies is renovated each year to be transformed into at least nearly zero-energy buildings;This target is assigned to Building Renovation as it aims to renovate public buildings to increase energy efficiency.;
TA2.7;TA2_Clean, affordable and secure energy;Solar Energy;;;;;;;;Over this decade, the EU will need to install, on average, approximately 45 GW per year of PV to reach the share of 45% of energy coming from renewables set out in the REPowerEU Plan;This target is assigned to Solar Energy as it aims to increase the capacity of solar photovoltaic.;
TA2.8;TA2_Clean, affordable and secure energy;Transport Emissions Reduction;;;;;;;;Reduce greenhouse gas emissions from the transport sector by 90% by 2050;This target is assigned to Transport Emissions Reduction as it aims to reduce GHG emissions from the transport sector.;
TA2.9;TA2_Clean, affordable and secure energy;Renewable Energy;;;;;;;;Increase the share of renewable energy in the transport sector to at least 14% by 2030;This target is assigned to Renewable Energy as it aims to increase the share of renewable energy in the transport sector.;
TA2.10;TA2_Clean, affordable and secure energy;Innovative Renewable Energy;;;;;;;;Set an indicative target for innovative renewable energy technology of at least 5% of newly installed renewable energy capacity by 2030;This target is assigned to Innovative Renewable Energy as it aims to increase the share of innovative renewable energy technologies.;
TA2.13;TA2_Clean, affordable and secure energy;Promoting Renewable Energy;;;;;;;;The amount of renewable fuels and renewable electricity supplied to the transport sector leads to a: (i) share of renewable energy within the final consumption of energy in the transport sector of at least 29 % by 2030, or (ii) GHG intensity reduction of at least 14.5 % by 2030, compared to the baseline set out in Article 27(1), in accordance with an indicative trajectory set by the Member State.;"This target is assigned to the sub-theme ""Promoting Renewable Energy"" because it aims to increase the share of renewable energy in the transport sector.";The target also mentions a GHG intensity reduction, which is related to reducing greenhouse gas emissions, but the primary focus is on promoting renewable energy.
TA2.13;TA2_Clean, affordable and secure energy;Reducing GHG;;;;;;;;The amount of renewable fuels and renewable electricity supplied to the transport sector leads to a: (i) share of renewable energy within the final consumption of energy in the transport sector of at least 29 % by 2030, or (ii) GHG intensity reduction of at least 14.5 % by 2030, compared to the baseline set out in Article 27(1), in accordance with an indicative trajectory set by the Member State.;"This target is also assigned to the sub-theme ""Reducing Greenhouse Gas Emissions"" because it mentions a GHG intensity reduction, which is a key aspect of reducing greenhouse gas emissions.";The target aims to reduce the carbon footprint of the transport sector, which is a significant contributor to greenhouse gas emissions.
TA2.15;TA2_Clean, affordable and secure energy;Promoting Renewable Energy;;;;;;;;By 2022, achieve 18% of the total increase in the share of energy from renewable sources between that Member State’s binding 2020 national target, and its contribution to the 2030 target of the share of energy from renewable sources in gross final consumption of energy.;"This target is assigned to the sub-theme ""Promoting Renewable Energy"" because it aims to increase the share of energy from renewable sources.";The target sets a specific milestone for 2022, which is part of the overall effort to promote renewable energy and reduce dependence on fossil fuels.
TA2.17;TA2_Clean, affordable and secure energy;Improving Energy Infrastructure;;;;;;;;A target of 15% electricity interconnection for 2030;"This target is assigned to the sub-theme ""Improving Energy Infrastructure"" because it aims to increase electricity interconnection between member states.";Increasing electricity interconnection can help to improve the overall efficiency and resilience of the energy system, and facilitate the integration of renewable energy sources.
TA2.25;TA2_Clean, affordable and secure energy;Improving Energy Efficiency;;;;;;;;Reduce buildings’ final energy consumption by 14%;"This target is assigned to the sub-theme ""Improving Energy Efficiency"" because it aims to reduce the final energy consumption of buildings.";Reducing energy consumption in buildings can be achieved through various measures such as improving insulation, using energy-efficient appliances, and optimizing heating and cooling systems.
TA2.37;TA2_Clean, affordable and secure energy;Promoting Renewable Energy;;;;;;;;By 2030, the share of renewable energy in the electricity mix should double to 55-60%, and projections show a share of around 84% by 2050.;"This target is assigned to the sub-theme ""Promoting Renewable Energy"" because it aims to increase the share of renewable energy in the electricity mix.";Doubling the share of renewable energy in the electricity mix by 2030 is an ambitious goal that requires significant investment and effort to promote renewable energy sources such as solar and wind power.
TA2.1;TA2_Clean, affordable and secure energy;Renewable Energy Communities;;;;;;;;Set up at least one renewables-based energy community in every municipality with a population higher than 10,000 by 2025;"This target is assigned to the sub-theme ""Renewable Energy Communities"" because it promotes the development of community-based renewable energy projects.";
TA2.2;TA2_Clean, affordable and secure energy;Renewable Energy Share;;;;;;;;Increase the share of renewable energy in the energy mix to at least 32% by 2030;"This target is assigned to the sub-theme ""Renewable Energy Share"" because it aims to increase the proportion of renewable energy in the overall energy mix.";
TA2.3;TA2_Clean, affordable and secure energy;Energy Efficiency;;;;;;;;Improve energy efficiency by reducing energy consumption by at least 32.5% by 2030;"This target is assigned to the sub-theme ""Energy Efficiency"" because it focuses on reducing energy consumption through efficient use.";
TA2.4;TA2_Clean, affordable and secure energy;Renewable Heating and Cooling;;;;;;;;Increase the share of renewable energy in heating and cooling to at least 21% by 2030;"This target is assigned to the sub-theme ""Renewable Heating and Cooling"" because it specifically targets the heating and cooling sector for renewable energy integration.";
TA2.5;TA2_Clean, affordable and secure energy;Sustainable Transport;;;;;;;;Reduce greenhouse gas emissions from transport by at least 60% by 2050;"This target is assigned to the sub-theme ""Sustainable Transport"" because it aims to significantly reduce emissions from the transport sector.";
TA2.6;TA2_Clean, affordable and secure energy;Alternative Fuels and Vehicles;;;;;;;;Deploy alternative fuels and zero-emission vehicles;"This target is assigned to the sub-theme ""Alternative Fuels and Vehicles"" because it promotes the use of alternative fuels and zero-emission vehicles for transport.";
TA2.7;TA2_Clean, affordable and secure energy;Solar Energy;;;;;;;;Over this decade, the EU will need to install, on average, approximately 45 GW per year of PV to reach the share of 45% of energy coming from renewables set out in the REPowerEU Plan;"This target is assigned to the sub-theme ""Solar Energy"" because it specifically mentions the installation of photovoltaic (PV) capacity to meet renewable energy targets.";
TA3.23;TA3_Industrial strategy for a clean and circular economy;Material Recovery;;;;;;;;All recycling shall achieve at least the following targets for recovery of materials: - No later than 31 December 2027, 90% for cobalt, copper, lead, nickel,  - No later than 31 December 2031, 95% for cobalt, copper, lead, nickel;This target is assigned to Material Recovery as it promotes the recovery of materials.;
TA3.3;TA3_Industrial strategy for a clean and circular economy;Circular Economy;;;;;;;;Double EU’s circular material use rate in the coming decade;This target is assigned to Circular Economy as it promotes the increase of circular material use rate.;
TA3.13;TA3_Industrial strategy for a clean and circular economy;Recycling;;;;;;;;By 2030, Union recycling capacity, including for all intermediate recycling steps, should be able of producing at least 25% of the Union’s annual consumption of strategic raw materials and should be able of recycling significantly increasing amounts of each strategic raw material from waste.;This target is assigned to Recycling as it promotes the increase of recycling capacity.;
TA3.15;TA3_Industrial strategy for a clean and circular economy;Battery Recycling;;;;;;;;Producers of starting, lighting and ignition batteries, industrial batteries and electric vehicle batteries or, where appointed in accordance with Article 57(1), producer responsibility organisations, shall take back, free of charge and without an obligation on the end-user to buy a new battery, nor to have bought the battery from them, and shall ensure that all waste starting, lighting and ignition batteries, waste industrial batteries and waste electric vehicle batteries regardless of their nature, chemical composition, condition, brand, or origin of the respective category that they have made available on the market for the first time in the territory of that Member State are collected separately.;This target is assigned to Battery Recycling as it addresses the collection and recycling of batteries.;
TA3.20;TA3_Industrial strategy for a clean and circular economy;Recycling Efficiency;;;;;;;;Recycling shall achieve at least the following targets for recycling efficiency: No later than 31 December 2025 - 75% by average weight of lead-acid batteries, - 80% by average weight of nickel-cadmium batteries - 50% by average weight of other waste batteries No later than 31 December 2030 - 80% by average weight of lead-acid batteries,;This target is assigned to Recycling Efficiency as it promotes the increase of recycling efficiency.;
TA3.21;TA3_Industrial strategy for a clean and circular economy;Recycling Efficiency;;;;;;;;Recycling shall achieve at least the following targets for recycling efficiency: - No later than 31 December 2025, 65% by average weight of lithium-based batteries, - No later than 31 December 2030, 70% by average weight of lithium-based batteries.;This target is assigned to Recycling Efficiency as it promotes the increase of recycling efficiency.;
TA3.25;TA3_Industrial strategy for a clean and circular economy;Food Waste Reduction;;;;;;;;Reduce the generation of food waste per capita, jointly in retail and other distribution of food, in restaurants and food services and in households, by 30% in comparison to the amount generated in 2020;This target is assigned to Food Waste Reduction as it promotes the reduction of food waste.;
TA3.27;TA3_Industrial strategy for a clean and circular economy;Packaging Recycling;;;;;;;;All packaging shall be recyclable;This target is assigned to Packaging Recycling as it promotes the recyclability of packaging.;
TA3.1;TA3_Industrial strategy for a clean and circular economy;Raw Materials Production;;;;;;;;Produce at least 40% of the Union’s annual consumption of strategic raw materials by 2030;This target is assigned to Raw Materials Production as it aims to increase the production of strategic raw materials.;
TA3.2;TA3_Industrial strategy for a clean and circular economy;Raw Materials Recycling;;;;;;;;Recycle at least 25% of the Union’s annual consumption of strategic raw materials by 2030;This target is assigned to Raw Materials Recycling as it aims to increase the recycling of strategic raw materials.;
TA3.3;TA3_Industrial strategy for a clean and circular economy;Circular Economy;;;;;;;;Increase the circular material use rate to 23% by 2030;This target is assigned to Circular Economy as it aims to increase the circular material use rate.;
TA3.4;TA3_Industrial strategy for a clean and circular economy;Waste Reduction;;;;;;;;Reduce waste generation by 50% by 2030;This target is assigned to Waste Reduction as it aims to reduce waste generation.;
TA3.5;TA3_Industrial strategy for a clean and circular economy;Waste Recycling;;;;;;;;Increase the recycling rate of municipal waste to 65% by 2030;This target is assigned to Waste Recycling as it aims to increase the recycling rate of municipal waste.;
TA3.6;TA3_Industrial strategy for a clean and circular economy;Food Waste Reduction;;;;;;;;Reduce the generation of food waste by 50% by 2030;This target is assigned to Food Waste Reduction as it aims to reduce food waste generation.;
TA3.7;TA3_Industrial strategy for a clean and circular economy;Sustainable Packaging;;;;;;;;Increase the use of recycled materials in packaging to 30% by 2030;This target is assigned to Sustainable Packaging as it aims to increase the use of recycled materials in packaging.;
TA3.8;TA3_Industrial strategy for a clean and circular economy;Promoting Sustainable Resource Use;;;;;;;;By 2030, Union extraction capacity should be able of extracting the ores, minerals or concentrates needed to produce at least 10% of the Union’s annual consumption of strategic raw materials, to the extent possible in light of the Union’s reserves.;"This target is assigned to the sub-theme ""Promoting Sustainable Resource Use"" because it aims to increase the Union's extraction capacity for strategic raw materials.";The target is part of the effort to promote sustainable resource use and reduce dependence on imported raw materials, which can help to improve the security of supply and reduce the environmental impact of resource extraction.
TA3.16;TA3_Industrial strategy for a clean and circular economy;Improving Waste Management;;;;;;;;Producers of portable batteries or, where appointed in accordance with Article 57(1), producer responsibility organisations, shall attain, and maintain durably, at least the following collection targets for waste portable batteries: - 45% by 31 December 2023, - 63% by 31 December 2027, - 73% by 31 December 2030.;"This target is assigned to the sub-theme ""Improving Waste Management"" because it aims to increase the collection rate of waste portable batteries.";The target is part of the effort to improve waste management and reduce the environmental impact of waste, by promoting the collection and recycling of waste batteries.
TA3.24;TA3_Industrial strategy for a clean and circular economy;Reducing Food Waste;;;;;;;;Reduce the generation of food waste in processing and manufacturing by 10% in comparison to the amount generated in 2020;"This target is assigned to the sub-theme ""Reducing Food Waste"" because it aims to reduce the generation of food waste in processing and manufacturing.";The target is part of the effort to reduce food waste and improve the efficiency of the food system, by reducing the amount of food that is wasted during processing and manufacturing.
TA3.28;TA3_Industrial strategy for a clean and circular economy;Promoting Recycling;;;;;;;;The plastic part in packaging shall contain the following minimum percentage of recycled content recovered from post-consumer plastic waste, per unit of packaging: From 1 January 2030 (i) 30% for contact sensitive packaging made from polyethylene terephthalate (PET) as major component, (ii) 10% for contact sensitive made from plastic materials other than PET, except single use plastic bottles, (iii) 30% for single use plastic beverage bottles, (iv) 35% for other plastic packaging;"This target is assigned to the sub-theme ""Promoting Recycling"" because it aims to increase the use of recycled content in packaging.";The target is part of the effort to promote recycling and reduce the environmental impact of packaging, by increasing the use of recycled materials in packaging.
TA3.31;TA3_Industrial strategy for a clean and circular economy;Improving Waste Management;;;;;;;;Member States shall take the necessary measures to attain the recycling targets of 65% by weight of all packaging waste generated by 31 December 2025, and of 70% by weight of all packaging waste generated by 31 December 2030.;"This target is assigned to the sub-theme ""Improving Waste Management"" because it aims to increase the recycling rate of packaging waste.";The target is part of the effort to improve waste management and reduce the environmental impact of waste, by promoting the recycling of packaging waste.
TA3.36;TA3_Industrial strategy for a clean and circular economy;Promoting Recycling;;;;;;;;Member States shall take the necessary measures to attain a recycling target of 70% of glass by weight of glass contained in packaging waste generated by 31 December 2025 and of 75% by 31 December 2030;"This target is assigned to the sub-theme ""Promoting Recycling"" because it aims to increase the recycling rate of glass packaging waste.";The target is part of the effort to promote recycling and reduce the environmental impact of packaging, by increasing the recycling rate of glass packaging waste.
TA3.48;TA3_Industrial strategy for a clean and circular economy;Promoting Recycling;;;;;;;;The plastic contained in each vehicle type that is type-approved as of [the first day of the month following 72 months after the date of entry into force of the Regulation] under Regulation (EU) 2018/858 shall contain a minimum of 25 % of plastic recycled by weight from post-consumer plastic waste.;"This target is assigned to the sub-theme ""Promoting Recycling"" because it aims to increase the use of recycled plastic in vehicles.";The target is part of the effort to promote recycling and reduce the environmental impact of vehicles, by increasing the use of recycled materials in vehicle production.
TA3.1;TA3_Industrial strategy for a clean and circular economy;Waste Reduction;;;;;;;;Halve the amount of residual (non-recycled) municipal waste by 2030;"This target is assigned to the sub-theme ""Waste Reduction"" because it aims to reduce the amount of non-recycled municipal waste.";
TA3.2;TA3_Industrial strategy for a clean and circular economy;Recycling Rates;;;;;;;;Increase recycling rates to at least 65% by 2030;"This target is assigned to the sub-theme ""Recycling Rates"" because it focuses on increasing the proportion of waste that is recycled.";
TA3.3;TA3_Industrial strategy for a clean and circular economy;Plastic Waste Reduction;;;;;;;;Reduce the amount of plastic waste in oceans by 50% by 2030;"This target is assigned to the sub-theme ""Plastic Waste Reduction"" because it specifically targets the reduction of plastic waste in oceans.";
TA3.4;TA3_Industrial strategy for a clean and circular economy;Circular Economy;;;;;;;;Increase the use of recycled materials in production processes;"This target is assigned to the sub-theme ""Circular Economy"" because it promotes the use of recycled materials in production, aligning with circular economy principles.";
TA3.5;TA3_Industrial strategy for a clean and circular economy;Industrial Emissions Reduction;;;;;;;;Reduce greenhouse gas emissions from industry by at least 80% by 2050;"This target is assigned to the sub-theme ""Industrial Emissions Reduction"" because it aims to significantly reduce emissions from industrial activities.";
TA4.1;TA4_Sustainable and smart mobility;Biomethane Production;;;;;;;;Achieve an annual production of sustainable biomethane of 35 billion cubic meters by 2030;This target is assigned to Biomethane Production as it promotes the production of sustainable biomethane.;
TA4.6;TA4_Sustainable and smart mobility;Sustainable Aviation Fuels;;;;;;;;Of the SAF targets reported above, synthetic aviation fuels should represent a minimum share of 1.2% from 2030, 5% from 2035, 10% from 2034, 15% from 2045, and 35% from 2050.;This target is assigned to Sustainable Aviation Fuels as it promotes the use of synthetic aviation fuels.;
TA4.9;TA4_Sustainable and smart mobility;Transport Emissions Reduction;;;;;;;;Cut the emissions of transport sector by 90% by 2050 relative to 1990.;This target is assigned to Transport Emissions Reduction as it promotes the reduction of emissions in the transport sector.;
TA4.10;TA4_Sustainable and smart mobility;Fuel Efficiency;;;;;;;;EU fisheries are encouraged to continue the positive trend, as observed for the period 2009-2019, towards reducing fuel intensity by reducing the fossil-fuel consumption per kg of landed product for at least an additional 15% for the period 2019-2030.;This target is assigned to Fuel Efficiency as it promotes the reduction of fuel consumption.;
TA4.13;TA4_Sustainable and smart mobility;Electric Vehicles;;;;;;;;For [...] “urban buses” manufacturers shall comply with the 90% (in the reporting period 2030-2034) and 100% (as from 2035) minimum shares in their fleet of new heavy-duty vehicles;This target is assigned to Electric Vehicles as it promotes the use of electric buses.;
TA4.25;TA4_Sustainable and smart mobility;Charging Infrastructure;;;;;;;;Member States shall ensure that, at the end of each year, the following power output targets are met cumulatively: (a) for each light-duty battery electric vehicle registered in their territory, a total power output of at least 1.3 kW is provided through publicly accessible recharging stations, and (b) for each light-duty plug-in hybrid vehicle registered in their territory, a total power output of at least 0.80 kW is provided through publicly accessible recharging stations.;This target is assigned to Charging Infrastructure as it promotes the development of recharging stations.;
TA4.26;TA4_Sustainable and smart mobility;Charging Infrastructure;;;;;;;;Member States shall ensure that along the TEN-T core and comprehensive network, publicly accessible recharging pools dedicated to light-duty vehicles deployed in each direction of travel with a maximum distance of 60 km in-between them offering a power output of at least 600kW and including at least one recharging point with an individual power output of at least 150 kW.;This target is assigned to Charging Infrastructure as it promotes the development of recharging pools.;
TA4.29;TA4_Sustainable and smart mobility;Charging Infrastructure;;;;;;;;By 31 December 2030, in each urban node publicly accessible recharging points dedicated to heavy-duty electric vehicles with an aggregated power output of at least 1 800 kW are deployed, provided by recharging stations with an individual power output of at least 150 kW.;This target is assigned to Charging Infrastructure as it promotes the development of recharging points for heavy-duty electric vehicles.;
TA4.33;TA4_Sustainable and smart mobility;Electrification of Transport;;;;;;;;Member States shall ensure that at least one installation providing shore-side electricity supply to inland waterway vessels is deployed at all TEN-T core inland waterway ports by 1 January 2025, at least one installation providing shore-side electricity supply to inland waterway vessels is deployed at all TEN-T comprehensive inland waterway ports by 1 January 2030.;This target is assigned to Electrification of Transport as it promotes the use of shore-side electricity supply.;
TA4.1;TA4_Sustainable and smart mobility;Transport Emissions Reduction;;;;;;;;Reduce the average CO2 emissions of new heavy-duty motor vehicles by 90% by 2040;This target is assigned to Transport Emissions Reduction as it aims to reduce CO2 emissions from heavy-duty motor vehicles.;
TA4.2;TA4_Sustainable and smart mobility;Alternative Fuels;;;;;;;;Increase the share of alternative fuels in the transport sector to at least 24% by 2030;This target is assigned to Alternative Fuels as it aims to increase the share of alternative fuels in the transport sector.;
TA4.3;TA4_Sustainable and smart mobility;Electric Vehicle Charging;;;;;;;;Deploy at least 3 million public charging points for electric vehicles by 2030;This target is assigned to Electric Vehicle Charging as it aims to increase the number of public charging points for electric vehicles.;
TA4.4;TA4_Sustainable and smart mobility;Sustainable Aviation Fuels;;;;;;;;Increase the share of sustainable aviation fuels in the aviation sector to at least 2% by 2025;This target is assigned to Sustainable Aviation Fuels as it aims to increase the share of sustainable aviation fuels in the aviation sector.;
TA4.5;TA4_Sustainable and smart mobility;Maritime Emissions Reduction;;;;;;;;Reduce the emissions from the maritime transport sector by 50% by 2050;This target is assigned to Maritime Emissions Reduction as it aims to reduce emissions from the maritime transport sector.;
TA4.3;TA4_Sustainable and smart mobility;Reducing GHG;;;;;;;;The yearly average GHG intensity of the energy used on board by a ship during a reporting period shall be reduced, compared to the reference value (91.16 gCO2e/MJ) by: 2% from 1 January 2025, 6% from 1 January 2030, 14.5% from 1 January 2035, 31% from 1 January 2040, 62% from 1 January 2045, 80% from 1 January 2050.;"This target is assigned to the sub-theme ""Reducing Greenhouse Gas Emissions"" because it aims to reduce the GHG intensity of energy used on board ships.";The target is part of the effort to reduce greenhouse gas emissions from the transport sector, by promoting the use of cleaner fuels and more efficient ships.
