;source_subtheme;source_subtheme_targets;impact_subtheme;impact_type;impact_weight;justification;GHG Reduction;TA1.3,TA1.7,TA1.9,TA1.11,TA1.13,TA5.7;Circularity/Recycling;+2;The reduction of GHG emissions can be reinforced by the adoption of circular economy practices, such as recycling and reuse, which can lead to a decrease in the production of new materials and the associated emissions. This connection is particularly relevant for targets like TA1.3, which aims to reduce GHG emissions from buildings, and TA1.7, which focuses on reducing methane emissions.;Renewable Energy;+;3;The implementation of GHG reduction targets in List A can positively influence the achievement of Renewable Energy targets in List B, as reducing greenhouse gas emissions often involves increasing the use of renewable energy sources. This is an indivisible connection, as renewable energy is a crucial component of GHG reduction strategies.
10;GHG Reduction;TA1.3,TA1.7,TA1.9,TA1.11,TA1.13,TA5.7;Competitive Agriculture;2;The reduction of GHG emissions can lead to increased agricultural productivity and competitiveness, reinforcing the achievement of competitive agriculture targets.;;;;;;;;;;
11;Improve Soils Health;TA5.3,TA6.12,TA6.15,TA6.49,TA7.10,TA7.12,TA7.19,TA7.20;Terrestrial Ecosystems Restoration - Agricultural Ecosystems;2;Reinforcing;Improving soil health through sustainable practices can aid in the restoration of agricultural ecosystems, which in turn can help achieve the targets of terrestrial ecosystems restoration.;;;;;;;;;
12;Improve Air Quality;TA4.47,TA7.13,TA7.16,TA7.22,TA7.5;Biodiversity Protection & Conservation;1;Enabling;Improving air quality can create conditions that further biodiversity protection and conservation by reducing pollution and promoting a healthier environment.;;;;;;;;;
13;Noise Reduction;TA7.17;Biodiversity Protection & Conservation - Urban Nature;1;Enabling;Reducing noise pollution can enable the protection and conservation of urban biodiversity by creating a more conducive environment for wildlife to thrive.;;;;;;;;;
14;Social Security - Sanitation;TA7.1,TA7.3,TA7.9;Biodiversity Protection & Conservation - Fisheries;2;Reinforcing;Improving sanitation and wastewater management can reinforce the protection and conservation of fisheries and aquatic ecosystems by reducing pollution and promoting a healthier environment.;;;;;;;;;
15;Improve Water Quality;TA7.6,TA7.7;Terrestrial Ecosystems Restoration - Rivers;2;Reinforcing;Improving water quality can aid in the restoration of river ecosystems, which in turn can help achieve the targets of terrestrial ecosystems restoration.;;;;;;;;;
16;Improve Soils Health;TA5.3,TA6.12,TA6.15,TA6.49,TA7.10,TA7.12,TA7.19,TA7.20;Marine Ecosystem Restoration;-1;Constraining;Improving soil health through sustainable practices can constrain marine ecosystem restoration by potentially reducing the amount of nutrients and sediments that enter the ocean.;;;;;;;;;
17;Forest Bioeconomy;TA6.54,TA6.55,TA6.56,TA6.57,TA6.60;Biodiversity Protection & Conservation;1;Enabling;Promoting sustainable forest bioeconomy can create conditions that further biodiversity protection and conservation by promoting the use of renewable resources and reducing the pressure on natural ecosystems.;;;;;;;;;
18;;;;;;;GHG Reduction;TA1.3,TA1.7,TA1.9,TA1.11,TA1.13,TA5.7;Critical Raw Materials - Extraction & Import;-1.0;The extraction and import of critical raw materials can be constrained by the reduction of GHG emissions, as some of these materials may be associated with high emissions during their production and transportation. This could limit the options for achieving some of the GHG reduction targets, such as TA1.9, which aims to reduce emissions from industrial processes.;;;;
19;;;;;;;GHG Reduction - Transports;TA1.10,TA4.10,TA4.12,TA4.15,TA4.16,TA4.17;Waste Reduction - Plastic & Packaging;1.0;The reduction of GHG emissions from transportation can be enabled by the reduction of plastic and packaging waste, as this can lead to a decrease in the production of new plastics and the associated emissions. This connection is particularly relevant for targets like TA1.10, which aims to reduce emissions from the transportation sector, and TA4.12, which focuses on reducing GHG intensity in the maritime sector.;;;;
20;;;;;;;GHG Removal;TA7.8;Net-Zero Technology - Manufacturing;2.0;The development of net-zero technologies can reinforce the removal of GHG emissions from the atmosphere, as these technologies can be used to capture and utilize CO2. This connection is particularly relevant for targets like TA7.8, which aims to remove GHG emissions through technological means.;;;;
21;;;;;;;GHG Reduction - Buildings;TA1.15;Circularity/Recycling - Municipal Waste;1.0;The reduction of GHG emissions from buildings can be enabled by the adoption of circular economy practices in the construction sector, such as recycling and reuse of materials. This connection is particularly relevant for targets like TA1.15, which aims to reduce emissions from buildings.;;;;
22;;;;;;;GHG Reduction - Transports;TA1.10,TA4.10,TA4.12,TA4.15,TA4.16,TA4.17;Circularity/Recycling - Critical Raw Materials - Batteries Recycling;2.0;The reduction of GHG emissions from transportation can be reinforced by the recycling and reuse of critical raw materials, such as those used in batteries for electric vehicles. This connection is particularly relevant for targets like TA1.10, which aims to reduce emissions from the transportation sector, and TA4.12, which focuses on reducing GHG intensity in the maritime sector.;;;;
23;;;;;;;GHG Reduction;TA1.3,TA1.7,TA1.9,TA1.11,TA1.13,TA5.7;;;;Energy Efficiency;+;3.0;GHG reduction targets can also reinforce Energy Efficiency targets, as improving energy efficiency is often a key strategy for reducing energy consumption and subsequent greenhouse gas emissions. This connection is reinforcing, as energy efficiency measures can aid in the achievement of GHG reduction goals.
24;;;;;;;Improve Air Quality;TA2.17,TA2.22,TA2.23,TA7.8;;;;Renewable Energy;+;2.0;Improving air quality can be aided by the increased use of renewable energy sources, which typically produce little to no air pollution. This connection is reinforcing, as renewable energy can help reduce air pollution from fossil fuels.
25;;;;;;;Improve Water Quality;TA7.1,TA7.7,TA7.6;;;;Renewable Energy - Hydrogen Production;+;1.0;Improving water quality can be enabled by the use of renewable energy sources for hydrogen production, which can help reduce pollution from industrial processes. This connection is enabling, as the use of renewable energy for hydrogen production can create conditions that further improve water quality.
26;;;;;;;Improve Soils Health;TA5.3,TA6.12,TA6.15,TA6.49,TA7.10,TA7.12,TA7.19,TA7.20;;;;Energy Efficiency - Buildings;+;1.0;Improving soil health can be enabled by energy efficiency measures in buildings, which can reduce the energy needed for heating and cooling, subsequently reducing the demand for fossil fuels and the associated environmental impacts. This connection is enabling, as energy-efficient buildings can create conditions that further improve soil health.
27;;;;;;;Noise Reduction;TA7.17;;;;Social Security - Energy;+;1.0;Reducing noise pollution can be enabled by the use of renewable energy sources and energy-efficient technologies, which can help reduce noise from energy generation and consumption. This connection is enabling, as the use of renewable energy and energy-efficient technologies can create conditions that further reduce noise pollution.
28;;;;;;;Social Security - Sanitation;TA7.1,TA7.3,TA7.9;;;;Renewable Energy - Solar;+;1.0;Improving social security through sanitation can be enabled by the use of renewable energy sources, such as solar power, for water treatment and sanitation systems. This connection is enabling, as the use of renewable energy can create conditions that further improve sanitation and social security.
29;GHG Reduction;TA1.3,TA1.7,TA1.9,TA1.11,TA1.13,TA5.7;Improve Air Quality;2;The reduction of greenhouse gas emissions can lead to improved air quality by decreasing the amount of pollutants released into the atmosphere, which in turn can aid in achieving better air quality.; ;;;;;;;;;
30;GHG Reduction;TA1.3,TA1.7,TA1.9,TA1.11,TA1.13,TA5.7;Improve Water Quality;1;Reducing GHG emissions can create conditions that further improve water quality by decreasing the amount of pollutants that enter water bodies, enabling better water management practices.; ;;;;;;;;;
31;Biofuels;TA4.1,TA4.18,TA4.7;Improve Air Quality;-1;The production and use of biofuels can constrain air quality improvement efforts due to the potential release of pollutants during production and combustion, limiting options for achieving better air quality.; ;;;;;;;;;
32;Biofuels;TA4.1,TA4.18,TA4.7;Improve Soils Health;-1;Biofuel production can limit soil health improvement efforts by competing with food crops for land use and potentially leading to soil degradation, constraining soil health restoration.; ;;;;;;;;;
33;Net-Zero Technology - Road Vehicles;TA4.13,TA4.22,TA4.25,TA4.26,TA4.27,TA4.28,TA4.29,TA4.44,TA4.45,TA4.55;Improve Air Quality;3;The transition to net-zero technology in road vehicles is inextricably linked to improving air quality, as it directly reduces emissions from transportation, making it impossible to achieve significant air quality improvements without this transition.; ;;;;;;;;;
34;Net-Zero Technology - Road Vehicles;TA4.13,TA4.22,TA4.25,TA4.26,TA4.27,TA4.28,TA4.29,TA4.44,TA4.45,TA4.55;Improve Water Quality;1;The reduction of emissions from road vehicles can create conditions that further improve water quality by decreasing the amount of pollutants that enter water bodies, enabling better water management practices.; ;;;;;;;;;
35;Net-Zero Technology - Maritime Transport;TA4.33,TA4.34,TA4.45,TA4.57,TA4.58;Improve Air Quality;2;The adoption of net-zero technologies in maritime transport can aid in achieving better air quality by reducing emissions from shipping, reinforcing air quality improvement efforts.; ;;;;;;;;;
36;Net-Zero Technology - Aviation;TA4.32,TA4.46;Improve Air Quality;2;The development and use of net-zero technologies in aviation can aid in achieving better air quality by reducing emissions from air travel, reinforcing air quality improvement efforts.; ;;;;;;;;;
37;Hydrogen Distribution;TA4.23,TA4.30,TA4.31;Improve Air Quality;1;The use of hydrogen as a clean energy carrier can create conditions that further improve air quality by providing an alternative to fossil fuels and reducing emissions, enabling better air quality management.; ;;;;;;;;;
38;Urban Mobility;TA4.54;Improve Air Quality;1;Improving urban mobility through sustainable transportation options can create conditions that further improve air quality by reducing the number of private vehicles on the road and promoting cleaner transportation methods.; ;;;;;;;;;
39;Transport Logistics;TA4.11,TA4.36,TA4.37,TA4.39,TA4.43,TA4.50,TA4.51,TA4.56;Improve Air Quality;1;The optimization of transport logistics can create conditions that further improve air quality by reducing the number of vehicles on the road and promoting more efficient transportation methods, enabling better air quality management.; ;;;;;;;;;
40;Other Low-Carbon Fuels;TA4.4,TA4.5,TA4.6;Improve Air Quality;1;The development and use of other low-carbon fuels can create conditions that further improve air quality by providing alternatives to fossil fuels and reducing emissions, enabling better air quality management.; ;;;;;;;;;
41;Rail;TA4.37,TA4.38,TA4.40;Improve Air Quality;2;The promotion of rail transport can aid in achieving better air quality by reducing the reliance on more polluting modes of transportation, reinforcing air quality improvement efforts.; ;;;;;;;;;
42;Social Security - Sanitation;TA5.3,TA5.16,TA5.17,TA5.18,TA5.24;Improve Water Quality;2;Improving sanitation and social security can aid in achieving better water quality by reducing the amount of waste that enters water bodies and promoting better hygiene practices, reinforcing water quality improvement efforts.; ;;;;;;;;;
43;Social Security - Sanitation;TA5.3,TA5.16,TA5.17,TA5.18,TA5.24;Improve Soils Health;1;The improvement of sanitation and social security can create conditions that further improve soil health by reducing the amount of waste that enters the soil and promoting better waste management practices, enabling better soil conservation.; ;;;;;;;;;
44;Noise Reduction;TA7.17;Improve Air Quality;-1;Efforts to reduce noise pollution can constrain air quality improvement efforts by potentially leading to increased use of noise-reducing materials or technologies that have negative environmental impacts, limiting options for achieving better air quality.; ;;;;;;;;;
45;Improve Soils Health;TA5.3,TA6.12,TA6.15,TA6.49,TA7.10,TA7.12,TA7.19,TA7.20;Improve Air Quality;1;The improvement of soil health can create conditions that further improve air quality by reducing the amount of pollutants that enter the atmosphere through soil erosion and promoting better land management practices, enabling better air quality management.; ;;;;;;;;;
46;Improve Soils Health;TA5.3,TA6.12,TA6.15,TA6.49,TA7.10,TA7.12,TA7.19,TA7.20;Improve Water Quality;2;The improvement of soil health is inextricably linked to improving water quality, as healthy soils can filter and retain water, reducing the amount of pollutants that enter water bodies and promoting better water management practices.; ;;;;;;;;;
47;Improve Water Quality;TA5.8,TA7.1,TA7.4,TA7.5,TA7.6,TA7.7,TA7.9;Improve Air Quality;2;The improvement of water quality can aid in achieving better air quality by reducing the amount of pollutants that evaporate from water bodies and enter the atmosphere, reinforcing air quality improvement efforts.; ;;;;;;;;;
48;Improve Water Quality;TA5.8,TA7.1,TA7.4,TA7.5,TA7.6,TA7.7,TA7.9;Improve Soils Health;1;The improvement of water quality can create conditions that further improve soil health by reducing the amount of pollutants that enter the soil through water and promoting better irrigation practices, enabling better soil conservation.; ;;;;;;;;;
49;Improve Air Quality;TA7.13,TA7.16,TA7.22,TA7.5;Improve Water Quality;2;The improvement of air quality is inextricably linked to improving water quality, as reducing air pollutants can decrease the amount of pollutants that enter water bodies, promoting better water management practices.; ;;;;;;;;;
50;Improve Air Quality;TA7.13,TA7.16,TA7.22,TA7.5;Improve Soils Health;1;The improvement of air quality can create conditions that further improve soil health by reducing the amount of pollutants that enter the soil through atmospheric deposition and promoting better land management practices, enabling better soil conservation.; ;;;;;;;;;
51;Noise Reduction;TA7.17;Improve Soils Health;-1;Efforts to reduce noise pollution can constrain soil health improvement efforts by potentially leading to increased use of noise-reducing materials or technologies that have negative environmental impacts, limiting options for achieving better soil health.; ;;;;;;;;;
52;Social Security - Sanitation;TA7.1,TA7.3,TA7.9;Improve Air Quality;1;The improvement of sanitation and social security can create conditions that further improve air quality by reducing the amount of waste that enters the atmosphere and promoting better hygiene practices, enabling better air quality management.; ;;;;;;;;;
53;Social Security - Sanitation;TA7.1,TA7.3,TA7.9;Improve Water Quality;2;The improvement of sanitation and social security is inextricably linked to improving water quality, as reducing waste and promoting better hygiene practices can decrease the amount of pollutants that enter water bodies, promoting better water management practices.; ;;;;;;;;;
54;Social Security - Sanitation;TA7.1,TA7.3,TA7.9;Improve Soils Health;1;The improvement of sanitation and social security can create conditions that further improve soil health by reducing the amount of waste that enters the soil and promoting better waste management practices, enabling better soil conservation.;;;;;;;;;;
55;GHG Reduction;TA1.3,TA1.7,TA1.9,TA1.11,TA1.13,TA5.7;Terrestrial Ecosystems Restoration;2;The reduction of greenhouse gas emissions can aid in the restoration of terrestrial ecosystems by mitigating climate change, which can have a reinforcing effect on the health and biodiversity of these ecosystems.;;;;;;;;;;
56;GHG Reduction;TA1.3,TA1.7,TA1.9,TA1.11,TA1.13,TA5.7;Marine Ecosystem Restoration;2;Reducing GHG emissions can help mitigate ocean acidification and temperature increases, reinforcing the restoration of marine ecosystems.;;;;;;;;;;
57;Biofuels;TA4.1,TA4.18,TA4.7;Terrestrial Ecosystems Restoration - Agricultural Ecosystems;-1;The production of biofuels can compete with food crops for land use, potentially constraining the restoration of agricultural ecosystems.;;;;;;;;;;
58;Biofuels;TA4.1,TA4.18,TA4.7;Biodiversity Protection & Conservation;-1;Large-scale biofuel production can lead to habitat destruction and loss of biodiversity, constraining conservation efforts.;;;;;;;;;;
59;Net-Zero Technology - Road Vehicles;TA4.13,TA4.22,TA4.25,TA4.26,TA4.27,TA4.28,TA4.29,TA4.44,TA4.45,TA4.55;Urban Mobility;2;The development of net-zero technology for road vehicles can reinforce urban mobility by providing cleaner and more efficient transportation options.;;;;;;;;;;
60;Net-Zero Technology - Road Vehicles;TA4.13,TA4.22,TA4.25,TA4.26,TA4.27,TA4.28,TA4.29,TA4.44,TA4.45,TA4.55;Transport Logistics;2;Net-zero road vehicles can aid in reducing emissions from transport logistics, reinforcing efforts to make the sector more sustainable.;;;;;;;;;;
61;Hydrogen Distribution;TA4.23,TA4.30,TA4.31;Net-Zero Technology - Maritime Transport;2;Hydrogen distribution infrastructure can support the development of net-zero technologies for maritime transport, reinforcing the transition to cleaner fuels.;;;;;;;;;;
62;Hydrogen Distribution;TA4.23,TA4.30,TA4.31;Net-Zero Technology - Aviation;2;Similarly, hydrogen distribution can aid in the development of net-zero technologies for aviation, providing a cleaner alternative to traditional fuels.;;;;;;;;;;
63;Other Low-Carbon Fuels;TA4.4,TA4.5,TA4.6;Biodiversity Protection & Conservation - Fisheries;-1;The production and use of other low-carbon fuels can have unintended consequences on marine ecosystems, potentially constraining biodiversity conservation in fisheries.;;;;;;;;;;
64;Rail;TA4.37,TA4.38,TA4.40;Terrestrial Ecosystems Restoration;1;The development of rail infrastructure can enable the restoration of terrestrial ecosystems by providing a cleaner mode of transportation and reducing the need for fossil fuels.;;;;;;;;;;
65;Rail;TA4.37,TA4.38,TA4.40;Transport Logistics;2;Rail can reinforce transport logistics by offering a more efficient and environmentally friendly mode of freight transport.;;;;;;;;;;
66;Urban Mobility;TA4.54;Biodiversity Protection & Conservation - Urban Nature;2;Urban mobility initiatives can reinforce biodiversity conservation in urban areas by promoting green spaces and reducing pollution.;;;;;;;;;;
67;Transport Logistics;TA4.11,TA4.36,TA4.37,TA4.39,TA4.43,TA4.50,TA4.51,TA4.56;Terrestrial Ecosystems Restoration - Agricultural Ecosystems;1;Sustainable transport logistics can enable the restoration of agricultural ecosystems by reducing the environmental impact of transportation and promoting more efficient use of resources.;;;;;;;;;;
68;Improve Air Quality;TA4.47,TA7.13,TA7.16,TA7.22,TA7.5;GHG Reduction;2;The improvement of air quality can aid in the reduction of greenhouse gas emissions, as cleaner air can lead to more efficient energy use and reduced pollution, which in turn can support the achievement of GHG reduction targets.;;;;;;;;;;
69;Improve Water Quality;TA5.8,TA7.1,TA7.14, TA7.15;GHG Reduction;1;Better water quality can create conditions that support the reduction of GHG emissions, for example, by enabling more efficient water treatment processes that require less energy, thus indirectly contributing to GHG reduction.;;;;;;;;;;
70;Improve Soils Health;TA5.3,TA6.12,TA6.15,TA6.49,TA7.10,TA7.12,TA7.19,TA7.20;GHG Removal;2;Improving soil health can aid in the removal of GHG from the atmosphere, as healthy soils can act as significant carbon sinks, supporting the achievement of GHG removal targets.;;;;;;;;;;
71;Noise Reduction;TA7.17;Climate Resilience;1;Reducing noise pollution can create conditions that support climate resilience, for example, by protecting wildlife and ecosystems that play a crucial role in mitigating the effects of climate change, thus enabling better adaptation to its impacts.;;;;;;;;;;
72;Social Security - Sanitation;TA7.1,TA7.3,TA7.9;GHG Reduction - Buildings;1;Improving sanitation can create conditions that support the reduction of GHG emissions in buildings, for example, by reducing the need for energy-intensive water treatment and promoting more efficient use of resources in residential and commercial buildings.;;;;;;;;;;
73;Improve Soils Health;TA5.3,TA6.12,TA6.15,TA6.49,TA7.10,TA7.12,TA7.19,TA7.20;GHG Reduction;2;Improving soil health can aid in the reduction of GHG emissions, as healthy soils can support more efficient agricultural practices, reduce synthetic fertilizer use, and promote carbon sequestration, thus directly contributing to GHG reduction targets.;;;;;;;;;;
74;Improve Water Quality;TA5.8,TA7.1,TA7.14, TA7.15;GHG Reduction - Transports;1;Better water quality can create conditions that support the reduction of GHG emissions in the transport sector, for example, by enabling more efficient transportation of goods and people through improved waterways, thus indirectly contributing to GHG reduction in transports.;;;;;;;;;;
75;Forest Bioeconomy;TA1.10,TA1.11,TA4.10,TA4.12,TA4.15,TA4.16,TA4.17;GHG Reduction - Buildings;2;A sustainable forest bioeconomy can aid in the reduction of GHG emissions in buildings, for example, by providing renewable materials for construction and promoting the use of biomass energy, which can replace fossil fuels and support the achievement of GHG reduction targets in the building sector.;;;;;;;;;;
76;GHG Reduction;TA1.3,TA1.7,TA1.9,TA1.11,TA1.13,TA5.7;Renewable Energy;-2;The reduction of GHG emissions through the implementation of TA1.3, TA1.7, TA1.9, TA1.11, and TA1.13 may counteract the growth of renewable energy production, as it may lead to increased costs and reduced competitiveness of renewable energy sources.;The European Green Deal's focus on reducing GHG emissions may lead to a shift away from fossil fuels, which could negatively impact the development of renewable energy infrastructure.;;;;;;;;;
77;GHG Reduction;TA1.3,TA1.7,TA1.9,TA1.11,TA1.13,TA5.7;Energy Efficiency;2;The implementation of GHG reduction targets may reinforce energy efficiency measures, as reducing energy consumption is a key strategy for decreasing GHG emissions.;The reduction of GHG emissions through energy efficiency measures can lead to cost savings and increased competitiveness for businesses and industries.;;;;;;;;;
78;GHG Removal;TA4.10,TA4.12,TA4.15;Renewable Energy;-1;The implementation of GHG removal targets may constrain the development of renewable energy sources, as it may lead to increased competition for land and resources.;The use of land for GHG removal, such as afforestation, may limit the availability of land for renewable energy production, such as wind farms or solar panels.;;;;;;;;;
79;GHG Reduction - Buildings;TA1.15;Energy Efficiency - Buildings;3;The implementation of GHG reduction targets in buildings is indivisible from energy efficiency measures, as reducing energy consumption is a key strategy for decreasing GHG emissions in buildings.;The reduction of GHG emissions in buildings through energy efficiency measures can lead to cost savings and increased competitiveness for businesses and industries.;;;;;;;;;
80;GHG Reduction - Transports;TA1.10;Renewable Energy - Hydrogen Production;1;The implementation of GHG reduction targets in transportation may enable the development of renewable energy sources, such as hydrogen production, as a low-carbon alternative to fossil fuels.;The use of hydrogen as a transportation fuel can reduce GHG emissions and improve air quality, making it an attractive option for cities and countries looking to reduce their environmental impact.;;;;;;;;;
81;Climate Resilience;TA1.4,TA7.8;Renewable Energy;2;The implementation of climate resilience targets may reinforce the development of renewable energy sources, as climate-resilient infrastructure can support the integration of renewable energy into the grid.;The use of climate-resilient design and materials in renewable energy infrastructure can reduce the risk of damage from extreme weather events and improve the overall resilience of the energy system.;;;;;;;;;
82;GHG Reduction;TA1.3,TA1.7,TA1.9,TA1.11,TA1.13,TA5.7;Net-Zero Technology - Road Vehicles;2;The implementation of GHG reduction targets in the transportation sector can aid the development of net-zero technology for road vehicles, as it promotes the use of alternative fuels and encourages the adoption of cleaner transportation methods.;The connection between GHG reduction and net-zero technology for road vehicles is based on the shared goal of reducing emissions and promoting sustainable transportation.;;;;;;;;;
83;GHG Reduction;TA1.3,TA1.7,TA1.9,TA1.11,TA1.13,TA5.7;Biofuels;1;GHG reduction targets can create conditions that further the development of biofuels, as they encourage the use of alternative energy sources and promote sustainable land use.;The link between GHG reduction and biofuels is rooted in the need to reduce emissions from transportation and promote the use of renewable energy sources.;;;;;;;;;
84;GHG Reduction - Transports;TA1.10,TA4.10,TA4.12,TA4.15,TA4.16,TA4.17;Transport Logistics;2;The implementation of GHG reduction targets in the transportation sector can reinforce the development of sustainable transport logistics, as it promotes the use of cleaner transportation methods and encourages the adoption of more efficient supply chains.;The connection between GHG reduction in transportation and transport logistics is based on the shared goal of reducing emissions and promoting sustainable transportation practices.;;;;;;;;;
85;GHG Removal;TA1.12,TA7.8;Net-Zero Technology - Maritime Transport;1;GHG removal targets can create conditions that further the development of net-zero technology for maritime transport, as they encourage the use of alternative fuels and promote sustainable transportation methods.;The link between GHG removal and net-zero technology for maritime transport is rooted in the need to reduce emissions from transportation and promote the use of renewable energy sources.;;;;;;;;;
86;Climate Resilience;TA1.4,TA5.18,TA7.13,TA7.16,TA7.22;Urban Mobility;2;The implementation of climate resilience targets can aid the development of sustainable urban mobility, as it promotes the use of green infrastructure and encourages the adoption of climate-resilient transportation methods.;The connection between climate resilience and urban mobility is based on the shared goal of reducing the impact of climate change on urban areas and promoting sustainable transportation practices.;;;;;;;;;
87;GHG Reduction - Buildings;TA1.15,TA1.6,TA1.14;Hydrogen Distribution;1;GHG reduction targets in the building sector can create conditions that further the development of hydrogen distribution, as they encourage the use of alternative energy sources and promote sustainable building practices.;The link between GHG reduction in buildings and hydrogen distribution is rooted in the need to reduce emissions from buildings and promote the use of renewable energy sources.;;;;;;;;;
88;GHG Reduction;TA1.3,TA1.7,TA1.9,TA1.11,TA1.13,TA5.7;Waste Reduction - Municipal Waste;2;The reduction of GHG emissions can reinforce waste reduction efforts by promoting sustainable practices and reducing the environmental impact of waste management.;;;;;;;;;;
89;GHG Reduction;TA1.3,TA1.7,TA1.9,TA1.11,TA1.13,TA5.7;Circularity/Recycling - Municipal Waste;2;GHG reduction targets can aid in the development of circular economy practices, such as recycling and composting, which in turn can reduce waste sent to landfills and lower emissions.;;;;;;;;;;
90;Net-Zero Technology - Road Vehicles;TA4.13,TA4.22,TA4.25,TA4.26,TA4.27,TA4.28,TA4.29,TA4.40,TA4.44,TA4.45,TA4.55;Waste Reduction - Plastic & Packaging;1;The promotion of zero-emission vehicles can enable a reduction in plastic waste from vehicle manufacturing and packaging, as companies may adopt more sustainable materials and designs.;;;;;;;;;;
91;Net-Zero Technology - Road Vehicles;TA4.13,TA4.22,TA4.25,TA4.26,TA4.27,TA4.28,TA4.29,TA4.40,TA4.44,TA4.45,TA4.55;Circularity/Recycling - Critical Raw Materials - Batteries Recycling;2;The development of zero-emission vehicles can drive the demand for recycled critical raw materials, such as lithium and cobalt, which are essential for battery production, thus reinforcing recycling efforts.;;;;;;;;;;
92;Biofuels;TA4.1,TA4.18,TA4.7;Waste Reduction - Food Waste;1;The production of biofuels from organic waste can help reduce food waste by utilizing waste materials that would otherwise be discarded, thus enabling a more circular economy.;;;;;;;;;;
93;Other Low-Carbon Fuels;TA4.4,TA4.5,TA4.6;Circularity/Recycling - Plastic & Packaging;1;The use of low-carbon fuels, such as those derived from waste plastics, can support the reduction of plastic waste and promote a more circular economy in the packaging sector.;;;;;;;;;;
94;Hydrogen Distribution;TA4.23,TA4.30,TA4.31;Critical Raw Materials - Extraction & Import;2;The development of hydrogen distribution infrastructure can drive the demand for critical raw materials, such as platinum and iridium, which are used in fuel cells and electrolyzers, thus reinforcing the extraction and import of these materials.;;;;;;;;;;
95;Urban Mobility;TA4.54;Waste Reduction - Municipal Waste;1;The promotion of active mobility, such as cycling and walking, can reduce the amount of waste generated by transportation, including plastic waste from packaging and food waste from single-use items.;;;;;;;;;;
96;Transport Logistics;TA4.11,TA4.36,TA4.37,TA4.39,TA4.43,TA4.50,TA4.51,TA4.56;Circularity/Recycling - Municipal Waste;2;The optimization of transport logistics can aid in the reduction of waste by promoting more efficient packaging, reducing food waste through better supply chain management, and encouraging the use of recyclable materials.;;;;;;;;;;
97;Rail;TA4.37,TA4.38,TA4.40;Waste Reduction - Municipal Waste;1;The development of rail infrastructure can support the reduction of waste by promoting the use of more efficient and environmentally friendly transportation modes, which can lead to a decrease in packaging waste and emissions.;;;;;;;;;;
