source_policydoc;impact_policydoc;impact_type;impact_weight;justification
On packaging and packaging waste;On energy efficiency and amending Regulation (EU) 2023/955 (recast);-;1;The On packaging and packaging waste policy document can constrain the On energy efficiency and amending Regulation (EU) 2023/955 (recast) policy document by promoting waste reduction, which may lead to increased packaging waste from energy-efficient technologies.
On packaging and packaging waste;On the Energy Performance of Buildings (recast);-;1;The On packaging and packaging waste policy document can constrain the On the Energy Performance of Buildings (recast) policy document by promoting waste reduction, which may lead to increased packaging waste from building renovation and energy efficiency measures.
On packaging and packaging waste;Delivering on the EU offshore renewable energy ambitions;-;1;The On packaging and packaging waste policy document can constrain the Delivering on the EU offshore renewable energy ambitions policy document by promoting waste reduction, which may lead to increased packaging waste from offshore renewable energy technologies.
On packaging and packaging waste;EU Solar Energy Strategy;-;1;The On packaging and packaging waste policy document can constrain the EU Solar Energy Strategy policy document by promoting waste reduction, which may lead to increased packaging waste from solar energy technologies.
On the Energy Performance of Buildings (recast);A Farm to Fork Strategy;+;1;The On the Energy Performance of Buildings (recast) policy document can enable the A Farm to Fork Strategy policy document by promoting energy efficiency and reducing energy consumption, which can aid in achieving the energy efficiency targets in agriculture.
On the Energy Performance of Buildings (recast);Clean, affordable and secure energy;+;2;The On the Energy Performance of Buildings (recast) policy document can reinforce the Clean, affordable and secure energy policy document by promoting energy efficiency and reducing energy consumption, which can aid in achieving the energy efficiency targets.
On the Energy Performance of Buildings (recast);On energy efficiency and amending Regulation (EU) 2023/955 (recast);+;2;The On the Energy Performance of Buildings (recast) policy document can reinforce the On energy efficiency and amending Regulation (EU) 2023/955 (recast) policy document by promoting energy efficiency and reducing energy consumption, which can aid in achieving the energy efficiency targets in buildings.
On the Energy Performance of Buildings (recast);On packaging and packaging waste;-;1;The On the Energy Performance of Buildings (recast) policy document can constrain the On packaging and packaging waste policy document by promoting energy efficiency, which may lead to increased packaging waste from building renovation and energy efficiency measures.
On the Energy Performance of Buildings (recast);Delivering on the EU offshore renewable energy ambitions;+;1;The On the Energy Performance of Buildings (recast) policy document can enable the Delivering on the EU offshore renewable energy ambitions policy document by promoting energy efficiency and reducing energy consumption, which can aid in achieving the renewable energy targets.
On the Energy Performance of Buildings (recast);EU Solar Energy Strategy;+;1;The On the Energy Performance of Buildings (recast) policy document can enable the EU Solar Energy Strategy policy document by promoting energy efficiency and reducing energy consumption, which can aid in achieving the renewable energy targets.
Delivering on the EU offshore renewable energy ambitions;A Farm to Fork Strategy;+;1;The Delivering on the EU offshore renewable energy ambitions policy document can enable the A Farm to Fork Strategy policy document by promoting offshore renewable energy sources, which can aid in achieving the renewable energy targets.
Delivering on the EU offshore renewable energy ambitions;Clean, affordable and secure energy;+;2;The Delivering on the EU offshore renewable energy ambitions policy document can reinforce the Clean, affordable and secure energy policy document by promoting offshore renewable energy sources, which can aid in achieving the renewable energy targets.
Delivering on the EU offshore renewable energy ambitions;On energy efficiency and amending Regulation (EU) 2023/955 (recast);+;1;The Delivering on the EU offshore renewable energy ambitions policy document can enable the On energy efficiency and amending Regulation (EU) 2023/955 (recast) policy document by promoting offshore renewable energy sources, which can aid in achieving the energy efficiency targets.
Delivering on the EU offshore renewable energy ambitions;On packaging and packaging waste;-;1;The Delivering on the EU offshore renewable energy ambitions policy document can constrain the On packaging and packaging waste policy document by promoting offshore renewable energy sources, which may lead to increased packaging waste from offshore renewable energy technologies.
Delivering on the EU offshore renewable energy ambitions;On the Energy Performance of Buildings (recast);+;1;The Delivering on the EU offshore renewable energy ambitions policy document can enable the On the Energy Performance of Buildings (recast) policy document by promoting offshore renewable energy sources, which can aid in achieving the renewable energy targets.
Delivering on the EU offshore renewable energy ambitions;EU Solar Energy Strategy;+;1;The Delivering on the EU offshore renewable energy ambitions policy document can enable the EU Solar Energy Strategy policy document by promoting offshore renewable energy sources, which can aid in achieving the renewable energy targets.
EU Solar Energy Strategy;A Farm to Fork Strategy;+;1;The EU Solar Energy Strategy policy document can enable the A Farm to Fork Strategy policy document by promoting solar energy sources, which can aid in achieving the renewable energy targets.
EU Solar Energy Strategy;Clean, affordable and secure energy;+;2;The EU Solar Energy Strategy policy document can reinforce the Clean, affordable and secure energy policy document by promoting solar energy sources, which can aid in achieving the renewable energy targets.
EU Solar Energy Strategy;On energy efficiency and amending Regulation (EU) 2023/955 (recast);+;1;The EU Solar Energy Strategy policy document can enable the On energy efficiency and amending Regulation (EU) 2023/955 (recast) policy document by promoting solar energy sources, which can aid in achieving the energy efficiency targets.
EU Solar Energy Strategy;On packaging and packaging waste;-;1;The EU Solar Energy Strategy policy document can constrain the On packaging and packaging waste policy document by promoting solar energy sources, which may lead to increased packaging waste from solar energy technologies.
EU Solar Energy Strategy;On the Energy Performance of Buildings (recast);+;1;The EU Solar Energy Strategy policy document can enable the On the Energy Performance of Buildings (recast) policy document by promoting solar energy sources, which can aid in achieving the renewable energy targets.
EU Solar Energy Strategy;Delivering on the EU offshore renewable energy ambitions;+;1;The EU Solar Energy Strategy policy document can enable the Delivering on the EU offshore renewable energy ambitions policy document by promoting solar energy sources, which can aid in achieving the renewable energy targets.
