source_policydoc;impact_policydoc;impact_type;impact_weight;justification
Amending Regulation (EU) 2019/1242;Directive (EU) 2023/1805;+2;The target of reducing greenhouse gas emissions from the land transport sector can reinforce the target of reducing greenhouse gas emissions from maritime transport, as both targets aim to reduce greenhouse gas emissions.
Directive (EU) 2023/1805;On the quality of water intended for human consumption;-1;The implementation of the target of reducing greenhouse gas emissions from maritime transport may constrain the options for water pollution reduction, as the focus on low-carbon fuels may lead to increased water pollution from new energy sources.
On the quality of water intended for human consumption;On the use of renewable and low-carbon fuels in maritime transport and amending Directive 2009/28/EC;+2;The target of reducing pollution from water bodies can reinforce the target of increasing the use of renewable fuels in maritime transport, as both targets aim to reduce greenhouse gas emissions.
On the use of renewable and low-carbon fuels in maritime transport and amending Directive 2009/28/EC;Directive (EU) 2023/2413;+1;The target of increasing the use of renewable fuels in maritime transport can enable the achievement of the target of increasing the use of renewable fuels of non-biological origin in the transport sector, as both targets aim to reduce greenhouse gas emissions.
Directive (EU) 2023/2413;On the quality of water intended for human consumption;-1;The implementation of the target of increasing the use of renewable fuels of non-biological origin in the transport sector may constrain the options for water pollution reduction, as the focus on low-carbon fuels may lead to increased water pollution from new energy sources.
On the quality of water intended for human consumption;Sustainable and Smart Mobility Strategy;+1;The implementation of the target of reducing pollution from water bodies can enable the achievement of the target of reducing greenhouse gas emissions from the transport sector, as clean water is essential for ecosystem health.
Sustainable and Smart Mobility Strategy;Directive (EU) 2023/1805;+2;The target of reducing greenhouse gas emissions from the transport sector can reinforce the target of reducing greenhouse gas emissions from maritime transport, as both targets aim to reduce greenhouse gas emissions.
Directive (EU) 2023/1805;On the quality of water intended for human consumption;-1;The implementation of the target of reducing greenhouse gas emissions from maritime transport may constrain the options for water pollution reduction, as the focus on low-carbon fuels may lead to increased water pollution from new energy sources.
On the quality of water intended for human consumption;Hydrogen Strategy;+1;The implementation of the target of reducing pollution from water bodies can enable the achievement of the target of increasing the use of renewable energy sources, as clean water is essential for ecosystem health.
Hydrogen Strategy;Directive (EU) 2023/2413;+2;The target of increasing the use of renewable energy sources can reinforce the target of increasing the use of renewable fuels of non-biological origin in the transport sector, as both targets aim to reduce greenhouse gas emissions.
Directive (EU) 2023/2413;On the quality of water intended for human consumption;-1;The implementation of the target of increasing the use of renewable fuels of non-biological origin in the transport sector may constrain the options for water pollution reduction, as the focus on low-carbon fuels may lead to increased water pollution from new energy sources.
On the quality of water intended for human consumption;The new EU Urban Mobility Framework;+1;The implementation of the target of reducing pollution from water bodies can enable the achievement of the target of reducing greenhouse gas emissions from the transport sector, as clean water is essential for ecosystem health.
The new EU Urban Mobility Framework;Directive (EU) 2023/1805;+2;The target of reducing greenhouse gas emissions from the transport sector can reinforce the target of reducing greenhouse gas emissions from maritime transport, as both targets aim to reduce greenhouse gas emissions.
Directive (EU) 2023/1805;On the quality of water intended for human consumption;-1;The implementation of the target of reducing greenhouse gas emissions from maritime transport may constrain the options for water pollution reduction, as the focus on low-carbon fuels may lead to increased water pollution from new energy sources.
On the quality of water intended for human consumption;Aviation Fuel - Regulation (EU) 2023/2405;+1;The implementation of the target of reducing pollution from water bodies can enable the achievement of the target of reducing greenhouse gas emissions from aviation, as clean water is essential for ecosystem health.
Aviation Fuel - Regulation (EU) 2023/2405;Directive (EU) 2023/2413;+2;The target of reducing greenhouse gas emissions from aviation can reinforce the target of increasing the use of renewable fuels of non-biological origin in the transport sector, as both targets aim to reduce greenhouse gas emissions.
Directive (EU) 2023/2413;On the quality of water intended for human consumption;-1;The implementation of the target of increasing the use of renewable fuels of non-biological origin in the transport sector may constrain the options for water pollution reduction, as the focus on low-carbon fuels may lead to increased water pollution from new energy sources.
On the quality of water intended for human consumption;On the deployment of alternative fuels infrastructure;+2;The target of reducing pollution from water bodies can reinforce the target of increasing the use of alternative fuels in transport, as both targets aim to reduce greenhouse gas emissions.
On the deployment of alternative fuels infrastructure;Directive (EU) 2023/2413;+1;The target of increasing the use of alternative fuels in transport can enable the achievement of the target of increasing the use of renewable fuels of non-biological origin in the transport sector, as both targets aim to reduce greenhouse gas emissions.
Directive (EU) 2023/2413;On the quality of water intended for human consumption;-1;The implementation of the target of increasing the use of renewable fuels of non-biological origin in the transport sector may constrain the options for water pollution reduction, as the focus on low-carbon fuels may lead to increased water pollution from new energy sources.
On the quality of water intended for human consumption;Amending Council Directive 92/106/EEC;+1;The implementation of the target of reducing pollution from water bodies can enable the achievement of the target of reducing greenhouse gas emissions from combined transport, as clean water is essential for ecosystem health.
Amending Council Directive 92/106/EEC;Directive (EU) 2023/1805;+2;The target of reducing greenhouse gas emissions from combined transport can reinforce the target of reducing greenhouse gas emissions from maritime transport, as both targets aim to reduce greenhouse gas emissions.
Directive (EU) 2023/1805;On the quality of water intended for human consumption;-1;The implementation of the target of reducing greenhouse gas emissions from maritime transport may constrain the options for water pollution reduction, as the focus on low-carbon fuels may lead to increased water pollution from new energy sources.
On the quality of water intended for human consumption;The Clean Industrial Deal - European Commission;+2;The target of reducing pollution from water bodies can reinforce the target of increasing the use of renewable and low-carbon fuels in industry, as both targets aim to reduce greenhouse gas emissions.
The Clean Industrial Deal - European Commission;Directive (EU) 2023/2413;+1;The target of increasing the use of renewable and low-carbon fuels in industry can enable the achievement of the target of increasing the use of renewable fuels of non-biological origin in the transport sector, as both targets aim to reduce greenhouse gas emissions.
Directive (EU) 2023/2413;On the quality of water intended for human consumption;-1;The implementation of the target of increasing the use of renewable fuels of non-biological origin in the transport sector may constrain the options for water pollution reduction, as the focus on low-carbon fuels may lead to increased water pollution from new energy sources.
On the quality of water intended for human consumption;A European strategy for a climate-neutral and sustainable food system;+1;The implementation of the target of reducing pollution from water bodies can enable the achievement of the target of reducing greenhouse gas emissions from agriculture, as clean water is essential for ecosystem health.
A European strategy for a climate-neutral and sustainable food system;Directive (EU) 2023/2413;+2;The target of reducing greenhouse gas emissions from agriculture can reinforce the target of increasing the use of renewable fuels of non-biological origin in the transport sector, as both targets aim to reduce greenhouse gas emissions.
Directive (EU) 2023/2413;On the quality of water intended for human consumption;-1;The implementation of the target of increasing the use of renewable fuels of non-biological origin in the transport sector may constrain the options for water pollution reduction, as the focus on low-carbon fuels may lead to increased water pollution from new energy sources.
On the quality of water intended for human consumption;Sustainable and Smart Mobility Strategy;+2;The target of reducing pollution from water bodies can reinforce the target of increasing the use of alternative fuels in transport, as both targets aim to reduce greenhouse gas emissions.
Sustainable and Smart Mobility Strategy;Directive (EU) 2023/2413;+1;The target of increasing the use of alternative fuels in transport can enable the achievement of the target of increasing the use of renewable fuels of non-biological origin in the transport sector, as both targets aim to reduce greenhouse gas emissions.
Directive (EU) 2023/2413;On the quality of water intended for human consumption;-1;The implementation of the target of increasing the use of renewable fuels of non-biological origin in the transport sector may constrain the options for water pollution reduction, as the focus on low-carbon fuels may lead to increased water pollution from new energy sources.
