target_code;target_content;thematic_area;sub_theme;justification
TA4.10;EU fisheries are encouraged to continue the positive trend, as observed for the period 2009-2019, towards reducing fuel intensity by reducing the fossil-fuel consumption per kg of landed product for at least an additional 15% for the period 2019-2030. Energy Transition of the EU Fisheries and Aquaculture sector;TA4_Sustainable and smart mobility;Fossil Fuel Reduction;This target contributes to fossil fuel reduction by promoting the use of alternative energy sources in fisheries.
TA5.12;Genetic biodiversity of food production systems: Secure and ensure access to a range of quality seeds for plant varieties in order to adapt to the pressures of climate change.;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Sustainable Agriculture;This target is assigned to Sustainable Agriculture as it aims to secure access to quality seeds for plant varieties.
TA5.12;Genetic biodiversity of food production systems: Secure and ensure access to a range of quality seeds for plant varieties in order to adapt to the pressures of climate change.;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Biodiversity Conservation;This target contributes to biodiversity conservation by promoting the use of diverse plant varieties.
TA5.21;Digitalisation and knowledge transfer. Ensure access to fast broadband to all farmers and all rural areas to achieve the objective of 100% access by 2025 (enabler for jobs, businesses, investments, improvement in quality of life in rural areas and enabler to mainstream precision farming and use of artificial intelligence;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Digitalization;This target is assigned to Digitalization as it aims to ensure access to fast broadband for farmers and rural areas.
TA5.21;Digitalisation and knowledge transfer. Ensure access to fast broadband to all farmers and all rural areas to achieve the objective of 100% access by 2025 (enabler for jobs, businesses, investments, improvement in quality of life in rural areas and enabler to mainstream precision farming and use of artificial intelligence;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Precision Farming;This target contributes to precision farming by promoting the use of digital technologies.
TA2.9;Member States shall collectively ensure that the share of energy from renewable sources in the Union’s gross final consumption of energy in 2030 is at least 42.5%. RED III (Directive (EU) 2023/2413);TA2_Clean, affordable and secure energy;Renewable Energy;This target is assigned to Renewable Energy as it aims to increase the share of energy from renewable sources.
TA2.9;Member States shall collectively ensure that the share of energy from renewable sources in the Union’s gross final consumption of energy in 2030 is at least 42.5%. RED III (Directive (EU) 2023/2413);TA2_Clean, affordable and secure energy;Energy Transition;This target contributes to energy transition by promoting the use of renewable energy sources.
TA7.11;Improve water quality by reducing microplastics released into the environment (by 30%);TA7_Towards a zero-pollution ambition for a toxic free environment;Water Pollution Reduction;This target is assigned to Water Pollution Reduction as it aims to reduce microplastics in the environment.
TA7.11;Improve water quality by reducing microplastics released into the environment (by 30%);TA7_Towards a zero-pollution ambition for a toxic free environment;Microplastic Reduction;This target contributes to microplastic reduction by promoting the reduction of microplastics in the environment.
TA4.33;Member States shall ensure that at least one installation providing shore-side electricity supply to inland waterway vessels is deployed at all TEN-T core inland waterway ports by 1 January 2025, at least one installation providing shore-side electricity supply to inland waterway vessels is deployed at all TEN-T comprehensive inland waterway ports by 1 January 2030. Regulation (EU) 2023/1804;TA4_Sustainable and smart mobility;Sustainable Transportation;This target is assigned to Sustainable Transportation as it aims to promote the use of shore-side electricity supply for inland waterway vessels.
TA4.33;Member States shall ensure that at least one installation providing shore-side electricity supply to inland waterway vessels is deployed at all TEN-T core inland waterway ports by 1 January 2025, at least one installation providing shore-side electricity supply to inland waterway vessels is deployed at all TEN-T comprehensive inland waterway ports by 1 January 2030. Regulation (EU) 2023/1804;TA4_Sustainable and smart mobility;Electric Vehicle Charging;This target contributes to electric vehicle charging by promoting the deployment of shore-side electricity supply installations.
TA2.3;Member States shall ensure that the contribution of renewable fuels of non-biological origin used for final energy and non-energy purposes shall be at least 42% of the hydrogen used for final energy and non-energy purposes in industry by 2030, and 60% by 2035. RED III (Directive (EU) 2023/2413);TA2_Clean, affordable and secure energy;Renewable Energy;This target is assigned to Renewable Energy as it aims to increase the contribution of renewable fuels of non-biological origin.
TA2.3;Member States shall ensure that the contribution of renewable fuels of non-biological origin used for final energy and non-energy purposes shall be at least 42% of the hydrogen used for final energy and non-energy purposes in industry by 2030, and 60% by 2035. RED III (Directive (EU) 2023/2413);TA2_Clean, affordable and secure energy;Hydrogen Production;This target contributes to hydrogen production by promoting the use of renewable fuels of non-biological origin.
TA4.6;Of the SAF targets reported above, synthetic aviation fuels should represent a minimum share of 1.2% from 2030, 5% from 2035, 10% from 2034, 15% from 2045, and 35% from 2050. Regulation (EU) 2023/2405;TA4_Sustainable and smart mobility;Sustainable Aviation;This target is assigned to Sustainable Aviation as it aims to promote the use of synthetic aviation fuels.
TA4.6;Of the SAF targets reported above, synthetic aviation fuels should represent a minimum share of 1.2% from 2030, 5% from 2035, 10% from 2034, 15% from 2045, and 35% from 2050. Regulation (EU) 2023/2405;TA4_Sustainable and smart mobility;Alternative Fuels;This target contributes to alternative fuels by promoting the use of synthetic aviation fuels.
TA1.10;ETS2. Contribution of the buildings and road transport sectors of 43% emission reductions by 2030 compared to 2005 and of the additional sectors, a combined cost-efficient contribution of 42% emission reductions by 2030 compared to 2005 Directive (EU) 2023/959;TA1_Climate ambition;Emission Reduction;This target is assigned to Emission Reduction as it aims to reduce emissions from buildings and road transport sectors.
TA1.10;ETS2. Contribution of the buildings and road transport sectors of 43% emission reductions by 2030 compared to 2005 and of the additional sectors, a combined cost-efficient contribution of 42% emission reductions by 2030 compared to 2005 Directive (EU) 2023/959;TA1_Climate ambition;Climate Action;This target contributes to climate action by promoting emission reductions.
TA4.29;By 31 December 2030, in each urban node publicly accessible recharging points dedicated to heavy-duty electric vehicles with an aggregated power output of at least 1 800 kW are deployed, provided by recharging stations with an individual power output of at least 150 kW. Regulation (EU) 2023/180;TA4_Sustainable and smart mobility;Electric Vehicle Charging;This target is assigned to Electric Vehicle Charging as it aims to promote the deployment of publicly accessible recharging points for heavy-duty electric vehicles.
TA4.29;By 31 December 2030, in each urban node publicly accessible recharging points dedicated to heavy-duty electric vehicles with an aggregated power output of at least 1 800 kW are deployed, provided by recharging stations with an individual power output of at least 150 kW. Regulation (EU) 2023/180;TA4_Sustainable and smart mobility;Sustainable Transportation;This target contributes to sustainable transportation by promoting the use of electric vehicles.
TA2.6;Energy demand to be covered by solar heat and geothermal should at least triple (rate is currently at 1.5%) EU Solar Energy Strategy;TA2_Clean, affordable and secure energy;Solar Energy;This target is assigned to Solar Energy as it aims to increase the energy demand covered by solar heat and geothermal.
TA2.6;Energy demand to be covered by solar heat and geothermal should at least triple (rate is currently at 1.5%) EU Solar Energy Strategy;TA2_Clean, affordable and secure energy;Renewable Energy;This target contributes to renewable energy by promoting the use of solar heat and geothermal.
TA2.24;Each Member State shall ensure that at least 3% of the total floor area of heated and/or cooled buildings (of buildings which have a total useful floor area of over 250 m2 and are not nearly-zero energy buildings) that are owned by public bodies is renovated each year to be transformed into at least nearly zero-energy buildings or zero-emission buildings in accordance with Article 9 of Directive 2010/31/EU. Directive (EU) 2023/1791;TA2_Clean, affordable and secure energy;Building Renovation;This target is assigned to Building Renovation as it aims to promote the renovation of public buildings.
TA2.24;Each Member State shall ensure that at least 3% of the total floor area of heated and/or cooled buildings (of buildings which have a total useful floor area of over 250 m2 and are not nearly-zero energy buildings) that are owned by public bodies is renovated each year to be transformed into at least nearly zero-energy buildings or zero-emission buildings in accordance with Article 9 of Directive 2010/31/EU. Directive (EU) 2023/1791;TA2_Clean, affordable and secure energy;Energy Efficiency;This target contributes to energy efficiency by promoting the renovation of buildings to nearly zero-energy or zero-emission standards.
TA2.11;By 31 December 2025, each Member State shall agree to establish a framework for cooperation on joint projects with one or more other Member States for the production of renewable energy, subject to the following: by 31 December 2030, Member States shall endeavour to agree on establishing at least two joint projects, by 31 December 2033, Member States with an annual electricity consumption of more than 100 TWh shall endeavour to agree on establishing a third joint project. RED III (Directive (EU) 2023/2413);TA2_Clean, affordable and secure energy;Renewable Energy;This target is assigned to Renewable Energy as it aims to promote cooperation on joint projects for renewable energy production.
TA2.11;By 31 December 2025, each Member State shall agree to establish a framework for cooperation on joint projects with one or more other Member States for the production of renewable energy, subject to the following: by 31 December 2030, Member States shall endeavour to agree on establishing at least two joint projects, by 31 December 2033, Member States with an annual electricity consumption of more than 100 TWh shall endeavour to agree on establishing a third joint project. RED III (Directive (EU) 2023/2413);TA2_Clean, affordable and secure energy;International Cooperation;This target contributes to international cooperation by promoting joint projects between Member States.
TA6.1;1.a Legally protect a minimum of 30% of the EU’s land area;TA6_Preserving and protecting biodiversity;Habitat Protection;This target is assigned to Habitat Protection as it aims to legally protect a minimum of 30% of the EU's land area.
TA6.1;1.a Legally protect a minimum of 30% of the EU’s land area;TA6_Preserving and protecting biodiversity;Biodiversity Conservation;This target contributes to biodiversity conservation by promoting the protection of habitats.
TA5.15;Consumption footprint: Reduce the environmental and climate footprint of the EU food system, operating within planetary boundaries. Reduce the EU’s contribution to global deforestation and forest degradation.;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Sustainable Consumption;This target is assigned to Sustainable Consumption as it aims to reduce the environmental and climate footprint of the EU food system.
TA5.15;Consumption footprint: Reduce the environmental and climate footprint of the EU food system, operating within planetary boundaries. Reduce the EU’s contribution to global deforestation and forest degradation.;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Deforestation Reduction;This target contributes to deforestation reduction by promoting sustainable consumption patterns.
TA5.25;Animal welfare: Promote better animal welfare to improve animal health and food quality.;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Animal Welfare;This target is assigned to Animal Welfare as it aims to promote better animal welfare.
TA5.25;Animal welfare: Promote better animal welfare to improve animal health and food quality.;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Sustainable Agriculture;This target contributes to sustainable agriculture by promoting better animal welfare.
TA4.25;Member States shall ensure that, at the end of each year, the following power output targets are met cumulatively: (a) for each light-duty battery electric vehicle registered in their territory, a total power output of at least 1.3 kW is provided through publicly accessible recharging stations, and (b) for each light-duty plug-in hybrid vehicle registered in their territory, a total power output of at least 0.80 kW is provided through publicly accessible recharging stations. Regulation (EU) 2023/1804;TA4_Sustainable and smart mobility;Electric Vehicle Charging;This target is assigned to Electric Vehicle Charging as it aims to promote the deployment of publicly accessible recharging stations.
TA4.25;Member States shall ensure that, at the end of each year, the following power output targets are met cumulatively: (a) for each light-duty battery electric vehicle registered in their territory, a total power output of at least 1.3 kW is provided through publicly accessible recharging stations, and (b) for each light-duty plug-in hybrid vehicle registered in their territory, a total power output of at least 0.80 kW is provided through publicly accessible recharging stations. Regulation (EU) 2023/1804;TA4_Sustainable and smart mobility;Sustainable Transportation;This target contributes to sustainable transportation by promoting the use of electric vehicles.
TA3.15;Producers of starting, lighting and ignition batteries, industrial batteries and electric vehicle batteries or, where appointed in accordance with Article 57(1), producer responsibility organisations, shall take back, free of charge and without an obligation on the end-user to buy a new battery, nor to have bought the battery from them, and shall ensure that all waste starting, lighting and ignition batteries, waste industrial batteries and waste electric vehicle batteries regardless of their nature, chemical composition, condition, brand, or origin of the respective category that they have made available on the market for the first time in the territory of that Member State are collected separately. Regulation (EU) 2023/1542;TA3_Industrial strategy for a clean and circular economy;Waste Collection;This target is assigned to Waste Collection as it aims to ensure the separate collection of waste batteries.
TA3.15;Producers of starting, lighting and ignition batteries, industrial batteries and electric vehicle batteries or, where appointed in accordance with Article 57(1), producer responsibility organisations, shall take back, free of charge and without an obligation on the end-user to buy a new battery, nor to have bought the battery from them, and shall ensure that all waste starting, lighting and ignition batteries, waste industrial batteries and waste electric vehicle batteries regardless of their nature, chemical composition, condition, brand, or origin of the respective category that they have made available on the market for the first time in the territory of that Member State are collected separately. Regulation (EU) 2023/1542;TA3_Industrial strategy for a clean and circular economy;Circular Economy;This target contributes to the circular economy by promoting the collection and recycling of waste batteries.
TA6.46;(agricultural ecosystems) Member States shall put in place measures which shall aim to restore organic soils in agricultural use constituting drained peatlands. Those measures shall be in place on at least: (a) 30% of such areas by 2030, of which at least a quarter shall be rewetted, (b) 40% of such areas by 2040, of which at least a third shall be rewetted, (c) 50% of such areas by 2050, of which at least a third shall be rewetted. 'Nature Restoration Law';TA6_Preserving and protecting biodiversity;Ecosystem Restoration;This target is assigned to Ecosystem Restoration as it aims to restore organic soils in agricultural use.
TA6.46;(agricultural ecosystems) Member States shall put in place measures which shall aim to restore organic soils in agricultural use constituting drained peatlands. Those measures shall be in place on at least: (a) 30% of such areas by 2030, of which at least a quarter shall be rewetted, (b) 40% of such areas by 2040, of which at least a third shall be rewetted, (c) 50% of such areas by 2050, of which at least a third shall be rewetted. 'Nature Restoration Law';TA6_Preserving and protecting biodiversity;Soil Conservation;This target contributes to soil conservation by promoting the restoration of organic soils.
TA6.47;(trees) When identifying and implementing the restoration measures to meet the objectives and obligations set out in Articles 4, 6, 7, 8, 9 and 10, Member States shall aim to contribute to the commitment of planting at least three billion additional trees by 2030 at Union level. 'Nature Restoration Law' Parallel target of the Biodiversity Strategy: “9. Three billion trees are planted in the EU, in full respect of ecological principles”;TA6_Preserving and protecting biodiversity;Reforestation;This target is assigned to Reforestation as it aims to plant at least three billion additional trees by 2030.
TA6.47;(trees) When identifying and implementing the restoration measures to meet the objectives and obligations set out in Articles 4, 6, 7, 8, 9 and 10, Member States shall aim to contribute to the commitment of planting at least three billion additional trees by 2030 at Union level. 'Nature Restoration Law' Parallel target of the Biodiversity Strategy: “9. Three billion trees are planted in the EU, in full respect of ecological principles”;TA6_Preserving and protecting biodiversity;Biodiversity Conservation;This target contributes to biodiversity conservation by promoting the planting of trees.
TA5.19;Price: Preserve the price affordability of food.;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Food Affordability;This target is assigned to Food Affordability as it aims to preserve the price affordability of food.
TA5.19;Price: Preserve the price affordability of food.;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Sustainable Agriculture;This target contributes to sustainable agriculture by promoting the affordability of food.
TA5.22;Transport, accessibility and infrastructure: Create shorter supply chains will support reducing dependence on long-haul transportation.;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Sustainable Transportation;This target is assigned to Sustainable Transportation as it aims to create shorter supply chains.
TA5.22;Transport, accessibility and infrastructure: Create shorter supply chains will support reducing dependence on long-haul transportation.;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Logistics Optimization;This target contributes to logistics optimization by promoting the creation of shorter supply chains.
TA6.43;Marine ecosystems. Member States shall ensure, by 2030 at the latest, that the condition is known for at least 50% of the area distributed over all habitat types listed in groups 1–6 of Annex II. The condition of all areas of groups 1–6 of habitat types listed in Annex II shall be known by 2040. Member States shall also ensure, by 2040 at the latest, that the condition is known for at least 50% of the area distributed over all habitat types listed in group 7 of Annex II. The condition of all areas of group 7 of habitat types listed in Annex II shall be known by 2050. 'Nature Restoration Law';TA6_Preserving and protecting biodiversity;Marine Conservation;This target is assigned to Marine Conservation as it aims to ensure the condition of marine ecosystems is known.
TA6.43;Marine ecosystems. Member States shall ensure, by 2030 at the latest, that the condition is known for at least 50% of the area distributed over all habitat types listed in groups 1–6 of Annex II. The condition of all areas of groups 1–6 of habitat types listed in Annex II shall be known by 2040. Member States shall also ensure, by 2040 at the latest, that the condition is known for at least 50% of the area distributed over all habitat types listed in group 7 of Annex II. The condition of all areas of group 7 of habitat types listed in Annex II shall be known by 2050. 'Nature Restoration Law';TA6_Preserving and protecting biodiversity;Habitat Monitoring;This target contributes to habitat monitoring by promoting the assessment of the condition of marine ecosystems.
TA3.21;Recycling shall achieve at least the following targets for recycling efficiency: - No later than 31 December 2025, 65% by average weight of lithium-based batteries, - No later than 31 December 2030, 70% by average weight of lithium-based batteries. Regulation (EU) 2023/1542;TA3_Industrial strategy for a clean and circular economy;Waste Recycling;This target is assigned to Waste Recycling as it deals with recycling efficiency targets for lithium-based batteries.
TA3.21;Recycling shall achieve at least the following targets for recycling efficiency: - No later than 31 December 2025, 65% by average weight of lithium-based batteries, - No later than 31 December 2030, 70% by average weight of lithium-based batteries. Regulation (EU) 2023/1542;TA3_Industrial strategy for a clean and circular economy;Circular Economy;This target contributes to the circular economy by promoting the recycling of lithium-based batteries.
TA3.25;Reduce the generation of food waste per capita, jointly in retail and other distribution of food, in restaurants and food services and in households, by 30% in comparison to the amount generated in 2020 Proposal amending Directive 2008/98/EC on waste;TA3_Industrial strategy for a clean and circular economy;Food Waste Reduction;This target is assigned to Food Waste Reduction as it aims to reduce the generation of food waste.
TA3.25;Reduce the generation of food waste per capita, jointly in retail and other distribution of food, in restaurants and food services and in households, by 30% in comparison to the amount generated in 2020 Proposal amending Directive 2008/98/EC on waste;TA3_Industrial strategy for a clean and circular economy;Sustainable Consumption;This target contributes to sustainable consumption by promoting the reduction of food waste.
TA6.38;(urban ecosystems) Member States shall achieve, in each urban ecosystem area, determined in accordance with Article 14(4), an increasing trend of urban tree canopy cover, measured every six years after 31 December 2030, until the satisfactory level identified in accordance with Article 14(5) is reached. 'Nature Restoration Law';TA6_Preserving and protecting biodiversity;Urban Forestry;This target is assigned to Urban Forestry as it aims to achieve an increasing trend of urban tree canopy cover.
TA6.38;(urban ecosystems) Member States shall achieve, in each urban ecosystem area, determined in accordance with Article 14(4), an increasing trend of urban tree canopy cover, measured every six years after 31 December 2030, until the satisfactory level identified in accordance with Article 14(5) is reached. 'Nature Restoration Law';TA6_Preserving and protecting biodiversity;Ecosystem Restoration;This target contributes to ecosystem restoration by promoting the restoration of urban ecosystems.
TA5.9;Increase organic farming with the aim to achieve at least 25% of total farmland under organic farming by 2030 Target in Common with Biodiversity Strategy (see Thematic Area 6);TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Organic Farming;This target is assigned to Organic Farming as it aims to increase the share of organic farming.
TA5.9;Increase organic farming with the aim to achieve at least 25% of total farmland under organic farming by 2030 Target in Common with Biodiversity Strategy (see Thematic Area 6);TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Sustainable Agriculture;This target contributes to sustainable agriculture by promoting organic farming practices.
TA7.8;Improve soil quality by reducing nutrient losses use by 50%, by 2030;TA7_Towards a zero-pollution ambition for a toxic free environment;Soil Conservation;This target is assigned to Soil Conservation as it aims to improve soil quality by reducing nutrient losses.
TA7.8;Improve soil quality by reducing nutrient losses use by 50%, by 2030;TA7_Towards a zero-pollution ambition for a toxic free environment;Pollution Reduction;This target contributes to pollution reduction by promoting the reduction of nutrient losses.
TA6.51;Member States shall take the measures necessary to ensure that water intended for human consumption is wholesome and clean, by meeting several requirements related to micro-organisms and parasites which constitute a potential danger to human health and quality standards recalled in the Directive. Directive 2020/2184 (‘Drinking Water Directive);TA6_Preserving and protecting biodiversity;Water Quality;This target is assigned to Water Quality as it aims to ensure that water intended for human consumption is wholesome and clean.
TA6.51;Member States shall take the measures necessary to ensure that water intended for human consumption is wholesome and clean, by meeting several requirements related to micro-organisms and parasites which constitute a potential danger to human health and quality standards recalled in the Directive. Directive 2020/2184 (‘Drinking Water Directive);TA6_Preserving and protecting biodiversity;Public Health;This target contributes to public health by promoting the quality of drinking water.
TA4.9;Cut the emissions of transport sector by 90% by 2050 relative to 1990. Sustainable and Smart Mobility Strategy;TA4_Sustainable and smart mobility;Emission Reduction;This target is assigned to Emission Reduction as it aims to cut the emissions of the transport sector.
TA4.9;Cut the emissions of transport sector by 90% by 2050 relative to 1990. Sustainable and Smart Mobility Strategy;TA4_Sustainable and smart mobility;Sustainable Transportation;This target contributes to sustainable transportation by promoting the reduction of emissions.
TA3.23;All recycling shall achieve at least the following targets for recovery of materials, 50% for lithium, no later than 31 December 2027, and 80% for lithium no later than 31 December 2031. Regulation (EU) 2023/1542;TA3_Industrial strategy for a clean and circular economy;Waste Recycling;This target is assigned to Waste Recycling as it deals with recovery targets for lithium.
TA3.23;All recycling shall achieve at least the following targets for recovery of materials, 50% for lithium, no later than 31 December 2027, and 80% for lithium no later than 31 December 2031. Regulation (EU) 2023/1542;TA3_Industrial strategy for a clean and circular economy;Circular Economy;This target contributes to the circular economy by promoting the recycling of lithium.
TA3.3;Double EU’s circular material use rate in the coming decade A new Circular Economy Action Plan;TA3_Industrial strategy for a clean and circular economy;Circular Economy;This target is assigned to Circular Economy as it aims to double the EU's circular material use rate.
TA3.3;Double EU’s circular material use rate in the coming decade A new Circular Economy Action Plan;TA3_Industrial strategy for a clean and circular economy;Sustainable Resource Management;This target contributes to sustainable resource management by promoting the circular use of materials.
TA4.13;For [...] “urban buses” manufacturers shall comply with the 90% (in the reporting period 2030-2034) and 100% (as from 2035) minimum shares in their fleet of new heavy-duty vehicles Regulation (EU) 2024/1610;TA4_Sustainable and smart mobility;Sustainable Transportation;This target is assigned to Sustainable Transportation as it aims to promote the use of sustainable urban buses.
TA4.13;For [...] “urban buses” manufacturers shall comply with the 90% (in the reporting period 2030-2034) and 100% (as from 2035) minimum shares in their fleet of new heavy-duty vehicles Regulation (EU) 2024/1610;TA4_Sustainable and smart mobility;Emission Reduction;This target contributes to emission reduction by promoting the use of sustainable vehicles.
TA5.20;Trade: Foster the competitiveness of the EU supply sector.;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Competitiveness;This target is assigned to Competitiveness as it aims to foster the competitiveness of the EU supply sector.
TA5.20;Trade: Foster the competitiveness of the EU supply sector.;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Sustainable Agriculture;This target contributes to sustainable agriculture by promoting the competitiveness of the EU supply sector.
TA2.34;Member States shall ensure that the average primary energy use of the entire residential building stock decreases by at least 16% compared to 2020 by 2030, and by at least 20-22% compared to 2020 by 2035 EPBD (Directive (EU) 2024/1275);TA2_Clean, affordable and secure energy;Energy Efficiency;This target is assigned to Energy Efficiency as it aims to reduce the average primary energy use of residential buildings.
TA2.34;Member States shall ensure that the average primary energy use of the entire residential building stock decreases by at least 16% compared to 2020 by 2030, and by at least 20-22% compared to 2020 by 2035 EPBD (Directive (EU) 2024/1275);TA2_Clean, affordable and secure energy;Building Renovation;This target contributes to building renovation by promoting the reduction of energy use in residential buildings.
TA2.40;Around 30% of EU primary steel production is expected to be decarbonised on the basis of renewable hydrogen. REPowerEU;TA2_Clean, affordable and secure energy;Decarbonization;This target is assigned to Decarbonization as it aims to decarbonize EU primary steel production.
TA2.40;Around 30% of EU primary steel production is expected to be decarbonised on the basis of renewable hydrogen. REPowerEU;TA2_Clean, affordable and secure energy;Hydrogen Production;This target contributes to hydrogen production by promoting the use of renewable hydrogen in steel production.
TA3.27;All packaging shall be recyclable Proposal on packaging and packaging waste;TA3_Industrial strategy for a clean and circular economy;Waste Reduction;This target is assigned to Waste Reduction as it aims to make all packaging recyclable.
TA3.27;All packaging shall be recyclable Proposal on packaging and packaging waste;TA3_Industrial strategy for a clean and circular economy;Circular Economy;This target contributes to the circular economy by promoting the recyclability of packaging.
