target_code;target_content;thematic_area;sub_theme;justification
TA1.7;Reduce methane emissions by 35 to 37% compared to 2005 levels, by 2030 An EU Strategy to reduce methane emissions;TA1_Climate ambition;Reducing Methane Emissions;"This target is assigned to the sub-theme ""Reducing Methane Emissions"" because it aims to decrease methane emissions."
TA1.8;Reach energy neutrality in the wastewater treatment sector by 2045.\nDirective concerning urban wastewater;TA1_Climate ambition;Energy Efficiency;This target is assigned to the Energy Efficiency sub-theme because it focuses on reaching energy neutrality in the wastewater treatment sector.
TA1.8;Reach energy neutrality in the wastewater treatment sector by 2045.\nDirective concerning urban wastewater;TA1_Climate ambition;Water Management;This target is also assigned to the Water Management sub-theme because it aims to improve the energy efficiency of wastewater treatment.
TA1.9;EU ETS. The contribution of the sectors covered by the existing EU Emission trading System (EU ETS) with respect to the EU Climate ambition should be of -62% compared to 2005 (increasing the linear emissions reduction factor from 2.2% per year up to 4.4%), by 2030 Directive (EU) 2023/959;TA1_Climate ambition;Enhancing Emission Trading;"This target is assigned to the sub-theme ""Enhancing Emission Trading"" because it aims to increase the ambition of the EU Emission Trading System."
TA2.1;REPowerEU sets a target of 10 million tonnes of domestic renewable hydrogen production and 10 million tonnes of renewable hydrogen imports by 2030.;TA2_Clean, affordable and secure energy;Renewable Hydrogen Production;
TA2.1;REPowerEU sets a target of 10 million tonnes of domestic renewable hydrogen production and 10 million tonnes of renewable hydrogen imports by 2030.;TA2_Clean, affordable and secure energy;Hydrogen Imports;
TA2.10;Member States shall set an indicative target for innovative renewable energy technology of at least 5% of newly installed renewable energy capacity by 2030.\nRED III (Directive (EU) 2023/2413);TA2_Clean, affordable and secure energy;Renewable Energy Innovation;This target is assigned to the Renewable Energy Innovation sub-theme because it focuses on setting targets for innovative renewable energy technology.
TA2.10;Member States shall set an indicative target for innovative renewable energy technology of at least 5% of newly installed renewable energy capacity by 2030.\nRED III (Directive (EU) 2023/2413);TA2_Clean, affordable and secure energy;Renewable Energy Development;This target is also assigned to the Renewable Energy Development sub-theme because it aims to increase the share of renewable energy capacity.
TA2.11;By 31 December 2025, each Member State shall agree to establish a framework for cooperation on joint projects with one or more other Member States for the production of renewable energy, subject to the following: by 31 December 2030, Member States shall endeavour to agree on establishing at least two joint projects, by 31 December 2033, Member States with an annual electricity consumption of more than 100 TWh shall endeavour to agree on establishing a third joint project. RED III (Directive (EU) 2023/2413);TA2_Clean, affordable and secure energy;Renewable Energy;This target is assigned to Renewable Energy as it aims to promote cooperation on joint projects for renewable energy production.
TA2.11;By 31 December 2025, each Member State shall agree to establish a framework for cooperation on joint projects with one or more other Member States for the production of renewable energy, subject to the following: by 31 December 2030, Member States shall endeavour to agree on establishing at least two joint projects, by 31 December 2033, Member States with an annual electricity consumption of more than 100 TWh shall endeavour to agree on establishing a third joint project. RED III (Directive (EU) 2023/2413);TA2_Clean, affordable and secure energy;International Cooperation;This target contributes to international cooperation by promoting joint projects between Member States.
TA2.13;The amount of renewable fuels and renewable electricity supplied to the transport sector leads to a: (i) share of renewable energy within the final consumption of energy in the transport sector of at least 29 % by 2030, or (ii) GHG intensity reduction of at least 14.5 % by 2030, compared to the baseline set out in Article 27(1), in accordance with an indicative trajectory set by the Member State. RED III (Directive (EU) 2023/2413);TA2_Clean, affordable and secure energy;Increasing Renewable Transport;"This target is assigned to the sub-theme ""Increasing Renewable Transport"" because it sets targets for the share of renewable energy in the transport sector."
TA2.14;Each Member State shall increase the share of renewable energy in the heating and cooling sector by at least 0.8 percentage points as an annual average calculated for the period 2021 to 2025 and by at least 1.1 percentage points as an annual average calculated for the period 2026 to 2030, starting from the share of renewable energy in the sector in 2020. RED III (Directive (EU) 2023/2413);TA2_Clean, affordable and secure energy;Renewable Energy Development;This target is assigned to the Renewable Energy Development sub-theme because it focuses on increasing the share of renewable energy in the heating and cooling sector.
TA2.14;Each Member State shall increase the share of renewable energy in the heating and cooling sector by at least 0.8 percentage points as an annual average calculated for the period 2021 to 2025 and by at least 1.1 percentage points as an annual average calculated for the period 2026 to 2030, starting from the share of renewable energy in the sector in 2020. RED III (Directive (EU) 2023/2413);TA2_Clean, affordable and secure energy;Energy Efficiency;This target is also assigned to the Energy Efficiency sub-theme because it aims to increase the efficiency of energy use in the heating and cooling sector.
TA2.15;By 2022, achieve 18% of the total increase in the share of energy from renewable sources between that Member State’s binding 2020 national target, and its contribution to the 2030 target of the share of energy from renewable sources in gross final consumption of energy. Achieve 43% by 2025, 65% by 2027. RED III (Directive (EU) 2023/2413);TA2_Clean, affordable and secure energy;Increasing Renewable Energy;"This target is assigned to the sub-theme ""Increasing Renewable Energy"" because it sets targets for the share of energy from renewable sources."
TA2.16;Member States shall endeavour to increase the share of renewable sources in the amount of energy sources used for final energy and non-energy purposes in the industry sector by an indicative increase of at least 1.6 percentage points as an annual average calculated for the periods 2021 to 2025 and 2026 to 2030;TA2_Clean, affordable and secure energy;Renewable Energy in Industry;
TA2.17;A target of 15% electricity interconnection for 2030 RED III (Directive (EU) 2023/2413);TA2_Clean, affordable and secure energy;Increasing Electricity Interconnection;"This target is assigned to the sub-theme ""Increasing Electricity Interconnection"" because it sets a target for electricity interconnection among EU countries."
TA2.18;Indicative target of at least a 49% share of energy from renewable sources in the building sector in the Union’s final energy consumption in buildings in 2030. RED III (Directive (EU) 2023/2413);TA2_Clean, affordable and secure energy;Increasing Renewable Buildings;"This target is assigned to the sub-theme ""Increasing Renewable Buildings"" because it sets a target for the share of energy from renewable sources in the building sector."
TA2.2;Set up at least one renewables-based energy community in every municipality with a population higher than 10.000 by 2025;TA2_Clean, affordable and secure energy;Renewable Energy Communities;
TA2.21;Member States shall ensure that the total final energy consumption of all public bodies combined is reduced by at least 1.9% each year, when compared to 2021.;TA2_Clean, affordable and secure energy;Energy Efficiency in Public Bodies;
TA2.22;Member States shall collectively ensure a reduction of energy consumption of at least 11.7% in 2030 compared to the projections of the 2020 EU Reference Scenario so that the Union’s final energy consumption amounts to no more than 763 Mtoe.;TA2_Clean, affordable and secure energy;Energy Consumption Reduction;
TA2.23;Member States shall make efforts to collectively contribute to the indicative Union primary energy consumption target amounting to no more than 992.5 Mtoe in 2030.\nDirective (EU) 2023/1791;TA2_Clean, affordable and secure energy;Energy Consumption Reduction;This target is assigned to the Energy Consumption Reduction sub-theme because it focuses on reducing primary energy consumption.
TA2.23;Member States shall make efforts to collectively contribute to the indicative Union primary energy consumption target amounting to no more than 992.5 Mtoe in 2030.\nDirective (EU) 2023/1791;TA2_Clean, affordable and secure energy;Energy Efficiency;This target is also assigned to the Energy Efficiency sub-theme because it aims to reduce energy consumption.
TA2.24;Each Member State shall ensure that at least 3% of the total floor area of heated and/or cooled buildings (of buildings which have a total useful floor area of over 250 m2 and are not nearly-zero energy buildings) that are owned by public bodies is renovated each year to be transformed into at least nearly zero-energy buildings or zero-emission buildings in accordance with Article 9 of Directive 2010/31/EU. Directive (EU) 2023/1791;TA2_Clean, affordable and secure energy;Building Renovation;This target is assigned to Building Renovation as it aims to promote the renovation of public buildings.
TA2.24;Each Member State shall ensure that at least 3% of the total floor area of heated and/or cooled buildings (of buildings which have a total useful floor area of over 250 m2 and are not nearly-zero energy buildings) that are owned by public bodies is renovated each year to be transformed into at least nearly zero-energy buildings or zero-emission buildings in accordance with Article 9 of Directive 2010/31/EU. Directive (EU) 2023/1791;TA2_Clean, affordable and secure energy;Energy Efficiency;This target contributes to energy efficiency by promoting the renovation of buildings to nearly zero-energy or zero-emission standards.
TA2.25;Reduce buildings’ final energy consumption by 14. A Renovation Wave for Europe;TA2_Clean, affordable and secure energy;Reducing Building Energy Consumption;"This target is assigned to the sub-theme ""Reducing Building Energy Consumption"" because it aims to decrease the final energy consumption of buildings."
TA2.26;At least double the annual energy renovation rate of residential and non-residential buildings by 2030 and to foster deep energy renovations. A Renovation Wave for Europe;TA2_Clean, affordable and secure energy;Energy Efficiency;This target is assigned to Energy Efficiency as it aims to increase the annual energy renovation rate of buildings.
TA2.26;At least double the annual energy renovation rate of residential and non-residential buildings by 2030 and to foster deep energy renovations. A Renovation Wave for Europe;TA2_Clean, affordable and secure energy;Building Renovation;This target contributes to building renovation by promoting deep energy renovations.
TA2.28;Reduce buildings’ energy consumption for heating and cooling by 18% compared to 2015 levels by 2030;TA2_Clean, affordable and secure energy;Building Energy Efficiency;
TA2.29;Member states will have to renovate 16% of worst- performing non-residential buildings by 2030 and, by 2033, the worst-performing 26% through minimum energy performance requirements.\nEPBD (Directive (EU) 2024/1275);TA2_Clean, affordable and secure energy;Building Renovation;This target is assigned to the Building Renovation sub-theme because it focuses on renovating non-residential buildings to improve their energy performance.
TA2.29;Member states will have to renovate 16% of worst- performing non-residential buildings by 2030 and, by 2033, the worst-performing 26% through minimum energy performance requirements.\nEPBD (Directive (EU) 2024/1275);TA2_Clean, affordable and secure energy;Energy Efficiency;This target is also assigned to the Energy Efficiency sub-theme because it aims to improve the energy performance of buildings.
TA2.3;Member States shall ensure that the contribution of renewable fuels of non-biological origin used for final energy and non-energy purposes shall be at least 42% of the hydrogen used for final energy and non-energy purposes in industry by 2030, and 60% by 2035. RED III (Directive (EU) 2023/2413);TA2_Clean, affordable and secure energy;Renewable Energy;This target is assigned to Renewable Energy as it aims to increase the contribution of renewable fuels of non-biological origin.
TA2.3;Member States shall ensure that the contribution of renewable fuels of non-biological origin used for final energy and non-energy purposes shall be at least 42% of the hydrogen used for final energy and non-energy purposes in industry by 2030, and 60% by 2035. RED III (Directive (EU) 2023/2413);TA2_Clean, affordable and secure energy;Hydrogen Production;This target contributes to hydrogen production by promoting the use of renewable fuels of non-biological origin.
TA2.33;The national measures will have to ensure that at least 55% of the decrease of the average primary energy use is achieved through the renovation of the worst-performing buildings.;TA2_Clean, affordable and secure energy;Building Renovation;
TA2.34;Member States shall ensure that the average primary energy use of the entire residential building stock decreases by at least 16% compared to 2020 by 2030, and by at least 20-22% compared to 2020 by 2035 EPBD (Directive (EU) 2024/1275);TA2_Clean, affordable and secure energy;Energy Efficiency;This target is assigned to Energy Efficiency as it aims to reduce the average primary energy use of residential buildings.
TA2.34;Member States shall ensure that the average primary energy use of the entire residential building stock decreases by at least 16% compared to 2020 by 2030, and by at least 20-22% compared to 2020 by 2035 EPBD (Directive (EU) 2024/1275);TA2_Clean, affordable and secure energy;Building Renovation;This target contributes to building renovation by promoting the reduction of energy use in residential buildings.
TA2.37;By 2030, the share of renewable energy in the electricity mix should double to 55-60%, and projections show a share of around 84% by 2050. The remaining gap should be covered by other low-carbon options. An EU Strategy for Energy System Integration;TA2_Clean, affordable and secure energy;Increasing Renewable Electricity;"This target is assigned to the sub-theme ""Increasing Renewable Electricity"" because it sets a target for the share of renewable energy in the electricity mix."
TA2.38;Cumulative EU offshore goals of installed capacity: 60 GW by 2030 and 300 GW by 2050;TA2_Clean, affordable and secure energy;Offshore Renewable Energy;
TA2.39;The strategy sets targets for an installed capacity of at least 1 GW of ocean energy by 2030 and 40 GW by 2050\nAn EU offshore Renewable Energy Strategy;TA2_Clean, affordable and secure energy;Renewable Energy Development;This target is assigned to the Renewable Energy Development sub-theme because it focuses on setting targets for ocean energy capacity, which is a form of renewable energy.
TA2.39;The strategy sets targets for an installed capacity of at least 1 GW of ocean energy by 2030 and 40 GW by 2050\nAn EU offshore Renewable Energy Strategy;TA2_Clean, affordable and secure energy;Offshore Energy;This target is also assigned to the Offshore Energy sub-theme because it specifically mentions offshore renewable energy.
TA2.4;Double the current deployment rate of individual heat pumps, resulting in a cumulative 10 million units by 2027 and 30 million units by 2030.\nREPowerEU;TA2_Clean, affordable and secure energy;Heat Pump Deployment;This target is assigned to the Heat Pump Deployment sub-theme because it focuses on increasing the deployment rate of individual heat pumps.
TA2.4;Double the current deployment rate of individual heat pumps, resulting in a cumulative 10 million units by 2027 and 30 million units by 2030.\nREPowerEU;TA2_Clean, affordable and secure energy;Renewable Energy Development;This target is also assigned to the Renewable Energy Development sub-theme because it aims to increase the share of renewable energy capacity.
TA2.40;Around 30% of EU primary steel production is expected to be decarbonised on the basis of renewable hydrogen. REPowerEU;TA2_Clean, affordable and secure energy;Decarbonization;This target is assigned to Decarbonization as it aims to decarbonize EU primary steel production.
TA2.40;Around 30% of EU primary steel production is expected to be decarbonised on the basis of renewable hydrogen. REPowerEU;TA2_Clean, affordable and secure energy;Hydrogen Production;This target contributes to hydrogen production by promoting the use of renewable hydrogen in steel production.
TA2.5;Bring online over 320 GW of solar photovoltaic by 2025 and almost 600 GW by 2030\nEU Solar Energy Strategy;TA2_Clean, affordable and secure energy;Solar Energy Development;This target is assigned to the Solar Energy Development sub-theme because it focuses on increasing the deployment of solar photovoltaic energy.
TA2.5;Bring online over 320 GW of solar photovoltaic by 2025 and almost 600 GW by 2030\nEU Solar Energy Strategy;TA2_Clean, affordable and secure energy;Renewable Energy Development;This target is also assigned to the Renewable Energy Development sub-theme because it aims to increase the share of renewable energy capacity.
TA2.6;Energy demand to be covered by solar heat and geothermal should at least triple (rate is currently at 1.5%) EU Solar Energy Strategy;TA2_Clean, affordable and secure energy;Solar Energy;This target is assigned to Solar Energy as it aims to increase the energy demand covered by solar heat and geothermal.
TA2.6;Energy demand to be covered by solar heat and geothermal should at least triple (rate is currently at 1.5%) EU Solar Energy Strategy;TA2_Clean, affordable and secure energy;Renewable Energy;This target contributes to renewable energy by promoting the use of solar heat and geothermal.
TA2.7;Over this decade, the EU will need to install, on average, approximately 45 GW per year of PV to reach the share of 45% of energy coming from renewables set out in the REPowerEU Plan.;TA2_Clean, affordable and secure energy;Solar Energy;
TA2.7;Over this decade, the EU will need to install, on average, approximately 45 GW per year of PV to reach the share of 45% of energy coming from renewables set out in the REPowerEU Plan.;TA2_Clean, affordable and secure energy;Renewable Energy Targets;
TA2.9;Member States shall collectively ensure that the share of energy from renewable sources in the Union’s gross final consumption of energy in 2030 is at least 42.5%. RED III (Directive (EU) 2023/2413);TA2_Clean, affordable and secure energy;Renewable Energy;This target is assigned to Renewable Energy as it aims to increase the share of energy from renewable sources.
TA2.9;Member States shall collectively ensure that the share of energy from renewable sources in the Union’s gross final consumption of energy in 2030 is at least 42.5%. RED III (Directive (EU) 2023/2413);TA2_Clean, affordable and secure energy;Energy Transition;This target contributes to energy transition by promoting the use of renewable energy sources.
TA3.1;Halve the amount of residual (non-recycled) municipal waste by 2030;TA3_Industrial strategy for a clean and circular economy;Waste Reduction;
TA3.11;Diversify the Union’s imports of strategic raw materials with a view to ensuring that, by 2030, the Union’s annual consumption of each strategic raw material at any relevant stage of processing can rely on imports from several third countries or from overseas countries or territories (OCTs) and that no third country accounts for more than 65% of the Union’s annual consumption of such a strategic raw material. Regulation (EU) 2024/1252;TA3_Industrial strategy for a clean and circular economy;Raw Material Sourcing;This target is assigned to the Raw Material Sourcing sub-theme because it focuses on diversifying the Union's imports of strategic raw materials.
TA3.11;Diversify the Union’s imports of strategic raw materials with a view to ensuring that, by 2030, the Union’s annual consumption of each strategic raw material at any relevant stage of processing can rely on imports from several third countries or from overseas countries or territories (OCTs) and that no third country accounts for more than 65% of the Union’s annual consumption of such a strategic raw material. Regulation (EU) 2024/1252;TA3_Industrial strategy for a clean and circular economy;Supply Chain Resilience;This target is also assigned to the Supply Chain Resilience sub-theme because it aims to reduce the Union's dependence on individual third countries for strategic raw materials.
TA3.12;By 2030, manufacturing capacity in the Union of the strategic net-zero technologies listed in the Annex approaches or reaches a benchmark of at least 40% of the Union’s annual deployment needs.;TA3_Industrial strategy for a clean and circular economy;Net-Zero Technologies;
TA3.13;By 2030, Union recycling capacity, including for all intermediate recycling steps, should be able to produce at least 25% of the Union’s annual consumption of strategic raw materials and should be able to recycle significantly increasing amounts of each strategic raw material from waste. Regulation (EU) 2024/1252;TA3_Industrial strategy for a clean and circular economy;Raw Material Recycling;This target is assigned to Raw Material Recycling as it deals with increasing the Union's recycling capacity for strategic raw materials.
TA3.13;By 2030, Union recycling capacity, including for all intermediate recycling steps, should be able to produce at least 25% of the Union’s annual consumption of strategic raw materials and should be able to recycle significantly increasing amounts of each strategic raw material from waste. Regulation (EU) 2024/1252;TA3_Industrial strategy for a clean and circular economy;Circular Economy;This target contributes to the circular economy by promoting the recycling of raw materials.
TA3.15;Producers of starting, lighting and ignition batteries, industrial batteries and electric vehicle batteries or, where appointed in accordance with Article 57(1), producer responsibility organisations, shall take back, free of charge and without an obligation on the end-user to buy a new battery, nor to have bought the battery from them, and shall ensure that all waste starting, lighting and ignition batteries, waste industrial batteries and waste electric vehicle batteries regardless of their nature, chemical composition, condition, brand, or origin of the respective category that they have made available on the market for the first time in the territory of that Member State are collected separately. Regulation (EU) 2023/1542;TA3_Industrial strategy for a clean and circular economy;Waste Collection;This target is assigned to Waste Collection as it aims to ensure the separate collection of waste batteries.
TA3.15;Producers of starting, lighting and ignition batteries, industrial batteries and electric vehicle batteries or, where appointed in accordance with Article 57(1), producer responsibility organisations, shall take back, free of charge and without an obligation on the end-user to buy a new battery, nor to have bought the battery from them, and shall ensure that all waste starting, lighting and ignition batteries, waste industrial batteries and waste electric vehicle batteries regardless of their nature, chemical composition, condition, brand, or origin of the respective category that they have made available on the market for the first time in the territory of that Member State are collected separately. Regulation (EU) 2023/1542;TA3_Industrial strategy for a clean and circular economy;Circular Economy;This target contributes to the circular economy by promoting the collection and recycling of waste batteries.
TA3.16;Producers of portable batteries or, where appointed in accordance with Article 57(1), producer responsibility organisations, shall attain, and maintain durably, at least the following collection targets for waste portable batteries: - 45% by 31 December 2023, - 63% by 31 December 2027, - 73% by 31 December 2030. Regulation (EU) 2023/1542;TA3_Industrial strategy for a clean and circular economy;Collecting Waste Batteries;"This target is assigned to the sub-theme ""Collecting Waste Batteries"" because it sets collection targets for waste portable batteries."
TA3.17;Producers of LMT batteries or, where appointed in accordance with Article 57(1), producer responsibility organisations, shall attain, and maintain durably, at least the following collection targets of waste LMT batteries: - 51% by 31 December 2028, - 61% by 31 December 2031. Regulation (EU) 2023/1542;TA3_Industrial strategy for a clean and circular economy;Collecting Waste Batteries;"This target is assigned to the sub-theme ""Collecting Waste Batteries"" because it sets collection targets for waste LMT batteries."
TA3.18;For industrial batteries with a capacity greater than 2kWh, except those with exclusively external storage, electric vehicle batteries and starting, lighting and ignition batteries that contain cobalt, lead, lithium\nor nickel in active materials, the minimum recycled content percentage for each battery model per year and per manufacturing plant shall be:\nFrom 18 August 2031, 16% cobalt, 85% lead, 6% lithium, and 6% nickel,\nFrom 18 August 2036, 26% cobalt, 85% lead, 12% lithium, and 15% nickel.\nRegulation (EU) 2023/1542;TA3_Industrial strategy for a clean and circular economy;Battery Recycling;This target is assigned to the Battery Recycling sub-theme because it focuses on setting minimum recycled content percentages for industrial batteries.
TA3.18;For industrial batteries with a capacity greater than 2kWh, except those with exclusively external storage, electric vehicle batteries and starting, lighting and ignition batteries that contain cobalt, lead, lithium\nor nickel in active materials, the minimum recycled content percentage for each battery model per year and per manufacturing plant shall be:\nFrom 18 August 2031, 16% cobalt, 85% lead, 6% lithium, and 6% nickel,\nFrom 18 August 2036, 26% cobalt, 85% lead, 12% lithium, and 15% nickel.\nRegulation (EU) 2023/1542;TA3_Industrial strategy for a clean and circular economy;Circular Economy;This target is also assigned to the Circular Economy sub-theme because it aims to increase the recycling of batteries, which is a key aspect of a circular economy.
TA3.19;Any natural or legal person that places on the market products incorporating portable batteries shall ensure that those batteries are readily removable and replaceable by the end-user at any time during the lifetime of the product.;TA3_Industrial strategy for a clean and circular economy;Sustainable Product Design;
TA3.20;Recycling shall achieve at least the following targets for recycling efficiency: No later than 31 December 2025 - 75% by average weight of lead-acid batteries, - 80% by average weight of nickel-cadmium batteries - 50% by average weight of other waste batteries No later than 31 December 2030 - 80% by average weight of lead-acid batteries, Regulation (EU) 2023/1542;TA3_Industrial strategy for a clean and circular economy;Waste Recycling;This target is assigned to Waste Recycling as it deals with recycling efficiency targets for different types of batteries.
TA3.20;Recycling shall achieve at least the following targets for recycling efficiency: No later than 31 December 2025 - 75% by average weight of lead-acid batteries, - 80% by average weight of nickel-cadmium batteries - 50% by average weight of other waste batteries No later than 31 December 2030 - 80% by average weight of lead-acid batteries, Regulation (EU) 2023/1542;TA3_Industrial strategy for a clean and circular economy;Circular Economy;This target contributes to the circular economy by promoting recycling and reducing waste.
TA3.21;Recycling shall achieve at least the following targets for recycling efficiency: - No later than 31 December 2025, 65% by average weight of lithium-based batteries, - No later than 31 December 2030, 70% by average weight of lithium-based batteries. Regulation (EU) 2023/1542;TA3_Industrial strategy for a clean and circular economy;Waste Recycling;This target is assigned to Waste Recycling as it deals with recycling efficiency targets for lithium-based batteries.
TA3.21;Recycling shall achieve at least the following targets for recycling efficiency: - No later than 31 December 2025, 65% by average weight of lithium-based batteries, - No later than 31 December 2030, 70% by average weight of lithium-based batteries. Regulation (EU) 2023/1542;TA3_Industrial strategy for a clean and circular economy;Circular Economy;This target contributes to the circular economy by promoting the recycling of lithium-based batteries.
TA3.22;All recycling shall achieve at least the following targets for recovery of materials: - No later than 31 December 2027, 90% for cobalt, copper, lead, nickel, - No later than 31 December 2031, 95% for cobalt, copper, lead, nickel,;TA3_Industrial strategy for a clean and circular economy;Recycling Targets;
TA3.23;All recycling shall achieve at least the following targets for recovery of materials, 50% for lithium, no later than 31 December 2027, and 80% for lithium no later than 31 December 2031. Regulation (EU) 2023/1542;TA3_Industrial strategy for a clean and circular economy;Waste Recycling;This target is assigned to Waste Recycling as it deals with recovery targets for lithium.
TA3.23;All recycling shall achieve at least the following targets for recovery of materials, 50% for lithium, no later than 31 December 2027, and 80% for lithium no later than 31 December 2031. Regulation (EU) 2023/1542;TA3_Industrial strategy for a clean and circular economy;Circular Economy;This target contributes to the circular economy by promoting the recycling of lithium.
TA3.24;Reduce the generation of food waste in processing and manufacturing by 10% in comparison to the amount generated in 2020 Proposal amending Directive 2008/98/EC on waste;TA3_Industrial strategy for a clean and circular economy;Reducing Food Waste;"This target is assigned to the sub-theme ""Reducing Food Waste"" because it focuses on decreasing food waste generation."
TA3.25;Reduce the generation of food waste per capita, jointly in retail and other distribution of food, in restaurants and food services and in households, by 30% in comparison to the amount generated in 2020 Proposal amending Directive 2008/98/EC on waste;TA3_Industrial strategy for a clean and circular economy;Food Waste Reduction;This target is assigned to Food Waste Reduction as it aims to reduce the generation of food waste.
TA3.25;Reduce the generation of food waste per capita, jointly in retail and other distribution of food, in restaurants and food services and in households, by 30% in comparison to the amount generated in 2020 Proposal amending Directive 2008/98/EC on waste;TA3_Industrial strategy for a clean and circular economy;Sustainable Consumption;This target contributes to sustainable consumption by promoting the reduction of food waste.
TA3.27;All packaging shall be recyclable Proposal on packaging and packaging waste;TA3_Industrial strategy for a clean and circular economy;Waste Reduction;This target is assigned to Waste Reduction as it aims to make all packaging recyclable.
TA3.27;All packaging shall be recyclable Proposal on packaging and packaging waste;TA3_Industrial strategy for a clean and circular economy;Circular Economy;This target contributes to the circular economy by promoting the recyclability of packaging.
TA3.28;The plastic part in packaging shall contain the following minimum percentage of recycled content recovered from post-consumer plastic waste, per unit of packaging: From 1 January 2030 (i) 30% for contact sensitive packaging made from polyethylene terephthalate (PET) as major component, (ii) 10% for contact sensitive made from plastic materials other than PET, except single use plastic bottles, (iii) 30% for single use plastic beverage bottles, (iv) 35% for other plastic packaging From 1 January 2040 (v) 50% for contact sensitive plastic packaging, except single use plastic beverage bottles, (vi) 65% for single use plastic beverage bottles, (vii) 65% for other plastic packaging Proposal on packaging and packaging waste;TA3_Industrial strategy for a clean and circular economy;Increasing Recycled Content;"This target is assigned to the sub-theme ""Increasing Recycled Content"" because it sets minimum percentages of recycled content in packaging."
TA3.29;Member States shall take measures to achieve a sustained reduction in the consumption of lightweight plastic carrier bags on their territory. A sustained reduction is achieved if the annual consumption does not exceed 40 lightweight plastic carrier bags per person, or the equivalent target in weight, by 31 December 2025, and subsequently by 31 December in each year thereafter. Proposal on packaging and packaging waste;TA3_Industrial strategy for a clean and circular economy;Reducing Plastic Bag Consumption;"This target is assigned to the sub-theme ""Reducing Plastic Bag Consumption"" because it aims to decrease the consumption of lightweight plastic carrier bags."
TA3.3;Double EU’s circular material use rate in the coming decade A new Circular Economy Action Plan;TA3_Industrial strategy for a clean and circular economy;Circular Economy;This target is assigned to Circular Economy as it aims to double the EU's circular material use rate.
TA3.3;Double EU’s circular material use rate in the coming decade A new Circular Economy Action Plan;TA3_Industrial strategy for a clean and circular economy;Sustainable Resource Management;This target contributes to sustainable resource management by promoting the circular use of materials.
