target_code;target_content;NACE_level1;NACE_level1_extra1;NACE_level1_extra2;NACE_level2;NACE_level2_extra1;NACE_level2_extra2;NACE_level_3;NACE_level_3_extra1;NACE_level3_extra2;justification;confidence_score
TA5.33;Move to healthier and more sustainable diets;C - Manufacturing;G - Wholesale and Retail Trade, Repair of Motor Vehicles and Motorcycles;I - Accommodation and Food Service Activities;C10 - Manufacture of food products;G47 - Retail trade, except of motor vehicles and motorcycles;I56 - Food and beverage service activities;C10.8 - Manufacture of other food products;G47.1 - Retail sale in non-specialised stores;I56.1 - Restaurants and mobile food service activities;The target involves promoting healthier diets, involving manufacturing, retail, and food services.;9
TA5.34;Reverse prevalence of overweight and diet-related diseases;C - Manufacturing;G - Wholesale and Retail Trade, Repair of Motor Vehicles and Motorcycles;I - Accommodation and Food Service Activities;C10 - Manufacture of food products;G47 - Retail trade, except of motor vehicles and motorcycles;I56 - Food and beverage service activities;C10.8 - Manufacture of other food products;G47.1 - Retail sale in non-specialised stores;I56.1 - Restaurants and mobile food service activities;The target focuses on reversing diet-related diseases, involving manufacturing, retail, and food services.;9
TA5.35;Strengthen the resilience of the EU food system. Build up resilience to possible future diseases and pandemics. Increasing the sustainability of food producers will ultimately increase their resilience.;C - Manufacturing;A - Agriculture, Forestry and Fishing;G - Wholesale and Retail Trade, Repair of Motor Vehicles and Motorcycles;C10 - Manufacture of food products;A1 - Crop and animal production, hunting and related service activities;G47 - Retail trade, except of motor vehicles and motorcycles;C10.8 - Manufacture of other food products;A1.1 - Growing of non-perennial crops;G47.1 - Retail sale in non-specialised stores;The target is about strengthening food system resilience, involving manufacturing, agriculture, and retail.;9
TA5.36;nan;;;;;;;nan;nan;nan;No content available.;0
TA5.37;nan;;;;;;;nan;nan;nan;No content available.;0
TA5.4;Reduce by 50% the use of more hazardous pesticides (target in common with the Biodiversity Strategy and Zero Pollution Action Plan);A - Agriculture, Forestry and Fishing;C - Manufacturing;;A1 - Crop and animal production, hunting and related service activities;C20 - Manufacture of chemicals and chemical products;;A1.1 - Growing of non-perennial crops;C20.2 - Manufacture of pesticides and other agrochemical products;;The target focuses on pesticide reduction, involving agriculture and chemical manufacturing.;9
TA5.5;Reduce by 50% the use and risk of chemical pesticides (target in common with the Biodiversity Strategy and Zero Pollution Action Plan);A - Agriculture, Forestry and Fishing;C - Manufacturing;;A1 - Crop and animal production, hunting and related service activities;C20 - Manufacture of chemicals and chemical products;;A1.1 - Growing of non-perennial crops;C20.2 - Manufacture of pesticides and other agrochemical products;;The target is about reducing pesticide use and risk, involving agriculture and chemical manufacturing.;9
TA5.6;Increase sustainable fishing and aquaculture. Bring fish stocks to sustainable levels. Significant increase in organic aquaculture (target in common with CFP);A - Agriculture, Forestry and Fishing;;;;A3 - Fishing and aquaculture;;;;A3.1 - Fishing;The target focuses on sustainable fishing and aquaculture, involving the fishing industry.;9
TA5.7;Tackle climate change: climate change adaptation and mitigation. Ensure that agriculture, fisheries and aquaculture, and the food value chain contribute to the target of reducing greenhouse gas emissions to at least 55% below 1990 levels by 2030 and to the achievement of the objective for a climate neutral Union in 2050.;A - Agriculture, Forestry and Fishing;C - Manufacturing;G - Wholesale and Retail Trade, Repair of Motor Vehicles and Motorcycles;A1 - Crop and animal production, hunting and related service activities;C10 - Manufacture of food products;G47 - Retail trade, except of motor vehicles and motorcycles;A1.1 - Growing of non-perennial crops;C10.8 - Manufacture of other food products;G47.1 - Retail sale in non-specialised stores;The target involves climate change mitigation across agriculture, manufacturing, and retail.;9
TA5.8;Sustainable use of water. Preserving freshwater, boosting water reuse in agriculture.;A - Agriculture, Forestry and Fishing;E - Water Supply, Sewerage, Waste Management and Remediation Activities;;A1 - Crop and animal production, hunting and related service activities;E36 - Water collection, treatment and supply;;A1.1 - Growing of non-perennial crops;E36.0 - Water collection, treatment and supply;;The target focuses on sustainable water use in agriculture, involving agriculture and water supply.;9
TA5.9;Increase organic farming with the aim to achieve at least 25% of total farmland under organic farming by 2030 (target in common with the Biodiversity Strategy 2030);A - Agriculture, Forestry and Fishing;;;;A1 - Crop and animal production, hunting and related service activities;;;;A1.1 - Growing of non-perennial crops;The target is about increasing organic farming, involving agriculture.;9
