TA1.3;Reduce by at least 55% net GHG emissions compared to 1990 levels, by 2030.;TA4.3;+;The reduction of GHG emissions will lead to a decrease in air pollution, which in turn will have a positive impact on the target of reducing the yearly average GHG intensity of the energy used on board by a ship during a reporting period.
TA2.6;Energy demand to be covered by solar heat and geothermal should at least triple;TA2.5;+;The increase in solar heat and geothermal energy demand will lead to an increase in renewable energy production, which will have a positive impact on the target of bringing online over 320 GW of solar photovoltaic by 2025.
TA2.7;Over this decade, the EU will need to install, on average, approximately 45 GW per year of PV to reach the share of 45% of energy coming from renewables set out in the REPowerEU Plan;TA2.5;+;The increase in PV installation will lead to an increase in renewable energy production, which will have a positive impact on the target of bringing online over 320 GW of solar photovoltaic by 2025.
TA2.9;Member States shall collectively ensure that the share of energy from renewable sources in the Union’s gross final consumption of energy in 2030 is at least 42.5%;TA2.1;+;The increase in renewable energy production will lead to a decrease in GHG emissions, which will have a positive impact on the REPowerEU target.
TA3.51;Member States shall ensure that waste management operators achieve a yearly target for the recycling of plastics of at least 30 % of the total weight of plastics contained in the vehicles delivered to the waste management operators.;TA3.52;-;The increase in plastic recycling may lead to an increase in the use of recycled plastics in the chemical and plastic products sector, which could have a negative impact on the target of ensuring that at least 20% of the carbon used in the chemical and plastic products should be from sustainable non-fossil sources by 2030.
TA3.52;At least 20% of the carbon used in the chemical and plastic products should be from sustainable non-fossil sources by 2030;TA3.51;+;The increase in the use of sustainable non-fossil sources will lead to a decrease in GHG emissions, which will have a positive impact on the target of recycling plastics.
TA4.3;The yearly average GHG intensity of the energy used on board by a ship during a reporting period shall be reduced;TA1.3;+;The reduction of GHG intensity will lead to a decrease in GHG emissions, which will have a positive impact on the target of reducing net GHG emissions by at least 55% compared to 1990 levels.
TA4.5;Sustainable Aviation Fuel made available to aircraft operators at each Union airport will be at least 2% from 2025;TA1.3;+;The increase in Sustainable Aviation Fuel will lead to a decrease in GHG emissions, which will have a positive impact on the target of reducing net GHG emissions by at least 55% compared to 1990 levels.
TA4.9;Cut the emissions of transport sector by 90% by 2050 relative to 1990;TA1.3;+;The reduction of transport sector emissions will lead to a decrease in GHG emissions, which will have a positive impact on the target of reducing net GHG emissions by at least 55% compared to 1990 levels.
TA4.10;EU fisheries are encouraged to continue the positive trend, as observed for the period 2009-2019, towards reducing fuel intensity;TA4.9;+;The reduction of fuel intensity will lead to a decrease in GHG emissions, which will have a positive impact on the target of cutting the emissions of transport sector by 90% by 2050.
TA4.11;Reduce the average door-to-door cost of combined transport operations by at least 10% within 7 years;TA4.9;-;The reduction of transport costs may lead to an increase in transport demand, which could have a negative impact on the target of cutting the emissions of transport sector by 90% by 2050.
TA4.13;For [...] “urban buses” manufacturers shall comply with the 90% minimum shares in their fleet of new heavy-duty vehicles;TA4.9;+;The increase in the use of zero-emission urban buses will lead to a decrease in GHG emissions, which will have a positive impact on the target of cutting the emissions of transport sector by 90% by 2050.
TA4.15;The average CO2 emissions of the Union fleet of new heavy-duty motor vehicles [...] shall be reduced;TA4.9;+;The reduction of CO2 emissions will lead to a decrease in GHG emissions, which will have a positive impact on the target of cutting the emissions of transport sector by 90% by 2050.
TA4.18;The share of biofuels and biogas produced from the feedstock listed in Part B of Annex IX in the energy content of fuels and electricity supplied to the transport sector shall, except in Cyprus and Malta, be limited to 1.7%;TA4.9;-;The limitation of biofuels and biogas may lead to an increase in the use of fossil fuels, which could have a negative impact on the target of cutting the emissions of transport sector by 90% by 2050.
TA4.19;The yearly quantity of aviation fuel uplifted by a given aircraft operator at a given Union airport shall be at least 90% of the yearly aviation fuel required;TA4.5;+;The increase in the use of aviation fuel will lead to a decrease in tankering practices, which will have a positive impact on the target of ensuring that Sustainable Aviation Fuel made available to aircraft operators at each Union airport will be at least 2% from 2025.
TA4.20;In the first phase, from 2020 up to 2024, the strategic objective is to install at least 6 GW of renewable hydrogen electrolysers in the EU;TA2.1;+;The increase in renewable hydrogen electrolysers will lead to an increase in renewable energy production, which will have a positive impact on the REPowerEU target.
TA4.25;Member States shall ensure that, at the end of each year, the following power output targets are met cumulatively;TA2.4;+;The increase in power output targets will lead to an increase in the demand for individual heat pumps, which will have a positive impact on the target of doubling the current deployment rate of individual heat pumps.
TA4.26;Member States shall ensure that along the TEN-T core and comprehensive network, publicly accessible recharging pools dedicated to light-duty vehicles deployed in each direction of travel with a maximum distance of 60 km in-between them;TA2.4;+;The increase in recharging pools will lead to an increase in the demand for individual heat pumps, which will have a positive impact on the target of doubling the current deployment rate of individual heat pumps.
TA4.27;Member States shall ensure that, by 31 December 2030, along the TEN-T core road network, publicly accessible recharging pools dedicated to heavy-duty electric vehicles are deployed;TA2.4;+;The increase in recharging pools will lead to an increase in the demand for individual heat pumps, which will have a positive impact on the target of doubling the current deployment rate of individual heat pumps.
