target_code;target_content;impact_target;impact_type;justification
TA3.28;The plastic part in packaging shall contain the following minimum percentage of recycled content recovered from post-consumer plastic waste;TA6.2;+;The increased use of recycled plastic in packaging, as targeted by TA3.28, can contribute to protecting at least 30% of the EU's sea area, as targeted by TA6.2, by reducing the amount of plastic waste that enters the ocean and promoting sustainable packaging practices.
TA3.29;Member States shall take measures to achieve a sustained reduction in the consumption of lightweight plastic carrier bags;TA6.3;-;The reduction of lightweight plastic carrier bags, as targeted by TA3.29, may have a negative impact on TA6.3 if the reduction of plastic bags leads to increased use of other materials, such as paper or cotton, which may have higher environmental impacts and compromise the protection of protected areas.
TA3.30;Each Member State shall reduce the packaging waste generated per capita, as compared to the packaging waste generated per capita in 2018;TA6.4;+;The reduction of packaging waste per capita, as targeted by TA3.30, can contribute to strictly protecting all remaining EU primary and old-growth forests, as targeted by TA6.4, by reducing the amount of waste generated by packaging and promoting sustainable forestry practices.
TA3.31;Member States shall take the necessary measures to attain the recycling targets of 65% by weight of all packaging waste generated by 31 December 2025;TA6.7;+;The increased recycling rate of packaging waste, as targeted by TA3.31, can contribute to restoring significant areas of degraded and carbon-rich ecosystems, as targeted by TA6.7, by reducing the amount of waste that enters the environment and promoting sustainable ecosystem services.
TA3.32;Member States shall take the necessary measures to attain a recycling target of 50% of plastic by weight of plastic contained in packaging waste generated by 31 December 2025;TA6.8;-;The increased recycling rate of plastic packaging waste, as targeted by TA3.32, may have a negative impact on TA6.8 if the focus on plastic recycling leads to increased use of pesticides and other chemicals, compromising the decline of pollinators.
TA3.33;Member States shall take the necessary measures to attain a recycling target of 25% of wood by weight of wood contained in packaging waste generated by 31 December 2025;TA6.9;+;The increased recycling rate of wood packaging waste, as targeted by TA3.33, can contribute to reducing the risk and use of chemical pesticides, as targeted by TA6.9, by promoting sustainable forestry practices and reducing the amount of waste generated by wood packaging.
TA3.34;Member States shall take the necessary measures to attain a recycling target of 70% of ferrous metals by weight of ferrous metals contained in packaging waste generated by 31 December 2025;TA6.10;+;The increased recycling rate of ferrous metals, as targeted by TA3.34, can contribute to increasing the area under high-diversity landscape features, as targeted by TA6.10, by reducing the amount of waste generated by ferrous metal packaging and promoting sustainable agriculture practices.
TA3.35;Member States shall take the necessary measures to attain a recycling target of 50% of aluminum by weight of aluminum contained in packaging waste generated by 31 December 2025;TA6.11;-;The increased recycling rate of aluminum packaging waste, as targeted by TA3.35, may have a negative impact on TA6.11 if the focus on aluminum recycling leads to increased energy consumption and greenhouse gas emissions, compromising the planting of three billion trees.
TA3.36;Member States shall take the necessary measures to attain a recycling target of 70% of glass by weight of glass contained in packaging waste generated by 31 December 2025;TA6.13;+;The increased recycling rate of glass packaging waste, as targeted by TA3.36, can contribute to restoring at least 25,000 km of free-flowing rivers, as targeted by TA6.13, by reducing the amount of waste that enters the environment and promoting sustainable ecosystem services.
TA3.37;Member States shall take the necessary measures to attain a recycling target of 75% of paper and cardboard by weight of paper and cardboard contained in packaging waste generated by 31 December 2025;TA6.14;+;The increased recycling rate of paper and cardboard packaging waste, as targeted by TA3.37, can contribute to reducing the number of Red List species threatened by Invasive Alien Species, as targeted by TA6.14, by reducing the amount of waste that enters the environment and promoting sustainable ecosystem services.
TA3.38;Each vehicle belonging to a vehicle type that is type-approved as of [the first day of the month following 72 months after the date of entry into force of this Regulation] under Regulation (EU) 2018/858 shall be constructed so that it is:;TA5.32;-;The increased demand for critical raw materials, as targeted by TA3.38, may have a negative impact on TA5.32 if the extraction and processing of these materials leads to environmental degradation and health risks, compromising food security and access to quality food.
TA3.48;The plastic contained in each vehicle type that is type-approved as of [the first day of the month following 72 months after the date of entry into force of the Regulation] under Regulation (EU) 2018/858 shall contain a minimum of 25% of plastic recycled by weight from post-consumer plastic waste;TA6.1;+;The increased use of recycled plastic in vehicles, as targeted by TA3.48, can contribute to protecting at least 30% of the EU's land area, as targeted by TA6.1, by reducing the amount of plastic waste that enters the environment and promoting sustainable packaging practices.
TA3.49;At least 25% of the target set out in the first subparagraph shall be achieved by including plastics recycled from end-of-life vehicles in the vehicle type concerned.;TA6.2;+;The increased use of recycled plastic from end-of-life vehicles, as targeted by TA3.49, can contribute to protecting at least 30% of the EU's sea area, as targeted by TA6.2, by reducing the amount of plastic waste that enters the ocean and promoting sustainable packaging practices.
TA3.50;Member States shall ensure that the following targets are met by the waste management operators:;TA6.3;-;The implementation of TA3.50, which aims to increase the recycling rate of waste, may have a negative impact on TA6.3 if the focus on recycling leads to increased costs and complexity for waste management operations, making it more difficult to protect protected areas.
