TA6.47; Planting at least three billion additional trees by 2030; TA2.38; +; The implementation of TA6.47 is likely to have a positive impact on TA2.38, as the increased tree cover can contribute to carbon sequestration and help achieve the EU's offshore wind and renewable energy targets.
TA7.11; Improve water quality by reducing microplastics released into the environment (by 30%); TA6.51; +; The implementation of TA7.11 is likely to have a positive impact on TA6.51, as reducing microplastics can contribute to improving water quality, which can in turn support the development of industrial ecosystems.
TA7.13; Reduce by 25% the EU ecosystems where air pollution threatens biodiversity; TA6.48; +; The implementation of TA7.13 is likely to have a positive impact on TA6.48, as reducing air pollution can contribute to improving ecosystem health, which can in turn support the development of forest ecosystems and the achievement of indicators for forest ecosystem health.
TA7.14; Reduce the share of people chronically disturbed by transport noise by 30%, by 2030; TA3.9; -; The implementation of TA7.14 is likely to have a negative impact on TA3.9, as reducing transport noise can lead to increased transportation activity, which can in turn increase energy consumption and greenhouse gas emissions.
TA7.15; Having all soils in healthy condition by 2050; TA6.50; +; The implementation of TA7.15 is likely to have a positive impact on TA6.50, as achieving healthy soil conditions can contribute to reducing land take and promoting sustainable land use.
TA7.16; By means of an updated and harmonised list of pollutants affecting surface and groundwater; TA6.51; +; The implementation of TA7.16 is likely to have a positive impact on TA6.51, as improving water quality can contribute to reducing pollution and promoting a healthier environment, which can in turn support the development of industrial ecosystems.
TA2.38; Cumulative EU offshore goals of installed capacity: 60 GW by 2030 and 300 GW by 2050; TA6.47; +; The implementation of TA2.38 is likely to have a positive impact on TA6.47, as increasing offshore wind capacity can contribute to reducing greenhouse gas emissions and promoting sustainable land use, which can in turn support the development of forest ecosystems.
TA2.39; The strategy sets targets for an installed capacity of at least 1 GW of ocean energy by 2030 and 40 GW by 2050; TA7.4; +; The implementation of TA2.39 is likely to have a positive impact on TA7.4, as increasing ocean energy capacity can contribute to reducing industrial emissions and promoting a more circular economy.
TA2.40; Around 30% of EU primary steel production is expected to be decarbonised on the basis of renewable hydrogen; TA7.9; +; The implementation of TA2.40 is likely to have a positive impact on TA7.9, as decarbonising steel production can contribute to improving air quality and reducing greenhouse gas emissions.
TA3.1; Halve the amount of residual municipal waste by 2030; TA6.50; +; The implementation of TA3.1 is likely to have a positive impact on TA6.50, as reducing waste can contribute to reducing land take and promoting sustainable land use.
TA3.3; Double EU’s circular material use rate in the coming decade; TA7.6; +; The implementation of TA3.3 is likely to have a positive impact on TA7.6, as increasing circular material use can contribute to reducing chemical pesticides and promoting a more circular economy.
TA3.8; By 2030, Union extraction capacity should be able to extract the ores, minerals or concentrates needed to produce at least 10% of the Union’s annual consumption of strategic raw materials; TA7.4; +; The implementation of TA3.8 is likely to have a positive impact on TA7.4, as increasing extraction capacity can contribute to reducing industrial emissions and promoting a more circular economy.
TA3.9; By 2030, Union processing capacity, including for all intermediate processing steps, should be able to produce at least 40% of the Union’s annual consumption of strategic raw materials; TA7.5; +; The implementation of TA3.9 is likely to have a positive impact on TA7.5, as increasing processing capacity can contribute to improving wastewater treatment and promoting a more circular economy.
TA3.11; Diversify the Union’s imports of strategic raw materials; TA7.16; +; The implementation of TA3.11 is likely to have a positive impact on TA7.16, as diversifying imports can contribute to improving water quality and reducing pollution.
TA3.12; Manufacturing capacity in the Union of the strategic net-zero technologies listed in the Annex approaches or reaches a benchmark of at least 40% of the Union’s annual deployment needs; TA7.9; +; The implementation of TA3.12 is likely to have a positive impact on TA7.9, as increasing manufacturing capacity can contribute to improving air quality and reducing greenhouse gas emissions.
TA3.13; By 2030, Union recycling capacity, including for all intermediate recycling steps, should be able to produce at least 25% of the Union’s annual consumption of strategic raw materials; TA7.6; +; The implementation of TA3.13 is likely to have a positive impact on TA7.6, as increasing recycling capacity can contribute to reducing chemical pesticides and promoting a more circular economy.
TA3.15; Producers of starting, lighting and ignition batteries shall take back free of charge and without an obligation on the end-user to buy a new battery; TA7.11; +; The implementation of TA3.15 is likely to have a positive impact on TA7.11, as increasing battery recycling can contribute to reducing microplastics and promoting a more circular economy.
TA3.16; Producers of portable batteries or producer responsibility organisations shall attain and maintain at least the following collection targets for waste portable batteries; TA7.11; +; The implementation of TA3.16 is likely to have a positive impact on TA7.11, as increasing battery collection can contribute to reducing microplastics and promoting a more circular economy.
TA3.17; Producers of LMT batteries or producer responsibility organisations shall attain and maintain at least the following collection targets of waste LMT batteries; TA7.11; +; The implementation of TA3.17 is likely to have a positive impact on TA7.11, as increasing battery collection can contribute to reducing microplastics and promoting a more circular economy.
TA3.18; For industrial batteries with a capacity greater than 2kWh, except those with exclusively external storage, electric vehicle batteries and starting, lighting and ignition batteries that contain cobalt, lead, lithium or nickel in active materials; TA7.9; +; The implementation of TA3.18 is likely to have a positive impact on TA7.9, as increasing battery recycling can contribute to improving air quality and reducing greenhouse gas emissions.
TA3.19; Any natural or legal person that places on the market products incorporating portable batteries shall ensure that those batteries are readily removable and replaceable; TA7.11; +; The implementation of TA3.19 is likely to have a positive impact on TA7.11, as increasing battery recyclability can contribute to reducing microplastics and promoting a more circular economy.
TA3.20; Recycling shall achieve at least the following targets for recycling efficiency; TA7.6; +; The implementation of TA3.20 is likely to have a positive impact on TA7.6, as increasing recycling efficiency can contribute to reducing chemical pesticides and promoting a more circular economy.
TA3.21; Recycling shall achieve at least the following targets for recycling efficiency; TA7.6; +; The implementation of TA3.21 is likely to have a positive impact on TA7.6, as increasing recycling efficiency can contribute to reducing chemical pesticides and promoting a more circular economy.
TA3.22; Recycling shall achieve at least the following targets for recovery of materials; TA7.9; +; The implementation of TA3.22 is likely to have a positive impact on TA7.9, as increasing material recovery can contribute to improving air quality and reducing greenhouse gas emissions.
