TA1.3; Reduce by at least 55% net GHG emissions compared to 1990 levels, by 2030.; TA2.9; +; The implementation of TA1.3 is likely to have a positive impact on TA2.9, as reducing GHG emissions will contribute to increasing the share of energy from renewable sources in the Union's gross final consumption of energy.
TA2.10; Member States shall set an indicative target for innovative renewable energy technology of at least 5% of newly installed renewable energy capacity by 2030; TA1.9; +; The implementation of TA2.10 is likely to have a positive impact on TA1.9, as the increased use of innovative renewable energy technologies will contribute to the reduction of GHG emissions in the ETS sector.
TA2.11; By 31 December 2025, each Member State shall agree to establish a framework for cooperation on joint projects with one or more other Member States for the production of renewable energy; TA1.9; +; The implementation of TA2.11 is likely to have a positive impact on TA1.9, as the increased cooperation on joint projects will contribute to the reduction of GHG emissions in the ETS sector.
TA2.13; The amount of renewable fuels and renewable electricity supplied to the transport sector leads to a share of renewable energy within the final consumption of energy in the transport sector of at least 29% by 2030; TA1.7; +; The implementation of TA2.13 is likely to have a positive impact on TA1.7, as the increased use of renewable fuels and electricity will contribute to the reduction of methane emissions in the transport sector.
TA2.14; Each Member State shall increase the share of renewable energy in the heating and cooling sector by at least 0.8 percentage points as an annual average calculated for the period 2021 to 2025; TA1.15; +; The implementation of TA2.14 is likely to have a positive impact on TA1.15, as the increased use of renewable energy in the heating and cooling sector will contribute to the reduction of emissions in the buildings sector.
TA2.15; By 2022, achieve 18% of the total increase in the share of energy from renewable sources between that Member State’s binding 2020 national target, and its contribution to the 2030 target of the share of energy from renewable sources in gross final consumption of energy; TA1.9; +; The implementation of TA2.15 is likely to have a positive impact on TA1.9, as the increased use of renewable energy sources will contribute to the reduction of GHG emissions in the ETS sector.
TA2.16; Member States shall endeavour to increase the share of renewable sources in the amount of energy sources used for final energy and non-energy purposes in the industry sector by an indicative increase of at least 1.6 percentage points as an annual average calculated for the periods 2021 to 2025 and 2026 to 2030; TA1.10; +; The implementation of TA2.16 is likely to have a positive impact on TA1.10, as the increased use of renewable energy sources in the industry sector will contribute to the reduction of emissions in the buildings and road transport sectors.
TA2.17; A target of 15% electricity interconnection for 2030; TA1.9; +; The implementation of TA2.17 is likely to have a positive impact on TA1.9, as the increased interconnection will contribute to the reduction of GHG emissions in the ETS sector.
TA2.21; Member States shall ensure that the total final energy consumption of all public bodies combined is reduced by at least 1.9% each year, when compared to 2021; TA1.15; +; The implementation of TA2.21 is likely to have a positive impact on TA1.15, as the reduced energy consumption will contribute to the reduction of emissions in the buildings sector.
TA2.22; Member States shall collectively ensure a reduction of energy consumption of at least 11.7% in 2030 compared to the projections of the 2020 EU Reference Scenario; TA1.15; +; The implementation of TA2.22 is likely to have a positive impact on TA1.15, as the reduced energy consumption will contribute to the reduction of emissions in the buildings sector.
TA2.23; Member States shall make efforts to collectively contribute to the indicative Union primary energy consumption target amounting to no more than 992.5 Mtoe in 2030; TA1.15; +; The implementation of TA2.23 is likely to have a positive impact on TA1.15, as the reduced energy consumption will contribute to the reduction of emissions in the buildings sector.
TA2.24; Each Member State shall ensure that at least 3% of the total floor area of heated and/or cooled buildings is renovated each year to be transformed into at least nearly zero-energy buildings or zero-emission buildings; TA1.15; +; The implementation of TA2.24 is likely to have a positive impact on TA1.15, as the renovation of buildings will contribute to the reduction of emissions in the buildings sector.
TA2.25; Reduce buildings’ final energy consumption by 14%; TA1.15; +; The implementation of TA2.25 is likely to have a positive impact on TA1.15, as the reduced energy consumption will contribute to the reduction of emissions in the buildings sector.
TA2.26; At least double the annual energy renovation rate of residential and non-residential buildings by 2030 and to foster deep energy renovations; TA1.15; +; The implementation of TA2.26 is likely to have a positive impact on TA1.15, as the increased renovation rate will contribute to the reduction of emissions in the buildings sector.
TA2.28; Reduce buildings’ energy consumption for heating and cooling by 18% compared to 2015 levels by 2030; TA1.15; +; The implementation of TA2.28 is likely to have a positive impact on TA1.15, as the reduced energy consumption will contribute to the reduction of emissions in the buildings sector.
TA2.29; Member states will have to renovate 16% of worst-performing non-residential buildings by 2030 and, by 2033, the worst-performing 26% through minimum energy performance requirements; TA1.15; +; The implementation of TA2.29 is likely to have a positive impact on TA1.15, as the renovation of worst-performing buildings will contribute to the reduction of emissions in the buildings sector.
TA2.33; The national measures will have to ensure that at least 55% of the decrease of the average primary energy use is achieved through the renovation of the worst-performing buildings; TA1.15; +; The implementation of TA2.33 is likely to have a positive impact on TA1.15, as the renovation of worst-performing buildings will contribute to the reduction of emissions in the buildings sector.
TA2.34; Member States shall ensure that the average primary energy use of the entire residential building stock decreases by at least 16% compared to 2020 by 2030; TA1.15; +; The implementation of TA2.34 is likely to have a positive impact on TA1.15, as the reduced energy consumption will contribute to the reduction of emissions in the buildings sector.
TA2.41; Member States are required to achieve cumulative end-use energy savings from 2021 to 2030, equivalent to new annual savings of at least 0.8% of final energy consumption in 2021-2023, at least 1.3% in 2024-2025, 1.5% in 2026-2027 and 1.9% in 2028-2030; TA1.15; +; The implementation of TA2.41 is likely to have a positive impact on TA1.15, as the increased energy savings will contribute to the reduction of emissions in the buildings sector.
