TA3.51;The contribution of waste management operators to recycling of plastics;TA5.13;-;The reduction of food waste can lead to a decrease in the amount of waste sent to landfills, which in turn can reduce the need for waste management operators to recycle plastics, potentially having a negative impact on the target of recycling 30% of plastics in vehicles.;The connection between the two targets is based on the idea that reducing food waste can lead to a decrease in the overall amount of waste, which can then lead to a decrease in the need for recycling plastics.
TA4.8;Member States with maritime ports shall endeavour to ensure that as of 2030 the share of renewable fuels of non-biological origin (RFNBOs) in the total amount of energy supplied to the maritime transport sector is at least 1.2%;TA5.20;+;The increased use of RFNBOs in maritime transport can reduce emissions from shipping, making the EU's agri-food trade more competitive and sustainable.;The connection between the two targets is based on the idea that reducing emissions from shipping can make the EU's agri-food trade more competitive and sustainable.

TA4.9;Cut the emissions of transport sector by 90% by 2050 relative to 1990;TA5.20;+;The reduction of emissions from the transport sector can contribute to the overall goal of reducing emissions and increasing the competitiveness of the EU's agri-food trade.;The connection between the two targets is based on the idea that reducing emissions from transport can make the EU's agri-food trade more competitive and sustainable.

TA4.10;EU fisheries are encouraged to continue the positive trend, as observed for the period 2009-2019, towards reducing fuel intensity by reducing the fossil-fuel consumption per kg of landed product for at least an additional 15% for the period 2019-2030;TA5.20;+;The reduction of fuel intensity in fisheries can contribute to the overall goal of reducing emissions and increasing the competitiveness of the EU's agri-food trade.;The connection between the two targets is based on the idea that reducing emissions from fisheries can make the EU's agri-food trade more competitive and sustainable.

TA4.11;Reduce the average door-to-door cost of combined transport operations by at least 10% within 7 years;TA5.20;+;The reduction of costs in combined transport operations can make the EU's agri-food trade more competitive and sustainable.;The connection between the two targets is based on the idea that reducing costs in transport can make the EU's agri-food trade more competitive and sustainable.

TA4.13;For [...] “urban buses” manufacturers shall comply with the 90% (in the reporting period 2030-2034) and 100% (as from 2035) minimum shares in their fleet of new heavy-duty vehicles;TA5.20;+;The increased use of zero-emission urban buses can reduce emissions from transport, making the EU's agri-food trade more competitive and sustainable.;The connection between the two targets is based on the idea that reducing emissions from transport can make the EU's agri-food trade more competitive and sustainable.

TA4.15;The average CO2 emissions of the Union fleet of new heavy-duty motor vehicles [...], off-road vehicles and off-road special purpose vehicles shall be reduced by the following percentages compared to the average CO2 emissions of the reporting period of the year 2019;TA5.20;+;The reduction of CO2 emissions from heavy-duty vehicles can contribute to the overall goal of reducing emissions and increasing the competitiveness of the EU's agri-food trade.;The connection between the two targets is based on the idea that reducing emissions from transport can make the EU's agri-food trade more competitive and sustainable.

TA4.18;The share of biofuels and biogas produced from the feedstock listed in Part B of Annex IX in the energy content of fuels and electricity supplied to the transport sector shall, except in Cyprus and Malta, be limited to 1.7%;TA5.20;-;The limitation on the use of biofuels and biogas produced from certain feedstocks may not directly impact the competitiveness of the EU's agri-food trade.;There is no clear connection between the two targets, as one focuses on the transport sector, while the other focuses on the agri-food trade.

TA4.19;The yearly quantity of aviation fuel uplifted by a given aircraft operator at a given Union airport shall be at least 90% of the yearly aviation fuel required, to avoid tankering practices which would bring additional emissions from extra weight;TA5.20;+;The reduction of tankering practices can contribute to the overall goal of reducing emissions and increasing the competitiveness of the EU's agri-food trade.;The connection between the two targets is based on the idea that reducing emissions from aviation can make the EU's agri-food trade more competitive and sustainable.

TA4.20;In the first phase, from 2020 up to 2024, the strategic objective is to install at least 6 GW of renewable hydrogen electrolysers in the EU;TA5.20;+;The increased use of renewable hydrogen can reduce emissions from transport and industry, making the EU's agri-food trade more competitive and sustainable.;The connection between the two targets is based on the idea that reducing emissions from transport and industry can make the EU's agri-food trade more competitive and sustainable.

TA4.25;Member States shall ensure that, at the end of each year, the following power output targets are met cumulatively: (a) for each light-duty battery electric vehicle registered in their territory, a total power output of at least 1.3 kW is provided through publicly accessible recharging stations; and (b) for each light-duty plug-in hybrid vehicle registered in their territory, a total power output of at least 0.80 kW is provided through publicly accessible recharging stations.;TA5.20;+;The increased use of electric vehicles can reduce emissions from transport, making the EU's agri-food trade more competitive and sustainable.;The connection between the two targets is based on the idea that reducing emissions from transport can make the EU's agri-food trade more competitive and sustainable.

TA4.26;Member States shall ensure that along the TEN-T core and comprehensive network, publicly accessible recharging pools dedicated to light-duty vehicles deployed in each direction of travel with a maximum distance of 60 km in-between them offering a power output of at least 600kW and including at least one recharging point with an individual power output of at least 150 kW.;TA5.20;+;The increased use of electric vehicles can reduce emissions from transport, making the EU's agri-food trade more competitive and sustainable.;The connection between the two targets is based on the idea that reducing emissions from transport can make the EU's agri-food trade more competitive and sustainable.

TA4.27;Member States shall ensure that, by 31 December 2030 (with intermediate 2025 and 2027 targets), along the TEN-T core road network, publicly accessible recharging pools dedicated to heavy-duty electric vehicles are deployed in each direction of travel with a maximum distance of 60 km between them [...].;TA5.20;+;The increased use of electric vehicles can reduce emissions from transport, making the EU's agri-food trade more competitive and sustainable.;The connection between the two targets is based on the idea that reducing emissions from transport can make the EU's agri-food trade more competitive and sustainable.

TA5.12;Genetic biodiversity of food production systems: Secure and ensure access to a range of quality seeds for plant varieties in order to adapt to the pressures of climate change.;TA3.51;-;The focus on genetic biodiversity of food production systems may not directly impact the recycling of plastics in vehicles.;There is no clear connection between the two targets, as one focuses on food production systems, while the other focuses on waste management.

TA5.13;Reduce food waste;TA4.3;+;Reducing food waste can lead to a decrease in the amount of waste sent to landfills, which in turn can lead to a reduction in GHG emissions from shipping.;The connection between the two targets is based on the idea that reducing food waste can lead to a decrease in emissions from shipping.

TA5.14;Circular economy: Scale-up and promote sustainable and socially responsible production methods and circular business models in food processing and retail.;TA4.5;+;The promotion of circular economy practices in food processing and retail can lead to a reduction in emissions from aviation, as sustainable aviation fuels can be produced from waste biomass.;The connection between the two targets is based on the idea that reducing waste and promoting circular economy practices can lead to a reduction in emissions from aviation.

TA5.15;Consumption footprint: Reduce the environmental and climate footprint of the EU food system, operating within planetary boundaries.;TA4.7;+;The reduction of the environmental and climate footprint of the EU food system can contribute to the overall goal of reducing emissions from transport.;The connection between the two targets is based on the idea that reducing emissions from food production and consumption can make the EU's transport sector more sustainable.

TA5.16;Income distribution: Ensure fair income and salaries.;TA4.10;+;The fair distribution of income and salaries can lead to a reduction in fuel intensity in fisheries, as fishermen and fishing communities may be more likely to adopt sustainable practices.;The connection between the two targets is based on the idea that fair income distribution can lead to more sustainable practices in fisheries.

TA5.17;Sectorial growth: Help farmers and fishers to strengthen their position in the supply chain and to capture a fair share of the added value of sustainable production.;TA4.11;+;The growth of the agricultural and fisheries sectors can lead to a reduction in costs in combined transport operations, as more efficient and sustainable practices are adopted.;The connection between the two targets is based on the idea that sectorial growth can lead to more efficient and sustainable practices in transport.

TA5.18;Market power and business structure: Improve agricultural rules that strengthen the position of farmers (e.g. producers of products with geographical indications), their cooperatives and producer organisations in the food supply chain.;TA4.13;+;The improvement of agricultural rules can lead to a reduction in emissions from transport, as more efficient and sustainable practices are adopted.;The connection between the two targets is based on the idea that improving agricultural rules can lead to more sustainable practices in transport.

TA5.19;Price: Preserve the price affordability of food.;TA4.20;-;The preservation of price affordability of food may not directly impact the installation of renewable hydrogen electrolysers.;There is no clear connection between the two targets, as one focuses on food prices, while the other focuses on energy production.

TA5.20;Trade: Foster the competitiveness of the EU supply sector.;TA4.3;+;The competitiveness of the EU supply sector can lead to a reduction in GHG emissions from shipping, as more efficient and sustainable practices are adopted.;The connection between the two targets is based on the idea that a competitive supply sector can lead to more sustainable practices in shipping.

TA5.21;Digitalisation and knowledge transfer. Ensure access to fast broadband to all farmers and all rural areas to achieve the objective of 100% access by 2025;TA4.25;+;The increased access to fast broadband can lead to a reduction in emissions from transport, as more efficient and sustainable practices are adopted.;The connection between the two targets is based on the idea that digitalisation can lead to more sustainable practices in transport.

TA5.22;Transport, accessibility and infrastructure: Create shorter supply chains will support reducing dependence on long-haul transportation.;TA4.11;+;The creation of shorter supply chains can lead to a reduction in costs in combined transport operations, as more efficient and sustainable practices are adopted.;The connection between the two targets is based on the idea that shorter supply chains can lead to more efficient and sustainable practices in transport.

TA5.23;Employment and working conditions: Create new job opportunities.;TA4.13;+;The creation of new job opportunities can lead to a reduction in emissions from transport, as more people are employed in sustainable sectors.;The connection between the two targets is based on the idea that job creation can lead to more sustainable practices in transport.

TA5.24;Social protection and poverty: Ensure fair, inclusive and ethical value chains.;TA4.20;-;The focus on social protection and poverty may not directly impact the installation of renewable hydrogen electrolysers.;There is no clear connection between the two targets, as one focuses on social protection, while the other focuses on energy production.

TA5.25;Animal welfare: Promote better animal welfare to improve animal health and food quality.;TA4.5;-;The promotion of animal welfare may not directly impact the use of sustainable aviation fuels.;There is no clear connection between the two targets, as one focuses on animal welfare, while the other focuses on energy production.

TA5.27;Food messaging: Provide food information and labelling to empower consumers to make informed, healthy and sustainable food choices.;TA4.7;+;The provision of food information and labelling can lead to a reduction in emissions from transport, as consumers make more sustainable choices.;The connection between the two targets is based on the idea that informed consumers can lead to more sustainable practices in transport.

TA5.29;Food availability: Improve availability of sustainable food.;TA4.11;+;The improvement of food availability can lead to a reduction in costs in combined transport operations, as more efficient and sustainable practices are adopted.;The connection between the two targets is based on the idea that food availability can lead to more efficient and sustainable practices in transport.

TA5.30;Food affordability: Ensure affordability to sufficient, nutritious and sustainable food.;TA4.20;-;The focus on food affordability may not directly impact the installation of renewable hydrogen electrolysers.;There is no clear connection between the two targets, as one focuses on food prices, while the other focuses on energy production.

TA5.31;Properties of food: Increase reformulation of food products in line with guidelines for healthy and sustainable diets.;TA4.5;-;The reformulation of food products may not directly impact the use of sustainable aviation fuels.;There is no clear connection between the two targets, as one focuses on food reformulation, while the other focuses on energy production.
