TA1.3;Reduce greenhouse gas emissions by 55% compared to 1990 levels by 2030;TA2.38;+;The reduction of greenhouse gas emissions will likely have a positive impact on the cumulative EU offshore goals of installed capacity, as a decrease in emissions will lead to an increase in the use of renewable energy sources, such as offshore wind. This, in turn, will contribute to achieving the target of 60 GW of installed capacity by 2030.
TA1.13;No debit rule;TA3.1;+;The implementation of the no debit rule, which aims to ensure that greenhouse gas emissions from the LULUCF sector do not exceed greenhouse gas removals, will likely have a positive impact on the target of halving the amount of residual municipal waste by 2030, as the reduction in emissions will lead to a decrease in waste generation.

TA1.15;Reduce buildings’ greenhouse gas emissions by 60%, by 2030;TA2.9;+;The reduction of buildings' greenhouse gas emissions will likely have a positive impact on the target of ensuring that the share of energy from renewable sources in the Union’s gross final consumption of energy in 2030 is at least 42.5%, as a decrease in emissions from buildings will lead to an increase in the use of renewable energy sources.

TA2.1;REPowerEU sets a target of 10 million tonnes of domestic renewable hydrogen production and 10 million tonnes of renewable hydrogen imports by 2030;TA1.10;+;The production and import of renewable hydrogen will likely have a positive impact on the target of reducing emissions from the buildings and road transport sectors, as renewable hydrogen can be used as a low-carbon energy source in these sectors.

TA2.3;Set a minimum share of renewable fuels of non-biological origin in industry;TA1.11;+;The implementation of a minimum share of renewable fuels of non-biological origin in industry will likely have a positive impact on the target of reducing emissions from the ESR sectors, as the use of renewable fuels will lead to a decrease in emissions.

TA2.4;Double the current deployment rate of individual heat pumps;TA1.15;+;The increased deployment of heat pumps will likely have a positive impact on the target of reducing buildings' greenhouse gas emissions, as heat pumps are a low-carbon alternative to traditional heating systems.

TA2.5;Bring online over 320 GW of solar photovoltaic by 2025 and almost 600 GW by 2030;TA1.3;+;The increased deployment of solar photovoltaic will likely have a positive impact on the target of reducing greenhouse gas emissions, as solar energy is a low-carbon source of electricity.

TA2.9;Ensure that the share of energy from renewable sources in the Union’s gross final consumption of energy in 2030 is at least 42.5%;TA1.3;+;The increased share of renewable energy in the energy mix will likely have a positive impact on the target of reducing greenhouse gas emissions, as renewable energy sources are low-carbon.

TA3.1;Halve the amount of residual municipal waste by 2030;TA1.12;-;The target of halving the amount of residual municipal waste by 2030 may have a negative impact on the target of achieving an EU net greenhouse gas removal of 310 million tonnes CO2 equivalent per year for the LULUCF sector by 2030, as the focus on waste reduction may lead to an increase in emissions from the LULUCF sector.

TA3.8;Double the EU’s circular material use rate in the coming decade;TA1.11;+;The increased circular material use rate will likely have a positive impact on the target of reducing emissions from the ESR sectors, as the use of recycled materials will lead to a decrease in emissions.

TA3.9;Increase processing capacity for all intermediate processing steps to produce at least 40% of the Union’s annual consumption of strategic raw materials by 2030;TA1.10;+;The increased processing capacity for strategic raw materials will likely have a positive impact on the target of reducing emissions from the buildings and road transport sectors, as the use of recycled materials will lead to a decrease in emissions.

TA3.12;Diversify the Union’s imports of strategic raw materials;TA1.10;+;The diversification of imports of strategic raw materials will likely have a positive impact on the target of reducing emissions from the buildings and road transport sectors, as the use of recycled materials will lead to a decrease in emissions.

TA3.13;Increase recycling capacity to produce at least 25% of the Union’s annual consumption of strategic raw materials by 2030;TA1.10;+;The increased recycling capacity will likely have a positive impact on the target of reducing emissions from the buildings and road transport sectors, as the use of recycled materials will lead to a decrease in emissions.

TA3.15;Producers of batteries to take back, free of charge, waste batteries;TA1.11;+;The take-back of waste batteries will likely have a positive impact on the target of reducing emissions from the ESR sectors, as the recycling of batteries will lead to a decrease in emissions.

TA3.16;Set indicative targets for innovative renewable energy technology;TA2.1;+;The implementation of innovative renewable energy technology will likely have a positive impact on the target of producing 10 million tonnes of domestic renewable hydrogen, as innovative technologies can improve the efficiency of renewable hydrogen production.

TA3.17;Set targets for the collection of waste portable batteries;TA1.11;+;The collection of waste portable batteries will likely have a positive impact on the target of reducing emissions from the ESR sectors, as the recycling of batteries will lead to a decrease in emissions.

TA3.18;Set minimum recycled content targets for batteries;TA1.11;+;The implementation of minimum recycled content targets for batteries will likely have a positive impact on the target of reducing emissions from the ESR sectors, as the use of recycled materials will lead to a decrease in emissions.

TA3.20;Achieve recycling efficiency targets for batteries;TA1.11;+;The achievement of recycling efficiency targets for batteries will likely have a positive impact on the target of reducing emissions from the ESR sectors, as the recycling of batteries will lead to a decrease in emissions.

TA3.21;Achieve recycling efficiency targets for lithium-based batteries;TA1.11;+;The achievement of recycling efficiency targets for lithium-based batteries will likely have a positive impact on the target of reducing emissions from the ESR sectors, as the recycling of batteries will lead to a decrease in emissions.

TA3.22;Achieve recovery targets for materials from waste batteries;TA1.11;+;The achievement of recovery targets for materials from waste batteries will likely have a positive impact on the target of reducing emissions from the ESR sectors, as the recycling of batteries will lead to a decrease in emissions.
