target_code;target_content;impact_target;impact_type;justification
TA4.28;By 31 December 2030, in each safe and secure parking area at least four publicly accessible recharging stations dedicated to heavy-duty electric vehicles.;TA6.36;-;The implementation of TA4.28 may have a negative impact on TA6.36, as the deployment of recharging stations can lead to increased urbanization and loss of urban green space.
TA4.29;By 31 December 2030, in each urban node publicly accessible recharging points dedicated to heavy-duty electric vehicles.;TA6.37;-;The implementation of TA4.29 may have a negative impact on TA6.37, as the deployment of recharging points can lead to increased urbanization and loss of urban green space.
TA4.30;Member States shall ensure that, by 31 December 2030, at least one publicly accessible hydrogen refuelling station is deployed in each urban node.;TA6.38;-;The implementation of TA4.30 may have a negative impact on TA6.38, as the deployment of hydrogen refuelling stations can lead to increased urbanization and loss of urban tree canopy cover.
TA4.31;Member States shall ensure that, by 31 December 2030, publicly accessible hydrogen refuelling stations with a total capacity of at least 1 tonne per day, and equipped with at least a 700 bar dispenser, are deployed at least every 200 km along the TEN-T.;TA6.39;-;The implementation of TA4.31 may have a negative impact on TA6.39, as the deployment of hydrogen refuelling stations can lead to increased urbanization and loss of natural connectivity of rivers.
TA4.32;States shall ensure that, at all airports of the TEN-T core network and TEN-T comprehensive network, the provision of electricity supply to stationary aircraft is ensured by 31 December 2029.;TA6.40;-;The implementation of TA4.32 may have a negative impact on TA6.40, as the deployment of electricity supply to stationary aircraft can lead to increased energy consumption and pollution, which can negatively impact pollinators.
TA4.33;Member States shall ensure that at least one installation providing shore-side electricity supply to inland waterway vessels is deployed at all TEN-T core inland waterway ports by 1 January 2025.;TA6.41;-;The implementation of TA4.33 may have a negative impact on TA6.41, as the deployment of shore-side electricity supply can lead to increased energy consumption and pollution, which can negatively impact marine ecosystems.
TA4.34;Member States shall ensure that a minimum shore-side electricity supply for seagoing container ships and seagoing passenger ships is provided in TEN-T maritime ports.;TA6.42;-;The implementation of TA4.34 may have a negative impact on TA6.42, as the deployment of shore-side electricity supply can lead to increased energy consumption and pollution, which can negatively impact ecosystems.
TA4.55;Zero-emission in urban logistics;TA6.44;-;The implementation of TA4.55 may have a negative impact on TA6.44, as the deployment of zero-emission urban logistics can lead to increased energy consumption and pollution, which can negatively impact agricultural ecosystems.
TA5.2;Reduce overall EU sales of antimicrobials for farmed animals and in aquaculture by 50% by 2030.;TA6.31;+;The implementation of TA5.2 is likely to have a positive impact on TA6.31, as the reduction of antimicrobials can lead to improved ecosystem health, which can contribute to achieving the target of restoring terrestrial, coastal and freshwater ecosystems.
TA5.3;Reduce nutrient losses by at least 50%, while ensuring that there is no deterioration in soil fertility.;TA6.32;+;The implementation of TA5.3 is likely to have a positive impact on TA6.32, as the reduction of nutrient losses can lead to improved soil fertility, which can contribute to achieving the target of re-establishing habitat types.
TA5.4;Reduce by 50% the use of more hazardous pesticides;TA6.33;+;The implementation of TA5.4 is likely to have a positive impact on TA6.33, as the reduction of hazardous pesticides can lead to improved ecosystem health, which can contribute to achieving the target of restoring terrestrial, coastal and freshwater ecosystems.
TA5.5;Reduce by 50% the use and risk of chemical pesticides;TA6.34;+;The implementation of TA5.5 is likely to have a positive impact on TA6.34, as the reduction of chemical pesticides can lead to improved ecosystem health, which can contribute to achieving the target of ensuring natural connectivity of rivers.
TA5.6;Aquatic living resources: Increase sustainable fishing and aquaculture.;TA6.40;+;The implementation of TA5.6 is likely to have a positive impact on TA6.40, as the increase of sustainable fishing and aquaculture can lead to improved pollinator diversity, which can contribute to achieving the target of improving pollinator diversity.
TA5.7;Ensure that agriculture, fisheries and aquaculture, and the food value chain contribute to the target of reducing net greenhouse gas emissions to at least 55% below 1990 levels by 2030.;TA6.41;+;The implementation of TA5.7 is likely to have a positive impact on TA6.41, as the reduction of greenhouse gas emissions can lead to improved marine ecosystem health, which can contribute to achieving the target of restoring marine ecosystems.
TA5.8;Water: Preserving freshwater, boosting water reuse in agriculture.;TA6.42;+;The implementation of TA5.8 is likely to have a positive impact on TA6.42, as the preservation of freshwater can lead to improved ecosystem health, which can contribute to achieving the target of re-establishing habitat types.
TA5.9;Increase organic farming with the aim to achieve at least 25% of total farmland under organic farming by 2030;TA6.43;+;The implementation of TA5.9 is likely to have a positive impact on TA6.43, as the increase of organic farming can lead to improved knowledge on marine ecosystems, which can contribute to achieving the target of ensuring the condition is known for at least 50% of the area distributed over all habitat types.
TA5.10;Energy: Increase renewable energy in the agriculture and food sector.;TA6.44;+;The implementation of TA5.10 is likely to have a positive impact on TA6.44, as the increase of renewable energy can lead to improved agricultural ecosystem health, which can contribute to achieving the target of achieving an increasing trend at national level of at least two out of the three following indicators.
TA5.11;Biodiversity conservation and restoration of natural resources: Protect the environment and restore natural resources.;TA6.45;+;The implementation of TA5.11 is likely to have a positive impact on TA6.45, as the protection and restoration of natural resources can lead to improved farmland bird index, which can contribute to achieving the target of ensuring the common farmland bird index at national level reaches the following levels.
