TA3.51;The contribution of waste management operators to achieve recycling of plastics;TA6.47;+;The implementation of TA3.51 is likely to have a positive impact on TA6.47, as the recycling of plastics can contribute to the reduction of waste and the achievement of the target of planting at least three billion additional trees by 2030, which can help to sequester carbon and reduce greenhouse gas emissions.
TA4.20;In the first phase, from 2020 up to 2024, the strategic objective is to install at least 6 GW of renewable hydrogen electrolysers in the EU;TA7.9;+;The implementation of TA4.20 is likely to have a positive impact on TA7.9, as the increased use of renewable hydrogen can help to reduce air pollution and improve air quality, which can contribute to the reduction of premature deaths caused by air pollution.
TA4.25;Member States shall ensure that, at the end of each year, the following power output targets are met cumulatively;TA7.14;+;The implementation of TA4.25 is likely to have a positive impact on TA7.14, as the increased use of renewable energy can help to reduce noise pollution and improve air quality, which can contribute to the reduction of premature deaths caused by air pollution.
TA4.26;Member States shall ensure that along the TEN-T core and comprehensive network, publicly accessible recharging pools dedicated to light-duty vehicles deployed in each direction of travel with a maximum distance of 60 km in-between them;TA7.14;+;The implementation of TA4.26 is likely to have a positive impact on TA7.14, as the increased use of electric vehicles can help to reduce noise pollution and improve air quality, which can contribute to the reduction of premature deaths caused by air pollution.
TA4.27;Member States shall ensure that, by 31 December 2030, along the TEN-T core road network, publicly accessible recharging pools dedicated to heavy-duty electric vehicles are deployed;TA7.14;+;The implementation of TA4.27 is likely to have a positive impact on TA7.14, as the increased use of electric vehicles can help to reduce noise pollution and improve air quality, which can contribute to the reduction of premature deaths caused by air pollution.
TA6.47;When identifying and implementing the restoration measures to meet the objectives and obligations set out in Articles 4, 6, 7, 8, 9 and 10, Member States shall aim to contribute to the commitment of planting at least three billion additional trees by 2030;TA3.51;+;The implementation of TA6.47 is likely to have a positive impact on TA3.51, as the planting of additional trees can help to sequester carbon and reduce greenhouse gas emissions, which can contribute to the achievement of the target of recycling at least 30% of the total weight of plastics contained in the vehicles delivered to the waste management operators.
TA6.48;Member States shall achieve an increasing trend at national level of at least six out of seven of the following indicators in forest ecosystems;TA4.10;+;The implementation of TA6.48 is likely to have a positive impact on TA4.10, as the improvement of forest ecosystems can help to reduce the use of chemical pesticides and minimize waste, which can contribute to the reduction of fuel intensity in fisheries.
TA6.49;Member States shall achieve an increasing trend at national level of the common forest bird index;TA7.9;+;The implementation of TA6.49 is likely to have a positive impact on TA7.9, as the improvement of forest ecosystems can help to reduce air pollution and improve air quality, which can contribute to the reduction of premature deaths caused by air pollution.
TA6.50;Reach no net land take;TA4.11;-;The implementation of TA6.50 is likely to have a negative impact on TA4.11, as the reduction of land take may lead to an increase in transport activities, which can result in increased noise pollution and negative effects on human health and well-being.
TA6.51;Member States shall take the measures necessary to ensure that water intended for human consumption is wholesome and clean;TA7.10;+;The implementation of TA6.51 is likely to have a positive impact on TA7.10, as the improvement of water quality can help to reduce the amount of waste and microplastics released into the environment, which can contribute to the reduction of pollution in water bodies.
TA6.52;The Ambient Air Quality Directives set EU air quality standards for 12 air pollutants;TA7.9;+;The implementation of TA6.52 is likely to have a positive impact on TA7.9, as the improvement of air quality can help to reduce premature deaths caused by air pollution.
TA7.4;The Industrial Emissions Directive aims at preventing or reducing emissions from large industrial installations and intensive farming into the environment;TA4.3;+;The implementation of TA7.4 is likely to have a positive impact on TA4.3, as the reduction of emissions from industrial installations can help to reduce greenhouse gas emissions and improve air quality, which can contribute to the reduction of GHG intensity of the energy used on board by a ship.
TA7.5;The revised Urban Wastewater Treatment Directive extends the scope of the 1991 UWWTD to improve and maintain access to sanitation for all;TA6.51;+;The implementation of TA7.5 is likely to have a positive impact on TA6.51, as the improvement of wastewater treatment can help to reduce the amount of pollutants released into the environment, which can contribute to the improvement of water quality.
TA7.6;Improve soil quality by reducing chemical pesticides’ use by 50%, by 2030;TA4.10;+;The implementation of TA7.6 is likely to have a positive impact on TA4.10, as the reduction of chemical pesticides can help to minimize waste and reduce fuel intensity in fisheries.
TA7.8;Improve soil quality by reducing nutrient losses use by 50%, by 2030;TA4.10;+;The implementation of TA7.8 is likely to have a positive impact on TA4.10, as the reduction of nutrient losses can help to minimize waste and reduce fuel intensity in fisheries.
TA7.9;Improve air quality to reduce the number of premature deaths caused by air pollution by 55% by 2030;TA4.9;+;The implementation of TA7.9 is likely to have a positive impact on TA4.9, as the improvement of air quality can help to reduce premature deaths caused by air pollution, which can contribute to the reduction of emissions from the transport sector.
TA7.10;Improve water quality by reducing waste, plastic litter at sea (by 50%);TA6.51;+;The implementation of TA7.10 is likely to have a positive impact on TA6.51, as the reduction of waste and plastic litter can help to improve water quality and reduce the amount of pollutants released into the environment.
TA7.11;Improve water quality by reducing microplastics released into the environment (by 30%);TA6.51;+;The implementation of TA7.11 is likely to have a positive impact on TA6.51, as the reduction of microplastics can help to improve water quality and reduce the amount of pollutants released into the environment.
TA7.13;Reduce by 25% the EU ecosystems where air pollution threatens biodiversity, by 2030;TA7.9;+;The implementation of TA7.13 is likely to have a positive impact on TA7.9, as the reduction of air pollution can help to improve air quality and reduce premature deaths caused by air pollution.
TA7.14;Reduce the share of people chronically disturbed by transport noise by 30%, by 2030;TA4.9;-;The implementation of TA7.14 is likely to have a negative impact on TA4.9, as the reduction of transport noise may not directly address the issue of emissions from the transport sector, which can continue to affect air quality and human health.
TA7.15;Having all soils in healthy condition by 2050;TA7.6;+;The implementation of TA7.15 is likely to have a positive impact on TA7.6, as the improvement of soil quality can help to reduce the use of chemical pesticides and minimize waste, which can contribute to the reduction of chemical pesticides' use by 50% by 2030.
TA7.16;By means of an updated and harmonised list of pollutants affecting surface and groundwater, updated existing quality standards, new monitoring requirements, improved and more accessible data, and a more flexible framework for addressing pollutants of emerging concerns;TA7.10;+;The implementation of TA7.16 is likely to have a positive impact on TA7.10, as the improvement of water quality can help to reduce the amount of waste and microplastics released into the environment, which can contribute to the reduction of pollution in water bodies.
