TA5.16; ncome distribution: Ensure fair income and salaries. Improve income of primary producers to ensure their sustainable livelihood.;TA5.17; Sectorial growth: Help farmers and fishers to strengthen their position in the supply chain and to capture a fair share of the added value of sustainable production.;+;The improvement of income distribution will likely lead to an increase in sectorial growth, as primary producers will have more resources to invest in sustainable production.;The connection between these two targets is based on the idea that improving the income of primary producers will lead to an increase in sectorial growth, as they will have more resources to invest in sustainable production.

TA5.17; Sectorial growth: Help farmers and fishers to strengthen their position in the supply chain and to capture a fair share of the added value of sustainable production.;TA5.20; Trade: Foster the competitiveness of the EU supply sector.;+;The increase in sectorial growth will likely lead to an increase in trade, as primary producers will have more resources to invest in sustainable production and compete in the global market.;The connection between these two targets is based on the idea that increasing sectorial growth will lead to an increase in trade, as primary producers will have more resources to invest in sustainable production and compete in the global market.

TA5.20; Trade: Foster the competitiveness of the EU supply sector.;TA5.21; Digitalisation and knowledge transfer. Ensure access to fast broadband to all farmers and all rural areas to achieve the objective of 100% access by 2025;+;The increase in trade will likely lead to an increase in digitalisation and knowledge transfer, as primary producers will have more resources to invest in digital technologies and compete in the global market.;The connection between these two targets is based on the idea that increasing trade will lead to an increase in digitalisation and knowledge transfer, as primary producers will have more resources to invest in digital technologies and compete in the global market.

TA5.21; Digitalisation and knowledge transfer. Ensure access to fast broadband to all farmers and all rural areas to achieve the objective of 100% access by 2025;TA5.22; Transport, accessibility and infrastructure: Create shorter supply chains will support reducing dependence on long-haul transportation.;+;The increase in digitalisation and knowledge transfer will likely lead to a decrease in transport costs and an increase in accessibility, as primary producers will have more resources to invest in digital technologies and optimize their supply chains.;The connection between these two targets is based on the idea that increasing digitalisation and knowledge transfer will lead to a decrease in transport costs and an increase in accessibility, as primary producers will have more resources to invest in digital technologies and optimize their supply chains.

TA5.22; Transport, accessibility and infrastructure: Create shorter supply chains will support reducing dependence on long-haul transportation.;TA5.23; Employment and working conditions: Create new job opportunities. Improve working conditions, ensure occupation health and safety.;+;The decrease in transport costs and the increase in accessibility will likely lead to an increase in employment opportunities, as primary producers will have more resources to invest in sustainable production and compete in the global market.;The connection between these two targets is based on the idea that decreasing transport costs and increasing accessibility will lead to an increase in employment opportunities, as primary producers will have more resources to invest in sustainable production and compete in the global market.

TA5.23; Employment and working conditions: Create new job opportunities. Improve working conditions, ensure occupation health and safety.;TA5.24; Social protection and poverty: Ensure fair, inclusive and ethical value chains. Ensure workers’ social protection and housing conditions; promote socially responsible production methods; Mitigate the socio- economic consequences impacting the food chain and ensure that the key principles enshrined in the European Pillar of Social Rights are respected, especially when it comes to precarious, seasonal and undeclared workers.;+;The increase in employment opportunities will likely lead to an increase in social protection and a decrease in poverty, as primary producers will have more resources to invest in sustainable production and compete in the global market.;The connection between these two targets is based on the idea that increasing employment opportunities will lead to an increase in social protection and a decrease in poverty, as primary producers will have more resources to invest in sustainable production and compete in the global market.

TA5.24; Social protection and poverty: Ensure fair, inclusive and ethical value chains. Ensure workers’ social protection and housing conditions; promote socially responsible production methods; Mitigate the socio- economic consequences impacting the food chain and ensure that the key principles enshrined in the European Pillar of Social Rights are respected, especially when it comes to precarious, seasonal and undeclared workers.;TA5.25; Animal welfare: Promote better animal welfare to improve animal health and food quality.;+;The increase in social protection and the decrease in poverty will likely lead to an increase in animal welfare, as primary producers will have more resources to invest in sustainable production and compete in the global market.;The connection between these two targets is based on the idea that increasing social protection and decreasing poverty will lead to an increase in animal welfare, as primary producers will have more resources to invest in sustainable production and compete in the global market.

TA5.25; Animal welfare: Promote better animal welfare to improve animal health and food quality.;TA5.27; Food messaging: Provide food information and labelling to empower consumers to make informed, healthy and sustainable food choices. Strengthen educational messages on the importance of healthy nutrition, sustainable food production and consumption, and reducing food waste.;+;The improvement of animal welfare will likely lead to an increase in food quality and safety, which will in turn lead to an increase in consumer awareness and education on sustainable food choices.;The connection between these two targets is based on the idea that improving animal welfare will lead to an increase in food quality and safety, which will in turn lead to an increase in consumer awareness and education on sustainable food choices.

TA5.27; Food messaging: Provide food information and labelling to empower consumers to make informed, healthy and sustainable food choices. Strengthen educational messages on the importance of healthy nutrition, sustainable food production and consumption, and reducing food waste.;TA5.29; Food availability: Improve availability of sustainable food. Ensure that the healthy option is always the easiest one. Ensure food supply.;+;The increase in consumer awareness and education on sustainable food choices will likely lead to an increase in the availability of sustainable food, as consumers will demand more sustainable and healthy food options.;The connection between these two targets is based on the idea that increasing consumer awareness and education on sustainable food choices will lead to an increase in the availability of sustainable food, as consumers will demand more sustainable and healthy food options.

TA5.29; Food availability: Improve availability of sustainable food. Ensure that the healthy option is always the easiest one. Ensure food supply.;TA5.30; Food affordability: Ensure affordability to sufficient, nutritious and sustainable food.;+;The increase in the availability of sustainable food will likely lead to an increase in food affordability, as sustainable food options become more widely available and competitive in the market.;The connection between these two targets is based on the idea that increasing the availability of sustainable food will lead to an increase in food affordability, as sustainable food options become more widely available and competitive in the market.

TA5.30; Food affordability: Ensure affordability to sufficient, nutritious and sustainable food.;TA5.31; Properties of food: Increase reformulation of food products in line with guidelines for healthy and sustainable diets.;+;The increase in food affordability will likely lead to an increase in the reformulation of food products, as consumers will demand more affordable and sustainable food options.;The connection between these two targets is based on the idea that increasing food affordability will lead to an increase in the reformulation of food products, as consumers will demand more affordable and sustainable food options.
