source_target;source_target_content;impact_target;impact_target_content;impact_type;impact_weight;justification
TA6.16;14. Cities with at least 20.000 inhabitants have an ambitious Urban Greening Plan;TA5.13;Reduce food waste. Prevent food loss and waste. Halve per capita food waste at retail and consumer levels* *See also Directive (EU) 2018/851 on waste with a target on food waste reduction of 30% by 2025;+;1;The implementation of Urban Greening Plans will contribute to reducing food waste, as it will promote sustainable urban planning, thus reducing the environmental impact of urban food systems.
TA6.36;(urban ecosystems) By 2030, Member States shall ensure that there is no net loss in the total national area of urban green space, and of urban tree canopy cover in urban ecosystem areas.;TA5.30;Food affordability: Ensure affordability to sufficient, nutritious and sustainable food;+;1;The conservation of urban green spaces will support food affordability, as it will promote sustainable and resilient food systems, thus ensuring access to nutritious and sustainable food for all.
TA6.37;(urban ecosystems) Member States shall achieve thereafter an increasing trend in the total national area of urban green space, including through the integration of urban green space into buildings and infrastructure;TA5.32;Food security: Ensuring food security and access to quality, safe, sustainable, nutritious food for all.;+;2;The increase in urban green spaces will contribute to food security, as it will promote sustainable and resilient food systems, thus ensuring access to quality, safe, sustainable, and nutritious food for all.
TA6.52;The Ambient Air Quality Directives set EU air quality standards for 12 air pollutants;TA5.15;Consumption footprint: Reduce the environmental and climate footprint of the EU food system, operating within planetary boundaries. Reduce the EU’s contribution to global deforestation and forest degradation.;+;2;The implementation of air quality standards will support the reduction of the consumption footprint, as it will promote sustainable and resilient food systems, thus reducing the environmental impact of food production and consumption.
TA6.15;13. The losses of nutrients from fertilisers are reduced by 50%, resulting in the reduction of the use of fertilisers by at least 20%;TA5.3;Reduce nutrient losses by at least 50%, while ensuring that there is no deterioration in soil fertility.;+;3;The reduction of nutrient losses will be facilitated by the reduction of fertiliser use, thus promoting soil fertility and reducing the environmental impact of agriculture.
TA6.46;(agricultural ecosystems) Member States shall put in place measures which shall aim to restore organic soils in agricultural use constituting drained peatlands.;TA5.20;Trade: Foster the competitiveness of the EU supply sector.;+;1;The restoration of organic soils will support the competitiveness of the EU supply sector, as it will promote sustainable and resilient farming practices, thus improving the quality and quantity of agricultural products.
TA6.50;Reach no net land take;TA5.12;Genetic biodiversity of food production systems: Secure and ensure access to a range of quality seeds for plant varieties in order to adapt to the pressures of climate change.;+;2;The implementation of no net land take will support the conservation of genetic biodiversity, as it will promote sustainable and resilient farming practices, thus reducing the pressure on natural resources and promoting the use of high-quality seeds.
TA6.62;The Water Reuse Regulation aim to encourage and facilitate water reuse in the EU;TA5.8;Water: Preserving freshwater, boosting water reuse in agriculture.;+;3;The implementation of the Water Reuse Regulation will support the preservation of freshwater and the promotion of water reuse, thus reducing the pressure on water resources and promoting sustainable and resilient food systems.
TA6.51;Member States shall take the measures necessary to ensure that water intended for human consumption is wholesome and clean;TA5.19;Price: Preserve the price affordability of food.;+;1;The implementation of measures to ensure clean water will support price affordability, as it will promote sustainable and resilient food systems, thus reducing the environmental impact of food production and consumption.
TA6.41;Marine ecosystems. Member States shall put in place the restoration measures [...] to improve [...] areas of habitat types listed in Annex II which are not in good condition.;TA5.25;Animal welfare: Promote better animal welfare to improve animal health and food quality.;+;1;The restoration of marine ecosystems will support animal welfare, as it will promote sustainable and resilient food systems, thus reducing the impact of pollution and climate change on animal health.
TA6.42;ecosystems. Member States shall put in place the restoration measures that are necessary to re-establish the habitat types of groups 1-6 listed in Annex II;TA5.24;Social protection and poverty: Ensure fair, inclusive and ethical value chains. Ensure workers’ social protection and housing conditions, promote socially responsible production methods, Mitigate the socio-economic consequences impacting the food chain and ensure that the key principles enshrined in the European Pillar of Social Rights are respected, especially when it comes to precarious, seasonal and undeclared workers.;+;2;The restoration of ecosystems will support social protection and poverty reduction, as it will promote sustainable and resilient food systems, thus improving the livelihoods of primary producers and reducing the socio-economic consequences of climate change.
TA6.30;Marine ecosystems. Member States shall put in place [...] measures [...] to jointly cover, as a Union target, throughout the areas and ecosystems [...] defined in Art. 2, by 2030, at least 20% of sea areas in need of restoration and, by 2050, all ecosystems in need of restoration.;TA5.22;Transport, accessibility and infrastructure: Create shorter supply chains will support reducing dependence on long-haul transportation.;+;1;The restoration of marine ecosystems will support the creation of shorter supply chains, as it will promote sustainable and resilient food systems, thus reducing the environmental impact of food production and consumption.
TA6.9;6. The risk and use of chemical pesticides is reduced by 50%, and the use of more hazardous pesticides is reduced by 50%;TA5.10;Energy: Increase renewable energy in the agriculture and food sector. Adopt energy efficiency solutions in the agriculture and food sector, by reducing energy consumption.;+;2;The reduction of chemical pesticide use will support the increase in renewable energy, as it will promote sustainable and resilient farming practices, thus reducing the energy consumption and environmental impact of food production.
TA6.29;Terrestrial ecosystems. Member States shall put in place [...] measures [...] to jointly cover, as a Union target, throughout the areas and ecosystems [...] defined in Art. 2, by 2030, at least 20% of land areas in need of restoration and, by 2050, all ecosystems in need of restoration.;TA5.23;Employment and working conditions: Create new job opportunities. Improve working conditions, ensure occupation health and safety.;+;1;The restoration of terrestrial ecosystems will support employment and working conditions, as it will promote sustainable and resilient food systems, thus creating new job opportunities and improving working conditions.
TA6.7;4. By 2030, significant areas of degraded and carbon-rich ecosystems are restored. Habitats and species show no deterioration in conservation trends and status, and at least 30% reach favourable conservation status or at least show a positive trend.;TA5.34;Health impact of diets: Reversing of the rise in overweight and obesity rates across the EU by 2030;+;2;The restoration of ecosystems will support the reversal of the rise in overweight and obesity rates, as it will promote sustainable and resilient food systems, thus reducing the environmental impact of food production and consumption.
TA6.32;Terrestrial, coastal and freshwater ecosystems. Member States shall put in place the restoration measures [...] to re-establish the habitat types listed in Annex I in areas not covered by those habitat types;TA5.31;Properties of food: Increase reformulation of food products in line with guidelines for healthy and sustainable diets;+;1;The restoration of ecosystems will support the reformulation of food products, as it will promote sustainable and resilient food systems, thus reducing the environmental impact of food production and consumption.
TA6.35;Terrestrial, coastal and freshwater ecosystems. Member States shall ensure that there is: (a) an increase of habitat area in good condition for habitat types listed in Annex I;TA5.33;Nutrition and healthy, sustainable diets: Move to healthier and more sustainable diets.;+;2;The increase in habitat area will support the transition to healthier and more sustainable diets, as it will promote sustainable and resilient food systems, thus reducing the environmental impact of food production and consumption.
TA6.31;Terrestrial, coastal and freshwater ecosystems. Member States shall put in place the restoration measures [...] to improve to good condition areas of habitat types listed in Annex I which are not in good condition.;TA5.7;Ensure that agriculture, fisheries and aquaculture, and the food value chain contribute to the target of reducing net greenhouse gas emissions to at least 55% below 1990 levels by 2030 and to the achievement of the objective for a climate-neutral Union in 2050.;+;3;The restoration of ecosystems will support the reduction of greenhouse gas emissions, as it will promote sustainable and resilient food systems, thus reducing the environmental impact of food production and consumption.
TA6.10;7. At least 10% of agricultural area is under high-diversity landscape features;TA5.17;Sectorial growth: Help farmers and fishers to strengthen their position in the supply chain and to capture a fair share of the added value of sustainable production;+;1;The implementation of high-diversity landscape features will support sectorial growth, as it will promote sustainable and resilient farming practices, thus improving the livelihoods of farmers and fishers.
TA6.44;(agricultural ecosystems) Member States shall put in place measures which shall aim to achieve an increasing trend at national level of at least two out of the three following indicators in agricultural ecosystems;TA5.18;Market power and business structure: Improve agricultural rules that strengthen the position of farmers (e.g. producers of products with geographical indications), their cooperatives and producer organisations in the food supply chain.;+;2;The implementation of measures to support agricultural ecosystems will support market power and business structure, as it will promote sustainable and resilient farming practices, thus improving the livelihoods of farmers and reducing the market power of large companies.
TA6.45;(agricultural ecosystems) Member States shall put in place restoration measures which shall aim to ensure that the common farmland bird index at national level based on the species specified in Annex V reaches the following levels;TA5.35;Preparedness, shock resilience, adaptation and transformation: Strengthen the resilience of the EU food system. Build up resilience to climate change, possible future diseases and pandemics. Increasing the sustainability of food producers will ultimately increase their resilience.;+;1;The restoration of ecosystems will support the resilience of the EU food system, as it will promote sustainable and resilient farming practices, thus reducing the impact of climate change and promoting food security.
TA6.11;9. Three billion trees are planted in the EU, in full respect of ecological principles;TA5.14;Circular economy: Scale-up and promote sustainable and socially responsible production methods and circular business models in food processing and retail.;+;2;The planting of trees will support the circular economy, as it will promote sustainable and resilient food systems, thus reducing waste and promoting the use of renewable resources.
TA6.4;2b. Strictly protect all remaining EU primary and old- growth forests;TA5.20;Trade: Foster the competitiveness of the EU supply sector.;+;1;The protection of primary and old-growth forests will support the competitiveness of the EU supply sector, as it will promote sustainable and resilient farming practices, thus improving the quality and quantity of agricultural products.
TA6.47;(trees) When identifying and implementing the restoration measures to meet the objectives and obligations set out in Articles 4, 6, 7, 8, 9 and 10, Member States shall aim to contribute to the commitment of planting at least three billion additional trees by 2030;TA5.21;Digitalisation and knowledge transfer. Ensure access to fast broadband to all farmers and all rural areas to achieve the objective of 100% access by 2025 (enabler for jobs, businesses, investments, improvement in quality of life in rural areas and enabler to mainstream precision farming and use of artificial intelligence);+;1;The planting of trees will be facilitated by digitalization and knowledge transfer, as it will provide farmers with the necessary tools and information to promote sustainable and resilient farming practices.
TA6.48;(forest ecosystems) Member States shall achieve an increasing trend at national level of at least six out of seven of the following indicators in forest ecosystems;TA5.22;Transport, accessibility and infrastructure: Create shorter supply chains will support reducing dependence on long-haul transportation.;+;2;The increase in forest ecosystem indicators will support the creation of shorter supply chains, as it will promote sustainable and resilient food systems, thus reducing the environmental impact of food production and consumption.
TA6.49;(forest ecosystems) Member States shall achieve an increasing trend at national level of the common forest bird index;TA5.25;Animal welfare: Promote better animal welfare to improve animal health and food quality.;+;1;The increase in the common forest bird index will support animal welfare, as it will promote sustainable and resilient food systems, thus reducing the impact of pollution and climate change on animal health.
TA6.13;11. At least 25.000 km of free-flowing rivers are restored;TA5.13;Reduce food waste. Prevent food loss and waste. Halve per capita food waste at retail and consumer levels* *See also Directive (EU) 2018/851 on waste with a target on food waste reduction of 30% by 2025;+;1;The restoration of free-flowing rivers will support the reduction of food waste, as it will promote sustainable and resilient food systems, thus reducing the environmental impact of food production and consumption.
TA6.39;Natural connectivity of rivers and natural functions of the related floodplains. Member States shall make an inventory of artificial barriers and remove them to connectivity of surface waters;TA5.23;Employment and working conditions: Create new job opportunities. Improve working conditions, ensure occupation health and safety.;+;1;The restoration of natural connectivity will support employment and working conditions, as it will promote sustainable and resilient food systems, thus creating new job opportunities and improving working conditions.
