TA6.1;1.a Legally protect a minimum of 30% of the EU’s land area;TA4.1;Achieve an annual production of sustainable biomethane of 35 billion cubic meters by 2030;+;2;The implementation of TA6.1 could reinforce TA4.1 by providing a larger area for sustainable biomethane production, thus increasing the potential for achieving the target of 35 billion cubic meters by 2030.
TA6.36;(urban ecosystems) By 2030, Member States shall ensure that there is no net loss in the total national area of urban green space, and of urban tree canopy cover in urban ecosystem areas.;TA4.33;Member States shall ensure that at least one installation providing shore-side electricity supply to inland waterway vessels is deployed at all TEN-T core inland waterway ports by 1 January 2025, at least one installation providing shore-side electricity supply to inland waterway vessels is deployed at all TEN-T comprehensive inland waterway ports by 1 January 2030. Regulation (EU) 2023/1804;-;-3;The protection of urban green spaces might limit the areas available for shore-side electricity supply, thus counteracting the shore-side electricity target.
TA6.37;(urban ecosystems) Member States shall achieve thereafter an increasing trend in the total national area of urban green space, including through the integration of urban green space into buildings and infrastructure;TA4.6;Of the SAF targets reported above, synthetic aviation fuels should represent a minimum share of 1.2% from 2030, 5% from 2035, 10% from 2034, 15% from 2045, and 35% from 2050. Regulation (EU) 2023/2405;+;1;The increase in urban green spaces could lead to an increase in the production of SAF, thus facilitating the achievement of the SAF target.
TA6.38;(urban ecosystems) Member States shall achieve, in each urban ecosystem area, determined in accordance with Article 14(4), an increasing trend of urban tree canopy cover;TA4.20;In the first phase, from 2020 up to 2024, the strategic objective is to install at least 6 GW of renewable hydrogen electrolysers in the EU. In the second phase, from 2025 up to 2030, the strategic objective is to install at least 40 GW of renewable hydrogen electrolysers. A Hydrogen Strategy for a climate-neutral Europe;-;-2;The increase in urban tree canopy cover might compete with the deployment of renewable hydrogen electrolysers, as it could require large areas of land.
TA6.52;The Ambient Air Quality Directives set EU air quality standards for 12 air pollutants;TA4.15;The average CO2 emissions of the Union fleet of new heavy-duty motor vehicles [...], off-road vehicles and off-road special purpose vehicles shall be reduced by the following percentages compared to the average CO2 emissions of the reporting period of the year 2019: (a) 15% for vehicle sub-groups 4-UD, 4-RD, 4-LH, 5-RD, 5-LH, 9-RD, 9-LH, 10-RD and 10-LH for the reporting periods of the years 2025 to 2029, (b) 45% for all vehicle sub-groups other than vocational vehicles for the reporting periods of the years 2030 to 2034, (c) 65% for all vehicle sub-groups for the reporting periods of the years 2035 to 2039, (d) 90% for all vehicle sub-groups for the reporting periods of the year 2040 onwards Regulation (EU) 2024/1610;+;3;The implementation of air quality standards could lead to a reduction in emissions from the transport sector, thus facilitating the achievement of the transport emissions target.
TA6.15;13. The losses of nutrients from fertilisers are reduced by 50%, resulting in the reduction of the use of fertilisers by at least 20%;TA4.3;The yearly average GHG intensity of the energy used on board by a ship during a reporting period shall be reduced, compared to the reference value (91.16 gCO2e/MJ) by: 2% from 1 January 2025, 6% from 1 January 2030, 14.5% from 1 January 2035, 31% from 1 January 2040, 62% from 1 January 2045 and 80% from 1 January 2050. Regulation (EU) 2023/1805;-;-1;The reduction of fertiliser use might limit the areas available for low-carbon shipping, thus counteracting the low-carbon shipping target.
TA6.46;(agricultural ecosystems) Member States shall put in place measures which shall aim to restore organic soils in agricultural use constituting drained peatlands.;TA4.11;Reduce the average door-to-door cost of combined transport operations by at least 10% within 7 years Proposal for a Directive to support framework for intermodal transport of goods;+;2;The restoration of organic soils could lead to an increase in the production of sustainable biomethane, thus facilitating the achievement of the sustainable biomethane target.
TA6.50;Reach no net land take;TA4.55;Zero-emission in urban logistics The new EU Urban Mobility Framework.;-;-3;The protection of natural areas might limit the areas available for zero-emission logistics, thus counteracting the zero-emission logistics target.
TA6.62;The Water Reuse Regulation aim to encourage and facilitate water reuse in the EU;TA4.30;Member States shall ensure that, by 31 December 2030, at least one publicly accessible hydrogen refuelling station is deployed in each urban node. Regulation (EU) 2023/1804;+;1;The implementation of water reuse could lead to an increase in the production of sustainable biomethane, thus facilitating the achievement of the sustainable biomethane target.
TA6.51;Member States shall take the measures necessary to ensure that water intended for human consumption is wholesome and clean;TA4.6;Of the SAF targets reported above, synthetic aviation fuels should represent a minimum share of 1.2% from 2030, 5% from 2035, 10% from 2034, 15% from 2045, and 35% from 2050. Regulation (EU) 2023/2405;-;-2;The protection of water quality might limit the areas available for SAF production, thus counteracting the SAF target.
TA6.41;Marine ecosystems. Member States shall put in place the restoration measures [...] to improve [...] areas of habitat types listed in Annex II which are not in good condition.;TA4.20;In the first phase, from 2020 up to 2024, the strategic objective is to install at least 6 GW of renewable hydrogen electrolysers in the EU. In the second phase, from 2025 up to 2030, the strategic objective is to install at least 40 GW of renewable hydrogen electrolysers. A Hydrogen Strategy for a climate-neutral Europe;+;3;The restoration of marine ecosystems could lead to an increase in the production of renewable hydrogen, thus facilitating the achievement of the renewable hydrogen target.
TA6.42;ecosystems. Member States shall put in place the restoration measures that are necessary to re-establish the habitat types of groups 1-6 listed in Annex II;TA4.13;For [...] “urban buses” manufacturers shall comply with the 90% (in the reporting period 2030-2034) and 100% (as from 2035) minimum shares in their fleet of new heavy-duty vehicles Regulation (EU) 2024/1610;+;2;The restoration of ecosystems could lead to an increase in the production of sustainable biomethane, thus facilitating the achievement of the sustainable biomethane target.
TA6.30;Marine ecosystems. Member States shall put in place [...] measures [...] to jointly cover, as a Union target, throughout the areas and ecosystems [...] defined in Art. 2, by 2030, at least 20% of sea areas in need of restoration and, by 2050, all ecosystems in need of restoration.;TA4.31;Member States shall ensure that, by 31 December 2030, publicly accessible hydrogen refuelling stations with a total capacity of at least 1 tonne per day, and equipped with at least a 700 bar dispenser, are deployed at least every 200 km along the TEN-T (Trans-European Transport Network) core network Regulation (EU) 2023/1804;+;1;The restoration of marine ecosystems could lead to an increase in the production of renewable hydrogen, thus facilitating the achievement of the renewable hydrogen target.
TA6.9;6. The risk and use of chemical pesticides is reduced by 50%, and the use of more hazardous pesticides is reduced by 50%;TA4.7;Each Member State shall set an obligation on fuel suppliers to ensure that: (B) the combined share of advanced biofuels and biogas produced from the feedstock listed in Part A of Annex IX and of renewable fuels of non-biological origin in the energy supplied to the transport sector is at least 1% in 2025 and 5.5% in 2030, of which a share of at least 1 percentage point is from renewable fuels of non-biological origin in 2030. Directive (EU) 2023/2413;+;2;The reduction of chemical pesticide use could lead to an increase in the production of advanced biofuels, thus facilitating the achievement of the advanced biofuels target.
TA6.29;Terrestrial ecosystems. Member States shall put in place [...] measures [...] to jointly cover, as a Union target, throughout the areas and ecosystems [...] defined in Art. 2, by 2030, at least 20% of land areas in need of restoration and, by 2050, all ecosystems in need of restoration.;TA4.25;Member States shall ensure that, at the end of each year, the following power output targets are met cumulatively: (a) for each light-duty battery electric vehicle registered in their territory, a total power output of at least 1.3 kW is provided through publicly accessible recharging stations, and (b) for each light-duty plug-in hybrid vehicle registered in their territory, a total power output of at least 0.80 kW is provided through publicly accessible recharging stations. Regulation (EU) 2023/1804;-;-1;The restoration of terrestrial ecosystems might compete with the deployment of recharging stations, as it could require large areas of land.
TA6.7;4. By 2030, significant areas of degraded and carbon-rich ecosystems are restored. Habitats and species show no deterioration in conservation trends and status, and at least 30% reach favourable conservation status or at least show a positive trend.;TA4.26;Member States shall ensure that along the TEN-T core and comprehensive network, publicly accessible recharging pools dedicated to light-duty vehicles deployed in each direction of travel with a maximum distance of 60 km in-between them offering a power output of at least 600kW and including at least one recharging point with an individual power output of at least 150 kW. Regulation (EU) 2023/1804;+;3;The restoration of ecosystems could lead to an increase in the production of sustainable biomethane, thus facilitating the achievement of the sustainable biomethane target.
TA6.32;Terrestrial, coastal and freshwater ecosystems. Member States shall put in place the restoration measures [...] to re-establish the habitat types listed in Annex I in areas not covered by those habitat types;TA4.27;Member States shall ensure that, by 31 December 2030 (with intermediate 2025 and 2027 targets), along the TEN-T core road network, publicly accessible recharging pools dedicated to heavy-duty electric vehicles are deployed in each direction of travel with a maximum distance of 60 km between them [...]. Along the TEN-T comprehensive road network, recharging pools dedicated to heavy-duty electric vehicles are deployed in each direction of travel with a maximum distance of 100 km between them and each recharging pool offers a power output of at least 1.500 kW and includes at least one recharging point with an individual power output of at least 350 kW. Regulation (EU) 2023/1804;-;-2;The restoration of ecosystems might compete with the deployment of recharging pools, as it could require large areas of land.
TA6.35;Terrestrial, coastal and freshwater ecosystems. Member States shall ensure that there is: (a) an increase of habitat area in good condition for habitat types listed in Annex I;TA4.28;By 31 December 2030, in each safe and secure parking area at least four publicly accessible recharging stations dedicated to heavy-duty electric vehicles with an individual power output of at least 100 kW are deployed. Regulation (EU) 2023/1804;+;1;The increase in habitat area could lead to an increase in the production of renewable hydrogen, thus facilitating the achievement of the renewable hydrogen target.
TA6.31;Terrestrial, coastal and freshwater ecosystems. Member States shall put in place the restoration measures [...] to improve to good condition areas of habitat types listed in Annex I which are not in good condition.;TA4.29;By 31 December 2030, in each urban node publicly accessible recharging points dedicated to heavy-duty electric vehicles with an aggregated power output of at least 1 800 kW are deployed, provided by recharging stations with an individual power output of at least 150 kW. Regulation (EU) 2023/180;+;2;The restoration of ecosystems could lead to an increase in the production of sustainable biomethane, thus facilitating the achievement of the sustainable biomethane target.
TA6.10;7. At least 10% of agricultural area is under high-diversity landscape features;TA4.55;Zero-emission in urban logistics The new EU Urban Mobility Framework.;-;-2;The protection of agricultural areas might limit the areas available for zero-emission logistics, thus counteracting the zero-emission logistics target.
TA6.44;(agricultural ecosystems) Member States shall put in place measures which shall aim to achieve an increasing trend at national level of at least two out of the three following indicators in agricultural ecosystems;TA4.3;The yearly average GHG intensity of the energy used on board by a ship during a reporting period shall be reduced, compared to the reference value (91.16 gCO2e/MJ) by: 2% from 1 January 2025, 6% from 1 January 2030, 14.5% from 1 January 2035, 31% from 1 January 2040, 62% from 1 January 2045 and 80% from 1 January 2050. Regulation (EU) 2023/1805;+;3;The improvement of agricultural ecosystems could lead to a reduction in emissions from the transport sector, thus facilitating the achievement of the transport emissions target.
TA6.45;(agricultural ecosystems) Member States shall put in place restoration measures which shall aim to ensure that the common farmland bird index at national level based on the species specified in Annex V reaches the following levels;TA4.6;Of the SAF targets reported above, synthetic aviation fuels should represent a minimum share of 1.2% from 2030, 5% from 2035, 10% from 2034, 15% from 2045, and 35% from 2050. Regulation (EU) 2023/2405;+;2;The improvement of agricultural ecosystems could lead to an increase in the production of SAF, thus facilitating the achievement of the SAF target.
TA6.11;9. Three billion trees are planted in the EU, in full respect of ecological principles;TA4.30;Member States shall ensure that, by 31 December 2030, at least one publicly accessible hydrogen refuelling station is deployed in each urban node. Regulation (EU) 2023/1804;-;-1;The planting of trees might compete with the deployment of hydrogen refuelling stations, as it could require large areas of land.
TA6.4;2b. Strictly protect all remaining EU primary and old- growth forests;TA4.13;For [...] “urban buses” manufacturers shall comply with the 90% (in the reporting period 2030-2034) and 100% (as from 2035) minimum shares in their fleet of new heavy-duty vehicles Regulation (EU) 2024/1610;+;1;The protection of primary and old-growth forests could lead to an increase in the production of sustainable biomethane, thus facilitating the achievement of the sustainable biomethane target.
TA6.47;(trees) When identifying and implementing the restoration measures to meet the objectives and obligations set out in Articles 4, 6, 7, 8, 9 and 10, Member States shall aim to contribute to the commitment of planting at least three billion additional trees by 2030;TA4.20;In the first phase, from 2020 up to 2024, the strategic objective is to install at least 6 GW of renewable hydrogen electrolysers in the EU. In the second phase, from 2025 up to 2030, the strategic objective is to install at least 40 GW of renewable hydrogen electrolysers. A Hydrogen Strategy for a climate-neutral Europe;+;3;The planting of trees could lead to an increase in the production of renewable hydrogen, thus facilitating the achievement of the renewable hydrogen target.
TA6.48;(forest ecosystems) Member States shall achieve an increasing trend at national level of at least six out of seven of the following indicators in forest ecosystems;TA4.26;Member States shall ensure that along the TEN-T core and comprehensive network, publicly accessible recharging pools dedicated to light-duty vehicles deployed in each direction of travel with a maximum distance of 60 km in-between them offering a power output of at least 600kW and including at least one recharging point with an individual power output of at least 150 kW. Regulation (EU) 2023/1804;+;2;The improvement of forest ecosystems could lead to an increase in the production of sustainable biomethane, thus facilitating the achievement of the sustainable biomethane target.
TA6.49;(forest ecosystems) Member States shall achieve an increasing trend at national level of the common forest bird index;TA4.6;Of the SAF targets reported above, synthetic aviation fuels should represent a minimum share of 1.2% from 2030, 5% from 2035, 10% from 2034, 15% from 2045, and 35% from 2050. Regulation (EU) 2023/2405;+;1;The improvement of forest ecosystems could lead to an increase in the production of SAF, thus facilitating the achievement of the SAF target.
TA6.13;11. At least 25.000 km of free-flowing rivers are restored;TA4.8;Member States with maritime ports shall endeavour to ensure that as of 2030 the share of renewable fuels of non-biological origin (RFNBOs) in the total amount of energy supplied to the maritime transport sector is at least 1.2%. Directive (EU) 2023/2413;+;2;The restoration of rivers could lead to an increase in the production of advanced biofuels, thus facilitating the achievement of the advanced biofuels target.
TA6.39;Natural connectivity of rivers and natural functions of the related floodplains. Member States shall make an inventory of artificial barriers and remove them to connectivity of surface waters;TA4.33;Member States shall ensure that at least one installation providing shore-side electricity supply to inland waterway vessels is deployed at all TEN-T core inland waterway ports by 1 January 2025, at least one installation providing shore-side electricity supply to inland waterway vessels is deployed at all TEN-T comprehensive inland waterway ports by 1 January 2030. Regulation (EU) 2023/1804;-;-1;The removal of artificial barriers might compete with the deployment of shore-side electricity supply, as it could require large areas of land.
TA6.52;The Ambient Air Quality Directives set EU air quality standards for 12 air pollutants;TA4.55;Zero-emission in urban logistics The new EU Urban Mobility Framework.;+;1;The implementation of air quality standards could lead to a reduction in emissions from the transport sector, thus facilitating the achievement of the transport emissions target.
