source_target;source_target_content;impact_target;impact_target_content;impact_type;impact_weight;justification
TA5.25;Animal welfare: Promote better animal welfare to improve animal health and food quality.;TA4.27;Member States shall ensure that, by 31 December 2030 (with intermediate 2025 and 2027 targets), along the TEN-T core road network, publicly accessible recharging pools dedicated to heavy-duty electric vehicles are deployed in each direction of travel with a maximum distance of 60 km between them [...]. Along the TEN-T comprehensive road network, recharging pools dedicated to heavy-duty electric vehicles are deployed in each direction of travel with a maximum distance of 100 km between them and each recharging pool offers a power output of at least 1.500 kW and includes at least one recharging point with an individual power output of at least 350 kW. Regulation (EU) 2023/1804;+;1;The implementation of TA5.25 could enable the achievement of TA4.27 by promoting animal welfare and reducing GHG emissions from transport, increasing the use of renewable energy in heavy-duty transport.
TA5.27;Food messaging: Provide food information and labelling to empower consumers to make informed, healthy and sustainable food choices. Strengthen educational messages on the importance of healthy nutrition, sustainable food production and consumption, and reducing food waste;TA4.10;EU fisheries are encouraged to continue the positive trend, as observed for the period 2009-2019, towards reducing fuel intensity by reducing the fossil-fuel consumption per kg of landed product for at least an additional 15% for the period 2019-2030. Energy Transition of the EU Fisheries and Aquaculture sector;+;2;The implementation of TA5.27 could support the achievement of TA4.10 by promoting sustainable food systems and reducing food waste, increasing the use of renewable energy in fisheries and aquaculture.
TA5.31;Properties of food: Increase reformulation of food products in line with guidelines for healthy and sustainable diets;TA4.3;The yearly average GHG intensity of the energy used on board by a ship during a reporting period shall be reduced, compared to the reference value (91.16 gCO2e/MJ) by: 2% from 1 January 2025, 6% from 1 January 2030, 14.5% from 1 January 2035, 31% from 1 January 2040, 62% from 1 January 2045, 80% from 1 January 2050. Regulation (EU) 2023/1805;+;3;The implementation of TA5.31 could reinforce the achievement of TA4.3 by promoting sustainable food systems and reducing GHG emissions from food production, increasing the use of renewable energy in maritime transport.
TA5.33;Nutrition and healthy, sustainable diets: Move to healthier and more sustainable diets.;TA4.30;Member States shall ensure that, by 31 December 2030, at least one publicly accessible hydrogen refuelling station is deployed in each urban node. Regulation (EU) 2023/1804;+;2;The implementation of TA5.33 could support the achievement of TA4.30 by promoting sustainable food systems and reducing GHG emissions from food production, increasing the use of renewable energy in transport.
TA5.34;Health impact of diets: Reversing of the rise in overweight and obesity rates across the EU by 2030;TA4.5;Aviation fuel suppliers shall also ensure that Sustainable Aviation Fuel (SAF) made available to aircraft operators at each Union airport will be at least 2% from 2025, 6% from 2030, 20% from 2035, 34% from 2040, 42% from 2045 and 70% from 2050. Regulation (EU) 2023/2405;-;1;The implementation of TA5.34 could constrain the achievement of TA4.5 by limiting the options for aviation fuel suppliers and increasing the costs for sustainable aviation fuels.
TA5.7;Ensure that agriculture, fisheries and aquaculture, and the food value chain contribute to the target of reducing net greenhouse gas emissions to at least 55% below 1990 levels by 2030 and to the achievement of the objective for a climate-neutral Union in 2050.;TA4.9;Cut the emissions of transport sector by 90% by 2050 relative to 1990. Sustainable and Smart Mobility Strategy;+;3;The implementation of TA5.7 could enable the achievement of TA4.9 by promoting sustainable agriculture and reducing GHG emissions from farming practices, increasing the use of renewable energy in transport.
TA5.3;Reduce nutrient losses by at least 50%, while ensuring that there is no deterioration in soil fertility.;TA4.20;In the first phase, from 2020 up to 2024, the strategic objective is to install at least 6 GW of renewable hydrogen electrolysers in the EU. In the second phase, from 2025 up to 2030, the strategic objective is to install at least 40 GW of renewable hydrogen electrolysers. A Hydrogen Strategy for a climate-neutral Europe;+;3;The implementation of TA5.3 could support the achievement of TA4.20 by promoting sustainable agriculture and reducing GHG emissions from farming practices, increasing the availability of renewable energy and promoting the use of hydrogen as a clean energy source.
TA5.8;Water: Preserving freshwater, boosting water reuse in agriculture.;TA4.15;The average CO2 emissions of the Union fleet of new heavy-duty motor vehicles [...], off-road vehicles and off-road special purpose vehicles shall be reduced by the following percentages compared to the average CO2 emissions of the reporting period of the year 2019: (a) 15% for vehicle sub-groups 4-UD, 4-RD, 4-LH, 5-RD, 5-LH, 9-RD, 9-LH, 10-RD and 10-LH for the reporting periods of the years 2025 to 2029, (b) 45% for all vehicle sub-groups other than vocational vehicles for the reporting periods of the years 2030 to 2034, (c) 65% for all vehicle sub-groups for the reporting periods of the years 2035 to 2039, (d) 90% for all vehicle sub-groups for the reporting periods of the year 2040 onwards Regulation (EU) 2024/1610;-;1;The implementation of TA5.8 could constrain the achievement of TA4.15 by limiting the options for vehicle manufacturers and increasing the costs for sustainable vehicles.
TA5.4;Reduce by 50% the use of more hazardous pesticides Target in Common with Biodiversity Strategy (see Thematic Area 6) and Zero Pollution Action Plan (see Thematic Area 7);TA4.26;Member States shall ensure that along the TEN-T core and comprehensive network, publicly accessible recharging pools dedicated to light-duty vehicles deployed in each direction of travel with a maximum distance of 60 km in-between them offering a power output of at least 600kW and including at least one recharging point with an individual power output of at least 150 kW. Regulation (EU) 2023/1804;+;1;The implementation of TA5.4 could enable the achievement of TA4.26 by promoting sustainable agriculture and reducing the use of hazardous pesticides, increasing the use of renewable energy in transport.
TA5.5;Reduce by 50% the use and risk of chemical pesticides Target in Common with Biodiversity Strategy (see Thematic Area 6) and Zero Pollution Action Plan (see Thematic Area 7);TA4.27;Member States shall ensure that, by 31 December 2030 (with intermediate 2025 and 2027 targets), along the TEN-T core road network, publicly accessible recharging pools dedicated to heavy-duty electric vehicles are deployed in each direction of travel with a maximum distance of 60 km between them [...]. Along the TEN-T comprehensive road network, recharging pools dedicated to heavy-duty electric vehicles are deployed in each direction of travel with a maximum distance of 100 km between them and each recharging pool offers a power output of at least 1.500 kW and includes at least one recharging point with an individual power output of at least 350 kW. Regulation (EU) 2023/1804;+;1;The implementation of TA5.5 could enable the achievement of TA4.27 by promoting sustainable agriculture and reducing the use of chemical pesticides, increasing the use of renewable energy in heavy-duty transport.
TA5.10;Energy: Increase renewable energy in the agriculture and food sector. Adopt energy efficiency solutions in the agriculture and food sector, by reducing energy consumption.;TA4.28;By 31 December 2030, in each safe and secure parking area at least four publicly accessible recharging stations dedicated to heavy-duty electric vehicles with an individual power output of at least 100 kW are deployed. Regulation (EU) 2023/1804;-;1;The implementation of TA5.10 could constrain the achievement of TA4.28 by limiting the options for heavy-duty electric vehicle manufacturers and increasing the costs for sustainable vehicles.
TA5.16;Income distribution: Ensure fair income and salaries. Improve income of primary producers to ensure their sustainable livelihood.;TA4.29;By 31 December 2030, in each urban node publicly accessible recharging points dedicated to heavy-duty electric vehicles with an aggregated power output of at least 1 800 kW are deployed, provided by recharging stations with an individual power output of at least 150 kW. Regulation (EU) 2023/180;+;1;The implementation of TA5.16 could enable the achievement of TA4.29 by promoting fair income distribution and sustainable livelihoods for primary producers, increasing the use of renewable energy in transport.
TA5.23;Employment and working conditions: Create new job opportunities. Improve working conditions, ensure occupation health and safety.;TA4.13;For [...] “urban buses” manufacturers shall comply with the 90% (in the reporting period 2030-2034) and 100% (as from 2035) minimum shares in their fleet of new heavy-duty vehicles Regulation (EU) 2024/1610;+;2;The implementation of TA5.23 could support the achievement of TA4.13 by promoting sustainable employment and working conditions, increasing the use of renewable energy in transport.
TA5.24;Social protection and poverty: Ensure fair, inclusive and ethical value chains. Ensure workers’ social protection and housing conditions, promote socially responsible production methods, Mitigate the socio- economic consequences impacting the food chain and ensure that the key principles enshrined in the European Pillar of Social Rights are respected, especially when it comes to precarious, seasonal and undeclared workers.;TA4.6;Of the SAF targets reported above, synthetic aviation fuels should represent a minimum share of 1.2% from 2030, 5% from 2035, 10% from 2034, 15% from 2045, and 35% from 2050. Regulation (EU) 2023/2405;+;2;The implementation of TA5.24 could reinforce the achievement of TA4.6 by promoting fair and inclusive value chains, reducing social and economic impacts on workers and increasing the use of renewable energy in aviation.
TA5.22;Transport, accessibility and infrastructure: Create shorter supply chains will support reducing dependence on long-haul transportation.;TA4.33;Member States shall ensure that at least one installation providing shore-side electricity supply to inland waterway vessels is deployed at all TEN-T core inland waterway ports by 1 January 2025, at least one installation providing shore-side electricity supply to inland waterway vessels is deployed at all TEN-T comprehensive inland waterway ports by 1 January 2030. Regulation (EU) 2023/1804;+;1;The implementation of TA5.22 could enable the achievement of TA4.33 by promoting sustainable transport and reducing GHG emissions from transport, increasing the use of renewable energy in inland waterway transport.
TA5.13;Reduce food waste. Prevent food loss and waste. Halve per capita food waste at retail and consumer levels* *See also Directive (EU) 2018/851 on waste with a target on food waste reduction of 30% by 2025;TA4.25;Member States shall ensure that, at the end of each year, the following power output targets are met cumulatively: (a) for each light-duty battery electric vehicle registered in their territory, a total power output of at least 1.3 kW is provided through publicly accessible recharging stations, and (b) for each light-duty plug-in hybrid vehicle registered in their territory, a total power output of at least 0.80 kW is provided through publicly accessible recharging stations. Regulation (EU) 2023/1804;-;1;The implementation of TA5.13 could constrain the achievement of TA4.25 by limiting the options for vehicle manufacturers and increasing the costs for sustainable vehicles.
