TA1.7;Reduce methane emissions by 35 to 37% compared to 2005 levels, by 2030;TA2.13;The amount of renewable fuels and renewable electricity supplied to the transport sector leads to a: (i) share of renewable energy within the final consumption of energy in the transport sector of at least 29 % by 2030;+;1;The implementation of TA1.7 will likely enable the achievement of TA2.13, as reducing methane emissions will require an increase in renewable energy sources, which in turn will contribute to reaching the renewable energy target in the transport sector.;The EU’s methane emissions reduction and renewable energy targets in transport are closely linked, and achieving one will facilitate the achievement of the other.
TA2.41;Member States are required to achieve cumulative end-use energy savings from 2021 to 2030, equivalent to new annual savings of at least 0.8% of final energy consumption in 2021-2023, at least 1.3% in 2024-2025, 1.5% in 2026-2027 and 1.9% in 2028-2030;TA1.3;Reduce by at least 55% net GHG emissions compared to 1990 levels, by 2030;-;2;The implementation of TA2.41 may counteract the achievement of TA1.3, as increasing energy savings may lead to increased energy demand, which could hinder the reduction of GHG emissions.;The EU’s energy savings and GHG emissions reduction targets are closely linked, and achieving one may hinder the achievement of the other.
TA2.21;Member States shall ensure that the total final energy consumption of all public bodies combined is reduced by at least 1.9% each year, when compared to 2021;TA1.3;Reduce by at least 55% net GHG emissions compared to 1990 levels, by 2030;-;1;The implementation of TA2.21 may constrain the achievement of TA1.3, as reducing energy consumption in public bodies may not be sufficient to achieve the GHG emissions reduction target.;The EU’s energy efficiency and GHG emissions reduction targets are closely linked, and achieving one may not be sufficient to achieve the other.
TA2.22;Member States shall collectively ensure a reduction of energy consumption of at least 11.7% in 2030 compared to the projections of the 2020 EU Reference Scenario;TA1.3;Reduce by at least 55% net GHG emissions compared to 1990 levels, by 2030;-;2;The implementation of TA2.22 may counteract the achievement of TA1.3, as reducing energy consumption may not be sufficient to achieve the GHG emissions reduction target.;The EU’s energy consumption reduction and GHG emissions reduction targets are closely linked, and achieving one may not be sufficient to achieve the other.
TA2.23;Member States shall make efforts to collectively contribute to the indicative Union primary energy consumption target amounting to no more than 992.5 Mtoe in 2030;TA1.3;Reduce by at least 55% net GHG emissions compared to 1990 levels, by 2030;-;1;The implementation of TA2.23 may constrain the achievement of TA1.3, as reducing primary energy consumption may not be sufficient to achieve the GHG emissions reduction target.;The EU’s primary energy consumption reduction and GHG emissions reduction targets are closely linked, and achieving one may not be sufficient to achieve the other.
TA2.25;Reduce buildings’ final energy consumption by 14%;TA1.3;Reduce by at least 55% net GHG emissions compared to 1990 levels, by 2030;-;1;The implementation of TA2.25 may constrain the achievement of TA1.3, as reducing final energy consumption in buildings may not be sufficient to achieve the GHG emissions reduction target.;The EU’s energy efficiency and GHG emissions reduction targets in buildings are closely linked, and achieving one may not be sufficient to achieve the other.
TA2.26;At least double the annual energy renovation rate of residential and non-residential buildings by 2030;TA1.3;Reduce by at least 55% net GHG emissions compared to 1990 levels, by 2030;-;1;The implementation of TA2.26 may constrain the achievement of TA1.3, as increasing the energy renovation rate may not be sufficient to achieve the GHG emissions reduction target.;The EU’s energy renovation and GHG emissions reduction targets are closely linked, and achieving one may not be sufficient to achieve the other.
TA2.24;Each Member State shall ensure that at least 3% of the total floor area of heated and/or cooled buildings is renovated each year to be transformed into at least nearly zero-energy buildings;TA1.3;Reduce by at least 55% net GHG emissions compared to 1990 levels, by 2030;-;1;The implementation of TA2.24 may constrain the achievement of TA1.3, as renovating buildings may not be sufficient to achieve the GHG emissions reduction target.;The EU’s building renovation and GHG emissions reduction targets are closely linked, and achieving one may not be sufficient to achieve the other.
TA2.33;The national measures will have to ensure that at least 55% of the decrease of the average primary energy use is achieved through the renovation of the worst-performing buildings;TA1.3;Reduce by at least 55% net GHG emissions compared to 1990 levels, by 2030;-;1;The implementation of TA2.33 may constrain the achievement of TA1.3, as renovating the worst-performing buildings may not be sufficient to achieve the GHG emissions reduction target.;The EU’s building renovation and GHG emissions reduction targets are closely linked, and achieving one may not be sufficient to achieve the other.
TA2.34;Member States shall ensure that the average primary energy use of the entire residential building stock decreases by at least 16% compared to 2020 by 2030;TA1.3;Reduce by at least 55% net GHG emissions compared to 1990 levels, by 2030;-;1;The implementation of TA2.34 may constrain the achievement of TA1.3, as reducing primary energy use in residential buildings may not be sufficient to achieve the GHG emissions reduction target.;The EU’s primary energy use reduction and GHG emissions reduction targets in residential buildings are closely linked, and achieving one may not be sufficient to achieve the other.
TA2.28;Reduce buildings’ energy consumption for heating and cooling by 18% compared to 2015 levels by 2030;TA1.3;Reduce by at least 55% net GHG emissions compared to 1990 levels, by 2030;-;1;The implementation of TA2.28 may constrain the achievement of TA1.3, as reducing energy consumption for heating and cooling may not be sufficient to achieve the GHG emissions reduction target.;The EU’s energy consumption reduction and GHG emissions reduction targets in buildings are closely linked, and achieving one may not be sufficient to achieve the other.
TA2.29;Member states will have to renovate 16% of worst-performing non-residential buildings by 2030;TA1.3;Reduce by at least 55% net GHG emissions compared to 1990 levels, by 2030;-;1;The implementation of TA2.29 may constrain the achievement of TA1.3, as renovating non-residential buildings may not be sufficient to achieve the GHG emissions reduction target.;The EU’s building renovation and GHG emissions reduction targets are closely linked, and achieving one may not be sufficient to achieve the other.
TA2.4;Double the current deployment rate of individual heat pumps, resulting in a cumulative 10 million units by 2027 and 30 million units by 2030;TA1.3;Reduce by at least 55% net GHG emissions compared to 1990 levels, by 2030;-;1;The implementation of TA2.4 may constrain the achievement of TA1.3, as increasing the deployment rate of heat pumps may not be sufficient to achieve the GHG emissions reduction target.;The EU’s heat pump deployment and GHG emissions reduction targets are closely linked, and achieving one may not be sufficient to achieve the other.
TA2.17;A target of 15% electricity interconnection for 2030;TA1.3;Reduce by at least 55% net GHG emissions compared to 1990 levels, by 2030;-;1;The implementation of TA2.17 may constrain the achievement of TA1.3, as increasing electricity interconnection may not be sufficient to achieve the GHG emissions reduction target.;The EU’s electricity interconnection and GHG emissions reduction targets are closely linked, and achieving one may not be sufficient to achieve the other.
TA2.10;Member States shall set an indicative target for innovative renewable energy technology of at least 5% of newly installed renewable energy capacity by 2030;TA1.3;Reduce by at least 55% net GHG emissions compared to 1990 levels, by 2030;-;1;The implementation of TA2.10 may constrain the achievement of TA1.3, as increasing the share of innovative renewable energy technologies may not be sufficient to achieve the GHG emissions reduction target.;The EU’s innovative renewable energy technology and GHG emissions reduction targets are closely linked, and achieving one may not be sufficient to achieve the other.
TA2.11;By 31 December 2025, each Member State shall agree to establish a framework for cooperation on joint projects with one or more other Member States for the production of renewable energy;TA1.3;Reduce by at least 55% net GHG emissions compared to 1990 levels, by 2030;-;1;The implementation of TA2.11 may constrain the achievement of TA1.3, as cooperation on renewable energy production may not be sufficient to achieve the GHG emissions reduction target.;The EU’s cooperation on renewable energy production and GHG emissions reduction targets are closely linked, and achieving one may not be sufficient to achieve the other.
TA2.13;The amount of renewable fuels and renewable electricity supplied to the transport sector leads to a: (i) share of renewable energy within the final consumption of energy in the transport sector of at least 29 % by 2030;TA1.3;Reduce by at least 55% net GHG emissions compared to 1990 levels, by 2030;-;1;The implementation of TA2.13 may constrain the achievement of TA1.3, as increasing the share of renewable energy in transport may not be sufficient to achieve the GHG emissions reduction target.;The EU’s renewable energy in transport and GHG emissions reduction targets are closely linked, and achieving one may not be sufficient to achieve the other.
TA2.15;By 2022, achieve 18% of the total increase in the share of energy from renewable sources between that Member State’s binding 2020 national target, and its contribution to the 2030 target;TA1.3;Reduce by at least 55% net GHG emissions compared to 1990 levels, by 2030;-;1;The implementation of TA2.15 may constrain the achievement of TA1.3, as increasing the share of renewable energy may not be sufficient to achieve the GHG emissions reduction target.;The EU’s renewable energy and GHG emissions reduction targets are closely linked, and achieving one may not be sufficient to achieve the other.
TA2.16;Member States shall endeavour to increase the share of renewable sources in the amount of energy sources used for final energy and non-energy purposes in the industry sector by an indicative increase of at least 1.6 percentage points;TA1.3;Reduce by at least 55% net GHG emissions compared to 1990 levels, by 2030;-;1;The implementation of TA2.16 may constrain the achievement of TA1.3, as increasing the share of renewable energy in industry may not be sufficient to achieve the GHG emissions reduction target.;The EU’s renewable energy in industry and GHG emissions reduction targets are closely linked, and achieving one may not be sufficient to achieve the other.
TA2.9;Member States shall collectively ensure that the share of energy from renewable sources in the Union’s gross final consumption of energy in 2030 is at least 42.5%;TA1.3;Reduce by at least 55% net GHG emissions compared to 1990 levels, by 2030;-;2;The implementation of TA2.9 may counteract the achievement of TA1.3, as increasing the share of renewable energy may not be sufficient to achieve the GHG emissions reduction target.;The EU’s renewable energy and GHG emissions reduction targets are closely linked, and achieving one may hinder the achievement of the other.
TA2.2;Set up at least one renewables-based energy community in every municipality with a population higher than 10.000 by 2025;TA1.3;Reduce by at least 55% net GHG emissions compared to 1990 levels, by 2030;-;1;The implementation of TA2.2 may constrain the achievement of TA1.3, as setting up renewables-based energy communities may not be sufficient to achieve the GHG emissions reduction target.;The EU’s renewables-based energy communities and GHG emissions reduction targets are closely linked, and achieving one may not be sufficient to achieve the other.
TA2.37;By 2030, the share of renewable energy in the electricity mix should double to 55-60%;TA1.3;Reduce by at least 55% net GHG emissions compared to 1990 levels, by 2030;-;2;The implementation of TA2.37 may counteract the achievement of TA1.3, as increasing the share of renewable energy in the electricity mix may not be sufficient to achieve the GHG emissions reduction target.;The EU’s renewable energy in the electricity mix and GHG emissions reduction targets are closely linked, and achieving one may hinder the achievement of the other.
TA2.14;Each Member State shall increase the share of renewable energy in the heating and cooling sector by at least 0.8 percentage points as an annual average calculated for the period 2021 to 2025;TA1.3;Reduce by at least 55% net GHG emissions compared to 1990 levels, by 2030;-;1;The implementation of TA2.14 may constrain the achievement of TA1.3, as increasing the share of renewable energy in heating and cooling may not be sufficient to achieve the GHG emissions reduction target.;The EU’s renewable energy in heating and cooling and GHG emissions reduction targets are closely linked, and achieving one may not be sufficient to achieve the other.
TA2.18;Indicative target of at least a 49% share of energy from renewable sources in the building sector in the Union’s final energy consumption in buildings in 2030;TA1.3;Reduce by at least 55% net GHG emissions compared to 1990 levels, by 2030;-;1;The implementation of TA2.18 may constrain the achievement of TA1.3, as increasing the share of renewable energy in buildings may not be sufficient to achieve the GHG emissions reduction target.;The EU’s renewable energy in buildings and GHG emissions reduction targets are closely linked, and achieving one may not be sufficient to achieve the other.
TA2.6;Energy demand to be covered by solar heat and geothermal should at least triple;TA1.3;Reduce by at least 55% net GHG emissions compared to 1990 levels, by 2030;-;1;The implementation of TA2.6 may constrain the achievement of TA1.3, as increasing the share of solar heat and geothermal may not be sufficient to achieve the GHG emissions reduction target.;The EU’s solar heat and geothermal and GHG emissions reduction targets are closely linked, and achieving one may not be sufficient to achieve the other.
TA2.3;Member States shall ensure that the contribution of renewable fuels of non-biological origin used for final energy and non-energy purposes shall be at least 42% of the hydrogen used for final energy and non-energy purposes in industry by 2030;TA1.3;Reduce by at least 55% net GHG emissions compared to 1990 levels, by 2030;-;1;The implementation of TA2.3 may constrain the achievement of TA1.3, as increasing the share of renewable fuels of non-biological origin may not be sufficient to achieve the GHG emissions reduction target.;The EU’s renewable fuels of non-biological origin and GHG emissions reduction targets are closely linked, and achieving one may not be sufficient to achieve the other.
TA2.1;REPowerEU sets a target of 10 million tonnes of domestic renewable hydrogen production and 10 million tonnes of renewable hydrogen imports by 2030;TA1.3;Reduce by at least 55% net GHG emissions compared to 1990 levels, by 2030;-;1;The implementation of TA2.1 may constrain the achievement of TA1.3, as increasing renewable hydrogen production and imports may not be sufficient to achieve the GHG emissions reduction target.;The EU’s renewable hydrogen production and imports and GHG emissions reduction targets are closely linked, and achieving one may not be sufficient to achieve the other.
TA2.40;Around 30% of EU primary steel production is expected to be decarbonised on the basis of renewable hydrogen;TA1.3;Reduce by at least 55% net GHG emissions compared to 1990 levels, by 2030;-;1;The implementation of TA2.40 may constrain the achievement of TA1.3, as decarbonising steel production may not be sufficient to achieve the GHG emissions reduction target.;The EU’s decarbonisation of steel production and GHG emissions reduction targets are closely linked, and achieving one may not be sufficient to achieve the other.
TA2.38;Cumulative EU offshore goals of installed capacity: 60 GW by 2030 and 300 GW by 2050;TA1.3;Reduce by at least 55% net GHG emissions compared to 1990 levels, by 2030;-;1;The implementation of TA2.38 may constrain the achievement of TA1.3, as increasing offshore wind capacity may not be sufficient to achieve the GHG emissions reduction target.;The EU’s offshore wind capacity and GHG emissions reduction targets are closely linked, and achieving one may not be sufficient to achieve the other.
TA2.39;The strategy sets targets for an installed capacity of at least 1 GW of ocean energy by 2030 and 40 GW by 2050;TA1.3;Reduce by at least 55% net GHG emissions compared to 1990 levels, by 2030;-;1;The implementation of TA2.39 may constrain the achievement of TA1.3, as increasing ocean energy capacity may not be sufficient to achieve the GHG emissions reduction target.;The EU’s ocean energy capacity and GHG emissions reduction targets are closely linked, and achieving one may not be sufficient to achieve the other.
TA2.5;Bring online over 320 GW of solar photovoltaic by 2025 and almost 600 GW by 2030;TA1.3;Reduce by at least 55% net GHG emissions compared to 1990 levels, by 2030;-;1;The implementation of TA2.5 may constrain the achievement of TA1.3, as increasing solar photovoltaic capacity may not be sufficient to achieve the GHG emissions reduction target.;The EU’s solar photovoltaic capacity and GHG emissions reduction targets are closely linked, and achieving one may not be sufficient to achieve the other.
TA2.7;Over this decade, the EU will need to install, on average, approximately 45 GW per year of PV to reach the share of 45% of energy coming from renewables;TA1.3;Reduce by at least 55% net GHG emissions compared to 1990 levels, by 2030;-;1;The implementation of TA2.7 may constrain the achievement of TA1.3, as increasing PV installation may not be sufficient to achieve the GHG emissions reduction target.;The EU’s PV installation and GHG emissions reduction targets are closely linked, and achieving one may not be sufficient to achieve the other.
