source_target;source_target_content;impact_target;impact_target_content;impact_type;impact_weight;justification
TA3.48;The plastic contained in each vehicle type that is type-approved as of [the first day of the month following 72 months after the date of entry into force of the Regulation] under Regulation (EU) 2018/858 shall contain a minimum of 25 % of plastic recycled by weight from post-consumer plastic waste. Proposal for a Regulation on circularity requirements for vehicle design and on management of end-of-life vehicles;TA6.7;4. By 2030, significant areas of degraded and carbon-rich ecosystems are restored. Habitats and species show no deterioration in conservation trends and status, and at least 30% reach favourable conservation status or at least show a positive trend.;+;2;The implementation of TA3.48 could lead to an increase in the use of recycled plastic in vehicle production, which in turn could lead to a reduction in the amount of waste in the environment, and subsequently, a positive impact on the restoration of ecosystems, as set out in TA6.7.
TA3.49;At least 25% of the target set out in the first subparagraph shall be achieved by including plastics recycled from end-of-life vehicles in the vehicle type concerned. Proposal for a Regulation on circularity requirements for vehicle design and on management of end-of-life vehicles;TA6.44;(agricultural ecosystems) Member States shall put in place measures which shall aim to achieve an increasing trend at national level of at least two out of the three following indicators in agricultural ecosystems;+;2;The implementation of TA3.49 could lead to an increase in the recycling of plastics from end-of-life vehicles, which in turn could lead to a reduction in the amount of waste in the environment, and subsequently, a positive impact on the agricultural ecosystems, as set out in TA6.44.
TA3.50;Member States shall ensure that the following targets are met by the waste management operators: (a) the reuse and recovery, as calculated together, shall be a minimum of 95 %, by average weight per vehicle, excluding batteries, and year, (b) the reuse and recycling, as calculated together, shall be a minimum of 85 %, by average weight per vehicle, excluding batteries, and year. Proposal for a Regulation on circularity requirements for vehicle design and on management of end-of-life vehicles;TA6.50;Reach no net land take;+;2;The implementation of TA3.50 could lead to an increase in the recycling and reuse of vehicles, which in turn could lead to a reduction in the amount of waste in the environment, and subsequently, a positive impact on the protection of land, as set out in TA6.50.
TA3.51;Member States shall ensure that waste management operators achieve a yearly target for the recycling of plastics of at least 30 % of the total weight of plastics contained in the vehicles delivered to the waste management operators. Proposal for a Regulation on circularity requirements for vehicle design and on management of end-of-life vehicles;TA6.7;4. By 2030, significant areas of degraded and carbon-rich ecosystems are restored. Habitats and species show no deterioration in conservation trends and status, and at least 30% reach favourable conservation status or at least show a positive trend.;+;2;The implementation of TA3.51 could lead to an increase in the recycling of plastics, which in turn could lead to a reduction in the amount of waste in the environment, and subsequently, a positive impact on the restoration of ecosystems, as set out in TA6.7.
TA3.11;Diversify the Union’s imports of strategic raw materials with a view to ensuring that, by 2030, the Union’s annual consumption of each strategic raw material at any relevant stage of processing can rely on imports from several third countries;TA6.50;Reach no net land take;+;2;The implementation of TA3.11 could lead to a reduction in the Union's dependence on a single supplier for strategic raw materials, which in turn could lead to a reduction in the amount of waste in the environment, and subsequently, a positive impact on the protection of land, as set out in TA6.50.
TA3.8;By 2030, Union extraction capacity should be able of extracting the ores, minerals or concentrates needed to produce at least 10% of the Union’s annual consumption of strategic raw materials;TA6.1;1.a Legally protect a minimum of 30% of the EU’s land area;+;2;The implementation of TA3.8 could lead to an increase in the extraction of strategic raw materials, which in turn could lead to a reduction in the amount of waste in the environment, and subsequently, a positive impact on the protection of land areas, as set out in TA6.1.
TA3.9;By 2030, Union processing capacity, including for all intermediate processing steps, should be able of producing at least 40% of the Union’s annual consumption of strategic raw materials;TA6.50;Reach no net land take;+;2;The implementation of TA3.9 could lead to an increase in the processing of strategic raw materials, which in turn could lead to a reduction in the amount of waste in the environment, and subsequently, a positive impact on the protection of land, as set out in TA6.50.
TA3.12;By 2030, manufacturing capacity in the Union of the strategic net-zero technologies listed in the Annex approaches or reaches a benchmark of at least 40% of the Union’s annual deployment needs;TA6.7;4. By 2030, significant areas of degraded and carbon-rich ecosystems are restored. Habitats and species show no deterioration in conservation trends and status, and at least 30% reach favourable conservation status or at least show a positive trend.;+;2;The implementation of TA3.12 could lead to an increase in the manufacturing of net-zero technologies, which in turn could lead to a reduction in greenhouse gas emissions, and subsequently, a positive impact on the restoration of ecosystems, as set out in TA6.7.
TA3.24;Reduce the generation of food waste in processing and manufacturing by 10% in comparison to the amount generated in 2020;TA6.50;Reach no net land take;+;1;The implementation of TA3.24 could lead to a reduction in food waste, which in turn could lead to a reduction in the amount of waste in the environment, and subsequently, a positive impact on the protection of land, as set out in TA6.50.
TA3.25;Reduce the generation of food waste per capita, jointly in retail and other distribution of food, in restaurants and food services and in households, by 30% in comparison to the amount generated in 2020;TA6.7;4. By 2030, significant areas of degraded and carbon-rich ecosystems are restored. Habitats and species show no deterioration in conservation trends and status, and at least 30% reach favourable conservation status or at least show a positive trend.;+;2;The implementation of TA3.25 could lead to a reduction in food waste, which in turn could lead to a reduction in the amount of waste in the environment, and subsequently, a positive impact on the restoration of ecosystems, as set out in TA6.7.
TA3.1;Halve the amount of residual (non-recycled) municipal waste by 2030;TA6.50;Reach no net land take;+;2;The implementation of TA3.1 could lead to a reduction in municipal waste, which in turn could lead to a reduction in the amount of waste in the environment, and subsequently, a positive impact on the protection of land, as set out in TA6.50.
TA3.30;Each Member State shall reduce the packaging waste generated per capita, as compared to the packaging waste generated per capita in 2018 as reported to the Commission in accordance with Decision 2005/270/EC by 5% by 2030, 10% by 2035, 15% by 2040 Proposal on packaging and packaging waste;TA6.1;1.a Legally protect a minimum of 30% of the EU’s land area;+;2;The implementation of TA3.30 could lead to a reduction in packaging waste, which in turn could lead to a reduction in the amount of waste in the environment, and subsequently, a positive impact on the protection of land areas, as set out in TA6.1.
TA3.27;All packaging shall be recyclable;TA6.50;Reach no net land take;+;1;The implementation of TA3.27 could lead to an increase in the recyclability of packaging, which in turn could lead to a reduction in the amount of waste in the environment, and subsequently, a positive impact on the protection of land, as set out in TA6.50.
TA3.28;The plastic part in packaging shall contain the following minimum percentage of recycled content recovered from post-consumer plastic waste;TA6.7;4. By 2030, significant areas of degraded and carbon-rich ecosystems are restored. Habitats and species show no deterioration in conservation trends and status, and at least 30% reach favourable conservation status or at least show a positive trend.;+;2;The implementation of TA3.28 could lead to an increase in the use of recycled plastic in packaging, which in turn could lead to a reduction in the amount of waste in the environment, and subsequently, a positive impact on the restoration of ecosystems, as set out in TA6.7.
TA3.29;Member States shall take measures to achieve a sustained reduction in the consumption of lightweight plastic carrier bags on their territory. A sustained reduction is achieved if the annual consumption does not exceed 40 lightweight plastic carrier bags per person, or the equivalent target in weight, by 31 December 2025, and subsequently by 31 December in each year thereafter. Proposal on packaging and packaging waste;TA6.50;Reach no net land take;+;1;The implementation of TA3.29 could lead to a reduction in the consumption of lightweight plastic carrier bags, which in turn could lead to a reduction in the amount of waste in the environment, and subsequently, a positive impact on the protection of land, as set out in TA6.50.
