source_target;source_target_content;impact_target;impact_target_content;impact_type;impact_weight;justification
TA5.19;Price: Preserve the price affordability of food.;TA6.1;1.a Legally protect a minimum of 30% of the EU’s land area;-;1;The implementation of TA5.19 may have a negative impact on TA6.1, as the preservation of price affordability may lead to increased land use and competition for land, potentially threatening the protection of 30% of the EU's land area.
TA5.29;Food availability: Improve availability of sustainable food. Ensure that the healthy option is always the easiest one. Ensure food supply.;TA6.1;1.a Legally protect a minimum of 30% of the EU’s land area;+;1;The implementation of TA5.29 will support the achievement of TA6.1 by promoting sustainable food systems and improving food availability, which will contribute to the protection of 30% of the EU's land area.
TA5.30;Food affordability: Ensure affordability to sufficient, nutritious and sustainable food;TA6.1;1.a Legally protect a minimum of 30% of the EU’s land area;-;1;The implementation of TA5.30 may have a negative impact on TA6.1, as the focus on food affordability may lead to increased land use and competition for land, potentially threatening the protection of 30% of the EU's land area.
TA5.32;Food security: Ensuring food security and access to quality, safe, sustainable, nutritious food for all.;TA6.1;1.a Legally protect a minimum of 30% of the EU’s land area;+;1;The implementation of TA5.32 will support the achievement of TA6.1 by promoting food security and sustainable food systems, which will contribute to the protection of 30% of the EU's land area.
TA5.12;Genetic biodiversity of food production systems: Secure and ensure access to a range of quality seeds for plant varieties in order to adapt to the pressures of climate change.;TA6.1;1.a Legally protect a minimum of 30% of the EU’s land area;+;1;The implementation of TA5.12 will support the achievement of TA6.1 by promoting genetic biodiversity and sustainable agricultural practices, which will contribute to the protection of 30% of the EU's land area.
TA5.15;Consumption footprint: Reduce the environmental and climate footprint of the EU food system, operating within planetary boundaries. Reduce the EU’s contribution to global deforestation and forest degradation.;TA6.1;1.a Legally protect a minimum of 30% of the EU’s land area;+;1;The implementation of TA5.15 will support the achievement of TA6.1 by reducing the environmental and climate footprint of the EU food system, which will contribute to the protection of 30% of the EU's land area.
TA5.6;Aquatic living resources: Increase sustainable fishing and aquaculture. Bring fish stocks to sustainable levels. Significant increase in organic aquaculture;TA6.1;1.a Legally protect a minimum of 30% of the EU’s land area;-;1;The implementation of TA5.6 may have a negative impact on TA6.1, as the promotion of sustainable fishing and aquaculture may lead to increased competition for land and resources, potentially threatening the protection of 30% of the EU's land area.
TA5.9;Increase organic farming with the aim to achieve at least 25% of total farmland under organic farming by 2030 Target in Common with Biodiversity Strategy (see Thematic Area 6);TA6.1;1.a Legally protect a minimum of 30% of the EU’s land area;+;1;The implementation of TA5.9 will support the achievement of TA6.1 by promoting organic farming and sustainable agricultural practices, which will contribute to the protection of 30% of the EU's land area.
TA5.2;Reduce overall EU sales of antimicrobials for farmed animals and in aquaculture by 50% by 2030.;TA6.9;6. The risk and use of chemical pesticides is reduced by 50%, and the use of more hazardous pesticides is reduced by 50%;+;1;The implementation of TA5.2 will support the achievement of TA6.9 by reducing the use of antimicrobials and promoting sustainable agricultural practices, which will contribute to the reduction of the risk and use of chemical pesticides.
TA5.25;Animal welfare: Promote better animal welfare to improve animal health and food quality.;TA6.1;1.a Legally protect a minimum of 30% of the EU’s land area;+;1;The implementation of TA5.25 will support the achievement of TA6.1 by promoting animal welfare and sustainable agricultural practices, which will contribute to the protection of 30% of the EU's land area.
TA5.27;Food messaging: Provide food information and labelling to empower consumers to make informed, healthy and sustainable food choices. Strengthen educational messages on the importance of healthy nutrition, sustainable food production and consumption, and reducing food waste;TA6.1;1.a Legally protect a minimum of 30% of the EU’s land area;+;1;The implementation of TA5.27 will support the achievement of TA6.1 by promoting sustainable food systems and empowering consumers, which will contribute to the protection of 30% of the EU's land area.
TA5.31;Properties of food: Increase reformulation of food products in line with guidelines for healthy and sustainable diets;TA6.1;1.a Legally protect a minimum of 30% of the EU’s land area;+;1;The implementation of TA5.31 will support the achievement of TA6.1 by promoting sustainable food systems and reformulation of food products, which will contribute to the protection of 30% of the EU's land area.
TA5.33;Nutrition and healthy, sustainable diets: Move to healthier and more sustainable diets.;TA6.1;1.a Legally protect a minimum of 30% of the EU’s land area;+;1;The implementation of TA5.33 will support the achievement of TA6.1 by promoting sustainable food systems and healthy diets, which will contribute to the protection of 30% of the EU's land area.
TA5.34;Health impact of diets: Reversing of the rise in overweight and obesity rates across the EU by 2030;TA6.1;1.a Legally protect a minimum of 30% of the EU’s land area;+;1;The implementation of TA5.34 will support the achievement of TA6.1 by promoting sustainable food systems and reducing the health impact of diets, which will contribute to the protection of 30% of the EU's land area.
TA5.7;Ensure that agriculture, fisheries and aquaculture, and the food value chain contribute to the target of reducing net greenhouse gas emissions to at least 55% below 1990 levels by 2030 and to the achievement of the objective for a climate-neutral Union in 2050.;TA6.1;1.a Legally protect a minimum of 30% of the EU’s land area;+;1;The implementation of TA5.7 will support the achievement of TA6.1 by promoting sustainable agricultural practices and reducing greenhouse gas emissions, which will contribute to the protection of 30% of the EU's land area.
TA5.3;Reduce nutrient losses by at least 50%, while ensuring that there is no deterioration in soil fertility.;TA6.9;6. The risk and use of chemical pesticides is reduced by 50%, and the use of more hazardous pesticides is reduced by 50%;+;1;The implementation of TA5.3 will support the achievement of TA6.9 by reducing nutrient losses and promoting sustainable agricultural practices, which will contribute to the reduction of the risk and use of chemical pesticides.
TA5.8;Water: Preserving freshwater, boosting water reuse in agriculture.;TA6.1;1.a Legally protect a minimum of 30% of the EU’s land area;+;1;The implementation of TA5.8 will support the achievement of TA6.1 by promoting water conservation and sustainable agricultural practices, which will contribute to the protection of 30% of the EU's land area.
TA5.4;Reduce by 50% the use of more hazardous pesticides Target in Common with Biodiversity Strategy (see Thematic Area 6) and Zero Pollution Action Plan (see Thematic Area 7);TA6.9;6. The risk and use of chemical pesticides is reduced by 50%, and the use of more hazardous pesticides is reduced by 50%;+;1;The implementation of TA5.4 will support the achievement of TA6.9 by reducing the use of hazardous pesticides and promoting sustainable agricultural practices, which will contribute to the reduction of the risk and use of chemical pesticides.
TA5.5;Reduce by 50% the use and risk of chemical pesticides Target in Common with Biodiversity Strategy (see Thematic Area 6) and Zero Pollution Action Plan (see Thematic Area 7);TA6.9;6. The risk and use of chemical pesticides is reduced by 50%, and the use of more hazardous pesticides is reduced by 50%;+;1;The implementation of TA5.5 will support the achievement of TA6.9 by reducing the use and risk of chemical pesticides and promoting sustainable agricultural practices, which will contribute to the reduction of the risk and use of chemical pesticides.
TA5.10;Energy: Increase renewable energy in the agriculture and food sector. Adopt energy efficiency solutions in the agriculture and food sector, by reducing energy consumption.;TA6.1;1.a Legally protect a minimum of 30% of the EU’s land area;+;1;The implementation of TA5.10 will support the achievement of TA6.1 by promoting renewable energy and energy efficiency in the agricultural sector, which will contribute to the protection of 30% of the EU's land area.
TA5.16;Income distribution: Ensure fair income and salaries. Improve income of primary producers to ensure their sustainable livelihood.;TA6.44;(agricultural ecosystems) Member States shall put in place measures which shall aim to achieve an increasing trend at national level of at least two out of the three following indicators in agricultural ecosystems;+;1;The implementation of TA5.16 will support the achievement of TA6.44 by promoting fair income distribution and sustainable agricultural practices, which will contribute to an increasing trend in at least two of the three indicators in agricultural ecosystems.
TA5.23;Employment and working conditions: Create new job opportunities. Improve working conditions, ensure occupation health and safety.;TA6.1;1.a Legally protect a minimum of 30% of the EU’s land area;+;1;The implementation of TA5.23 will support the achievement of TA6.1 by promoting sustainable agricultural practices and improving employment and working conditions, which will contribute to the protection of 30% of the EU's land area.
TA5.24;Social protection and poverty: Ensure fair, inclusive and ethical value chains. Ensure workers’ social protection and housing conditions, promote socially responsible production methods, Mitigate the socio-economic consequences impacting the food chain and ensure that the key principles enshrined in the European Pillar of Social Rights are respected, especially when it comes to precarious, seasonal and undeclared workers.;TA6.1;1.a Legally protect a minimum of 30% of the EU’s land area;+;1;The implementation of TA5.24 will support the achievement of TA6.1 by promoting fair and inclusive value chains and social protection, which will contribute to the protection of 30% of the EU's land area.
TA5.22;Transport, accessibility and infrastructure: Create shorter supply chains will support reducing dependence on long-haul transportation.;TA6.1;1.a Legally protect a minimum of 30% of the EU’s land area;-;1;The implementation of TA5.22 may have a negative impact on TA6.1, as the creation of shorter supply chains may lead to increased competition for land and resources, potentially threatening the protection of 30% of the EU's land area.
TA5.13;Reduce food waste. Prevent food loss and waste. Halve per capita food waste at retail and consumer levels* *See also Directive (EU) 2018/851 on waste with a target on food waste reduction of 30% by 2025;TA6.1;1.a Legally protect a minimum of 30% of the EU’s land area;+;1;The implementation of TA5.13 will support the achievement of TA6.1 by promoting sustainable food systems and reducing food waste, which will contribute to the protection of 30% of the EU's land area.
