TA6.1;1.a Legally protect a minimum of 30% of the EU’s land area;TA1.3;Reduce by at least 55% net GHG emissions compared to 1990 levels, by 2030;+;2;The protection of 30% of the EU's land area will contribute to the reduction of GHG emissions by preserving natural carbon sinks and promoting sustainable land use practices, which are essential for achieving the EU's climate ambition of reducing GHG emissions by at least 55% by 2030.
TA6.52;The Ambient Air Quality Directives set EU air quality standards for 12 air pollutants;TA1.3;Reduce by at least 55% net GHG emissions compared to 1990 levels, by 2030;+;2;The implementation of the Ambient Air Quality Directives will contribute to the reduction of GHG emissions, as it will promote sustainable practices and reduce the pressure on ecosystems, which are essential for achieving the EU's climate ambition.
TA6.15;13. The losses of nutrients from fertilisers are reduced by 50%, resulting in the reduction of the use of fertilisers by at least 20%;TA1.7;Reduce methane emissions by 35 to 37% compared to 2005 levels, by 2030;+;1;The reduction of nutrient losses will contribute to the reduction of methane emissions, as it will promote sustainable agricultural practices, which are essential for reducing methane emissions.
TA6.46;(agricultural ecosystems) Member States shall put in place measures which shall aim to restore organic soils in agricultural use constituting drained peatlands;TA1.9;EU ETS. The contribution of the sectors covered by the existing EU Emission trading System (EU ETS) with respect to the EU Climate ambition should be of -62% compared to 2005;+;2;The restoration of organic soils will contribute to the reduction of GHG emissions, as it will promote sustainable agricultural practices, and the EU ETS will provide a financial incentive for the reduction of GHG emissions.
TA6.50;Reach no net land take;TA1.3;Reduce by at least 55% net GHG emissions compared to 1990 levels, by 2030;+;2;The implementation of no net land take will contribute to the reduction of GHG emissions, as it will promote sustainable land use practices, which are essential for achieving the EU's climate ambition.
TA6.62;The Water Reuse Regulation aim to encourage and facilitate water reuse in the EU;TA1.15;Reduce buildings’ greenhouse gas emissions by 60%, by 2030;+;1;The implementation of the Water Reuse Regulation will contribute to the reduction of GHG emissions from buildings, as it will promote sustainable water management practices, which are essential for reducing energy consumption and GHG emissions.
TA6.51;Member States shall take the measures necessary to ensure that water intended for human consumption is wholesome and clean;TA1.7;Reduce methane emissions by 35 to 37% compared to 2005 levels, by 2030;+;1;The implementation of measures to ensure clean water will contribute to the reduction of methane emissions, as it will promote sustainable water management practices, which are essential for reducing methane emissions.
TA6.41;Marine ecosystems. Member States shall put in place the restoration measures [...] to improve [...] areas of habitat types listed in Annex II which are not in good condition;TA1.3;Reduce by at least 55% net GHG emissions compared to 1990 levels, by 2030;+;2;The restoration of marine ecosystems will contribute to the reduction of GHG emissions, as it will promote sustainable practices and reduce the pressure on ecosystems, which are essential for achieving the EU's climate ambition.
TA6.42;ecosystems. Member States shall put in place the restoration measures that are necessary to re-establish the habitat types of groups 1-6 listed in Annex II;TA1.9;EU ETS. The contribution of the sectors covered by the existing EU Emission trading System (EU ETS) with respect to the EU Climate ambition should be of -62% compared to 2005;+;2;The restoration of ecosystems will contribute to the reduction of GHG emissions, as it will promote sustainable practices and reduce the pressure on ecosystems, and the EU ETS will provide a financial incentive for the reduction of GHG emissions.
TA6.30;Marine ecosystems. Member States shall put in place [...] measures [...] to jointly cover, as a Union target, throughout the areas and ecosystems [...] defined in Art. 2, by 2030, at least 20% of sea areas in need of restoration and, by 2050, all ecosystems in need of restoration;TA1.7;Reduce methane emissions by 35 to 37% compared to 2005 levels, by 2030;+;1;The restoration of marine ecosystems will contribute to the reduction of methane emissions, as it will promote sustainable practices and reduce the pressure on ecosystems, which are essential for reducing methane emissions.
TA6.9;6. The risk and use of chemical pesticides is reduced by 50%, and the use of more hazardous pesticides is reduced by 50%;TA1.3;Reduce by at least 55% net GHG emissions compared to 1990 levels, by 2030;+;2;The reduction of chemical pesticides will contribute to the reduction of GHG emissions, as it will promote sustainable agricultural practices, which are essential for achieving the EU's climate ambition.
TA6.29;Terrestrial ecosystems. Member States shall put in place [...] measures [...] to jointly cover, as a Union target, throughout the areas and ecosystems [...] defined in Art. 2, by 2030, at least 20% of land areas in need of restoration and, by 2050, all ecosystems in need of restoration;TA1.7;Reduce methane emissions by 35 to 37% compared to 2005 levels, by 2030;+;1;The restoration of terrestrial ecosystems will contribute to the reduction of methane emissions, as it will promote sustainable practices and reduce the pressure on ecosystems, which are essential for reducing methane emissions.
TA6.7;4. By 2030, significant areas of degraded and carbon-rich ecosystems are restored. Habitats and species show no deterioration in conservation trends and status, and at least 30% reach favourable conservation status or at least show a positive trend;TA1.9;EU ETS. The contribution of the sectors covered by the existing EU Emission trading System (EU ETS) with respect to the EU Climate ambition should be of -62% compared to 2005;+;2;The restoration of ecosystems will contribute to the reduction of GHG emissions, as it will promote sustainable practices and reduce the pressure on ecosystems, and the EU ETS will provide a financial incentive for the reduction of GHG emissions.
TA6.32;Terrestrial, coastal and freshwater ecosystems. Member States shall put in place the restoration measures [...] to re-establish the habitat types listed in Annex I in areas not covered by those habitat types;TA1.3;Reduce by at least 55% net GHG emissions compared to 1990 levels, by 2030;+;2;The restoration of ecosystems will contribute to the reduction of GHG emissions, as it will promote sustainable practices and reduce the pressure on ecosystems, which are essential for achieving the EU's climate ambition.
TA6.35;Terrestrial, coastal and freshwater ecosystems. Member States shall ensure that there is: (a) an increase of habitat area in good condition for habitat types listed in Annex I;TA1.7;Reduce methane emissions by 35 to 37% compared to 2005 levels, by 2030;+;1;The increase in habitat area will contribute to the reduction of methane emissions, as it will promote sustainable practices and reduce the pressure on ecosystems, which are essential for reducing methane emissions.
TA6.31;Terrestrial, coastal and freshwater ecosystems. Member States shall put in place the restoration measures [...] to improve to good condition areas of habitat types listed in Annex I which are not in good condition;TA1.9;EU ETS. The contribution of the sectors covered by the existing EU Emission trading System (EU ETS) with respect to the EU Climate ambition should be of -62% compared to 2005;+;2;The restoration of ecosystems will contribute to the reduction of GHG emissions, as it will promote sustainable practices and reduce the pressure on ecosystems, and the EU ETS will provide a financial incentive for the reduction of GHG emissions.
TA6.10;7. At least 10% of agricultural area is under high-diversity landscape features;TA1.15;Reduce buildings’ greenhouse gas emissions by 60%, by 2030;+;1;The implementation of high-diversity landscape features will contribute to the reduction of GHG emissions from buildings, as it will promote sustainable agricultural practices, which are essential for reducing energy consumption and GHG emissions.
TA6.44;(agricultural ecosystems) Member States shall put in place measures which shall aim to achieve an increasing trend at national level of at least two out of the three following indicators in agricultural ecosystems;TA1.7;Reduce methane emissions by 35 to 37% compared to 2005 levels, by 2030;+;1;The implementation of measures to achieve an increasing trend in agricultural ecosystems will contribute to the reduction of methane emissions, as it will promote sustainable agricultural practices, which are essential for reducing methane emissions.
TA6.45;(agricultural ecosystems) Member States shall put in place restoration measures which shall aim to ensure that the common farmland bird index at national level based on the species specified in Annex V reaches the following levels;TA1.9;EU ETS. The contribution of the sectors covered by the existing EU Emission trading System (EU ETS) with respect to the EU Climate ambition should be of -62% compared to 2005;+;2;The implementation of restoration measures will contribute to the reduction of GHG emissions, as it will promote sustainable agricultural practices, and the EU ETS will provide a financial incentive for the reduction of GHG emissions.
TA6.11;9. Three billion trees are planted in the EU, in full respect of ecological principles;TA1.3;Reduce by at least 55% net GHG emissions compared to 1990 levels, by 2030;+;2;The planting of trees will contribute to the reduction of GHG emissions, as it will promote sustainable land use practices, which are essential for achieving the EU's climate ambition.
TA6.4;2b. Strictly protect all remaining EU primary and old- growth forests;TA1.7;Reduce methane emissions by 35 to 37% compared to 2005 levels, by 2030;+;1;The protection of primary and old-growth forests will contribute to the reduction of methane emissions, as it will promote sustainable land use practices, which are essential for reducing methane emissions.
TA6.47;(trees) When identifying and implementing the restoration measures to meet the objectives and obligations set out in Articles 4, 6, 7, 8, 9 and 10, Member States shall aim to contribute to the commitment of planting at least three billion additional trees by 2030;TA1.9;EU ETS. The contribution of the sectors covered by the existing EU Emission trading System (EU ETS) with respect to the EU Climate ambition should be of -62% compared to 2005;+;2;The planting of trees will contribute to the reduction of GHG emissions, as it will promote sustainable land use practices, and the EU ETS will provide a financial incentive for the reduction of GHG emissions.
TA6.48;(forest ecosystems) Member States shall achieve an increasing trend at national level of at least six out of seven of the following indicators in forest ecosystems;TA1.15;Reduce buildings’ greenhouse gas emissions by 60%, by 2030;+;2;The implementation of measures to achieve an increasing trend in forest ecosystems will contribute to the reduction of GHG emissions from buildings, as it will promote sustainable forest management practices, which are essential for reducing energy consumption and GHG emissions.
TA6.49;(forest ecosystems) Member States shall achieve an increasing trend at national level of the common forest bird index;TA1.7;Reduce methane emissions by 35 to 37% compared to 2005 levels, by 2030;+;1;The implementation of measures to achieve an increasing trend in the common forest bird index will contribute to the reduction of methane emissions, as it will promote sustainable forest management practices, which are essential for reducing methane emissions.
TA6.13;11. At least 25.000 km of free-flowing rivers are restored;TA1.3;Reduce by at least 55% net GHG emissions compared to 1990 levels, by 2030;+;2;The restoration of free-flowing rivers will contribute to the reduction of GHG emissions, as it will promote sustainable water management practices, which are essential for achieving the EU's climate ambition.
TA6.39;Natural connectivity of rivers and natural functions of the related floodplains. Member States shall make an inventory of artificial barriers and remove them to connectivity of surface waters;TA1.9;EU ETS. The contribution of the sectors covered by the existing EU Emission trading System (EU ETS) with respect to the EU Climate ambition should be of -62% compared to 2005;+;2;The removal of artificial barriers will contribute to the reduction of GHG emissions, as it will promote sustainable water management practices, and the EU ETS will provide a financial incentive for the reduction of GHG emissions.
