source_target;source_target_content;impact_target;impact_target_content;impact_type;impact_weight;justification
TA4.15;The average CO2 emissions of the Union fleet of new heavy-duty motor vehicles [...], off-road vehicles and off-road special purpose vehicles shall be reduced by the following percentages compared to the average CO2 emissions of the reporting period of the year 2019: (a) 15% for vehicle sub-groups 4-UD, 4-RD, 4-LH, 5-RD, 5-LH, 9-RD, 9-LH, 10-RD and 10-LH for the reporting periods of the years 2025 to 2029, (b) 45% for all vehicle sub-groups other than vocational vehicles for the reporting periods of the years 2030 to 2034, (c) 65% for all vehicle sub-groups for the reporting periods of the years 2035 to 2039, (d) 90% for all vehicle sub-groups for the reporting periods of the year 2040 onwards Regulation (EU) 2024/1610;TA6.9;6. The risk and use of chemical pesticides is reduced by 50%, and the use of more hazardous pesticides is reduced by 50%;+;2;The reduction of CO2 emissions from heavy-duty vehicles could lead to a decrease in the use of chemical pesticides, supporting the reduction of their risk and use.
TA4.3;The yearly average GHG intensity of the energy used on board by a ship during a reporting period shall be reduced, compared to the reference value (91.16 gCO2e/MJ) by: 2% from 1 January 2025, 6% from 1 January 2030, 14.5% from 1 January 2035, 31% from 1 January 2040, 62% from 1 January 2045, 80% from 1 January 2050. Regulation (EU) 2023/1805;TA6.29;Terrestrial ecosystems. Member States shall put in place [...] measures [...] to jointly cover, as a Union target, throughout the areas and ecosystems [...] defined in Art. 2, by 2030, at least 20% of land areas in need of restoration and, by 2050, all ecosystems in need of restoration.;+;3;The reduction of GHG intensity of ship fuels could support the restoration of degraded ecosystems and habitats, potentially contributing to the achievement of the target of restoring at least 20% of land areas in need of restoration by 2030.
TA4.9;Cut the emissions of transport sector by 90% by 2050 relative to 1990. Sustainable and Smart Mobility Strategy;TA6.30;Marine ecosystems. Member States shall put in place [...] measures [...] to jointly cover, as a Union target, throughout the areas and ecosystems [...] defined in Art. 2, by 2030, at least 20% of sea areas in need of restoration and, by 2050, all ecosystems in need of restoration.;+;2;The reduction of transport emissions could support the protection of marine ecosystems, potentially contributing to the restoration of at least 20% of sea areas in need of restoration by 2030.
TA4.30;Member States shall ensure that, by 31 December 2030, at least one publicly accessible hydrogen refuelling station is deployed in each urban node. Regulation (EU) 2023/1804;TA6.41;Marine ecosystems. Member States shall put in place the restoration measures [...] to improve [...] areas of habitat types listed in Annex II which are not in good condition.;+;1;The deployment of hydrogen refuelling stations could support the protection of marine ecosystems, potentially contributing to the restoration of degraded habitats.
TA4.31;Member States shall ensure that, by 31 December 2030, publicly accessible hydrogen refuelling stations with a total capacity of at least 1 tonne per day, and equipped with at least a 700 bar dispenser, are deployed at least every 200 km along the TEN-T (Trans-European Transport Network) core network Regulation (EU) 2023/1804;TA6.42;ecosystems. Member States shall put in place the restoration measures that are necessary to re-establish the habitat types of groups 1-6 listed in Annex II;+;2;The deployment of hydrogen refuelling stations along the TEN-T core network could support the restoration of ecosystems, potentially contributing to the re-establishment of habitat types.
TA4.13;For [...] “urban buses” manufacturers shall comply with the 90% (in the reporting period 2030-2034) and 100% (as from 2035) minimum shares in their fleet of new heavy-duty vehicles Regulation (EU) 2024/1610;TA6.4;2b. Strictly protect all remaining EU primary and old- growth forests;+;1;The increase in the use of urban buses could lead to an increased demand for biomass, potentially threatening primary and old-growth forests.
TA4.8;Member States with maritime ports shall endeavour to ensure that as of 2030 the share of renewable fuels of non-biological origin (RFNBOs) in the total amount of energy supplied to the maritime transport sector is at least 1.2%. Directive (EU) 2023/2413;TA6.16;14. Cities with at least 20.000 inhabitants have an ambitious Urban Greening Plan;+;1;The increase in the use of RFNBOs in maritime transport could support the protection of urban ecosystems, potentially contributing to the achievement of ambitious Urban Greening Plans.
TA4.6;Of the SAF targets reported above, synthetic aviation fuels should represent a minimum share of 1.2% from 2030, 5% from 2035, 10% from 2034, 15% from 2045, and 35% from 2050. Regulation (EU) 2023/2405;TA6.36;(urban ecosystems) By 2030, Member States shall ensure that there is no net loss in the total national area of urban green space, and of urban tree canopy cover in urban ecosystem areas.;+;1;The increase in the use of synthetic aviation fuels could support the protection of urban ecosystems, potentially contributing to the achievement of no net loss in urban green space and tree canopy cover.
TA4.20;In the first phase, from 2020 up to 2024, the strategic objective is to install at least 6 GW of renewable hydrogen electrolysers in the EU. In the second phase, from 2025 up to 2030, the strategic objective is to install at least 40 GW of renewable hydrogen electrolysers. A Hydrogen Strategy for a climate-neutral Europe;TA6.47;(trees) When identifying and implementing the restoration measures to meet the objectives and obligations set out in Articles 4, 6, 7, 8, 9 and 10, Member States shall aim to contribute to the commitment of planting at least three billion additional trees by 2030;+;2;The production of renewable hydrogen could support the protection of forests and the achievement of the target of planting at least three billion additional trees by 2030.
TA4.11;Reduce the average door-to-door cost of combined transport operations by at least 10% within 7 years Proposal for a Directive to support framework for intermodal transport of goods;TA6.48;(forest ecosystems) Member States shall achieve an increasing trend at national level of at least six out of seven of the following indicators in forest ecosystems;+;1;The reduction of transport costs could support the protection of forest ecosystems, potentially contributing to the achievement of an increasing trend in at least six of the seven indicators.
TA4.55;Zero-emission in urban logistics The new EU Urban Mobility Framework.;TA6.49;(forest ecosystems) Member States shall achieve an increasing trend at national level of the common forest bird index;+;1;The promotion of zero-emission urban logistics could support the protection of forest ecosystems, potentially contributing to the achievement of an increasing trend in the common forest bird index.
