TA2.27;Indicative national targets aiming to achieve the deep renovation of at least 35 million building units by 2030 to support reaching an annual energy renovation rate of 3 % or more for the period till 2050;TA6.4;2b. Strictly protect all remaining EU primary and old-growth forests;-;Deep renovation of buildings can lead to increased demand for wood products, which can negatively impact primary and old-growth forests.

TA2.28;Reduce buildings' energy consumption for heating and cooling by 18% compared to 2015 levels by 2030;TA6.4;2b. Strictly protect all remaining EU primary and old-growth forests;-;Reducing energy consumption for heating and cooling can lead to increased demand for wood products, which can negatively impact primary and old-growth forests.

TA2.29;For the non-residential building stock, the revised rules require to gradually improve it via minimum energy performance standards;TA6.4;2b. Strictly protect all remaining EU primary and old-growth forests;-;Improving energy performance standards can lead to increased demand for wood products, which can negatively impact primary and old-growth forests.

TA2.3;Member States shall ensure that the contribution of renewable fuels of non-biological origin used for final energy and non-energy purposes shall be at least 42 % of the hydrogen used for final energy and non-energy purposes in industry by 2030, and 60 % by 2035;TA6.38;Promoting the sustainable forest bioeconomy for long-lived wood products;+;The target of increasing the share of renewable fuels of non-biological origin in industry can be supported by the promotion of sustainable forest bioeconomy, which can provide biomass for the production of these fuels.

TA2.4;Doubling the current deployment rate of individual heat pumps, resulting in a cumulative 10 million units by 2027 and 30 million units by 2030;TA6.38;Promoting the sustainable forest bioeconomy for long-lived wood products;+;The promotion of sustainable forest bioeconomy can provide biomass for heat production, which can be used in heat pumps, thus contributing to the target of increasing the deployment of heat pumps.

TA2.5;Bring online over 320 GW of solar photovoltaic by 2025 and 600 GW by 2030;TA6.38;Promoting the sustainable forest bioeconomy for long-lived wood products;+;The promotion of sustainable forest bioeconomy can lead to increased production of wood products, which can be used as a substitute for materials used in solar photovoltaic production, thus contributing to the target of increasing solar photovoltaic capacity.

TA2.6;Energy demand to be covered by solar heat and geothermal should at least triple;TA6.38;Promoting the sustainable forest bioeconomy for long-lived wood products;+;The promotion of sustainable forest bioeconomy can lead to increased production of biomass, which can be used for solar heat and geothermal production, thus contributing to the target of tripling the energy demand covered by these sources.

TA2.7;Over this decade, the EU will need to install, on average, approximately 45 GW per year of PV to reach the share of 45% of energy coming from renewables set out in the RePowerEU Plan;TA6.38;Promoting the sustainable forest bioeconomy for long-lived wood products;+;The promotion of sustainable forest bioeconomy can lead to increased production of wood products, which can be used as a substitute for materials used in solar photovoltaic production, thus contributing to the target of increasing solar photovoltaic capacity.

TA2.8;Ensure that energy poor and vulnerable consumers have access to solar energy, e.g. through social housing installations, energy communities, or financing support for individual installations;TA6.38;Promoting the sustainable forest bioeconomy for long-lived wood products;+;The promotion of sustainable forest bioeconomy can provide biomass for energy production, which can be used to support energy poor and vulnerable consumers.

TA2.9;Member States shall collectively ensure that the share of energy from renewable sources in the Union’s gross final consumption of energy in 2030 is at least 42,5 %;TA6.38;Promoting the sustainable forest bioeconomy for long-lived wood products;+;The promotion of sustainable forest bioeconomy can lead to increased production of biomass, which can be used for renewable energy production, thus contributing to the target of increasing the share of renewable energy in the energy mix.

TA2.30;The revised directive will make zero-emission buildings the new standard for new buildings;TA6.4;2b. Strictly protect all remaining EU primary and old-growth forests;-;The promotion of zero-emission buildings can lead to increased demand for wood products, which can negatively impact primary and old-growth forests.

TA2.31;All existing buildings should be transformed into zero-emission buildings;TA6.4;2b. Strictly protect all remaining EU primary and old-growth forests;-;Transforming existing buildings into zero-emission buildings can lead to increased demand for wood products, which can negatively impact primary and old-growth forests.

TA2.32;100% of on-site energy consumption to be covered by renewable energy;TA6.38;Promoting the sustainable forest bioeconomy for long-lived wood products;+;The promotion of sustainable forest bioeconomy can provide biomass for renewable energy production, which can be used to cover on-site energy consumption.

TA2.33;The national measures will have to ensure that at least 55% of the decrease of the average primary energy use is achieved through the renovation of the worst-performing buildings;TA6.4;2b. Strictly protect all remaining EU primary and old-growth forests;-;Renovating the worst-performing buildings can lead to increased demand for wood products, which can negatively impact primary and old-growth forests.

TA2.34;Each Member State will adopt its own national trajectory to reduce the average primary energy use of residential buildings by 16% by 2030 and 20-22% by 2035;TA6.4;2b. Strictly protect all remaining EU primary and old-growth forests;-;Reducing primary energy use in residential buildings can lead to increased demand for wood products, which can negatively impact primary and old-growth forests.

TA2.35;Member States will also have to set out specific measures on the phase-out of fossil fuels in heating and cooling with a view to a complete phase-out of boilers powered by fossil fuels by 2040;TA6.4;2b. Strictly protect all remaining EU primary and old-growth forests;-;Phasing out fossil fuels in heating and cooling can lead to increased demand for wood products, which can negatively impact primary and old-growth forests.

TA2.36;The FuelEU Maritime initiative aims to increase the use of sustainable alternative fuels in European shipping and address market barriers that hamper their adoption;TA6.38;Promoting the sustainable forest bioeconomy for long-lived wood products;+;The promotion of sustainable forest bioeconomy can provide biomass for the production of sustainable alternative fuels, which can be used in shipping.

TA2.37;The strategy sets targets for an installed capacity of at least 60 GW of offshore wind by 2030 and at least 300 GW by 2050;TA6.38;Promoting the sustainable forest bioeconomy for long-lived wood products;+;The promotion of sustainable forest bioeconomy can lead to increased production of wood products, which can be used as a substitute for materials used in offshore wind production.

TA2.38;The strategy sets targets for an installed capacity of at least 1 GW of ocean energy by 2030 and 40 GW by 2050;TA6.38;Promoting the sustainable forest bioeconomy for long-lived wood products;+;The promotion of sustainable forest bioeconomy can lead to increased production of biomass, which can be used for ocean energy production.

TA2.39;The strategy sets targets for an installed capacity of at least 1 GW of ocean energy by 2030 and 40 GW by 2050;TA6.38;Promoting the sustainable forest bioeconomy for long-lived wood products;+;The promotion of sustainable forest bioeconomy can provide biomass for ocean energy production.

TA2.40;Around 30% of EU primary steel production is expected to be decarbonized on the basis of renewable hydrogen;TA6.38;Promoting the sustainable forest bioeconomy for long-lived wood products;+;The promotion of sustainable forest bioeconomy can provide biomass for the production of renewable hydrogen, which can be used for steel production.

TA3.1;Halve the amount of residual (non-recycled) municipal waste by 2030;TA6.38;Promoting the sustainable forest bioeconomy for long-lived wood products;+;The promotion of sustainable forest bioeconomy can lead to increased production of biomass, which can be used for energy production, thus contributing to the target of reducing residual municipal waste.

TA3.10;Union's access to a secure and sustainable supply of critical raw materials by ensuring that the Union's recycling capacity, including for all intermediate recycling steps, is able to produce at least 15% of the Union's annual consumption of strategic raw materials;TA6.38;Promoting the sustainable forest bioeconomy for long-lived wood products;+;The promotion of sustainable forest bioeconomy can provide biomass, which can be used as a substitute for critical raw materials, thus contributing to the target of increasing the Union's recycling capacity.

TA6.4;2b. Strictly protect all remaining EU primary and old-growth forests;TA2.21;Member States shall ensure that the total final energy consumption of all public bodies combined is reduced by at least 1.9 % each year, when compared to 2021;-;Reducing energy consumption can lead to decreased demand for wood and other forest products, which can help protect primary and old-growth forests, but the target of strictly protecting primary and old-growth forests can also lead to increased energy consumption if alternative energy sources are not available.

TA6.4;2b. Strictly protect all remaining EU primary and old-growth forests;TA2.22;Member States shall collectively ensure a reduction of energy consumption of at least 11.7 % in 2030 compared to the projections of the 2020 EU Reference Scenario;-;Reducing energy consumption can lead to decreased demand for wood and other forest products, which can help protect primary and old-growth forests, but the target of strictly protecting primary and old-growth forests can also lead to increased energy consumption if alternative energy sources are not available.

TA6.4;2b. Strictly protect all remaining EU primary and old-growth forests;TA2.23;Member States shall make efforts to collectively contribute to the indicative Union primary energy consumption target amounting to no more than 992.5 Mtoe in 2030;-;Reducing primary energy consumption can lead to decreased demand for wood and other forest products, which can help protect primary and old-growth forests, but the target of strictly protecting primary and old-growth forests can also lead to increased energy consumption if alternative energy sources are not available.

TA6.4;2b. Strictly protect all remaining EU primary and old-growth forests;TA2.24;Each Member State shall ensure that at least 3 % of the total floor area of heated and/or cooled buildings that are owned by public bodies is renovated each year to be transformed into at least nearly zero-energy buildings or zero-emission buildings;+;Renovating buildings to be nearly zero-energy or zero-emission can lead to increased use of wood products, which can come from sustainably managed forests, thus contributing to the target of strictly protecting primary and old-growth forests.

TA6.4;2b. Strictly protect all remaining EU primary and old-growth forests;TA2.25;Reduce buildings' final energy consumption by 14%;+;Reducing final energy consumption can lead to increased use of wood products, which can come from sustainably managed forests, thus contributing to the target of strictly protecting primary and old-growth forests.

TA6.4;2b. Strictly protect all remaining EU primary and old-growth forests;TA2.26;At least double the annual energy renovation rate of residential and non-residential buildings by 2030 and to foster deep energy renovations;+;Increasing the energy renovation rate can lead to increased use of wood products, which can come from sustainably managed forests, thus contributing to the target of strictly protecting primary and old-growth forests.

TA6.4;2b. Strictly protect all remaining EU primary and old-growth forests;TA2.27;Indicative national targets aiming to achieve the deep renovation of at least 35 million building units by 2030 to support reaching an annual energy renovation rate of 3 % or more for the period till 2050;+;Deep renovation of buildings can lead to increased use of wood products, which can come from sustainably managed forests, thus contributing to the target of strictly protecting primary and old-growth forests.

TA6.4;2b. Strictly protect all remaining EU primary and old-growth forests;TA2.28;Reduce buildings' energy consumption for heating and cooling by 18% compared to 2015 levels by 2030;+;Reducing energy consumption for heating and cooling can lead to increased use of wood products, which can come from sustainably managed forests, thus contributing to the target of strictly protecting primary and old-growth forests.

TA6.4;2b. Strictly protect all remaining EU primary and old-growth forests;TA2.29;For the non-residential building stock, the revised rules require to gradually improve it via minimum energy performance standards;+;Improving energy performance standards can lead to increased use of wood products, which can come from sustainably managed forests, thus contributing to the target of strictly protecting primary and old-growth forests.

TA6.4;2b. Strictly protect all remaining EU primary and old-growth forests;TA2.3;Member States shall ensure that the contribution of renewable fuels of non-biological origin used for final energy and non-energy purposes shall be at least 42 % of the hydrogen used for final energy and non-energy purposes in industry by 2030, and 60 % by 2035;-;The target of increasing the share of renewable fuels of non-biological origin in industry can lead to increased demand for biomass, which can come from primary and old-growth forests, thus negatively impacting the target of strictly protecting these forests.

TA6.4;2b. Strictly protect all remaining EU primary and old-growth forests;TA2.4;Doubling the current deployment rate of individual heat pumps, resulting in a cumulative 10 million units by 2027 and 30 million units by 2030;-;The target of increasing the deployment of heat pumps can lead to increased demand for biomass, which can come from primary and old-growth forests, thus negatively impacting the target of strictly protecting these forests.

TA6.4;2b. Strictly protect all remaining EU primary and old-growth forests;TA2.5;Bring online over 320 GW of solar photovoltaic by 2025 and 600 GW by 2030;-;The target of increasing solar photovoltaic capacity can lead to increased demand for materials used in solar photovoltaic production, which can come from primary and old-growth forests, thus negatively impacting the target of strictly protecting these forests.

TA6.4;2b. Strictly protect all remaining EU primary and old-growth forests;TA2.6;Energy demand to be covered by solar heat and geothermal should at least triple;-;The target of increasing the energy demand covered by solar heat and geothermal can lead to increased demand for biomass, which can come from primary and old-growth forests, thus negatively impacting the target of strictly protecting these forests.

TA6.4;2b. Strictly protect all remaining EU primary and old-growth forests;TA2.7;Over this decade, the EU will need to install, on average, approximately 45 GW per year of PV to reach the share of 45% of energy coming from renewables set out in the RePowerEU Plan;-;The target of increasing solar photovoltaic capacity can lead to increased demand for materials used in solar photovoltaic production, which can come from primary and old-growth forests, thus negatively impacting the target of strictly protecting these forests.

TA6.4;2b. Strictly protect all remaining EU primary and old-growth forests;TA2.8;Ensure that energy poor and vulnerable consumers have access to solar energy, e.g. through social housing installations, energy communities, or financing support for individual installations;-;The target of ensuring access to solar energy for energy poor and vulnerable consumers can lead to increased demand for biomass, which can come from primary and old-growth forests, thus negatively impacting the target of strictly protecting these forests.

TA6.4;2b. Strictly protect all remaining EU primary and old-growth forests;TA2.9;Member States shall collectively ensure that the share of energy from renewable sources in the Union’s gross final consumption of energy in 2030 is at least 42,5 %;-;The target of increasing the share of renewable energy in the energy mix can lead to increased demand for biomass, which can come from primary and old-growth forests, thus negatively impacting the target of strictly protecting these forests.

TA6.4;2b. Strictly protect all remaining EU primary and old-growth forests;TA2.30;The revised directive will make zero-emission buildings the new standard for new buildings;-;The target of promoting zero-emission buildings can lead to increased demand for wood products, which can come from primary and old-growth forests, thus negatively impacting the target of strictly protecting these forests.

TA6.4;2b. Strictly protect all remaining EU primary and old-growth forests;TA2.31;All existing buildings should be transformed into zero-emission buildings;-;The target of transforming existing buildings into zero-emission buildings can lead to increased demand for wood products, which can come from primary and old-growth forests, thus negatively impacting the target of strictly protecting these forests.

TA6.4;2b. Strictly protect all remaining EU primary and old-growth forests;TA2.32;100% of on-site energy consumption to be covered by renewable energy;-;The target of covering on-site energy consumption with renewable energy can lead to increased demand for biomass, which can come from primary and old-growth forests, thus negatively impacting the target of strictly protecting these forests.

TA6.4;2b. Strictly protect all remaining EU primary and old-growth forests;TA2.33;The national measures will have to ensure that at least 55% of the decrease of the average primary energy use is achieved through the renovation of the worst-performing buildings;-;The target of renovating the worst-performing buildings can lead to increased demand for wood products, which can come from primary and old-growth forests, thus negatively impacting the target of strictly protecting these forests.

TA6.4;2b. Strictly protect all remaining EU primary and old-growth forests;TA2.34;Each Member State will adopt its own national trajectory to reduce the average primary energy use of residential buildings by 16% by 2030 and 20-22% by 2035;-;The target of reducing primary energy use in residential buildings can lead to increased demand for wood products, which can come from primary and old-growth forests, thus negatively impacting the target of strictly protecting these forests.

TA6.4;2b. Strictly protect all remaining EU primary and old-growth forests;TA2.35;Member States will also have to set out specific measures on the phase-out of fossil fuels in heating and cooling with a view to a complete phase-out of boilers powered by fossil fuels by 2040;-;The target of phasing out fossil fuels in heating and cooling can lead to increased demand for biomass, which can come from primary and old-growth forests, thus negatively impacting the target of strictly protecting these forests.

TA6.4;2b. Strictly protect all remaining EU primary and old-growth forests;TA2.36;The FuelEU Maritime initiative aims to increase the use of sustainable alternative fuels in European shipping and address market barriers that hamper their adoption;-;The target of increasing the use of sustainable alternative fuels in shipping can lead to increased demand for biomass, which can come from primary and old-growth forests, thus negatively impacting the target of strictly protecting these forests.

TA6.4;2b. Strictly protect all remaining EU primary and old-growth forests;TA2.37;The strategy sets targets for an installed capacity of at least 60 GW of offshore wind by 2030 and at least 300 GW by 2050;-;The target of increasing offshore wind capacity can lead to increased demand for materials used in offshore wind production, which can come from primary and old-growth forests, thus negatively impacting the target of strictly protecting these forests.

TA6.4;2b. Strictly protect all remaining EU primary and old-growth forests;TA2.38;The strategy sets targets for an installed capacity of at least 1 GW of ocean energy by 2030 and 40 GW by 2050;-;The target of increasing ocean energy capacity can lead to increased demand for biomass, which can come from primary and old-growth forests, thus negatively impacting the target of strictly protecting these forests.

TA6.4;2b. Strictly protect all remaining EU primary and old-growth forests;TA2.39;The strategy sets targets for an installed capacity of at least 1 GW of ocean energy by 2030 and 40 GW by 2050;-;The target of increasing ocean energy capacity can lead to increased demand for biomass, which can come from primary and old-growth forests, thus negatively impacting the target of strictly protecting these forests.

TA6.4;2b. Strictly protect all remaining EU primary and old-growth forests;TA2.40;Around 30% of EU primary steel production is expected to be decarbonized on the basis of renewable hydrogen;-;The target of decarbonizing steel production can lead to increased demand for biomass, which can come from primary and old-growth forests, thus negatively impacting the target of strictly protecting these forests.

TA6.38;Promoting the sustainable forest bioeconomy for long-lived wood products;TA2.3;Member States shall ensure that the contribution of renewable fuels of non-biological origin used for final energy and non-energy purposes shall be at least 42 % of the hydrogen used for final energy and non-energy purposes in industry by 2030, and 60 % by 2035;+;The promotion of sustainable forest bioeconomy can provide biomass for the production of renewable fuels, which can contribute to the target of increasing the share of renewable fuels of non-biological origin in industry.

TA6.38;Promoting the sustainable forest bioeconomy for long-lived wood products;TA2.4;Doubling the current deployment rate of individual heat pumps, resulting in a cumulative 10 million units by 2027 and 30 million units by 2030;+;The promotion of sustainable forest bioeconomy can provide biomass for heat production, which can be used in heat pumps, thus contributing to the target of increasing the deployment of heat pumps.

TA6.38;Promoting the sustainable forest bioeconomy for long-lived wood products;TA2.5;Bring online over 320 GW of solar photovoltaic by 2025 and 600 GW by 2030;+;The promotion of sustainable forest bioeconomy can lead to increased production of wood products, which can be used as a substitute for materials used in solar photovoltaic production, thus contributing to the target of increasing solar photovoltaic capacity.

TA6.38;Promoting the sustainable forest bioeconomy for long-lived wood products;TA2.6;Energy demand to be covered by solar heat and geothermal should at least triple;+;The promotion of sustainable forest bioeconomy can lead to increased production of biomass, which can be used for solar heat and geothermal production, thus contributing to the target of tripling the energy demand covered by these sources.

TA6.38;Promoting the sustainable forest bioeconomy for long-lived wood products;TA2.7;Over this decade, the EU will need to install, on average, approximately 45 GW per year of PV to reach the share of 45% of energy coming from renewables set out in the RePowerEU Plan;+;The promotion of sustainable forest bioeconomy can lead to increased production of wood products, which can be used as a substitute for materials used in solar photovoltaic production, thus contributing to the target of increasing solar photovoltaic capacity.

TA6.38;Promoting the sustainable forest bioeconomy for long-lived wood products;TA2.8;Ensure that energy poor and vulnerable consumers have access to solar energy, e.g. through social housing installations, energy communities, or financing support for individual installations;+;The promotion of sustainable forest bioeconomy can provide biomass for energy production, which can be used to support energy poor and vulnerable consumers.

TA6.38;Promoting the sustainable forest bioeconomy for long-lived wood products;TA2.9;Member States shall collectively ensure that the share of energy from renewable sources in the Union’s gross final consumption of energy in 2030 is at least 42,5 %;+;The promotion of sustainable forest bioeconomy can lead to increased production of biomass, which can be used for renewable energy production, thus contributing to the target of increasing the share of renewable energy in the energy mix.

TA6.38;Promoting the sustainable forest bioeconomy for long-lived wood products;TA2.30;The revised directive will make zero-emission buildings the new standard for new buildings;+;The promotion of sustainable forest bioeconomy can provide wood products for building construction, which can contribute to the target of promoting zero-emission buildings.

TA6.38;Promoting the sustainable forest bioeconomy for long-lived wood products;TA2.31;All existing buildings should be transformed into zero-emission buildings;+;The promotion of sustainable forest bioeconomy can provide wood products for building renovation, which can contribute to the target of transforming existing buildings into zero-emission buildings.

TA6.38;Promoting the sustainable forest bioeconomy for long-lived wood products;TA2.32;100% of on-site energy consumption to be covered by renewable energy;+;The promotion of sustainable forest bioeconomy can provide biomass for renewable energy production, which can be used to cover on-site energy consumption.

TA6.38;Promoting the sustainable forest bioeconomy for long-lived wood products;TA2.33;The national measures will have to ensure that at least 55% of the decrease of the average primary energy use is achieved through the renovation of the worst-performing buildings;+;The promotion of sustainable forest bioeconomy can provide wood products for building renovation, which can contribute to the target of renovating the worst-performing buildings.

TA6.38;Promoting the sustainable forest bioeconomy for long-lived wood products;TA2.34;Each Member State will adopt its own national trajectory to reduce the average primary energy use of residential buildings by 16% by 2030 and 20-22% by 2035;+;The promotion of sustainable forest bioeconomy can provide wood products for building construction, which can contribute to the target of reducing primary energy use in residential buildings.

TA6.38;Promoting the sustainable forest bioeconomy for long-lived wood products;TA2.35;Member States will also have to set out specific measures on the phase-out of fossil fuels in heating and cooling with a view to a complete phase-out of boilers powered by fossil fuels by 2040;+;The promotion of sustainable forest bioeconomy can provide biomass for heat production, which can be used as a substitute for fossil fuels in heating and cooling.

TA6.38;Promoting the sustainable forest bioeconomy for long-lived wood products;TA2.36;The FuelEU Maritime initiative aims to increase the use of sustainable alternative fuels in European shipping and address market barriers that hamper their adoption;+;The promotion of sustainable forest bioeconomy can provide biomass for the production of sustainable alternative fuels, which can be used in shipping.

TA6.38;Promoting the sustainable forest bioeconomy for long-lived wood products;TA2.37;The strategy sets targets for an installed capacity of at least 60 GW of offshore wind by 2030 and at least 300 GW by 2050;+;The promotion of sustainable forest bioeconomy can lead to increased production of wood products, which can be used as a substitute for materials used in offshore wind production.

TA6.38;Promoting the sustainable forest bioeconomy for long-lived wood products;TA2.38;The strategy sets targets for an installed capacity of at least 1 GW of ocean energy by 2030 and 40 GW by 2050;+;The promotion of sustainable forest bioeconomy can lead to increased production of biomass, which can be used for ocean energy production.

TA6.38;Promoting the sustainable forest bioeconomy for long-lived wood products;TA2.39;The strategy sets targets for an installed capacity of at least 1 GW of ocean energy by 2030 and 40 GW by 2050;+;The promotion of sustainable forest bioeconomy can lead to increased production of biomass, which can be used for ocean energy production.

TA6.38;Promoting the sustainable forest bioeconomy for long-lived wood products;TA2.40;Around 30% of EU primary steel production is expected to be decarbonized on the basis of renewable hydrogen;+;The promotion of sustainable forest bioeconomy can provide biomass for the production of renewable hydrogen, which can be used for steel production.

TA6.38;Promoting the sustainable forest bioeconomy for long-lived wood products;TA3.1;Halve the amount of residual (non-recycled) municipal waste by 2030;+;The promotion of sustainable forest bioeconomy can lead to increased production of biomass, which can be used for energy production, thus contributing to the target of reducing residual municipal waste.

TA6.38;Promoting the sustainable forest bioeconomy for long-lived wood products;TA3.10;Union's access to a secure and sustainable supply of critical raw materials by ensuring that the Union's recycling capacity, including for all intermediate recycling steps, is able to produce at least 15% of the Union's annual consumption of strategic raw materials;+;The promotion of sustainable forest bioeconomy can provide biomass, which can be used as a substitute for critical raw materials, thus contributing to the target of increasing the Union's recycling capacity.
