TA6.12; Reduce nutrient losses by at least 50%, while ensuring no deterioration on soil fertility; TA5.4; Reduce by 50% the use of more hazardous pesticides; +; The reduction of nutrient losses and the decrease in hazardous pesticide use are interconnected as they both aim to promote sustainable agricultural practices, which can have a positive impact on each other by reducing the environmental pressure on soil and promoting ecosystem services.
TA6.33; Member States shall put in place effective and area-based restoration measures with the aim to jointly cover, as a Union target, throughout the areas and ecosystems within the scope as defined in Article 2, by 2030, at least 20 % of sea areas in need of restoration and, by 2050, all ecosystems in need of restoration; TA5.6; Increase sustainable fishing and aquaculture. Bring fish stocks to sustainable levels. Significant increase in organic aquaculture; +; The restoration of marine ecosystems, as stated in target TA6.33, can support sustainable fishing and aquaculture practices, thus having a positive impact on target TA5.6.
TA5.6; Increase sustainable fishing and aquaculture. Bring fish stocks to sustainable levels. Significant increase in organic aquaculture; TA6.33; Member States shall put in place effective and area-based restoration measures with the aim to jointly cover, as a Union target, throughout the areas and ecosystems within the scope as defined in Article 2, by 2030, at least 20 % of sea areas in need of restoration and, by 2050, all ecosystems in need of restoration; +; The promotion of sustainable fishing and aquaculture, as aimed by target TA5.6, can lead to a reduction in the degradation of marine ecosystems, thus having a positive impact on target TA6.33.
TA6.34; Member States shall put in place the restoration measures that are necessary to improve to good condition areas of habitat types listed in Annex I which are not in good condition; TA5.2; Reduce overall EU sales of antimicrobials for farmed animals and in aquaculture by 50% by 2030; +; The restoration of habitats, as stated in target TA6.34, can lead to healthier environments, which in turn can reduce the need for antimicrobials in farming, thus having a positive impact on target TA5.2.
TA5.2; Reduce overall EU sales of antimicrobials for farmed animals and in aquaculture by 50% by 2030; TA6.34; Member States shall put in place the restoration measures that are necessary to improve to good condition areas of habitat types listed in Annex I which are not in good condition; +; Reducing antimicrobial use, as aimed by target TA5.2, can lead to healthier animals and environments, which can be supported by habitat restoration, thus target TA5.2 can have a positive impact on target TA6.34.
TA6.35; Member States shall put in place the restoration measures that are necessary to re-establish the habitat types listed in Annex I in areas not covered by those habitat types with the aim to reach their favourable reference area; TA5.6; Increase sustainable fishing and aquaculture. Bring fish stocks to sustainable levels. Significant increase in organic aquaculture; +; The re-establishment of habitats, as stated in target TA6.35, can support sustainable fishing and aquaculture practices, thus having a positive impact on target TA5.6.
TA5.6; Increase sustainable fishing and aquaculture. Bring fish stocks to sustainable levels. Significant increase in organic aquaculture; TA6.35; Member States shall put in place the restoration measures that are necessary to re-establish the habitat types listed in Annex I in areas not covered by those habitat types with the aim to reach their favourable reference area; +; The promotion of sustainable fishing and aquaculture, as aimed by target TA5.6, can lead to a reduction in the degradation of habitats, thus having a positive impact on target TA6.35.
TA6.36; Member States shall put in place the restoration measures for the terrestrial, coastal and freshwater habitats of the species listed in Annexes II, IV and V to Directive 92/43/EEC and of the terrestrial, coastal and freshwater habitats of wild birds covered by Directive 2009/147/EC; TA5.2; Reduce overall EU sales of antimicrobials for farmed animals and in aquaculture by 50% by 2030; +; The restoration of habitats for species, as stated in target TA6.36, can lead to healthier environments, which in turn can reduce the need for antimicrobials in farming, thus having a positive impact on target TA5.2.
TA5.2; Reduce overall EU sales of antimicrobials for farmed animals and in aquaculture by 50% by 2030; TA6.36; Member States shall put in place the restoration measures for the terrestrial, coastal and freshwater habitats of the species listed in Annexes II, IV and V to Directive 92/43/EEC and of the terrestrial, coastal and freshwater habitats of wild birds covered by Directive 2009/147/EC; +; Reducing antimicrobial use, as aimed by target TA5.2, can lead to healthier animals and environments, which can be supported by the restoration of species habitats, thus target TA5.2 can have a positive impact on target TA6.36.
TA6.37; Member States shall ensure that the condition is known for at least 90% of area distributed overall habitat types listed in Annex I by 2030 and 100% by 2040; TA5.6; Increase sustainable fishing and aquaculture. Bring fish stocks to sustainable levels. Significant increase in organic aquaculture; +; Knowing the condition of habitats, as stated in target TA6.37, can help in identifying areas that need restoration, which can support sustainable fishing and aquaculture practices, thus having a positive impact on target TA5.6.
TA5.6; Increase sustainable fishing and aquaculture. Bring fish stocks to sustainable levels. Significant increase in organic aquaculture; TA6.37; Member States shall ensure that the condition is known for at least 90% of area distributed overall habitat types listed in Annex I by 2030 and 100% by 2040; +; The promotion of sustainable fishing and aquaculture, as aimed by target TA5.6, can lead to a better understanding of habitat conditions, thus having a positive impact on target TA6.37.
