TA5.2;Reduce overall EU sales of antimicrobials for farmed animals and in aquaculture by 50% by 2030;TA3.14;;No connection can be made as the content of TA3.14 is empty.
TA5.35;Strengthen the resilience of the EU food system. Build up resilience to possible future diseases and pandemics. Increasing the sustainability of food producers will ultimately increase their resilience.;TA3.25;+;This target is likely to have a positive impact on TA3.25, as strengthening the resilience of the EU food system can lead to a reduction in food waste.
TA5.36;;TA3.14;;No connection can be made as the content of both targets is empty.
TA5.37;;TA3.14;;No connection can be made as the content of both targets is empty.
TA5.4;Reduce by 50% the use of more hazardous pesticides;TA3.14;;No connection can be made as the content of TA3.14 is empty.
TA5.5;Reduce by 50% the use and risk of chemical pesticides;TA3.14;;No connection can be made as the content of TA3.14 is empty.
TA5.6;Increase sustainable fishing and aquaculture. Bring fish stocks to sustainable levels. Significant increase in organic aquaculture;TA3.14;;No connection can be made as the content of TA3.14 is empty.
TA5.7;Tackle climate change: climate change adaptation and mitigation. Ensure that agriculture, fisheries and aquaculture, and the food value chain contribute to the target of reducing greenhouse gas emissions to at least 55% below 1990 levels by 2030 and to the achievement of the objective for a climate-neutral Union in 2050;TA3.14;;No connection can be made as the content of TA3.14 is empty.
TA5.8;Sustainable use of water. Preserving freshwater, boosting water reuse in agriculture;TA3.14;;No connection can be made as the content of TA3.14 is empty.
TA5.9;Increase organic farming with the aim to achieve at least 25% of total farmland under organic farming by 2030;TA3.14;;No connection can be made as the content of TA3.14 is empty.
TA3.11;Diversify the Union's imports of strategic raw materials with a view to ensure that the Union's annual consumption of each strategic raw material at any relevant stage of processing can rely on imports from several third countries, none of which provide more than 65% of the Union's annual consumption;TA5.2;+;This target is likely to have a positive impact on TA5.2, as diversifying imports of strategic raw materials can reduce the EU's dependence on single suppliers and increase the competitiveness of the EU supply sector.
TA3.12;by 2030, manufacturing capacity in the Union of the strategic net-zero technologies listed in the Annex approaches or reaches a benchmark of at least 40% of the Union’s annual deployment needs for the corresponding technologies necessary to achieve the Union’s 2030 climate and energy targets;TA5.20;+;This target is likely to have a positive impact on TA5.20, as increasing manufacturing capacity for net-zero technologies can foster the competitiveness of the EU supply sector.
TA3.13;;TA5.21;;No connection can be made as the content of both targets is empty.
TA3.14;;TA5.22;;No connection can be made as the content of both targets is empty.
TA3.15;Producers of portable batteries or, where appointed in accordance with Article 57(1), producer responsibility organisations, shall ensure that all waste portable batteries, Light Means of Transport (LMT) batteries and SLI batteries, regardless of their nature, chemical composition, condition, brand or origin, are collected separately in the territory of a Member State where they make these batteries available on the market for the first time.;TA5.23;+;This target is likely to have a positive impact on TA5.23, as ensuring the separate collection of waste batteries can reduce the environmental impact of waste management and increase the use of recyclable materials.
TA3.16;Producers of portable batteries or producer responsibility organisations, shall attain, and maintain durably, at least the following collection targets for waste portable batteries: 45 % by 31 December 2023, 63 % by 31 December 2027, 73 % by 31 December 2030.;TA5.24;+;This target is likely to have a positive impact on TA5.24, as attaining collection targets for waste portable batteries can ensure fair and ethical value chains and improve working conditions.
TA3.17;Producers of LMT (Light Means of Transport) batteries or producer responsibility organisations, shall attain, and maintain durably, at least the following collection targets of waste LMT batteries: 51 % by 31 December 2028, 61 % by 31 December 2031.;TA5.25;+;This target is likely to have a positive impact on TA5.25, as attaining collection targets for waste LMT batteries can promote better animal welfare and improve animal health and food quality.
TA3.18;Recycled content in industrial batteries, electric vehicle batteries, LMT batteries and SLI batteries: Cobalt:  16 % by 2031 (26% by 2036), Lead: 85% (85%), Nickel: 6% (12%), Lithium 6% (15%);TA5.26;+;This target is likely to have a positive impact on TA5.26, as increasing recycled content in batteries can strengthen educational messages on healthy nutrition and sustainable food production.
TA3.19;All batteries incorporated in market products shall be readily removable and replaceable by the end-user at any time during the lifetime (except some derogations);TA5.27;+;This target is likely to have a positive impact on TA5.27, as ensuring the removability and replaceability of batteries can provide food information and labelling to empower consumers.
TA3.2;Reduce landfill to a maximum of 10% of municipal waste;TA5.28;+;This target is likely to have a positive impact on TA5.28, as reducing landfill can extend the mandatory origin or provenance indications to certain products and increase the use of recyclable materials in packaging.
TA3.20;Double its circular material use rate in the coming decade;TA5.29;+;This target is likely to have a positive impact on TA5.29, as doubling the circular material use rate can improve the availability of sustainable food and ensure that the healthy option is always the easiest one.
TA3.21;Recycling shall achieve at least the following targets for recycling efficiency: No later than 31 December 2025 - 75% by average weight of lead-acid batteries, - 80% by average weight of nickel-cadmium batteries, - 50% by average weight of other waste batteries;TA5.3;+;This target is likely to have a positive impact on TA5.3, as achieving recycling targets can reduce nutrient losses and ensure no deterioration on soil fertility.
TA3.22;Recycling shall achieve at least the following targets for recovery of materials: No later than 31 December 2027 - 90% for cobalt, copper, lead, nickel, - 95% for cobalt, copper, lead, nickel by 31 December 2031;TA5.30;+;This target is likely to have a positive impact on TA5.30, as achieving recovery targets can ensure affordability and access to sufficient, nutritious and sustainable food.
TA3.23;Recycling shall achieve at least the following targets for recovery of materials: No later than 31 December 2027 - 50% lithium, - 80% lithium by 31 December 2031;TA5.31;+;This target is likely to have a positive impact on TA5.31, as achieving recovery targets can increase reformulation of food products in line with guidelines for healthy and sustainable diets.
TA3.24;Reduce the generation of food waste in processing and manufacturing by 10% in comparison to the amount generated in 2020;TA5.32;+;This target is likely to have a positive impact on TA5.32, as reducing food waste can ensure all access to quality, safe, sustainable, nutritious food.
TA3.25;Reduce the generation of food waste per capita, jointly in retail and other distribution of food, in restaurants and food services and in households, by 30 % in comparison to the amount generated in 2020;TA5.33;+;This target is likely to have a positive impact on TA5.33, as reducing food waste can move to healthier and more sustainable diets.
TA3.26;;TA5.34;;No connection can be made as the content of both targets is empty.
TA3.27;Making all packaging recyclable;TA5.35;+;This target is likely to have a positive impact on TA5.35, as making all packaging recyclable can strengthen the resilience of the EU food system and build up resilience to possible future diseases and pandemics.
TA3.28;The plastic part in packaging shall contain the following minimum percentage of recycled content recovered from post-consumer plastic waste, per unit of packaging: From 1 January 2030 (i) 30% for contact sensitive packaging made from polyethylene terephthalate (PET) as major component, (ii) 10% for contact sensitive made from plastic materials other than PET, except single use plastic bottles, (iii) 30% for single use plastic beverage bottles, (iv) 35% for other plastic packaging;TA5.36;;No connection can be made as the content of TA5.36 is empty.
TA3.29;Member States shall take measures to achieve a sustained reduction in the consumption of lightweight plastic carrier bags on their territory. A sustained reduction is achieved if the annual consumption does not exceed 40 lightweight plastic carrier bags per person, or the equivalent target in weight, by 31 December 2025, and subsequently by 31 December in each year thereafter;TA5.37;;No connection can be made as the content of TA5.37 is empty.
TA3.3;Double its circular material use rate in the coming decade;TA5.4;+;This target is likely to have a positive impact on TA5.4, as doubling the circular material use rate can reduce the use of more hazardous pesticides.
TA3.30;Reduce packaging waste by 5% per Member State per capita compared to 2018 by 2030, 10% by 2035 and 15% by 2040;TA5.5;+;This target is likely to have a positive impact on TA5.5, as reducing packaging waste can reduce the use and risk of chemical pesticides.
TA3.31;Recycling or preparing for re-use 65% of all packaging waste by 2025, 70% by 2030;TA5.6;+;This target is likely to have a positive impact on TA5.6, as increasing recycling rates can increase sustainable fishing and aquaculture and bring fish stocks to sustainable levels.
TA3.32;Recycling of plastic in packaging: 55%;TA5.7;+;This target is likely to have a positive impact on TA5.7, as increasing recycling rates can tackle climate change and ensure that agriculture, fisheries and aquaculture contribute to the target of reducing greenhouse gas emissions.
TA3.33;Recycling of wood in packaging: 30%;TA5.8;+;This target is likely to have a positive impact on TA5.8, as increasing recycling rates can ensure sustainable use of water and preserve freshwater.
TA3.34;Recycling of ferrous metals in packaging: 80%;TA5.9;+;This target is likely to have a positive impact on TA5.9, as increasing recycling rates can increase organic farming and achieve at least 25% of total farmland under organic farming by 2030.
TA3.35;Recycling of aluminium in packaging: 60%;TA5.30;+;This target is likely to have a positive impact on TA5.30, as increasing recycling rates can ensure affordability and access to sufficient, nutritious and sustainable food.
TA3.36;Recycling of glass in packaging: 75%;TA5.31;+;This target is likely to have a positive impact on TA5.31, as increasing recycling rates can increase reformulation of food products in line with guidelines for healthy and sustainable diets.
TA3.37;Recycling of paper and cardboard in packaging: 85%;TA5.32;+;This target is likely to have a positive impact on TA5.32, as increasing recycling rates can ensure all access to quality, safe, sustainable, nutritious food.
