source_subtheme;source_subtheme_targets;impact_subtheme;impact_type;justification
GHG Removal;TA1.12;Renewable Energy;+;GHG removal technologies, such as carbon capture and storage, can be used to reduce emissions from renewable energy sources, making them even cleaner and more viable. This can increase the attractiveness of renewable energy sources and drive their adoption.
Climate Resilience;TA1.1,TA1.4;Social Security - Energy;-;The implementation of climate resilience targets may require significant investment in infrastructure and technology, potentially diverting resources away from social security and energy accessibility programs. This could negatively impact vulnerable populations who rely on these programs for energy access and security.
GHG Reduction;TA1.3,TA1.7,TA1.9,TA1.11,TA1.13,TA5.7;Methane;+;Reducing GHG emissions can involve decreasing methane emissions, which are a potent greenhouse gas. This can lead to increased investment in methane reduction technologies and practices, benefiting the methane reduction sector.
GHG Reduction - Transports;TA2.13;Renewable Energy - Hydrogen Production;+;The implementation of GHG reduction targets in the transport sector can lead to increased demand for low-carbon fuels, such as hydrogen. This can drive the growth of the renewable energy - hydrogen production sector, as hydrogen can be produced from renewable energy sources.
GHG Reduction - Buildings;TA1.15;Renewable Energy - Solar;+;The implementation of GHG reduction targets in buildings can lead to increased adoption of on-site renewable energy generation, such as solar panels. This can drive the growth of the renewable energy - solar sector, as building owners and occupants seek to reduce their emissions and energy costs.
GHG Reduction;TA1.3,TA1.7,TA1.9,TA1.11,TA1.13,TA5.7;Net-Zero Technology - Road Vehicles;+;The implementation of GHG reduction targets in List A can positively influence the development of net-zero technology in road vehicles, as reducing GHG emissions requires the adoption of cleaner transportation methods. This synergy can lead to increased investment in electric vehicles and alternative fuels.
GHG Reduction;TA1.3,TA1.7,TA1.9,TA1.11,TA1.13,TA5.7;Biofuels;-;However, the focus on GHG reduction might lead to an increased demand for biofuels, which could have negative environmental impacts, such as land use changes and water pollution, affecting the development of sustainable biofuel technologies.
GHG Reduction - Buildings;TA1.15;Urban Mobility;+;Improving energy efficiency in buildings can reduce the energy consumption of urban areas, making them more sustainable and livable, which in turn can promote urban mobility and reduce the need for personal vehicles.
GHG Removal;TA1.12;Hydrogen Distribution;+;The development of GHG removal technologies can complement the use of hydrogen as a clean energy carrier, as it can utilize captured CO2 to produce hydrogen, creating a closed-loop system that minimizes emissions.
GHG Reduction;TA1.3,TA1.7,TA1.9,TA1.11,TA1.13,TA5.7;Transport Logistics;+;Reducing GHG emissions in the transportation sector can lead to increased efficiency and reduced costs in transport logistics, making it more competitive and sustainable.
GHG Reduction - Transports;TA4.10,TA4.12,TA4.15,TA4.16,TA4.17;Rail;+;The implementation of GHG reduction targets in the transportation sector can promote the development of rail transportation, which is generally more energy-efficient and produces fewer emissions than road or air transport.
Climate Resilience;TA1.1,TA1.4;Other Low-Carbon Fuels;-;However, the focus on climate resilience might lead to an increased reliance on other low-carbon fuels, which could have negative environmental impacts, such as air pollution and resource depletion, affecting the development of sustainable energy technologies.
GHG Reduction;TA1.3,TA1.7,TA1.9,TA1.11,TA1.13,TA5.7;Food affordability;-;The reduction of GHG emissions in the agriculture sector can lead to increased costs for farmers and food producers, potentially impacting food prices and affordability.
GHG Reduction;TA1.3,TA1.7,TA1.9,TA1.11,TA1.13,TA5.7;Competitive Agriculture;-;The transition to a low-carbon economy may require significant investments in new technologies and practices, potentially affecting the competitiveness of the agriculture sector.
GHG Reduction;TA1.3,TA1.7,TA1.9,TA1.11,TA1.13,TA5.7;Pesticides Reduction;+;Reducing GHG emissions can lead to a decrease in synthetic fertilizer use, which in turn can reduce the need for pesticides and promote more sustainable agricultural practices.
GHG Removal;TA1.12;Food quality;+;Carbon removal technologies, such as afforestation and soil carbon sequestration, can improve soil health and fertility, leading to better crop yields and higher quality food.
GHG Reduction - Buildings;TA1.15;Food quality - Healthy Food;+;Improving energy efficiency in buildings can lead to a reduction in energy consumption and greenhouse gas emissions, creating a healthier indoor environment and promoting sustainable food systems.
GHG Reduction - Transports;TA1.16,TA4.9,TA4.10,TA4.12,TA4.15,TA4.16,TA4.17;Food affordability;-;The transition to low-emission transportation can lead to increased costs for the transportation of food products, potentially impacting food prices and affordability.
Climate Resilience;TA1.1,TA1.4;Food quality;+;Enhancing climate resilience can help protect agricultural systems from the impacts of climate change, ensuring a stable food supply and promoting food quality.
GHG Reduction;TA1.3,TA1.7,TA1.9,TA1.11,TA1.13,TA5.7;Food quality - Animal Welfare;+;Reducing GHG emissions in the agriculture sector can lead to improved animal welfare, as more sustainable farming practices are often associated with better treatment and living conditions for animals.
Renewable Energy;TA2.10,TA2.11,TA2.12,TA2.15,TA2.19,TA2.37;Waste Reduction - Municipal Waste;+;The increased use of renewable energy can lead to a reduction in waste generated from fossil fuel-based energy production, which in turn can reduce municipal waste. This connection is based on the report's emphasis on the importance of renewable energy in reducing greenhouse gas emissions and promoting sustainable development.
Renewable Energy - Hydrogen Production;TA2.1,TA2.3,TA2.40;Critical Raw Materials - Extraction & Import;-;The production of renewable hydrogen may require the extraction of critical raw materials, which can have negative environmental and social impacts. This connection is based on the report's discussion of the potential risks associated with the extraction of critical raw materials.
Energy Efficiency;TA2.17,TA2.22,TA2.23;Circularity/Recycling;+;Improving energy efficiency can lead to a reduction in energy consumption, which can in turn reduce the demand for raw materials and promote circularity and recycling. This connection is based on the report's emphasis on the importance of energy efficiency in reducing greenhouse gas emissions and promoting sustainable development.
Energy Efficiency - Buildings;TA2.18,TA2.32;Waste Reduction - Municipal Waste;+;Improving energy efficiency in buildings can lead to a reduction in waste generated from construction and demolition activities, which can reduce municipal waste. This connection is based on the report's discussion of the potential benefits of improving energy efficiency in buildings.
Renewable Energy - Solar;TA2.5,TA2.6,TA2.7;Circularity/Recycling - Critical Raw Materials - Batteries Recycling;+;The increased use of solar energy can lead to an increased demand for batteries, which can promote the development of circular economy practices and recycling of critical raw materials. This connection is based on the report's emphasis on the importance of renewable energy in reducing greenhouse gas emissions and promoting sustainable development.
Social Security - Energy;TA2.2,TA2.8;Waste Reduction - Food Waste;-;The implementation of social security measures related to energy may not have a direct impact on food waste reduction, but it can have an indirect negative impact by increasing energy consumption and potentially leading to increased food waste. This connection is based on the report's discussion of the potential risks associated with increased energy consumption.
Energy Efficiency;TA2.17,TA2.22,TA2.23;Net-Zero Technology - Manufacturing;+;Improving energy efficiency can lead to a reduction in energy consumption, which can in turn promote the development of net-zero technology and manufacturing. This connection is based on the report's emphasis on the importance of energy efficiency in reducing greenhouse gas emissions and promoting sustainable development.
Renewable Energy;TA2.10,TA2.11,TA2.12,TA2.15,TA2.19,TA2.37,TA2.9;GHG Reduction;+;The implementation of renewable energy targets in the 'Renewable Energy' sub-theme can lead to a reduction in greenhouse gas emissions, thereby positively impacting the 'GHG Reduction' sub-theme. This is because renewable energy sources like solar and wind power produce little to no emissions, reducing the overall carbon footprint.
Renewable Energy - Hydrogen Production;TA2.1,TA2.3, TA2.40, TA4.1, TA4.20, TA4.21, TA4.22;GHG Reduction;+;The development of renewable hydrogen production can contribute to the reduction of greenhouse gas emissions in the 'GHG Reduction' sub-theme by providing a low-carbon alternative for energy and industrial processes.
Energy Efficiency;TA2.17, TA2.22, TA2.23;GHG Reduction;+;Improving energy efficiency as outlined in the 'Energy Efficiency' sub-theme can lead to reduced energy consumption, which in turn decreases greenhouse gas emissions, positively impacting the 'GHG Reduction' sub-theme.
Energy Efficiency - Buildings;TA2.20, TA2.21, TA2.24, TA2.25, TA2.26, TA2.27, TA2.28, TA2.29, TA2.30, TA2.31, TA2.32, TA2.33, TA2.34, TA2.35, TA2.36;GHG Reduction - Buildings;+;The 'Energy Efficiency - Buildings' sub-theme aims to reduce energy consumption in buildings, which directly contributes to the 'GHG Reduction - Buildings' sub-theme by lowering emissions from the building sector.
Renewable Energy - Solar;TA2.5, TA2.6, TA2.7;GHG Reduction;+;The expansion of solar energy as outlined in the 'Renewable Energy - Solar' sub-theme can significantly reduce greenhouse gas emissions by replacing fossil fuels with solar power, thus positively impacting the 'GHG Reduction' sub-theme.
Social Security - Energy;TA2.2, TA2.8;GHG Reduction;+;The 'Social Security - Energy' sub-theme, by ensuring access to affordable and clean energy for all, can indirectly support the reduction of greenhouse gas emissions by promoting the use of renewable energy sources over fossil fuels, thereby positively impacting the 'GHG Reduction' sub-theme.
Renewable Energy - Heating & Cooling;TA2.14, TA2.16, TA2.4;GHG Reduction;+;The 'Renewable Energy - Heating & Cooling' sub-theme focuses on increasing the use of renewable energy for heating and cooling, which can lead to a decrease in greenhouse gas emissions from these sectors, positively impacting the 'GHG Reduction' sub-theme.
Renewable Energy - Ocean/Offshore;TA2.38, TA2.39;GHG Reduction;+;The development of offshore renewable energy as outlined in the 'Renewable Energy - Ocean/Offshore' sub-theme can contribute to the reduction of greenhouse gas emissions by providing additional low-carbon energy sources, thus positively impacting the 'GHG Reduction' sub-theme.
GHG Reduction;TA1.3,TA1.7,TA1.9,TA1.11,TA1.13;Biodiversity Protection & Conservation;+;Reducing GHG emissions can have a positive impact on biodiversity protection and conservation by mitigating climate change, which is a key driver of biodiversity loss. This can help preserve ecosystems and species, ultimately supporting biodiversity conservation.
GHG Reduction;TA1.3,TA1.7,TA1.9,TA1.11,TA1.13;Terrestrial Ecosystems Restoration;+;GHG reduction efforts can contribute to the restoration of terrestrial ecosystems by promoting sustainable land use practices, reducing deforestation, and encouraging reforestation, which can help sequester carbon and support ecosystem services.
GHG Reduction - Buildings;TA1.15;Terrestrial Ecosystems Restoration - Forests;-;The focus on reducing GHG emissions from buildings might lead to an increased demand for wood and other forest products, potentially threatening forest ecosystems and undermining restoration efforts if not managed sustainably.
GHG Removal;TA1.12;Marine Ecosystem Restoration;+;GHG removal strategies, such as ocean fertilization or blue carbon initiatives, can directly contribute to the restoration of marine ecosystems by enhancing carbon sequestration and supporting marine biodiversity.
GHG Reduction;TA1.3,TA1.7,TA1.9,TA1.11,TA1.13;Biodiversity Protection & Conservation - Fisheries;+;Reducing GHG emissions can help mitigate the impacts of climate change on fisheries and marine ecosystems, supporting the conservation of marine biodiversity and the sustainability of fishing practices.
Climate Resilience;TA1.1,TA1.4;Terrestrial Ecosystems Restoration - Agricultural Ecosystems;+;Enhancing climate resilience can support the restoration of agricultural ecosystems by promoting practices that improve soil health, biodiversity, and ecosystem services, making these systems more resilient to climate change.
GHG Reduction - Transports;TA1.10,TA1.14;Terrestrial Ecosystems Restoration - Rivers;-;The transition to low-carbon transportation systems might lead to an increased focus on riverine transport, potentially disrupting river ecosystems and affecting restoration efforts if not properly managed.
GHG Removal;TA1.12;Biodiversity Protection & Conservation - Monitoring;+;GHG removal strategies can support biodiversity conservation by reducing the pressure of climate change on ecosystems, allowing for more effective monitoring and conservation of biodiversity.
GHG Reduction;TA1.3,TA1.7,TA1.9,TA1.11,TA1.13;Biodiversity Protection & Conservation - Urban Nature;+;Reducing GHG emissions can help mitigate the urban heat island effect and improve air quality, supporting urban biodiversity and ecosystem services, and enhancing the quality of life in urban areas.
GHG Reduction;TA1.3,TA1.7,TA1.9,TA1.11,TA1.13;Improve Air Quality;+;Reducing GHG emissions can lead to improved air quality, as many GHG-emitting activities also release air pollutants. This connection is supported by Report n°2, which highlights the importance of addressing both climate change and air pollution.
GHG Reduction;TA1.3,TA1.7,TA1.9,TA1.11,TA1.13;Improve Water Quality;+;GHG reduction efforts, such as increasing energy efficiency and renewable energy use, can also reduce water pollution from energy production and industrial activities. Report n°2 emphasizes the need for a holistic approach to environmental protection.
GHG Reduction - Buildings;TA1.15;Improve Air Quality;+;Improving the energy efficiency of buildings and reducing their GHG emissions can also decrease air pollution from heating and cooling systems. This connection is relevant to Report n°2's discussion on building renovation and energy efficiency.
GHG Removal;TA1.12;Improve Soils Health;+;GHG removal strategies, such as afforestation and soil carbon sequestration, can improve soil health and fertility. Report n°2 highlights the importance of soil conservation and restoration for achieving climate and environmental goals.
Climate Resilience;TA1.1,TA1.4;Improve Water Quality;+;Enhancing climate resilience can involve measures to protect and restore water resources, which in turn can improve water quality. Report n°2 discusses the need for climate-resilient infrastructure and ecosystem-based adaptation.
GHG Reduction - Transports;TA1.10,TA1.14;Improve Air Quality;+;Reducing GHG emissions from transportation can also decrease air pollution from vehicles, improving air quality. Report n°2 emphasizes the importance of sustainable transportation and reducing emissions from the transport sector.
GHG Reduction;TA1.3,TA1.7,TA1.9,TA1.11,TA1.13;Noise Reduction;-;While GHG reduction efforts are crucial, some measures like increasing wind energy production can lead to noise pollution, potentially negatively impacting noise reduction goals. Report n°2 does not directly address this trade-off, but it is an important consideration in the context of renewable energy development.
GHG Removal;TA1.12;Social Security - Sanitation;+;GHG removal strategies, such as sustainable land use and ecosystem restoration, can also improve sanitation and public health by reducing the spread of diseases. Report n°2 discusses the interconnectedness of environmental and social challenges.
Food quality;TA5.30,TA5.32,TA5.33;Improve Air Quality;+;Improving food quality through sustainable agriculture practices can lead to reduced air pollution from agricultural activities, thus contributing to improved air quality. This is because sustainable agriculture practices often involve reduced use of synthetic fertilizers and pesticides, which are significant contributors to air pollution.
Food quality - Animal Welfare;TA5.25;Improve Air Quality;+;Enhancing animal welfare in agriculture can lead to more sustainable and environmentally friendly farming practices, which in turn can reduce air pollution. For example, free-range farming and organic farming methods can lead to lower emissions of ammonia and other pollutants.
Food quality - Healthy Food;TA5.26,TA5.27,TA5.28;Improve Water Quality;+;Promoting healthy food options can lead to increased demand for sustainable and locally sourced produce, which can reduce the environmental impact of transportation and support more environmentally friendly farming practices that conserve water and reduce pollution.
Food affordability;TA5.19,TA5.30,TA5.32;Improve Water Quality;-;Ensuring food affordability may lead to increased pressure on agricultural systems to produce more food at lower costs, potentially resulting in more intensive farming practices that can harm water quality. This could involve increased use of fertilizers and pesticides, which can pollute waterways.
Pesticides Reduction;TA5.2,TA5.4,TA5.5;Improve Air Quality;+;Reducing pesticide use can lead to improved air quality by decreasing the amount of harmful chemicals released into the atmosphere. This is because pesticides can evaporate and contribute to air pollution, and reducing their use can minimize this impact.
Pesticides Reduction;TA5.2,TA5.4,TA5.5;Improve Water Quality;+;Decreasing pesticide use can also improve water quality by reducing the amount of chemicals that enter waterways through runoff or leaching. This can help protect aquatic ecosystems and ensure cleaner water for human consumption.
Competitive Agriculture;TA5.12,TA5.14,TA5.20;Improve Soils Health;+;Promoting competitive agriculture through sustainable practices can lead to improved soil health. This is because sustainable agriculture often involves techniques like crop rotation, cover cropping, and reduced tillage, which can enhance soil fertility and structure.
Competitive Agriculture;TA5.12,TA5.14,TA5.20;Noise Reduction;-;Intensive agricultural practices aimed at increasing competitiveness may lead to increased noise pollution from machinery and equipment, potentially negatively impacting nearby ecosystems and human populations.
Competitive Agriculture;TA5.12,TA5.14,TA5.20;Social Security - Sanitation;+;Supporting competitive agriculture can lead to improved social security for farmers and rural communities, including better access to sanitation facilities. This is because competitive agriculture can generate income and stimulate local economic development, which can be invested in improving rural infrastructure and services.
Waste Reduction;TA3.1,TA3.2,TA3.4,TA3.41,TA3.42,TA3.43,TA3.44,TA3.45,TA3.47;Food quality;+;The reduction of waste, particularly food waste, can lead to improved food quality by reducing the amount of waste that ends up in landfills and conserving natural resources. This, in turn, can contribute to a more sustainable food system.
Waste Reduction - Municipal Waste;TA3.20,TA3.21,TA3.22,TA3.23,TA3.41,TA3.42,TA3.43,TA3.44,TA3.45;Food quality - Animal Welfare;+;The proper management of municipal waste can help reduce the environmental impact of animal farming, which can lead to improved animal welfare. For example, reducing waste can help minimize the risk of pollution and conserve natural resources.
Waste Reduction - Food Waste;TA3.24,TA3.25,TA3.46,TA5.13;Food affordability;+;Reducing food waste can help make food more affordable by reducing the amount of food that is lost or wasted throughout the supply chain. This can lead to lower food prices and improved food security.
Waste Reduction - Plastic & Packaging;TA3.27,TA3.28,TA3.31,TA3.32,TA3.33,TA3.34,TA3.35,TA3.36,TA3.37,TA3.39,TA3.40;Food quality - Healthy Food;+;The reduction of plastic waste in packaging can lead to improved food quality by reducing the risk of plastic contamination and conserving natural resources. This can contribute to a healthier food system.
Circularity/Recycling;TA3.3;Competitive Agriculture;+;The promotion of circularity and recycling can lead to improved competitiveness in agriculture by reducing waste, conserving natural resources, and promoting sustainable practices. This can contribute to a more resilient and sustainable agricultural sector.
Circularity/Recycling - Municipal Waste;TA3.20,TA3.21,TA3.22,TA3.23;Food quality;+;The recycling of municipal waste can help reduce the environmental impact of food production, which can lead to improved food quality. For example, recycling organic waste can help reduce greenhouse gas emissions and conserve natural resources.
Circularity/Recycling - Textile Waste;TA3.15,TA3.16,TA3.17,TA3.18,TA3.19;Pesticides Reduction;-;The recycling of textile waste may lead to increased use of pesticides in textile production, which can negatively impact the environment and human health. This can undermine efforts to reduce pesticide use in agriculture.
Critical Raw Materials - Extraction & Import;TA3.10,TA3.11,TA3.8,TA3.9;Competitive Agriculture;+;The secure and sustainable supply of critical raw materials can contribute to improved competitiveness in agriculture by reducing dependence on imported materials and promoting sustainable practices. This can lead to a more resilient and sustainable agricultural sector.
Net-Zero Technology - Manufacturing;TA3.12;Food quality;+;The development and manufacturing of net-zero technologies can lead to improved food quality by reducing greenhouse gas emissions and promoting sustainable practices in food production. This can contribute to a more sustainable food system.
Waste Reduction;TA3.1,TA3.2,TA3.4,TA3.41,TA3.42,TA3.43,TA3.44,TA3.45,TA3.47;Transport Logistics;-;The reduction of waste, particularly in the municipal and packaging sectors, can lead to a decrease in the amount of waste that needs to be transported, thereby reducing the environmental impact of transport logistics.
Waste Reduction - Municipal Waste;TA3.1,TA3.2,TA3.4;Urban Mobility;-;Effective waste reduction in municipal waste can lead to a decrease in the amount of waste that needs to be collected and transported, making urban mobility more efficient and reducing congestion.
Circularity/Recycling - Municipal Waste;TA3.20,TA3.21,TA3.22,TA3.23;Net-Zero Technology - Road Vehicles;+;The increased recycling of municipal waste can lead to the production of secondary raw materials, which can be used in the manufacturing of net-zero technology road vehicles, such as electric vehicles.
Circularity/Recycling - Textile Waste;TA3.15,TA3.16,TA3.17,TA3.18,TA3.19;Other Low-Carbon Fuels;-;The recycling of textile waste can lead to the production of new textile products, which may require more energy to produce, potentially increasing the demand for other low-carbon fuels.
Critical Raw Materials - Extraction & Import;TA3.10,TA3.11,TA3.8,TA3.9;Hydrogen Distribution;+;The secure and sustainable supply of critical raw materials is essential for the production of hydrogen fuel cells and other hydrogen-related technologies, which can be used for energy storage and distribution.
Net-Zero Technology - Manufacturing;TA3.12;Rail;+;The development of net-zero technology manufacturing can lead to the production of more efficient and sustainable rail systems, which can reduce greenhouse gas emissions and promote sustainable transportation.
Waste Reduction - Plastic & Packaging;TA3.27,TA3.28,TA3.31,TA3.32,TA3.33,TA3.34,TA3.35,TA3.36,TA3.37;Biofuels;-;The reduction of plastic waste can lead to a decrease in the amount of plastic that can be converted into biofuels, potentially reducing the availability of this low-carbon fuel source.
Food quality;TA5.26,TA5.27,TA5.28,TA5.29,TA5.31,TA5.32,TA5.33,TA5.34;Terrestrial Ecosystems Restoration - Agricultural Ecosystems;+;Improving food quality through sustainable agriculture practices can contribute to the restoration of agricultural ecosystems, promoting biodiversity and ecosystem services.
Food quality - Animal Welfare;TA5.25;Terrestrial Ecosystems Restoration - Agricultural Ecosystems;+;Enhancing animal welfare in agriculture can lead to more sustainable farming practices, which in turn can contribute to the restoration of agricultural ecosystems.
Food affordability;TA5.19,TA5.30,TA5.32,TA5.33,TA5.35;Terrestrial Ecosystems Restoration - Agricultural Ecosystems;-;Ensuring food affordability might lead to increased pressure on agricultural ecosystems, potentially hindering restoration efforts.
Pesticides Reduction;TA5.2,TA5.4,TA5.5,TA6.26,TA6.9,TA7.21;Biodiversity Protection & Conservation;+;Reducing pesticide use can help protect biodiversity, as pesticides can harm non-target species and contaminate soil and water.
Competitive Agriculture;TA5.12,TA5.14,TA5.20,TA5.21,TA5.23;Terrestrial Ecosystems Restoration - Agricultural Ecosystems;+;Promoting competitive agriculture through sustainable practices can contribute to the restoration of agricultural ecosystems, enhancing ecosystem services and biodiversity.
Food quality - Healthy Food;TA5.26,TA5.27,TA5.28,TA5.29,TA5.31,TA5.32,TA5.33,TA5.34;Biodiversity Protection & Conservation - Urban Nature;+;Promoting healthy and sustainable food systems can contribute to urban biodiversity conservation, as urban areas can provide habitat for various species and support ecosystem services.
Pesticides Reduction;TA5.2,TA5.4,TA5.5,TA6.26,TA6.9,TA7.21;Terrestrial Ecosystems Restoration - Forests;-;Reducing pesticide use in forests can help protect forest ecosystems, but the impact of pesticide reduction on forest restoration is less direct compared to agricultural ecosystems.
Competitive Agriculture;TA5.12,TA5.14,TA5.20,TA5.21,TA5.23;Marine Ecosystem Restoration;-;Promoting competitive agriculture might lead to increased pressure on marine ecosystems, particularly if agricultural practices contribute to pollution or habitat destruction in coastal areas.
Food affordability;TA5.19,TA5.30,TA5.32,TA5.33,TA5.35;Biodiversity Protection & Conservation - Fisheries;-;Ensuring food affordability might lead to increased fishing pressure, potentially harming marine biodiversity and ecosystems.
Food quality;TA5.26,TA5.27,TA5.28,TA5.29,TA5.31,TA5.32,TA5.33,TA5.34;Biodiversity Protection & Conservation;+;Improving food quality through sustainable practices can contribute to biodiversity conservation, as sustainable agriculture and food systems can help maintain ecosystem services and promote species conservation.
Waste Reduction;TA3.1,TA3.2,TA3.4,TA3.41,TA3.42,TA3.43,TA3.44,TA3.45,TA3.47;Terrestrial Ecosystems Restoration;+;Reducing waste can lead to a decrease in pollution, which in turn can help restore terrestrial ecosystems. This can have a positive impact on biodiversity and ecosystem services.
Waste Reduction - Municipal Waste;TA3.20,TA3.21,TA3.22,TA3.23,TA3.41,TA3.42,TA3.43,TA3.44,TA3.45;Terrestrial Ecosystems Restoration - Agricultural Ecosystems;-;Improper management of municipal waste can lead to pollution and harm agricultural ecosystems, making it challenging to restore them.
Circularity/Recycling;TA3.3,TA3.12,TA3.15,TA3.16,TA3.17,TA3.18,TA3.19;Biodiversity Protection & Conservation;+;Promoting circularity and recycling can reduce the demand for raw materials, decrease pollution, and help conserve biodiversity.
Circularity/Recycling - Municipal Waste;TA3.20,TA3.21,TA3.22,TA3.23;Terrestrial Ecosystems Restoration - Rivers;+;Effective recycling and management of municipal waste can help reduce pollution in rivers and promote ecosystem restoration.
Critical Raw Materials - Extraction & Import;TA3.10,TA3.11,TA3.8,TA3.9;Biodiversity Protection & Conservation - Fisheries;-;The extraction and import of critical raw materials can have negative environmental impacts, including harm to marine ecosystems and fisheries.
Net-Zero Technology - Manufacturing;TA3.12;Marine Ecosystem Restoration;+;The development and manufacturing of net-zero technologies can help reduce greenhouse gas emissions and promote the restoration of marine ecosystems.
Waste Reduction - Food Waste;TA3.24,TA3.25,TA3.46;Terrestrial Ecosystems Restoration - Agricultural Ecosystems;+;Reducing food waste can help decrease the environmental impact of agriculture, making it easier to restore ecosystems.
Waste Reduction - Plastic & Packaging;TA3.27,TA3.28,TA3.31,TA3.32,TA3.33,TA3.34,TA3.35,TA3.36,TA3.37,TA3.39,TA3.40;Biodiversity Protection & Conservation;-;Plastic pollution can harm biodiversity, and reducing plastic waste is essential for conservation efforts.
Circularity/Recycling - Textile Waste;TA3.4,TA3.47;Terrestrial Ecosystems Restoration;+;Promoting the recycling and reuse of textile waste can reduce the demand for new materials, decrease waste, and help restore ecosystems.
Circularity/Recycling - Critical Raw Materials - Batteries Recycling;TA3.15,TA3.16,TA3.17,TA3.18,TA3.19;Biodiversity Protection & Conservation - Monitoring;+;Recycling critical raw materials from batteries can help reduce the demand for primary materials, decrease pollution, and promote biodiversity conservation.
Waste Reduction - Municipal Waste;TA3.1,TA3.2,TA3.4,TA3.41,TA3.42,TA3.43,TA3.44,TA3.45,TA3.47,TA3.5;Improve Air Quality;+;Reducing municipal waste can lead to a decrease in air pollution from waste management activities, thus improving air quality. Effective waste management strategies can also reduce the production of methane, a potent greenhouse gas.
Waste Reduction - Municipal Waste;TA3.1,TA3.2,TA3.4,TA3.41,TA3.42,TA3.43,TA3.44,TA3.45,TA3.47,TA3.5;Improve Water Quality;+;Proper management of municipal waste can prevent pollution of water bodies, reducing the risk of waterborne diseases and improving overall water quality. This is achieved through the implementation of waste reduction targets and improved waste management practices.
Circularity/Recycling - Municipal Waste;TA3.20,TA3.21,TA3.22,TA3.23,TA3.41,TA3.42,TA3.43,TA3.44,TA3.45;Improve Air Quality;+;Increasing recycling rates and adopting circular economy practices in municipal waste management can reduce air pollution from waste incineration and landfilling, contributing to improved air quality. This is in line with the European Green Deal's objectives.
Circularity/Recycling - Textile Waste;TA3.4,TA3.15,TA3.16,TA3.17,TA3.18,TA3.19;Improve Water Quality;-;The production and disposal of textile waste can lead to water pollution through the release of microplastics and chemicals. While recycling textile waste is beneficial, the extraction and processing of raw materials for new textiles can still harm water quality, highlighting the need for sustainable textile production practices.
Critical Raw Materials - Extraction & Import;TA3.10,TA3.11,TA3.8,TA3.9;Improve Soils Health;-;The extraction of critical raw materials can result in soil degradation and pollution, negatively impacting soil health. This is particularly concerning in areas with fragile ecosystems, where mining activities can have long-lasting effects on the environment.
Net-Zero Technology - Manufacturing;TA3.12;Improve Air Quality;+;The development and manufacturing of net-zero technologies, such as renewable energy systems and energy-efficient appliances, can significantly reduce air pollution from industrial activities, contributing to improved air quality and a cleaner environment.
