;source_subtheme;source_subtheme_targets;impact_subtheme;impact_type;justification;GHG Reduction;TA1.3,TA1.7,TA1.9,TA1.11,TA1.13,TA5.7;Food quality;+;The reduction of GHG emissions in the agriculture sector can lead to improved food quality by reducing the use of synthetic fertilizers and pesticides, which can contaminate food products. This can also promote more sustainable agricultural practices, resulting in healthier and more nutritious food.;Waste Reduction - Municipal Waste;TA3.1,TA3.30;Improve Air Quality;Reducing municipal waste can lead to a decrease in air pollution, as waste management practices such as landfilling and incineration release harmful pollutants into the air. Improved waste reduction strategies can mitigate these effects, contributing to better air quality.;Circularity/Recycling;The implementation of GHG reduction targets can lead to increased demand for recycled materials, promoting circularity and recycling. This is because GHG reduction targets often involve the use of renewable energy sources, which can be complemented by recycling and circular economy practices.;Waste Reduction;Terrestrial Ecosystems Restoration;Reducing waste can lead to a decrease in the amount of waste sent to landfills, which in turn can help restore terrestrial ecosystems by reducing pollution and preserving natural habitats. This can also contribute to the restoration of rivers and forests, as well as the protection of biodiversity.;Renewable Energy;TA2.1,TA2.10,TA2.11,TA2.13,TA2.15,TA2.16,TA2.2,TA2.23,TA2.37,TA2.39,TA2.5,TA2.7,TA2.9;Net-Zero Technology - Road Vehicles;The implementation of renewable energy targets can positively influence the development of net-zero technology for road vehicles by increasing the availability of renewable energy sources for electric vehicles.;TA6.11,TA6.13,TA6.14,TA6.33;Urban Mobility;The restoration of terrestrial ecosystems can lead to increased carbon sequestration, which in turn can support the development of urban mobility solutions that rely on low-carbon technologies. Additionally, restored ecosystems can provide ecosystem services that benefit urban areas, such as air and water filtration, which can improve the overall quality of life for urban residents.;TA6.11,TA6.14,TA6.33,TA6.40;Restoring terrestrial ecosystems can lead to increased waste reduction in municipal areas, as restored ecosystems can help filter and process waste more efficiently. This can also lead to a reduction in waste sent to landfills, aligning with the goals of waste reduction in municipal waste.;The restoration of terrestrial ecosystems can lead to increased carbon sequestration, which can positively impact the development and use of renewable energy sources by reducing greenhouse gas emissions and mitigating climate change. This synergy can enhance the effectiveness of renewable energy technologies.
23;;;;;;GHG Reduction;TA1.3,TA1.7,TA1.9,TA1.11,TA1.13,TA5.7;Competitive Agriculture;+;The reduction of GHG emissions in the agriculture sector can lead to improved competitiveness by promoting more sustainable and efficient agricultural practices. This can result in cost savings, increased productivity, and better market access, ultimately supporting the development of a more competitive and sustainable agricultural sector.;;;;;;;;;;;;;;;;;;;
24;;;;;;GHG Reduction - Buildings;TA1.10,TA1.15;Pesticides Reduction;+;The implementation of energy-efficient measures in buildings can lead to reduced energy consumption, which can also reduce the need for pesticides and other chemicals in agricultural activities. This can promote more sustainable agricultural practices, resulting in reduced environmental pollution and improved public health.;;;;;;;;;;;;;;;;;;;
25;;;;;;GHG Reduction - Transports;TA1.10,TA4.15,TA4.3,TA4.9,TA4.32,TA4.33,TA4.34;Pesticides Reduction;+;The transition to low-carbon transportation can lead to reduced emissions and pollution, which can also reduce the need for pesticides and other chemicals in agricultural activities. This can promote more sustainable agricultural practices, resulting in reduced environmental pollution and improved public health.;;;;;;;;;;;;;;;;;;;
26;;;;;;GHG Removal;TA1.12;Food quality - Animal Welfare;+;The implementation of GHG removal technologies, such as carbon capture and storage, can support the development of more sustainable and humane animal farming practices. By reducing the carbon footprint of agricultural activities, farmers and agricultural businesses can improve animal welfare and contribute to a more sustainable food system.;;;;;;;;;;;;;;;;;;;
27;;;;;;GHG Reduction;TA1.3,TA1.7,TA1.9,TA1.11,TA1.13,TA5.7;Food quality - Healthy Food;+;The reduction of GHG emissions in the agriculture sector can lead to improved food quality by promoting more sustainable agricultural practices, resulting in healthier and more nutritious food. This can also support the development of more sustainable and resilient food systems, which can provide better access to healthy and nutritious food.;;;;;;;;;;;;;;;;;;;
28;Food quality;TA5.12,TA5.15,TA5.6,TA5.9,TA5.35;Improve Water Quality;+;The improvement of food quality through reduced pesticide use and increased organic farming can lead to better water quality, as pesticides and fertilizers are significant pollutants of water bodies. This synergy can enhance the overall environmental sustainability of the food system.;;;;;;;;;;;;;;;;;;;;;;;;
29;Food quality - Animal Welfare;TA5.2,TA5.25;Improve Air Quality;+;Enhanced animal welfare in food production can lead to reduced ammonia emissions from livestock, contributing to improved air quality. This connection highlights the interlinkages between animal welfare, air quality, and the broader environmental impact of the food sector.;;;;;;;;;;;;;;;;;;;;;;;;
30;Food affordability;TA5.19,TA5.29,TA5.30,TA5.32;Improve Soils Health;-;Policies aimed at improving food affordability might inadvertently lead to increased pressure on soil health due to intensified agricultural practices to meet demand, potentially undermining efforts to improve soil quality. This trade-off underscores the need for balanced policies that consider both social and environmental dimensions.;;;;;;;;;;;;;;;;;;;;;;;;
31;Pesticides Reduction;TA5.10,TA5.4,TA5.5;Improve Water Quality;+;Reducing pesticide use can directly improve water quality by decreasing the amount of chemical pollutants entering water bodies. This is a key synergy between pesticide reduction targets and water quality improvement objectives.;;;;;;;;;;;;;;;;;;;;;;;;
32;Competitive Agriculture;TA5.17,TA5.18,TA5.20,TA5.35;Noise Reduction;+;Promoting competitive agriculture through sustainable practices can lead to reduced noise pollution from agricultural activities, contributing to a quieter environment. This positive impact is often overlooked but is an important aspect of sustainable agriculture.;;;;;;;;;;;;;;;;;;;;;;;;
33;Food quality - Healthy Food;TA5.27,TA5.31,TA5.33,TA5.34;Improve Air Quality;+;Healthy food initiatives can promote dietary changes that reduce the demand for resource-intensive and polluting food production methods, indirectly contributing to improved air quality. This connection emphasizes the role of consumer choices in driving environmental sustainability.;;;;;;;;;;;;;;;;;;;;;;;;
34;Waste Reduction;TA3.1,TA3.30;Food quality;+;Reducing waste can lead to more efficient use of resources, which can positively impact food quality by reducing the environmental impact of food production and processing. This, in turn, can lead to healthier and more sustainable food options.;;;;;;;;;;;;;;;;;;;;;;;;
35;Waste Reduction - Municipal Waste;TA3.1,TA3.30;Food quality - Animal Welfare;+;Proper waste management in municipal areas can reduce the risk of animal exposure to harmful substances, promoting animal welfare and potentially leading to better living conditions for animals.;;;;;;;;;;;;;;;;;;;;;;;;
36;Waste Reduction - Food Waste;TA3.24,TA3.25,TA5.13;Food affordability;+;Reducing food waste can help decrease food prices by optimizing food production and distribution, making food more affordable for consumers and positively impacting food affordability.;;;;;;;;;;;;;;;;;;;;;;;;
37;Waste Reduction - Plastic & Packaging;TA3.27,TA3.28,TA3.29;Food quality - Healthy Food;+;Decreasing plastic and packaging waste can lead to a reduction in microplastics and other harmful substances in food, resulting in healthier food options and promoting healthy eating.;;;;;;;;;;;;;;;;;;;;;;;;
38;Circularity/Recycling;TA3.20,TA3.21,TA3.22,TA3.23,TA5.14;Competitive Agriculture;+;Implementing circular economy practices and recycling can lead to the creation of new business opportunities and jobs in the agriculture sector, enhancing its competitiveness and promoting sustainable agricultural practices.;;;;;;;;;;;;;;;;;;;;;;;;
39;Circularity/Recycling - Municipal Waste;TA3.30,TA3.31,TA3.32,TA3.33,TA3.34,TA3.35,TA3.36,TA3.37;Pesticides Reduction;-;The focus on municipal waste recycling might divert attention and resources away from reducing pesticides and other harmful substances in agricultural practices, potentially hindering progress in pesticide reduction.;;;;;;;;;;;;;;;;;;;;;;;;
40;Circularity/Recycling - Critical Raw Materials - Batteries Recycling;TA3.13,TA3.15,TA3.16,TA3.17,TA3.18,TA3.19;Food quality;+;Recycling critical raw materials from batteries can lead to the development of more sustainable technologies and practices in food production, processing, and packaging, ultimately enhancing food quality and safety.;;;;;;;;;;;;;;;;;;;;;;;;
41;Critical Raw Materials - Extraction & Import;TA3.11,TA3.8,TA3.9;Competitive Agriculture;-;The extraction and import of critical raw materials can have negative environmental and social impacts, potentially affecting the competitiveness of the agriculture sector and its ability to adopt sustainable practices.;;;;;;;;;;;;;;;;;;;;;;;;
42;Net-Zero Technology - Manufacturing;TA3.12;Food affordability;+;The development and manufacturing of net-zero technologies can lead to increased energy efficiency and reduced production costs in the food sector, making food more affordable for consumers and positively impacting food affordability.;;;;;;;;;;;;;;;;;;;;;;;;
43;Circularity/Recycling - Plastic & Packaging;TA3.27,TA3.28,TA3.29;Food quality - Animal Welfare;+;Reducing plastic and packaging waste can lead to a decrease in animal exposure to harmful substances, promoting animal welfare and potentially leading to better living conditions for animals.;;;;;;;;;;;;;;;;;;;;;;;;
44;Circularity/Recycling - Vehicle Circularity;TA3.38,TA3.49,TA3.50;Food quality;+;The recycling and reuse of materials from vehicles can lead to the development of more sustainable technologies and practices in food production, processing, and packaging, ultimately enhancing food quality and safety.;;;;;;;;;;;;;;;;;;;;;;;;
45;;;;;;;;;+;;Waste Reduction - Food Waste;TA3.24,TA3.25,TA5.13;Improve Water Quality;Food waste reduction can help decrease the amount of organic waste sent to landfills, where it produces methane, a potent greenhouse gas. Additionally, reducing food waste can lower the demand for water-intensive agricultural practices, contributing to improved water quality.;;;;;;;;;;;;;;;
46;;;;;;;;;+;;Waste Reduction - Plastic & Packaging;TA3.27,TA3.28,TA3.29;Improve Water Quality;Reducing plastic and packaging waste can decrease the amount of plastic debris entering waterways, mitigating the harm caused to aquatic ecosystems and improving water quality.;;;;;;;;;;;;;;;
47;;;;;;;;;+;;Circularity/Recycling - Municipal Waste;TA3.20,TA3.21,TA3.22,TA3.23;Improve Air Quality;Increasing recycling rates and improving waste management practices in municipal waste can reduce the need for incineration, lowering air pollution and contributing to better air quality.;;;;;;;;;;;;;;;
48;;;;;;;;;+;;Circularity/Recycling - Plastic & Packaging;TA3.29,TA3.32,TA3.48,TA3.51,TA3.52;Improve Water Quality;Enhancing recycling and circularity practices for plastic and packaging can decrease the amount of plastic waste entering oceans and waterways, improving water quality and reducing harm to aquatic life.;;;;;;;;;;;;;;;
49;;;;;;;;;-;;Critical Raw Materials - Extraction & Import;TA3.11,TA3.8,TA3.9;Improve Soils Health;The extraction of critical raw materials can lead to soil degradation and pollution, negatively impacting soil health. Sustainable extraction and import practices are necessary to mitigate these effects.;;;;;;;;;;;;;;;
50;;;;;;;;;+;;Net-Zero Technology - Manufacturing;TA3.12;Improve Air Quality;The development and manufacturing of net-zero technologies, such as renewable energy systems and energy-efficient devices, can contribute to reduced air pollution and improved air quality.;;;;;;;;;;;;;;;
51;;;;;;;;;+;;Circularity/Recycling - Critical Raw Materials - Batteries Recycling;TA3.13,TA3.15,TA3.16,TA3.17,TA3.18,TA3.19;Improve Soils Health;Responsible battery recycling practices can help recover critical raw materials, reducing the need for primary extraction and mitigating the associated environmental impacts, including soil degradation.;;;;;;;;;;;;;;;
52;;;;;;;;;+;;Waste Reduction;TA5.7;Social Security - Sanitation;Effective waste reduction and management practices can contribute to improved sanitation and public health, particularly in areas with limited waste management infrastructure.;;;;;;;;;;;;;;;
53;;;;;;;;;+;;Circularity/Recycling - Vehicle Circularity;TA3.38,TA3.49,TA3.50;Improve Air Quality;Promoting vehicle circularity through recycling and reuse can reduce the demand for primary materials, lowering the environmental impacts associated with extraction and processing, and contributing to improved air quality.;;;;;;;;;;;;;;;
54;;;;;;GHG Reduction - Buildings;TA1.10,TA1.15;;-;;;;;;Waste Reduction - Municipal Waste;The reduction of GHG emissions from buildings may lead to increased waste generation from construction and demolition activities, potentially negatively impacting municipal waste management.;;;;;;;;;;;;;
55;;;;;;GHG Reduction - Transports;TA1.10,TA4.15,TA4.3,TA4.9,TA4.32;;+;;;;;;Circularity/Recycling - Vehicle Circularity;The transition to low-carbon transportation can drive the adoption of circular economy practices in the vehicle manufacturing sector, such as recycling and reuse of materials.;;;;;;;;;;;;;
56;;;;;;GHG Removal;TA1.12;;-;;;;;;Critical Raw Materials - Extraction & Import;The implementation of GHG removal targets may require the extraction and import of critical raw materials, potentially leading to environmental and social impacts associated with mining activities.;;;;;;;;;;;;;
57;;;;;;Climate Resilience;TA1.3,TA6.3;;-;;;;;;Waste Reduction;Climate resilience measures may involve the use of materials and resources that can contribute to waste generation, potentially negatively impacting waste reduction efforts.;;;;;;;;;;;;;
58;;;;;;GHG Reduction;TA1.3,TA1.7,TA1.9,TA1.11,TA1.13,TA5.7;;+;;;;;;Net-Zero Technology - Manufacturing;The implementation of GHG reduction targets can drive the development and adoption of net-zero technologies, including those related to manufacturing and industry.;;;;;;;;;;;;;
59;;;;;;GHG Reduction - Buildings;TA1.10,TA1.15;;+;;;;;;Circularity/Recycling - Municipal Waste;The reduction of GHG emissions from buildings can involve the use of recycled materials and circular economy practices in construction, potentially reducing municipal waste.;;;;;;;;;;;;;
60;;;;;;GHG Reduction - Transports;TA1.10,TA4.15,TA4.3,TA4.9,TA4.32;;-;;;;;;Waste Reduction - Plastic & Packaging;The transition to low-carbon transportation may involve the use of single-use plastics and packaging materials, potentially negatively impacting waste reduction efforts.;;;;;;;;;;;;;
61;GHG Reduction;TA1.3,TA1.7,TA1.9,TA1.11,TA1.13,TA5.7;Renewable Energy;+;The implementation of GHG reduction targets can lead to an increased demand for renewable energy sources, driving the growth of the renewable energy sector. This is because reducing GHG emissions often involves transitioning away from fossil fuels and towards cleaner energy sources.;;;;;;;;;;;;;;;;;;;;;;;;
62;GHG Reduction - Buildings;TA1.10,TA1.15;Energy Efficiency - Buildings;+;The reduction of GHG emissions in buildings can be achieved through energy efficiency measures, such as retrofitting and insulation, which are also key components of the Energy Efficiency - Buildings sub-theme. This synergy can lead to cost-effective and environmentally beneficial solutions.;;;;;;;;;;;;;;;;;;;;;;;;
63;GHG Reduction - Transports;TA1.10,TA4.15,TA4.3, TA4.9;Renewable Energy - Solar;+;The transition to low-carbon transportation can be facilitated by the adoption of electric vehicles, which can be powered by renewable energy sources like solar energy. This connection highlights the potential for synergies between GHG reduction in transport and the growth of the solar energy sector.;;;;;;;;;;;;;;;;;;;;;;;;
64;GHG Removal;TA1.12;Renewable Energy - Hydrogen Production;-;The production of renewable hydrogen can be energy-intensive and may compete with other renewable energy sources for resources, potentially hindering the achievement of GHG removal targets. This trade-off underscores the need for careful planning and management of renewable energy resources.;;;;;;;;;;;;;;;;;;;;;;;;
65;Climate Resilience;TA1.3;Energy Infrastructure;+;Investing in energy infrastructure that is resilient to climate change can help ensure a stable and reliable energy supply, which is critical for achieving climate resilience. This connection emphasizes the importance of integrating climate resilience considerations into energy infrastructure planning.;;;;;;;;;;;;;;;;;;;;;;;;
66;Methane;TA1.7;Renewable Energy - Ocean/Offshore;-;The production and transportation of renewable energy from offshore sources can lead to methane emissions, potentially undermining efforts to reduce methane emissions. This trade-off highlights the need for careful consideration of the environmental impacts of offshore renewable energy production.;;;;;;;;;;;;;;;;;;;;;;;;
67;;;;;;;;;+;;;TA3.1,TA3.30;;;;;Waste Reduction - Municipal Waste;Terrestrial Ecosystems Restoration - Rivers;Implementing effective municipal waste reduction strategies can help decrease the amount of waste that ends up in rivers, reducing pollution and preserving aquatic ecosystems. This can also contribute to the restoration of rivers and the protection of biodiversity.;;;;;;;;;;
68;;;;;;;;;+;;;TA3.24,TA3.25;;;;;Waste Reduction - Food Waste;Terrestrial Ecosystems Restoration - Agricultural Ecosystems;Reducing food waste can help decrease the environmental impact of agricultural production, such as the use of pesticides, fertilizers, and water. This can contribute to the restoration of agricultural ecosystems and the protection of biodiversity.;;;;;;;;;;
69;;;;;;;;;+;;;TA3.27,TA3.28,TA3.29;;;;;Waste Reduction - Plastic & Packaging;Marine Ecosystem Restoration;Reducing plastic waste can help decrease the amount of plastic that ends up in oceans, reducing pollution and preserving marine ecosystems. This can contribute to the restoration of marine ecosystems and the protection of biodiversity.;;;;;;;;;;
70;;;;;;;;;+;;;TA3.20,TA3.21,TA3.22,TA3.23;;;;;Circularity/Recycling;Terrestrial Ecosystems Restoration;Implementing effective recycling strategies can help decrease the amount of waste sent to landfills, reducing pollution and preserving natural habitats. This can also contribute to the restoration of terrestrial ecosystems, such as forests and rivers.;;;;;;;;;;
71;;;;;;;;;+;;;TA3.30;;;;;Circularity/Recycling - Municipal Waste;Terrestrial Ecosystems Restoration - Rivers;Implementing effective municipal waste recycling strategies can help decrease the amount of waste that ends up in rivers, reducing pollution and preserving aquatic ecosystems. This can also contribute to the restoration of rivers and the protection of biodiversity.;;;;;;;;;;
72;;;;;;;;;+;;;TA3.13,TA3.15,TA3.16,TA3.17,TA3.18,TA3.19;;;;;Circularity/Recycling - Critical Raw Materials - Batteries Recycling;Terrestrial Ecosystems Restoration - Forests;Recycling critical raw materials, such as those used in batteries, can help reduce the demand for primary materials, decreasing the environmental impact of mining and extraction. This can contribute to the restoration of forests and the protection of biodiversity.;;;;;;;;;;
73;;;;;;;;;+;;;TA3.11,TA3.8,TA3.9;;;;;Critical Raw Materials - Extraction & Import;Terrestrial Ecosystems Restoration - Forests;Sustainable extraction and import of critical raw materials can help reduce the environmental impact of mining and extraction, preserving natural habitats and contributing to the restoration of forests.;;;;;;;;;;
74;;;;;;;;;+;;;TA3.12;;;;;Net-Zero Technology - Manufacturing;Terrestrial Ecosystems Restoration;Developing and manufacturing net-zero technologies can help reduce greenhouse gas emissions, contributing to the restoration of terrestrial ecosystems and the protection of biodiversity. This can also contribute to the restoration of rivers, forests, and marine ecosystems.;;;;;;;;;;
75;Waste Reduction - Municipal Waste;TA3.1,TA3.30;GHG Reduction - Transports;+;Reducing municipal waste can lead to a decrease in greenhouse gas emissions from transportation, as less waste needs to be transported to landfills. This can contribute to the achievement of GHG reduction targets in the transportation sector.;;;;;;;;;;;;;;;;;;;;;;;;
76;Circularity/Recycling - Plastic & Packaging;TA3.29,TA3.32;GHG Reduction - Buildings;+;Increasing recycling rates of plastic and packaging materials can lead to a reduction in energy consumption and greenhouse gas emissions from buildings, as recycled materials often require less energy to produce than virgin materials.;;;;;;;;;;;;;;;;;;;;;;;;
77;Critical Raw Materials - Extraction & Import;TA3.11,TA3.8,TA3.9;GHG Removal;-;The extraction and import of critical raw materials can lead to increased greenhouse gas emissions, which can negatively impact GHG removal efforts. This is because the production and transportation of these materials often rely on fossil fuels and can result in significant emissions.;;;;;;;;;;;;;;;;;;;;;;;;
78;Net-Zero Technology - Manufacturing;TA3.12;GHG Reduction - Transports;+;The development and manufacturing of net-zero technologies, such as electric vehicles, can contribute to a reduction in greenhouse gas emissions from transportation. This can help achieve GHG reduction targets in the transportation sector.;;;;;;;;;;;;;;;;;;;;;;;;
79;Waste Reduction - Food Waste;TA3.24,TA3.25,TA5.13;GHG Reduction - Buildings;+;Reducing food waste can lead to a decrease in energy consumption and greenhouse gas emissions from buildings, as less energy is required to produce, transport, and store food.;;;;;;;;;;;;;;;;;;;;;;;;
80;Circularity/Recycling - Critical Raw Materials - Batteries Recycling;TA3.13,TA3.15,TA3.16,TA3.17,TA3.18,TA3.19;GHG Removal;+;The recycling of critical raw materials from batteries can help reduce the demand for primary materials, which can lead to a decrease in greenhouse gas emissions. This can contribute to GHG removal efforts and help achieve a net-zero economy.;;;;;;;;;;;;;;;;;;;;;;;;
