```csv
target_code;target_content;thematic_area;sub_theme;justification
TA7.9;Improve air quality to reduce the number of premature deaths caused by air pollution by 55% by 2030 (2030 target contributing to the 2050 ambition of a toxic-free environment);TA7_Towards a zero-pollution ambition for a toxic free environment;Improving Air Quality;This target aims to significantly reduce air pollution, contributing to a healthier environment and reducing premature deaths.
TA5.24;Social protection and poverty: Ensure fair, inclusive and ethical value chains. Ensure workers’ social protection and housing conditions, promote socially responsible production methods, Mitigate the socio-economic consequences impacting the food chain and ensure that the key principles enshrined in the European Pillar of Social Rights are respected, especially when it comes to precarious, seasonal and undeclared workers.;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Ensuring Social Protection in Agriculture;The target emphasizes social protection and ethical practices in agriculture, aligning with social sustainability goals.
TA5.29;Food availability: Improve availability of sustainable food. Ensure that the healthy option is always the easiest one. Ensure food supply.;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Improving Food Availability;This target focuses on increasing the availability of sustainable and healthy food options, supporting food security.
TA5.34;Health impact of diets: Reversing of the rise in overweight and obesity rates across the EU by 2030;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Promoting Healthy Diets;The target aims to address health issues related to diet, promoting healthier eating habits across the EU.
TA5.18;Market power and business structure: Improve agricultural rules that strengthen the position of farmers (e.g. producers of products with geographical indications), their cooperatives and producer organisations in the food supply chain.;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Strengthening Farmers' Market Position;This target focuses on enhancing the market position of farmers, supporting fair trade and economic sustainability.
TA2.2;Set up at least one renewables-based energy community in every municipality with a population higher than 10.000 by 2025 EU Solar Energy Strategy;TA2_Clean, affordable and secure energy;Establishing Energy Communities;The target promotes the creation of energy communities, fostering local renewable energy production and consumption.
TA2.33;The national measures will have to ensure that at least 55% of the decrease of the average primary energy use is achieved through the renovation of the worst-performing buildings. EPBD (Directive (EU) 2024/1275);TA2_Clean, affordable and secure energy;Renovating Buildings for Energy Efficiency;This target focuses on improving energy efficiency in buildings, particularly the worst-performing ones, to reduce energy consumption.
TA2.28;Reduce buildings’ energy consumption for heating and cooling by 18% compared to 2015 levels by 2030 A Renovation Wave for Europe;TA2_Clean, affordable and secure energy;Reducing Energy Consumption in Buildings;The target aims to decrease energy consumption in buildings, contributing to energy efficiency and sustainability.
TA6.32;Terrestrial, coastal and freshwater ecosystems. Member States shall put in place the restoration measures [...] to re-establish the habitat types listed in Annex I in areas not covered by those habitat types with the aim to reach their favourable reference area. Such measures shall be in place on areas representing at least 30% of the additional overall surface needed to reach the total favourable reference area of each group of habitat types listed in Annex I [...] by 2030, at least 60% by 2040, and 100 % by 2050. 'Nature Restoration Law';TA6_Preserving and protecting biodiversity;Restoring Ecosystems;This target focuses on restoring various ecosystems to their favourable reference areas, supporting biodiversity conservation.
TA2.38;Cumulative EU offshore goals of installed capacity: 60 GW by 2030 and 300 GW by 2050 An EU offshore Renewable Energy Strategy;TA2_Clean, affordable and secure energy;Expanding Offshore Renewable Energy;The target sets ambitious goals for offshore renewable energy capacity, supporting the transition to clean energy.
TA4.11;Reduce the average door-to-door cost of combined transport operations by at least 10% within 7 years Proposal for a Directive to support framework for intermodal transport of goods;TA4_Sustainable and smart mobility;Reducing Transport Costs;This target aims to lower the costs of combined transport operations, promoting efficient and sustainable transport solutions.
TA6.31;Terrestrial, coastal and freshwater ecosystems. Member States shall put in place the restoration measures [...] to improve to good condition areas of habitat types listed in Annex I which are not in good condition. Such measures shall be in place: (a) on at least 30% by 2030 of the total area of all habitat types listed in Annex I that is not in good condition [...], and (b) on at least 60 % by 2040 and on at least 90% by 2050. 'Nature Restoration Law';TA6_Preserving and protecting biodiversity;Improving Ecosystem Conditions;The target focuses on improving the condition of various ecosystems, contributing to biodiversity and environmental health.
TA7.16;By means of an updated and harmonised list of pollutants affecting surface and groundwater, updated existing quality standards, new monitoring requirements, improved and more accessible data, and a more flexible framework for addressing pollutants of emerging concerns, the proposal aims at setting new high standards for a series of chemical substances of concern to address chemical pollution in water. Proposal for a Directive amending the Water Framework Directive, the Groundwater Directive, and the Environmental Quality Standards Directive;TA7_Towards a zero-pollution ambition for a toxic free environment;Addressing Water Pollution;This target aims to set high standards for chemical substances in water, addressing pollution and protecting water quality.
TA2.22;Member States shall collectively ensure a reduction of energy consumption of at least 11.7% in 2030 compared to the projections of the 2020 EU Reference Scenario so that the Union’s final energy consumption amounts to no more than 763 Mtoe. Directive (EU) 2023/1791;TA2_Clean, affordable and secure energy;Reducing Energy Consumption;The target focuses on reducing overall energy consumption, contributing to energy efficiency and sustainability.
TA5.2;Reduce overall EU sales of antimicrobials for farmed animals and in aquaculture by 50% by 2030.;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Reducing Antimicrobial Use;This target aims to decrease the use of antimicrobials in agriculture, promoting animal health and reducing resistance.
TA2.16;Member States shall endeavour to increase the share of renewable sources in the amount of energy sources used for final energy and non-energy purposes in the industry sector by an indicative increase of at least 1.6 percentage points as an annual average calculated for the periods 2021 to 2025 and 2026 to 2030 [Indicative target] RED III (Directive (EU) 2023/2413);TA2_Clean, affordable and secure energy;Increasing Renewable Energy in Industry;The target promotes the use of renewable energy in the industry sector, supporting the transition to clean energy.
TA5.5;Reduce by 50% the use and risk of chemical pesticides Target in Common with Biodiversity Strategy (see Thematic Area 6) and Zero Pollution Action Plan (see Thematic Area 7);TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Reducing Pesticide Use;This target aims to cut the use and risk of chemical pesticides, promoting environmental health and biodiversity.
TA3.35;Member States shall take the necessary measures to attain a recycling target of 50% of aluminium by weight of aluminium contained in packaging waste generated by 31 December 2025 and of 60% by 31 December 2030 Proposal on packaging and packaging waste;TA3_Industrial strategy for a clean and circular economy;Enhancing Aluminium Recycling;The target sets specific recycling goals for aluminium, supporting circular economy practices.
TA2.1;REPowerEU sets a target of 10 million tonnes of domestic renewable hydrogen production and 10 million tonnes of renewable hydrogen imports by 2030. REPowerEU;TA2_Clean, affordable and secure energy;Increasing Hydrogen Production;This target focuses on boosting renewable hydrogen production and imports, supporting clean energy goals.
TA6.37;(urban ecosystems) Member States shall achieve thereafter an increasing trend in the total national area of urban green space, including through the integration of urban green space into buildings and infrastructure, in urban ecosystem areas, determined in accordance with Article 14(4), measured every six years after 31 December 2030, until a satisfactory level identified in accordance with Article 14(5) is reached. 'Nature Restoration Law';TA6_Preserving and protecting biodiversity;Increasing Urban Green Space;The target aims to expand urban green spaces, contributing to biodiversity and improving urban environments.
TA5.6;Aquatic living resources: Increase sustainable fishing and aquaculture. Bring fish stocks to sustainable levels. Significant increase in organic aquaculture;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Promoting Sustainable Aquaculture;This target focuses on sustainable fishing and aquaculture practices, supporting marine biodiversity and food security.
TA6.34;Terrestrial, coastal and freshwater ecosystems. Member States shall ensure that condition is known for at least 90% of the area distributed overall habitat types listed in Annex I by 2030 and 100% by 2040. 'Nature Restoration Law';TA6_Preserving and protecting biodiversity;Assessing Ecosystem Conditions;The target emphasizes the importance of understanding ecosystem conditions, supporting informed conservation efforts.
TA6.7;4. By 2030, significant areas of degraded and carbon-rich ecosystems are restored. Habitats and species show no deterioration in conservation trends and status, and at least 30% reach favourable conservation status or at least show a positive trend.;TA6_Preserving and protecting biodiversity;Restoring Degraded Ecosystems;This target focuses on restoring degraded ecosystems, contributing to biodiversity and carbon sequestration.
TA6.48;(forest ecosystems) Member States shall achieve an increasing trend at national level of at least six out of seven of the following indicators in forest ecosystems, as further set out in Annex VI, chosen on the basis of their ability to demonstrate the enhancement of biodiversity of forest ecosystems within the Member States concerned: (a) standing deadwood (b) lying deadwood (c) share of forests with uneven-aged structure (d) forest connectivity (e) stock of organic carbon (f) share of forests dominated by native tree species (g) tree species diversity. 'Nature Restoration Law';TA6_Preserving and protecting biodiversity;Enhancing Forest Biodiversity;The target sets indicators for improving forest biodiversity, supporting ecosystem health and resilience.
TA4.19;The yearly quantity of aviation fuel uplifted by a given aircraft operator at a given Union airport shall be at least 90% of the yearly aviation fuel required, to avoid tankering practices which would bring additional emissions from extra weight. Regulation (EU) 2023/2405;TA4_Sustainable and smart mobility;Optimizing Aviation Fuel Use;This target aims to optimize aviation fuel use, reducing emissions associated with tankering practices.
TA4.34;Member States shall ensure that a minimum shore-side electricity supply for seagoing container ships and seagoing passenger ships is provided in TEN-T maritime ports. To that end, by 31 December 2029 TEN-T core and comprehensive maritime ports [...] are equipped to provide each year shore-side electricity supply for at least 90 % of the total number of port calls of seagoing container ships above 5.000 gross tonnes that are moored at the quayside at the maritime port concerned and 90% of the total number of port calls of seagoing ro-ro passenger ships above 5.000 gross tonnes and seagoing high-speed passenger craft above 5.000 gross tonnes that are moored at the quayside at the maritime port concerned Regulation (EU) 2023/1804;TA4_Sustainable and smart mobility;Providing Shore-Side Electricity;The target focuses on providing shore-side electricity to ships, reducing emissions from maritime transport.
TA5.13;Reduce food waste. Prevent food loss and waste. Halve per capita food waste at retail and consumer levels* *See also Directive (EU) 2018/851 on waste with a target on food waste reduction of 30% by 2025;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Reducing Food Waste;This target aims to significantly reduce food waste, promoting sustainability and resource efficiency.
TA7.4;The Industrial Emissions Directive (IED) aims at preventing or reducing emissions from large industrial installations and intensive farming into the environment. The revised IED includes new provisions related to resource, energy and water efficiency and to the reduction of use and emissions of hazardous substances. The scope has been widened to include metal mining, batteries giga-factories, waste landfills and intensive farming. The revised IED contains also a set of measures to facilitate and accelerate the uptake of innovative techniques by industry. Directive 2024/1785 on Industrial Emissions and the landfill of waste;TA7_Towards a zero-pollution ambition for a toxic free environment;Reducing Industrial Emissions;This target focuses on reducing emissions from industrial activities, supporting a cleaner and healthier environment.
TA3.32;Member States shall take the necessary measures to attain a recycling target of 50% of plastic by weight of plastic contained in packaging waste generated by 31 December 2025, and of 55% by weight of plastic in packaging waste generated by 31 December 2030. Proposal on packaging and packaging waste;TA3_Industrial strategy for a clean and circular economy;Enhancing Plastic Recycling;The target sets specific recycling goals for plastic, supporting circular economy practices.
TA2.7;Over this decade, the EU will need to install, on average, approximately 45 GW per year of PV to reach the share of 45% of energy coming from renewables set out in the REPowerEU Plan. EU Solar Energy Strategy;TA2_Clean, affordable and secure energy;Expanding Solar Energy;The target focuses on increasing solar energy capacity, supporting the transition to renewable energy sources.
TA3.1;Halve the amount of residual (non-recycled) municipal waste by 2030 A new Circular Economy Action Plan;TA3_Industrial strategy for a clean and circular economy;Reducing Municipal Waste;This target aims to halve residual municipal waste, promoting recycling and waste reduction.
TA6.30;Marine ecosystems. Member States shall put in place [...] measures [...] to jointly cover, as a Union target, throughout the areas and ecosystems [...] defined in Art. 2, by 2030, at least 20% of sea areas in need of restoration and, by 2050, all ecosystems in need of restoration. 'Nature Restoration Law';TA6_Preserving and protecting biodiversity;Restoring Marine Ecosystems;The target focuses on restoring marine ecosystems, supporting biodiversity and environmental health.
TA5.11;Biodiversity conservation and restoration of natural resources: Protect the environment and restore natural resources. Preserve biodiversity and reduce biodiversity loss.;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Conserving Biodiversity;This target emphasizes biodiversity conservation and natural resource restoration, supporting environmental sustainability.
TA4.8;Member States with maritime ports shall endeavour to ensure that as of 2030 the share of renewable fuels of non-biological origin (RFNBOs) in the total amount of energy supplied to the maritime transport sector is at least 1.2%. Directive (EU) 2023/2413;TA4_Sustainable and smart mobility;Increasing Renewable Fuels in Maritime Transport;The target aims to increase the share of renewable fuels in maritime transport, supporting clean energy goals.
TA3.19;Any natural or legal person that places on the market products incorporating portable batteries shall ensure that those batteries are readily removable and replaceable by the end-user at any time during the lifetime of the product. That obligation shall only apply to entire batteries and not to individual cells or other parts included in such batteries. Regulation (EU) 2023/1542;TA3_Industrial strategy for a clean and circular economy;Improving Battery Design;This target focuses on making batteries more user-friendly and sustainable, supporting circular economy principles.
TA2.21;Member States shall ensure that the total final energy consumption of all public bodies combined is reduced by at least 1.9% each year, when compared to 2021. Directive (EU) 2023/1791;TA2_Clean, affordable and secure energy;Reducing Energy Consumption in Public Sector;The target focuses on reducing energy consumption in the public sector, contributing to energy efficiency and sustainability.
TA4.3;The yearly average GHG intensity of the energy used on board by a ship during a reporting period shall be reduced, compared to the reference value (91.16 gCO2e/MJ) by: 2% from 1 January 2025, 6% from 1 January 2030, 14.5% from 1 January 2035, 31% from 1 January 2040, 62% from 1 January 2045, 80% from 1 January 2050. Regulation (EU) 2023/1805;TA4_Sustainable and smart mobility;Reducing GHG Intensity in Shipping;This target aims to reduce the greenhouse gas intensity of shipping, supporting climate goals and sustainable transport.
TA3.8;By 2030, Union extraction capacity should be able of extracting the ores, minerals or concentrates needed to produce at least 10% of the Union’s annual consumption of strategic raw materials, to the extent possible in light of the Union’s reserves. Regulation (EU) 2024/1252;TA3_Industrial strategy for a clean and circular economy;Increasing Raw Material Extraction;The target focuses on increasing the extraction capacity for strategic raw materials, supporting industrial sustainability.
TA2.17;A target of 15% electricity interconnection for 2030 RED III (Directive (EU) 2023/2413);TA2_Clean, affordable and secure energy;Enhancing Electricity Interconnection;The target aims to increase electricity interconnection, supporting energy security and integration.
TA1.9;EU ETS. The contribution of the sectors covered by the existing EU Emission trading System (EU ETS) with respect to the EU Climate ambition should be of -62% compared to 2005 (increasing the linear emissions reduction factor from 2.2% per year up to 4.4%), by 2030 Directive (EU) 2023/959;TA1_Climate ambition;Reducing Emissions through EU ETS;This target focuses on reducing emissions through the EU Emission Trading System, supporting climate goals.
TA6.36;(urban ecosystems) By 2030, Member States shall ensure that there is no net loss in the total national area of urban green space, and of urban tree canopy cover in urban ecosystem areas. Member States may exclude from that total national area the urban ecosystem areas in which the share of urban green space in the urban centres and urban clusters exceeds 45% and the share of urban tree canopy cover therein exceeds 10%. 'Nature Restoration Law';TA6_Preserving and protecting biodiversity;Maintaining Urban Green Space;The target aims to prevent the loss of urban green spaces, supporting biodiversity and urban environmental quality.
TA3.16;Producers of portable batteries or, where appointed in accordance with Article 57(1), producer responsibility organisations, shall attain, and maintain durably, at least the following collection targets for waste portable batteries: - 45% by 31 December 2023, - 63% by 31 December 2027, - 73% by 31 December 2030. Regulation (EU) 2023/1542;TA3_Industrial strategy for a clean and circular economy;Increasing Battery Collection;This target sets collection targets for waste portable batteries, supporting recycling and circular economy goals.
TA5.35;Preparedness, shock resilience, adaptation and transformation: Strengthen the resilience of the EU food system. Build up resilience to climate change, possible future diseases and pandemics. Increasing the sustainability of food producers will ultimately increase their resilience.;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Enhancing Food System Resilience;The target focuses on building resilience in the food system, supporting sustainability and adaptation to climate change.
TA7.6;Improve soil quality by reducing chemical pesticides’ use by 50%, by 2030;TA7_Towards a zero-pollution ambition for a toxic free environment;Improving Soil Quality;This target aims to enhance soil quality by reducing pesticide use, supporting environmental health and sustainability.
TA2.25;Reduce buildings’ final energy consumption by 14%. A Renovation Wave for Europe;TA2_Clean, affordable and secure energy;Reducing Energy Consumption in Buildings;The target focuses on decreasing energy consumption in buildings, contributing to energy efficiency and sustainability.
TA5.23;Employment and working conditions: Create new job opportunities. Improve working conditions, ensure occupation health and safety.;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Improving Employment Conditions;This target emphasizes improving employment conditions and creating job opportunities, supporting social sustainability.
TA5.17;Sectorial growth: Help farmers and fishers to strengthen their position in the supply chain and to capture a fair share of the added value of sustainable production;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Supporting Farmers and Fishers;The target focuses on enhancing the economic position of farmers and fishers, supporting fair trade and sustainability.
TA6.42;ecosystems. Member States shall put in place the restoration measures that are necessary to re-establish the habitat types of groups 1-6 listed in Annex II in areas not covered by those habitat types with the aim to reach their favourable reference area. Such measures shall be in place on areas representing at least 30% of the additional overall surface needed to reach the total favourable reference area of each group of habitat types, as quantified in the national restoration plan referred to in Article 12, by 2030, at least 60% of that surface by 2040, and 100% of that surface by 2050. 'Nature Restoration Law';TA6_Preserving and protecting biodiversity;Restoring Ecosystems;This target focuses on restoring various ecosystems to their favourable reference areas, supporting biodiversity conservation.
TA1.15;Reduce buildings’ greenhouse gas emissions by 60%, by 2030 (compared to 2015), and reach climate neutrality by 2050 A Renovation Wave for Europe;TA1_Climate ambition;Reducing GHG Emissions in Buildings;This target aims to significantly reduce greenhouse gas emissions from buildings, supporting climate neutrality goals.
TA3.28;The plastic part in packaging shall contain the following minimum percentage of recycled content recovered from post-consumer plastic waste, per unit of packaging: From 1 January 2030 (i) 30% for contact sensitive packaging made from polyethylene terephthalate (PET) as major component, (ii) 10% for contact sensitive made from plastic materials other than PET, except single use plastic bottles, (iii) 30% for single use plastic beverage bottles, (iv) 35% for other plastic packaging From 1 January 2040 (v) 50% for contact sensitive plastic packaging, except single use plastic beverage bottles, (vi) 65% for single use plastic beverage bottles, (vii) 65% for other plastic packaging Proposal on packaging and packaging waste;TA3_Industrial strategy for a clean and circular economy;Increasing Recycled Content in Packaging;The target sets minimum recycled content requirements for plastic packaging, supporting circular economy practices.
TA5.32;Food security: Ensuring food security and access to quality, safe, sustainable, nutritious food for all.;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Ensuring Food Security;This target focuses on ensuring access to sustainable and nutritious food, supporting food security and public health.
TA1.7;Reduce methane emissions by 35 to 37% compared to 2005 levels, by 2030 An EU Strategy to reduce methane emissions;TA1_Climate ambition;Reducing Methane Emissions;This target aims to significantly reduce methane emissions, supporting climate goals and reducing greenhouse gases.
TA3.24;Reduce the generation of food waste in processing and manufacturing by 10% in comparison to the amount generated in 2020 Proposal amending Directive 2008/98/EC on waste;TA3_Industrial strategy for a clean and circular economy;Reducing Food Waste in Manufacturing;This target focuses on decreasing food waste in processing and manufacturing, promoting sustainability and resource efficiency.
TA2.15;By 2022, achieve 18% of the total increase in the share of energy from renewable sources between that Member State’s binding 2020 national target, and its contribution to the 2030 target of the share of energy from renewable sources in gross final consumption of energy. Achieve 43% by 2025, 65% by 2027. RED III (Directive (EU) 2023/2413);TA2_Clean, affordable and secure energy;Increasing Renewable Energy Share;The target sets specific goals for increasing the share of renewable energy, supporting the transition to clean energy.
TA3.29;Member States shall take measures to achieve a sustained reduction in the consumption of lightweight plastic carrier bags on their territory. A sustained reduction is achieved if the annual consumption does not exceed 40 lightweight plastic carrier bags per person, or the equivalent target in weight, by 31 December 2025, and subsequently by 31 December in each year thereafter. Proposal on packaging and packaging waste;TA3_Industrial strategy for a clean and circular economy;Reducing Plastic Bag Consumption;This target aims to reduce the consumption of lightweight plastic carrier bags, promoting waste reduction and sustainability.
TA3.31;Member States shall take the necessary measures to attain the recycling targets of 65% by weight of all packaging waste generated by 31 December 2025, and of 70% by weight of all packaging waste generated by 31 December 2030. Proposal on packaging and packaging waste;TA3_Industrial strategy for a clean and circular economy;Increasing Packaging Waste Recycling;The target sets ambitious recycling targets for packaging waste, supporting circular economy practices.
TA1.13;No debit rule. For the period from 2021 to 2025, each Member State shall ensure that greenhouse gas emissions from the sector do not exceed greenhouse gas removals, calculated as the sum of total emissions and total removals on its territory in all the land accounting categories. The accounting benchmark for the EU is ca. -229 MtCO2e/year for 2021-2025 LULUCF Regulation;TA1_Climate ambition;Balancing Emissions and Removals;This target focuses on ensuring that emissions do not exceed removals, supporting climate goals and carbon neutrality.
TA7.13;Reduce by 25% the EU ecosystems where air pollution threatens biodiversity, by 2030 (compared to 2005) (2030 target contributing to the 2050 ambition of a toxic-free environment);TA7_Towards a zero-pollution ambition for a toxic free environment;Reducing Air Pollution Impact on Biodiversity;This target aims to reduce the impact of air pollution on biodiversity, supporting environmental health and conservation.
TA6.13;11. At least 25.000 km of free-flowing rivers are restored;TA6_Preserving and protecting biodiversity;Restoring Free-Flowing Rivers;This target focuses on restoring free-flowing rivers, supporting biodiversity and ecosystem health.
TA4.18;The share of biofuels and biogas produced from the feedstock listed in Part B of Annex IX in the energy content of fuels and electricity supplied to the transport sector shall, except in Cyprus and Malta, be limited to 1.7%. Directive (EU) 2023/2413;TA4_Sustainable and smart mobility;Limiting Biofuels and Biogas in Transport;This target sets a limit on the share of biofuels and biogas in transport, supporting sustainable energy use.
TA4.32;States shall ensure that, at all airports of the TEN-T core network and TEN-T comprehensive network, the provision of electricity supply to stationary aircraft is ensured by 31 December 2029, at all aircraft remote stands used for commercial air transport operations to embark or disembark passengers or to load or unload goods Regulation (EU) 2023/1804;TA4_Sustainable and smart mobility;Providing Electricity to Stationary Aircraft;The target focuses on providing electricity to stationary aircraft, reducing emissions from aviation.
TA3.36;Member States shall take the necessary measures to attain a recycling target of 70% of glass by weight of glass contained in packaging waste generated by 31 December 2025 and of 75% by 31 December 2030 Proposal on packaging and packaging waste;TA3_Industrial strategy for a clean and circular economy;Increasing Glass Recycling;The target sets specific recycling goals for glass, supporting circular economy practices.
TA3.17;Producers of LMT batteries or, where appointed in accordance with Article 57(1), producer responsibility organisations, shall attain, and maintain durably, at least the following collection targets of waste LMT batteries: - 51% by 31 December 2028, - 61% by 31 December 2031. Regulation (EU) 2023/1542;TA3_Industrial strategy for a clean and circular economy;Increasing Battery Collection;This target sets collection targets for waste LMT batteries, supporting recycling and circular economy goals.
TA6.14;12. There is a 50% reduction in the number of Red List species threatened by Invasive Alien Species (IAS) Biodiversity Strategy;TA6_Preserving and protecting biodiversity;Reducing Threats from Invasive Species;This target aims to reduce the threat of invasive species to biodiversity, supporting conservation efforts.
TA6.40;(pollinator) Member States shall, by putting in place in a timely manner appropriate and effective measures, improve pollinator diversity and reverse the decline of pollinator populations at the latest by 2030 and thereafter achieve an increasing trend of pollinator populations, measured at least every six years from 2030, until satisfactory levels are achieved, as set in accordance with Article 14(5). 'Nature Restoration Law' Parallel target of the Biodiversity Strategy: “5. The decline of pollinators is reversed”;TA6_Preserving and protecting biodiversity;Improving Pollinator Diversity;This target focuses on reversing the decline of pollinators, supporting biodiversity and ecosystem health.
TA6.39;Natural connectivity of rivers and natural functions of the related floodplains. Member States shall make an inventory of artificial barriers and remove them to connectivity of surface waters and, taking into account their socio-economic functions, identify the barriers that need to be removed to contribute to the achievement of the restoration targets set out in Article 4 of this Regulation and of the objective of restoring at least 25.000 km of rivers into free-flowing rivers in the Union. 'Nature Restoration Law' (Parallel target of the Biodiversity Strategy: “11. At least 25.000 km of free-flowing rivers are restored”);TA6_Preserving and protecting biodiversity;Restoring River Connectivity;This target focuses on removing barriers to river connectivity, supporting ecosystem health and biodiversity.
TA6.10;7. At least 10% of agricultural area is under high-diversity landscape features Biodiversity Strategy;TA6_Preserving and protecting biodiversity;Enhancing Agricultural Biodiversity;This target aims to increase high-diversity landscape features in agriculture, supporting biodiversity and ecosystem health.
TA6.29;Terrestrial ecosystems. Member States shall put in place [...] measures [...] to jointly cover, as a Union target, throughout the areas and ecosystems [...] defined in Art. 2, by 2030, at least 20% of land areas in need of restoration and, by 2050, all ecosystems in need of restoration. 'Nature Restoration Law';TA6_Preserving and protecting biodiversity;Restoring Terrestrial Ecosystems;This target focuses on restoring terrestrial ecosystems, supporting biodiversity and environmental health.
TA5.3;Reduce nutrient losses by at least 50%, while ensuring that there is no deterioration in soil fertility.;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Reducing Nutrient Losses;This target aims to cut nutrient losses in agriculture, supporting soil health and environmental sustainability.
TA2.13;The amount of renewable fuels and renewable electricity supplied to the transport sector leads to a: (i) share of renewable energy within the final consumption of energy in the transport sector of at least 29 % by 2030, or (ii) GHG intensity reduction of at least 14.5 % by 2030, compared to the baseline set out in Article 27(1), in accordance with an indicative trajectory set by the Member State. RED III (Directive (EU) 2023/2413);TA2_Clean, affordable and secure energy;Increasing Renewable Energy in Transport;The target focuses on increasing the share of renewable energy in transport, supporting clean energy goals.
TA2.18;Indicative target of at least a 49% share of energy from renewable sources in the building sector in the Union’s final energy consumption in buildings in 2030. RED III (Directive (EU) 2023/2413);TA2_Clean, affordable and secure energy;Increasing Renewable Energy in Buildings;The target sets a goal for renewable energy use in buildings, supporting the transition to clean energy.
