```csv;;;;
target_code;target_content;thematic_area;sub_theme;justification
TA1.10;ETS2. Contribution of the buildings and road transport sectors of 43% emission reductions by 2030 compared to 2005 and of the additional sectors, a combined cost-efficient contribution of 42% emission reductions by 2030 compared to 2005 Directive (EU) 2023/959;TA1_Climate ambition;Emission Reductions;The target aims to achieve significant emission reductions in buildings and transport, aligning with climate goals.
TA4.29;By 31 December 2030, in each urban node publicly accessible recharging points dedicated to heavy-duty electric vehicles with an aggregated power output of at least 1 800 kW are deployed, provided by recharging stations with an individual power output of at least 150 kW. Regulation (EU) 2023/180;TA4_Sustainable and smart mobility;Heavy-Duty Vehicle Charging;The target focuses on establishing charging infrastructure for heavy-duty electric vehicles, supporting the transition to cleaner transport.
TA2.6;Energy demand to be covered by solar heat and geothermal should at least triple (rate is currently at 1.5%) EU Solar Energy Strategy;TA2_Clean, affordable and secure energy;Solar and Geothermal Energy;This target aims to significantly increase the use of solar and geothermal energy, contributing to renewable energy goals.
TA2.24;Each Member State shall ensure that at least 3% of the total floor area of heated and/or cooled buildings (of buildings which have a total useful floor area of over 250 m2 and are not nearly-zero energy buildings) that are owned by public bodies is renovated each year to be transformed into at least nearly zero-energy buildings or zero-emission buildings in accordance with Article 9 of Directive 2010/31/EU. Directive (EU) 2023/1791;TA2_Clean, affordable and secure energy;Public Building Renovation;The target focuses on renovating public buildings to improve energy efficiency and reduce emissions.
TA2.11;By 31 December 2025, each Member State shall agree to establish a framework for cooperation on joint projects with one or more other Member States for the production of renewable energy, subject to the following: by 31 December 2030, Member States shall endeavour to agree on establishing at least two joint projects, by 31 December 2033, Member States with an annual electricity consumption of more than 100 TWh shall endeavour to agree on establishing a third joint project. RED III (Directive (EU) 2023/2413);TA2_Clean, affordable and secure energy;Renewable Energy Cooperation;This target encourages cooperation between Member States on renewable energy projects, promoting shared clean energy initiatives.
TA6.1;1.a Legally protect a minimum of 30% of the EU’s land area;TA6_Preserving and protecting biodiversity;Land Protection;The target aims to legally protect a significant portion of EU land, contributing to biodiversity conservation.
TA5.15;Consumption footprint: Reduce the environmental and climate footprint of the EU food system, operating within planetary boundaries. Reduce the EU’s contribution to global deforestation and forest degradation.;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Sustainable Food Systems;This target focuses on reducing the environmental impact of the EU food system, aligning with sustainability goals.
TA5.25;Animal welfare: Promote better animal welfare to improve animal health and food quality.;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Animal Welfare;The target aims to enhance animal welfare, which is crucial for improving food quality and ethical standards.
TA4.25;Member States shall ensure that, at the end of each year, the following power output targets are met cumulatively: (a) for each light-duty battery electric vehicle registered in their territory, a total power output of at least 1.3 kW is provided through publicly accessible recharging stations, and (b) for each light-duty plug-in hybrid vehicle registered in their territory, a total power output of at least 0.80 kW is provided through publicly accessible recharging stations. Regulation (EU) 2023/1804;TA4_Sustainable and smart mobility;Electric Vehicle Charging;This target sets specific power output requirements for recharging stations, supporting the infrastructure for electric vehicles.
TA3.15;Producers of starting, lighting and ignition batteries, industrial batteries and electric vehicle batteries or, where appointed in accordance with Article 57(1), producer responsibility organisations, shall take back, free of charge and without an obligation on the end-user to buy a new battery, nor to have bought the battery from them, and shall ensure that all waste starting, lighting and ignition batteries, waste industrial batteries and waste electric vehicle batteries regardless of their nature, chemical composition, condition, brand, or origin of the respective category that they have made available on the market for the first time in the territory of that Member State are collected separately. Regulation (EU) 2023/1542;TA3_Industrial strategy for a clean and circular economy;Battery Take-Back and Recycling;This target mandates the take-back and recycling of various battery types, promoting circular economy practices.
TA6.46;(agricultural ecosystems) Member States shall put in place measures which shall aim to restore organic soils in agricultural use constituting drained peatlands. Those measures shall be in place on at least: (a) 30% of such areas by 2030, of which at least a quarter shall be rewetted, (b) 40% of such areas by 2040, of which at least a third shall be rewetted, (c) 50% of such areas by 2050, of which at least a third shall be rewetted. 'Nature Restoration Law';TA6_Preserving and protecting biodiversity;Peatland Restoration;The target focuses on restoring organic soils in peatlands, which is crucial for biodiversity and carbon sequestration.
TA4.9;Cut the emissions of transport sector by 90% by 2050 relative to 1990. Sustainable and Smart Mobility Strategy;TA4_Sustainable and smart mobility;Transport Emission Reduction;This target sets a long-term goal for reducing transport emissions, aligning with climate and sustainability objectives.
TA3.23;All recycling shall achieve at least the following targets for recovery of materials, 50% for lithium, no later than 31 December 2027, and 80% for lithium no later than 31 December 2031. Regulation (EU) 2023/1542;TA3_Industrial strategy for a clean and circular economy;Material Recovery;The target focuses on achieving specific recovery rates for lithium, which is essential for resource efficiency and sustainability.
TA3.3;Double EU’s circular material use rate in the coming decade A new Circular Economy Action Plan;TA3_Industrial strategy for a clean and circular economy;Circular Material Use;This target aims to increase the circular use of materials, promoting resource efficiency and sustainability.
TA4.13;For [...] “urban buses” manufacturers shall comply with the 90% (in the reporting period 2030-2034) and 100% (as from 2035) minimum shares in their fleet of new heavy-duty vehicles Regulation (EU) 2024/1610;TA4_Sustainable and smart mobility;Urban Bus Electrification;The target sets electrification goals for urban buses, supporting the transition to cleaner public transport.
TA5.20;Trade: Foster the competitiveness of the EU supply sector.;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Trade Competitiveness;The target aims to enhance the competitiveness of the EU supply sector, supporting economic sustainability.
TA2.34;Member States shall ensure that the average primary energy use of the entire residential building stock decreases by at least 16% compared to 2020 by 2030, and by at least 20-22% compared to 2020 by 2035 EPBD (Directive (EU) 2024/1275);TA2_Clean, affordable and secure energy;Residential Energy Efficiency;This target focuses on reducing energy use in residential buildings, contributing to energy efficiency and emissions reductions.
TA2.40;Around 30% of EU primary steel production is expected to be decarbonised on the basis of renewable hydrogen. REPowerEU;TA2_Clean, affordable and secure energy;Steel Decarbonisation;The target aims to decarbonize steel production using renewable hydrogen, aligning with clean energy and industrial goals.
TA3.27;All packaging shall be recyclable Proposal on packaging and packaging waste;TA3_Industrial strategy for a clean and circular economy;Recyclable Packaging;This target mandates that all packaging be recyclable, promoting circular economy practices.
TA4.1;Achieve an annual production of sustainable biomethane of 35 billion cubic meters by 2030 Directive (EU) 2023/2413;TA4_Sustainable and smart mobility;Biomethane Production;The target sets a goal for biomethane production, contributing to renewable energy and emissions reduction.
TA1.11;ESR. Increased national targets in line with an EU-wide reduction of 40% in the ESR sectors compared to 2005. Member States contribute to the overall EU reduction in 2030 with targets ranging from -10% to -50% below 2005 level (sectors: transport, buildings, agriculture and waste) Regulation (EU) 2023/857;TA1_Climate ambition;Sectoral Emission Reductions;The target sets emission reduction goals for various sectors, aligning with climate objectives.
TA6.51;Member States shall take the measures necessary to ensure that water intended for human consumption is wholesome and clean, by meeting several requirements related to micro-organisms and parasites which constitute a potential danger to human health and quality standards recalled in the Directive. Directive 2020/2184 (‘Drinking Water Directive');TA6_Preserving and protecting biodiversity;Drinking Water Quality;The target focuses on ensuring clean and safe drinking water, which is essential for public health and biodiversity.
TA7.8;Improve soil quality by reducing nutrient losses use by 50%, by 2030;TA7_Towards a zero-pollution ambition for a toxic free environment;Soil Quality Improvement;The target aims to improve soil quality by reducing nutrient losses, contributing to environmental health and sustainability.
TA6.47;(trees) When identifying and implementing the restoration measures to meet the objectives and obligations set out in Articles 4, 6, 7, 8, 9 and 10, Member States shall aim to contribute to the commitment of planting at least three billion additional trees by 2030 at Union level. 'Nature Restoration Law' Parallel target of the Biodiversity Strategy: “9. Three billion trees are planted in the EU, in full respect of ecological principles”;TA6_Preserving and protecting biodiversity;Tree Planting;The target focuses on planting additional trees, which is crucial for biodiversity and carbon sequestration.
TA5.19;Price: Preserve the price affordability of food.;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Food Price Affordability;The target aims to maintain food price affordability, ensuring access to nutritious food for all.
TA5.22;Transport, accessibility and infrastructure: Create shorter supply chains will support reducing dependence on long-haul transportation.;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Supply Chain Optimization;The target focuses on optimizing supply chains to reduce transportation dependence, supporting sustainability and efficiency.
TA6.43;Marine ecosystems. Member States shall ensure, by 2030 at the latest, that the condition is known for at least 50% of the area distributed over all habitat types listed in groups 1–6 of Annex II. The condition of all areas of groups 1–6 of habitat types listed in Annex II shall be known by 2040. Member States shall also ensure, by 2040 at the latest, that the condition is known for at least 50% of the area distributed over all habitat types listed in group 7 of Annex II. The condition of all areas of group 7 of habitat types listed in Annex II shall be known by 2050. 'Nature Restoration Law';TA6_Preserving and protecting biodiversity;Marine Ecosystem Monitoring;The target focuses on monitoring marine ecosystems, which is crucial for understanding and protecting biodiversity.
TA3.21;Recycling shall achieve at least the following targets for recycling efficiency: - No later than 31 December 2025, 65% by average weight of lithium-based batteries, - No later than 31 December 2030, 70% by average weight of lithium-based batteries. Regulation (EU) 2023/1542;TA3_Industrial strategy for a clean and circular economy;Battery Recycling;This target sets specific recycling efficiency goals for lithium-based batteries, promoting resource efficiency.
TA3.25;Reduce the generation of food waste per capita, jointly in retail and other distribution of food, in restaurants and food services and in households, by 30% in comparison to the amount generated in 2020 Proposal amending Directive 2008/98/EC on waste;TA3_Industrial strategy for a clean and circular economy;Food Waste Reduction;The target focuses on reducing food waste, which is crucial for resource efficiency and sustainability.
TA6.38;(urban ecosystems) Member States shall achieve, in each urban ecosystem area, determined in accordance with Article 14(4), an increasing trend of urban tree canopy cover, measured every six years after 31 December 2030, until the satisfactory level identified in accordance with Article 14(5) is reached. 'Nature Restoration Law';TA6_Preserving and protecting biodiversity;Urban Tree Canopy;The target focuses on increasing urban tree canopy cover, which is important for urban biodiversity and climate resilience.
TA5.9;Increase organic farming with the aim to achieve at least 25% of total farmland under organic farming by 2030 Target in Common with Biodiversity Strategy (see Thematic Area 6);TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Organic Farming;The target aims to increase organic farming, which supports biodiversity and sustainable agriculture.
TA2.39;The strategy sets targets for an installed capacity of at least 1 GW of ocean energy by 2030 and 40 GW by 2050 An EU offshore Renewable Energy Strategy;TA2_Clean, affordable and secure energy;Ocean Energy;This target sets goals for ocean energy capacity, contributing to renewable energy diversification.
TA6.33;Terrestrial, coastal and freshwater ecosystems. Member States shall put in place the restoration measures for the terrestrial, coastal and freshwater habitats of the species listed in Annexes II, IV and V to Directive 92/43/EEC and of the terrestrial, coastal and freshwater habitats of wild birds covered by Directive 2009/147/EC [...] to improve the quality and quantity of those habitats, including by re-establishing them, and to enhance connectivity, until sufficient quality and quantity of those habitats is achieved. 'Nature Restoration Law';TA6_Preserving and protecting biodiversity;Ecosystem Restoration;The target focuses on restoring various ecosystems, which is crucial for biodiversity conservation and habitat connectivity.
TA3.9;By 2030, Union processing capacity, including for all intermediate processing steps, should be able of producing at least 40% of the Union’s annual consumption of strategic raw materials. Regulation (EU) 2024/1252;TA3_Industrial strategy for a clean and circular economy;Strategic Raw Material Processing;This target emphasizes increasing processing capacity for strategic raw materials, crucial for resource efficiency and sustainability.
TA5.31;Properties of food: Increase reformulation of food products in line with guidelines for healthy and sustainable diets;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Food Reformulation;The target focuses on reformulating food products to align with health and sustainability guidelines, supporting better nutrition.
TA2.29;Member states will have to renovate 16% of worst-performing non-residential buildings by 2030 and, by 2033, the worst-performing 26% through minimum energy performance requirements. EPBD (Directive (EU) 2024/1275);TA2_Clean, affordable and secure energy;Non-Residential Building Renovation;This target focuses on renovating non-residential buildings to improve energy performance, contributing to energy efficiency.
TA3.18;For industrial batteries with a capacity greater than 2kWh, except those with exclusively external storage, electric vehicle batteries and starting, lighting and ignition batteries that contain cobalt, lead, lithium or nickel in active materials, the minimum recycled content percentage for each battery model per year and per manufacturing plant shall be: From 18 August 2031, 16% cobalt, 85% lead, 6% lithium, and 6% nickel, From 18 August 2036, 26% cobalt, 85% lead, 12% lithium, and 15% nickel. Regulation (EU) 2023/1542;TA3_Industrial strategy for a clean and circular economy;Battery Recycled Content;This target sets minimum recycled content requirements for industrial batteries, promoting resource efficiency and sustainability.
TA2.10;Member States shall set an indicative target for innovative renewable energy technology of at least 5% of newly installed renewable energy capacity by 2030. RED III (Directive (EU) 2023/2413);TA2_Clean, affordable and secure energy;Innovative Renewable Energy;The target encourages the adoption of innovative renewable energy technologies, supporting clean energy transition.
TA5.30;Food affordability: Ensure affordability to sufficient, nutritious and sustainable food;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Food Affordability;The target aims to ensure that food remains affordable, supporting access to nutritious and sustainable diets.
TA6.15;13. The losses of nutrients from fertilisers are reduced by 50%, resulting in the reduction of the use of fertilisers by at least 20%* Biodiversity Strategy See also assessment in Thematic Area 7;TA6_Preserving and protecting biodiversity;Nutrient Loss Reduction;The target focuses on reducing nutrient losses from fertilizers, which is crucial for protecting biodiversity and water quality.
TA3.50;Member States shall ensure that the following targets are met by the waste management operators: (a) the reuse and recovery, as calculated together, shall be a minimum of 95 %, by average weight per vehicle, excluding batteries, and year, (b) the reuse and recycling, as calculated together, shall be a minimum of 85 %, by average weight per vehicle, excluding batteries, and year. Proposal for a Regulation on circularity requirements for vehicle design and on management of end-of-life vehicles;TA3_Industrial strategy for a clean and circular economy;Vehicle Reuse and Recycling;This target sets high reuse and recycling targets for vehicles, promoting circular economy practices.
TA6.35;Terrestrial, coastal and freshwater ecosystems. Member States shall ensure that there is: (a) an increase of habitat area in good condition for habitat types listed in Annex I until at least 90% is in good condition and until the favourable reference area for each habitat type in each biogeographic region of the Member State concerned is reached, (b) an increasing trend towards the sufficient quality and quantity of the terrestrial, coastal and freshwater habitats of the species referred to in Annexes II, IV and V to Directive 92/43/EEC and of the species covered by Directive 2009/147/EC. 'Nature Restoration Law';TA6_Preserving and protecting biodiversity;Habitat Quality Improvement;The target focuses on improving the quality of various habitats, which is crucial for biodiversity conservation.
TA2.4;Double the current deployment rate of individual heat pumps, resulting in a cumulative 10 million units by 2027 and 30 million units by 2030. REPowerEU;TA2_Clean, affordable and secure energy;Heat Pump Deployment;This target aims to increase the deployment of heat pumps, contributing to energy efficiency and emissions reductions.
TA6.44;(agricultural ecosystems) Member States shall put in place measures which shall aim to achieve an increasing trend at national level of at least two out of the three following indicators in agricultural ecosystems, as further specified in Annex IV, measured in the period from the date of entry into force of this Regulation until 31 December 2030, and every six years thereafter, until the satisfactory levels, identified in accordance with Article 14(5), are reached: (a) grassland butterfly index, (b) stock of organic carbon in cropland mineral soils, (c) share of agricultural land with high-diversity landscape features. 'Nature Restoration Law';TA6_Preserving and protecting biodiversity;Agricultural Ecosystem Indicators;The target focuses on improving indicators of agricultural ecosystem health, which is crucial for biodiversity and sustainability.
TA4.55;Zero-emission in urban logistics The new EU Urban Mobility Framework.;TA4_Sustainable and smart mobility;Urban Logistics Emission Reduction;The target aims to achieve zero emissions in urban logistics, supporting cleaner and more sustainable urban transport.
TA2.23;Member States shall make efforts to collectively contribute to the indicative Union primary energy consumption target amounting to no more than 992.5 Mtoe in 2030. Directive (EU) 2023/1791;TA2_Clean, affordable and secure energy;Energy Consumption Reduction;The target sets a goal for reducing primary energy consumption, contributing to energy efficiency and sustainability.
TA3.34;Member States shall take the necessary measures to attain a recycling target of 70% of ferrous metals by weight of ferrous metals contained in packaging waste generated by 31 December 2025 and of 80% by 31 December 2030 Proposal on packaging and packaging waste;TA3_Industrial strategy for a clean and circular economy;Ferrous Metal Recycling;This target sets specific recycling targets for ferrous metals, promoting resource efficiency and sustainability.
TA6.50;Reach no net land take (EU Soil Strategy for 2030);TA6_Preserving and protecting biodiversity;Land Use Management;The target aims to achieve no net land take, which is crucial for sustainable land use and biodiversity conservation.
TA3.37;Member States shall take the necessary measures to attain a recycling target of 75% of paper and cardboard by weight of paper and cardboard contained in packaging waste generated by 31 December 2025 and of 85% by 31 December 2030 Proposal on packaging and packaging waste;TA3_Industrial strategy for a clean and circular economy;Paper and Cardboard Recycling;This target sets specific recycling targets for paper and cardboard, promoting resource efficiency and sustainability.
TA6.52;The Ambient Air Quality Directives set EU air quality standards for 12 air pollutants: sulphur dioxide, nitrogen dioxide / nitrogen oxides, particulate matter (PM10, PM2.5), ozone, benzene, lead, carbon monoxide, arsenic, cadmium, nickel, and benzo(a)pyrene. The Directives take into account relevant World Health Organisation standards, guidelines and programmes. The Directives also guide the assessment of air quality by establishing a representative high-quality monitoring network, with more than 4.000 air quality monitoring stations across the EU, and by exchanging reliable, objective, comparable information on air quality, including to a wider public. Where levels are elevated above limit or target values, Member States should prepare an air quality plan or programme to address the sources responsible to ensure compliance and to keep exceedance periods as short as possible. In addition, information on air quality should be disseminated to the public.;TA6_Preserving and protecting biodiversity;Air Quality Standards;The target focuses on maintaining air quality standards, which is crucial for public health and environmental protection.
TA4.30;Member States shall ensure that, by 31 December 2030, at least one publicly accessible hydrogen refuelling station is deployed in each urban node. Regulation (EU) 2023/1804;TA4_Sustainable and smart mobility;Hydrogen Refuelling Infrastructure;The target aims to establish hydrogen refuelling stations, supporting the adoption of hydrogen vehicles.
TA5.8;Water: Preserving freshwater, boosting water reuse in agriculture.;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Water Reuse in Agriculture;The target focuses on increasing water reuse in agriculture, which is crucial for water conservation and sustainability.
TA2.5;Bring online over 320 GW of solar photovoltaic by 2025 and almost 600 GW by 2030 EU Solar Energy Strategy;TA2_Clean, affordable and secure energy;Solar Photovoltaic Deployment;This target sets ambitious goals for solar photovoltaic capacity, contributing to renewable energy expansion.
TA5.14;Circular economy: Scale-up and promote sustainable and socially responsible production methods and circular business models in food processing and retail.;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Circular Economy in Food;The target focuses on promoting circular economy practices in food processing and retail, supporting sustainability.
TA6.45;(agricultural ecosystems) Member States shall put in place restoration measures which shall aim to ensure that the common farmland bird index at national level based on the species specified in Annex V reaches the following levels: (a) 110 by 2030, 120 by 2040 and 130 by 2050, for Member States listed in Annex V with historically more depleted populations of farmland birds, (b) 105 by 2030, 110 by 2040 and 115 by 2050, for Member States listed in Annex V with historically less depleted populations of farmland birds. 'Nature Restoration Law';TA6_Preserving and protecting biodiversity;Farmland Bird Conservation;The target focuses on improving farmland bird populations, which is indicative of broader agricultural ecosystem health.
TA3.11;Diversify the Union’s imports of strategic raw materials with a view to ensuring that, by 2030, the Union’s annual consumption of each strategic raw material at any relevant stage of processing can rely on imports from several third countries or from overseas countries or territories (OCTs) and that no third country accounts for more than 65% of the Union’s annual consumption of such a strategic raw material. Regulation (EU) 2024/1252;TA3_Industrial strategy for a clean and circular economy;Strategic Raw Material Diversification;The target aims to diversify imports of strategic raw materials, reducing dependency and enhancing supply chain resilience.
TA7.10;Improve water quality by reducing waste, plastic litter at sea (by 50%);TA7_Towards a zero-pollution ambition for a toxic free environment;Marine Litter Reduction;The target focuses on reducing plastic litter at sea, which is crucial for improving marine water quality and protecting ecosystems.
TA2.41;Member States are required to achieve cumulative end-use energy savings from 2021 to 2030, equivalent to new annual savings of at least 0.8% of final energy consumption in 2021-2023, at least 1.3% in 2024-2025, 1.5% in 2026-2027 and 1.9% in 2028-2030. Directive (EU) 2023/1791;TA2_Clean, affordable and secure energy;Energy Savings;The target sets specific goals for energy savings, contributing to energy efficiency and sustainability.
TA6.28;In accordance with the CFP, it is crucial to continue and accelerate the work of rebuilding and keeping fish stocks above MSY levels (Maximum Sustainable Yield) 'Fisheries and Ocean Pact';TA6_Preserving and protecting biodiversity;Fish Stock Management;The target focuses on maintaining fish stocks above sustainable yield levels, which is crucial for marine biodiversity and fisheries sustainability.
TA6.62;The Water Reuse Regulation aim to encourage and facilitate water reuse in the EU by harmonised minimum water quality requirements for the safe reuse of treated urban wastewaters in agricultural irrigation. Further requirements are set for monitoring, risk management, transparency and permits on production and supply of reclaimed water for agricultural irrigation Regulation 2020/741 (‘Water reuse Regulation’);TA6_Preserving and protecting biodiversity;Water Reuse Regulation;The target focuses on facilitating water reuse in agriculture, which is crucial for water conservation and sustainability.
TA6.9;6. The risk and use of chemical pesticides is reduced by 50%, and the use of more hazardous pesticides is reduced by 50% Biodiversity Strategy Target in common with the Farm to Fork Strategy and already assessed in Thematic Area 5trategy);TA6_Preserving and protecting biodiversity;Pesticide Risk Reduction;The target focuses on reducing pesticide use, which is crucial for protecting biodiversity and human health.
TA7.5;The revised Urban Wastewater Treatment Directive (UWWTD) extends the scope of the 1991 UWWTD to improve and maintain access to sanitation for all, in particular for vulnerable and marginalised groups, while aligning with the ZPAP and EGD climate and energy objectives. This will be ensured by a number of new obligations on secondary treatment, now extended to all agglomerations with at least 1 000 population equivalent , by 2035. Member States will ensure the application of: - Tertiary treatment, for the removal of nitrogen and phosphorus (by 2039) - Quaternary treatment, for the removal of a broad spectrum of micropollutants (by 2045) These apply to larger plants of 150 000 p.e. (and above, with intermediate targets). Directive concerning urban wastewater treatment;TA7_Towards a zero-pollution ambition for a toxic free environment;Wastewater Treatment;The target focuses on improving wastewater treatment, which is crucial for water quality and public health.
TA7.14;Reduce the share of people chronically disturbed by transport noise by 30%, by 2030 (compared to 2017) (2030 target contributing to the 2050 ambition of a toxic-free environment);TA7_Towards a zero-pollution ambition for a toxic free environment;Transport Noise Reduction;The target aims to reduce transport noise, which is crucial for improving quality of life and environmental health.
TA4.31;Member States shall ensure that, by 31 December 2030, publicly accessible hydrogen refuelling stations with a total capacity of at least 1 tonne per day, and equipped with at least a 700 bar dispenser, are deployed at least every 200 km along the TEN-T (Trans-European Transport Network) core network Regulation (EU) 2023/1804;TA4_Sustainable and smart mobility;Hydrogen Refuelling Network;The target focuses on establishing a hydrogen refuelling network, supporting the adoption of hydrogen vehicles.
TA5.27;Food messaging: Provide food information and labelling to empower consumers to make informed, healthy and sustainable food choices. Strengthen educational messages on the importance of healthy nutrition, sustainable food production and consumption, and reducing food waste;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Food Information and Labelling;The target aims to improve food information and labelling, empowering consumers to make sustainable choices.
TA3.52;At least 20% of the carbon used in the chemical and plastic products should be from sustainable non-fossil sources by 2030, in full consideration of the EU's biodiversity and circular economy objectives and of the upcoming policy framework for bio-based, biodegradable and compostable plastics. Communication on Sustainable Carbon Cycles;TA3_Industrial strategy for a clean and circular economy;Sustainable Carbon Sources;The target focuses on increasing the use of sustainable carbon sources in chemical and plastic products, supporting circular economy goals.
