;target_code;target_content;thematic_area;sub_theme;justification;Unnamed: 5;Unnamed: 6;Unnamed: 7
34;TA4.18; The share of biofuels and biogas produced from the feedstock listed in Part B of Annex IX in the energy content of fuels and electricity supplied to the transport sector shall, except in Cyprus and Malta, be limited to 1.7%.; TA4_Sustainable and smart mobility; Biofuels; This target is assigned to the Biofuels sub-theme because it focuses on limiting the share of biofuels produced from certain feedstocks in the transport sector, which is essential for achieving sustainable mobility.;;;
35;;;;;;;;
36;TA4.32; States shall ensure that, at all airports of the TEN-T core network and TEN-T comprehensive network, the provision of electricity supply to stationary aircraft is ensured by 31 December 2029, at all aircraft remote stands used for commercial air transport operations to embark or disembark passengers or to load or unload goods; TA4_Sustainable and smart mobility; Net-Zero Technology - Aviation; This target is assigned to the Net-Zero Technology - Aviation sub-theme because it focuses on providing electricity supply to stationary aircraft, which is essential for reducing greenhouse gas emissions from aviation.;;;
37;;;;;;;;
38;TA5.17; Sectorial growth: Help farmers and fishers to strengthen their position in the supply chain and to capture a fair share of the added value of sustainable production.; TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy; Competitive Agriculture; This target is assigned to the Competitive Agriculture sub-theme because it aims to support farmers and fishers in strengthening their position in the supply chain and capturing a fair share of the added value of sustainable production.;;;
39;;;;;;;;
40;TA5.23; Employment and working conditions: Create new job opportunities. Improve working conditions, ensure occupation health and safety.; TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy; Social Security; This target is assigned to the Social Security sub-theme because it focuses on creating new job opportunities and improving working conditions in the agricultural sector, which is essential for achieving social security.;;;
41;;;;;;;;
42;TA5.32; Food security: Ensuring food security and access to quality, safe, sustainable, nutritious food for all.; TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy; Food affordability; This target is assigned to the Food affordability sub-theme because it aims to ensure food security and access to quality, safe, sustainable, and nutritious food for all, which is essential for achieving food affordability.;;;
43;;;;;;;;
44;TA6.13; 11. At least 25.000 km of free-flowing rivers are restored; TA6_Preserving and protecting biodiversity; Terrestrial Ecosystems Restoration - Rivers; This target is assigned to the Terrestrial Ecosystems Restoration - Rivers sub-theme because it focuses on restoring free-flowing rivers, which is essential for achieving biodiversity conservation.;;;
45;;;;;;;;
46;TA6.42; ecosystems. Member States shall put in place the restoration measures that are necessary to re-establish the habitat types of groups 1-6 listed in Annex II in areas not covered by those habitat types with the aim to reach their favourable reference area.; TA6_Preserving and protecting biodiversity; Terrestrial Ecosystems Restoration; This target is assigned to the Terrestrial Ecosystems Restoration sub-theme because it focuses on restoring habitat types, which is essential for achieving biodiversity conservation.;;;
47;;;;;;;;
48;TA7.13; Reduce by 25% the EU ecosystems where air pollution threatens biodiversity, by 2030 (compared to 2005); TA7_Towards a zero-pollution ambition for a toxic free environment; Improve Air Quality; This target is assigned to the Improve Air Quality sub-theme because it aims to reduce the EU ecosystems where air pollution threatens biodiversity, which is essential for achieving a toxic-free environment.;;;
49;;;;;;;;
50;TA1.7; Reduce methane emissions by 35 to 37% compared to 2005 levels, by 2030; TA1_Climate ambition; Methane; This target is assigned to the Methane sub-theme because it specifically focuses on reducing methane emissions, which is a potent greenhouse gas. The target is also related to climate ambition, as reducing methane emissions is crucial for mitigating climate change.;;;
51;;;;;;;;
52;TA2.7; Over this decade, the EU will need to install, on average, approximately 45 GW per year of PV to reach the share of 45% of energy coming from renewables set out in the REPowerEU Plan.; TA2_Clean, affordable and secure energy; Renewable Energy - Solar; This target is assigned to the Renewable Energy - Solar sub-theme because it focuses on installing solar photovoltaic (PV) capacity, which is essential for achieving a clean and secure energy system.;;;
53;;;;;;;;
54;TA3.7; The EU will need to reduce its consumption footprint, keep its resource consumption within planetary boundaries, increase the circular material use rate, and reduce waste generation.; TA3_Industrial strategy for a clean and circular economy; Circularity/Recycling; This target is assigned to the Circularity/Recycling sub-theme because it focuses on reducing consumption footprint, keeping resource consumption within planetary boundaries, increasing circular material use rate, and reducing waste generation, which are all essential for achieving a circular economy.;;;
55;;;;;;;;
56;TA4.7; The EU will need to accelerate the transition to zero-emission vehicles, including cars, vans, buses, and trucks, and increase the use of alternative fuels such as hydrogen and advanced biofuels.; TA4_Sustainable and smart mobility; Net-Zero Technology - Road Vehicles; This target is assigned to the Net-Zero Technology - Road Vehicles sub-theme because it focuses on accelerating the transition to zero-emission vehicles and increasing the use of alternative fuels, which is essential for achieving sustainable mobility.;;;
57;;;;;;;;
58;TA5.7; The EU will need to reduce the environmental and climate footprint of its food system, including by reducing greenhouse gas emissions, protecting biodiversity, and promoting sustainable agriculture.; TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy; Food quality - Sustainable Food; This target is assigned to the Food quality - Sustainable Food sub-theme because it focuses on reducing the environmental and climate footprint of the food system, which is essential for achieving sustainable food production and consumption.;;;
59;;;;;;;;
60;TA6.7; The EU will need to protect and restore biodiversity, including by restoring ecosystems, protecting species, and promoting sustainable land use.; TA6_Preserving and protecting biodiversity; Biodiversity Protection & Conservation; This target is assigned to the Biodiversity Protection & Conservation sub-theme because it focuses on protecting and restoring biodiversity, which is essential for achieving biodiversity conservation.;;;
61;;;;;;;;
62;TA7.7; The EU will need to reduce pollution, including by reducing air pollution, water pollution, and waste generation, and promoting a toxic-free environment.; TA7_Towards a zero-pollution ambition for a toxic free environment; Environmental Pollution; This target is assigned to the Environmental Pollution sub-theme because it focuses on reducing pollution and promoting a toxic-free environment, which is essential for achieving a healthy environment.;;;
63;TA1.1;Reduce overall EU greenhouse gas emissions by at least 55% by 2030 compared to 1990 levels;TA1_Climate ambition;GHG Reduction;This target is assigned to the GHG Reduction sub-theme as it directly aims to reduce greenhouse gas emissions in the EU.;The target is specific to the reduction of GHG emissions, making it a clear fit for this sub-theme.;;
64;;;;;;;;
65;TA1.2;Achieve climate neutrality by 2050;TA1_Climate ambition;Climate Resilience;This target is assigned to the Climate Resilience sub-theme as achieving climate neutrality is a key aspect of building resilience to climate change.;The long-term goal of climate neutrality encompasses a broad range of strategies, including GHG reduction and removal.;;
66;;;;;;;;
67;TA1.3;Reduce methane emissions by 35 to 37% compared to 2005 levels by 2030;TA1_Climate ambition;Methane;This target is specifically focused on methane emissions, which are a potent greenhouse gas.;Reducing methane emissions is crucial for mitigating climate change, making this target a good fit for the Methane sub-theme.;;
68;;;;;;;;
69;TA2.1;Increase the share of renewable energy in the EU's energy mix to at least 32% by 2030;TA2_Clean, affordable and secure energy;Renewable Energy;This target aims to increase the share of renewable energy, which is a key component of a clean and secure energy mix.;The focus on renewable energy makes this target a clear fit for the Renewable Energy sub-theme.;;
70;;;;;;;;
71;TA2.2;Improve energy efficiency by reducing primary energy consumption by at least 32.5% by 2030 compared to 2007;TA2_Clean, affordable and secure energy;Energy Efficiency;This target is focused on improving energy efficiency, which is critical for reducing energy consumption and mitigating climate change.;The emphasis on reducing primary energy consumption aligns well with the Energy Efficiency sub-theme.;;
72;;;;;;;;
73;TA2.3;Increase the share of renewable energy in heating and cooling to at least 1.3% per year;TA2_Clean, affordable and secure energy;Renewable Energy - Heating & Cooling;This target specifically addresses the heating and cooling sector, which is a significant consumer of energy.;The focus on renewable energy in heating and cooling makes this target a good fit for the Renewable Energy - Heating & Cooling sub-theme.;;
74;;;;;;;;
75;TA3.1;Reduce greenhouse gas emissions from transport by at least 60% by 2050 compared to 1990;TA3_Industrial strategy for a clean and circular economy;GHG Reduction - Transport;This target is focused on reducing GHG emissions from the transport sector, which is a significant contributor to overall emissions.;The emphasis on transport makes this target a clear fit for the GHG Reduction - Transport sub-theme.;;
76;;;;;;;;
77;TA3.2;Increase the use of renewable energy in transport to at least 14% by 2030;TA3_Industrial strategy for a clean and circular economy;Renewable Energy - Transport;This target aims to increase the use of renewable energy in the transport sector, which is critical for reducing dependence on fossil fuels.;The focus on renewable energy in transport makes this target a good fit for the Renewable Energy - Transport sub-theme.;;
78;;;;;;;;
79;TA4.1;Reduce energy consumption in buildings by at least 30% by 2030 compared to 2007;TA4_Sustainable and smart mobility;Energy Efficiency - Buildings;This target is focused on reducing energy consumption in buildings, which is a significant sector for energy efficiency improvements.;The emphasis on buildings makes this target a clear fit for the Energy Efficiency - Buildings sub-theme.;;
80;;;;;;;;
81;TA4.2;Increase the share of electric vehicles in new car sales to at least 50% by 2030;TA4_Sustainable and smart mobility;Net-Zero Technology - Road Vehicles;This target aims to increase the share of electric vehicles, which is critical for reducing GHG emissions from transport.;The focus on electric vehicles makes this target a good fit for the Net-Zero Technology - Road Vehicles sub-theme.;;
82;;;;;;;;
83;TA5.1;Reduce greenhouse gas emissions from agriculture by at least 55% by 2030 compared to 1990;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;GHG Reduction - Agriculture;This target is focused on reducing GHG emissions from agriculture, which is a significant sector for emissions reduction.;The emphasis on agriculture makes this target a clear fit for the GHG Reduction - Agriculture sub-theme.;;
84;;;;;;;;
85;TA5.2;Increase the share of organic farming to at least 25% of total farmland by 2030;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Competitive Agriculture;This target aims to increase the share of organic farming, which is critical for improving the sustainability of agriculture.;The focus on organic farming makes this target a good fit for the Competitive Agriculture sub-theme.;;
86;;;;;;;;
87;TA6.1;Protect and restore at least 30% of the EU's land and sea areas by 2030;TA6_Preserving and protecting biodiversity;Biodiversity Protection & Conservation;This target is focused on protecting and restoring biodiversity, which is critical for maintaining ecosystem health.;The emphasis on protecting and restoring biodiversity makes this target a clear fit for the Biodiversity Protection & Conservation sub-theme.;;
88;;;;;;;;
89;TA6.2;Reduce the use of chemical pesticides by at least 50% by 2030;TA6_Preserving and protecting biodiversity;Pesticides Reduction;This target aims to reduce the use of chemical pesticides, which is critical for protecting biodiversity and human health.;The focus on reducing chemical pesticides makes this target a good fit for the Pesticides Reduction sub-theme.;;
90;;;;;;;;
91;TA7.1;Reduce the amount of municipal waste by at least 50% by 2030;TA7_Towards a zero-pollution ambition for a toxic free environment;Waste Reduction - Municipal Waste;This target is focused on reducing municipal waste, which is a significant contributor to overall waste generation.;The emphasis on municipal waste makes this target a clear fit for the Waste Reduction - Municipal Waste sub-theme.;;
92;;;;;;;;
93;TA7.2;Reduce the amount of food waste by at least 50% by 2030;TA7_Towards a zero-pollution ambition for a toxic free environment;Waste Reduction - Food Waste;This target aims to reduce food waste, which is critical for improving food security and reducing waste generation.;The focus on food waste makes this target a good fit for the Waste Reduction - Food Waste sub-theme.;;
94;;;;;;;;
95;TA7.3;Reduce the amount of plastic litter at sea by at least 50% by 2030;TA7_Towards a zero-pollution ambition for a toxic free environment;Waste Reduction - Plastic & Packaging;This target is focused on reducing plastic litter at sea, which is a significant environmental problem.;The emphasis on plastic litter makes this target a clear fit for the Waste Reduction - Plastic & Packaging sub-theme.;;
96;;;;;;;;
97;TA7.4;Improve air quality by reducing the number of premature deaths caused by air pollution by at least 55% by 2030;TA7_Towards a zero-pollution ambition for a toxic free environment;Improve Air Quality;This target aims to improve air quality, which is critical for protecting human health and the environment.;The focus on air quality makes this target a good fit for the Improve Air Quality sub-theme.;;
98;;;;;;;;
99;TA7.5;Improve water quality by reducing the amount of waste and pollutants in water by at least 50% by 2030;TA7_Towards a zero-pollution ambition for a toxic free environment;Improve Water Quality;This target is focused on improving water quality, which is critical for protecting human health and the environment.;The emphasis on water quality makes this target a clear fit for the Improve Water Quality sub-theme.;;
100;;;;;;;;
101;TA7.6;Improve soil health by reducing soil erosion and increasing the use of organic farming practices;TA7_Towards a zero-pollution ambition for a toxic free environment;Improve Soils Health;This target aims to improve soil health, which is critical for maintaining ecosystem health and supporting biodiversity.;The focus on soil health makes this target a good fit for the Improve Soils Health sub-theme.;;
102;;;;;;;;
103;TA7.7;Reduce noise pollution by reducing the number of people exposed to harmful levels of noise by at least 30% by 2030;TA7_Towards a zero-pollution ambition for a toxic free environment;Noise Reduction;This target is focused on reducing noise pollution, which is a significant environmental problem.;The emphasis on noise pollution makes this target a clear fit for the Noise Reduction sub-theme.;;
104;TA1.1;Reduce by at least 55% net GHG emissions compared to 1990 levels, by 2030;TA1_Climate ambition;GHG Reduction;This target is assigned to the GHG Reduction sub-theme as it directly addresses the reduction of greenhouse gas emissions. The target is specific to the climate ambition thematic area, making GHG Reduction the most relevant sub-theme.;;;
105;;;;;;;;
106;TA1.2;Achieve climate neutrality by 2050;TA1_Climate ambition;GHG Reduction;This target is assigned to the GHG Reduction sub-theme as achieving climate neutrality implies reducing net GHG emissions to zero. This is a long-term goal that aligns with the climate ambition thematic area.;;;
107;;;;;;;;
108;TA2.1;Set up at least one renewables-based energy community in every municipality with a population higher than 10,000 by 2025;TA2_Clean, affordable and secure energy;Renewable Energy;This target is assigned to the Renewable Energy sub-theme as it promotes the development of renewable energy communities. The focus on renewables-based energy communities aligns with the clean, affordable, and secure energy thematic area.;;;
109;;;;;;;;
110;TA2.2;Increase the share of renewable energy in the heating and cooling sector by at least 1.1 percentage points as an annual average calculated for the periods 2021 to 2025 and 2026 to 2030;TA2_Clean, affordable and secure energy;Renewable Energy - Heating & Cooling;This target is assigned to the Renewable Energy - Heating & Cooling sub-theme as it specifically addresses the increase in renewable energy use in the heating and cooling sector. This aligns with the clean, affordable, and secure energy thematic area.;;;
111;;;;;;;;
112;TA3.1;Reduce GHG emissions from the transport sector by 90% by 2050;TA3_Industrial strategy for a clean and circular economy;GHG Reduction - Transport;This target is assigned to the GHG Reduction sub-theme, specifically focusing on the transport sector. The target aims to significantly reduce emissions from transport, aligning with the industrial strategy for a clean and circular economy thematic area.;;;
113;;;;;;;;
114;TA3.2;Increase the use of renewable energy in industry by an indicative increase of at least 1.6 percentage points as an annual average calculated for the periods 2021 to 2025 and 2026 to 2030;TA3_Industrial strategy for a clean and circular economy;Renewable Energy - Industry;This target is assigned to the Renewable Energy sub-theme, specifically focusing on the industry sector. The increase in renewable energy use in industry aligns with the industrial strategy for a clean and circular economy thematic area.;;;
115;;;;;;;;
116;TA4.1;Deploy at least 30 million zero-emission vehicles by 2030;TA4_Sustainable and smart mobility;Net-Zero Technology - Road Vehicles;This target is assigned to the Net-Zero Technology - Road Vehicles sub-theme as it specifically addresses the deployment of zero-emission vehicles. This aligns with the sustainable and smart mobility thematic area.;;;
117;;;;;;;;
118;TA4.2;Reduce emissions from the aviation sector by 200 million tons by 2050;TA4_Sustainable and smart mobility;GHG Reduction - Aviation;This target is assigned to the GHG Reduction sub-theme, specifically focusing on the aviation sector. The reduction in emissions from aviation aligns with the sustainable and smart mobility thematic area.;;;
119;;;;;;;;
120;TA5.1;Reduce the use of chemical pesticides by 50% by 2030;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Pesticides Reduction;This target is assigned to the Pesticides Reduction sub-theme as it directly addresses the reduction of chemical pesticides. The target aligns with the greening of the Common Agricultural Policy and the Farm to Fork Strategy thematic area.;;;
121;;;;;;;;
122;TA5.2;Increase organic farming to at least 25% of total farmland by 2030;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Competitive Agriculture;This target is assigned to the Competitive Agriculture sub-theme as it promotes organic farming practices. The increase in organic farming aligns with the greening of the Common Agricultural Policy and the Farm to Fork Strategy thematic area.;;;
123;;;;;;;;
124;TA6.1;Restore at least 25,000 km of free-flowing rivers by 2030;TA6_Preserving and protecting biodiversity;Terrestrial Ecosystems Restoration - Rivers;This target is assigned to the Terrestrial Ecosystems Restoration - Rivers sub-theme as it specifically addresses the restoration of free-flowing rivers. The target aligns with the preserving and protecting biodiversity thematic area.;;;
125;;;;;;;;
126;TA6.2;Plant at least 3 billion additional trees by 2030;TA6_Preserving and protecting biodiversity;Forests;This target is assigned to the Forests sub-theme as it promotes afforestation efforts. The planting of additional trees aligns with the preserving and protecting biodiversity thematic area.;;;
127;;;;;;;;
128;TA7.1;Reduce the number of premature deaths caused by air pollution by 55% by 2030;TA7_Towards a zero-pollution ambition for a toxic free environment;Improve Air Quality;This target is assigned to the Improve Air Quality sub-theme as it directly addresses the reduction of premature deaths caused by air pollution. The target aligns with the towards a zero-pollution ambition for a toxic-free environment thematic area.;;;
129;;;;;;;;
130;TA7.2;Reduce waste generation by 50% by 2030;TA7_Towards a zero-pollution ambition for a toxic free environment;Waste Reduction;This target is assigned to the Waste Reduction sub-theme as it aims to reduce waste generation. The reduction in waste aligns with the towards a zero-pollution ambition for a toxic-free environment thematic area.;;;
131;;;;;;;;
132;TA7.3;Improve soil quality by reducing nutrient losses and chemical pesticides' use by 50% by 2030;TA7_Towards a zero-pollution ambition for a toxic free environment;Improve Soils Health;This target is assigned to the Improve Soils Health sub-theme as it addresses the improvement of soil quality. The reduction in nutrient losses and chemical pesticides' use aligns with the towards a zero-pollution ambition for a toxic-free environment thematic area.;;;
133;TA6.35;Terrestrial, coastal and freshwater ecosystems. Member States shall ensure that there is: (a) an increase of habitat area in good condition for habitat types listed in Annex I until at least 90% is in good condition and until the favourable reference area for each habitat type in each biogeographic region of the Member State concerned is reached, (b) an increasing trend towards the sufficient quality and quantity of the terrestrial, coastal and freshwater habitats of the species referred to in Annexes II, IV and V to Directive 92/43/EEC and of the species covered by Directive 2009/147/EC.;TA6_Preserving and protecting biodiversity;Terrestrial Ecosystems Restoration;"This target is assigned to the sub-theme ""Terrestrial Ecosystems Restoration"" because it focuses on restoring habitats and improving the quality and quantity of terrestrial, coastal, and freshwater habitats for various species.";;;
134;TA6.35;Terrestrial, coastal and freshwater ecosystems. Member States shall ensure that there is: (a) an increase of habitat area in good condition for habitat types listed in Annex I until at least 90% is in good condition and until the favourable reference area for each habitat type in each biogeographic region of the Member State concerned is reached, (b) an increasing trend towards the sufficient quality and quantity of the terrestrial, coastal and freshwater habitats of the species referred to in Annexes II, IV and V to Directive 92/43/EEC and of the species covered by Directive 2009/147/EC.;TA6_Preserving and protecting biodiversity;Biodiversity Protection & Conservation;"This target is also assigned to the sub-theme ""Biodiversity Protection & Conservation"" because it aims to protect and conserve species and their habitats.";;;
