target_code;target_content;thematic_area;sub_theme;justification;;;
TA7.13; Reduce by 25% the EU ecosystems where air pollution threatens biodiversity, by 2030 (compared to 2005); TA7_Towards a zero-pollution ambition for a toxic free environment; Improve Air Quality; This target is assigned to the Improve Air Quality sub-theme because it aims to reduce the EU ecosystems where air pollution threatens biodiversity, which is essential for achieving a toxic-free environment.;;;
;;;;;;;
TA1.7; Reduce methane emissions by 35 to 37% compared to 2005 levels, by 2030; TA1_Climate ambition; Methane; This target is assigned to the Methane sub-theme because it specifically focuses on reducing methane emissions, which is a potent greenhouse gas. The target is also related to climate ambition, as reducing methane emissions is crucial for mitigating climate change.;;;
;;;;;;;
TA2.7; Over this decade, the EU will need to install, on average, approximately 45 GW per year of PV to reach the share of 45% of energy coming from renewables set out in the REPowerEU Plan.; TA2_Clean, affordable and secure energy; Renewable Energy - Solar; This target is assigned to the Renewable Energy - Solar sub-theme because it focuses on installing solar photovoltaic (PV) capacity, which is essential for achieving a clean and secure energy system.;;;
;;;;;;;
TA3.7; The EU will need to reduce its consumption footprint, keep its resource consumption within planetary boundaries, increase the circular material use rate, and reduce waste generation.; TA3_Industrial strategy for a clean and circular economy; Circularity/Recycling; This target is assigned to the Circularity/Recycling sub-theme because it focuses on reducing consumption footprint, keeping resource consumption within planetary boundaries, increasing circular material use rate, and reducing waste generation, which are all essential for achieving a circular economy.;;;
;;;;;;;
TA4.7; The EU will need to accelerate the transition to zero-emission vehicles, including cars, vans, buses, and trucks, and increase the use of alternative fuels such as hydrogen and advanced biofuels.; TA4_Sustainable and smart mobility; Net-Zero Technology - Road Vehicles; This target is assigned to the Net-Zero Technology - Road Vehicles sub-theme because it focuses on accelerating the transition to zero-emission vehicles and increasing the use of alternative fuels, which is essential for achieving sustainable mobility.;;;
;;;;;;;
TA5.7; The EU will need to reduce the environmental and climate footprint of its food system, including by reducing greenhouse gas emissions, protecting biodiversity, and promoting sustainable agriculture.; TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy; Food quality - Sustainable Food; This target is assigned to the Food quality - Sustainable Food sub-theme because it focuses on reducing the environmental and climate footprint of the food system, which is essential for achieving sustainable food production and consumption.;;;
;;;;;;;
TA6.7; The EU will need to protect and restore biodiversity, including by restoring ecosystems, protecting species, and promoting sustainable land use.; TA6_Preserving and protecting biodiversity; Biodiversity Protection & Conservation; This target is assigned to the Biodiversity Protection & Conservation sub-theme because it focuses on protecting and restoring biodiversity, which is essential for achieving biodiversity conservation.;;;
;;;;;;;
TA7.7; The EU will need to reduce pollution, including by reducing air pollution, water pollution, and waste generation, and promoting a toxic-free environment.; TA7_Towards a zero-pollution ambition for a toxic free environment; Environmental Pollution; This target is assigned to the Environmental Pollution sub-theme because it focuses on reducing pollution and promoting a toxic-free environment, which is essential for achieving a healthy environment.;;;
