target_code;target_content;thematic_area;sub_theme;justification;
TA3.34;Member States shall take the necessary measures to attain a recycling target of 70% of ferrous metals by weight of ferrous metals contained in packaging waste generated by 31 December 2025 and of 80% by 31 December 2030;TA3_Industrial strategy for a clean and circular economy;Circularity/Recycling - Municipal Waste;"This target is assigned to the sub-theme ""Circularity/Recycling - Municipal Waste"" because it focuses on recycling ferrous metals from packaging waste.";
TA3.34;Member States shall take the necessary measures to attain a recycling target of 70% of ferrous metals by weight of ferrous metals contained in packaging waste generated by 31 December 2025 and of 80% by 31 December 2030;TA3_Industrial strategy for a clean and circular economy;Waste Reduction - Municipal Waste;"This target is also assigned to the sub-theme ""Waste Reduction - Municipal Waste"" because it aims to reduce waste through recycling.";
TA7.10;Improve water quality by reducing waste, plastic litter at sea (by 50%);TA7_Towards a zero-pollution ambition for a toxic free environment;Improve Water Quality;"This target is assigned to the sub-theme ""Improve Water Quality"" because it focuses on improving water quality by reducing waste and plastic litter.";
TA7.10;Improve water quality by reducing waste, plastic litter at sea (by 50%);TA7_Towards a zero-pollution ambition for a toxic free environment;Waste Reduction - Plastic & Packaging;"This target is also assigned to the sub-theme ""Waste Reduction - Plastic & Packaging"" because it aims to reduce plastic litter in the sea.";
TA3.37;Member States shall take the necessary measures to attain a recycling target of 75% of paper and card-board by weight of paper and cardboard contained in packaging waste generated by 31 December 2025 and of 85% by 31 December 2030;TA3_Industrial strategy for a clean and circular economy;Circularity/Recycling - Municipal Waste;"This target is assigned to the sub-theme ""Circularity/Recycling - Municipal Waste"" because it focuses on recycling paper and cardboard from packaging waste.";
TA3.37;Member States shall take the necessary measures to attain a recycling target of 75% of paper and card-board by weight of paper and cardboard contained in packaging waste generated by 31 December 2025 and of 85% by 31 December 2030;TA3_Industrial strategy for a clean and circular economy;Waste Reduction - Municipal Waste;"This target is also assigned to the sub-theme ""Waste Reduction - Municipal Waste"" because it aims to reduce waste through recycling.";
TA6.50;Reach no net land take;TA6_Preserving and protecting biodiversity;Terrestrial Ecosystems Restoration;"This target is assigned to the sub-theme ""Terrestrial Ecosystems Restoration"" because it focuses on restoring ecosystems and reducing land take.";
TA6.50;Reach no net land take;TA6_Preserving and protecting biodiversity;Biodiversity Protection & Conservation;"This target is also assigned to the sub-theme ""Biodiversity Protection & Conservation"" because it aims to protect and conserve biodiversity by reducing land take.";
TA6.52;The Ambient Air Quality Directives set EU air quality standards for 12 air pollutants: sulphur dioxide, nitrogen dioxide / nitrogen oxides, particulate matter (PM10, PM2.5), ozone, benzene, lead, carbon monoxide, arsenic, cadmium, nickel, and benzo(a)pyrene.;TA6_Preserving and protecting biodiversity;Improve Air Quality;"This target is assigned to the sub-theme ""Improve Air Quality"" because it focuses on improving air quality by reducing air pollutants.";
TA6.52;The Ambient Air Quality Directives set EU air quality standards for 12 air pollutants: sulphur dioxide, nitrogen dioxide / nitrogen oxides, particulate matter (PM10, PM2.5), ozone, benzene, lead, carbon monoxide, arsenic, cadmium, nickel, and benzo(a)pyrene.;TA6_Preserving and protecting biodiversity;Biodiversity Protection & Conservation;"This target is also assigned to the sub-theme ""Biodiversity Protection & Conservation"" because it aims to protect and conserve biodiversity by improving air quality.";
TA4.30;Member States shall ensure that, by 31 December 2030, at least one publicly accessible hydrogen refuelling station is deployed in each urban node.;TA4_Sustainable and smart mobility;Urban Mobility;"This target is assigned to the sub-theme ""Urban Mobility"" because it focuses on deploying hydrogen refuelling stations in urban nodes.";
TA4.30;Member States shall ensure that, by 31 December 2030, at least one publicly accessible hydrogen refuelling station is deployed in each urban node.;TA4_Sustainable and smart mobility;Net-Zero Technology - Road Vehicles;"This target is also assigned to the sub-theme ""Net-Zero Technology - Road Vehicles"" because it aims to promote the use of hydrogen fuel cell vehicles.";
TA5.8;Water: Preserving freshwater, boosting water reuse in agriculture.;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Improve Water Quality;"This target is assigned to the sub-theme ""Improve Water Quality"" because it focuses on preserving freshwater and promoting water reuse in agriculture.";
TA5.8;Water: Preserving freshwater, boosting water reuse in agriculture.;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Biodiversity Protection & Conservation;"This target is also assigned to the sub-theme ""Biodiversity Protection & Conservation"" because it aims to protect and conserve biodiversity by preserving freshwater and promoting water reuse.";
TA5.14;Circular economy: Scale-up and promote sustainable and socially responsible production methods and circular business models in food processing and retail.;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Circularity/Recycling;"This target is assigned to the sub-theme ""Circularity/Recycling"" because it focuses on promoting circular economy in food processing and retail.";
TA5.14;Circular economy: Scale-up and promote sustainable and socially responsible production methods and circular business models in food processing and retail.;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Waste Reduction - Food Waste;"This target is also assigned to the sub-theme ""Waste Reduction - Food Waste"" because it aims to reduce food waste through circular economy practices.";"This target is assigned to the sub-theme ""Terrestrial Ecosystems Restoration - Agricultural Ecosystems"" because it focuses on restoring agricultural ecosystems and improving the common farmland bird index."
TA6.45;(agricultural ecosystems) Member States shall put in place restoration measures which shall aim to ensure that the common farmland bird index at national level based on the species specified in Annex V reaches the following levels: (a) 110 by 2030, 120 by 2040 and 130 by 2050, for Member States listed in Annex V with historically more depleted populations of farmland birds; (b) 105 by 2030, 110 by 2040 and 115 by 2050, for Member States listed in Annex V with historically less depleted populations of farmland birds.;TA6_Preserving and protecting biodiversity;Terrestrial Ecosystems Restoration - Agricultural Ecosystems;"This target is also assigned to the sub-theme ""Biodiversity Protection & Conservation"" because it aims to protect and conserve farmland bird species."
TA6.45;(agricultural ecosystems) Member States shall put in place restoration measures which shall aim to ensure that the common farmland bird index at national level based on the species specified in Annex V reaches the following levels: (a) 110 by 2030, 120 by 2040 and 130 by 2050, for Member States listed in Annex V with historically more depleted populations of farmland birds; (b) 105 by 2030, 110 by 2040 and 115 by 2050, for Member States listed in Annex V with historically less depleted populations of farmland birds.;TA6_Preserving and protecting biodiversity;Biodiversity Protection & Conservation;
TA3.11;Diversify the Union’s imports of strategic raw materials with a view to ensuring that, by 2030, the Union’s annual consumption of each strategic raw material at any relevant stage of processing can rely on imports from several third countries or from overseas countries or territories (OCTs) and that no third country accounts for more than 65% of the Union’s annual consumption of such a strategic raw material.;TA3_Industrial strategy for a clean and circular economy;Critical Raw Materials - Extraction & Import;"This target is assigned to the sub-theme ""Critical Raw Materials - Extraction & Import"" because it focuses on diversifying imports of strategic raw materials.";
TA3.11;Diversify the Union’s imports of strategic raw materials with a view to ensuring that, by 2030, the Union’s annual consumption of each strategic raw material at any relevant stage of processing can rely on imports from several third countries or from overseas countries or territories (OCTs) and that no third country accounts for more than 65% of the Union’s annual consumption of such a strategic raw material.;TA3_Industrial strategy for a clean and circular economy;Net-Zero Technology - Manufacturing;"This target is also assigned to the sub-theme ""Net-Zero Technology - Manufacturing"" because it aims to promote the use of strategic raw materials in net-zero technologies.";
TA7.10;Improve water quality by reducing waste, plastic litter at sea (by 50%);TA7_Towards a zero-pollution ambition for a toxic free environment;Improve Water Quality;"This target is assigned to the sub-theme ""Improve Water Quality"" because it focuses on improving water quality by reducing waste and plastic litter.";
TA7.10;Improve water quality by reducing waste, plastic litter at sea (by 50%);TA7_Towards a zero-pollution ambition for a toxic free environment;Waste Reduction - Plastic & Packaging;"This target is also assigned to the sub-theme ""Waste Reduction - Plastic & Packaging"" because it aims to reduce plastic litter in the sea.";
TA3.34;Member States shall take the necessary measures to attain a recycling target of 70% of ferrous metals by weight of ferrous metals contained in packaging waste generated by 31 December 2025 and of 80% by 31 December 2030;TA3_Industrial strategy for a clean and circular economy;Circularity/Recycling - Municipal Waste;"This target is assigned to the sub-theme ""Circularity/Recycling - Municipal Waste"" because it focuses on recycling ferrous metals from packaging waste.";
TA3.34;Member States shall take the necessary measures to attain a recycling target of 70% of ferrous metals by weight of ferrous metals contained in packaging waste generated by 31 December 2025 and of 80% by 31 December 2030;TA3_Industrial strategy for a clean and circular economy;Waste Reduction - Municipal Waste;"This target is also assigned to the sub-theme ""Waste Reduction - Municipal Waste"" because it aims to reduce waste through recycling.";
TA6.28;In accordance with the CFP, it is crucial to continue and accelerate the work of rebuilding and keeping fish stocks above MSY levels (Maximum Sustainable Yield);TA6_Preserving and protecting biodiversity;Biodiversity Protection & Conservation - Fisheries;"This target is assigned to the sub-theme ""Biodiversity Protection & Conservation - Fisheries"" because it focuses on rebuilding and keeping fish stocks above MSY levels.";
TA6.28;In accordance with the CFP, it is crucial to continue and accelerate the work of rebuilding and keeping fish stocks above MSY levels (Maximum Sustainable Yield);TA6_Preserving and protecting biodiversity;Terrestrial Ecosystems Restoration;"This target is also assigned to the sub-theme ""Terrestrial Ecosystems Restoration"" because it aims to restore ecosystems and promote sustainable fishing practices.";
