source_subtheme;impact_subtheme;impact_type;impact_weight ;justification 
Biodiversity Protection & Conservation ;Improve Soils Health ;+ ; +1 ;The Biodiversity Protection & Conservation subtheme can enable the Improve Soils Health subtheme by protecting and conserving biodiversity, which can aid in achieving the target of improving soil health.
Biodiversity Protection & Conservation ;Noise Reduction ; + ; -1 ;The Biodiversity Protection & Conservation subtheme can constrain the Noise Reduction subtheme by protecting and conserving biodiversity, which can limit options for noise reduction.
Biodiversity Protection & Conservation ;Social Security - Sanitation ;+ ; -2 ;The Biodiversity Protection & Conservation subtheme can counteract the Social Security - Sanitation subtheme by protecting and conserving biodiversity, which can clash with the options for social security and sanitation.
Biodiversity Protection & Conservation - Fisheries ;Improve Air Quality ;+ ; +3 ;The Biodiversity Protection & Conservation - Fisheries subtheme can positively influence the Improve Air Quality subtheme by protecting and conserving biodiversity in fisheries, which can aid in achieving the target of improving air quality.
Biodiversity Protection & Conservation - Fisheries ;Improve Water Quality ;+ ; +2 ;The Biodiversity Protection & Conservation - Fisheries subtheme can reinforce the Improve Water Quality subtheme by protecting and conserving biodiversity in fisheries, which can aid in achieving the target of improving water quality.
Biodiversity Protection & Conservation - Fisheries ;Improve Soils Health ;+ ; +1 ;The Biodiversity Protection & Conservation - Fisheries subtheme can enable the Improve Soils Health subtheme by protecting and conserving biodiversity in fisheries, which can aid in achieving the target of improving soil health.
Biodiversity Protection & Conservation - Fisheries ;Noise Reduction ; + ; -1 ;The Biodiversity Protection & Conservation - Fisheries subtheme can constrain the Noise Reduction subtheme by protecting and conserving biodiversity in fisheries, which can limit options for noise reduction.
Biodiversity Protection & Conservation - Fisheries ;Social Security - Sanitation ;+ ; -2 ;The Biodiversity Protection & Conservation - Fisheries subtheme can counteract the Social Security - Sanitation subtheme by protecting and conserving biodiversity in fisheries, which can clash with the options for social security and sanitation.
Biodiversity Protection & Conservation - Monitoring ;Improve Air Quality ;+ ; +3 ;The Biodiversity Protection & Conservation - Monitoring subtheme can positively influence the Improve Air Quality subtheme by monitoring biodiversity and reducing emissions, which can aid in achieving the target of improving air quality.
Biodiversity Protection & Conservation - Monitoring ;Improve Water Quality ;+ ; +2 ;The Biodiversity Protection & Conservation - Monitoring subtheme can reinforce the Improve Water Quality subtheme by monitoring biodiversity and reducing emissions, which can aid in achieving the target of improving water quality.
Biodiversity Protection & Conservation - Monitoring ;Improve Soils Health ;+ ; +1 ;The Biodiversity Protection & Conservation - Monitoring subtheme can enable the Improve Soils Health subtheme by monitoring biodiversity and reducing emissions
