source_subtheme;impact_subtheme;impact_type;impact_weight ;justification 
Social Security - Workers Protection;Food quality - Healthy Food ;+ ; +1 ;Creates conditions that further another target. Providing electricity access in rural homes enables education, because it makes it possible to do homework at night with electric lighting. 
Social Security - Workers Protection;Food affordability ;+ ; +2 ;Aids the achievement of another target. Providing access to electricity reinforces water‐pumping and irrigation systems. Strengthening the capacity to adapt to climate‐related hazards reduces losses caused by disasters. 
Social Security - Workers Protection;Pesticides Reduction ;+ ; +1 ;Creates conditions that further another target. Providing electricity access in rural homes enables education, because it makes it possible to do homework at night with electric lighting. 
Social Security - Workers Protection;Competitive Agriculture ;+ ; +2 ;Aids the achievement of another target. Providing access to electricity reinforces water‐pumping and irrigation systems. Strengthening the capacity to adapt to climate‐related hazards reduces losses caused by disasters. 
Social Security - Workers Protection;Food quality ;+ ; +3 ;Inextricably linked to the achievement of another target. Ending all forms of discrimination against women and girls is indivisible from ensuring women’s full and effective participation and equal opportunities for leadership. 
Social Security - Workers Protection;Food quality - Animal Welfare ;+ ; +2 ;Aids the achievement of another target. Providing access to electricity reinforces water‐pumping and irrigation systems. Strengthening the capacity to adapt to climate‐related hazards reduces losses caused by disasters. 
Social Security - Workers Protection;Food quality - Healthy Food ;+ ; +1 ;Creates conditions that further another target. Providing electricity access in rural homes enables education, because it makes it possible to do homework at night with electric lighting. 
Social Security - Workers Protection;Food affordability ;+ ; +2 ;Aids the achievement of another target. Providing access to electricity reinforces water‐pumping and irrigation systems. Strengthening the capacity to adapt to climate‐related hazards reduces losses caused by disasters. 
Social Security - Workers Protection;Pesticides Reduction ;+ ; +1 ;Creates conditions that further another target. Providing electricity access in rural homes enables education, because it makes it possible to do homework at night with electric lighting. 
Social Security - Workers Protection;Competitive Agriculture ;+ ; +2 ;Aids the achievement of another target. Providing access to electricity reinforces water‐pumping and irrigation systems. Strengthening the capacity to adapt to climate‐related hazards reduces losses caused by disasters. 
Social Security - Workers Protection;Food quality ;+ ; +3 ;Inextricably linked to the achievement of another target. Ending all forms of discrimination against women and girls is indivisible from ensuring women’s full and effective participation and equal opportunities for leadership. 
Social Security - Workers Protection;Food quality - Animal Welfare ;+ ; +2 ;Aids the achievement of another target. Providing access to electricity reinforces water‐pumping and irrigation systems. Strengthening the capacity to adapt to climate‐related hazards reduces losses caused by disasters. 
Social Security - Workers Protection;Food quality - Healthy Food ;+ ; +1 ;Creates conditions that further another target. Providing electricity access in rural homes enables education, because it makes it possible to do homework at night with electric lighting. 
Social Security - Workers Protection;Food affordability ;+ ; +2 ;Aids the achievement of another target. Providing access to electricity reinforces water‐pumping and irrigation systems. Strengthening the capacity to adapt to climate‐related hazards reduces losses caused by disasters. 
Social Security - Workers Protection;Pesticides Reduction ;+ ; +1 ;Creates conditions that further another target. Providing electricity access in rural homes enables education, because it makes it possible to do homework at night with electric lighting. 
Social Security - Workers Protection;Competitive Agriculture ;+ ; +2 ;Aids the achievement of another target. Providing access to electricity reinforces water‐pumping and irrigation systems. Strengthening the capacity to adapt to climate‐related hazards reduces losses caused by disasters. 
Social Security - Workers Protection;Food quality ;+ ; +3 ;Inextricably linked to the achievement of another target. Ending all forms of discrimination against women and girls is indivisible from ensuring women’s full and effective participation and equal opportunities for leadership. 
Social Security - Workers Protection;Food quality - Animal Welfare ;+ ; +2 ;Aids the achievement of another target. Providing access to electricity reinforces water‐pumping and irrigation systems. Strengthening the capacity to adapt to climate‐related hazards reduces losses caused by disasters. 
Social Security - Workers Protection;Food quality - Healthy Food ;+ ; +1 ;Creates conditions that further another target. Providing electricity access in rural homes enables education, because it makes it possible to do homework at night with electric lighting. 
Social Security - Workers Protection;Food affordability ;+ ; +2 ;Aids the achievement of another target. Providing access to electricity reinforces water‐pumping and irrigation systems. Strengthening the capacity to adapt to climate‐related hazards reduces losses caused by disasters. 
Social Security - Workers Protection;Pesticides Reduction ;+ ; +1 ;Creates conditions that further another target. Providing electricity access in rural homes enables education, because it makes it possible to do homework at night with electric lighting. 
Social Security - Workers Protection;Competitive Agriculture ;+ ; +2 ;Aids the achievement of another target. Providing access to electricity reinforces water‐pumping and irrigation systems. Strengthening the capacity to adapt to climate‐related hazards reduces losses caused by disasters. 
Social Security - Workers Protection;Food quality ;+ ; +3 ;Inextricably linked to the achievement of another target. Ending all forms of discrimination against women and girls is indivisible from ensuring women’s full and effective participation and equal opportunities for leadership. 
Social Security - Workers Protection;Food quality - Animal Welfare ;+ ; +2 ;Aids the achievement of another target. Providing access to electricity reinforces water‐pumping and irrigation systems. Strengthening the capacity to adapt to climate‐related hazards reduces losses caused by disasters. 
Social Security - Workers Protection;Food quality - Healthy Food ;+ ; +1 ;Creates conditions that further another target. Providing electricity access in rural homes enables education, because it makes it possible to do homework at night with electric lighting. 
Social Security - Workers Protection;Food affordability ;+ ; +2 ;Aids the achievement of another target. Providing access to electricity reinforces water‐pumping and irrigation systems. Strengthening the capacity to adapt to climate‐related hazards reduces losses caused by disasters. 
Social Security - Workers Protection;Pesticides Reduction ;+ ; +1 ;Creates conditions that further another target. Providing electricity access in rural homes enables education, because it makes it possible to do homework at night with electric lighting. 
Social Security - Workers Protection;Competitive Agriculture ;+ ; +2 ;Aids the achievement of another target. Providing access to electricity reinforces water‐pumping and irrigation systems. Strengthening the capacity to adapt to climate‐related hazards reduces losses caused by disasters. 
Social Security - Workers Protection;Food quality ;+ ; +3 ;Inextricably linked to the achievement of another target. Ending all forms of discrimination against women and girls is indivisible from ensuring women’s full and effective participation and equal opportunities for leadership. 
Social Security - Workers Protection;Food quality - Animal Welfare ;+ ; +2 ;Aids the achievement of another target. Providing access to electricity reinforces water‐pumping and irrigation systems. Strengthening the capacity to adapt to climate‐related hazards reduces losses caused by disasters. 
Social Security - Workers Protection;Food quality - Healthy Food ;+ ; +1 ;Creates conditions that further another target. Providing electricity access in rural homes enables education, because it makes it possible to do homework at night with electric lighting. 
Social Security - Workers Protection;Food affordability ;+ ; +2 ;Aids the achievement of another target. Providing access to electricity reinforces water‐pumping and irrigation systems. Strengthening the capacity to adapt to climate‐related hazards reduces losses caused by disasters. 
Social Security - Workers Protection;Pesticides Reduction ;+ ; +1 ;Creates conditions that further another target. Providing electricity access in rural homes enables education, because it makes it possible to do homework at night with electric lighting. 
Social Security - Workers Protection;Competitive Agriculture ;+ ; +2 ;Aids the achievement of another target. Providing access to electricity reinforces water‐pumping and irrigation systems. Strengthening the capacity to adapt to climate‐related hazards reduces losses caused by disasters. 
Social Security - Workers Protection;Food quality ;+ ; +3 ;Inextricably linked to the achievement of another target. Ending all forms of discrimination against women and girls is indivisible from ensuring women’s full and effective participation and equal opportunities for leadership. 
Social Security - Workers Protection;Food quality - Animal Welfare ;+ ; +2 ;Aids the achievement of another target. Providing access to electricity reinforces water‐pumping and irrigation systems. Strengthening the capacity to adapt to climate‐related hazards reduces losses caused by disasters. 
Social Security - Workers Protection;Food quality - Healthy Food ;+ ; +1 ;Creates conditions that further another target. Providing electricity access in rural homes enables education, because it makes it possible to do homework at night with electric lighting. 
Social Security - Workers Protection;Food affordability ;+ ; +2 ;Aids the achievement of another target. Providing access to electricity reinforces water‐pumping and irrigation systems. Strengthening the capacity to adapt to climate‐related hazards reduces losses caused by disasters. 
Social Security - Workers Protection;Pesticides Reduction ;+ ; +1 ;Creates conditions that further another target. Providing electricity access in rural homes enables education, because it makes it possible to do homework at night with electric lighting. 
Social Security - Workers Protection;Competitive Agriculture ;+ ; +2 ;Aids the achievement of another target. Providing access to electricity reinforces water‐pumping and irrigation systems. Strengthening the capacity to adapt to climate‐related hazards reduces losses caused by disasters. 
Social Security - Workers Protection;Food quality ;+ ; +3 ;Inextricably linked to the achievement of another target. Ending all forms of discrimination against women and girls is indivisible from ensuring women’s full and effective participation and equal opportunities for leadership. 
Social Security - Workers Protection;Food quality - Animal Welfare ;+ ; +2 ;Aids the achievement of another target. Providing access to electricity reinforces water‐pumping and irrigation systems. Strengthening the capacity to adapt to climate‐related hazards reduces losses caused by disasters. 
Social Security - Workers Protection;Food quality - Healthy Food ;+ ; +1 ;Creates conditions that further another target. Providing electricity access in rural homes enables education, because it makes it possible to do homework at night with electric lighting. 
Social Security - Workers Protection;Food affordability ;+ ; +2 ;Aids the achievement of another target. Providing access to electricity reinforces water‐pumping and irrigation systems. Strengthening the capacity to adapt to climate‐related hazards reduces losses caused by disasters. 
Social Security - Workers Protection;Pesticides Reduction ;+ ; +1 ;Creates conditions that further another target. Providing electricity access in rural homes enables education, because it makes it possible to do homework at night with electric lighting. 
Social Security - Workers Protection;Competitive Agriculture ;+ ; +2 ;Aids the achievement of another target. Providing access to electricity reinforces water‐pumping and irrigation systems. Strengthening the capacity to adapt to climate‐related hazards reduces losses caused by disasters. 
Social Security - Workers Protection;Food quality ;+ ; +3 ;Inextricably linked to the achievement of another target. Ending all forms of discrimination against women and girls is indivisible from ensuring women’s full and effective participation and equal opportunities for leadership. 
Social Security - Workers Protection;Food quality - Animal Welfare ;+ ; +2 ;Aids the achievement of another target. Providing access to electricity reinforces water‐pumping and irrigation systems. Strengthening the capacity to adapt to climate‐related hazards reduces losses caused by disasters. 
Social Security - Workers Protection;Food quality - Healthy Food ;+ ; +1 ;Creates conditions that further another target. Providing electricity access in rural homes enables education, because it makes it possible to do homework at night with electric lighting. 
Social Security - Workers Protection;Food affordability ;+ ; +2 ;Aids the achievement of another target. Providing access to electricity reinforces water‐pumping and irrigation systems. Strengthening the capacity to adapt to climate‐related hazards reduces losses caused by disasters. 
Social Security - Workers Protection;Pesticides Reduction ;+ ; +1 ;Creates conditions that further another target. Providing electricity access in rural homes enables education, because it makes it possible to do homework at night with electric lighting. 
Social Security - Workers Protection;Competitive Agriculture ;+ ; +2 ;Aids the achievement of another target. Providing access to electricity reinforces water‐pumping and irrigation systems. Strengthening the capacity to adapt to climate‐related hazards reduces losses caused by disasters. 
Social Security - Workers Protection;Food quality ;+ ; +3 ;Inextricably linked to the achievement of another target. Ending all forms of discrimination against women and girls is indivisible from ensuring women’s full and effective participation and equal opportunities for leadership. 
Social Security - Workers Protection;Food quality - Animal Welfare ;+ ; +2 ;Aids the achievement of another target. Providing access to electricity reinforces water‐pumping and irrigation systems. Strengthening the capacity to adapt to climate‐related hazards reduces losses caused by disasters. 
Social Security - Workers Protection;Food quality - Healthy Food ;+ ; +1 ;Creates conditions that further another target. Providing electricity access in rural homes enables education, because it makes it possible to do homework at night with electric lighting. 
Social Security - Workers Protection;Food affordability ;+ ; +2 ;Aids the achievement of another target. Providing access to electricity reinforces water‐pumping and irrigation systems. Strengthening the capacity to adapt to climate‐related hazards reduces losses caused by disasters. 
Social Security - Workers Protection;Pesticides Reduction ;+ ; +1 ;Creates conditions that further another target. Providing electricity access in rural homes enables education, because it makes it possible to do homework at night with electric lighting. 
Social Security - Workers Protection;Competitive Agriculture ;+ ; +2 ;Aids the achievement of another target. Providing access to electricity reinforces water‐pumping and irrigation systems. Strengthening the capacity to adapt to climate‐related hazards reduces losses caused by disasters. 
Social Security - Workers Protection;Food quality ;+ ; +3 ;Inextricably linked to the achievement of another target. Ending all forms of discrimination against women and girls is indivisible from ensuring women’s full and effective participation and equal opportunities for leadership. 
Social Security - Workers Protection;Food quality - Animal Welfare ;+ ; +2 ;Aids the achievement of another target. Providing access to electricity reinforces water‐pumping and irrigation systems. Strengthening the capacity to adapt to climate‐related hazards reduces losses caused by disasters. 
Social Security - Workers Protection;Food quality - Healthy Food ;+ ; +1 ;Creates conditions that further another target. Providing electricity access in rural homes enables education, because it makes it possible to do homework at night with electric lighting. 
Social Security - Workers Protection;Food affordability ;+ ; +2 ;Aids the achievement of another target. Providing access to electricity reinforces water‐pumping and irrigation systems. Strengthening the capacity to adapt to climate‐related hazards reduces losses caused by disasters. 
Social Security - Workers Protection;Pesticides Reduction ;+ ; +1 ;Creates conditions that further another target. Providing electricity access in rural homes enables education, because it makes it possible to do homework at night with electric lighting. 
Social Security - Workers
