TA2.35;Member States will also have to set out specific measures on the phase-out of fossil fuels in heating and cooling with a view to a complete phase-out of boilers powered by fossil fuels by 2040;TA2_Clean, affordable and secure energy;Fossil Fuel Phase-out;This target is assigned to the sub-theme "Fossil Fuel Phase-out" because it discusses phasing out fossil fuels in heating and cooling.; 
TA3.8;Union's access to a secure and sustainable supply of critical raw materials by ensuring that the Union's extraction capacity is able to extract the ores, minerals or concentrates needed to produce at least 10% of the Union's annual consumption of strategic raw materials, to the extent that the Union’s reserves allow for this;TA3_Industrial strategy for a clean and circular economy;Critical Raw Materials;This target is assigned to the sub-theme "Critical Raw Materials" because it discusses ensuring access to critical raw materials.; 
TA3.11;Diversify the Union's imports of strategic raw materials with a view to ensure that the Union's annual consumption of each strategic raw material at any relevant stage of processing can rely on imports from several third countries, none of which provide more than 65% of the Union's annual consumption;TA3_Industrial strategy for a clean and circular economy;Diversification of Raw Materials;This target is assigned to the sub-theme "Diversification of Raw Materials" because it discusses diversifying imports of strategic raw materials.; 
TA3.17;Producers of LMT (Light Means of Transport) batteries or producer responsibility organisations, shall attain, and maintain durably, at least the following collection targets of waste LMT batteries: 51 % by 31 December 2028, 61 % by 31 December 2031.;TA3_Industrial strategy for a clean and circular economy;Battery Recycling;This target is assigned to the sub-theme "Battery Recycling" because it discusses collecting waste batteries.; 
TA3.21;Recycling shall achieve at least the following targets for recycling efficiency: No later than 31 December 2025 - 65% by average weight of lithium-based batteries, No later than 31 December 2030 - 70% by average weight of lithium-based batteries;TA3_Industrial strategy for a clean and circular economy;Battery Recycling;This target is assigned to the sub-theme "Battery Recycling" because it discusses recycling efficiency targets for lithium-based batteries.; 
TA3.28;The plastic part in packaging shall contain the following minimum percentage of recycled content recovered from post-consumer plastic waste, per unit of packaging: From 1 January 2030 (i) 30% for contact sensitive packaging made from polyethylene terephthalate (PET) as major component, (ii) 10% for contact sensitive made from plastic materials other than PET, except single use plastic bottles, (iii) 30% for single use plastic beverage bottles, (iv) 35% for other plastic packaging;TA3_Industrial strategy for a clean and circular economy;Plastic Recycling;This target is assigned to the sub-theme "Plastic Recycling" because it discusses minimum recycled content in packaging.; 
TA3.32;Recycling of plastic in packaging: 55%;TA3_Industrial strategy for a clean and circular economy;Plastic Recycling;This target is assigned to the sub-theme "Plastic Recycling" because it discusses recycling targets for plastic in packaging.; 
TA3.45;By 2025, the preparing for re-use and recycling of municipal waste shall be increased to a minimum of 55% by weight (60% by 2030, 65% by 2035);TA3_Industrial strategy for a clean and circular economy;Waste Recycling;This target is assigned to the sub-theme "Waste Recycling" because it discusses increasing preparing for re-use and recycling of municipal waste.; 
TA3.47;Hazardous household waste will have to be collected separately by 2022, bio-waste by 2023 and textiles by 2025;TA3_Industrial strategy for a clean and circular economy;Waste Collection;This target is assigned to the sub-theme "Waste Collection" because it discusses collecting hazardous household waste, bio-waste, and textiles separately.; 
TA4.14;Renewable and low-carbon fuels should represent between 6% and 9% of the international maritime transport fuel mix by 2030 and between 86% and 88% by 2050;TA4_Sustainable and smart mobility;Sustainable Maritime Transport;This target is assigned to the sub-theme "Sustainable Maritime Transport" because it discusses the share of renewable and low-carbon fuels in maritime transport.; 
TA4.20;In the first phase, from 2020 up to 2024, the strategic objective is to install at least 6 GW of renewable hydrogen electrolysers in the EU and the production of up to 1 million tonnes of renewable hydrogen.;TA4_Sustainable and smart mobility;Hydrogen Production;This target is assigned to the sub-theme "Hydrogen Production" because it discusses installing renewable hydrogen electrolysers and producing renewable hydrogen.; 
TA4.25;Member States shall ensure that, at the end of each year, starting from the year referred to in Article 26, the following power output targets are met cumulatively: (a) for each light-duty battery electric vehicle registered in their territory, a total power output of at least 1,3 kW is provided through publicly accessible recharging stations, and (b) for each light-duty plug-in hybrid vehicle registered in their territory, a total power output of at least 0,80 kW is provided through publicly accessible recharging stations;TA4_Sustainable and smart mobility;Electric Vehicle Charging;This target is assigned to the sub-theme "Electric Vehicle Charging" because it discusses providing power output for electric vehicles through publicly accessible recharging stations.; 
TA4.37;Rail freight traffic will increase by 50% compared to 2015 by 2030.;TA4_Sustainable and smart mobility;Sustainable Rail Transport;This target is assigned to the sub-theme "Sustainable Rail Transport" because it discusses increasing rail freight traffic.; 
TA5.5;Reduce by 50% the use and risk of chemical pesticides (target in common with the Biodiversity Strategy and Zero Pollution Action Plan);TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Sustainable Pest Control;This target is assigned to the sub-theme "Sustainable Pest Control" because it discusses reducing the use and risk of chemical pesticides.; 
TA5.8;Sustainable use of water.;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Water Conservation;This target is assigned to the sub-theme "Water Conservation" because it discusses sustainable use of water.; 
TA5.23;Create new job opportunities.;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Rural Development;This target is assigned to the sub-theme "Rural Development" because it discusses creating new job opportunities.; 
TA5.32;Ensuring all access to quality, safe, sustainable, nutritious food.;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Sustainable Food Systems;This target is assigned to the sub-theme "Sustainable Food Systems" because it discusses ensuring access to quality, safe, sustainable, and nutritious food.; 
TA6.1;1.a Legally protect a minimum of 30% of the EU's land area;TA6_Preserving and protecting biodiversity;Habitat Protection;This target is assigned to the sub-theme "Habitat Protection" because it discusses legally protecting a minimum of 30% of the EU's land area.; 
TA6.7;4. By 2030, significant areas of degraded and carbon-rich ecosystems are restored.;TA6_Preserving and protecting biodiversity;Ecosystem Restoration;This target is assigned to the sub-theme "Ecosystem Restoration" because it discusses restoring degraded and carbon-rich ecosystems.; 
TA6.8;5. The decline of pollinators is reversed;TA6_Preserving and protecting biodiversity;Pollinator Conservation;This target is assigned to the sub-theme "Pollinator Conservation" because it discusses reversing the decline of pollinators.; 
TA6.10;7. At least 10% of agricultural area is under high-diversity landscape features;TA6_Preserving and protecting biodiversity;Sustainable Agriculture;This target is assigned to the sub-theme "Sustainable Agriculture" because it discusses having at least 10% of agricultural area under high-diversity landscape features.; 
TA6.11;9. Three billion trees are planted in the EU, in full respect of ecological principles;TA6_Preserving and protecting biodiversity;Reforestation;This target is assigned to the sub-theme "Reforestation" because it discusses planting three billion trees in the EU.; 
TA6.13;11. At least 25.000 km of free-flowing rivers are restored;TA6_Preserving and protecting biodiversity;River Restoration;This target is assigned to the sub-theme "River Restoration" because it discusses restoring free-flowing rivers.; 
TA6.15;13. The losses of nutrients from fertilisers are reduced by 50%, resulting in the reduction of the use of fertilisers by at least 20%;TA6_Preserving and protecting biodiversity;Sustainable Fertilizer Use;This target is assigned to the sub-theme "Sustainable Fertilizer Use" because it discusses reducing nutrient losses from fertilizers.; 
TA6.17;15. The negative impacts on sensitive species and habitats, including on the seabed through fishing and extraction activities, are substantially reduced;TA6_Preserving and protecting biodiversity;Marine Conservation;This target is assigned to the sub-theme "Marine Conservation" because it discusses reducing negative impacts on sensitive species and habitats in the marine environment.; 
TA6.44;Member States shall put in place the restoration measures that are necessary to improve to good condition areas of habitat types listed in Annex II which are not in good condition.;TA6_Preserving and protecting biodiversity;Habitat Restoration;This target is assigned to the sub-theme "Habitat Restoration" because it discusses restoring habitat types listed in Annex II.; 
TA6.50;Providing financial incentives for forest owners and managers for improving the quantity and quality of EU forests;TA6_Preserving and protecting biodiversity;Sustainable Forest Management;This target is assigned to the sub-theme "Sustainable Forest Management" because it discusses providing financial incentives for improving the quantity and quality of EU forests.; 
TA6.52;(forest ecosystems) Member States shall achieve an increasing trend at national level of the common forest bird index, as further set out in Annex VI, measured in the period from the date of entry into force of this Regulation until 31 December 2030, and every six years thereafter, until the satisfactory levels identified in accordance with Article 11(3) are reached;TA6_Preserving and protecting biodiversity;Forest Conservation;This target is assigned to the sub-theme "Forest Conservation" because it discusses achieving an increasing trend of the common forest bird index.; 
TA6.60;Reach no net land take;TA6_Preserving and protecting biodiversity;Sustainable Land Use;This target is assigned to the sub-theme "Sustainable Land Use" because it discusses reaching no net land take.; 
TA6.62;Providing financial incentives for forest owners and managers for improving the quantity and quality of EU forests;TA6_Preserving and protecting biodiversity;Sustainable Forest Management;This target is assigned to the sub-theme "Sustainable Forest Management" because it discusses providing financial incentives for improving the quantity and quality of EU forests.; 
TA7.2;Establish locally integrated urban wastewater management plans to combat pollution from rain waters (urban runoff and storm water overflow).;TA7_Towards a zero-pollution ambition for a toxic free environment;Urban Water Management;This target is assigned to the sub-theme "Urban Water Management" because it discusses establishing locally integrated urban wastewater management plans.; 
TA7.3;Member States will be required to improve and maintain access to sanitation for all, in particular for vulnerable and marginalised;TA7_Towards a zero-pollution ambition for a toxic free environment;Sanitation Access;This target is assigned to the sub-theme "Sanitation Access" because it discusses improving and maintaining access to sanitation for all.; 
TA7.4;Member States shall take the measures necessary to ensure that water intended for human consumption is wholesome and clean.;TA7_Towards a zero-pollution ambition for a toxic free environment;Drinking Water Quality;This target is assigned to the sub-theme "Drinking Water Quality" because it discusses ensuring water intended for human consumption is wholesome and clean.; 
TA7.7;Reach good chemical and quantitative status in groundwaters and surfacewaters;TA7_Towards a zero-pollution ambition for a toxic free environment;Water Quality;This target is assigned to the sub-theme "Water Quality" because it discusses reaching good chemical and quantitative status in groundwaters and surfacewaters.; 
TA7.21;Minimise or eliminate the use of pesticides in sensitive areas such as urban green areas;TA7_Towards a zero-pollution ambition for a toxic free environment;Pesticide Reduction;This target is assigned to the sub-theme "Pesticide Reduction" because it discusses minimizing or eliminating the use of pesticides in sensitive areas.;
