TA2.35;Member States will also have to set out specific measures on the phase-out of fossil fuels in heating and cooling with a view to a complete phase-out of boilers powered by fossil fuels by 2040;TA2_Clean, affordable and secure energy;Fossil Fuel Phase-out;"This target is assigned to the sub-theme ""Fossil Fuel Phase-out"" because it discusses phasing out fossil fuels in heating and cooling."; ;
TA3.8;Union's access to a secure and sustainable supply of critical raw materials by ensuring that the Union's extraction capacity is able to extract the ores, minerals or concentrates needed to produce at least 10% of the Union's annual consumption of strategic raw materials, to the extent that the Union’s reserves allow for this;TA3_Industrial strategy for a clean and circular economy;Critical Raw Materials;"This target is assigned to the sub-theme ""Critical Raw Materials"" because it discusses ensuring access to critical raw materials."; ;
TA3.11;Diversify the Union's imports of strategic raw materials with a view to ensure that the Union's annual consumption of each strategic raw material at any relevant stage of processing can rely on imports from several third countries, none of which provide more than 65% of the Union's annual consumption;TA3_Industrial strategy for a clean and circular economy;Diversification of Raw Materials;"This target is assigned to the sub-theme ""Diversification of Raw Materials"" because it discusses diversifying imports of strategic raw materials."; ;
TA3.17;Producers of LMT (Light Means of Transport) batteries or producer responsibility organisations, shall attain, and maintain durably, at least the following collection targets of waste LMT batteries: 51 % by 31 December 2028, 61 % by 31 December 2031.;TA3_Industrial strategy for a clean and circular economy;Battery Recycling;"This target is assigned to the sub-theme ""Battery Recycling"" because it discusses collecting waste batteries."; ;
TA3.21;Recycling shall achieve at least the following targets for recycling efficiency: No later than 31 December 2025 - 65% by average weight of lithium-based batteries, No later than 31 December 2030 - 70% by average weight of lithium-based batteries;TA3_Industrial strategy for a clean and circular economy;Battery Recycling;"This target is assigned to the sub-theme ""Battery Recycling"" because it discusses recycling efficiency targets for lithium-based batteries."; ;
TA3.28;The plastic part in packaging shall contain the following minimum percentage of recycled content recovered from post-consumer plastic waste, per unit of packaging: From 1 January 2030 (i) 30% for contact sensitive packaging made from polyethylene terephthalate (PET) as major component, (ii) 10% for contact sensitive made from plastic materials other than PET, except single use plastic bottles, (iii) 30% for single use plastic beverage bottles, (iv) 35% for other plastic packaging;TA3_Industrial strategy for a clean and circular economy;Plastic Recycling;"This target is assigned to the sub-theme ""Plastic Recycling"" because it discusses minimum recycled content in packaging."; ;
TA3.32;Recycling of plastic in packaging: 55%;TA3_Industrial strategy for a clean and circular economy;Plastic Recycling;"This target is assigned to the sub-theme ""Plastic Recycling"" because it discusses recycling targets for plastic in packaging."; ;
TA3.45;By 2025, the preparing for re-use and recycling of municipal waste shall be increased to a minimum of 55% by weight (60% by 2030, 65% by 2035);TA3_Industrial strategy for a clean and circular economy;Waste Recycling;"This target is assigned to the sub-theme ""Waste Recycling"" because it discusses increasing preparing for re-use and recycling of municipal waste."; ;
TA3.47;Hazardous household waste will have to be collected separately by 2022, bio-waste by 2023 and textiles by 2025;TA3_Industrial strategy for a clean and circular economy;Waste Collection;"This target is assigned to the sub-theme ""Waste Collection"" because it discusses collecting hazardous household waste, bio-waste, and textiles separately."; ;
TA4.14;Renewable and low-carbon fuels should represent between 6% and 9% of the international maritime transport fuel mix by 2030 and between 86% and 88% by 2050;TA4_Sustainable and smart mobility;Sustainable Maritime Transport;"This target is assigned to the sub-theme ""Sustainable Maritime Transport"" because it discusses the share of renewable and low-carbon fuels in maritime transport."; ;
TA4.20;In the first phase, from 2020 up to 2024, the strategic objective is to install at least 6 GW of renewable hydrogen electrolysers in the EU and the production of up to 1 million tonnes of renewable hydrogen.;TA4_Sustainable and smart mobility;Hydrogen Production;"This target is assigned to the sub-theme ""Hydrogen Production"" because it discusses installing renewable hydrogen electrolysers and producing renewable hydrogen."; ;
TA4.25;Member States shall ensure that, at the end of each year, starting from the year referred to in Article 26, the following power output targets are met cumulatively: (a) for each light-duty battery electric vehicle registered in their territory, a total power output of at least 1,3 kW is provided through publicly accessible recharging stations, and (b) for each light-duty plug-in hybrid vehicle registered in their territory, a total power output of at least 0,80 kW is provided through publicly accessible recharging stations;TA4_Sustainable and smart mobility;Electric Vehicle Charging;"This target is assigned to the sub-theme ""Electric Vehicle Charging"" because it discusses providing power output for electric vehicles through publicly accessible recharging stations."; ;
TA4.37;Rail freight traffic will increase by 50% compared to 2015 by 2030.;TA4_Sustainable and smart mobility;Sustainable Rail Transport;"This target is assigned to the sub-theme ""Sustainable Rail Transport"" because it discusses increasing rail freight traffic."; ;
TA5.5;Reduce by 50% the use and risk of chemical pesticides (target in common with the Biodiversity Strategy and Zero Pollution Action Plan);TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Sustainable Pest Control;"This target is assigned to the sub-theme ""Sustainable Pest Control"" because it discusses reducing the use and risk of chemical pesticides."; ;
TA5.8;Sustainable use of water.;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Water Conservation;"This target is assigned to the sub-theme ""Water Conservation"" because it discusses sustainable use of water."; ;
TA5.23;Create new job opportunities.;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Rural Development;"This target is assigned to the sub-theme ""Rural Development"" because it discusses creating new job opportunities."; ;
TA5.32;Ensuring all access to quality, safe, sustainable, nutritious food.;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Sustainable Food Systems;"This target is assigned to the sub-theme ""Sustainable Food Systems"" because it discusses ensuring access to quality, safe, sustainable, and nutritious food."; ;
TA6.1;1.a Legally protect a minimum of 30% of the EU's land area;TA6_Preserving and protecting biodiversity;Habitat Protection;"This target is assigned to the sub-theme ""Habitat Protection"" because it discusses legally protecting a minimum of 30% of the EU's land area."; ;
TA6.7;4. By 2030, significant areas of degraded and carbon-rich ecosystems are restored.;TA6_Preserving and protecting biodiversity;Ecosystem Restoration;"This target is assigned to the sub-theme ""Ecosystem Restoration"" because it discusses restoring degraded and carbon-rich ecosystems."; ;
TA6.8;5. The decline of pollinators is reversed;TA6_Preserving and protecting biodiversity;Pollinator Conservation;"This target is assigned to the sub-theme ""Pollinator Conservation"" because it discusses reversing the decline of pollinators."; ;
TA6.10;7. At least 10% of agricultural area is under high-diversity landscape features;TA6_Preserving and protecting biodiversity;Sustainable Agriculture;"This target is assigned to the sub-theme ""Sustainable Agriculture"" because it discusses having at least 10% of agricultural area under high-diversity landscape features."; ;
TA6.11;9. Three billion trees are planted in the EU, in full respect of ecological principles;TA6_Preserving and protecting biodiversity;Reforestation;"This target is assigned to the sub-theme ""Reforestation"" because it discusses planting three billion trees in the EU."; ;
TA6.13;11. At least 25.000 km of free-flowing rivers are restored;TA6_Preserving and protecting biodiversity;River Restoration;"This target is assigned to the sub-theme ""River Restoration"" because it discusses restoring free-flowing rivers."; ;
TA6.15;13. The losses of nutrients from fertilisers are reduced by 50%, resulting in the reduction of the use of fertilisers by at least 20%;TA6_Preserving and protecting biodiversity;Sustainable Fertilizer Use;"This target is assigned to the sub-theme ""Sustainable Fertilizer Use"" because it discusses reducing nutrient losses from fertilizers."; ;
TA6.17;15. The negative impacts on sensitive species and habitats, including on the seabed through fishing and extraction activities, are substantially reduced;TA6_Preserving and protecting biodiversity;Marine Conservation;"This target is assigned to the sub-theme ""Marine Conservation"" because it discusses reducing negative impacts on sensitive species and habitats in the marine environment."; ;
TA6.44;Member States shall put in place the restoration measures that are necessary to improve to good condition areas of habitat types listed in Annex II which are not in good condition.;TA6_Preserving and protecting biodiversity;Habitat Restoration;"This target is assigned to the sub-theme ""Habitat Restoration"" because it discusses restoring habitat types listed in Annex II."; ;
TA6.50;Providing financial incentives for forest owners and managers for improving the quantity and quality of EU forests;TA6_Preserving and protecting biodiversity;Sustainable Forest Management;"This target is assigned to the sub-theme ""Sustainable Forest Management"" because it discusses providing financial incentives for improving the quantity and quality of EU forests."; ;
TA6.52;(forest ecosystems) Member States shall achieve an increasing trend at national level of the common forest bird index, as further set out in Annex VI, measured in the period from the date of entry into force of this Regulation until 31 December 2030, and every six years thereafter, until the satisfactory levels identified in accordance with Article 11(3) are reached;TA6_Preserving and protecting biodiversity;Forest Conservation;"This target is assigned to the sub-theme ""Forest Conservation"" because it discusses achieving an increasing trend of the common forest bird index."; ;
TA6.60;Reach no net land take;TA6_Preserving and protecting biodiversity;Sustainable Land Use;"This target is assigned to the sub-theme ""Sustainable Land Use"" because it discusses reaching no net land take."; ;
TA6.62;Providing financial incentives for forest owners and managers for improving the quantity and quality of EU forests;TA6_Preserving and protecting biodiversity;Sustainable Forest Management;"This target is assigned to the sub-theme ""Sustainable Forest Management"" because it discusses providing financial incentives for improving the quantity and quality of EU forests."; ;
TA7.2;Establish locally integrated urban wastewater management plans to combat pollution from rain waters (urban runoff and storm water overflow).;TA7_Towards a zero-pollution ambition for a toxic free environment;Urban Water Management;"This target is assigned to the sub-theme ""Urban Water Management"" because it discusses establishing locally integrated urban wastewater management plans."; ;
TA7.3;Member States will be required to improve and maintain access to sanitation for all, in particular for vulnerable and marginalised;TA7_Towards a zero-pollution ambition for a toxic free environment;Sanitation Access;"This target is assigned to the sub-theme ""Sanitation Access"" because it discusses improving and maintaining access to sanitation for all."; ;
TA7.4;Member States shall take the measures necessary to ensure that water intended for human consumption is wholesome and clean.;TA7_Towards a zero-pollution ambition for a toxic free environment;Drinking Water Quality;"This target is assigned to the sub-theme ""Drinking Water Quality"" because it discusses ensuring water intended for human consumption is wholesome and clean."; ;
TA7.7;Reach good chemical and quantitative status in groundwaters and surfacewaters;TA7_Towards a zero-pollution ambition for a toxic free environment;Water Quality;"This target is assigned to the sub-theme ""Water Quality"" because it discusses reaching good chemical and quantitative status in groundwaters and surfacewaters."; ;
TA7.21;Minimise or eliminate the use of pesticides in sensitive areas such as urban green areas;TA7_Towards a zero-pollution ambition for a toxic free environment;Pesticide Reduction;"This target is assigned to the sub-theme ""Pesticide Reduction"" because it discusses minimizing or eliminating the use of pesticides in sensitive areas.";;
TA1.8;Reach energy neutrality in the wastewater treatment sector by 2040. To reach energy neutrality and the additional treatment of nitrogen, GHG emissions would be reduced by 4,86 million tonnes (37,32 % of the avoidable emissions from the sector);TA1_Climate ambition;Reducing Greenhouse Gas Emissions;"This target is assigned to the sub-theme ""Reducing Greenhouse Gas Emissions"" because it aims to reduce GHG emissions by 37,32% in the wastewater treatment sector.";;
TA1.8;Reach energy neutrality in the wastewater treatment sector by 2040. To reach energy neutrality and the additional treatment of nitrogen, GHG emissions would be reduced by 4,86 million tonnes (37,32 % of the avoidable emissions from the sector);TA1_Climate ambition;Improving Energy Efficiency;"This target is also assigned to the sub-theme ""Improving Energy Efficiency"" because it aims to reach energy neutrality in the wastewater treatment sector.";;
TA1.14;Each Member State shall ensure that the annual sum of its greenhouse gas emissions and removals on its territory and in all of the land reporting categories, in each year in the period from 2026 to 2030, does not exceed the limit established by a linear trajectory, ending in 2030 on the target set out for that Member State(no debit rule);TA1_Climate ambition;Reducing Greenhouse Gas Emissions;"This target is assigned to the sub-theme ""Reducing Greenhouse Gas Emissions"" because it sets a limit on the annual sum of greenhouse gas emissions and removals for each Member State.";;
TA2.7;Over this decade, the EU will need to install, on average, approximately 45 GW per year of PV to reach the share of 45% of energy coming from renewables set out in the REPowerEU Plan;TA2_Clean, affordable and secure energy;Solar Energy;"This target is assigned to the sub-theme ""Solar Energy"" because it specifically mentions the installation of PV to reach a share of 45% of energy coming from renewables.";;
TA2.7;Over this decade, the EU will need to install, on average, approximately 45 GW per year of PV to reach the share of 45% of energy coming from renewables set out in the REPowerEU Plan;TA2_Clean, affordable and secure energy;Increasing Renewable Energy;"This target is also assigned to the sub-theme ""Increasing Renewable Energy"" because it aims to increase the share of energy coming from renewables.";;
TA2.9;Member States shall collectively ensure that the share of energy from renewable sources in the Union’s gross final consumption of energy in 2030 is at least 42,5 %.;TA2_Clean, affordable and secure energy;Increasing Renewable Energy;"This target is assigned to the sub-theme ""Increasing Renewable Energy"" because it sets a target for the share of energy from renewable sources in the Union's gross final consumption of energy.";;
TA2.10;Member States shall set an indicative target for innovative renewable energy technology of at least 5 % of newly installed renewable energy capacity by 2030;TA2_Clean, affordable and secure energy;Promoting Innovative Technologies;"This target is assigned to the sub-theme ""Promoting Innovative Technologies"" because it sets a target for innovative renewable energy technology.";;
TA2.14;Member States shall endeavour to increase the share of energy from renewable sources and from waste heat and cold in district heating and cooling by an indicative 2,2 percentage points as an annual average calculated for the period 2021 to 2030, starting from the share of energy from renewable sources and from waste heat and cold in district heating and cooling in 2020;TA2_Clean, affordable and secure energy;Increasing Renewable Energy;"This target is assigned to the sub-theme ""Increasing Renewable Energy"" because it aims to increase the share of energy from renewable sources in district heating and cooling.";;
TA2.20;Renovate each year at least 3% of the total floor area of buildings owned by all levels of public administration (as also agreed by Council-Parliament on 10.03.23);TA2_Clean, affordable and secure energy;Improving Energy Efficiency;"This target is assigned to the sub-theme ""Improving Energy Efficiency"" because it aims to renovate buildings to improve energy efficiency.";;
TA2.31;All existing buildings should be transformed into zero-emission buildings;TA2_Clean, affordable and secure energy;Improving Energy Efficiency;"This target is assigned to the sub-theme ""Improving Energy Efficiency"" because it aims to transform all existing buildings into zero-emission buildings.";;
TA2.33;The national measures will have to ensure that at least 55% of the decrease of the average primary energy use is achieved through the renovation of the worst-performing buildings;TA2_Clean, affordable and secure energy;Improving Energy Efficiency;"This target is assigned to the sub-theme ""Improving Energy Efficiency"" because it aims to ensure that a significant portion of the decrease in primary energy use is achieved through building renovation.";;
TA2.38;The strategy sets targets for an installed capacity of at least 60 GW of offshore wind by 2030 and at least 300 GW by 2050.;TA2_Clean, affordable and secure energy;Wind Energy;"This target is assigned to the sub-theme ""Wind Energy"" because it specifically mentions offshore wind.";;
TA2.38;The strategy sets targets for an installed capacity of at least 60 GW of offshore wind by 2030 and at least 300 GW by 2050.;TA2_Clean, affordable and secure energy;Increasing Renewable Energy;"This target is also assigned to the sub-theme ""Increasing Renewable Energy"" because it aims to increase the installed capacity of offshore wind.";;
TA2.39;The strategy sets targets for an installed capacity of at least 1 GW of ocean energy by 2030 and 40 GW by 2050.;TA2_Clean, affordable and secure energy;Ocean Energy;"This target is assigned to the sub-theme ""Ocean Energy"" because it specifically mentions ocean energy.";;
TA2.39;The strategy sets targets for an installed capacity of at least 1 GW of ocean energy by 2030 and 40 GW by 2050.;TA2_Clean, affordable and secure energy;Increasing Renewable Energy;"This target is also assigned to the sub-theme ""Increasing Renewable Energy"" because it aims to increase the installed capacity of ocean energy.";;
TA3.1;Halve the amount of residual (non-recycled) municipal waste;TA3_Industrial strategy for a clean and circular economy;Reducing Waste;"This target is assigned to the sub-theme ""Reducing Waste"" because it aims to halve the amount of residual municipal waste.";;
TA3.12;by 2030, manufacturing capacity in the Union of the strategic net-zero technologies listed in the Annex approaches or reaches a benchmark of at least 40% of the Union’s annual deployment needs for the corresponding technologies necessary to achieve the Union’s 2030 climate and energy targets;TA3_Industrial strategy for a clean and circular economy;Promoting Sustainable Technologies;"This target is assigned to the sub-theme ""Promoting Sustainable Technologies"" because it aims to increase the manufacturing capacity of strategic net-zero technologies.";;
TA3.20;Recycling shall achieve at least the following targets for recycling efficiency: No later than 31 December 2025, - 75% by average weight of lead-acid batteries, - 80% by average weight of nickel-cadmium batteries, - 50% by average weight of other waste batteries;TA3_Industrial strategy for a clean and circular economy;Improving Recycling;"This target is assigned to the sub-theme ""Improving Recycling"" because it sets targets for recycling efficiency.";;
TA3.23;All recycling shall achieve at least the following targets for recovery of materials: No later than 31 December 2027, - 90% for cobalt, copper, lead, nickel; No later than 31 December 2031, - 95% for cobalt, copper, lead, nickel;TA3_Industrial strategy for a clean and circular economy;Improving Recycling;"This target is assigned to the sub-theme ""Improving Recycling"" because it sets targets for recovery of materials.";
TA3.39;From 2025, beverage bottles listed in Part F of the Annex which are manufactured from polyethylene terephthalate as the major component (‘PET bottles’) contain at least 25 % recycled plastic, calculated as an average for all PET bottles placed on the market on the territory of that Member State;TA3_Industrial strategy for a clean and circular economy;Increasing Recycling Rate;"This target is assigned to the sub-theme ""Increasing Recycling Rate"" because it aims to increase the use of recycled plastic in PET bottles.";;
TA3.42;From 15 August 2018, the recovery targets for the WEEE falling within the following categories of Annex III shall be: - 85% for Category 1 (temperature exchange equipment) or Category 4 (large equipment with any external dimension more than 50 cm), - 80% for Category 2 (e.g., screens and monitors), - 75% for Category 5 (small equipment with no external dimension more than 50 cm) or 6 (Small IT and telecommunication equipment with no external dimension more than 50 cm);TA3_Industrial strategy for a clean and circular economy;Improving Recycling;"This target is assigned to the sub-theme ""Improving Recycling"" because it sets targets for recovery of WEEE.";;
TA3.43;From 15 August 2018, the preparation for re-use targets for the WEEE falling within the following categories of Annex III shall be: - 80% for Category 1 or Category 4, - 70% for Category 2, - 55% for Category 5 or Category 6;TA3_Industrial strategy for a clean and circular economy;Improving Recycling;"This target is assigned to the sub-theme ""Improving Recycling"" because it sets targets for preparation for re-use of WEEE.";;
TA3.44;From 15 August 2018, the recycling targets for the WEEE falling within the following categories of Annex III shall be: - 0% for Category 1 or Category 4, - 70% for Category 2, - 55% for Category 5 or Category 6;TA3_Industrial strategy for a clean and circular economy;Improving Recycling;"This target is assigned to the sub-theme ""Improving Recycling"" because it sets targets for recycling of WEEE.";;
TA4.8;Member States with maritime ports should endeavour to ensure that from 2030 the share of renewable fuels of non-biological origin in the total amount of energy supplied to the maritime transport sector is at least 1,2 %.;TA4_Sustainable and smart mobility;Increasing Renewable Energy;"This target is assigned to the sub-theme ""Increasing Renewable Energy"" because it aims to increase the share of renewable fuels of non-biological origin in the maritime transport sector.";;
TA4.11;Reduce the average door-to-door cost of combined transport operations by at least 10% within 7 years;TA4_Sustainable and smart mobility;Improving Transport Efficiency;"This target is assigned to the sub-theme ""Improving Transport Efficiency"" because it aims to reduce the average door-to-door cost of combined transport operations.";;
TA4.21;In a third phase, from 2030 onwards and towards 2050, renewable hydrogen technologies should reach maturity and be deployed at large scale to reach all hard-to-decarbonise sectors where other alternatives might not be feasible or have higher costs.;TA4_Sustainable and smart mobility;Promoting Hydrogen Technologies;"This target is assigned to the sub-theme ""Promoting Hydrogen Technologies"" because it aims to deploy renewable hydrogen technologies at large scale.";;
TA4.27;By 31 December 2030 (with intermediate 2025 and 2027 targets), along the TEN-T core road network, publicly accessible recharging pools dedicated to heavy-duty electric vehicles are deployed in each direction of travel with a maximum distance of 60 km between them [...] (with intermediate 2025 and 2027 targets).;TA4_Sustainable and smart mobility;Improving Electric Vehicle Infrastructure;"This target is assigned to the sub-theme ""Improving Electric Vehicle Infrastructure"" because it aims to deploy publicly accessible recharging pools for heavy-duty electric vehicles.";;
TA4.29;By 31 December 2030, in each urban node publicly accessible recharging points dedicated to heavy-duty electric vehicles with an aggregated power output of at least 1 800 kW are deployed, provided by recharging stations with an individual power output of at least 150 kW.;TA4_Sustainable and smart mobility;Improving Electric Vehicle Infrastructure;"This target is assigned to the sub-theme ""Improving Electric Vehicle Infrastructure"" because it aims to deploy publicly accessible recharging points for heavy-duty electric vehicles.";;
TA4.31;Member States shall ensure that by 31 December 2030 publicly accessible hydrogen refuelling stations designed for a minimum cumulative capacity of 1 tonne per day and equipped with at least a 700 bar dispenser are deployed with a maximum distance of 200 km between them along the TEN-T core network;TA4_Sustainable and smart mobility;Improving Hydrogen Infrastructure;"This target is assigned to the sub-theme ""Improving Hydrogen Infrastructure"" because it aims to deploy publicly accessible hydrogen refuelling stations.";;
TA4.33;Member States shall ensure that at least one installation providing shore-side electricity supply to inland waterway vessels is deployed at all TEN-T core inland waterway ports by 1 January 2025, at least one installation providing shore-side electricity supply to inland waterway vessels is deployed at all TEN-T comprehensive inland waterway ports by 1 January 2030.;TA4_Sustainable and smart mobility;Improving Electric Vehicle Infrastructure;"This target is assigned to the sub-theme ""Improving Electric Vehicle Infrastructure"" because it aims to deploy shore-side electricity supply installations for inland waterway vessels.";;
TA4.34;Member States shall ensure that a minimum shore-side electricity supply for seagoing container ships and seagoing passenger ships is provided in TEN-T maritime ports.;TA4_Sustainable and smart mobility;Improving Electric Vehicle Infrastructure;"This target is assigned to the sub-theme ""Improving Electric Vehicle Infrastructure"" because it aims to provide shore-side electricity supply for seagoing container ships and passenger ships.";;
TA4.45;There will be at least 30 million zero-emission cars and 80.000 zero-emission lorries in operation;TA4_Sustainable and smart mobility;Promoting Zero-Emission Vehicles;"This target is assigned to the sub-theme ""Promoting Zero-Emission Vehicles"" because it aims to increase the number of zero-emission cars and lorries in operation.";;
TA5.6;Increase sustainable fishing and aquaculture. Bring fish stocks to sustainable levels. Significant increase in organic aquaculture.;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Promoting Sustainable Fishing;"This target is assigned to the sub-theme ""Promoting Sustainable Fishing"" because it aims to increase sustainable fishing and aquaculture.";;
TA5.13;Reduce food waste. Prevent food loss and waste. Halve per capita food waste at retail and consumer levels;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Reducing Food Waste;"This target is assigned to the sub-theme ""Reducing Food Waste"" because it aims to reduce food waste and prevent food loss.";;
TA5.15;Reduce the environmental and climate footprint of the EU food system, operating within planetary boundaries;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Improving Environmental Sustainability;"This target is assigned to the sub-theme ""Improving Environmental Sustainability"" because it aims to reduce the environmental and climate footprint of the EU food system.";;
TA5.17;Help farmers and fishers to strengthen their position in the supply chain and to capture a fair share of the added value of sustainable production;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Improving Farmer Income;"This target is assigned to the sub-theme ""Improving Farmer Income"" because it aims to help farmers and fishers strengthen their position in the supply chain.";;
TA5.22;Create shorter supply chains will support reducing dependence on long-haul transportation.;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Improving Transport Efficiency;"This target is assigned to the sub-theme ""Improving Transport Efficiency"" because it aims to create shorter supply chains to reduce dependence on long-haul transportation.";;
TA5.29;Improve availability of sustainable food. Ensure that the healthy option is always the easiest one. Ensure food supply.;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Improving Food Availability;"This target is assigned to the sub-theme ""Improving Food Availability"" because it aims to improve the availability of sustainable food.";;
TA5.30;Ensure affordability and access to sufficient, nutritious and sustainable food.;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Improving Food Affordability;"This target is assigned to the sub-theme ""Improving Food Affordability"" because it aims to ensure affordability and access to sufficient, nutritious, and sustainable food.";;
TA5.34;Reverse prevalence of overweight and diet-related diseases;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Improving Public Health;"This target is assigned to the sub-theme ""Improving Public Health"" because it aims to reverse the prevalence of overweight and diet-related diseases.";;
TA6.5;Effectively manage all protected areas, defining clear conservation objectives and measures, and monitoring them appropriately;TA6_Preserving and protecting biodiversity;Improving Conservation Management;"This target is assigned to the sub-theme ""Improving Conservation Management"" because it aims to effectively manage all protected areas.";;
TA6.9;The risk and use of chemical pesticides is reduced by 50%, and the use of more hazardous pesticides is reduced by 50%;TA6_Preserving and protecting biodiversity;Reducing Chemical Pesticides;"This target is assigned to the sub-theme ""Reducing Chemical Pesticides"" because it aims to reduce the risk and use of chemical pesticides.";;
TA6.14;There is a 50% reduction in the number of Red List species threatened by invasive alien species;TA6_Preserving and protecting biodiversity;Protecting Biodiversity;"This target is assigned to the sub-theme ""Protecting Biodiversity"" because it aims to reduce the number of Red List species threatened by invasive alien species.";;
TA6.18;The by-catch of species is eliminated or reduced to a level that allows species recovery and conservation;TA6_Preserving and protecting biodiversity;Protecting Biodiversity;"This target is assigned to the sub-theme ""Protecting Biodiversity"" because it aims to eliminate or reduce the by-catch of species.";;
TA6.36;Member States shall ensure that the condition is known for at least 90% of area distributed overall habitat types listed in Annex I by 2030 and 100% by 2040.;TA6_Preserving and protecting biodiversity;Improving Conservation Management;"This target is assigned to the sub-theme ""Improving Conservation Management"" because it aims to ensure that the condition of habitat types is known.";;
TA6.63;Restore degraded land and soil, including land affected by desertification, drought and floods;TA6_Preserving and protecting biodiversity;Restoring Degraded Land;"This target is assigned to the sub-theme ""Restoring Degraded Land"" because it aims to restore degraded land and soil.";;
