```csv
target_code;target_content;thematic_area;sub_theme;justification
TA5.17;Sectorial growth: Help farmers and fishers to strengthen their position in the supply chain and to capture a fair share of the added value of sustainable production;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Supply Chain Strengthening;This target focuses on empowering farmers and fishers within the supply chain, which is crucial for equitable and sustainable production.
TA6.42;ecosystems. Member States shall put in place the restoration measures that are necessary to re-establish the habitat types of groups 1-6 listed in Annex II in areas not covered by those habitat types with the aim to reach their favourable reference area. Such measures shall be in place on areas representing at least 30% of the additional overall surface needed to reach the total favourable reference area of each group of habitat types, as quantified in the national restoration plan referred to in Article 12, by 2030, at least 60% of that surface by 2040, and 100% of that surface by 2050.;TA6_Preserving and protecting biodiversity;Habitat Restoration;This target is about restoring habitat types to reach their favourable reference area, which is essential for biodiversity conservation.
TA1.15;Reduce buildings’ greenhouse gas emissions by 60%, by 2030 (compared to 2015), and reach climate neutrality by 2050;TA1_Climate ambition;Building Emissions Reduction;This target focuses on reducing greenhouse gas emissions from buildings, which is crucial for achieving climate neutrality.
TA3.28;The plastic part in packaging shall contain the following minimum percentage of recycled content recovered from post-consumer plastic waste, per unit of packaging: From 1 January 2030 (i) 30% for contact sensitive packaging made from polyethylene terephthalate (PET) as major component, (ii) 10% for contact sensitive made from plastic materials other than PET, except single use plastic bottles, (iii) 30% for single use plastic beverage bottles, (iv) 35% for other plastic packaging From 1 January 2040 (v) 50% for contact sensitive plastic packaging, except single use plastic beverage bottles, (vi) 65% for single use plastic beverage bottles, (vii) 65% for other plastic packaging;TA3_Industrial strategy for a clean and circular economy;Plastic Recycling;This target sets minimum recycled content requirements for plastic packaging, which is key for promoting recycling and reducing plastic waste.
TA5.32;Food security: Ensuring food security and access to quality, safe, sustainable, nutritious food for all.;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Food Security;This target emphasizes ensuring food security and access to sustainable and nutritious food, which is fundamental for the Farm to Fork Strategy.
TA1.7;Reduce methane emissions by 35 to 37% compared to 2005 levels, by 2030;TA1_Climate ambition;Methane Emissions Reduction;This target focuses on reducing methane emissions, which is a potent greenhouse gas contributing to climate change.
TA3.24;Reduce the generation of food waste in processing and manufacturing by 10% in comparison to the amount generated in 2020;TA3_Industrial strategy for a clean and circular economy;Food Waste Reduction;This target aims to reduce food waste in processing and manufacturing, which is crucial for a circular economy.
TA2.15;By 2022, achieve 18% of the total increase in the share of energy from renewable sources between that Member State’s binding 2020 national target, and its contribution to the 2030 target of the share of energy from renewable sources in gross final consumption of energy. Achieve 43% by 2025, 65% by 2027.;TA2_Clean, affordable and secure energy;Renewable Energy Targets;This target sets specific goals for increasing the share of renewable energy, which is vital for transitioning to clean energy.
TA3.29;Member States shall take measures to achieve a sustained reduction in the consumption of lightweight plastic carrier bags on their territory. A sustained reduction is achieved if the annual consumption does not exceed 40 lightweight plastic carrier bags per person, or the equivalent target in weight, by 31 December 2025, and subsequently by 31 December in each year thereafter.;TA3_Industrial strategy for a clean and circular economy;Plastic Waste Reduction;This target focuses on reducing the consumption of lightweight plastic carrier bags, which is important for minimizing plastic waste.
TA3.31;Member States shall take the necessary measures to attain the recycling targets of 65% by weight of all packaging waste generated by 31 December 2025, and of 70% by weight of all packaging waste generated by 31 December 2030.;TA3_Industrial strategy for a clean and circular economy;Packaging Waste Recycling;This target sets recycling targets for packaging waste, which is crucial for a circular economy.
TA1.13;No debit rule. For the period from 2021 to 2025, each Member State shall ensure that greenhouse gas emissions from the sector do not exceed greenhouse gas removals, calculated as the sum of total emissions and total removals on its territory in all the land accounting categories. The accounting benchmark for the EU is ca. -229 MtCO2e/year for 2021-2025;TA1_Climate ambition;Carbon Neutrality;This target focuses on balancing greenhouse gas emissions with removals, which is essential for achieving carbon neutrality.
TA7.13;Reduce by 25% the EU ecosystems where air pollution threatens biodiversity, by 2030 (compared to 2005);TA7_Towards a zero-pollution ambition for a toxic free environment;Air Pollution Reduction;This target aims to reduce air pollution in ecosystems, which is crucial for protecting biodiversity.
TA6.13;At least 25.000 km of free-flowing rivers are restored;TA6_Preserving and protecting biodiversity;River Restoration;This target focuses on restoring free-flowing rivers, which is essential for maintaining aquatic biodiversity and ecosystem services.
TA4.18;The share of biofuels and biogas produced from the feedstock listed in Part B of Annex IX in the energy content of fuels and electricity supplied to the transport sector shall, except in Cyprus and Malta, be limited to 1.7%.;TA4_Sustainable and smart mobility;Biofuels and Biogas;This target sets a limit on the share of biofuels and biogas in the transport sector, which is important for sustainable energy use in transportation.
TA4.32;States shall ensure that, at all airports of the TEN-T core network and TEN-T comprehensive network, the provision of electricity supply to stationary aircraft is ensured by 31 December 2029, at all aircraft remote stands used for commercial air transport operations to embark or disembark passengers or to load or unload goods;TA4_Sustainable and smart mobility;Airport Electrification;This target focuses on providing electricity supply to stationary aircraft, which is crucial for reducing emissions at airports.
TA3.36;Member States shall take the necessary measures to attain a recycling target of 70% of glass by weight of glass contained in packaging waste generated by 31 December 2025 and of 75% by 31 December 2030;TA3_Industrial strategy for a clean and circular economy;Glass Recycling;This target sets recycling targets for glass packaging waste, which is important for promoting recycling and reducing waste.
TA3.17;Producers of LMT batteries or, where appointed in accordance with Article 57(1), producer responsibility organisations, shall attain, and maintain durably, at least the following collection targets of waste LMT batteries: - 51% by 31 December 2028, - 61% by 31 December 2031.;TA3_Industrial strategy for a clean and circular economy;Battery Recycling;This target sets collection targets for waste LMT batteries, emphasizing the importance of recycling in the circular economy.
TA6.14;There is a 50% reduction in the number of Red List species threatened by Invasive Alien Species (IAS);TA6_Preserving and protecting biodiversity;Invasive Species Management;This target focuses on reducing the threat of invasive alien species to Red List species, which is crucial for biodiversity conservation.
TA6.40;(pollinator) Member States shall, by putting in place in a timely manner appropriate and effective measures, improve pollinator diversity and reverse the decline of pollinator populations at the latest by 2030 and thereafter achieve an increasing trend of pollinator populations, measured at least every six years from 2030, until satisfactory levels are achieved, as set in accordance with Article 14(5).;TA6_Preserving and protecting biodiversity;Pollinator Conservation;This target aims to improve pollinator diversity and reverse their decline, which is essential for biodiversity and ecosystem services.
TA6.39;Natural connectivity of rivers and natural functions of the related floodplains. Member States shall make an inventory of artificial barriers and remove them to connectivity of surface waters and, taking into account their socio-economic functions, identify the barriers that need to be removed to contribute to the achievement of the restoration targets set out in Article 4 of this Regulation and of the objective of restoring at least 25.000 km of rivers into free-flowing rivers in the Union.;TA6_Preserving and protecting biodiversity;River Connectivity;This target focuses on improving the natural connectivity of rivers, which is crucial for aquatic biodiversity and ecosystem health.
TA6.10;At least 10% of agricultural area is under high-diversity landscape features;TA6_Preserving and protecting biodiversity;Agricultural Biodiversity;This target aims to increase high-diversity landscape features in agricultural areas, which is important for biodiversity conservation.
TA6.29;Terrestrial ecosystems. Member States shall put in place [...] measures [...] to jointly cover, as a Union target, throughout the areas and ecosystems [...] defined in Art. 2, by 2030, at least 20% of land areas in need of restoration and, by 2050, all ecosystems in need of restoration.;TA6_Preserving and protecting biodiversity;Ecosystem Restoration;This target focuses on restoring terrestrial ecosystems, which is essential for biodiversity and ecosystem health.
TA5.3;Reduce nutrient losses by at least 50%, while ensuring that there is no deterioration in soil fertility.;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Nutrient Management;This target aims to reduce nutrient losses while maintaining soil fertility, which is crucial for sustainable agriculture.
TA2.13;The amount of renewable fuels and renewable electricity supplied to the transport sector leads to a: (i) share of renewable energy within the final consumption of energy in the transport sector of at least 29 % by 2030, or (ii) GHG intensity reduction of at least 14.5 % by 2030, compared to the baseline set out in Article 27(1), in accordance with an indicative trajectory set by the Member State.;TA2_Clean, affordable and secure energy;Renewable Energy in Transport;This target focuses on increasing the share of renewable energy in the transport sector, which is vital for reducing greenhouse gas emissions.
TA2.18;Indicative target of at least a 49% share of energy from renewable sources in the building sector in the Union’s final energy consumption in buildings in 2030.;TA2_Clean, affordable and secure energy;Renewable Energy in Buildings;This target sets a goal for the share of renewable energy in the building sector, which is important for transitioning to clean energy.
TA6.3;Strictly protect at least a third of the EU'S protected areas;TA6_Preserving and protecting biodiversity;Protected Areas;This target focuses on the strict protection of EU protected areas, which is crucial for biodiversity conservation.
TA3.48;The plastic contained in each vehicle type that is type-approved as of [the first day of the month following 72 months after the date of entry into force of the Regulation] under Regulation (EU) 2018/858 shall contain a minimum of 25 % of plastic recycled by weight from post-consumer plastic waste.;TA3_Industrial strategy for a clean and circular economy;Vehicle Plastic Recycling;This target sets a requirement for recycled plastic content in vehicles, which is important for promoting recycling and reducing plastic waste.
TA5.33;Nutrition and healthy, sustainable diets: Move to healthier and more sustainable diets.;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Sustainable Diets;This target emphasizes the transition to healthier and more sustainable diets, which is crucial for public health and environmental sustainability.
TA6.16;Cities with at least 20.000 inhabitants have an ambitious Urban Greening Plan;TA6_Preserving and protecting biodiversity;Urban Greening;This target focuses on urban greening plans for cities, which are important for enhancing urban biodiversity and ecosystem services.
TA4.7;Each Member State shall set an obligation on fuel suppliers to ensure that: (B) the combined share of advanced biofuels and biogas produced from the feedstock listed in Part A of Annex IX and of renewable fuels of non-biological origin in the energy supplied to the transport sector is at least 1% in 2025 and 5.5% in 2030, of which a share of at least 1 percentage point is from renewable fuels of non-biological origin in 2030.;TA4_Sustainable and smart mobility;Advanced Biofuels;This target sets obligations for the share of advanced biofuels and biogas in the transport sector, which is important for sustainable mobility.
TA6.2;Legally protect a minimum of 30% of the EU's sea area;TA6_Preserving and protecting biodiversity;Marine Protection;This target focuses on the legal protection of marine areas, which is crucial for marine biodiversity conservation.
TA6.8;The decline of pollinators is reversed (the target is in common with "A New Deal for Pollinators");TA6_Preserving and protecting biodiversity;Pollinator Conservation;This target aims to reverse the decline of pollinators, which is essential for biodiversity and ecosystem services.
TA3.49;At least 25% of the target set out in the first subparagraph shall be achieved by including plastics recycled from end-of-life vehicles in the vehicle type concerned.;TA3_Industrial strategy for a clean and circular economy;Vehicle Plastic Recycling;This target emphasizes the inclusion of recycled plastics from end-of-life vehicles, which is important for promoting recycling and reducing plastic waste.
TA6.11;Three billion trees are planted in the EU, in full respect of ecological principles;TA6_Preserving and protecting biodiversity;Tree Planting;This target focuses on planting trees, which is crucial for biodiversity, carbon sequestration, and ecosystem services.
TA2.37;By 2030, the share of renewable energy in the electricity mix should double to 55-60%, and projections show a share of around 84% by 2050. The remaining gap should be covered by other low-carbon options.;TA2_Clean, affordable and secure energy;Renewable Energy Targets;This target sets ambitious goals for increasing the share of renewable energy in the electricity mix, which is vital for transitioning to clean energy.
```
