```csv
target_code;target_content;thematic_area;sub_theme;justification
TA6.35;Terrestrial, coastal and freshwater ecosystems. Member States shall ensure that there is: (a) an increase of habitat area in good condition for habitat types listed in Annex I until at least 90% is in good condition and until the favourable reference area for each habitat type in each biogeographic region of the Member State concerned is reached, (b) an increasing trend towards the sufficient quality and quantity of the terrestrial, coastal and freshwater habitats of the species referred to in Annexes II, IV and V to Directive 92/43/EEC and of the species covered by Directive 2009/147/EC.;TA6_Preserving and protecting biodiversity;Habitat Restoration;This target is about improving the condition and area of various habitats, which is central to habitat restoration efforts.
TA2.4;Double the current deployment rate of individual heat pumps, resulting in a cumulative 10 million units by 2027 and 30 million units by 2030.;TA2_Clean, affordable and secure energy;Heat Pumps;The target focuses on increasing the deployment of heat pumps, which is a specific technology within the renewable energy sector.
TA6.44;(agricultural ecosystems) Member States shall put in place measures which shall aim to achieve an increasing trend at national level of at least two out of the three following indicators in agricultural ecosystems, as further specified in Annex IV, measured in the period from the date of entry into force of this Regulation until 31 December 2030, and every six years thereafter, until the satisfactory levels, identified in accordance with Article 14(5), are reached: (a) grassland butterfly index, (b) stock of organic carbon in cropland mineral soils, (c) share of agricultural land with high-diversity landscape features.;TA6_Preserving and protecting biodiversity;Agricultural Biodiversity;This target aims to improve biodiversity indicators in agricultural ecosystems, which is crucial for maintaining agricultural biodiversity.
TA4.55;Zero-emission in urban logistics;TA4_Sustainable and smart mobility;Urban Logistics;The target focuses on achieving zero emissions in urban logistics, which is a specific aspect of sustainable urban mobility.
TA2.23;Member States shall make efforts to collectively contribute to the indicative Union primary energy consumption target amounting to no more than 992.5 Mtoe in 2030.;TA2_Clean, affordable and secure energy;Energy Efficiency;This target sets a collective energy consumption target, emphasizing the importance of energy efficiency in achieving it.
TA3.34;Member States shall take the necessary measures to attain a recycling target of 70% of ferrous metals by weight of ferrous metals contained in packaging waste generated by 31 December 2025 and of 80% by 31 December 2030;TA3_Industrial strategy for a clean and circular economy;Metal Recycling;The target sets specific recycling targets for ferrous metals, highlighting the importance of metal recycling in waste management.
TA6.50;Reach no net land take;TA6_Preserving and protecting biodiversity;Land Use;This target aims to achieve no net land take, which is a critical aspect of sustainable land use and biodiversity protection.
TA3.37;Member States shall take the necessary measures to attain a recycling target of 75% of paper and card- board by weight of paper and cardboard contained in packaging waste generated by 31 December 2025 and of 85% by 31 December 2030;TA3_Industrial strategy for a clean and circular economy;Paper Recycling;The target sets specific recycling targets for paper and cardboard, emphasizing the importance of recycling in waste management.
TA6.52;The Ambient Air Quality Directives set EU air quality standards for 12 air pollutants: sulphur dioxide, nitrogen dioxide / nitrogen oxides, particulate matter (PM10, PM2.5), ozone, benzene, lead, carbon monoxide, arsenic, cadmium, nickel, and benzo(a)pyrene. The Directives take into account relevant World Health Organisation standards, guidelines and programmes. The Directives also guide the assessment of air quality by establishing a representative high-quality monitoring network, with more than 4.000 air quality monitoring stations across the EU, and by exchanging reliable, objective, comparable information on air quality, including to a wider public. Where levels are elevated above limit or target values, Member States should prepare an air quality plan or programme to address the sources responsible to ensure compliance and to keep exceedance periods as short as possible. In addition, information on air quality should be disseminated to the public.;TA6_Preserving and protecting biodiversity;Air Quality;This target focuses on setting and maintaining air quality standards, which is essential for protecting biodiversity and human health.
TA4.30;Member States shall ensure that, by 31 December 2030, at least one publicly accessible hydrogen refuelling station is deployed in each urban node.;TA4_Sustainable and smart mobility;Hydrogen Infrastructure;The target aims to establish hydrogen refueling stations, which are crucial for supporting hydrogen-based transportation.
TA5.8;Water: Preserving freshwater, boosting water reuse in agriculture.;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Water Management;This target focuses on preserving freshwater resources and promoting water reuse, which are key components of sustainable water management.
TA2.5;Bring online over 320 GW of solar photovoltaic by 2025 and almost 600 GW by 2030;TA2_Clean, affordable and secure energy;Solar Energy;The target sets ambitious goals for solar photovoltaic capacity, highlighting the importance of solar energy in the renewable energy mix.
TA5.14;Circular economy: Scale-up and promote sustainable and socially responsible production methods and circular business models in food processing and retail.;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Circular Economy in Food;This target emphasizes the promotion of circular economy principles in food processing and retail, which is crucial for sustainability.
TA6.45;(agricultural ecosystems) Member States shall put in place restoration measures which shall aim to ensure that the common farmland bird index at national level based on the species specified in Annex V reaches the following levels: (a) 110 by 2030, 120 by 2040 and 130 by 2050, for Member States listed in Annex V with historically more depleted populations of farmland birds, (b) 105 by 2030, 110 by 2040 and 115 by 2050, for Member States listed in Annex V with historically less depleted populations of farmland birds.;TA6_Preserving and protecting biodiversity;Farmland Biodiversity;This target focuses on improving the farmland bird index, which is a key indicator of biodiversity in agricultural landscapes.
TA3.11;Diversify the Union’s imports of strategic raw materials with a view to ensuring that, by 2030, the Union’s annual consumption of each strategic raw ma- terial at any relevant stage of processing can rely on imports from several third countries or from overseas countries or territories (OCTs) and that no third country accounts for more than 65% of the Union’s annual consumption of such a strategic raw material.;TA3_Industrial strategy for a clean and circular economy;Strategic Raw Materials;The target emphasizes the diversification of imports for strategic raw materials, which is crucial for supply chain resilience.
TA7.10;Improve water quality by reducing waste, plastic litter at sea (by 50%);TA7_Towards a zero-pollution ambition for a toxic free environment;Marine Pollution;This target focuses on reducing plastic litter at sea, which is a significant aspect of marine pollution control.
TA2.41;Member States are required to achieve cumulative end-use energy savings from 2021 to 2030, equivalent to new annual savings of at least 0.8% of final energy consumption in 2021-2023, at least 1.3% in 2024-2025, 1.5% in 2026-2027 and 1.9% in 2028-2030.;TA2_Clean, affordable and secure energy;Energy Efficiency;The target sets specific energy savings goals, highlighting the importance of energy efficiency in reducing consumption.
TA6.28;In accordance with the CFP, it is crucial to continue and accelerate the work of rebuilding and keeping fish stocks above MSY levels (Maximum Sustainable Yield);TA6_Preserving and protecting biodiversity;Fisheries Management;This target focuses on maintaining fish stocks above sustainable yield levels, which is essential for sustainable fisheries management.
TA6.62;The Water Reuse Regulation aim to encourage and facilitate water reuse in the EU by harmonised minimum water quality requirements for the safe reuse of treated urban wastewaters in agricultural irrigation. Further requirements are set for monitoring, risk management, transparency and permits on production and supply of reclaimed water for agricultural irrigation;TA6_Preserving and protecting biodiversity;Water Reuse;This target promotes water reuse in agriculture, which is crucial for sustainable water management and biodiversity protection.
TA6.9;6. The risk and use of chemical pesticides is reduced by 50%, and the use of more hazardous pesticides is reduced by 50%;TA6_Preserving and protecting biodiversity;Pesticide Reduction;This target aims to reduce the use of chemical pesticides, which is critical for protecting biodiversity and human health.
TA7.5;The revised Urban Wastewater Treatment Directive (UWWTD) extends the scope of the 1991 UWWTD to improve and maintain access to sanitation for all, in particular for vulnerable and marginalised groups, while aligning with the ZPAP and EGD climate and energy objectives. This will be ensured by a number of new obligations on secondary treatment, now extended to all agglomerations with at least 1 000 population equivalent , by 2035. Member States will ensure the application of: - Tertiary treatment, for the removal of nitrogen and phosphorus (by 2039) - Quaternary treatment, for the removal of a broad spectrum of micropollutants (by 2045) These apply to larger plants of 150 000 p.e. (and above, with intermediate targets).;TA7_Towards a zero-pollution ambition for a toxic free environment;Wastewater Treatment;This target focuses on improving wastewater treatment processes, which is essential for reducing pollution and protecting water quality.
TA7.14;Reduce the share of people chronically disturbed by transport noise by 30%, by 2030 (compared to 2017) (2030 target contributing to the 2050 ambition of a toxic-free environment);TA7_Towards a zero-pollution ambition for a toxic free environment;Noise Pollution;This target aims to reduce transport noise, which is a significant aspect of noise pollution control.
TA4.31;Member States shall ensure that, by 31 December 2030, publicly accessible hydrogen refuelling stations with a total capacity of at least 1 tonne per day, and equipped with at least a 700 bar dispenser, are deployed at least every 200 km along the TEN-T (Trans-European Transport Network) core network;TA4_Sustainable and smart mobility;Hydrogen Infrastructure;The target aims to establish hydrogen refueling stations along major transport networks, which is crucial for supporting hydrogen-based transportation.
TA5.27;Food messaging: Provide food information and labelling to empower consumers to make informed, healthy and sustainable food choices. Strengthen educational messages on the importance of healthy nutrition, sustainable food production and consumption, and reducing food waste;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Food Information and Education;This target focuses on providing food information and education to consumers, which is essential for promoting healthy and sustainable food choices.
TA3.52;At least 20% of the carbon used in the chemical and plastic products should be from sustainable non-fossil sources by 2030, in full consideration of the EU's biodiversity and circular economy objectives and of the upcoming policy framework for bio-based, biodegradable and compostable plastics.;TA3_Industrial strategy for a clean and circular economy;Sustainable Carbon Sources;This target emphasizes the use of sustainable carbon sources in chemical and plastic products, which is crucial for reducing reliance on fossil fuels.
TA2.14;Each Member State shall increase the share of renewable energy in the heating and cooling sector by at least 0.8 percentage points as an annual average calculated for the period 2021 to 2025 and by at least 1.1 percentage points as an annual average calculated for the period 2026 to 2030, starting from the share of renewable energy in the sector in 2020.;TA2_Clean, affordable and secure energy;Renewable Heating and Cooling;The target focuses on increasing the share of renewable energy in heating and cooling, which is a specific area within the renewable energy sector.
TA6.41;Marine ecosystems. Member States shall put in place the restoration measures [...] to improve [...] areas of habitat types listed in Annex II which are not in good condition. Such measures shall be in place: (a) on at least 30% by 2030 of the total area of groups 1–6 of habitat types listed in Annex II [...], (b) on at least 60% by 2040 and on at least 90% by 2050 of the area of each of the groups 1–6 of habitat types listed in An- nex II [...], (c) on at least two thirds of the percentage, referred to in point (d), by 2040 of the area of group 7 of habitat types listed in Annex II [...];TA6_Preserving and protecting biodiversity;Marine Habitat Restoration;This target focuses on restoring marine habitats, which is essential for preserving marine biodiversity.
TA1.8;Reach energy neutrality in the wastewater treatment sector by 2045.;TA1_Climate ambition;Energy Neutrality;This target aims to achieve energy neutrality in the wastewater treatment sector, which is a specific goal within the broader climate ambition.
TA3.38;Each vehicle belonging to a vehicle type that is type-approved as of [the first day of the month following 72 months after the date of entry into force of this Regulation] under Regulation (EU) 2018/858 shall be constructed so that it is: (a) reusable/recyclable to a minimum of 85% by mass, (b) reusable/recoverable to a minimum of 95 % by mass.;TA3_Industrial strategy for a clean and circular economy;Vehicle Recycling;This target sets specific reuse and recycling requirements for vehicles, emphasizing the importance of recycling in the automotive sector.
TA4.15;The average CO2 emissions of the Union fleet of new heavy-duty motor vehicles [...], off-road vehicles and off-road special purpose vehicles shall be reduced by the following percentages compared to the average CO2 emissions of the reporting period of the year 2019: (a) 15% for vehicle sub-groups 4-UD, 4-RD, 4-LH, 5-RD, 5-LH, 9-RD, 9-LH, 10-RD and 10-LH for the reporting periods of the years 2025 to 2029, (b) 45% for all vehicle sub-groups other than vocational vehicles for the reporting periods of the years 2030 to 2034, (c) 65% for all vehicle sub-groups for the reporting periods of the years 2035 to 2039, (d) 90% for all vehicle sub-groups for the reporting periods of the year 2040 onwards;TA4_Sustainable and smart mobility;Vehicle Emissions Reduction;This target sets specific CO2 emissions reduction goals for heavy-duty vehicles, which is crucial for reducing transportation emissions.
TA6.4;2b. Strictly protect all remaining EU primary and old- growth forests;TA6_Preserving and protecting biodiversity;Forest Protection;This target focuses on the strict protection of primary and old-growth forests, which is essential for preserving biodiversity.
TA1.12;Achieve an EU net greenhouse gas removal of 310 million tonnes CO2 equivalent per year for the land use, land use change and forestry (LULUCF) sector, by 2030, and Member State-specific targets for 2030 summing up to -42 MtCO2e increase in LULUCF sink between 2016-2018 and 2030.;TA1_Climate ambition;Greenhouse Gas Removal;This target sets specific goals for greenhouse gas removal in the LULUCF sector, which is crucial for achieving climate neutrality.
TA4.27;Member States shall ensure that, by 31 December 2030 (with intermediate 2025 and 2027 targets), along the TEN-T core road network, publicly accessible recharging pools dedicated to heavy-duty electric vehicles are deployed in each direction of travel with a maximum distance of 60 km between them [...]. Along the TEN-T comprehensive road network, recharging pools dedicated to heavy-duty electric vehicles are deployed in each direction of travel with a maximum distance of 100 km between them and each recharging pool offers a power output of at least 1.500 kW and includes at least one recharging point with an individual power output of at least 350 kW.;TA4_Sustainable and smart mobility;Electric Vehicle Infrastructure;The target focuses on establishing recharging infrastructure for heavy-duty electric vehicles, which is crucial for supporting electric mobility.
TA1.3;Reduce by at least 55% net GHG emissions compared to 1990 levels, by 2030;TA1_Climate ambition;GHG Emissions Reduction;This target sets a specific goal for reducing net greenhouse gas emissions, which is central to climate ambition.
TA7.15;Having all soils in healthy condition by 2050;TA7_Towards a zero-pollution ambition for a toxic free environment;Soil Health;This target aims to ensure all soils are in healthy condition, which is crucial for achieving a toxic-free environment.
TA4.5;Aviation fuel suppliers shall also ensure that Sustainable Aviation Fuel (SAF) made available to aircraft operators at each Union airport will be at least 2% from 2025, 6% from 2030, 20% from 2035, 34% from 2040, 42% from 2045 and 70% from 2050.;TA4_Sustainable and smart mobility;Sustainable Aviation Fuel;This target sets specific goals for the use of sustainable aviation fuel, which is crucial for reducing aviation emissions.
```
