```csv
target_code;target_content;thematic_area;sub_theme;justification
TA1.10;ETS2. Contribution of the buildings and road transport sectors of 43% emission reductions by 2030 compared to 2005 and of the additional sectors, a combined cost-efficient contribution of 42% emission reductions by 2030 compared to 2005 Directive (EU) 2023/959;TA1_Climate ambition;Emission Reductions;The target aims to reduce emissions in the buildings and transport sectors, which is crucial for achieving climate goals.
TA4.29;By 31 December 2030, in each urban node publicly accessible recharging points dedicated to heavy-duty electric vehicles with an aggregated power output of at least 1 800 kW are deployed, provided by recharging stations with an individual power output of at least 150 kW. Regulation (EU) 2023/180;TA4_Sustainable and smart mobility;Heavy-Duty Vehicle Charging;The target focuses on deploying recharging points for heavy-duty vehicles, which is essential for supporting electric mobility.
TA2.6;Energy demand to be covered by solar heat and geothermal should at least triple (rate is currently at 1.5%) EU Solar Energy Strategy;TA2_Clean, affordable and secure energy;Solar and Geothermal Energy;This target aims to increase the use of solar and geothermal energy, which is important for diversifying renewable energy sources.
TA2.24;Each Member State shall ensure that at least 3% of the total floor area of heated and/or cooled buildings (of buildings which have a total useful floor area of over 250 m2 and are not nearly-zero energy buildings) that are owned by public bodies is renovated each year to be transformed into at least nearly zero-energy buildings or zero-emission buildings in accordance with Article 9 of Directive 2010/31/EU. Directive (EU) 2023/1791;TA2_Clean, affordable and secure energy;Public Building Renovation;The target focuses on renovating public buildings to improve energy efficiency, which is crucial for reducing energy consumption.
TA2.11;By 31 December 2025, each Member State shall agree to establish a framework for cooperation on joint projects with one or more other Member States for the production of renewable energy, subject to the following: by 31 December 2030, Member States shall endeavour to agree on establishing at least two joint projects, by 31 December 2033, Member States with an annual electricity consumption of more than 100 TWh shall endeavour to agree on establishing a third joint project. RED III (Directive (EU) 2023/2413);TA2_Clean, affordable and secure energy;Renewable Energy Cooperation;This target aims to establish joint renewable energy projects, which is important for cross-border energy collaboration.
TA6.1;1.a Legally protect a minimum of 30% of the EU’s land area;TA6_Preserving and protecting biodiversity;Land Protection;The target focuses on legally protecting land areas, which is crucial for conserving biodiversity.
TA5.15;Consumption footprint: Reduce the environmental and climate footprint of the EU food system, operating within planetary boundaries. Reduce the EU’s contribution to global deforestation and forest degradation.;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Sustainable Food Systems;This target aims to reduce the environmental impact of the food system, which is essential for sustainability.
TA5.25;Animal welfare: Promote better animal welfare to improve animal health and food quality.;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Animal Welfare;The target focuses on improving animal welfare, which is important for animal health and food quality.
TA4.25;Member States shall ensure that, at the end of each year, the following power output targets are met cumulatively: (a) for each light-duty battery electric vehicle registered in their territory, a total power output of at least 1.3 kW is provided through publicly accessible recharging stations, and (b) for each light-duty plug-in hybrid vehicle registered in their territory, a total power output of at least 0.80 kW is provided through publicly accessible recharging stations. Regulation (EU) 2023/1804;TA4_Sustainable and smart mobility;Electric Vehicle Charging;The target aims to ensure adequate charging infrastructure for electric vehicles, which is crucial for their adoption.
TA3.15;Producers of starting, lighting and ignition batteries, industrial batteries and electric vehicle batteries or, where appointed in accordance with Article 57(1), producer responsibility organisations, shall take back, free of charge and without an obligation on the end-user to buy a new battery, nor to have bought the battery from them, and shall ensure that all waste starting, lighting and ignition batteries, waste industrial batteries and waste electric vehicle batteries regardless of their nature, chemical composition, condition, brand, or origin of the respective category that they have made available on the market for the first time in the territory of that Member State are collected separately. Regulation (EU) 2023/1542;TA3_Industrial strategy for a clean and circular economy;Battery Take-Back;This target focuses on the take-back and collection of waste batteries, which is essential for recycling and waste management.
TA6.46;(agricultural ecosystems) Member States shall put in place measures which shall aim to restore organic soils in agricultural use constituting drained peatlands. Those measures shall be in place on at least: (a) 30% of such areas by 2030, of which at least a quarter shall be rewetted, (b) 40% of such areas by 2040, of which at least a third shall be rewetted, (c) 50% of such areas by 2050, of which at least a third shall be rewetted. 'Nature Restoration Law';TA6_Preserving and protecting biodiversity;Peatland Restoration;The target aims to restore organic soils in peatlands, which is crucial for biodiversity and carbon storage.
TA4.9;Cut the emissions of transport sector by 90% by 2050 relative to 1990. Sustainable and Smart Mobility Strategy;TA4_Sustainable and smart mobility;Transport Emission Reduction;The target focuses on reducing emissions from the transport sector, which is essential for achieving climate goals.
TA3.23;All recycling shall achieve at least the following targets for recovery of materials, 50% for lithium, no later than 31 December 2027, and 80% for lithium no later than 31 December 2031. Regulation (EU) 2023/1542;TA3_Industrial strategy for a clean and circular economy;Lithium Recovery;This target focuses on the recovery of lithium from recycling, which is important for resource efficiency.
TA3.3;Double EU’s circular material use rate in the coming decade A new Circular Economy Action Plan;TA3_Industrial strategy for a clean and circular economy;Circular Material Use;The target aims to increase the circular use of materials, which is crucial for a sustainable economy.
TA4.13;For [...] “urban buses” manufacturers shall comply with the 90% (in the reporting period 2030-2034) and 100% (as from 2035) minimum shares in their fleet of new heavy-duty vehicles Regulation (EU) 2024/1610;TA4_Sustainable and smart mobility;Urban Bus Electrification;The target focuses on electrifying urban buses, which is important for reducing emissions in urban areas.
TA5.20;Trade: Foster the competitiveness of the EU supply sector.;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Trade Competitiveness;The target aims to enhance the competitiveness of the EU supply sector, which is important for economic sustainability.
TA2.34;Member States shall ensure that the average primary energy use of the entire residential building stock decreases by at least 16% compared to 2020 by 2030, and by at least 20-22% compared to 2020 by 2035 EPBD (Directive (EU) 2024/1275);TA2_Clean, affordable and secure energy;Residential Energy Efficiency;This target focuses on reducing energy use in residential buildings, which is crucial for energy efficiency.
TA2.40;Around 30% of EU primary steel production is expected to be decarbonised on the basis of renewable hydrogen. REPowerEU;TA2_Clean, affordable and secure energy;Steel Decarbonisation;The target aims to decarbonise steel production using renewable hydrogen, which is important for reducing industrial emissions.
TA3.27;All packaging shall be recyclable Proposal on packaging and packaging waste;TA3_Industrial strategy for a clean and circular economy;Recyclable Packaging;The target focuses on making all packaging recyclable, which is essential for waste reduction.
TA4.1;Achieve an annual production of sustainable biomethane of 35 billion cubic meters by 2030 Directive (EU) 2023/2413;TA4_Sustainable and smart mobility;Biomethane Production;The target aims to increase biomethane production, which is important for sustainable energy.
TA1.11;ESR. Increased national targets in line with an EU-wide reduction of 40% in the ESR sectors compared to 2005. Member States contribute to the overall EU reduction in 2030 with targets ranging from -10% to -50% below 2005 level (sectors: transport, buildings, agriculture and waste) Regulation (EU) 2023/857;TA1_Climate ambition;Sectoral Emission Reductions;The target focuses on reducing emissions across various sectors, which is crucial for climate action.
TA6.51;Member States shall take the measures necessary to ensure that water intended for human consumption is wholesome and clean, by meeting several requirements related to micro-organisms and parasites which constitute a potential danger to human health and quality standards recalled in the Directive. Directive 2020/2184 (‘Drinking Water Directive');TA6_Preserving and protecting biodiversity;Drinking Water Quality;The target aims to ensure clean and safe drinking water, which is essential for public health.
TA7.8;Improve soil quality by reducing nutrient losses use by 50%, by 2030;TA7_Towards a zero-pollution ambition for a toxic free environment;Soil Quality Improvement;The target focuses on reducing nutrient losses to improve soil quality, which is important for environmental health.
TA6.47;(trees) When identifying and implementing the restoration measures to meet the objectives and obligations set out in Articles 4, 6, 7, 8, 9 and 10, Member States shall aim to contribute to the commitment of planting at least three billion additional trees by 2030 at Union level. 'Nature Restoration Law' Parallel target of the Biodiversity Strategy: “9. Three billion trees are planted in the EU, in full respect of ecological principles”;TA6_Preserving and protecting biodiversity;Tree Planting;The target aims to plant additional trees, which is crucial for biodiversity and carbon sequestration.
TA5.19;Price: Preserve the price affordability of food.;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Food Price Affordability;The target focuses on maintaining affordable food prices, which is important for food security.
TA5.22;Transport, accessibility and infrastructure: Create shorter supply chains will support reducing dependence on long-haul transportation.;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Supply Chain Shortening;The target aims to create shorter supply chains, which is important for reducing transportation emissions.
TA6.43;Marine ecosystems. Member States shall ensure, by 2030 at the latest, that the condition is known for at least 50% of the area distributed over all habitat types listed in groups 1–6 of Annex II. The condition of all areas of groups 1–6 of habitat types listed in Annex II shall be known by 2040. Member States shall also ensure, by 2040 at the latest, that the condition is known for at least 50% of the area distributed over all habitat types listed in group 7 of Annex II. The condition of all areas of group 7 of habitat types listed in Annex II shall be known by 2050. 'Nature Restoration Law';TA6_Preserving and protecting biodiversity;Marine Ecosystem Monitoring;The target focuses on monitoring marine ecosystems, which is crucial for their conservation.
TA3.21;Recycling shall achieve at least the following targets for recycling efficiency: - No later than 31 December 2025, 65% by average weight of lithium-based batteries, - No later than 31 December 2030, 70% by average weight of lithium-based batteries. Regulation (EU) 2023/1542;TA3_Industrial strategy for a clean and circular economy;Lithium Battery Recycling;This target focuses on improving recycling efficiency for lithium-based batteries, which is essential for resource recovery.
TA3.25;Reduce the generation of food waste per capita, jointly in retail and other distribution of food, in restaurants and food services and in households, by 30% in comparison to the amount generated in 2020 Proposal amending Directive 2008/98/EC on waste;TA3_Industrial strategy for a clean and circular economy;Food Waste Reduction;The target aims to reduce food waste, which is important for resource efficiency and sustainability.
TA6.38;(urban ecosystems) Member States shall achieve, in each urban ecosystem area, determined in accordance with Article 14(4), an increasing trend of urban tree canopy cover, measured every six years after 31 December 2030, until the satisfactory level identified in accordance with Article 14(5) is reached. 'Nature Restoration Law';TA6_Preserving and protecting biodiversity;Urban Tree Canopy;The target focuses on increasing urban tree canopy cover, which is important for urban biodiversity and climate resilience.
TA5.9;Increase organic farming with the aim to achieve at least 25% of total farmland under organic farming by 2030 Target in Common with Biodiversity Strategy (see Thematic Area 6);TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Organic Farming;The target aims to increase organic farming, which is crucial for sustainable agriculture and biodiversity.
```
