target_code;target_content;thematic_area;sub_theme;justification
TA2.13;The amount of renewable fuels and renewable electricity supplied to the transport sector leads to a: (i) share of renewable energy within the final consumption of energy in the transport sector of at least 29 % by 2030;TA2_Clean, affordable and secure energy;Renewable Energy;This target is assigned to the Renewable Energy sub-theme because it focuses on increasing the share of renewable energy in the transport sector.
TA2.14;Each Member State shall increase the share of renewable energy in the heating and cooling sector by at least 0.8 percentage points as an annual average calculated for the period 2021 to 2025;TA2_Clean, affordable and secure energy;Renewable Energy - Heating & Cooling;This target is assigned to the Renewable Energy - Heating & Cooling sub-theme because it specifically aims to increase the share of renewable energy in the heating and cooling sector.
TA2.15;By 2022, achieve 18% of the total increase in the share of energy from renewable sources between that Member State’s binding 2020 national target, and its contribution to the 2030 target;TA2_Clean, affordable and secure energy;Renewable Energy;This target is assigned to the Renewable Energy sub-theme because it aims to achieve a specific percentage of the total increase in the share of energy from renewable sources.
TA2.16;Member States shall endeavour to increase the share of renewable sources in the amount of energy sources used for final energy and non-energy purposes in the industry sector by an indicative increase of at least 1.6 percentage points;TA2_Clean, affordable and secure energy;Renewable Energy;This target is assigned to the Renewable Energy sub-theme because it promotes the increase of renewable sources in the industry sector.
TA2.17;A target of 15% electricity interconnection for 2030;TA2_Clean, affordable and secure energy;Energy Infrastructure;This target is assigned to the Energy Infrastructure sub-theme because it focuses on increasing electricity interconnection among member states.
TA2.18;Indicative target of at least a 49% share of energy from renewable sources in the building sector in the Union’s final energy consumption in buildings in 2030;TA2_Clean, affordable and secure energy;Renewable Energy - Heating & Cooling;This target is assigned to the Renewable Energy - Heating & Cooling sub-theme because it specifically aims to increase the share of renewable energy in the building sector.
TA2.21;Member States shall ensure that the total final energy consumption of all public bodies combined is reduced by at least 1.9% each year, when compared to 2021;TA2_Clean, affordable and secure energy;Energy Efficiency;This target is assigned to the Energy Efficiency sub-theme because it aims to reduce the total final energy consumption of public bodies.
TA2.22;Member States shall collectively ensure a reduction of energy consumption of at least 11.7% in 2030 compared to the projections of the 2020 EU Reference Scenario;TA2_Clean, affordable and secure energy;Energy Efficiency;This target is assigned to the Energy Efficiency sub-theme because it aims to reduce overall energy consumption.
TA2.23;Member States shall make efforts to collectively contribute to the indicative Union primary energy consumption target amounting to no more than 992.5 Mtoe in 2030;TA2_Clean, affordable and secure energy;Energy Efficiency;This target is assigned to the Energy Efficiency sub-theme because it aims to limit primary energy consumption.
TA2.24;Each Member State shall ensure that at least 3% of the total floor area of heated and/or cooled buildings is renovated each year to be transformed into at least nearly zero-energy buildings;TA2_Clean, affordable and secure energy;Energy Efficiency - Buildings;This target is assigned to the Energy Efficiency - Buildings sub-theme because it focuses on renovating buildings to make them nearly zero-energy.
TA2.25;Reduce buildings’ final energy consumption by 14%;TA2_Clean, affordable and secure energy;Energy Efficiency - Buildings;This target is assigned to the Energy Efficiency - Buildings sub-theme because it aims to reduce the final energy consumption of buildings.
TA2.26;At least double the annual energy renovation rate of residential and non-residential buildings by 2030;TA2_Clean, affordable and secure energy;Energy Efficiency - Buildings;This target is assigned to the Energy Efficiency - Buildings sub-theme because it aims to increase the energy renovation rate of buildings.
TA2.28;Reduce buildings’ energy consumption for heating and cooling by 18% compared to 2015 levels by 2030;TA2_Clean, affordable and secure energy;Energy Efficiency - Buildings;This target is assigned to the Energy Efficiency - Buildings sub-theme because it specifically focuses on reducing energy consumption for heating and cooling in buildings.
TA2.29;Member states will have to renovate 16% of worst-performing non-residential buildings by 2030;TA2_Clean, affordable and secure energy;Energy Efficiency - Buildings;This target is assigned to the Energy Efficiency - Buildings sub-theme because it focuses on renovating worst-performing non-residential buildings.
TA2.33;The national measures will have to ensure that at least 55% of the decrease of the average primary energy use is achieved through the renovation of the worst-performing buildings;TA2_Clean, affordable and secure energy;Energy Efficiency - Buildings;This target is assigned to the Energy Efficiency - Buildings sub-theme because it aims to achieve a significant portion of energy use reduction through renovating worst-performing buildings.
TA2.34;Member States shall ensure that the average primary energy use of the entire residential building stock decreases by at least 16% compared to 2020 by 2030;TA2_Clean, affordable and secure energy;Energy Efficiency - Buildings;This target is assigned to the Energy Efficiency - Buildings sub-theme because it focuses on reducing the average primary energy use of the residential building stock.
TA2.37;By 2030, the share of renewable energy in the electricity mix should double to 55-60%;TA2_Clean, affordable and secure energy;Renewable Energy;This target is assigned to the Renewable Energy sub-theme because it aims to increase the share of renewable energy in the electricity mix.
TA2.38;Cumulative EU offshore goals of installed capacity: 60 GW by 2030 and 300 GW by 2050;TA2_Clean, affordable and secure energy;Renewable Energy - Ocean/Offshore;This target is assigned to the Renewable Energy - Ocean/Offshore sub-theme because it specifically focuses on increasing offshore installed capacity.
TA2.39;The strategy sets targets for an installed capacity of at least 1 GW of ocean energy by 2030 and 40 GW by 2050;TA2_Clean, affordable and secure energy;Renewable Energy - Ocean/Offshore;This target is assigned to the Renewable Energy - Ocean/Offshore sub-theme because it aims to increase the installed capacity of ocean energy.
TA2.40;Around 30% of EU primary steel production is expected to be decarbonised on the basis of renewable hydrogen;TA2_Clean, affordable and secure energy;Renewable Energy - Hydrogen Production;This target is assigned to the Renewable Energy - Hydrogen sub-theme because it mentions the use of renewable hydrogen for decarbonizing steel production.
TA3.1;Halve the amount of residual (non-recycled) municipal waste by 2030;TA3_Industrial strategy for a clean and circular economy;Waste Reduction - Municipal Waste;This target is assigned to the Waste Reduction - Municipal Waste sub-theme because it specifically aims to reduce residual municipal waste.
TA3.3;Double EU’s circular material use rate in the coming decade;TA3_Industrial strategy for a clean and circular economy;Circularity/Recycling;This target is assigned to the Circularity/Recycling sub-theme because it aims to increase the circular material use rate.
TA3.8;By 2030, Union extraction capacity should be able of extracting the ores, minerals or concentrates needed to produce at least 10% of the Union’s annual consumption of strategic raw materials;TA3_Industrial strategy for a clean and circular economy;Critical Raw Materials - Extraction & Import;This target is assigned to the Critical Raw Materials - Extraction & Import sub-theme because it focuses on increasing the Union's extraction capacity for strategic raw materials.
TA3.9;By 2030, Union processing capacity, including for all intermediate processing steps, should be able of producing at least 40% of the Union’s annual consumption of strategic raw materials;TA3_Industrial strategy for a clean and circular economy;Critical Raw Materials - Extraction & Import;This target is assigned to the Critical Raw Materials - Extraction & Import sub-theme because it aims to increase the Union's processing capacity for strategic raw materials.
TA3.11;Diversify the Union’s imports of strategic raw materials with a view to ensuring that, by 2030, the Union’s annual consumption of each strategic raw material at any relevant stage of processing can rely on imports from several third countries;TA3_Industrial strategy for a clean and circular economy;Critical Raw Materials - Extraction & Import;This target is assigned to the Critical Raw Materials - Extraction & Import sub-theme because it aims to diversify the Union's imports of strategic raw materials.
TA3.12;By 2030, manufacturing capacity in the Union of the strategic net-zero technologies listed in the Annex approaches or reaches a benchmark of at least 40% of the Union’s annual deployment needs;TA3_Industrial strategy for a clean and circular economy;Net-Zero Technology - Manufacturing;This target is assigned to the Net-Zero Technology - Manufacturing sub-theme because it focuses on increasing the manufacturing capacity of strategic net-zero technologies.
TA3.13;By 2030, Union recycling capacity, including for all intermediate recycling steps, should be able of producing at least 25% of the Union’s annual consumption of strategic raw materials;TA3_Industrial strategy for a clean and circular economy;Circularity/Recycling - Critical Raw Materials - Batteries Recycling;This target is assigned to the Circularity/Recycling - Critical Raw Materials - Batteries Recycling sub-theme because it aims to increase the Union's recycling capacity for strategic raw materials.
TA3.15;Producers of starting, lighting and ignition batteries, industrial batteries and electric vehicle batteries or, where appointed in accordance with Article 57(1), producer responsibility organisations, shall take back, free of charge and without an obligation on the end-user to buy a new battery;TA3_Industrial strategy for a clean and circular economy;Circularity/Recycling - Critical Raw Materials - Batteries Recycling;This target is assigned to the Circularity/Recycling - Critical Raw Materials - Batteries Recycling sub-theme because it focuses on the take-back and recycling of batteries.
TA3.16;Producers of portable batteries or, where appointed in accordance with Article 57(1), producer responsibility organisations, shall attain, and maintain durably, at least the following collection targets for waste portable batteries;TA3_Industrial strategy for a clean and circular economy;Circularity/Recycling - Critical Raw Materials - Batteries Recycling;This target is assigned to the Circularity/Recycling - Critical Raw Materials - Batteries Recycling sub-theme because it sets collection targets for waste portable batteries.
TA3.17;Producers of LMT batteries or, where appointed in accordance with Article 57(1), producer responsibility organisations, shall attain, and maintain durably, at least the following collection targets of waste LMT batteries;TA3_Industrial strategy for a clean and circular economy;Circularity/Recycling - Critical Raw Materials - Batteries Recycling;This target is assigned to the Circularity/Recycling - Critical Raw Materials - Batteries Recycling sub-theme because it sets collection targets for waste LMT batteries.
TA3.18;For industrial batteries with a capacity greater than 2kWh, except those with exclusively external storage, electric vehicle batteries and starting, lighting and ignition batteries that contain cobalt, lead, lithium or nickel in active materials, the minimum recycled content percentage for each battery model per year and per manufacturing plant shall be;TA3_Industrial strategy for a clean and circular economy;Circularity/Recycling - Critical Raw Materials - Batteries Recycling;This target is assigned to the Circularity/Recycling - Critical Raw Materials - Batteries Recycling sub-theme because it sets minimum recycled content percentages for industrial batteries.
TA3.19;Any natural or legal person that places on the market products incorporating portable batteries shall ensure that those batteries are readily removable and replaceable by the end-user at any time during the lifetime of the product;TA3_Industrial strategy for a clean and circular economy;Circularity/Recycling - Critical Raw Materials - Batteries Recycling;This target is assigned to the Circularity/Recycling - Critical Raw Materials - Batteries Recycling sub-theme because it aims to ensure that portable batteries are removable and replaceable.
TA3.20;Recycling shall achieve at least the following targets for recycling efficiency;TA3_Industrial strategy for a clean and circular economy;Circularity/Recycling;This target is assigned to the Circularity/Recycling sub-theme because it sets targets for recycling efficiency.
TA3.21;Recycling shall achieve at least the following targets for recycling efficiency;TA3_Industrial strategy for a clean and circular economy;Circularity/Recycling;This target is assigned to the Circularity/Recycling sub-theme because it sets targets for recycling efficiency of lithium-based batteries.
TA3.22;All recycling shall achieve at least the following targets for recovery of materials;TA3_Industrial strategy for a clean and circular economy;Circularity/Recycling;This target is assigned to the Circularity/Recycling sub-theme because it sets targets for the recovery of materials.
TA3.23;All recycling shall achieve at least the following targets for recovery of materials, 50% for lithium, no later than 31 December 2027, and 80% for lithium no later than 31 December 2031;TA3_Industrial strategy for a clean and circular economy;Circularity/Recycling;This target is assigned to the Circularity/Recycling sub-theme because it sets targets for the recovery of lithium.
TA3.24;Reduce the generation of food waste in processing and manufacturing by 10% in comparison to the amount generated in 2020;TA3_Industrial strategy for a clean and circular economy;Waste Reduction - Food Waste;This target is assigned to the Waste Reduction - Food Waste sub-theme because it specifically aims to reduce food waste in processing and manufacturing.
TA3.25;Reduce the generation of food waste per capita, jointly in retail and other distribution of food, in restaurants and food services and in households, by 30% in comparison to the amount generated in 2020;TA3_Industrial strategy for a clean and circular economy;Waste Reduction - Food Waste;This target is assigned to the Waste Reduction - Food Waste sub-theme because it aims to reduce food waste across various sectors.
TA3.27;All packaging shall be recyclable;TA3_Industrial strategy for a clean and circular economy;Waste Reduction - Plastic & Packaging;This target is assigned to the Waste Reduction - Plastic & Packaging sub-theme because it aims to make all packaging recyclable.
TA3.28;The plastic part in packaging shall contain the following minimum percentage of recycled content recovered from post-consumer plastic waste;TA3_Industrial strategy for a clean and circular economy;Waste Reduction - Plastic & Packaging;This target is assigned to the Waste Reduction - Plastic & Packaging sub-theme because it sets minimum percentages of recycled content in packaging.
TA4.1;Achieve an annual production of sustainable biomethane of 35 billion cubic meters by 2030;TA4_Sustainable and smart mobility;Biofuels;This target is assigned to the Biofuels sub-theme because it specifically mentions the production of sustainable biomethane.
TA3.29;Member States shall take measures to achieve a sustained reduction in the consumption of lightweight plastic carrier bags on their territory. A sustained reduction is achieved if the annual consumption does not exceed 40 lightweight plastic carrier bags per person, or the equivalent target in weight, by 31 December 2025, and subsequently by 31 December in each year thereafter. Proposal on packaging and packaging waste;TA3_Industrial strategy for a clean and circular economy;Waste Reduction - Plastic & Packaging;"This target is assigned to the sub-theme ""Waste Reduction - Plastic & Packaging"" because it aims to reduce the consumption of lightweight plastic carrier bags, which is a type of plastic packaging waste. The target is specific to reducing plastic waste, making this sub-theme the most relevant."
TA3.29;Member States shall take measures to achieve a sustained reduction in the consumption of lightweight plastic carrier bags on their territory. A sustained reduction is achieved if the annual consumption does not exceed 40 lightweight plastic carrier bags per person, or the equivalent target in weight, by 31 December 2025, and subsequently by 31 December in each year thereafter. Proposal on packaging and packaging waste;TA3_Industrial strategy for a clean and circular economy;Circularity/Recycling - Plastic & Packaging;"This target is also assigned to the sub-theme ""Circularity/Recycling - Plastic & Packaging"" because reducing plastic carrier bag consumption can lead to increased recycling and circularity of plastic packaging materials."
TA3.30;Each Member State shall reduce the packaging waste generated per capita, as compared to the packaging waste generated per capita in 2018 as reported to the Commission in accordance with Decision 2005/270/EC by 5% by 2030, 10% by 2035, 15% by 2040 Proposal on packaging and packaging waste;TA3_Industrial strategy for a clean and circular economy;Waste Reduction - Municipal Waste;"This target is assigned to the sub-theme ""Waste Reduction - Municipal Waste"" because it aims to reduce packaging waste generated per capita, which is a type of municipal waste."
TA3.30;Each Member State shall reduce the packaging waste generated per capita, as compared to the packaging waste generated per capita in 2018 as reported to the Commission in accordance with Decision 2005/270/EC by 5% by 2030, 10% by 2035, 15% by 2040 Proposal on packaging and packaging waste;TA3_Industrial strategy for a clean and circular economy;Circularity/Recycling - Municipal Waste;"This target is also assigned to the sub-theme ""Circularity/Recycling - Municipal Waste"" because reducing packaging waste can lead to increased recycling and circularity of municipal waste materials."
TA3.31;Member States shall take the necessary measures to attain the recycling targets of 65% by weight of all packaging waste generated by 31 December 2025, and of 70% by weight of all packaging waste generated by 31 December 2030. Proposal on packaging and packaging waste;TA3_Industrial strategy for a clean and circular economy;Circularity/Recycling - Municipal Waste;"This target is assigned to the sub-theme ""Circularity/Recycling - Municipal Waste"" because it sets specific recycling targets for packaging waste, which is a type of municipal waste."
TA3.32;Member States shall take the necessary measures to attain a recycling target of 50% of plastic by weight of plastic contained in packaging waste generated by 31 December 2025, and of 55% by weight of plastic in packaging waste generated by 31 December 2030. Proposal on packaging and packaging waste;TA3_Industrial strategy for a clean and circular economy;Circularity/Recycling - Plastic & Packaging;"This target is assigned to the sub-theme ""Circularity/Recycling - Plastic & Packaging"" because it sets specific recycling targets for plastic packaging waste."
TA3.33;Member States shall take the necessary measures to attain a recycling target of 25% of wood by weight of wood contained in packaging waste generated by 31 December 2025 and of 30% by 31 December 2030. Proposal on packaging and packaging waste;TA3_Industrial strategy for a clean and circular economy;Circularity/Recycling - Municipal Waste;"This target is assigned to the sub-theme ""Circularity/Recycling - Municipal Waste"" because it sets specific recycling targets for wood packaging waste, which is a type of municipal waste."
TA3.34;Member States shall take the necessary measures to attain a recycling target of 70% of ferrous metals by weight of ferrous metals contained in packaging waste generated by 31 December 2025 and of 80% by 31 December 2030 Proposal on packaging and packaging waste;TA3_Industrial strategy for a clean and circular economy;Circularity/Recycling - Municipal Waste;"This target is assigned to the sub-theme ""Circularity/Recycling - Municipal Waste"" because it sets specific recycling targets for ferrous metals packaging waste, which is a type of municipal waste."
TA3.35;Member States shall take the necessary measures to attain a recycling target of 50% of aluminium by weight of aluminium contained in packaging waste generated by 31 December 2025 and of 60% by 31 December 2030 Proposal on packaging and packaging waste;TA3_Industrial strategy for a clean and circular economy;Circularity/Recycling - Municipal Waste;"This target is assigned to the sub-theme ""Circularity/Recycling - Municipal Waste"" because it sets specific recycling targets for aluminium packaging waste, which is a type of municipal waste."
TA3.36;Member States shall take the necessary measures to attain a recycling target of 70% of glass by weight of glass contained in packaging waste generated by 31 December 2025 and of 75% by 31 December 2030 Proposal on packaging and packaging waste;TA3_Industrial strategy for a clean and circular economy;Circularity/Recycling - Municipal Waste;"This target is assigned to the sub-theme ""Circularity/Recycling - Municipal Waste"" because it sets specific recycling targets for glass packaging waste, which is a type of municipal waste."
TA3.37;Member States shall take the necessary measures to attain a recycling target of 75% of paper and cardboard by weight of paper and cardboard contained in packaging waste generated by 31 December 2025 and of 85% by 31 December 2030 Proposal on packaging and packaging waste;TA3_Industrial strategy for a clean and circular economy;Circularity/Recycling - Municipal Waste;"This target is assigned to the sub-theme ""Circularity/Recycling - Municipal Waste"" because it sets specific recycling targets for paper and cardboard packaging waste, which is a type of municipal waste."
TA3.38;Each vehicle belonging to a vehicle type that is type-approved as of [the first day of the month following 72 months after the date of entry into force of this Regulation] under Regulation (EU) 2018/858 shall be constructed so that it is: (a) reusable/recyclable to a minimum of 85% by mass, (b) reusable/recoverable to a minimum of 95 % by mass. Proposal for a Regulation on circularity requirements for vehicle design and on management of end-of-life vehicles;TA3_Industrial strategy for a clean and circular economy;Circularity/Recycling - Vehicle Circularity;"This target is assigned to the sub-theme ""Circularity/Recycling - Vehicle Circularity"" because it sets specific requirements for vehicle design and end-of-life management, aiming to increase recyclability and reusability of vehicles."
TA3.48;The plastic contained in each vehicle type that is type-approved as of [the first day of the month following 72 months after the date of entry into force of the Regulation] under Regulation (EU) 2018/858 shall contain a minimum of 25 % of plastic recycled by weight from post-consumer plastic waste. Proposal for a Regulation on circularity requirements for vehicle design and on management of end-of-life vehicles;TA3_Industrial strategy for a clean and circular economy;Circularity/Recycling - Plastic & Packaging;"This target is assigned to the sub-theme ""Circularity/Recycling - Plastic & Packaging"" because it sets a specific requirement for the use of recycled plastic in vehicle production, aiming to increase circularity of plastic materials."
TA3.49;At least 25% of the target set out in the first subparagraph shall be achieved by including plastics recycled from end-of-life vehicles in the vehicle type concerned. Proposal for a Regulation on circularity requirements for vehicle design and on management of end-of-life vehicles;TA3_Industrial strategy for a clean and circular economy;Circularity/Recycling - Vehicle Circularity;"This target is assigned to the sub-theme ""Circularity/Recycling - Vehicle Circularity"" because it sets a specific requirement for the use of recycled plastics from end-of-life vehicles in new vehicle production, aiming to increase circularity of vehicle materials."
TA3.50;Member States shall ensure that the following targets are met by the waste management operators: (a) the reuse and recovery, as calculated together, shall be a minimum of 95 %, by average weight per vehicle, excluding batteries, and year, (b) the reuse and recycling, as calculated together, shall be a minimum of 85 %, by average weight per vehicle, excluding batteries, and year. Proposal for a Regulation on circularity requirements for vehicle design and on management of end-of-life vehicles;TA3_Industrial strategy for a clean and circular economy;Circularity/Recycling - Vehicle Circularity;"This target is assigned to the sub-theme ""Circularity/Recycling - Vehicle Circularity"" because it sets specific targets for reuse, recovery, and recycling of vehicle materials, aiming to increase circularity of vehicle waste."
TA3.51;Member States shall ensure that waste management operators achieve a yearly target for the recycling of plastics of at least 30 % of the total weight of plastics contained in the vehicles delivered to the waste management operators. Proposal for a Regulation on circularity requirements for vehicle design and on management of end-of-life vehicles;TA3_Industrial strategy for a clean and circular economy;Circularity/Recycling - Plastic & Packaging;"This target is assigned to the sub-theme ""Circularity/Recycling - Plastic & Packaging"" because it sets a specific target for the recycling of plastics from vehicles, aiming to increase circularity of plastic materials."
TA3.52;At least 20% of the carbon used in the chemical and plastic products should be from sustainable non-fossil sources by 2030, in full consideration of the EU's biodiversity and circular economy objectives and of the upcoming policy framework for bio-based, biodegradable and compostable plastics. Communication on Sustainable Carbon Cycles;TA3_Industrial strategy for a clean and circular economy;Circularity/Recycling - Plastic & Packaging;"This target is assigned to the sub-theme ""Circularity/Recycling - Plastic & Packaging"" because it sets a specific target for the use of sustainable non-fossil carbon sources in chemical and plastic products, aiming to increase circularity of plastic materials."
TA4.3;The yearly average GHG intensity of the energy used on board by a ship during a reporting period shall be reduced, compared to the reference value (91.16 gCO2e/MJ) by: 2% from 1 January 2025, 6% from 1 January 2030, 14.5% from 1 January 2035, 31% from 1 January 2040, 62% from 1 January 2045, 80% from 1 January 2050. Regulation (EU) 2023/1805;TA4_Sustainable and smart mobility;GHG Reduction - Transports;"This target is assigned to the sub-theme ""GHG Reduction - Transports"" because it sets specific targets for reducing GHG intensity of energy used on board ships, aiming to decrease transport-related emissions."
TA4.5;Aviation fuel suppliers shall also ensure that Sustainable Aviation Fuel (SAF) made available to aircraft operators at each Union airport will be at least 2% from 2025, 6% from 2030, 20% from 2035, 34% from 2040, 42% from 2045 and 70% from 2050. Regulation (EU) 2023/2405;TA4_Sustainable and smart mobility;Biofuels;"This target is assigned to the sub-theme ""Biofuels"" because it sets specific targets for the use of Sustainable Aviation Fuel (SAF) in aviation, aiming to increase the share of biofuels in transport."
TA4.6;Of the SAF targets reported above, synthetic aviation fuels should represent a minimum share of 1.2% from 2030, 5% from 2035, 10% from 2034, 15% from 2045, and 35% from 2050. Regulation (EU) 2023/2405;TA4_Sustainable and smart mobility;Other Low-Carbon Fuels;"This target is assigned to the sub-theme ""Other Low-Carbon Fuels"" because it sets specific targets for the use of synthetic aviation fuels, which are a type of low-carbon fuel."
TA4.7;Each Member State shall set an obligation on fuel suppliers to ensure that: (B) the combined share of advanced biofuels and biogas produced from the feedstock listed in Part A of Annex IX and of renewable fuels of non-biological origin in the energy supplied to the transport sector is at least 1% in 2025 and 5.5% in 2030, of which a share of at least 1 percentage point is from renewable fuels of non-biological origin in 2030. Directive (EU) 2023/2413;TA4_Sustainable and smart mobility;Biofuels;"This target is assigned to the sub-theme ""Biofuels"" because it sets specific targets for the use of advanced biofuels and biogas in transport, aiming to increase the share of biofuels in the energy mix."
TA4.8;Member States with maritime ports shall endeavour to ensure that as of 2030 the share of renewable fuels of non-biological origin (RFNBOs) in the total amount of energy supplied to the maritime transport sector is at least 1.2%. Directive (EU) 2023/2413;TA4_Sustainable and smart mobility;Other Low-Carbon Fuels;"This target is assigned to the sub-theme ""Other Low-Carbon Fuels"" because it sets a specific target for the use of renewable fuels of non-biological origin in maritime transport, aiming to increase the share of low-carbon fuels in the energy mix."
TA4.9;Cut the emissions of transport sector by 90% by 2050 relative to 1990. Sustainable and Smart Mobility Strategy;TA4_Sustainable and smart mobility;GHG Reduction - Transports;"This target is assigned to the sub-theme ""GHG Reduction - Transports"" because it sets a specific target for reducing emissions from the transport sector, aiming to decrease transport-related emissions."
TA4.10;EU fisheries are encouraged to continue the positive trend, as observed for the period 2009-2019, towards reducing fuel intensity by reducing the fossil-fuel consumption per kg of landed product for at least an additional 15% for the period 2019-2030. Energy Transition of the EU Fisheries and Aquaculture sector;TA4_Sustainable and smart mobility;Energy Efficiency;"This target is assigned to the sub-theme ""Energy Efficiency"" because it encourages reducing fuel intensity in EU fisheries, aiming to decrease energy consumption and increase energy efficiency."
