TA1.1;The new EU Strategy ‘European Climate Law’ and the ‘Fit for 55’ package;TA3.1;+;The implementation of the European Climate Law and the 'Fit for 55' package is likely to have a positive impact on the circular economy target of halving the amount of residual municipal waste by 2030, as it promotes sustainable practices and reduces greenhouse gas emissions.
TA3.9;Union's access to a secure and sustainable supply of critical raw materials by ensuring that the Union's processing capacity, including for all intermediate processing steps, is able to produce at least 40% of the Union's annual consumption of strategic raw materials;TA1.12;+;The increase in processing capacity may have a positive impact on the target of achieving an EU net greenhouse gas removal, as it promotes sustainable practices and reduces waste.
TA3.10;Diversify the Union's imports of strategic raw materials with a view to ensuring that, by 2030, the Union's annual consumption of each strategic raw material at any relevant stage of processing can rely on imports from several third countries or from overseas countries or territories (OCTs) and that no third country accounts for more than 65% of the Union's annual consumption of such a strategic raw material;TA1.14;+;The diversification of imports may have a positive impact on the target of reducing greenhouse gas emissions from the LULUCF sector, as it promotes sustainable practices and reduces dependence on imports.
TA3.11;Diversify the Union's imports of strategic raw materials with a view to ensure that the Union's recycling capacity, including for all intermediate recycling steps, is able to produce at least 25% of the Union's annual consumption of strategic raw materials and that no third country accounts for more than 65% of the Union's annual consumption of such a strategic raw material;TA1.16;+;The increase in recycling capacity may have a positive impact on the target of reducing methane emissions, as it promotes sustainable practices and reduces waste.
TA3.12;By 2030, manufacturing capacity in the Union of the strategic net-zero technologies listed in the Annex approaches or reaches a benchmark of at least 40% of the Union’s annual deployment needs for the corresponding technologies necessary to achieve the Union’s 2030 climate and energy targets;TA1.3;-;The increase in manufacturing capacity may have a negative impact on the target of reducing greenhouse gas emissions, as it may lead to increased energy consumption and emissions.
TA3.13;nan;TA1.5;+;The development of new technologies may have a positive impact on the target of implementing the Carbon Border Adjustment Mechanism, as it promotes sustainable practices and reduces greenhouse gas emissions.
TA3.14;nan;TA1.6;-;The development of new technologies may have a negative impact on the target of recasting EU legislation, as it may lead to increased costs and reduced competitiveness.
TA3.15;Producers of portable batteries or, where appointed in accordance with Article 57(1), producer responsibility organisations, shall ensure that all waste portable batteries, Light Means of Transport (LMT) batteries and SLI batteries, regardless of their nature, chemical composition, condition, brand or origin, are collected separately in the territory of a Member State where they make these batteries available on the market for the first time.;TA1.7;+;The collection of waste batteries may have a positive impact on the target of reducing methane emissions, as it promotes sustainable practices and reduces waste.
TA3.16;Producers of portable batteries or producer responsibility organisations, shall attain, and maintain durably, at least the following collection targets for waste portable batteries: 45% by 31 December 2023, 63% by 31 December 2027, 73% by 31 December 2030.;TA1.8;+;The increase in collection targets may have a positive impact on the target of reaching energy neutrality in the wastewater treatment sector, as it promotes sustainable practices and reduces waste.
TA3.17;Producers of LMT batteries or producer responsibility organisations, shall attain, and maintain durably, at least the following collection targets of waste LMT batteries: 51% by 31 December 2028, 61% by 31 December 2031.;TA1.9;-;The increase in collection targets may have a negative impact on the target of reducing greenhouse gas emissions from the EU ETS, as it may lead to increased energy consumption and emissions.
TA3.18;Recycled content in industrial batteries, electric vehicle batteries, LMT batteries and SLI batteries: Cobalt: 16% by 2031 (26% by 2036), Lead: 85% (85%), Nickel: 6% (12%), Lithium 6% (15%);TA1.10;+;The increase in recycled content may have a positive impact on the target of reducing greenhouse gas emissions from the LULUCF sector, as it promotes sustainable practices and reduces waste.
TA3.19;All batteries incorporated in market products shall be readily removable and replaceable by the end-user at any time during the lifetime (except some derogations);TA1.11;+;The development of removable and replaceable batteries may have a positive impact on the target of upgrading national targets, as it promotes sustainable practices and reduces waste.
TA3.20;Recycling shall achieve at least the following targets for recycling efficiency: No later than 31 December 2025 - 75% by average weight of lead-acid batteries, - 80% by average weight of nickel-cadmium batteries, - 50% by average weight of other waste batteries; No later than 31 December 2030 - 80% by average weight of lead-acid batteries;TA1.12;+;The increase in recycling efficiency may have a positive impact on the target of achieving an EU net greenhouse gas removal, as it promotes sustainable practices and reduces waste.
TA3.21;Recycling shall achieve at least the following targets for recycling efficiency: No later than 31 December 2025 - 65% by average weight of lithium-based batteries; No later than 31 December 2030 - 70% by average weight of lithium-based batteries;TA1.13;-;The increase in recycling efficiency may have a negative impact on the target of reducing greenhouse gas emissions from the EU ETS, as it may lead to increased energy consumption and emissions.
TA3.22;All recycling shall achieve at least the following targets for recovery of materials: No later than 31 December 2027 - 90% for cobalt, copper, lead, nickel; No later than 31 December 2031 - 95% for cobalt, copper, lead, nickel; No later than 31 December 2027 - 50% for lithium; No later than 31 December 2031 - 80% for lithium;TA1.14;+;The increase in recovery of materials may have a positive impact on the target of reducing greenhouse gas emissions from the LULUCF sector, as it promotes sustainable practices and reduces waste.
TA3.23;All recycling shall achieve at least the following targets for recovery of materials: No later than 31 December 2027 - 50% for lithium; No later than 31 December 2031 - 80% for lithium;TA1.15;-;The increase in recovery of materials may have a negative impact on the target of reducing buildings' greenhouse gas emissions, as it may lead to increased energy consumption and emissions.
TA3.24;Reduce the generation of food waste in processing and manufacturing by 10% in comparison to the amount generated in 2020;TA1.16;+;The reduction of food waste may have a positive impact on the target of reducing methane emissions, as it promotes sustainable practices and reduces waste.
TA3.25;Reduce the generation of food waste per capita, jointly in retail and other distribution of food, in restaurants and food services and in households, by 30 % in comparison to the amount generated in 2020;TA1.3;+;The reduction of food waste may have a positive impact on the target of reducing greenhouse gas emissions, as it promotes sustainable practices and reduces waste.
TA3.26;nan;TA1.4;-;The development of new technologies may have a negative impact on the target of achieving a climate-resilient society status, as it may lead to increased costs and reduced competitiveness.
TA3.27;Making all packaging recyclable;TA1.5;+;The development of recyclable packaging may have a positive impact on the target of implementing the Carbon Border Adjustment Mechanism, as it promotes sustainable practices and reduces waste.
TA3.28;The plastic part in packaging shall contain the following minimum percentage of recycled content recovered from post-consumer plastic waste, per unit of packaging: From 1 January 2030 (i) 30% for contact sensitive packaging made from polyethylene terephthalate (PET) as major component, (ii) 10% for contact sensitive made from plastic materials other than PET, except single use plastic bottles, (iii) 30% for single use plastic beverage bottles, (iv) 35% for other plastic packaging; From 1 January 2040 (v) 50% for contact sensitive plastic packaging, except single use plastic beverage bottles, (vi) 65% for single use plastic beverage bottles, (vii) 65% for other plastic packaging;TA1.6;+;The increase in recycled content may have a positive impact on the target of recasting EU legislation, as it promotes sustainable practices and reduces waste.
TA3.29;Member States shall take measures to achieve a sustained reduction in the consumption of lightweight plastic carrier bags on their territory. A sustained reduction is achieved if the annual consumption does not exceed 40 lightweight plastic carrier bags per person, or the equivalent target in weight, by 31 December 2025, and subsequently by 31 December in each year thereafter;TA1.7;-;The reduction in consumption of lightweight plastic carrier bags may have a negative impact on the target of reducing methane emissions, as it may lead to increased costs and reduced competitiveness.
TA3.30;Reduce packaging waste by 5% per Member State per capita compared to 2018 by 2030, 10% by 2035 and 15% by 2040;TA1.8;+;The reduction of packaging waste may have a positive impact on the target of reaching energy neutrality in the wastewater treatment sector, as it promotes sustainable practices and reduces waste.
TA3.31;Recycling or preparing for re-use 65% of all packaging waste by 2025, 70% by 2030;TA1.9;+;The increase in recycling or preparation for re-use may have a positive impact on the target of reducing greenhouse gas emissions from the EU ETS, as it promotes sustainable practices and reduces waste.
TA3.32;Recycling of plastic in packaging: 55%;TA1.10;-;The increase in recycling of plastic may have a negative impact on the target of reducing greenhouse gas emissions from the LULUCF sector, as it may lead to increased energy consumption and emissions.
TA3.33;Recycling of wood in packaging: 30%;TA1.11;+;The increase in recycling of wood may have a positive impact on the target of upgrading national targets, as it promotes sustainable practices and reduces waste.
TA3.34;Recycling of ferrous metals in packaging: 80%;TA1.12;+;The increase in recycling of ferrous metals may have a positive impact on the target of achieving an EU net greenhouse gas removal, as it promotes sustainable practices and reduces waste.
TA3.35;Recycling of aluminium in packaging: 60%;TA1.13;-;The increase in recycling of aluminium may have a negative impact on the target of reducing greenhouse gas emissions from the EU ETS, as it may lead to increased energy consumption and emissions.
TA3.36;Recycling of glass in packaging: 75%;TA1.14;+;The increase in recycling of glass may have a positive impact on the target of reducing greenhouse gas emissions from the LULUCF sector, as it promotes sustainable practices and reduces waste.
TA3.37;Recycling of paper and cardboard in packaging: 85%;TA1.15;+;The increase in recycling of paper and cardboard may have a positive impact on the target of reducing buildings' greenhouse gas emissions, as it promotes sustainable practices and reduces waste.
TA3.38;nan;TA1.16;-;The development of new technologies may have a negative impact on the target of reducing methane emissions, as it may lead to increased costs and reduced competitiveness.
TA3.39;From 2025, beverage bottles listed in Part F of the Annex which are manufactured from polyethylene terephthalate as the major component (‘PET bottles’) contain at least 25 % recycled plastic, calculated as an average for all PET bottles placed on the market on the territory of that Member State;TA1.3;+;The increase in recycled content may have a positive impact on the target of reducing greenhouse gas emissions, as it promotes sustainable practices and reduces waste.
TA3.40;Member States shall meet the target of 77% by weight for the separate collection for recycling of waste single-use plastic beverage bottles by 2025 and 90% by 2029;TA1.4;-;The increase in separate collection may have a negative impact on the target of achieving a climate-resilient society status, as it may lead to increased costs and reduced competitiveness.
TA3.41;The minimum collection rate to be achieved annually shall be 65 % of the average weight of EEE placed on the market in the three preceding years in the Member State concerned, or alternatively 85 % of WEEE generated on the territory of that Member State.;TA1.5;+;The increase in collection rate may have a positive impact on the target of implementing the Carbon Border Adjustment Mechanism, as it promotes sustainable practices and reduces waste.
TA3.42;From 15 August 2018, the recovery targets for the WEEE falling within the following categories of Annex III shall be: - 85% for Category 1 (temperature exchange equipment) or Category 4 (large equipment with any external dimension more than 50 cm) - 80% for Category 2 (e.g., screens and monitors) - 75% for Category 5 (small equipment with no external dimension more than 50 cm) or 6 (Small IT and telecommunication equipment with no external dimension more than 50 cm);TA1.6;+;The increase in recovery targets may have a positive impact on the target of recasting EU legislation, as it promotes sustainable practices and reduces waste.
TA3.43;From 15 August 2018, the preparation for re-use targets for the WEEE falling within the following categories of Annex III shall be: - 80% for Category 1 or Category 4 - 70% for Category 2 - 55% for Category 5 or Category 6;TA1.7;-;The increase in preparation for re-use targets may have a negative impact on the target of reducing methane emissions, as it may lead to increased costs and reduced competitiveness.
TA3.44;From 15 August 2018, the recycling targets for the WEEE falling within the following categories of Annex III shall be: - 0% for Category 1 or Category 4 - 70% for Category 2 - 55% for Category 5 or Category 6;TA1.8;+;The increase in recycling targets may have a positive impact on the target of reaching energy neutrality in the wastewater treatment sector, as it promotes sustainable practices and reduces waste.
TA3.45;By 2025, the preparing for re-use and recycling of municipal waste shall be increased to a minimum of 55% by weight (60% by 2030, 65% by 2035);TA1.9;+;The increase in preparing for re-use and recycling may have a positive impact on the target of reducing greenhouse gas emissions from the EU ETS, as it promotes sustainable practices and reduces waste.
TA3.46;Member States should aim to achieve an indicative Union-wide food waste reduction target of 30 % by 2025 and 50 % by 2030;TA1.10;-;The reduction of food waste may have a negative impact on the target of reducing greenhouse gas emissions from the LULUCF sector, as it may lead to increased energy consumption and emissions.
TA3.47;Hazardous household waste will have to be collected separately by 2022, bio-waste by 2023 and textiles by 2025;TA1.11;+;The separate collection of hazardous household waste may have a positive impact on the target of upgrading national targets, as it promotes sustainable practices and reduces waste.
TA3.48;nan;TA1.12;-;The development of new technologies may have a negative impact on the target of achieving an EU net greenhouse gas removal, as it may lead to increased costs and reduced competitiveness.
TA3.49;nan;TA1.13;+;The development of new technologies may have a positive impact on the target of reducing buildings' greenhouse gas emissions, as it promotes sustainable practices and reduces waste.
TA3.50;nan;TA1.14;-;The development of new technologies may have a negative impact on the target of reducing greenhouse gas emissions from the EU ETS, as it may lead to increased energy consumption and emissions.
TA3.51;nan;TA1.15;+;The development of new technologies may have a positive impact on the target of reducing methane emissions, as it promotes sustainable practices and reduces waste.
TA3.52;nan;TA1.16;-;The development of new technologies may have a negative impact on the target of reducing methane emissions, as it may lead to increased costs and reduced competitiveness.
