;source_subtheme;source_subtheme_targets;impact_subtheme;impact_type;impact_weight;justification
18;Renewable Energy - Hydrogen Production;TA2.1,TA2.3,TA2.40,TA4.1, TA4.20, TA4.21;Noise Reduction;+;1;Hydrogen fuel cells produce only water and heat as byproducts, making them a quieter alternative to traditional fossil fuel-based power generation, which can contribute to noise reduction.
19;Energy Efficiency - Buildings;TA2.20,TA2.21,TA2.24,TA2.25,TA2.26,TA2.27,TA2.28,TA2.29,TA2.30,TA2.31,TA2.33,TA2.34,TA2.35,TA2.36;Noise Reduction;+;1;Energy-efficient buildings often incorporate design elements that reduce noise pollution, such as better insulation, which can lead to a quieter living environment.
20;Renewable Energy - Solar;TA2.5,TA2.6,TA2.7;Noise Reduction;+;1;Solar panels operate silently, producing no noise pollution, which can be particularly beneficial in urban areas where noise from traditional energy generation methods can be a significant issue.
21;Social Security - Energy;TA2.2,TA2.8;Social Security - Sanitation;-;2;The increased focus on energy security might divert resources away from sanitation and water management infrastructure, potentially exacerbating issues related to waterborne diseases and hygiene, especially in vulnerable communities.
22;Renewable Energy;TA2.10,TA2.11,TA2.12,TA2.15,TA2.19,TA2.37,TA2.9;Forest Bioeconomy;+;1;The growth of the renewable energy sector can create new opportunities for the forest bioeconomy, particularly in the production of biomass for energy, which can stimulate sustainable forest management practices and support the development of forest-based industries.
23;GHG Reduction;TA1.3,TA1.7,TA1.9,TA1.11,TA1.13,TA5.7;Net-Zero Technology - Road Vehicles;+2;Reinforcing;The reduction of GHG emissions is crucial for the development of net-zero technology in road vehicles, as it creates a favorable environment for the adoption of low-carbon technologies.
24;Improve Air Quality;TA4.47,TA7.13,TA7.16,TA7.22,TA7.5;Urban Mobility;+1;Enabling;Improving air quality enables the development of sustainable urban mobility solutions, such as electric or hybrid vehicles, which can reduce air pollution in cities.
25;Improve Water Quality;TA5.8,TA7.1,TA7.14,TA7.15,TA7.2,TA7.23,TA7.24,TA7.4,TA7.7;Hydrogen Distribution;-1;Constraining;The improvement of water quality may constrain the development of hydrogen distribution infrastructure, as it may require significant amounts of water for hydrogen production.
26;Improve Soils Health;TA5.3,TA6.12,TA6.15,TA6.49,TA7.10,TA7.12,TA7.19,TA7.20;Biofuels;+2;Reinforcing;The improvement of soil health is crucial for the development of sustainable biofuels, as it ensures the long-term productivity of agricultural land and reduces the risk of soil degradation.
27;Noise Reduction;TA7.17;-;--;There are no connections between Noise Reduction and any sub-theme in List B.;
28;Social Security - Sanitation;TA7.1,TA7.3;Urban Mobility;+1;Enabling;The improvement of social security and sanitation enables the development of sustainable urban mobility solutions, such as accessible and safe public transportation, which can reduce the risk of accidents and improve overall well-being.
29;Improve Air Quality;TA4.47,TA7.13,TA7.16,TA7.22,TA7.5;Net-Zero Technology - Aviation;+2;Reinforcing;The improvement of air quality is crucial for the development of net-zero technology in aviation, as it creates a favorable environment for the adoption of low-carbon technologies and reduces the impact of air pollution on human health.
30;Improve Water Quality;TA5.8,TA7.1,TA7.14,TA7.15,TA7.2,TA7.23,TA7.24,TA7.4,TA7.7;Net-Zero Technology - Maritime Transport;-1;Constraining;The improvement of water quality may constrain the development of net-zero technology in maritime transport, as it may require significant amounts of water for hydrogen production or other low-carbon technologies.
31;Improve Soils Health;TA5.3,TA6.12,TA6.15,TA6.49,TA7.10,TA7.12,TA7.19,TA7.20;Other Low-Carbon Fuels;+2;Reinforcing;The improvement of soil health is crucial for the development of sustainable low-carbon fuels, such as biofuels, as it ensures the long-term productivity of agricultural land and reduces the risk of soil degradation.
32;Social Security - Sanitation;TA7.1,TA7.3;Transport Logistics;+1;Enabling;The improvement of social security and sanitation enables the development of sustainable transport logistics solutions, such as accessible and safe public transportation, which can reduce the risk of accidents and improve overall well-being.
33;Improve Air Quality;TA4.47,TA7.13,TA7.16,TA7.22,TA7.5;Circularity/Recycling - Municipal Waste;2;Reinforcing;Improving air quality can aid in the recycling process of municipal waste by reducing pollution, thus reinforcing the circularity and recycling targets.
34;Improve Water Quality;TA7.1,TA7.7;Waste Reduction - Municipal Waste;2;Reinforcing;Enhancing water quality can facilitate more efficient waste reduction and management in municipal settings, supporting the goals of waste reduction.
35;Improve Soils Health;TA5.3,TA6.12,TA6.15;Circularity/Recycling - Critical Raw Materials - Batteries Recycling;1;Enabling;Soil health improvement can create conditions for more sustainable critical raw material extraction and recycling, such as for batteries, enabling a more circular economy.
36;Noise Reduction;TA7.17;Net-Zero Technology - Manufacturing;-1;Constraining;Noise reduction targets might limit options for manufacturing processes in achieving net-zero technology, as some manufacturing could be noise-intensive.
37;Social Security - Sanitation;TA7.1,TA7.3;Waste Reduction - Food Waste;2;Reinforcing;Improving sanitation can reinforce efforts to reduce food waste by ensuring proper waste management and hygiene practices, which are critical for food handling and preparation.
38;Improve Air Quality;TA4.47,TA7.13,TA7.16,TA7.22,TA7.5;Waste Reduction - Plastic & Packaging;1;Enabling;Better air quality can enable a healthier environment for implementing waste reduction strategies for plastic and packaging, potentially increasing public engagement and participation.
39;Improve Water Quality;TA7.1,TA7.7;Circularity/Recycling - Plastic & Packaging;2;Reinforcing;Cleaner water can reinforce the recycling and circularity of plastics and packaging by ensuring that water used in these processes is of high quality, reducing contamination risks.
40;Improve Soils Health;TA5.3,TA6.12,TA6.15;Critical Raw Materials - Extraction & Import;1;Enabling;Healthy soils can enable more sustainable extraction and import practices for critical raw materials, potentially reducing environmental impacts.
41;Noise Reduction;TA7.17;Circularity/Recycling - Municipal Waste;-1;Constraining;Noise reduction measures might constrain municipal waste management operations, such as recycling facilities, which could generate significant noise.
42;Social Security - Sanitation;TA7.1,TA7.3;Circularity/Recycling;-2;Counteracting;Sanitation improvements might counteract circularity and recycling efforts if not properly aligned, for example, by generating waste that is not recyclable or reusable.
43;Improve Air Quality;TA4.47,TA7.13,TA7.16,TA7.22,TA7.5;Circularity/Recycling - Textile Waste;1;Enabling;Clean air can contribute to a healthier environment for textile production and recycling, potentially enhancing the quality and durability of recycled textiles.
44;Improve Water Quality;TA7.1,TA7.7;Waste Reduction;-2;Counteracting;Water quality improvement efforts might counteract waste reduction strategies if they lead to increased water usage or pollution in the waste management process.
45;Improve Soils Health;TA5.3,TA6.12,TA6.15;Net-Zero Technology - Manufacturing;1;Enabling;Soil health can enable more efficient and sustainable manufacturing processes, including those aiming for net-zero emissions, by providing natural resources and ecosystem services that support these goals.
46;Noise Reduction;TA7.17;Waste Reduction - Food Waste;-1;Constraining;Noise reduction targets could constrain food waste reduction efforts, particularly in urban areas where noise from food waste collection and processing might be a concern.
47;Social Security - Sanitation;TA7.1,TA7.3;Circularity/Recycling - Critical Raw Materials - Batteries Recycling;2;Reinforcing;Improved sanitation can reinforce the recycling of critical raw materials like those in batteries by ensuring a clean and healthy environment for recycling operations, which is crucial for the quality of recycled materials.
48;Renewable Energy;TA2.1,TA2.3,TA2.10,TA2.11,TA2.12,TA2.15,TA2.19,TA2.37,TA2.38,TA2.39;Terrestrial Ecosystems Restoration;2;Reinforcing;The increased use of renewable energy can reduce greenhouse gas emissions, which in turn can help to restore terrestrial ecosystems by mitigating climate change impacts.
49;Renewable Energy;TA2.1,TA2.3,TA2.10,TA2.11,TA2.12,TA2.15,TA2.19,TA2.37,TA2.38,TA2.39;Biodiversity Protection & Conservation;2;Reinforcing;The shift towards renewable energy can reduce pollution and habitat destruction caused by fossil fuel extraction and use, thereby protecting biodiversity.
50;Renewable Energy - Hydrogen Production;TA2.40;Terrestrial Ecosystems Restoration - Agricultural Ecosystems;-1;Constraining;The production of renewable hydrogen may require large areas of land for energy crops, potentially competing with agricultural land use and constraining ecosystem restoration efforts in agricultural ecosystems.
51;Energy Efficiency;TA2.17,TA2.22,TA2.23;Biodiversity Protection & Conservation - Urban Nature;1;Enabling;Improving energy efficiency in buildings can reduce energy consumption, which in turn can decrease the urban heat island effect and create more livable urban spaces, enabling the protection and restoration of urban nature.
52;Energy Efficiency - Buildings;TA2.18,TA2.20,TA2.21,TA2.24,TA2.25,TA2.26,TA2.27,TA2.28,TA2.29,TA2.30,TA2.31,TA2.32,TA2.33,TA2.34,TA2.35,TA2.36;Terrestrial Ecosystems Restoration - Forests;-2;Counteracting;The renovation and insulation of buildings can lead to increased demand for wood products, potentially counteracting efforts to restore and preserve forests.
53;Social Security - Energy;TA2.2,TA2.8;Biodiversity Protection & Conservation - Fisheries;1;Enabling;Ensuring access to renewable energy and reducing energy poverty can enable the protection of marine ecosystems and fisheries by reducing the reliance on fossil fuels and mitigating climate change impacts.
54;Renewable Energy - Solar;TA2.5,TA2.6,TA2.7,TA2.9;Terrestrial Ecosystems Restoration - Rivers;1;Enabling;The deployment of solar panels can help to restore rivers by reducing water pollution from fossil fuel extraction and use, and by providing a clean source of energy for water treatment and management.
55;Renewable Energy - Ocean/Offshore;TA2.38,TA2.39;Marine Ecosystem Restoration;3;Indivisible;The development of offshore renewable energy can directly contribute to the restoration of marine ecosystems by providing a clean source of energy, reducing pollution, and creating artificial reefs that can support marine life.
56;Energy Efficiency - Buildings;TA2.18,TA2.20,TA2.21,TA2.24,TA2.25,TA2.26,TA2.27,TA2.28,TA2.29,TA2.30,TA2.31,TA2.32,TA2.33,TA2.34,TA2.35,TA2.36;Biodiversity Protection & Conservation - Monitoring;1;Enabling;Improving energy efficiency in buildings can reduce energy consumption, which in turn can decrease the urban heat island effect and create more livable urban spaces, enabling the monitoring and protection of urban biodiversity.
57;Renewable Energy;TA2.10,TA2.11,TA2.12,TA2.15,TA2.19,TA2.37,TA2.9;GHG Reduction;+;2;The increased use of renewable energy sources can lead to a reduction in greenhouse gas emissions, thereby reinforcing the achievement of GHG reduction targets. This is because renewable energy sources like solar and wind power do not emit greenhouse gases during operation.
58;Renewable Energy - Hydrogen Production;TA2.1,TA2.3,TA2.40;GHG Reduction;+;2;Hydrogen production from renewable energy sources can contribute to the reduction of greenhouse gas emissions in various sectors, including transportation and industry, thus reinforcing GHG reduction efforts.
59;Energy Efficiency;TA2.17,TA2.22,TA2.23;GHG Reduction;+;2;Improving energy efficiency can lead to a decrease in energy consumption, which in turn can result in lower greenhouse gas emissions, thereby supporting the achievement of GHG reduction targets.
60;Energy Efficiency - Buildings;TA2.20,TA2.21,TA2.24,TA2.25,TA2.26,TA2.27,TA2.28,TA2.29,TA2.30,TA2.31,TA2.33,TA2.34,TA2.35,TA2.36;GHG Reduction - Buildings;+;3;Energy efficiency measures in buildings, such as insulation and efficient heating systems, can directly reduce greenhouse gas emissions from buildings, making it indivisible from achieving GHG reduction targets in the buildings sector.
61;Social Security - Energy;TA2.2,TA2.8;Climate Resilience;+;1;Social security measures related to energy, such as protecting vulnerable households from energy poverty, can create conditions that further climate resilience by ensuring that all members of society have access to the energy resources they need to adapt to climate change.
62;Renewable Energy - Solar;TA2.5,TA2.6,TA2.7;GHG Reduction;+;2;The expansion of solar energy can significantly contribute to reducing greenhouse gas emissions from the energy sector, thereby reinforcing efforts to achieve GHG reduction targets.
63;Renewable Energy - Ocean/Offshore;TA2.38,TA2.39;GHG Reduction;+;2;Offshore renewable energy can play a crucial role in decarbonizing the energy sector, supporting the achievement of GHG reduction targets by providing a clean source of energy.
64;Renewable Energy - Heating & Cooling;TA2.14,TA2.16,TA2.4;GHG Reduction - Buildings;+;3;Renewable energy solutions for heating and cooling, such as heat pumps, can directly reduce greenhouse gas emissions from buildings, making it indivisible from achieving GHG reduction targets in the buildings sector.
65;GHG Reduction;TA1.3,TA1.7,TA1.9,TA1.11,TA1.13,TA5.7;Biodiversity Protection & Conservation;2;Reinforcing;Reducing GHG emissions can help mitigate climate change, which in turn can reinforce biodiversity protection and conservation efforts by reducing the pressure of climate-related stressors on ecosystems.
66;GHG Reduction;TA1.3,TA1.7,TA1.9,TA1.11,TA1.13,TA5.7;Terrestrial Ecosystems Restoration;2;Reinforcing;GHG reduction targets can reinforce terrestrial ecosystems restoration by promoting sustainable land use practices, reducing deforestation, and encouraging reforestation, which helps to sequester carbon dioxide.
67;GHG Reduction - Buildings;TA1.15;Terrestrial Ecosystems Restoration - Forests;1;Enabling;Improving energy efficiency in buildings can enable the restoration of forests by reducing the demand for wood and other forest products, thereby creating conditions for forest regeneration.
68;GHG Removal;TA1.12;Marine Ecosystem Restoration;1;Enabling;GHG removal technologies can enable marine ecosystem restoration by reducing ocean acidification, which is caused by the absorption of excess CO2, and promoting the health of marine ecosystems.
69;GHG Reduction;TA1.3,TA1.7,TA1.9,TA1.11,TA1.13,TA5.7;Biodiversity Protection & Conservation - Fisheries;2;Reinforcing;Reducing GHG emissions can help mitigate the impacts of climate change on fisheries and marine ecosystems, reinforcing biodiversity protection and conservation efforts in these areas.
70;GHG Reduction - Transports;TA1.10,TA1.14,TA1.16;Terrestrial Ecosystems Restoration - Agricultural Ecosystems;1;Enabling;Promoting sustainable transportation options can enable the restoration of agricultural ecosystems by reducing the environmental impacts of transportation, such as air pollution and habitat fragmentation, and encouraging more sustainable agricultural practices.
71;Climate Resilience;TA1.1,TA1.4;Biodiversity Protection & Conservation - Urban Nature;2;Reinforcing;Enhancing climate resilience can reinforce biodiversity protection and conservation efforts in urban areas by promoting green infrastructure, reducing the urban heat island effect, and creating habitats for urban wildlife.
72;GHG Reduction;TA1.3,TA1.7,TA1.9,TA1.11,TA1.13,TA5.7;Terrestrial Ecosystems Restoration - Rivers;1;Enabling;Reducing GHG emissions can enable the restoration of rivers by promoting sustainable water management practices, reducing pollution, and encouraging the conservation of riverine ecosystems.
73;GHG Removal;TA1.12;Biodiversity Protection & Conservation - Monitoring;1;Enabling;GHG removal technologies can enable biodiversity monitoring and conservation efforts by providing a means to track and mitigate the impacts of climate change on ecosystems, promoting more effective conservation strategies.
74;Waste Reduction - Municipal Waste;TA3.1,TA3.2,TA3.4,TA3.41,TA3.42,TA3.43,TA3.44,TA3.45;GHG Reduction;2;The reduction of municipal waste can lead to a decrease in greenhouse gas emissions, as waste management practices such as landfilling and incineration are significant contributors to GHG emissions. Effective waste reduction strategies can reinforce GHG reduction efforts.;
75;Waste Reduction - Food Waste;TA3.24,TA3.25,TA3.46;GHG Reduction;2;Reducing food waste can lower GHG emissions from agricultural production, transportation, and storage. This can reinforce GHG reduction targets by decreasing the demand for resource-intensive food production.;
76;Circularity/Recycling - Municipal Waste;TA3.20,TA3.21,TA3.22,TA3.23;GHG Reduction;2;Improving recycling rates and reducing waste sent to landfills can decrease GHG emissions from waste management. This can aid in achieving GHG reduction targets by minimizing the environmental impact of waste disposal.;
77;Critical Raw Materials - Extraction & Import;TA3.10,TA3.11,TA3.8,TA3.9;GHG Reduction;1;Responsible extraction and import of critical raw materials can enable the production of clean technologies, such as renewable energy systems and energy storage, which are crucial for reducing GHG emissions. This can create conditions that further GHG reduction efforts.;
78;Net-Zero Technology - Manufacturing;TA3.12;GHG Reduction;3;The development and manufacturing of net-zero technologies, such as carbon capture and storage, are inextricably linked to achieving GHG reduction targets. These technologies are essential for reducing emissions from industrial sources.;
79;Circularity/Recycling - Critical Raw Materials - Batteries Recycling;TA3.15,TA3.16,TA3.17,TA3.18,TA3.19;GHG Reduction;2;Recycling critical raw materials from batteries can reduce the need for primary material extraction, which is often energy-intensive and contributes to GHG emissions. This can reinforce GHG reduction efforts by decreasing the carbon footprint of material production.;
80;Waste Reduction - Plastic & Packaging;TA3.29,TA3.30,TA3.40;GHG Removal;1;Reducing plastic waste and increasing recycling rates can decrease GHG emissions from production and disposal of plastic products. This can create conditions that further GHG removal efforts by minimizing waste-related emissions.;
81;Circularity/Recycling;TA3.3;GHG Reduction;2;Improving circularity and recycling rates can reduce the demand for virgin materials, decrease waste, and lower GHG emissions from production processes. This can reinforce GHG reduction targets by promoting more efficient use of resources.;
82;Waste Reduction - Municipal Waste;TA3.1,TA3.2,TA3.4,TA3.41,TA3.42,TA3.43,TA3.44,TA3.45;Renewable Energy - Solar;2;The reduction of municipal waste can lead to an increased availability of land for solar panel installations, thereby reinforcing the growth of renewable energy sources.;
83;Waste Reduction - Municipal Waste;TA3.1,TA3.2,TA3.4,TA3.41,TA3.42,TA3.43,TA3.44,TA3.45;Energy Efficiency - Buildings;1;Proper waste management can enable the construction of more energy-efficient buildings, as materials can be recycled and reused, creating conditions that further energy efficiency targets.;
84;Circularity/Recycling - Municipal Waste;TA3.20,TA3.21,TA3.22,TA3.23;Renewable Energy - Hydrogen Production;1;The recycling of municipal waste can lead to the production of biogas, which can be used as a feedstock for hydrogen production, creating conditions that further renewable energy targets.;
85;Critical Raw Materials - Extraction & Import;TA3.10,TA3.11,TA3.8,TA3.9;Renewable Energy;2;The extraction and import of critical raw materials are essential for the production of renewable energy technologies, such as solar panels and wind turbines, thereby reinforcing the growth of renewable energy sources.;
86;Net-Zero Technology - Manufacturing;TA3.12;Energy Efficiency - Buildings;2;The development of net-zero technology can lead to the creation of more energy-efficient buildings, as new materials and construction methods can be designed to minimize energy consumption, thereby reinforcing energy efficiency targets.;
87;Circularity/Recycling - Critical Raw Materials - Batteries Recycling;TA3.15,TA3.16,TA3.17,TA3.18,TA3.19;Renewable Energy - Solar;1;The recycling of critical raw materials from batteries can lead to the production of new solar panels, creating conditions that further renewable energy targets.;
88;Waste Reduction - Plastic & Packaging;TA3.27,TA3.28,TA3.31,TA3.32,TA3.33,TA3.34,TA3.35,TA3.36,TA3.37;Renewable Energy - Ocean/Offshore;1;The reduction of plastic waste can lead to a decrease in marine pollution, which can create conditions that further the development of offshore renewable energy sources.;
89;Circularity/Recycling - Textile Waste;TA3.4;Social Security - Energy;1;The recycling of textile waste can lead to the production of new clothing, which can create jobs and stimulate local economies, creating conditions that further social security targets.;
90;Waste Reduction - Food Waste;TA3.24,TA3.25,TA3.46;Energy Efficiency;1;The reduction of food waste can lead to a decrease in energy consumption, as less energy is needed for food production, processing, and transportation, creating conditions that further energy efficiency targets.;
91;GHG Reduction;TA1.3,TA1.7,TA1.9,TA1.11,TA1.13,TA5.7;Improve Air Quality;2;The reduction of GHG emissions can lead to improved air quality by decreasing the amount of pollutants released into the atmosphere, which in turn can have positive effects on human health and the environment.;
92;GHG Reduction;TA1.3,TA1.7,TA1.9,TA1.11,TA1.13,TA5.7;Improve Water Quality;1;Reducing GHG emissions can help mitigate climate change, which can lead to more stable and predictable water cycles, ultimately improving water quality.;
93;GHG Reduction - Buildings;TA1.15;Improve Soils Health;-1;The implementation of energy-efficient buildings might lead to increased construction activities, potentially resulting in soil degradation and erosion if not managed sustainably.;
94;GHG Removal;TA1.12;Improve Air Quality;3;GHG removal technologies, such as carbon capture and storage, can directly reduce the amount of CO2 in the atmosphere, which is essential for improving air quality and mitigating climate change.;
95;GHG Reduction;TA1.3,TA1.7,TA1.9,TA1.11,TA1.13,TA5.7;Noise Reduction;-2;The transition to renewable energy sources and increased energy efficiency might lead to the installation of new infrastructure, such as wind turbines, which can generate noise pollution, counteracting efforts to reduce noise.;
96;GHG Reduction - Transports;TA4.10,TA4.12,TA4.15,TA4.16,TA4.17;Social Security - Sanitation;1;Electrification of transportation can lead to reduced air pollution in urban areas, which can improve public health and sanitation, especially in densely populated areas.;
97;Climate Resilience;TA1.1,TA1.4;Improve Water Quality;2;Enhancing climate resilience can involve measures to protect and restore natural ecosystems like wetlands, which play a crucial role in water filtration and purification, thus improving water quality.;
98;GHG Reduction;TA1.3,TA1.7,TA1.9,TA1.11,TA1.13,TA5.7;Forest Bioeconomy;-1;The push for GHG reduction might lead to an increased demand for bioenergy, potentially resulting in over-exploitation of forests if not managed sustainably, which could negatively impact the forest bioeconomy.;
99;GHG Reduction;TA1.3,TA1.7,TA1.9,TA1.11,TA1.13,TA5.7;Waste Reduction - Municipal Waste;2;The reduction of GHG emissions can reinforce waste reduction efforts by promoting sustainable practices and reducing the environmental impact of waste management.;The connection between GHG reduction and waste reduction is evident in the EU's circular economy strategy, which aims to reduce waste and promote sustainable consumption.
100;GHG Reduction;TA1.3,TA1.7,TA1.9,TA1.11,TA1.13,TA5.7;Circularity/Recycling;2;GHG reduction targets can aid the development of circular economy practices, such as recycling and reuse, by creating a market demand for sustainable products and services.;This connection is supported by the EU's Circular Economy Action Plan, which highlights the importance of reducing GHG emissions in the production and consumption of goods.
101;GHG Reduction - Buildings;TA1.15;Waste Reduction - Municipal Waste;1;The reduction of GHG emissions in buildings can enable waste reduction efforts by promoting the use of sustainable materials and reducing energy consumption.;This connection is evident in the EU's Renovation Wave strategy, which aims to reduce energy consumption and GHG emissions in buildings while promoting sustainable materials and waste reduction.
102;GHG Reduction - Transports;TA1.10,TA1.14;Circularity/Recycling - Vehicle Circularity;2;The reduction of GHG emissions in transportation can reinforce the development of circular economy practices in the automotive sector, such as vehicle sharing and recycling.;This connection is supported by the EU's Sustainable and Smart Mobility Strategy, which highlights the importance of reducing GHG emissions and promoting sustainable transportation modes.
103;GHG Removal;TA1.12;Critical Raw Materials - Extraction & Import;1;The development of GHG removal technologies can enable the sustainable extraction and use of critical raw materials, reducing the environmental impact of their production.;This connection is evident in the EU's Critical Raw Materials Strategy, which highlights the importance of sustainable extraction and use of critical raw materials.
104;Climate Resilience;TA1.1,TA1.4;Waste Reduction - Food Waste;2;Climate resilience measures can aid the reduction of food waste by promoting sustainable agricultural practices and reducing the environmental impact of food production.;This connection is supported by the EU's Farm to Fork strategy, which aims to reduce food waste and promote sustainable agricultural practices.
105;GHG Reduction;TA1.3,TA1.7,TA1.9,TA1.11,TA1.13,TA5.7;Net-Zero Technology - Manufacturing;-1;The development of net-zero technologies can constrain GHG reduction efforts by creating new energy demands and potentially increasing GHG emissions in the short term.;This connection is evident in the EU's Net-Zero Industry Act, which highlights the importance of reducing GHG emissions in industrial processes while promoting the development of net-zero technologies.
106;Waste Reduction - Municipal Waste;TA3.1,TA3.2,TA3.4,TA3.41,TA3.42,TA3.43,TA3.44,TA3.45,TA3.47,TA3.5;Improve Air Quality;2;The reduction of municipal waste can lead to a decrease in air pollution, as less waste is burned or decomposed, releasing harmful gases into the atmosphere. This, in turn, can improve air quality.;
107;Waste Reduction - Municipal Waste;TA3.1,TA3.2,TA3.4,TA3.41,TA3.42,TA3.43,TA3.44,TA3.45,TA3.47,TA3.5;Improve Water Quality;2;Proper waste management can prevent pollution of water sources, reducing the amount of waste that ends up in rivers, lakes, and oceans. This can improve water quality and protect aquatic ecosystems.;
108;Circularity/Recycling - Municipal Waste;TA3.20,TA3.21,TA3.22,TA3.23,TA3.41,TA3.42,TA3.43,TA3.44,TA3.45;Improve Soils Health;1;Recycling and composting of municipal waste can help to reduce the amount of waste sent to landfills, which can contaminate soil and groundwater. This can help to improve soil health and reduce the risk of pollution.;
