source_subtheme;source_subtheme_targets;impact_subtheme;impact_type;impact_weight;justification
Net-Zero Technology - Maritime Transport;TA4.33,TA4.34,TA4.45,TA4.57,TA4.58;Improve Air Quality;+3;The development of zero-emission maritime technologies can directly lead to improved air quality by significantly reducing emissions from shipping, which is indivisible from achieving better air quality.; 
Net-Zero Technology - Aviation;TA4.32,TA4.46;Improve Air Quality;+3;The promotion of zero-emission aviation can directly lead to improved air quality by eliminating emissions from air travel, which is indivisible from achieving better air quality.; 
Biofuels;TA4.1,TA4.18,TA4.7;Improve Water Quality;-1;The production of biofuels can constrain water quality due to the potential for water pollution from agricultural runoff and industrial processes associated with biofuel production.; 
Other Low-Carbon Fuels;TA4.4,TA4.5,TA4.6;Improve Water Quality;+1;The use of other low-carbon fuels can create conditions that further improve water quality by reducing pollution from fossil fuel extraction and use, thus enabling better water management.; 
Hydrogen Distribution;TA4.23,TA4.30,TA4.31;Improve Water Quality;+2;The distribution of hydrogen can aid in improving water quality by providing a clean energy source that does not pollute water bodies, which reinforces water quality improvement efforts.; 
Urban Mobility;TA4.54;Improve Water Quality;+1;Sustainable urban mobility practices can create conditions that further improve water quality by reducing pollution from transportation and promoting green spaces, thus enabling better urban water management.; 
Transport Logistics;TA4.11,TA4.36,TA4.37,TA4.39,TA4.43,TA4.50,TA4.51,TA4.56;Improve Water Quality;+1;Efficient and sustainable transport logistics can create conditions that further improve water quality by minimizing waste and reducing the environmental impact of transportation, thus enabling better water conservation.; 
Rail;TA4.37,TA4.38,TA4.40;Improve Water Quality;+2;The expansion of rail transport can aid in improving water quality by reducing the need for polluting modes of transport and promoting more efficient use of resources, which reinforces water quality improvement efforts.; 
Net-Zero Technology - Maritime Transport;TA4.33,TA4.34,TA4.45,TA4.57,TA4.58;Improve Water Quality;+3;The adoption of zero-emission technologies in maritime transport can directly lead to improved water quality by eliminating pollution from shipping, which is indivisible from achieving better water quality.; 
Net-Zero Technology - Aviation;TA4.32,TA4.46;Improve Water Quality;+3;The development of zero-emission aviation technologies can directly lead to improved water quality by reducing emissions and pollution from air travel, which is indivisible from achieving better water quality.; 
GHG Reduction;TA1.3,TA1.7,TA1.9,TA1.11,TA1.13,TA5.7;Improve Soils Health;+2;Reducing greenhouse gas emissions can aid in improving soil health by mitigating climate change, which reinforces efforts to preserve and enhance soil quality.; 
Net-Zero Technology - Road Vehicles;TA4.13,TA4.22,TA4.25,TA4.26,TA4.27,TA4.28,TA4.29,TA4.40,TA4.44,TA4.45,TA4.55;Improve Soils Health;-1;While promoting electric vehicles can improve air quality, the mining of materials for batteries can constrain soil health due to potential pollution and land degradation.; 
Biofuels;TA4.1,TA4.18,TA4.7;Improve Soils Health;-2;The production of biofuels can counteract efforts to improve soil health if intensive agriculture for biofuel crops leads to soil erosion and degradation.; 
Other Low-Carbon Fuels;TA4.4,TA4.5,TA4.6;Improve Soils Health;+1;The use of other low-carbon fuels can create conditions that further improve soil health by reducing the reliance on fossil fuels and promoting more sustainable land use practices.; 
Hydrogen Distribution;TA4.23,TA4.30,TA4.31;Improve Soils Health;+2;The development of hydrogen infrastructure can aid in improving soil health by facilitating the use of clean energy for agricultural purposes, which reinforces soil conservation efforts.; 
Urban Mobility;TA4.54;Improve Soils Health;+1;Sustainable urban mobility practices can create conditions that further improve soil health by promoting green spaces and reducing the urban heat island effect, thus enabling better soil conservation.; 
Transport Logistics;TA4.11,TA4.36,TA4.37,TA4.39,TA4.43,TA4.50,TA4.51,TA4.56;Improve Soils Health;+1;Efficient and sustainable transport logistics can create conditions that further improve soil health by minimizing waste and reducing the environmental impact of transportation, thus enabling better soil management.; 
Rail;TA4.37,TA4.38,TA4.40;Improve Soils Health;+2;The expansion of rail transport can aid in improving soil health by reducing the need for polluting modes of transport and promoting more efficient use of resources, which reinforces soil health improvement efforts.; 
Net-Zero Technology - Maritime Transport;TA4.33,TA4.34,TA4.45,TA4.57,TA4.58;Improve Soils Health;+3;The adoption of zero-emission technologies in maritime transport can directly lead to improved soil health by reducing pollution and promoting sustainable land use, which is indivisible from achieving better soil health.; 
Net-Zero Technology - Aviation;TA4.32,TA4.46;Improve Soils Health;+3;The development of zero-emission aviation technologies can directly lead to improved soil health by reducing emissions and pollution from air travel, which is indivisible from achieving better soil health.; 
GHG Reduction;TA1.3,TA1.7,TA1.9,TA1.11,TA1.13,TA5.7;Noise Reduction;+1;Reducing greenhouse gas emissions can create conditions that further reduce noise pollution by promoting cleaner and quieter forms of energy production and transportation.; 
Net-Zero Technology - Road Vehicles;TA4.13,TA4.22,TA4.25,TA4.26,TA4.27,TA4.28,TA4.29,TA4.40,TA4.44,TA4.45,TA4.55;Noise Reduction;+3;The promotion of electric vehicles can directly lead to noise reduction by replacing noisy fossil fuel-based vehicles with quieter electric ones, which is indivisible from achieving less noise pollution.; 
Biofuels;TA4.1,TA4.18,TA4.7;Noise Reduction;-1;The production and use of biofuels can constrain noise reduction efforts if the processes involved are noisy or if they lead to increased traffic, thus potentially increasing noise pollution.; 
Other Low-Carbon Fuels;TA4.4,TA4.5,TA4.6;Noise Reduction;+1;The use of other low-carbon fuels can create conditions that further reduce noise pollution by offering quieter alternatives to traditional fossil fuels, thus enabling a quieter environment.; 
Hydrogen Distribution;TA4.23,TA4.30,TA4.31;Noise Reduction;+2;The distribution and use of hydrogen can aid in reducing noise pollution by providing a clean and quiet energy source, which reinforces noise reduction efforts.; 
Urban Mobility;TA4.54;Noise Reduction;+2;Sustainable urban mobility practices can aid in reducing noise pollution by promoting quieter modes of transport and reducing the need for noisy vehicles, which reinforces noise reduction efforts.; 
Transport Logistics;TA4.11,TA4.36,TA4.37,TA4.39,TA4.43,TA4.50,TA4.51,TA4.56;Noise Reduction;+1;Efficient and sustainable transport logistics can create conditions that further reduce noise pollution by optimizing routes and reducing the number of vehicles on the road, thus enabling a quieter environment.; 
Rail;TA4.37,TA4.38,TA4.40;Noise Reduction;+3;The expansion of rail transport can directly lead to noise reduction by offering a quieter mode of transportation compared to road transport, which is indivisible from achieving less noise pollution.; 
Net-Zero Technology - Maritime Transport;TA4.33,TA4.34,TA4.45,TA4.57,TA4.58;Noise Reduction;+3;The adoption of zero-emission technologies in maritime transport can directly lead to noise reduction by eliminating noisy fossil fuel-based engines, which is indivisible from achieving less noise pollution.; 
Net-Zero Technology - Aviation;TA4.32,TA4.46;Noise Reduction;+3;The development of zero-emission aviation technologies can directly lead to noise reduction by replacing traditional noisy aircraft with quieter electric or hydrogen-powered ones, which is indivisible from achieving less noise pollution.; 
GHG Reduction;TA1.3,TA1.7,TA1.9,TA1.11,TA1.13,TA5.7;Social Security - Sanitation;+2;Reducing greenhouse gas emissions can aid in improving social security and sanitation by mitigating the impacts of climate change on human health and promoting more sustainable and resilient communities.; 
Net-Zero Technology - Road Vehicles;TA4.13,TA4.22,TA4.25,TA4.26,TA4.27,TA4.28,TA4.29,TA4.40,TA4.44,TA4.45,TA4.55;Social Security - Sanitation;+1;The promotion of electric vehicles can create conditions that further improve social security and sanitation by reducing air pollution and promoting cleaner environments, thus enabling better public health.; 
Biofuels;TA4.1,TA4.18,TA4.7;Social Security - Sanitation;-1;The production and use of biofuels can constrain social security and sanitation efforts if they lead to increased costs for food and energy, potentially negatively impacting vulnerable populations and their access to basic services.; 
Other Low-Carbon Fuels;TA4.4,TA4.5,TA4.6;Social Security - Sanitation;+1;The use of other low-carbon fuels can create conditions that further improve social security and sanitation by offering sustainable and reliable energy sources, thus enabling better living conditions.; 
Hydrogen Distribution;TA4.23,TA4.30,TA4.31;Social Security - Sanitation;+2;The development of hydrogen infrastructure can aid in improving social security and sanitation by providing clean energy for essential services and promoting more sustainable communities, which reinforces social security and sanitation efforts.; 
Urban Mobility;TA4.54;Social Security - Sanitation;+1;Sustainable urban mobility practices can create conditions that further improve social security and sanitation by promoting cleaner environments, reducing pollution, and enhancing public spaces, thus enabling better living conditions.; 
Transport Logistics;TA4.11,TA4.36,TA4.37,TA4.39,TA4.43,TA4.50,TA4.51,TA4.56;Social Security - Sanitation;+1;Efficient and sustainable transport logistics can create conditions that further improve social security and sanitation by minimizing waste, reducing pollution, and promoting more sustainable practices, thus enabling better public health.; 
Rail;TA4.37,TA4.38,TA4.40;Social Security - Sanitation;+2;The expansion of rail transport can aid in improving social security and sanitation by offering a reliable, efficient, and less polluting mode of transportation, which reinforces social security and sanitation efforts.; 
Net-Zero Technology - Maritime Transport;TA4.33,TA4.34,TA4.45,TA4.57,TA4.58;Social Security - Sanitation;+3;The adoption of zero-emission technologies in maritime transport can directly lead to improved social security and sanitation by reducing pollution, promoting sustainable communities, and enhancing public health, which is indivisible from achieving better social security and sanitation.; 
Net-Zero Technology - Aviation;TA4.32,TA4.46;Social Security - Sanitation;+3;The development of zero-emission aviation technologies can directly lead to improved social security and sanitation by reducing emissions, promoting cleaner environments, and enhancing public health, which is indivisible from achieving better social security and sanitation.;
